Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akriyàpi kriyà tathà  SRtp_192b
ananyàpi tathà ÷ambhor  SRtp_303c
ananyàpi vibhinnàtaþ  SRtp_304c
ananyàyàþ kriyàtmanaþ  SRtp_132d
anapekùaþ kùaõena ca  SRtp_313b
anapekùeõa jàyate  SRtp_54d
anàpannavikàro 'pi  SRtp_311a
anàsàdya phalaü tena  SRtp_97a
anàhitavi÷eùo 'pi  SRtp_306c
anivàryàvatiùñhate  SRtp_159d
anugçhõàti càtmanaþ  SRtp_264d
anupàdànaråpàõàü  SRtp_162c
anumànasya sàphalyam  SRtp_229a
anumànaü ca sàdhayet  SRtp_222b
anuviddhamiha j¤ànaü  SRtp_85a
anekabhuvanàvalim  SRtp_134d
anenaiva ÷arãreõa  SRtp_318a
antarà dçóhabandhanam  SRtp_248d
antarà ÷aktidãpikàm  SRtp_302d
antaþsaüjalparåpà tu  SRtp_75a
anyathà nopapadyate  SRtp_228b
anyathaivopalambhanàt  SRtp_295d
anyathoktavi÷eùaõam  SRtp_63b
anyasyànyatra sadbhàvaþ  SRtp_120c
anye tu kathayantyatra  SRtp_164c
anye vçttiparãõàma-  SRtp_62c
anyonyàdhyàsasàdhyatvàd  SRtp_243c
aparà kàryagocarà  SRtp_272d
apare vçtti÷àlinãm  SRtp_285d
api kàmàn prayacchati  SRtp_20b
api cànyatvamadvaita-  SRtp_230a
api tasyàvabodhanàt  SRtp_8b
api tiktaü vijànàti  SRtp_235c
api binduvadiùyate  SRtp_200d
api bhedagrahe sati  SRtp_229b
aprasiddhasya dharmasya  SRtp_215c
apràpta÷ivadhàmànas  SRtp_23c
abàdhitaþ pramàõai÷ca  SRtp_240c
abhivyàptaþ sa bindunà  SRtp_118d
abhivyàptàü ca bindunà  SRtp_165b
amoghà bala÷àlinã  SRtp_190b
arthasàmarthajaü j¤ànaü  SRtp_210c
alaukikàni såkùmàõi  SRtp_18a
alpaj¤ànakriyànvitàþ  SRtp_50d
alpãyàüsaü samàvçtya  SRtp_256a
avagàhya parànanda-  SRtp_15c
avabodhàbhimànataþ  SRtp_67d
avasãyeta såribhiþ  SRtp_15b
avasthàntarasampràptiþ  SRtp_36a
avasthàbhedajanmanàm  SRtp_311d
avasthàbhedamàsàdya  SRtp_309a
avasthàmapare bindor  SRtp_154a
avikàro 'pi bhàskaraþ  SRtp_313d
avikàro 'pi ÷aktimàn  SRtp_312d
avinà÷i ca tannityam  SRtp_297c
avibhàgasvaråpiõã  SRtp_156d
avibhàgena varõànàü  SRtp_76a
avivekakçtodayaþ  SRtp_243d
avivekena jànati  SRtp_246c
aviveko niyantà cet  SRtp_253a
avi÷uddhajaóatvena  SRtp_41c
avyaktamapi varõà÷ca  SRtp_99c
a÷aktaþ kiü kariùyati  SRtp_303b
a÷uddhayora÷uddhaiva  SRtp_175a
a÷eùasyàpi vastunaþ  SRtp_292d
a÷eùàrthakriyàvidhau  SRtp_195b
aùñàda÷abhiradhvàyaü  SRtp_31c
aùñàvanantapårvàste  SRtp_28a
aùñàvaùñau padànyeka-  SRtp_101a
aùñàviü÷atisaükhyasitu  SRtp_94a
asataþ prathayatyasau  SRtp_204b
asàvapi tathocyate  SRtp_275d
asti ÷aktiþ ÷ivà÷rayà  SRtp_293b
asmatpreùyo yathà janaþ  SRtp_62b
aheturbandhamokùayoþ  SRtp_205d
àkàradvayasaüvittir  SRtp_292c
àgamaþ kathamadvaitam  SRtp_222a
àgamaiþ sopapattikaiþ  SRtp_237b
àgamo 'pi padaistaistaiþ  SRtp_220c
àcàryaistaira÷eùàdhva-  SRtp_164a
àõavaü cinnabho muhuþ  SRtp_188d
àtmakàrye 'pi kãrtitaþ  SRtp_151d
àtmànamanupa÷yati  SRtp_316d
àtmà ÷akti÷ca vij¤eyau  SRtp_49c
àdimadhyàntarahità  SRtp_185c
àdyà tu saüvid vij¤ànaü  SRtp_128a
ànandavipralabdhànàm  SRtp_14c
ànandopahità citiþ  SRtp_14d
àpta÷cintàmaõiryathà  SRtp_20d
àptastu ÷iva evaikaþ  SRtp_11c
àptoktiratra siddhàntaþ  SRtp_10a
àbhyo viviktamàtmànaü  SRtp_81c
àropyàtmani cidguõam  SRtp_246b
àropyàtmani tadvçtti-  SRtp_244c
à÷àmàtravijçmbhità  SRtp_220b
à÷àsvekaika÷o da÷a  SRtp_92b
àhuràtmavido janàþ  SRtp_80d
icchàkàryamanicchàpi  SRtp_191c
icchàj¤ànakriyàdyà yat  SRtp_276c
iti jànàti yaþ ÷aktaþ  SRtp_64c
iti tatràbhidhãyate  SRtp_134b
iti bhogaþ samàkhyàtaþ  SRtp_148a
ito 'pi lakùyate bindur  SRtp_50a
ityadvaitagrahàviùñàþ  SRtp_213a
ityadvaitaprasiddhaye  SRtp_218b
ityàkhyàtà mahàmàyà  SRtp_163c
idamandhatamaþ kçtsnam  SRtp_302c
idamevaü mayà kùubdham  SRtp_64a
indunàrkasya sannidhau  SRtp_189b
iyaü kuõóalinã parà  SRtp_127b
iva bhåtàdikàraõam  SRtp_58b
iùñamasmàd vibhidyate  SRtp_297d
iùñaü sampàdayed dhruvam  SRtp_64b
iùyetaiùa karoti ca  SRtp_67b
ã÷àdhikakriyà÷aktyor  SRtp_130c
ã÷ànamårdhà puüvaktro  SRtp_281c
ã÷àno mantraràóenàm  SRtp_117c
ã÷varapreritaþ kuryàc  SRtp_152a
ã÷varaþ kàraõaü tatra  SRtp_113c
ã÷varàõàü ÷ivànàü ca  SRtp_4c
ã÷varàõàü ÷ivànàü ca  SRtp_277a
ã÷varã sarvadodità  SRtp_167d
uttirõamàyamàtmànaü  SRtp_176c
uttãrõamàyàmbudhayo  SRtp_23a
utpattinà÷au màyeya-  SRtp_35a
utpadyate na÷yati và  SRtp_196c
udakùeõordhvavaktreõa  SRtp_16c
udapàdi na tatpunaþ  SRtp_210b
uddi÷ya ÷aktirã÷asya  SRtp_177a
upàdànamato binduþ  SRtp_40a
upàdànamana÷varam  SRtp_38d
upàdànaü kalàdãnàm  SRtp_165a
upàdànaü kalàdãnàü  SRtp_150a
upàdànaü ÷arãràõàü  SRtp_158a
upàdhiþ kàryamã÷ituþ  SRtp_300d
ullikhan labhate citim  SRtp_59b
eka eva ÷ivastadvac  SRtp_283a
eka eva ÷ivo naika-  SRtp_144a
ekamindumanekàüstàn  SRtp_234c
ekànekavibhàgeva  SRtp_190c
ekànekàyate bhramàt  SRtp_204d
ekà÷ãtipadà devã  SRtp_93c
ekaiva khalu cicchaktiþ  SRtp_180c
eko devastridhà bhavet  SRtp_181d
etadeva parà kàùñhà  SRtp_8c
etadeva mataü bãjaü  SRtp_7a
evaü màyaikade÷ena  SRtp_178c
eùà hi pariõàminã  SRtp_69b
aikye hi na tayorhetu-  SRtp_217c
omityàdyaü padaü mantràþ  SRtp_116a
aupacàrikamçcchati  SRtp_288b
kañhinà vajralà¤chità  SRtp_95d
kathaü kasmàcca te punaþ  SRtp_141d
kathaü vàyaü bhavet kartà  SRtp_301c
kathitànyatra varõàstu  SRtp_110a
kadàcit kurute ki¤cin  SRtp_306a
kanda÷cijjaóavastunoþ  SRtp_247d
karaõàni tayostathà  SRtp_250d
karaõena vinà kàryaü  SRtp_299c
kartàraü sàdhayet tataþ  SRtp_159b
kartà ÷uddhàdhvano mataþ  SRtp_133b
kartà sargàdikàryàõàm  SRtp_312c
kartàsya ÷iva eva yat  SRtp_262b
kartà heturmahe÷varaþ  SRtp_151b
kartçbhedo 'vadhàryate  SRtp_69d
kartrà kenàpyadhiùñhità  SRtp_149d
karmaõà vartate param  SRtp_317d
karmaõaiva nivartyeta  SRtp_239a
karmaõoþ sannipàtena  SRtp_315c
karmopabhogaü kurute  SRtp_55c
kalàdiùvajaràmaram  SRtp_88d
kalàdhvà bindumà÷ritaþ  SRtp_88b
kalàdhvà varõitaþ pårvaü  SRtp_89c
kalàdhveti prakãrtitaþ  SRtp_118b
kalànàmavibhàgo 'yaü  SRtp_272a
kalànàü nitya÷uddhayoþ  SRtp_162d
kalàyàmavanãü vinà  SRtp_98b
kalàvidyàdikàraõam  SRtp_160b
kalàvyàptasvaråpà ca  SRtp_154c
kalàvyàptasvaråpiõã  SRtp_150b
kalà÷uddhyà vi÷uddhyati  SRtp_160d
kalàstà binduvçttayaþ  SRtp_86b
kalà hi ÷odhitàþ pa¤ca  SRtp_161a
kalpavçkùaþ prayacchati  SRtp_193d
kallolairnàdayannabhaþ  SRtp_189d
kasya kena kathaü vyàptir  SRtp_218a
kàmakàritayànyaistu  SRtp_12c
kàmànapi bahånekaþ  SRtp_193c
kàraõaj¤ànavarjitaþ  SRtp_301d
kàraõatvàd yathe÷varaþ  SRtp_200b
kàraõaü timiràdivat  SRtp_238b
kàraõaü ÷aktirà÷rità  SRtp_289b
kàraõaü ÷uddhavartmanaþ  SRtp_173b
kàrtikeyàya dhãmate  SRtp_1d
kàrmàõavamalànvayaiþ  SRtp_42b
kàryaputràdiråpàõàm  SRtp_295c
kàryabhedàdadhiùñhàna-  SRtp_270a
kàryabhedàd vibhàvyate  SRtp_190d
kàryabhedàya ghañate  SRtp_310c
kàryabhedo 'pi kàryasya  SRtp_307a
kàryamadhvà vi÷eùataþ  SRtp_161d
kàryavàdavicakùaõaiþ  SRtp_164b
kàryàõàü heturucyate  SRtp_278d
kàryàtmikà sà màyeyaü  SRtp_158c
kàryopàdhiva÷àcchakti-  SRtp_298c
ki¤ca màyà prayojyena  SRtp_149c
ki¤ca ÷abdàþ parityajya  SRtp_223a
ki¤càgçhãtamapi ced  SRtp_300c
ki¤càti÷àyikaü pràhus  SRtp_57a
ki¤cit kenacideva yat  SRtp_252b
kiü tairiti vilupyatàm  SRtp_56b
kiü punaþ ÷araõàyàtaü  SRtp_320a
kãrtayanti vipa÷citaþ  SRtp_202d
kumbhakàreõa mçd yathà  SRtp_45d
kurute 'cintyavaibhavà  SRtp_193b
kurute tada÷eùataþ  SRtp_142d
kurvato 'pi kuñãü buddhiþ  SRtp_70a
kurvan kartà bhavediti  SRtp_299d
kurvanti pa¤cakçtyàni  SRtp_287a
kurvàõecchà cidavyayà  SRtp_191d
kulàlàdhiùñhità satã  SRtp_124b
kulàlena tathà hyasau  SRtp_150d
kçtavarõaparigrahà  SRtp_73d
kçtà ÷rãkaõñhasåriõà  SRtp_322b
kçtyeùu teùu kartàsau  SRtp_265a
kecidàcakùate binduþ  SRtp_126c
kena và pratipàdyate  SRtp_202b
kevalaü buddhyupàdànà  SRtp_74c
kevalaþ paramànando  SRtp_78c
kevalànàü mahàtmanàm  SRtp_131b
kramàd varõànupàyinã  SRtp_74d
kriyayà kurute jagat  SRtp_128d
kriyayà hetubhåtatvàt  SRtp_139c
kriyà kuõóalinã parà  SRtp_128b
kriyàkhyà ÷aktirai÷varã  SRtp_266d
kriyà÷akti÷cideva yat  SRtp_139d
kriyà hi phaladà puüsàü  SRtp_129a
kvathyamàne ca vàriõi  SRtp_236b
kva và lãyeta kena và  SRtp_140d
kùakàro 'rõeùu kãrtitaþ  SRtp_93b
kùantumarhanti tatsanto  SRtp_3c
kùãyate na ca vardhate  SRtp_195d
kùãrasya dadhibhàvavat  SRtp_36b
kùubdhe 'dhikàro devasya  SRtp_180a
kùobhitànantatejasà  SRtp_40d
kùobhyate 'nantanàthena  SRtp_45c
gabhastiþ syàt tathà ÷ivaþ  SRtp_312b
gabhãre cinmahodadhau  SRtp_284b
gamakaü vidyate kvacit  SRtp_262d
garbhiõã paramà kalà  SRtp_116d
galite sarvathà bandhe  SRtp_254c
gàdikàntàstrayo matàþ  SRtp_110b
guravaþ kathayantyenam  SRtp_63a
gurave ca gaõe÷àya  SRtp_1c
gurave ÷ivatejase  SRtp_320d
gurubhiþ pratibodhyante  SRtp_213c
guhyo jàtatanåjjvalaþ  SRtp_282b
gocaraiva satã ca yat  SRtp_45b
gopitàni ÷ivena ca  SRtp_18b
gauõe 'rthe lokavedayoþ  SRtp_223d
gaurbràhmaõo 'yamàdityo  SRtp_224a
grahaõe lampañodayà  SRtp_290b
gràhyà yàrthasya vàcikà  SRtp_73b
ghañamàrabhate yathà  SRtp_309b
ghoro nityoditaþ prabhuþ  SRtp_78d
catasro vçttayastasya  SRtp_72a
caraõena kareõa ca  SRtp_319b
caryàto vàtha dãkùayà  SRtp_147b
citi yujyeta tanmate(?)  SRtp_219b
citireva matàmlàna-  SRtp_186c
citiü sadasadàkàra-  SRtp_203a
citiþ ÷aktiþ prakà÷atvàd  SRtp_196a
citeþ ÷abdànuvedhataþ  SRtp_46b
cidacidgocarastayoþ  SRtp_243b
cidacintyà vibhoþ ÷aktir  SRtp_195a
cidàbhàtyavivekataþ  SRtp_84b
cidghanaikasvaråpiõaþ  SRtp_137d
cidvi÷eùasya vàryate  SRtp_251b
cinotyapacinoti ca  SRtp_196d
cintanãyà mahàkà÷a-  SRtp_117a
cintàmaõi÷ca vividhàn  SRtp_194a
cinmahodadhigàmbhãryam  SRtp_15a
cirasthàpitavi÷vo hi  SRtp_308c
cetanatvàdavçttitvàt  SRtp_49a
caitanyabhàvàdityagre  SRtp_143a
cchidyate malakambukaþ  SRtp_175d
chaktirapyavikàriõã  SRtp_283b
chaïkàpà÷airvimåóhadhãþ  SRtp_212b
chabdavedhena saüvidàm  SRtp_259b
chàntireùà nigadyate  SRtp_113b
chivaü paramakàraõam  SRtp_263d
chubhaü và yadi và÷ubham  SRtp_152b
chreya àptividhàyakaþ  SRtp_10d
jaóadhãrjaóamã÷varam  SRtp_138b
jaóaü và dç÷yate yathà  SRtp_197b
jaóena jaóimàvahaþ  SRtp_137b
jananã mohinã màyà  SRtp_157a
janmàdãnanu jàteti  SRtp_245a
jalatejo 'nilàkà÷a-  SRtp_100c
jalàdikùitiparyantaü  SRtp_41a
jàyate 'dhvà kutaþ ÷uddhaþ  SRtp_140c
jàyate 'dhvà yataþ ÷uddho  SRtp_22a
jàyate bindusaükùobhàd  SRtp_47a
jàyate malaruddhànàm  SRtp_259c
jàyamànena nàmàdi-  SRtp_227a
jàyetànyacca bhagavàn  SRtp_303a
j¤ànamaj¤ànaråpaivam  SRtp_192a
j¤ànamàtranivartakaiþ  SRtp_232d
j¤ànamàtraü tathaiveyam  SRtp_204c
j¤àna÷aktyà vijànàti  SRtp_128c
j¤ànaü paràmçtopàya-  SRtp_171c
j¤ànànivçttiü gamayet  SRtp_238a
j¤ànàni siddhayo mokùà  SRtp_8a
jyotirgaõànàmàkà÷am  SRtp_58a
¤àdayo 'tra ghakàràntà  SRtp_106a
takràvasthà niråpyate  SRtp_36d
tacca ÷abdànuvedhena  SRtp_172a
tacchivapraõidhànena  SRtp_238c
tatastadavadhàrayet  SRtp_16d
tataþ sa teùàmeko 'pi  SRtp_287c
tataþ sçùñiü prakurute  SRtp_61c
tato nidar÷anaü sàdhu  SRtp_39a
tato 'bhåd viùayàbhoga-  SRtp_171a
tatkàryaü sà kriyà÷aktir  SRtp_275c
tattadvçttivi÷eùataþ  SRtp_310b
tattvajàtamasåta sà  SRtp_41b
tattvatàttvikabhàvànàm  SRtp_38c
tattvameùàmasåtàïga-  SRtp_30c
tattvamai÷aü samà÷ritàþ  SRtp_27b
tattvàtmà syàt sadà÷ivaþ  SRtp_130b
tattvàdãnàmato bindoþ  SRtp_161c
tattvàdhvà bhuvanàdhvà ca  SRtp_87c
tattveùu teùu vij¤àna-  SRtp_131a
tatpralãnàõusaüghasya  SRtp_96c
tatpralãnàõusaüghasya  SRtp_103a
tatpralãnàõusaüghasya  SRtp_108c
tatpralãnàõusaüghasya  SRtp_112c
tatra cit svàbhisambandha-  SRtp_244a
tatra bhoktçtayà bhogaiþ  SRtp_173c
tatra vidyàbhujaþ pårve  SRtp_24c
tatra ÷akto bhavedàdyo  SRtp_266a
tatra sannidhimàtreõa  SRtp_122a
tatra sà tu parà kalà  SRtp_94d
tatra sà vaikharã ÷rotra-  SRtp_73a
tatra sthålà guõàtmikà  SRtp_155d
tatràkùubdhe bhavedbhogo  SRtp_179c
tatràõavaþ pureùvàsan  SRtp_29a
tatsattà sàdhyate kasya  SRtp_202a
tatsamparkiasukhaikàgra-  SRtp_286a
tatsambandhàcchivo '÷eùa-  SRtp_278c
tathà caiùa tatastathà  SRtp_33b
tathànàhitasaüskàra-  SRtp_194c
tathànyaiþ pratipàdyate  SRtp_14b
tathà parãkùità samyag  SRtp_237a
tathà pare paravyoma  SRtp_286c
tathà puràõi tatraiùàm  SRtp_28c
tathà vidye÷varo 'nanto  SRtp_61a
tathà samàsamàtmãya-  SRtp_314a
tathà hi tàü samà÷ritya  SRtp_201a
tathà hi dehe 'haübuddhir  SRtp_249a
tathà hi bhedo bhàvànàü  SRtp_208a
tathà hi màyà yà teùàü  SRtp_40c
tathà hi vimalodàra-  SRtp_284a
tathà hi sarvo nirdhåta-  SRtp_65c
tathaikade÷ato binduþ  SRtp_178a
tathaiva ca citiþ ÷aktis  SRtp_52c
tathaiva prakçtisteùàü  SRtp_155a
tathaivàyaü mahe÷varaþ  SRtp_48d
tathaivàvyaktamiùyate  SRtp_179b
tadatra kathitaü sarva-  SRtp_16a
tadadhiùñhàyako j¤eyaþ  SRtp_114a
tadaprakà÷aråpaü và  SRtp_197a
tadava÷yaü jaóàtmakam  SRtp_136b
tadaharjàtabàlavat  SRtp_260d
tadà såkùmà vi÷uddheva  SRtp_84a
tadupàdhiva÷àd bhavet  SRtp_53b
tadetadråpiõã ÷aktiþ  SRtp_193a
tadeva yadi tatkuryàt  SRtp_56a
tadeva viùayagrahaþ  SRtp_296b
tadaiva hi vimukto 'sau  SRtp_317a
tadgocarà parà mårtir  SRtp_272c
tadvajjaóaü ca caitanyam  SRtp_246a
tadvadeva matà ÷aktis  SRtp_288c
tadvadyogaü ca ko vetti  SRtp_19c
tadvaicitryavidhàyinaþ  SRtp_142b
tanubhogàdi jàyate  SRtp_148d
tanubhogendriyasthàna-  SRtp_275a
tanubhogendriyàdikam  SRtp_135b
tanubhogendriyàdibhiþ  SRtp_26b
tannàmàdivi÷eùavat  SRtp_228d
tanmàyeyaü yathà kalà  SRtp_34d
tamambaramana÷varam  SRtp_57b
tamasàcchàdyamànà hi  SRtp_258c
tamasàrãn manãùayà  SRtp_19b
tamàsevya mayàpyeùà  SRtp_21a
tayaitayàbhisambandha-  SRtp_187c
tayaitayàbhisambandhàd  SRtp_181c
tayorapyavikàriõoþ  SRtp_52d
tayoràgamavedibhiþ  SRtp_165d
tayorbandho niyàmakaþ  SRtp_252d
tayorbhedo 'dhunocyate  SRtp_288d
tayoþ prasaratoþ sàmye  SRtp_130a
tasmàdvivartate saüvid  SRtp_241c
tasmànna baddho bandho 'nyo  SRtp_206a
tasmànnaiùà vikàriõã  SRtp_197d
tasmin mukulitevàste  SRtp_266c
tasya ÷aktiü paràpekùaü  SRtp_292a
tasyàü patitamàtràyàü  SRtp_316a
tasyàþ syàt sadvitãyatà  SRtp_214d
tàbhyàmevopade÷àbhyàü  SRtp_198a
tàbhyàü na virahastasya  SRtp_129c
tàmàhuramçtàhvayàm  SRtp_78b
tàmetàmadvayàmeke  SRtp_202c
tàmeva vàõãü såkùmàkhyàm  SRtp_80c
timiràdiryathàrogya-  SRtp_239c
tirodadhàti bhagavàn  SRtp_264c
tulyaivàkalpanàrthajà  SRtp_208d
te ca na staþ ÷ivaü vinà  SRtp_129d
tena bandhastayormataþ  SRtp_251d
tena bandho 'sti bandha÷ca  SRtp_253c
tena vidyeti gãyate  SRtp_109b
tena ÷aktiþ paràpekùaü  SRtp_294c
tenaike samadhiùñhitàþ  SRtp_284d
tebhyo 'dhikàþ pare 'nye tu  SRtp_51a
teùàü puràõi viyàyàü  SRtp_25c
teùu kàlànalàdãnàm  SRtp_91c
taistairbhàvairvivartate  SRtp_233b
tau hi cinmàtraråpiõau  SRtp_283d
tyaktvaikamekaü sampràpya  SRtp_88c
tyàgopàdànakàraõam  SRtp_56d
trayaü dãkùàpratiùthayoþ  SRtp_7b
trayoviü÷atiràmnàtàþ  SRtp_100a
tràõàt saüsàrasàgaràt  SRtp_269b
trikoõà svastikàïkità  SRtp_107d
tridhà vij¤ànakevalàþ  SRtp_23d
tribhi÷ca tattvairuddiùño  SRtp_32a
trividhaþ pa¤casåcyate  SRtp_265b
trividhopàdhisambhedàl  SRtp_181a
trãõi ratnàni ko vetti  SRtp_18c
trãõi siddhàntasàgaràt  SRtp_2b
dadhna÷ca takravat tatra  SRtp_36c
da÷adigbàhumaõóalaþ  SRtp_281d
da÷àùñau bhuvanàni ca  SRtp_109d
dàtarã÷e yathàgamam  SRtp_146b
dànàdànàdikarmabhiþ  SRtp_191b
duþkhànuùaïgànmàyeya-  SRtp_42a
dçkkriyecchàvi÷àlàkùo  SRtp_281a
dçk÷aktivat kriyà÷aktir  SRtp_127a
dç÷yante pudgalàþ kecid  SRtp_50c
devaþ sakalaniùkalaþ  SRtp_268d
devaþ sadà÷ivastatra  SRtp_118a
de÷akàlanarànyatve  SRtp_240a
de÷akàlàdyapekùàkùair  SRtp_210a
de÷àdinà sa siddho 'dhvà  SRtp_153c
dehendriyàdayaþ ÷uddhàþ  SRtp_277c
dravatà÷uùkatàhetur  SRtp_313c
dvidhà sà sannidhàvekà  SRtp_121c
dve ÷aktã samavàyinyau  SRtp_127c
dveùaràgàdyabhàvataþ  SRtp_112d
dvaitabhàvastato 'nyatra  SRtp_219c
dhanyà hi ÷ivayoginaþ  SRtp_318d
dhanyairàghràyate sadà  SRtp_13d
dharmàdharmatuùakùayaþ  SRtp_176b
dharmàvàha mahe÷varaþ  SRtp_35b
dharmidçùñàntahetavaþ  SRtp_215b
dhàraõãyatayà dhiyà  SRtp_4d
dhyàtavyà galapadmàntar-  SRtp_102c
dhyàtavyà tàlupadmàntar-  SRtp_108a
dhyàtavyà sà parà ÷aktir  SRtp_112a
dhyàtavyodyadanekàrcir  SRtp_96a
dhyeyaü ca yogamàrgeõa  SRtp_9c
na karmaõàõorvaicitryam  SRtp_54c
na càyaü bhàvanàsaüj¤aþ  SRtp_59c
na jàyate na mriyate  SRtp_195c
na j¤ànaü syàt phalapradam  SRtp_129b
na tatra màyopàdànaü  SRtp_148c
na tasya yuktiþ ÷àstraü và  SRtp_138c
na tàni punaranyasya  SRtp_250c
na tànutpàdayatyarthàn  SRtp_204a
na tàbhyàü sadç÷aþ ka÷cic  SRtp_10c
na tu cinmàtravedinaþ  SRtp_257d
na tu nirviùayaü j¤ànaü  SRtp_296a
na tu vçttestatastathà  SRtp_63d
na tu vyàpakamàtràõàü  SRtp_162a
na tu ÷aktiþ paràpekùà  SRtp_299a
na tu hetvàdikaü param  SRtp_294b
na te muktà bhavanti ca  SRtp_258d
na te vi÷vasya kartàraþ  SRtp_262a
na teùàmasito màrgaþ  SRtp_160c
na dadhno nàpi dugdhasya  SRtp_37a
nadãjanapadodyàna-  SRtp_319c
