Cakrapaninatha: Bhavopaharastotra 
(mula text extracted from the commented version)
Based on the ed. by Mukunda Ramashastri
Bombay : Tatva-vivechaka Press 1918
(Kashmir Series of Sanskrit Texts and Studies, 14)


Input by Somadeva Vasudeva,
2003


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akhaï¬amaï¬alÃkÃra-  CakBhst_34a
kaÓcid viÓramya tÃpasa÷  CakBhst_47b
ka÷ karoti budha÷ sthÃïor  CakBhst_13c
kÃyakaækÃlakandale  CakBhst_8d
kÃladehÃpahÃriïe  CakBhst_1b
kim u bÃhyÃrthabhÃvanai÷  CakBhst_33d
kiraïair upara¤jita÷  CakBhst_42b
k­tvÃ japavidhiæ samyak  CakBhst_30c
kriyate te mahÃkÃla-  CakBhst_8c
galatkaivalyasalilam  CakBhst_19c
girÅÓa tis­bhir vÃgbhi÷  CakBhst_21c
guptasau«uptamaï¬ale  CakBhst_10b
g­hÃïa matta÷ ÓrÅkaïÂha!  CakBhst_6c
granthipa¤cakamauktikam  CakBhst_20b
grahaïe candrasÆryayo÷  CakBhst_10d
grahaïe vÃmitÃd dyute  CakBhst_31b
cakre ciccakranÃthasya  CakBhst_47c
candramaule÷ ÓrayantÆccair  CakBhst_44c
candraÓ candrakirÅÂina÷  CakBhst_25b
cÃrucÃmaravan mayÃ  CakBhst_35d
ciccandrÃm­tani÷«yandam  CakBhst_29c
citÃbhÆtivibhÆ«itÃt  CakBhst_6b
cittacintÃmaïir mama  CakBhst_42d
j¤aptimÃtraprati«ÂhÃnam  CakBhst_11c
j¤Ãnaj¤eyaparityÃga-  CakBhst_18a
tat tad dvÃrÃdhipakulaæ  CakBhst_9c
tathÃpy Ã h­dayÃt stotum  CakBhst_4c
tadgÅtam atha te vÃdyam  CakBhst_32c
tadvirÃmarasasnÃnaæ  CakBhst_16c
tava pÃdyam anÃbilam  CakBhst_18d
tava pÆjyaæ manasvibhi÷  CakBhst_9d
tÃï¬avÃ¬ambaroddhata÷  CakBhst_33b
tÃmbÆlaæ te nivedyate  CakBhst_39d
tÃlav­ntair iva vibho  CakBhst_36c
tÃæ svadhÃmni sadodite  CakBhst_30b
tÅrthe yogini«evite  CakBhst_7b
turÅyodyÃnavikasat-  CakBhst_21a
turyapÅÂhaprati«ÂhÃnaæ  CakBhst_12c
trailokyÃkar«aïak«ama÷  CakBhst_38b
tvatpÃdÃbjaraja÷pÆta-  CakBhst_6a
tvatpreritÃ yato nÃtha  CakBhst_5c
dikkÃladeÓakalanÃ-  CakBhst_13a
deyaæ candrÃrdhamaulaye  CakBhst_16d
dve«ado«Ãd vimucyatÃm  CakBhst_45d
dharmÃdharmagalatsneha-  CakBhst_41c
dhÃryate te mahÃÓaya  CakBhst_37d
dhÃryate dhÆrjaÂer agre  CakBhst_35c
dhÆpavartinibhÃbhÃso  CakBhst_22c
dhÆpas te nagajÃdhava  CakBhst_22d
naganirjharavisrutam  CakBhst_18b
nama÷ pÃÓaughasaæghaÂÂa-  CakBhst_3a
nama÷ ÓiÓuniÓÃkÃnta-  CakBhst_2a
nama÷ sÆryakalÃjÃla-  CakBhst_1a
nÃgavallÅdalojjvalam  CakBhst_39b
nÃdaÓaktyuditaæ dhÃma  CakBhst_26a
nÃparÃdho 'sti me kvacit  CakBhst_5d
nÃsÃpuÂakuÂÅkoÂi-  CakBhst_36a
nityoditÃntaravyÃpti-  CakBhst_28c
nivedayÃmi bhagavan  CakBhst_43c
ni÷Óe«ÃrthaparityÃge  CakBhst_31a
ni÷snehatvaæ prabhutvaæ ca  CakBhst_15c
nuter yat samupÃrjitam  CakBhst_45b
paramÃnandadaæ me 'ntas  CakBhst_18c
paramÃnandadehÃya  CakBhst_2c
paraæ pÃraæ titÅr«ava÷  CakBhst_44b
parÃm­tarasÃbhyaÇgaæ  CakBhst_14c
pÃtre vinyasya saæsk­tÃm  CakBhst_43b
pÆjyase nagajÃkÃnta!  CakBhst_10c
pÆrïÃæ vahnau juhomy aje  CakBhst_41d
prakÃÓÃkÃÓahastÃbhyÃm  CakBhst_41a
prak«Ãlya dhÃraïÃmbhobhir  CakBhst_20a
prabhÆtabhÆtasaæbhÆta-  CakBhst_8a
prayacchÃmi v­«Ãkape  CakBhst_20d
prÃïavahniÓikhÃstreïa  CakBhst_22a
prÃïasarvasvadak«iïÃm  CakBhst_43d
prollasadbrahmakamalam  CakBhst_27c
bÃhyÃrthapratipattaye  CakBhst_9b
baindhavaæ tÅrthama¤jasÃ  CakBhst_16b
bodhÃravindasaædoho  CakBhst_28a
bhaÇktvÃ brahmabilaæ lasat  CakBhst_22b
bhavadbhaktisudhÃsÃra-  CakBhst_27a
bhavadbhaktisudhÃsitam  CakBhst_37b
bhavadbhÃvarasÃveÓÃt  CakBhst_33a
bhavÃyÃbhavadÃyine  CakBhst_1d
bhasmÃvaguïÂhitatanor n­kapÃlapÃïe÷  CakBhst_46d
bhÃcakraæ h­dayÃmbarÃt  CakBhst_35b
bhÃvapÆjÃtaraï¬akam  CakBhst_44d
bhÃvapÆjÃm ak­trimÃm  CakBhst_6d
bhogyabhokt­vibhedottha-  CakBhst_40a
mattas tvadaÇghriyugapÅÂhanilÅnamauler  CakBhst_46c
mathitvÃ ÓaktivÃridhim  CakBhst_14b
mantragarbhodarasthÃya  CakBhst_3c
mantraæ manasi tacchaktau  CakBhst_30a
mantrÃdhvani nadÃmy anta÷  CakBhst_33c
mamatÃmandurÃtyÃgÃ-  CakBhst_38a
malatrayavivarjitam  CakBhst_26b
mahÃpÃÓupatodyÃne  CakBhst_47a
mÃnÃvamÃnamatojjhitacittav­tte÷  CakBhst_46b
mudrÃæ badhnÃmi dhÆrjaÂe  CakBhst_31d
mumuk«ÆïÃæ vimuktaye  CakBhst_25d
mÆrtidÃnam anÃbhÃsa-  CakBhst_12a
mok«alak«mÅkarÃmbhoja-  CakBhst_43a
mohadhvÃntÃpanuttaye  CakBhst_24d
yad yad vikalpanÃjÃlaæ  CakBhst_9a
yadyapi tvaæ guïÃtÅto  CakBhst_4a
yÃ gaur dhÃmni pare parÃ  CakBhst_23b
yu«maddhyÃnaniÓÃnÃtha-  CakBhst_42a
yo rÃvo 'tra vij­mbhate  CakBhst_32b
rÃgalobhÃnuyÃyi«u  CakBhst_15b
rÆk«am udvartanaæ tava  CakBhst_15d
recayitvÃ karandhreïa  CakBhst_35a
layaviÓle«akÃriïe  CakBhst_3b
vÃkpater apy agocara÷  CakBhst_4b
vÃsanendhanasaæcayam  CakBhst_40b
vÃhanÃya prakalpita÷  CakBhst_38d
vikasadvastraghar«aïam  CakBhst_17b
vikÃrÃn vikarÃmahe  CakBhst_17d
vitarÃmi jagatpate  CakBhst_12d
vitÃnam upakalpitam  CakBhst_34d
vidrÃvitanabho 'rgalam  CakBhst_26d
viniveÓya bhavatsaævid-  CakBhst_17c
vivaÓÃ viÓvatomukha  CakBhst_5b
viÓvÃkÃÓakuÓeÓayÃt  CakBhst_29b
vis­tai÷ pras­tai÷ pura÷  CakBhst_36b
vÅjyase haæsamÃrutai÷  CakBhst_36d
v­ttityÃgÃm­takalÃ-  CakBhst_25a
ÓaktibhÃsopab­æhitam  CakBhst_12b
Óambhor bhÃvanutiæ parÃm  CakBhst_47d
Óa«kulÅkarïayor baddhvÃ  CakBhst_32a
ÓÃækare sreyasÃm nidhau  CakBhst_40d
ÓikhÃæ dÅpaÓikhopamÃm  CakBhst_24b
ÓivatÃbhÃvanÃmbaram  CakBhst_34b
ÓivÃya vinivedaye  CakBhst_14d
ÓivÃya vinivedaye  CakBhst_30d
ÓivÃyÃvyaktamÆrtaye  CakBhst_2d
Óoïitair arghabhÃjanam  CakBhst_8b
ÓyÃmakaïÂhaæ yajÃmy aham  CakBhst_7d
Óreyas tena jagat k­tsnaæ  CakBhst_45c
sadasadvibhramojjhitam  CakBhst_11b
samÃlambhanavevÃstu  CakBhst_25c
sarvÃtapavinirmuktaæ  CakBhst_37a
saæplÃvitah­dambudhe÷  CakBhst_27b
saæbodhadhautavasana÷  CakBhst_7c
saævitsaurabhanirbharai÷  CakBhst_21b
saæÓodhyÃnacchakalayÃ  CakBhst_16a
saæsÃravÃridhe÷ santa÷  CakBhst_44a
sÃ ghaïÂÃ vÃdyate Óambhor  CakBhst_23c
sÆryaÓÅtÃæunetrÃbhyÃæ  CakBhst_14a
stutipu«pai÷ prapÆjyase  CakBhst_21d
stotraæ g­hÃïa parameÓvara viÓvasÃk«in  CakBhst_46a
spandamandirakandarÃt  CakBhst_19b
sphuratspandendusurabhi  CakBhst_39c
svaprabodhÃmbarodÃra-  CakBhst_17a
svasaævinnandanÃnanda-  CakBhst_39a
hara hÃralatÃ tava  CakBhst_28b
harÃya paramÃtmane  CakBhst_3d
hÃnÃdÃnodayÃrambha-  CakBhst_11a
h­tpu«karÃkhye snÃtvÃntas  CakBhst_7a
