Karatoyamahatmya
Based on the edition included as Appendix I in:
Prabhas Chandra Sen: Mahasthan and Its Environs, 
Rajshahi, Bengal : Varendra Research Society 1929
(Varendra Research Society's Monographs, 2)


Input by Arlo Griffiths
(typed with some normalizations and corrections)



PADA INDEX



PREAMBLE
This work is said to be included in a larger work the Uttara-Pauõóra-khaõóa, was first published in 1298 B.S. (1891 A.D.) with a Bengali translation, by Pandit Rajachandra Nyayapanchanan. It consists of two parts: verses 1 to 60, Paundra-khsetra-màhàtmyam and verses 61 to 85, Karatoyà-màhàtmyam. The text is printed here from that edition.
Verse 41 of this work is quoted in Sarvànanda's Tikà sarvasva (1159 A.D.) in the tikà of sloka 32 in vàrivarga; verses 41 and 64, in the Smritichandrikà of Devanabhañña who is quoted by Hemàdri (12th century); verse 41, in the Vyàkhyàsudhà of Bhanuji Dikshit son of Bhattoji Dikshit; verse 63, in Smritiratnakar of Vedàchàrya who quotes Bhavadeva and Jimutavahana and is quoted by Raghunandanda.

NOTE:
For the above information I am indebted to Mr. Subodh Chandra Banerjee M. A. of the Dacca University Manuscript Library which is in possession of manuscripts of the Karatoya-mahatmyam and the other works referred to. No copy of the Uttara-pauõóra-khaõóa has come to light yet.

Verse 63 is quoted in the Tithi-viveka of Sulapàni (first quarter of the 15th century); verses 30 and 37 in the Kçitya-chintàmani of Vàchaspati Mi÷ra of Mithila (second half of the 15th century) and verses 33 and 63 in the Amàvàsyà-prakaraõa of the Tithitattva of Raghunandanda (first half of the 16th century).



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





(a)j¤ànataþ snàti yo naraþ  KtoM_77b
kiyàn àkà÷asaübhavaþ  KtoM_31b
kiü bahåktena deve÷i  KtoM_42e
kuõóaü kuõóaü viùõuvinirmitam  KtoM_21d
kulakoñãþ samuddharet  KtoM_30d
kåpo dvãpaþ kanakapatanaü pauõórakùetre 'dbhutàni  KtoM_58d
kçùõaveõã tàmraparõã  KtoM_80a
kena pràkà÷ità sà ca  KtoM_03a
koñikoñiguõaü tatra  KtoM_54c
koñikoñiguõaü bhavet  KtoM_36d
koñikoñiguõaü bhavet  KtoM_53b
koñã÷varãti vi÷rutà  KtoM_18d
kautukàkçùtahçdayaþ  KtoM_15c
kaupaü yat paya eva tailavipulaü pauõóraü puraþ pàtu vaþ  KtoM_60d
kro÷amàtraü mahe÷vari  KtoM_57d
kheùu chhattraü na phaõati phaõã dvisvaro jãvalokaþ  KtoM_58c
gaïgàyàþ karajàyà÷ ca  KtoM_47a
gaïgà và karatoyà và  KtoM_62a
garuóàsana ã÷varaþ  KtoM_07d
gartam ã÷varanirmitam  KtoM_23d
guptà vàràõasã purã  KtoM_56b
gotamã gomukhã revà  KtoM_82c
govindamaõóapàt pårvaü  KtoM_21c
cakre niþkùatriyàü pçthvãm  KtoM_13c
caturmukhaþ pa¤camukhaþ  KtoM_68a
càõóàlàntyajasaüspçùñaü  KtoM_75a
citrà citrotpalà tathà  KtoM_82b
japahomais tathà dàna-  KtoM_54a
jalam atreti sundari  KtoM_47b
jalaü ye manujàþ sakçt  KtoM_78b
jalaü sarvamalàpaham  KtoM_61d
jàmadagnyo mahàvãryas  KtoM_14c
j¤ànaü dadàti bhagavàn iha tàrakàriþ  KtoM_65b
j¤ànaü samàdhivividhaü japasàdhyasiddhiþ  KtoM_79d
tac ca koñiguõaü bhavet  KtoM_34b
tac ca koñiguõaü bhavet  KtoM_35d
tajjalasnànamàtreõa  KtoM_72c
tata÷ caturguõà proktà  KtoM_39e
tataþ para÷uràmeti  KtoM_14a
tato 'pi dviguõà proktà  KtoM_38c
tato 'pi phalabàhulyaü  KtoM_40c
tatkuõóe sutithau snàtvà  KtoM_20a
tattulyaråpàsti nadã na kà cid  KtoM_64a
tatràrohaõamàtreõa  KtoM_56c
tatràste caõóikà devã  KtoM_73c
tatraiva kathitaü tubhyaü  KtoM_05c
tatraiva j¤ànam àsàdya  KtoM_46e
tatraiva viùõunilayaü sakalaü ca yaj¤o  KtoM_79c
tatsabhà vàyukoõe ca  KtoM_23c
tathà cirasarasvatã  KtoM_82d
tathàtreyã punarbhavà  KtoM_81d
tadantargatam etat tu  KtoM_57c
tadàpàraü vidhãyate  KtoM_70d
tad eva koñiguõitaü  KtoM_34c
taddakùiõe 'rpità devã  KtoM_18c
taddhàre pràrthanàmàtràt  KtoM_74a
tarpayanti ca ye sadà  KtoM_42d
tasyeha bhogàn sakalàn  KtoM_85e
tilakaü dhàrayanti vai  KtoM_55b
tiùñhaty eva hi sarvadà  KtoM_07b
tiùñhanti tapaso hetoþ  KtoM_69a
tãrthatoyaü na pàvanam  KtoM_75b
turagàn bhavanàni ca  KtoM_74b
teùàü muktir na sandeho  KtoM_28c
teùàü muktir na saüdeho  KtoM_46c
trikoñikulam uddharet  KtoM_37b
triràtropoùito naraþ  KtoM_27b
trisandhyam ekasandhyaü và  KtoM_85c
tretàdye yasya saüsthitiþ  KtoM_14d
tryahaü gaïgà rajasvalà  KtoM_41b
dakùiõe såryamaõóapam  KtoM_20d
dadàti caõóikà devã  KtoM_74c
dànavendraniùådane  KtoM_12b
dinapàpàn vina÷ya vai  KtoM_77d
durvçttàþ pàparahità  KtoM_78c
devas tàrakamàrako 'pi nitaràü j¤ànaü dadàty adbhutaü  KtoM_60c
devikàü karatoyàü ca  KtoM_29c
devi himavatà jalam  KtoM_04b
devã kàla¤jarã sthità  KtoM_18b
dairghã haimã ghañitasurabhir yaùñivçddhiþ ÷ilàsthiþ  KtoM_58b
dvàràvatyàü ca gaõóakyàü  KtoM_39a
dhanyàsi puõyàsi saridvaràsi  KtoM_64c
dharitryà nàbhikamalaü  KtoM_09c
nadã karajalà bhuvi  KtoM_03b
nadãnàü ca vi÷eùataþ  KtoM_01b
nadãnàü ca vi÷eùataþ  KtoM_06b
nadãs tisraþ pibanti ye  KtoM_29b
namas tasmai munãndràya  KtoM_12a
na mànuùàs te te devà  KtoM_29a
naraþ pàpàt pramucyate  KtoM_20b
naro nàràyaõo bhavet  KtoM_56d
narmadàyamunàjalam  KtoM_75d
na ÷rutaü vistaràt prabho  KtoM_01d
nàràyaõãti vikhyàtà  KtoM_37a
nàhaü vàràõasãü tyaje  KtoM_08d
nirgataü karajà bhuvi  KtoM_04d
nihatya kùatriyàn yudhi  KtoM_13b
nçõàü pàpaharaü puõyaü  KtoM_43c
nairçte liïgakoñya÷ ca  KtoM_19a
naiva mu¤cati ke÷avaþ  KtoM_09b
pa¤cakro÷am idaü kùetraü  KtoM_57a
patanti tasya svargaþ syàd  KtoM_48c
pa÷or j¤ànaü kathayati guhas tadgçhe tàmracåóo  KtoM_58a
pàõigrahaõakàle te  KtoM_04a
pàtakàn mucyate naraþ  KtoM_44d
pàdonà jàhnavã jalà  KtoM_25d
pàpaü hara karodbhave  KtoM_63d
pàpaughàn avi÷eùeõa  KtoM_76c
pàràvàre na dåùayet  KtoM_71d
pàvanaü bhuvi durlabham  KtoM_51b
putravàtsalyabhàvena  KtoM_11a
puruùottame mahàjyaiùñhã-  KtoM_32a
puraiva kathitaü sarvaü  KtoM_05a
puùkaraü na tyajet brahmà  KtoM_08c
påjà÷ràddhakriyàdibhiþ  KtoM_54b
påjà sarvàrthasàdhikà  KtoM_45b
påtaü karajalair mama  KtoM_09d
pårvadharmakùayo bhavet  KtoM_71b
pårvabhàge tu karajà  KtoM_25c
pçthivyàü khyàtavikramaþ  KtoM_14b
pçthivyàü paramo hariþ  KtoM_15d
pçthvyàü vasantyaþ saritaþ  KtoM_83a
pauõórakùetrasya màhàtmyaü  KtoM_01c
pauõórakùetraü mahàpuõyaü  KtoM_72a
pauõórakùetràd uttare ca  KtoM_73a
pauõórakùetre ca sundari  KtoM_54d
pauõóradvãpe pañhitvemaü  KtoM_84a
pauõórasya ca sure÷vari  KtoM_05b
pauõóràn pradakùiõãkçtya  KtoM_84c
pauõóràn plàvayase nityaü  KtoM_63c
pauõóre koñi÷ilàdvãpe  KtoM_16a
pauõóre nàràyaõo hariþ  KtoM_08b
pauùàrke ca yadaiva sà  KtoM_34d
pauùe và màghamàse và  KtoM_36a
prapibanti bhavanti te  KtoM_78d
prabhàvàt tapaso devi  KtoM_23a
prayàge puùkare tathà  KtoM_39b
pràtar maunena yaþ snàyàt  KtoM_30c
pràptimàtreõa sundari  KtoM_70b
pretya yàti paraü sthànaü  KtoM_85g
proccà bhåmir bhavati taruõaþ snànataþ kàmyakuõóe  KtoM_59a
plàvitaü karasaübhavaiþ  KtoM_72b
badaryàkhye kurukùetre  KtoM_39c
bàhudà bàhudànàc ca  KtoM_66a
bàhudàyà÷ ca tãre 'smin  KtoM_61c
brahmalokam avàpnoti  KtoM_77c
brahmaviùõu÷ivàtmane  KtoM_12d
brahmahatyàü vyapohati  KtoM_74f
bhaktimuktiphalàrthàya  KtoM_16e
bhàgà ca ciravallabhã  KtoM_81b
bhàõóànãtajalenàpi  KtoM_76a
bhàrgavàya prakà÷itam  KtoM_11b
bhàrgavena prakà÷ità  KtoM_06d
bhuktvà tadgatamànasaþ  KtoM_85f
bhuvi pàvanam uttamam  KtoM_47d
bhåtike÷varadevasya  KtoM_20c
bhåmiþ saüskçtavedikà  KtoM_17d
bhogo yaj¤o bhramaõanañanaü tatra vàkyaü hi vedaþ  KtoM_59b
matputro 'pi guhas tatra  KtoM_07a
mantreõànena vai snàyàt  KtoM_63e
mamaiva karasaübhavaü  KtoM_43b
mahàpàtakanà÷anam  KtoM_26d
mahàpàtakanà÷anam  KtoM_50d
mahàpuõye suvi÷rute  KtoM_16b
màrkaõóeyo mahàmuniþ  KtoM_67b
màhàtmyaü karatoyàyà  KtoM_31c
màhàtmyaü tajjalasya ca  KtoM_61b
màhàtmyaü yaþ pañhec chuciþ  KtoM_85b
muktikùetraü samàkhyàtaü  KtoM_26c
muktikùetraü samàkhyàtaü  KtoM_50c
muktis teùàü kare sthità  KtoM_42f
muktiþ syàt kevalàmalà  KtoM_46f
mucyate brahmahatyayà  KtoM_84d
mu¤canti nàtra saü÷ayaþ  KtoM_55d
mu¤canti nàtra saü÷ayaþ  KtoM_76d
munãndrasya mahàtmanaþ  KtoM_23b
mçttikà muktidàyinã  KtoM_49d
yat tat phalam avàpnuyàt  KtoM_32d
yat puõyaü ràhudar÷ane  KtoM_35b
yatràste 'dbhutakarmaõàm  KtoM_22d
yatràste bhagavàn viùõur  KtoM_07c
yatràste bhàrgavo muniþ  KtoM_57f
yadi somayutà kuhåþ  KtoM_33b
yadi somayutà kuhåþ  KtoM_36b
yadi syàn mayy anugrahaþ  KtoM_02d
yad uktaü bhàrgavena vai  KtoM_10b
yamunà ca sarasvatã  KtoM_80d
yasyàü saüsthitamànuùàsthi sakalaü pràpnoti pàùàõatàm  KtoM_60b
yà påjà phaladàyinã  KtoM_39d
yàvad indrà÷ caturda÷a  KtoM_28d
yàvad indrà÷ caturda÷a  KtoM_46d
yàvad indrà÷ caturda÷a  KtoM_48d
ye kurvanti sadà snànaü  KtoM_42c
ye tyajanti kalevaram  KtoM_28b
yenàkàri dvijàrpaõam  KtoM_16f
yojanadvayam antarà  KtoM_73b
rajovihãnà taruõo yato 'si  KtoM_64b
rajohãnà mahàpuõyà  KtoM_69c
likhitasya muneþ purà  KtoM_66b
lohinã yatra mçttikà  KtoM_26b
lohinã yatra mçttikà  KtoM_50b
lohinã yatra mçttikà  KtoM_73d
vaktuü naiva hi ÷akyate  KtoM_31d
vasanti bhçguõàrpitàþ  KtoM_19b
vàraõe vijayà caõóã  KtoM_19c
vàràõasã vyasanam eva paraü naràõàm  KtoM_79b
vàràõasãsamo vàsaþ  KtoM_44c
vàràõasyàü kurukùetre  KtoM_35a
vàràõasyàü kçtà påjà  KtoM_38a
vàsudevaþ svayaü vibhuþ  KtoM_67d
vàso và kriyate yadi  KtoM_44b
vipàpà ca vipà÷à ca  KtoM_82a
vipà÷àü pàpanà÷inãm  KtoM_29d
viprabhojanamàtreõa hy  KtoM_52c
vipraikabhojanàd eva  KtoM_53c
vi÷eùaþ pauõóranagare  KtoM_53a
vi÷eùaþ siühabhàskare  KtoM_69d
vi÷eùo nàtra vidyate  KtoM_62b
vi÷eùo lohinã yatra  KtoM_49c
viùõupàdodbhavà puõyà  KtoM_80c
viùõupåjà vi÷eùataþ  KtoM_40b
viùõuprãtivivardhanam  KtoM_72d
viùõuråpadharàþ pàpàn  KtoM_55c
vihàya karajàgaïgà-  KtoM_75c
vedapåjàpàràyaõaþ  KtoM_52b
vedãmadhye 'rpito yåpaþ  KtoM_21a
vedãmadhyottare pàr÷ve  KtoM_18a
vyatipàtena yogena  KtoM_36c
÷akralokaü ca gacchati  KtoM_27d
÷arãràdyantapàvanam  KtoM_16d
÷ilàdvãpaü samàsàdya  KtoM_34a
÷ilàdvãpaü samàsàdya  KtoM_35c
÷iva÷aktyoþ prapåjanàt  KtoM_40d
÷ãtavàhinikà ÷ubhà  KtoM_66d
÷ubhaü pauõóram anuttamam  KtoM_03d
÷çõudhvaü munayaþ sarve  KtoM_10a
÷çõudhvaü munayaþ sarve  KtoM_61a
÷çõuyàd vàpi yo naraþ  KtoM_85d
÷rãkaõñhapàõiprabhave namas te  KtoM_64d
÷rãcakrapàõaye tubhyaü  KtoM_12c
÷rãpauõóravardhanapuraü ÷irasà namàmi  KtoM_24d
÷rãpauõóravardhanaü kùetraü  KtoM_09a
÷rãvãro bhàrgavo muniþ  KtoM_84b
÷rutvà ÷aïkarato vàkyaü  KtoM_10c
÷rotum icchàmi bhåte÷a  KtoM_02c
sa eva bhàrgavaþ ÷rãmàn  KtoM_11c
sadànãravahà smçtà  KtoM_42b
sadànãràjalàrthinaþ  KtoM_69b
sadànãrà mahàpuõyà  KtoM_66c
sadà vahati jàhnavã  KtoM_25b
sadà vahati jàhnavã  KtoM_49b
sadaiva ca karàmbhasi  KtoM_83d
sapàdalakùaü vipràõàü  KtoM_22c
sabhà ràmasya càdbhutà  KtoM_22b
samantàt parikãrtitam  KtoM_57b
samaye dar÷anàt phalam  KtoM_32b
sarayår gaõóakã tathà  KtoM_80b
saricchreùñhe suvi÷rute  KtoM_63b
sarvaj¤aþ suvrataþ ÷uddhaþ  KtoM_15a
sarvadà sarvabhàvena  KtoM_08a
sarvapàpaharaü puõyaü  KtoM_47c
sarvayaj¤aphalaü labhet  KtoM_53d
sarvàcàravidhàyakaþ  KtoM_15b
sarvàmalanivàraõam  KtoM_85h
sarvà raktavahà nadyaþ  KtoM_41c
sarvàs toyacayàþ priye  KtoM_83b
sarve te pa÷cime bhàge  KtoM_68c
saüdeho nàsti sundari  KtoM_45d
saüpårõaphaladàyinã  KtoM_38b
saüpårõamàghamàsaü tu  KtoM_51c
saüpradattaü matkaràc ca  KtoM_04c
saüvàdam ubhayor api  KtoM_10d
saü÷leùàd vardhate nçõàm  KtoM_21b
sàparà karanirgatà  KtoM_62d
såryagraha÷ataiþ samà  KtoM_33d
somavàre kuhåtithau  KtoM_30b
skandagivindayor madhye  KtoM_56a
skandagovindayor madhye  KtoM_17c
skandagovindayor madhye  KtoM_30a
skandamaõóapavàyavye  KtoM_22a
skandàdiviùõubalabhadra÷ivàdidevaiþ  KtoM_24b
snàtvà pãtvà tathà nãraü  KtoM_71c
snàtvà viùõupuraü vrajet  KtoM_51d
snànatarpaõam àva÷yaü  KtoM_70c
snànapànàc ca muktidam  KtoM_43d
snànaü kurvanti ye naràþ  KtoM_76b
snànàd iyaü karajalà duritàni hanti  KtoM_65a
snànàd yatra nihanti pàpanicayaü ÷rãpàõitoyà nadã  KtoM_60a
svarõà campà vetravatã  KtoM_81c
haramårdhni sthità gaïgà  KtoM_62c
harisàyujyam àpnuyàt  KtoM_27f
