Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akÃraæ hyÃtmasambhavam  Stk_2.6d
kaïÂhe vi«ïu÷ samÃÓrita÷  Stk_23.10d
kaïÂho«Âhyaæ cÃ«Âamaæ vidu÷  Stk_19.2d
kaïÂho«Âhyaæ cÃ«Âamaæ sm­tam  Stk_19.11d
kathayasva maheÓvara  Stk_8.26b
kathayasva maheÓvara  Stk_22.1d
kathayasva yathÃrthata÷  Stk_23.13b
kathayasva yathÃvidhi  Stk_8.14b
kathayÃmi tavÃkhilam  Stk_11.11b
kathayÃmi na sandeha÷  Stk_11.2c
kathaæ bhidyeta deveÓa  Stk_19.1c
kathaæ mucyeta bandhanÃt  Stk_17.5d
kathaæ yu¤jÅta sÃdhaka÷  Stk_12.6b
kathaæ vÃ j¤Ãyate j¤Ãnaæ  Stk_17.1c
kathaæ vÃ j¤eyamucyate  Stk_17.1d
kathaæ vyÃpÅ adhaÓcordhvaæ  Stk_20.1a
kathitamiha siddhihetorboddhyavyaæ yatnata÷ siddham  Stk_10.28/c
kathito devadevena  Stk_23.18c
kani«ÂhÃmÃdita÷ k­tvÃ  Stk_1.17c
kamsinsthÃne kathaæ sthitÃ÷  Stk_8.25b
karanyÃsaæ purÃ k­tvÃ  Stk_1.16c
karïikÃyÃæ sadÃÓivam  Stk_7.8d
kartavyaÓcÃpyanukramÃt  Stk_8.19b
kartavyaæ cÃnupÆrvaÓa÷  Stk_8.20b
kartavyaæ tu yathÃkramam  Stk_8.20d
kartavyaæ dhÃraïÃyutam  Stk_8.22d
karma kuryÃdyathepsitam  Stk_1.7d
karmayogyo bhavettata÷  Stk_16.10b
kalÃ¬hyaæ khamalaÇk­tam  Stk_19.2b
kalÃ¬hyaæ taæ vijÃnÅyÃd  Stk_19.6c
kalÃmutpÃdayÃmÃsa  Stk_13.2a
kalpayecca yathÃkramam  Stk_8.15d
kavacaæ vÃyugocare  Stk_7.8b
kavacaæ vÃyunÃ saha  Stk_2.2d
kasminsthÃne tu vicchedyÃ÷  Stk_8.25c
kÃruïyÃttvaæ maheÓvara  Stk_20.1d
kÃlacakramiti khyÃtaæ  Stk_18.1c
kÃlacakravidhÃnaæ tu  Stk_18.1a
kÃlacakraæ samÃkhyÃtaæ  Stk_18.5c
kiæ tu rephavivarjita÷  Stk_21.8d
kuïÂhayitvÃ tata÷ snÃyÃc  Stk_3.5a
kumbhakena nirodhitam  Stk_11.16d
kurute nÃtra saæÓaya÷  Stk_16.3d
kÆrma unmÅlane sm­ta÷  Stk_10.13b
k­karastu k«ute caiva  Stk_10.13c
k­tvÃnta÷karaïaæ hyevaæ  Stk_2.15a
kena vÃ nÅyate tu sa÷  Stk_23.12d
ko na mucyeta bandhanÃt  Stk_8.37b
krameïaiva «a¬Ãnana  Stk_5.2b
kriyÃÓakti÷ parÃ hi sÃ  Stk_13.17d
k«apaïaæ ca tathÃntasthaæ  Stk_19.2c
k«ipettadbahireva ca  Stk_3.7d
k«ipraæ nÃÓayati jvaram  Stk_21.21f
k«mÃdyÃnÃlokya manasÃ  Stk_8.40a
khaÓekharasamÃyuktaæ  Stk_19.11c
khyÃti÷ sarvatra jÃyate  Stk_21.3d
gatibhraæÓakare yoge  Stk_14.2c
gatiæ tasya nivartayet  Stk_14.3d
gandhastasya tu ni«kala÷  Stk_23.6b
gamÃgamasya japata÷  Stk_15.2a
gamÃgamaæ viditvÃ tu  Stk_15.3a
gamÃgama÷ kathaæ tasya  Stk_23.12c
garbhanyÃsavidhi÷ prokto  Stk_7.9a
garbhÃdhÃnaæ tathaiva ca  Stk_8.17b
garbhÃdhÃnÃdikaæ k­tvÃ  Stk_6.3a
gÃndhÃrÅ hastijihvÃ ca  Stk_10.4a
gurutvaæ jÃyate yathÃ  Stk_21.15b
gurudevÃgnibhaktÃya  Stk_23.20c
guruvaktrÃttu labhyeta  Stk_23.3c
guhyaæ vai guhyakena tu  Stk_4.3d
guhyÃdguhyatamaæ guhyaæ  Stk_23.19c
gÆ¬hasti«Âhati Óaækara÷  Stk_13.14b
gÆ¬ha÷ sÆk«mo nira¤jana÷  Stk_13.18b
gÆhanÅyaæ prayatnata÷  Stk_23.19d
g­hastho brahmacÃrÅ ca  Stk_23.23a
g­hÅtvÃtmÃnamÃtmanÃ  Stk_8.26d
gopanÅyÃ prayatnata÷  Stk_8.12d
golakamiva helÃbhihatamutpatanaæ nipÃtanaæ kurute  Stk_10.21/b
granthidvayayutÃ÷ sarve  Stk_8.39a
granthiæ bhittvÃ k«aïena tu  Stk_11.18b
grahajvaravinÃÓaÓca  Stk_21.3a
grahaïaæ pÆrvavadbhavet  Stk_8.42b
grahÃïÃæ nÃÓane mata÷  Stk_21.20b
cakravatyupacÃreïa  Stk_3.5c
cakravatsaæsthitÃ nÃ¬ya÷  Stk_10.3a
cakre bhramatyasau jÅvo  Stk_10.16a
cak«uranyatra pÃtitam  Stk_23.15d
caturaÓraæ samantata÷  Stk_7.3b
caturthÃdyena saæyutam  Stk_1.12b
caturhastamathÃpi vÃ  Stk_7.4b
catvÃriæÓajjapÃddevam  Stk_16.15c
candanena vilepitam  Stk_9.2b
candrÃgniriva saæyuktÃ  Stk_12.1a
cintayÃ rahitaæ yattu  Stk_1.8c
cintayettu vicak«aïa÷  Stk_2.11d
cintayettu vicak«aïa÷  Stk_2.14d
cintayetparamaæ dhÃma  Stk_2.8a
cintayedviparÅtaæ tu  Stk_12.3c
cumbÃkÃreïa vaktreïa  Stk_19.6a
codako darÓayenmÃrgaæ  Stk_23.26c
codako bodhakaÓcaiva  Stk_23.25c
chÃyÃ tasya tu ni«kalÃ  Stk_23.6d
chivatÅrthasya madhyata÷  Stk_3.5b
jagatsarvaæ ca tanmayam  Stk_13.20d
jagatsthÃvarajaÇgamam  Stk_12.3b
jananaæ cÃdhikÃraæ ca  Stk_8.17c
jananÃdivivarjitÃ  Stk_8.11d
janÃ÷ svasthÃnavÃsina÷  Stk_16.11b
japanp­thvÅæ vaÓaæ nayet  Stk_16.15b
japasaækhyÃæ karoti sa÷  Stk_11.10d
japaæ kuryÃdvicak«aïa÷  Stk_16.8d
japÃnte gh­tahomastu  Stk_16.9c
japedya÷ satataæ nara÷  Stk_15.1b
jalasnÃnaæ purÃ k­tvÃ  Stk_4.2a
jÅvasya puru«Ãkhyasya  Stk_11.2a
jÅvaæ prÃïamayaæ budha÷  Stk_8.36b
jÅva÷ kevalatÃæ vrajet  Stk_8.33b
jÅva÷ prayÃti daÓadhÃ  Stk_10.17a
jÅvedvar«advayaæ tu sa÷  Stk_18.2d
jÅvo hyÆrdhvaæ tu recita÷  Stk_11.18d
j¤Ãtameva sak­dyena  Stk_22.18a
j¤ÃtvÃ paramani÷ÓreïÅæ  Stk_22.17c
j¤ÃtvÃ muktastu mocayet  Stk_8.38b
j¤Ãnavij¤Ãnayo÷ sphuÂam  Stk_17.1b
j¤ÃnaÓakti÷ parÃ hi sÃ  Stk_13.16d
j¤ÃnaÓaktyÃ ca bhagavÃn  Stk_13.22a
j¤ÃnÃdevÃsya ÓÃstrasya  Stk_23.24c
j¤ÃnÃm­tamanuttamam  Stk_23.1b
j¤Ãnena j¤eyamÃlokya  Stk_23.5c
j¤Ãyate 'dhyÃtmago yathÃ  Stk_11.1b
jvalatyeva na saæÓaya÷  Stk_21.5d
tataÓcordhvatvamÃyÃnti  Stk_8.39c
tata÷ saædhyÃæ samÃcaret  Stk_3.7b
tato 'nta÷karaïaæ kuru  Stk_2.1d
tato vidyÃ niyuktÃ sÃ  Stk_8.4a
tatkarma paricintayet  Stk_12.4d
tatkÃla eva mukto 'sau  Stk_22.18c
tatk«ayÃtk«apaïaæ sm­tam  Stk_19.8d
tattrimÃrgaæ tryadhi«ÂhÃnaæ  Stk_20.4a
tattvata÷ kathaya prabho  Stk_19.1d
tattvaæ tacch­ïu «aïmukha  Stk_14.2d
tattvaæ tattvena saædhayet  Stk_8.42d
tattve tattve tvidaæ karma  Stk_8.21a
tattve tattve niyoktavyÃ  Stk_8.40c
tatparaæ parikÅrtitam  Stk_1.8d
tatparaæ ÓÃntamavyayam  Stk_8.7b
tatprayogaæ samÃcaret  Stk_2.5b
tatra deva÷ Óiva÷ sÆk«mo  Stk_13.14a
tatra vi«ïu÷ svayaæ bÅje  Stk_13.18a
tatrasthaæ taæ vijÃnÅyÃd  Stk_19.7c
tatrastho vyÃpayetprabhu÷  Stk_23.15b
tatraiva modate mantrÅ  Stk_16.16c
tatsarvaæ mÆlamÃÓrayet  Stk_7.11b
tatsarvaæ h­dayena tu  Stk_5.5d
tathÃcamanameva ca  Stk_5.4d
tathÃ j¤Ãnaæ parityajet  Stk_23.5d
tathÃpi yoginÃæ yogo  Stk_23.16a
tathaivÃÇgÃni yatnata÷  Stk_1.18b
tadantaæ tadvijÃnÅyÃt  Stk_23.15a
tadÃ cotkramate dhruvam  Stk_8.31b
tadÃ sÃyujyatÃæ yÃnti  Stk_8.29a
tadÆrdhvaæ ca «a¬Ãnana  Stk_4.1b
tadÆrdhvaæ tu prati«ÂhÃ syÃd  Stk_8.3c
tadd­«ÂvÃ chedanaæ kuryÃn  Stk_8.32c
tadbÅjamaparaæ brahmÃ  Stk_13.17a
tadbÅjaæ paramaæ devaæ  Stk_13.14c
tadvak«yÃmyanupÆrvaÓa÷  Stk_8.15b
tadvajjÅvo 'tra saæsthita÷  Stk_20.7b
tadviditvÃ mahÃsena  Stk_1.6a
tantravistÃragocara÷  Stk_13.22f
tanmayastallayo bhÆtvÃ  Stk_15.3c
tamuddiÓya k­taæ karma  Stk_8.30a
talikÃæ hastap­«Âhaæ ca  Stk_1.17a
tasmÃtprÃïa÷ prakÅrtita÷  Stk_10.8d
tasminprÃpya nivartate  Stk_23.13d
tasya deho na vaktavya÷  Stk_22.17a
tasyÃ Ærdhvaæ parÃtparam  Stk_23.9b
tasyÃnte tu paraæ padam  Stk_23.11d
tasyordhvaæ vÃmapÃrÓve 'tha  Stk_13.12c
taæ viditvÃ mahÃsena  Stk_8.7c
taæ viditvÃ mahÃsena  Stk_8.36a
tÃ¬anaæ ca tathÃ param  Stk_8.16b
tÃ¬ane ca tathaiva ca  Stk_8.19d
tÃ¬ayitvÃ purÃ vatsa  Stk_8.42a
tÃd­geva punaÓcÃsau  Stk_21.8c
tÃmeva m­ttikÃæ paÓcÃd  Stk_3.2c
tÃlumadhye sthito rudro  Stk_23.11a
tÃvadbhireva codghÃtair  Stk_21.13c
tÃvadbhramati saæsÃre  Stk_20.5c
tiryak caiva kathaæ bhavet  Stk_20.1b
tiryagÆrdhvamadhaÓcaiva  Stk_10.2c
tile«u ca yathÃ tailaæ  Stk_23.4a
turyÃtÅtaæ sadÃÓivam  Stk_2.7d
tulÃpuru«ayogo 'yam  Stk_21.16c
tu«ÃnkuÂÂayatÅva sa÷  Stk_12.6d
t­ïÃgraæ yÃvadÃgatÃ  Stk_20.6d
te janÃ vaÓamÃyÃnti  Stk_16.12c
tejaÓceto dvirabhyasya  Stk_8.41c
