Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akriyÃpi kriyÃ tathÃ  SRtp_192b
ÅÓÃnamÆrdhÃ puævaktro  SRtp_281c
ÅÓÃno mantrarÃ¬enÃm  SRtp_117c
ÅÓvaraprerita÷ kuryÃc  SRtp_152a
ÅÓvara÷ kÃraïaæ tatra  SRtp_113c
ÅÓvarÃïÃæ ÓivÃnÃæ ca  SRtp_4c
ÅÓvarÃïÃæ ÓivÃnÃæ ca  SRtp_277a
ÅÓvarÅ sarvadoditÃ  SRtp_167d
uttirïamÃyamÃtmÃnaæ  SRtp_176c
uttÅrïamÃyÃmbudhayo  SRtp_23a
utpattinÃÓau mÃyeya-  SRtp_35a
utpadyate naÓyati vÃ  SRtp_196c
udak«eïordhvavaktreïa  SRtp_16c
udapÃdi na tatpuna÷  SRtp_210b
uddiÓya ÓaktirÅÓasya  SRtp_177a
upÃdÃnamato bindu÷  SRtp_40a
upÃdÃnamanaÓvaram  SRtp_38d
upÃdÃnaæ kalÃdÅnÃm  SRtp_165a
upÃdÃnaæ kalÃdÅnÃæ  SRtp_150a
upÃdÃnaæ ÓarÅrÃïÃæ  SRtp_158a
upÃdhi÷ kÃryamÅÓitu÷  SRtp_300d
ullikhan labhate citim  SRtp_59b
eka eva Óivastadvac  SRtp_283a
eka eva Óivo naika-  SRtp_144a
ekamindumanekÃæstÃn  SRtp_234c
ekÃnekavibhÃgeva  SRtp_190c
ekÃnekÃyate bhramÃt  SRtp_204d
ekÃÓÅtipadÃ devÅ  SRtp_93c
ekaiva khalu cicchakti÷  SRtp_180c
eko devastridhÃ bhavet  SRtp_181d
etadeva parÃ kÃ«ÂhÃ  SRtp_8c
etadeva mataæ bÅjaæ  SRtp_7a
evaæ mÃyaikadeÓena  SRtp_178c
e«Ã hi pariïÃminÅ  SRtp_69b
aikye hi na tayorhetu-  SRtp_217c
omityÃdyaæ padaæ mantrÃ÷  SRtp_116a
aupacÃrikam­cchati  SRtp_288b
kaÂhinÃ vajralÃ¤chitÃ  SRtp_95d
kathaæ kasmÃcca te puna÷  SRtp_141d
kathaæ vÃyaæ bhavet kartÃ  SRtp_301c
kathitÃnyatra varïÃstu  SRtp_110a
kadÃcit kurute ki¤cin  SRtp_306a
kandaÓcijja¬avastuno÷  SRtp_247d
karaïÃni tayostathÃ  SRtp_250d
karaïena vinÃ kÃryaæ  SRtp_299c
kartÃraæ sÃdhayet tata÷  SRtp_159b
kartÃ ÓuddhÃdhvano mata÷  SRtp_133b
kartÃ sargÃdikÃryÃïÃm  SRtp_312c
kartÃsya Óiva eva yat  SRtp_262b
kartÃ heturmaheÓvara÷  SRtp_151b
kart­bhedo 'vadhÃryate  SRtp_69d
kartrÃ kenÃpyadhi«ÂhitÃ  SRtp_149d
karmaïÃ vartate param  SRtp_317d
karmaïaiva nivartyeta  SRtp_239a
karmaïo÷ sannipÃtena  SRtp_315c
karmopabhogaæ kurute  SRtp_55c
kalÃdi«vajarÃmaram  SRtp_88d
kalÃdhvÃ bindumÃÓrita÷  SRtp_88b
kalÃdhvÃ varïita÷ pÆrvaæ  SRtp_89c
kalÃdhveti prakÅrtita÷  SRtp_118b
kalÃnÃmavibhÃgo 'yaæ  SRtp_272a
kalÃnÃæ nityaÓuddhayo÷  SRtp_162d
kalÃyÃmavanÅæ vinÃ  SRtp_98b
kalÃvidyÃdikÃraïam  SRtp_160b
kalÃvyÃptasvarÆpÃ ca  SRtp_154c
kalÃvyÃptasvarÆpiïÅ  SRtp_150b
kalÃÓuddhyÃ viÓuddhyati  SRtp_160d
kalÃstÃ binduv­ttaya÷  SRtp_86b
kalÃ hi ÓodhitÃ÷ pa¤ca  SRtp_161a
kalpav­k«a÷ prayacchati  SRtp_193d
kallolairnÃdayannabha÷  SRtp_189d
kasya kena kathaæ vyÃptir  SRtp_218a
kÃmakÃritayÃnyaistu  SRtp_12c
kÃmÃnapi bahÆneka÷  SRtp_193c
kÃraïaj¤Ãnavarjita÷  SRtp_301d
kÃraïatvÃd yatheÓvara÷  SRtp_200b
kÃraïaæ timirÃdivat  SRtp_238b
kÃraïaæ ÓaktirÃÓritÃ  SRtp_289b
kÃraïaæ Óuddhavartmana÷  SRtp_173b
kÃrtikeyÃya dhÅmate  SRtp_1d
kÃrmÃïavamalÃnvayai÷  SRtp_42b
kÃryaputrÃdirÆpÃïÃm  SRtp_295c
kÃryabhedÃdadhi«ÂhÃna-  SRtp_270a
kÃryabhedÃd vibhÃvyate  SRtp_190d
kÃryabhedÃya ghaÂate  SRtp_310c
kÃryabhedo 'pi kÃryasya  SRtp_307a
kÃryamadhvÃ viÓe«ata÷  SRtp_161d
kÃryavÃdavicak«aïai÷  SRtp_164b
kÃryÃïÃæ heturucyate  SRtp_278d
kÃryÃtmikÃ sÃ mÃyeyaæ  SRtp_158c
kÃryopÃdhivaÓÃcchakti-  SRtp_298c
ki¤ca mÃyÃ prayojyena  SRtp_149c
ki¤ca ÓabdÃ÷ parityajya  SRtp_223a
ki¤cÃg­hÅtamapi ced  SRtp_300c
ki¤cÃtiÓÃyikaæ prÃhus  SRtp_57a
ki¤cit kenacideva yat  SRtp_252b
kiæ tairiti vilupyatÃm  SRtp_56b
kiæ puna÷ ÓaraïÃyÃtaæ  SRtp_320a
kÅrtayanti vipaÓcita÷  SRtp_202d
kumbhakÃreïa m­d yathÃ  SRtp_45d
kurute 'cintyavaibhavÃ  SRtp_193b
kurute tadaÓe«ata÷  SRtp_142d
kurvato 'pi kuÂÅæ buddhi÷  SRtp_70a
kurvan kartÃ bhavediti  SRtp_299d
kurvanti pa¤cak­tyÃni  SRtp_287a
kurvÃïecchÃ cidavyayÃ  SRtp_191d
kulÃlÃdhi«ÂhitÃ satÅ  SRtp_124b
kulÃlena tathÃ hyasau  SRtp_150d
k­tavarïaparigrahÃ  SRtp_73d
k­tÃ ÓrÅkaïÂhasÆriïÃ  SRtp_322b
k­tye«u te«u kartÃsau  SRtp_265a
kecidÃcak«ate bindu÷  SRtp_126c
kena vÃ pratipÃdyate  SRtp_202b
kevalaæ buddhyupÃdÃnÃ  SRtp_74c
kevala÷ paramÃnando  SRtp_78c
kevalÃnÃæ mahÃtmanÃm  SRtp_131b
kramÃd varïÃnupÃyinÅ  SRtp_74d
kriyayÃ kurute jagat  SRtp_128d
kriyayÃ hetubhÆtatvÃt  SRtp_139c
kriyÃ kuï¬alinÅ parÃ  SRtp_128b
kriyÃkhyÃ ÓaktiraiÓvarÅ  SRtp_266d
kriyÃÓaktiÓcideva yat  SRtp_139d
kriyÃ hi phaladÃ puæsÃæ  SRtp_129a
kvathyamÃne ca vÃriïi  SRtp_236b
kva vÃ lÅyeta kena vÃ  SRtp_140d
k«akÃro 'rïe«u kÅrtita÷  SRtp_93b
k«antumarhanti tatsanto  SRtp_3c
k«Åyate na ca vardhate  SRtp_195d
k«Årasya dadhibhÃvavat  SRtp_36b
k«ubdhe 'dhikÃro devasya  SRtp_180a
k«obhitÃnantatejasÃ  SRtp_40d
k«obhyate 'nantanÃthena  SRtp_45c
gabhasti÷ syÃt tathÃ Óiva÷  SRtp_312b
gabhÅre cinmahodadhau  SRtp_284b
gamakaæ vidyate kvacit  SRtp_262d
garbhiïÅ paramÃ kalÃ  SRtp_116d
galite sarvathÃ bandhe  SRtp_254c
gÃdikÃntÃstrayo matÃ÷  SRtp_110b
gurava÷ kathayantyenam  SRtp_63a
gurave ca gaïeÓÃya  SRtp_1c
gurave Óivatejase  SRtp_320d
gurubhi÷ pratibodhyante  SRtp_213c
guhyo jÃtatanÆjjvala÷  SRtp_282b
gocaraiva satÅ ca yat  SRtp_45b
gopitÃni Óivena ca  SRtp_18b
gauïe 'rthe lokavedayo÷  SRtp_223d
gaurbrÃhmaïo 'yamÃdityo  SRtp_224a
grahaïe lampaÂodayÃ  SRtp_290b
grÃhyÃ yÃrthasya vÃcikÃ  SRtp_73b
ghaÂamÃrabhate yathÃ  SRtp_309b
ghoro nityodita÷ prabhu÷  SRtp_78d
catasro v­ttayastasya  SRtp_72a
caraïena kareïa ca  SRtp_319b
caryÃto vÃtha dÅk«ayÃ  SRtp_147b
citi yujyeta tanmate(?)  SRtp_219b
citireva matÃmlÃna-  SRtp_186c
citiæ sadasadÃkÃra-  SRtp_203a
citi÷ Óakti÷ prakÃÓatvÃd  SRtp_196a
cite÷ ÓabdÃnuvedhata÷  SRtp_46b
cidacidgocarastayo÷  SRtp_243b
cidacintyÃ vibho÷ Óaktir  SRtp_195a
cidÃbhÃtyavivekata÷  SRtp_84b
cidghanaikasvarÆpiïa÷  SRtp_137d
cidviÓe«asya vÃryate  SRtp_251b
cinotyapacinoti ca  SRtp_196d
cintanÅyÃ mahÃkÃÓa-  SRtp_117a
cintÃmaïiÓca vividhÃn  SRtp_194a
cinmahodadhigÃmbhÅryam  SRtp_15a
cirasthÃpitaviÓvo hi  SRtp_308c
cetanatvÃdav­ttitvÃt  SRtp_49a
caitanyabhÃvÃdityagre  SRtp_143a
cchidyate malakambuka÷  SRtp_175d
chaktirapyavikÃriïÅ  SRtp_283b
chaÇkÃpÃÓairvimÆ¬hadhÅ÷  SRtp_212b
chabdavedhena saævidÃm  SRtp_259b
chÃntire«Ã nigadyate  SRtp_113b
chivaæ paramakÃraïam  SRtp_263d
chubhaæ vÃ yadi vÃÓubham  SRtp_152b
chreya ÃptividhÃyaka÷  SRtp_10d
ja¬adhÅrja¬amÅÓvaram  SRtp_138b
ja¬aæ vÃ d­Óyate yathÃ  SRtp_197b
ja¬ena ja¬imÃvaha÷  SRtp_137b
jananÅ mohinÅ mÃyÃ  SRtp_157a
janmÃdÅnanu jÃteti  SRtp_245a
jalatejo 'nilÃkÃÓa-  SRtp_100c
jalÃdik«itiparyantaæ  SRtp_41a
jÃyate 'dhvÃ kuta÷ Óuddha÷  SRtp_140c
jÃyate 'dhvÃ yata÷ Óuddho  SRtp_22a
jÃyate bindusaæk«obhÃd  SRtp_47a
jÃyate malaruddhÃnÃm  SRtp_259c
jÃyamÃnena nÃmÃdi-  SRtp_227a
jÃyetÃnyacca bhagavÃn  SRtp_303a
j¤Ãnamaj¤ÃnarÆpaivam  SRtp_192a
j¤ÃnamÃtranivartakai÷  SRtp_232d
j¤ÃnamÃtraæ tathaiveyam  SRtp_204c
j¤ÃnaÓaktyÃ vijÃnÃti  SRtp_128c
j¤Ãnaæ parÃm­topÃya-  SRtp_171c
j¤ÃnÃniv­ttiæ gamayet  SRtp_238a
j¤ÃnÃni siddhayo mok«Ã  SRtp_8a
jyotirgaïÃnÃmÃkÃÓam  SRtp_58a
¤Ãdayo 'tra ghakÃrÃntÃ  SRtp_106a
takrÃvasthÃ nirÆpyate  SRtp_36d
tacca ÓabdÃnuvedhena  SRtp_172a
tacchivapraïidhÃnena  SRtp_238c
tatastadavadhÃrayet  SRtp_16d
tata÷ sa te«Ãmeko 'pi  SRtp_287c
tata÷ s­«Âiæ prakurute  SRtp_61c
tato nidarÓanaæ sÃdhu  SRtp_39a
tato 'bhÆd vi«ayÃbhoga-  SRtp_171a
tatkÃryaæ sÃ kriyÃÓaktir  SRtp_275c
tattadv­ttiviÓe«ata÷  SRtp_310b
tattvajÃtamasÆta sÃ  SRtp_41b
tattvatÃttvikabhÃvÃnÃm  SRtp_38c
tattvame«ÃmasÆtÃÇga-  SRtp_30c
tattvamaiÓaæ samÃÓritÃ÷  SRtp_27b
tattvÃtmÃ syÃt sadÃÓiva÷  SRtp_130b
tattvÃdÅnÃmato bindo÷  SRtp_161c
tattvÃdhvÃ bhuvanÃdhvÃ ca  SRtp_87c
tattve«u te«u vij¤Ãna-  SRtp_131a
tatpralÅnÃïusaæghasya  SRtp_96c
tatpralÅnÃïusaæghasya  SRtp_103a
tatpralÅnÃïusaæghasya  SRtp_108c
tatpralÅnÃïusaæghasya  SRtp_112c
tatra cit svÃbhisambandha-  SRtp_244a
tatra bhokt­tayÃ bhogai÷  SRtp_173c
tatra vidyÃbhuja÷ pÆrve  SRtp_24c
tatra Óakto bhavedÃdyo  SRtp_266a
tatra sannidhimÃtreïa  SRtp_122a
tatra sÃ tu parÃ kalÃ  SRtp_94d
tatra sÃ vaikharÅ Órotra-  SRtp_73a
tatra sthÆlÃ guïÃtmikÃ  SRtp_155d
tatrÃk«ubdhe bhavedbhogo  SRtp_179c
tatrÃïava÷ pure«vÃsan  SRtp_29a
tatsattÃ sÃdhyate kasya  SRtp_202a
tatsamparkiasukhaikÃgra-  SRtp_286a
tatsambandhÃcchivo 'Óe«a-  SRtp_278c
tathÃ cai«a tatastathÃ  SRtp_33b
tathÃnÃhitasaæskÃra-  SRtp_194c
tathÃnyai÷ pratipÃdyate  SRtp_14b
tathÃ parÅk«itÃ samyag  SRtp_237a
tathÃ pare paravyoma  SRtp_286c
tathÃ purÃïi tatrai«Ãm  SRtp_28c
tathÃ vidyeÓvaro 'nanto  SRtp_61a
tathÃ samÃsamÃtmÅya-  SRtp_314a
tathÃ hi tÃæ samÃÓritya  SRtp_201a
tathÃ hi dehe 'haæbuddhir  SRtp_249a
tathÃ hi bhedo bhÃvÃnÃæ  SRtp_208a
tathÃ hi mÃyÃ yÃ te«Ãæ  SRtp_40c
tathÃ hi vimalodÃra-  SRtp_284a
tathÃ hi sarvo nirdhÆta-  SRtp_65c
tathaikadeÓato bindu÷  SRtp_178a
tathaiva ca citi÷ Óaktis  SRtp_52c
tathaiva prak­tiste«Ãæ  SRtp_155a
tathaivÃyaæ maheÓvara÷  SRtp_48d
tathaivÃvyaktami«yate  SRtp_179b
tadatra kathitaæ sarva-  SRtp_16a
tadadhi«ÂhÃyako j¤eya÷  SRtp_114a
tadaprakÃÓarÆpaæ vÃ  SRtp_197a
tadavaÓyaæ ja¬Ãtmakam  SRtp_136b
tadaharjÃtabÃlavat  SRtp_260d
tadÃ sÆk«mÃ viÓuddheva  SRtp_84a
tadupÃdhivaÓÃd bhavet  SRtp_53b
tadetadrÆpiïÅ Óakti÷  SRtp_193a
tadeva yadi tatkuryÃt  SRtp_56a
tadeva vi«ayagraha÷  SRtp_296b
tadaiva hi vimukto 'sau  SRtp_317a
tadgocarÃ parÃ mÆrtir  SRtp_272c
tadvajja¬aæ ca caitanyam  SRtp_246a
tadvadeva matÃ Óaktis  SRtp_288c
tadvadyogaæ ca ko vetti  SRtp_19c
tadvaicitryavidhÃyina÷  SRtp_142b
tanubhogÃdi jÃyate  SRtp_148d
tanubhogendriyasthÃna-  SRtp_275a
tanubhogendriyÃdikam  SRtp_135b
tanubhogendriyÃdibhi÷  SRtp_26b
tannÃmÃdiviÓe«avat  SRtp_228d
tanmÃyeyaæ yathÃ kalÃ  SRtp_34d
tamambaramanaÓvaram  SRtp_57b
tamasÃcchÃdyamÃnÃ hi  SRtp_258c
tamasÃrÅn manÅ«ayÃ  SRtp_19b
tamÃsevya mayÃpye«Ã  SRtp_21a
tayaitayÃbhisambandha-  SRtp_187c
tayaitayÃbhisambandhÃd  SRtp_181c
tayorapyavikÃriïo÷  SRtp_52d
tayorÃgamavedibhi÷  SRtp_165d
tayorbandho niyÃmaka÷  SRtp_252d
tayorbhedo 'dhunocyate  SRtp_288d
tayo÷ prasarato÷ sÃmye  SRtp_130a
tasmÃdvivartate saævid  SRtp_241c
tasmÃnna baddho bandho 'nyo  SRtp_206a
tasmÃnnai«Ã vikÃriïÅ  SRtp_197d
tasmin mukulitevÃste  SRtp_266c
tasya Óaktiæ parÃpek«aæ  SRtp_292a
tasyÃæ patitamÃtrÃyÃæ  SRtp_316a
tasyÃ÷ syÃt sadvitÅyatÃ  SRtp_214d
tÃbhyÃmevopadeÓÃbhyÃæ  SRtp_198a
tÃbhyÃæ na virahastasya  SRtp_129c
tÃmÃhuram­tÃhvayÃm  SRtp_78b
tÃmetÃmadvayÃmeke  SRtp_202c
tÃmeva vÃïÅæ sÆk«mÃkhyÃm  SRtp_80c
timirÃdiryathÃrogya-  SRtp_239c
tirodadhÃti bhagavÃn  SRtp_264c
tulyaivÃkalpanÃrthajÃ  SRtp_208d
te ca na sta÷ Óivaæ vinÃ  SRtp_129d
tena bandhastayormata÷  SRtp_251d
tena bandho 'sti bandhaÓca  SRtp_253c
tena vidyeti gÅyate  SRtp_109b
tena Óakti÷ parÃpek«aæ  SRtp_294c
tenaike samadhi«ÂhitÃ÷  SRtp_284d
tebhyo 'dhikÃ÷ pare 'nye tu  SRtp_51a
te«Ãæ purÃïi viyÃyÃæ  SRtp_25c
te«u kÃlÃnalÃdÅnÃm  SRtp_91c
taistairbhÃvairvivartate  SRtp_233b
tau hi cinmÃtrarÆpiïau  SRtp_283d
tyaktvaikamekaæ samprÃpya  SRtp_88c
tyÃgopÃdÃnakÃraïam  SRtp_56d
trayaæ dÅk«Ãprati«thayo÷  SRtp_7b
trayoviæÓatirÃmnÃtÃ÷  SRtp_100a
trÃïÃt saæsÃrasÃgarÃt  SRtp_269b
trikoïÃ svastikÃÇkitÃ  SRtp_107d
tridhÃ vij¤ÃnakevalÃ÷  SRtp_23d
tribhiÓca tattvairuddi«Âo  SRtp_32a
trividha÷ pa¤casÆcyate  SRtp_265b
