Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akàraü hyàtmasambhavam  Stk_2.6d
anirdiùñamasaüj¤aü ca  Stk_8.29c
anuktaü yadbhavetkiücit  Stk_7.11a
anugçhõàti vai ÷ivaþ  Stk_13.22b
anuccàryamasandigdhaü  Stk_19.12c
anuccàryaü prakãrtitam  Stk_19.9d
anuj¤àto 'bhiùikta÷ca  Stk_9.5e
anusvàravivarjitam  Stk_1.10d
anusvàro bhavennetraü  Stk_1.10a
antarjalagatàþ sattvàste  Stk_1.7a
antasthaü taü vijànãyàd  Stk_19.9c
antasthaþ sarvataþ sthitaþ  Stk_20.2d
antaþkaraõavinyàso  Stk_2.1a
anyathà tu pçthakpçthak  Stk_8.28b
anyathà naiva mucyante  Stk_8.22a
apànayatyapànastu  Stk_10.9a
apànastena kãrtitaþ  Stk_10.9d
apàno ràtrirucayte  Stk_11.8b
api nityaü bruvanti tam  Stk_1.7b
abdamekaü sa jãvati  Stk_18.3b
abhimantrya yathàkramam  Stk_4.1d
abhimantrya sakçtsakçt  Stk_3.2d
abhiùekaü tu kàrayet  Stk_9.4b
abhiùekaü tu pa¤cabhiþ  Stk_4.4b
abhiùekaü purà kçtvà  Stk_3.7a
abhiùekaü pravakùyàmi  Stk_9.1a
amà caiva tçtãyakà  Stk_11.6d
amçtaü yatparaü vatsa  Stk_8.23a
amçtaü sarvatomukham  Stk_12.5b
amçtaü sàdhakottamaþ  Stk_12.2d
ayane savyàsavye dvau puñakau yugmato viùuvadàhuþ  Stk_10.23/a
ayute dve sahasraü tu  Stk_11.10a
arghyaü dattvà tu mantrasya  Stk_16.8c
arcanaü ca tataþ kuryàd  Stk_8.17a
arcanaü prokùaõaü caiva  Stk_8.16a
ardhamàtrà parà såkùmà  Stk_23.9a
alambuùà kuhå÷caiva  Stk_10.4c
alpagranthaü mahàrthaü ca  Stk_1.3a
alpavãryàlpabuddhayaþ  Stk_1.2b
alpasattvàlpavittà÷ca  Stk_1.2c
alpàyuùastvime martyà  Stk_1.2a
avij¤àya tvidaü samyaï  Stk_16.7c
aviditvà na mucyeta  Stk_20.3c
avyaktaü paramaü såkùmaü  Stk_13.15c
aùñatriü÷atkalopetaü  Stk_22.2c
aùñadhà pratyayo yathà  Stk_21.1b
aùñapatra sakarõikam  Stk_7.3d
aùñàvekaikayàhutãþ  Stk_8.10d
asàdç÷yaguõaiþ sthitam  Stk_22.16d
astrajaptena bhàgena  Stk_3.4a
astra dikùvatha vinyasya  Stk_7.8c
astrabãjena mantraj¤o  Stk_8.11a
astrabãjena ÷odhayet  Stk_1.17b
astrabãjena ùaõmukha  Stk_4.2b
astraü ca ÷ivasaüyuktam  Stk_2.3a
astraü na yojayeddehe  Stk_3.7c
astreõollekhanaü kuryàd  Stk_6.1c
asya mudràü pravakùyàmi  Stk_1.15a
asyàntaü te pravakùyàmi  Stk_23.14a
aharekaü vrajedyasya  Stk_18.3c
ahoràtrapracàreõa  Stk_18.3a
ahoràtraü sa jãvati  Stk_18.4d
ahoràtràyanàni ca  Stk_11.3b
ahoràtreõa yogãndro  Stk_11.10c
àkarùayeddhruvaü yukto  Stk_16.5c
àkarùaü kurute dhruvam  Stk_16.7b
àkà÷astu bhavedã÷aþ  Stk_22.13a
àkà÷asthamatha ÷çõu  Stk_19.6d
àkà÷aü dhàrayetsadà  Stk_2.3b
àkà÷ena tvalaïkçtam  Stk_19.7d
àkrànto vàyurekaþ sa jananamaraõaiþ krãóati bhràntasattvaiþ  Stk_10.14d
àgopàlàïganà bàlà  Stk_1.6c
àgneyyàü kàrayetkuõóaü  Stk_7.5c
àgneyyàü hçdayaü nyasya  Stk_7.7c
àcàryastu mahãtale  Stk_23.26b
àcàryaþ pà÷ahà bhavet  Stk_9.5f
àcàryaþ saha ÷iùyeõa  Stk_22.4c
àcàryaþ susamàhitaþ  Stk_7.5b
àtmanà ca dhanena ca  Stk_16.12d
àtmàdhidevatà mantrà¤  Stk_8.38a
àdàvante ca hçdaya-  Stk_16.5a
àdàvante ca hrasvasya  Stk_16.4c
àdàvante ùaóànana  Stk_14.4b
àdityagrahaõaü budhaþ  Stk_11.9d
àdimasya dvitãyena  Stk_8.26c
àdimaü tu punaryojyaü  Stk_19.11a
àdimaü yojayetpunaþ  Stk_1.12d
àdiroü ca nama÷cànte  Stk_21.4c
àdyà kuõóalinã tu yà  Stk_12.1b
àdhàraþ puramityuktam  Stk_17.3a
àdhàràdheyavitpràj¤aþ  Stk_17.2c
àdheyastvã÷a ucyate  Stk_17.3b
àptopade÷agamyo 'sau  Stk_23.2c
àpyàyanavidhau hyeùa  Stk_21.9a
àpyàyane pluta÷caiva  Stk_16.2c
àyàmaþ kriyate tasya  Stk_11.19c
àyàmànte yadà cchinnaü  Stk_8.31a
àyàme ÷a÷inaþ kramàt  Stk_14.3b
àyàmo dehamadhyasthaþ  Stk_11.9a
àyàmo bhàskarasya tu  Stk_8.41d
àlabdho mriyate drumaþ  Stk_21.7b
àlikhenmaõóalaü pràj¤aþ  Stk_7.2c
àvàhayettato devaü  Stk_5.4a
àhàraü ca nçõàmadhaþ  Stk_10.9b
ióà ca piïgalà caiva  Stk_10.3c
ióà ca piïgalà caiva  Stk_11.6c
ióà vàme prakãrtità  Stk_11.7b
iti khalu pudgalacàro nàóãsadhànamaõóalaü mukhyam  Stk_10.28/b
iti ÷àstrasya ni÷cayaþ  Stk_2.9d
iti ÷àstrasya ni÷cayaþ  Stk_16.11d
iti ÷àstrasya ni÷cayaþ  Stk_18.4b
iti ÷àstrasya ni÷cayaþ  Stk_23.12b
ityàha bhagavà¤÷ivaþ  Stk_23.17d
ityetadvàyuvçndaü hçdi ca vinihitaü nàbhicakrapratiùñhitam  Stk_10.14a
ityevaü trividho j¤eya  Stk_23.26a
ityevaü pa¤ca homayet  Stk_8.9d
idaü ca yo 'bhyasedevam  Stk_12.5a
indra÷candro bçhaspatiþ  Stk_22.5b
iyamiùñirna prakà÷yà  Stk_8.12c
iùñena tu prasàdena  Stk_22.10c
ãkàràdiþ sa hau madhye  Stk_21.10a
ãkàràdyantasaüyuktaü  Stk_21.12a
ãkùate hàñake÷varam  Stk_16.15d
ã÷aü vij¤àya medhàvã  Stk_17.3c
ã÷ànastu ÷ikhàtmajaþ  Stk_22.9b
ã÷ànaþ ÷ivadaivatyo  Stk_22.16a
ã÷ànàdyàstu sadyàntaü  Stk_2.10c
ã÷ànena ÷iraþ snàyàn  Stk_4.3a
ã÷àntaü vahnito nyaset  Stk_5.3b
ã÷varayogàdviùuvatsaükrànti÷caiva siddhisaüyogàt  Stk_10.22/a
ã÷varaþ puruùaþ smçtaþ  Stk_22.15d
ã÷varaþ prabhureva saþ  Stk_13.19d
ã÷varaþ ÷iva eva và  Stk_23.9d
ukàràkùarasambhavà  Stk_13.4d
uktànuktaü ca yatki¤cit  Stk_5.5c
uktànuktàni karmàõi  Stk_16.10c
uccàrayettu praõavaü  Stk_11.11c
uttaraü dakùiõaü j¤eyaü  Stk_11.5a
utthàpane prayu¤jãta  Stk_21.13a
udaraü pårayitvà tu  Stk_11.12a
udàno nàma màrutaþ  Stk_10.11d
udàno vyàna eva ca  Stk_10.5d
udgàre nàga ityuktaþ  Stk_10.13a
udghàtàùña÷atena tu  Stk_21.20d
udghàtàùña÷atenaiva  Stk_21.18a
udghàtàùña÷atenaiva  Stk_21.21e
udghàtairayutena tu  Stk_21.16d
udghàtaiþ pårvavadguha  Stk_8.39d
uddhàre prokùaõe caiva  Stk_8.19c
udvejayati marmàõi  Stk_10.11c
uparicarã khalu ÷aktistàsàü pràgbhàvinã ÷ivasya tataþ  Stk_10.19/a
upariùñàtprasàdena  Stk_4.4c
upariùñànniràlambà  Stk_20.7a
upasthànaü tu kàrayet  Stk_3.6d
upaspç÷ya vidhànena  Stk_3.6a
upàyaþ sakalastadvad  Stk_23.7c
upeya÷caiva niùkalaþ  Stk_23.7d
ulkàhasto yathà ka÷cid  Stk_23.5a
ånaràtraü kùutaü j¤eyam  Stk_11.4a
ånaràtraü dhanaü tathà  Stk_11.3d
årdhvanàdasya kùãõasya  Stk_19.7a
årdhvanàlà hyadhomukhàþ  Stk_8.38d
årdhva÷ånyamadhaþ ÷ånyaü  Stk_20.7c
årdhvasroto bhavetpadmaü  Stk_11.16c
årdhvasrotovyavasthitam  Stk_11.17d
årdhvaü pràõo hyahaþ proktaþ  Stk_11.8a
årdhvaü yàvattu mastakam  Stk_1.15d
çõaü ca kàso vij¤eyo  Stk_11.4c
ekatra samatàü yànti  Stk_8.28a
ekamastreõa mantrayet  Stk_3.3b
ekamàtrastathaiva ca  Stk_23.8d
ekameva tridhà sthitam  Stk_13.13b
ekahastaü dvihastaü và  Stk_7.4a
ekàvaraõametattu  Stk_5.6a
ekaikasya pçthak pçthak  Stk_14.4d
ekaikasya ÷ataü homyam  Stk_8.9c
etattatparamaü guhyam  Stk_23.16c
etattatparamàkùaram  Stk_23.16d
etatte ÷ivasadbhàvaü  Stk_23.19a
etatpà÷upataü divyaü  Stk_1.13c
etanme bråhi tattvena  Stk_20.1c
ete cànye ca bahavo  Stk_22.6c
ete bhedàþ samàkhyàtà  Stk_19.12a
ebhirmuktaþ ÷ivaü vrajet  Stk_17.6f
ebhistu ÷odhitairvatsa  Stk_8.21c
evamàkarùayetsàdhyaü  Stk_16.6a
evamàpyàyito mantraþ  Stk_16.10a
evaü j¤àtvà tu medhàvã  Stk_23.22c
evaü j¤àtvà tu vidhivat  Stk_21.3c
evaü mantràstu pa¤caite  Stk_22.9c
evaü viditvà medhàvã  Stk_16.7a
evaü vidhividhànaj¤o  Stk_7.11c
evaü viü÷atibhirlakùaiþ  Stk_16.13a
evaü samàpyate dãkùà  Stk_8.11c
eùa eva vidhikramaþ  Stk_8.21b
eùa devo 'pi sargastho  Stk_13.18c
eùa saüskàra uttamaþ  Stk_8.13b
eùà mudrà mahàmudrà  Stk_1.16a
eùu saükràntirucyate  Stk_11.7d
ai÷ànyàü tu ÷irastathà  Stk_7.7d
omityanena kamalaü  Stk_2.6a
oükàraprathamàü rekhàü  Stk_13.3a
oükàramàditaþ kçtvà  Stk_21.19c
oükàramårdhni madhyastha  Stk_13.2c
oükàramårdhni saüyuktà  Stk_13.6a
oükàravyàpakastathà  Stk_13.2d
oükàrasya ukàràbhà  Stk_13.4a
oükàraþ sarvato 'dhastàd  Stk_21.6a
oükàro haü yakàreõa  Stk_21.16a
aukàramadhyasaüyuktaþ  Stk_21.9c
kaõñhe viùõuþ samà÷ritaþ  Stk_23.10d
kaõñhoùñhyaü càùñamaü viduþ  Stk_19.2d
kaõñhoùñhyaü càùñamaü smçtam  Stk_19.11d
kathayasva mahe÷vara  Stk_8.26b
kathayasva mahe÷vara  Stk_22.1d
kathayasva yathàrthataþ  Stk_23.13b
kathayasva yathàvidhi  Stk_8.14b
kathayàmi tavàkhilam  Stk_11.11b
kathayàmi na sandehaþ  Stk_11.2c
kathaü bhidyeta deve÷a  Stk_19.1c
kathaü mucyeta bandhanàt  Stk_17.5d
kathaü yu¤jãta sàdhakaþ  Stk_12.6b
kathaü và j¤àyate j¤ànaü  Stk_17.1c
kathaü và j¤eyamucyate  Stk_17.1d
kathaü vyàpã adha÷cordhvaü  Stk_20.1a
kathitamiha siddhihetorboddhyavyaü yatnataþ siddham  Stk_10.28/c
kathito devadevena  Stk_23.18c
kaniùñhàmàditaþ kçtvà  Stk_1.17c
kamsinsthàne kathaü sthitàþ  Stk_8.25b
karanyàsaü purà kçtvà  Stk_1.16c
karõikàyàü sadà÷ivam  Stk_7.8d
kartavya÷càpyanukramàt  Stk_8.19b
kartavyaü cànupårva÷aþ  Stk_8.20b
kartavyaü tu yathàkramam  Stk_8.20d
kartavyaü dhàraõàyutam  Stk_8.22d
karma kuryàdyathepsitam  Stk_1.7d
karmayogyo bhavettataþ  Stk_16.10b
kalàóhyaü khamalaïkçtam  Stk_19.2b
kalàóhyaü taü vijànãyàd  Stk_19.6c
kalàmutpàdayàmàsa  Stk_13.2a
kalpayecca yathàkramam  Stk_8.15d
kavacaü vàyugocare  Stk_7.8b
kavacaü vàyunà saha  Stk_2.2d
kasminsthàne tu vicchedyàþ  Stk_8.25c
kàruõyàttvaü mahe÷vara  Stk_20.1d
kàlacakramiti khyàtaü  Stk_18.1c
kàlacakravidhànaü tu  Stk_18.1a
kàlacakraü samàkhyàtaü  Stk_18.5c
kiü tu rephavivarjitaþ  Stk_21.8d
kuõñhayitvà tataþ snàyàc  Stk_3.5a
kumbhakena nirodhitam  Stk_11.16d
kurute nàtra saü÷ayaþ  Stk_16.3d
kårma unmãlane smçtaþ  Stk_10.13b
kçkarastu kùute caiva  Stk_10.13c
kçtvàntaþkaraõaü hyevaü  Stk_2.15a
kena và nãyate tu saþ  Stk_23.12d
ko na mucyeta bandhanàt  Stk_8.37b
krameõaiva ùaóànana  Stk_5.2b
kriyà÷aktiþ parà hi sà  Stk_13.17d
kùapaõaü ca tathàntasthaü  Stk_19.2c
kùipettadbahireva ca  Stk_3.7d
kùipraü nà÷ayati jvaram  Stk_21.21f
kùmàdyànàlokya manasà  Stk_8.40a
kha÷ekharasamàyuktaü  Stk_19.11c
khyàtiþ sarvatra jàyate  Stk_21.3d
gatibhraü÷akare yoge  Stk_14.2c
gatiü tasya nivartayet  Stk_14.3d
gandhastasya tu niùkalaþ  Stk_23.6b
gamàgamasya japataþ  Stk_15.2a
gamàgamaü viditvà tu  Stk_15.3a
gamàgamaþ kathaü tasya  Stk_23.12c
garbhanyàsavidhiþ prokto  Stk_7.9a
garbhàdhànaü tathaiva ca  Stk_8.17b
garbhàdhànàdikaü kçtvà  Stk_6.3a
gàndhàrã hastijihvà ca  Stk_10.4a
gurutvaü jàyate yathà  Stk_21.15b
gurudevàgnibhaktàya  Stk_23.20c
guruvaktràttu labhyeta  Stk_23.3c
guhyaü vai guhyakena tu  Stk_4.3d
guhyàdguhyatamaü guhyaü  Stk_23.19c
gåóhastiùñhati ÷aükaraþ  Stk_13.14b
gåóhaþ såkùmo nira¤janaþ  Stk_13.18b
gåhanãyaü prayatnataþ  Stk_23.19d
gçhastho brahmacàrã ca  Stk_23.23a
gçhãtvàtmànamàtmanà  Stk_8.26d
gopanãyà prayatnataþ  Stk_8.12d
golakamiva helàbhihatamutpatanaü nipàtanaü kurute  Stk_10.21/b
granthidvayayutàþ sarve  Stk_8.39a
granthiü bhittvà kùaõena tu  Stk_11.18b
grahajvaravinà÷a÷ca  Stk_21.3a
grahaõaü pårvavadbhavet  Stk_8.42b
grahàõàü nà÷ane mataþ  Stk_21.20b
cakravatyupacàreõa  Stk_3.5c
cakravatsaüsthità nàóyaþ  Stk_10.3a
cakre bhramatyasau jãvo  Stk_10.16a
cakùuranyatra pàtitam  Stk_23.15d
catura÷raü samantataþ  Stk_7.3b
caturthàdyena saüyutam  Stk_1.12b
caturhastamathàpi và  Stk_7.4b
catvàriü÷ajjapàddevam  Stk_16.15c
candanena vilepitam  Stk_9.2b
candràgniriva saüyuktà  Stk_12.1a
cintayà rahitaü yattu  Stk_1.8c
cintayettu vicakùaõaþ  Stk_2.11d
cintayettu vicakùaõaþ  Stk_2.14d
cintayetparamaü dhàma  Stk_2.8a
cintayedviparãtaü tu  Stk_12.3c
cumbàkàreõa vaktreõa  Stk_19.6a
codako dar÷ayenmàrgaü  Stk_23.26c
codako bodhaka÷caiva  Stk_23.25c
chàyà tasya tu niùkalà  Stk_23.6d
chivatãrthasya madhyataþ  Stk_3.5b
jagatsarvaü ca tanmayam  Stk_13.20d
jagatsthàvarajaïgamam  Stk_12.3b
jananaü càdhikàraü ca  Stk_8.17c
jananàdivivarjità  Stk_8.11d
janàþ svasthànavàsinaþ  Stk_16.11b
japanpçthvãü va÷aü nayet  Stk_16.15b
japasaükhyàü karoti saþ  Stk_11.10d
japaü kuryàdvicakùaõaþ  Stk_16.8d
japànte ghçtahomastu  Stk_16.9c
japedyaþ satataü naraþ  Stk_15.1b
jalasnànaü purà kçtvà  Stk_4.2a
jãvasya puruùàkhyasya  Stk_11.2a
jãvaü pràõamayaü budhaþ  Stk_8.36b
jãvaþ kevalatàü vrajet  Stk_8.33b
jãvaþ prayàti da÷adhà  Stk_10.17a
jãvedvarùadvayaü tu saþ  Stk_18.2d
jãvo hyårdhvaü tu recitaþ  Stk_11.18d
j¤àtameva sakçdyena  Stk_22.18a
j¤àtvà paramaniþ÷reõãü  Stk_22.17c
j¤àtvà muktastu mocayet  Stk_8.38b
j¤ànavij¤ànayoþ sphuñam  Stk_17.1b
j¤àna÷aktiþ parà hi sà  Stk_13.16d
j¤àna÷aktyà ca bhagavàn  Stk_13.22a
j¤ànàdevàsya ÷àstrasya  Stk_23.24c
j¤ànàmçtamanuttamam  Stk_23.1b
j¤ànena j¤eyamàlokya  Stk_23.5c
j¤àyate 'dhyàtmago yathà  Stk_11.1b
jvalatyeva na saü÷ayaþ  Stk_21.5d
tata÷cordhvatvamàyànti  Stk_8.39c
tataþ saüdhyàü samàcaret  Stk_3.7b
tato 'ntaþkaraõaü kuru  Stk_2.1d
tato vidyà niyuktà sà  Stk_8.4a
tatkarma paricintayet  Stk_12.4d
tatkàla eva mukto 'sau  Stk_22.18c
tatkùayàtkùapaõaü smçtam  Stk_19.8d
tattrimàrgaü tryadhiùñhànaü  Stk_20.4a
tattvataþ kathaya prabho  Stk_19.1d
tattvaü tacchçõu ùaõmukha  Stk_14.2d
tattvaü tattvena saüdhayet  Stk_8.42d
tattve tattve tvidaü karma  Stk_8.21a
tattve tattve niyoktavyà  Stk_8.40c
tatparaü parikãrtitam  Stk_1.8d
tatparaü ÷àntamavyayam  Stk_8.7b
tatprayogaü samàcaret  Stk_2.5b
tatra devaþ ÷ivaþ såkùmo  Stk_13.14a
tatra viùõuþ svayaü bãje  Stk_13.18a
tatrasthaü taü vijànãyàd  Stk_19.7c
tatrastho vyàpayetprabhuþ  Stk_23.15b
tatraiva modate mantrã  Stk_16.16c
tatsarvaü målamà÷rayet  Stk_7.11b
tatsarvaü hçdayena tu  Stk_5.5d
tathàcamanameva ca  Stk_5.4d
tathà j¤ànaü parityajet  Stk_23.5d
tathàpi yoginàü yogo  Stk_23.16a
tathaivàïgàni yatnataþ  Stk_1.18b
tadantaü tadvijànãyàt  Stk_23.15a
tadà cotkramate dhruvam  Stk_8.31b
tadà sàyujyatàü yànti  Stk_8.29a
tadårdhvaü ca ùaóànana  Stk_4.1b
tadårdhvaü tu pratiùñhà syàd  Stk_8.3c
taddçùñvà chedanaü kuryàn  Stk_8.32c
tadbãjamaparaü brahmà  Stk_13.17a
tadbãjaü paramaü devaü  Stk_13.14c
tadvakùyàmyanupårva÷aþ  Stk_8.15b
tadvajjãvo 'tra saüsthitaþ  Stk_20.7b
tadviditvà mahàsena  Stk_1.6a
tantravistàragocaraþ  Stk_13.22f
tanmayastallayo bhåtvà  Stk_15.3c
tamuddi÷ya kçtaü karma  Stk_8.30a
talikàü hastapçùñhaü ca  Stk_1.17a
tasmàtpràõaþ prakãrtitaþ  Stk_10.8d
tasminpràpya nivartate  Stk_23.13d
tasya deho na vaktavyaþ  Stk_22.17a
tasyà årdhvaü paràtparam  Stk_23.9b
tasyànte tu paraü padam  Stk_23.11d
tasyordhvaü vàmapàr÷ve 'tha  Stk_13.12c
taü viditvà mahàsena  Stk_8.7c
taü viditvà mahàsena  Stk_8.36a
tàóanaü ca tathà param  Stk_8.16b
tàóane ca tathaiva ca  Stk_8.19d
tàóayitvà purà vatsa  Stk_8.42a
tàdçgeva puna÷càsau  Stk_21.8c
tàmeva mçttikàü pa÷càd  Stk_3.2c
tàlumadhye sthito rudro  Stk_23.11a
tàvadbhireva codghàtair  Stk_21.13c
tàvadbhramati saüsàre  Stk_20.5c
tiryak caiva kathaü bhavet  Stk_20.1b
tiryagårdhvamadha÷caiva  Stk_10.2c
tileùu ca yathà tailaü  Stk_23.4a
turyàtãtaü sadà÷ivam  Stk_2.7d
tulàpuruùayogo 'yam  Stk_21.16c
tuùànkuññayatãva saþ  Stk_12.6d
tçõàgraü yàvadàgatà  Stk_20.6d
te janà va÷amàyànti  Stk_16.12c
teja÷ceto dvirabhyasya  Stk_8.41c
tejasvã ca bubhukùà pãóà và jàyate 'gnidikpatre  Stk_10.25/b
tena cakraü prakãrtitam  Stk_10.17b
tena càpåritamidaü  Stk_13.20c
te na budhyanti ÷aïkaram  Stk_15.4d
tenàtmani na yojayet  Stk_3.8b
tenàplàvitamàtmànaü  Stk_2.8c
trayo dvàveka eva ca  Stk_2.4b
tripa¤calakùaü japato  Stk_16.12a
trimàtra÷ca dvimàtra÷ca  Stk_23.8c
trimàrgàvasthito devaþ  Stk_20.3a
tri÷ånyaü yo vijànàti  Stk_20.8a
triü÷allakùajapàdasya  Stk_16.14c
trãõyabdàni sa jãvati  Stk_18.2b
tryahoràtrapracàreõa  Stk_18.2a
dakùiõasthaü hi yadbãjaü  Stk_13.16c
dakùiõaü brahmayonistham  Stk_13.13a
dadyàtpårõàhutiü tataþ  Stk_8.18d
dadhno ghçtamivoddhçtam  Stk_1.4d
dar÷anaü ÷çõu ùaõmukha  Stk_11.2b
da÷akoñiþ sahasràõàü  Stk_22.10a
da÷agràmanivàsinaþ  Stk_16.12b
da÷a pràõavahà hyetà  Stk_10.5a
da÷alakùàõi japato  Stk_16.11a
da÷a sapta ca ye ÷odhyàþ  Stk_8.14c
da÷asàhasriko bhavet  Stk_16.9d
da÷asthàneùvanukramàt  Stk_10.16b
da÷àraü cakramettattu  Stk_10.15c
dàtàsya narakaü yàti  Stk_23.21c
divyaråpamanaupamam  Stk_12.4b
divyasiddhipradàyakam  Stk_1.5d
divyena yogamàrgeõa  Stk_8.35c
di÷àü bandhaü tu kàrayet  Stk_3.4b
dãkùàkarma samàcaret  Stk_7.11d
dãkùàprakaraõe hyetad  Stk_8.23c
dãkùàyàü tu yathà vatsa  Stk_2.5a
dãkùitànàü gatibhraü÷aü  Stk_14.1c
dãpàdiva mahattejo  Stk_13.8c
dãrghaståccàñayetkùipraü  Stk_16.4a
dãrghà hyaïgàni ùaõmukha  Stk_1.9d
dãrgho mokùaprado bhavet  Stk_16.2b
duþkhakùapaõamityuktaü  Stk_19.8c
devadatto dhanaüjayaþ  Stk_10.6b
devadatto vijçmbhaõe  Stk_10.13d
devadevaþ sadà÷ivaþ  Stk_2.11b
devadevaþ sadà÷ivaþ  Stk_13.10d
devasya dakùiõe bhàge  Stk_16.9a
de÷ade÷àdhipànmantrã  Stk_16.13c
de÷ikaþ pà÷ahà bhavet  Stk_1.6b
dehasthaþ sakalo j¤eyo  Stk_23.2a
dehaü tyaktvà samàrutaþ  Stk_19.4b
