CUMULATIVE PADA INDEX OF METRIC SAIVA TEXTS


Contributors:
Dominic Goodall, Reinhold Gruenendahl, Oliver Hellwig, 
Harunaga Isaacson, Nibedita Rout, S.A.S. Sarma,R. Sathyanarayanan, 
Peter Schreiner, Somadeva Vasudeva, Mei Yang
(For details see the files of the individual texts.)

         


Currently comprising the GRETIL versions of:

BhStc_ = Bhatta Narayana: Stavacintamani
CakBhst_ = Cakrapaninatha: Bhavopaharastotra 
Dka_ = Devikalottara-Agama (Devikalottaragama)
GorS(1)_ / GorS(2)_ = Goraksanatha (=Gorakhnath): Goraksasataka (2 versions)
JsSpst_ = Jnanasambhu: Sivapujastava
KubjT_ = Kubjikamatatantra
MrgT_ = Mrgendragama [or Mrgendratantra]
Saul_ = Saundaryalahari (attrib. to Samkara)
SUp_ = Siva-Upanisad
SvaT_ = Svacchandatantra [or Svacchandabhairavatantra]
ToT_ = Todalatantra
VT_ = Vinasikhatantra



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




a-u-ma-kàrasaüyuktaü  KubjT_8.59c
akulãnapadàdhvànaü  KubjT_18.100a
akulãnavapuþsthitaþ  KubjT_18.112d
akulãna÷arãredaü  KubjT_18.106c
akulena vinà siddhir  KubjT_18.115c
akule÷akule÷ànaü  KubjT_11.94a
akule÷atanuü yàvat  KubjT_18.123c
akule÷apade sthitàþ  KubjT_14.78b
akule÷varadevasya  KubjT_11.8c
akule÷varadevasya  KubjT_17.6a
akule÷varadevasya  KubjT_19.40a
akule÷vararåpeõa  KubjT_19.13c
akçtaü ca kçtaü caiva  SvaT_10.982c
akçtàrtho narastàvad  SvaT_6.33a
akçtoccàranisvanam  VT_377d
akçtrimaphalodayà  BhStc_108b
akçtvà mànasaü yàgaü  SvaT_3.32c
akçtvà ÷ivabhaktànàü  MrgT_3.24a
akramàj¤à bhaved yeùàü  KubjT_12.3a
akramàd gçhõate tu yaþ  KubjT_3.52b
akramàd dadate yas tu  KubjT_3.52a
akriyàpi kriyà tathà  SRtp_192b
akrodhàdyà÷ ca niyamàþ  SUp_7.101c
akrodhitvamanàlasyàm  SvaT_10.67a
akrodho guru÷u÷råùà  SvaT_10.1091a
akrodho guru÷u÷råùà  SvaT_11.144c
akrodho guru÷u÷råùà  SUp_7.100c
akrodho 'steyamàrjavam  SvaT_12.44b
akle÷àttu sukhàvaham  SvaT_6.97d
akùatàstràõyanekàni  SvaT_3.84a
akùapuùpairvaràrohe  SvaT_9.72c
akùapuùpaistu veùñitàm  SvaT_6.77d
akùamàlàdi kalpayet  SvaT_4.497d
akùamàlàdharo devaþ  SvaT_2.75c
akùamàlà samerukà  SvaT_2.147d
akùamàlàü tu saügçhya  SvaT_2.137c
akùayatvaü ca gacchati  VT_185d
akùayaü phalam àpnuyàt  SUp_6.126d
akùayà tejaråpiõã  KubjT_5.139d
akùayàn labhate lokàn  KubjT_9.36c
akùayà yauvanodvahàþ  KubjT_25.59b
akùayo hy ajayo yogã  KubjT_25.63c
akùaràkùaranirmuktaü  SvaT_7.237c
akùaràkùarayogataþ  KubjT_4.42b
akùaràkùarayojitam  VT_361b
akùaràkùarasantànaü  SvaT_2.139c
akùaràkùarasantànaü  KubjT_7.46a
akùaràõàü tathà saïkhyà  KubjT_5.11a
akùaràõàü prabodhikà  KubjT_5.134d
akùaràõàü pramàõena  KubjT_5.12c
akùaràõàü samàsena  KubjT_5.8a
akùaràõàü samàsena da÷atritayam uttamam  KubjT_5.7/b
akùaràõàü samàsena rasasaïkhyà udàhçtà  KubjT_5.5/b
akùaràõàü samàsena ÷akrasaïkhyà varànane  KubjT_5.9/b
akùaràntaritaü kçtvà  KubjT_23.155a
akùaràntaritaü likhet  SvaT_9.82b
akùaràbhyadhike yatra  KubjT_23.74a
akùaràrthena te j¤eyàþ  KubjT_4.31a
akùaràrthena ye mantràs  KubjT_4.28c
akùaràrthe vyavasthitàþ  KubjT_4.13b
akùaràrthopade÷a÷ ca  KubjT_4.29a
akùare akùare granthiþ  KubjT_17.68a
akùare akùare siddhaü  KubjT_10.120a
akùareõàpi mantrasya  KubjT_20.35c
akùareùu kuto mokùa  SvaT_7.238a
akùaraughena siddhà sà  KubjT_17.22c
akùarau tu ÷ubhàtmakau  KubjT_4.90d
akùarau tau stanàtmakau  KubjT_4.100b
akùavàñaü tato nyaset  SvaT_2.201b
akùasåtram idaü siddhaü  KubjT_23.89a
akùasåtravarapradà  KubjT_17.18d
akùasåtravidhiþ khyàtaþ  KubjT_5.136c
akùasåtraü japaü tathà  KubjT_8.84d
akùasåtraü purà j¤àtaü  KubjT_23.84c
akùasåtraü manaþ÷ilàm  SvaT_4.12d
akùasåtraü ÷ivàtmakam  KubjT_5.113d
akùasåtraü suràdhipe  KubjT_5.128b
akùasåtràdikaü dattvà  SvaT_4.471c
akùasåtreõa divyena  KubjT_23.83a
akùaü cendriyam ity uktaü  KubjT_5.118c
akùàråóho 'kùagamyo 'yaü  KubjT_15.34c
akùobhyaü paripåjayet  ToT_1.4d
akùobhyaü påjayedadhaþ  ToT_4.35b
akùobhyaþ parikãrtitaþ  ToT_1.6d
akùobhyà tatra tiùñhati  SvaT_10.822b
akùobhyà sàpyasau gaïgà  SvaT_10.485a
akhaõóaj¤ànapuùpàóhyaü  KubjT_16.90c
akhaõóamaõóalàkàra-  CakBhst_34a
akhaõóamaõóalàkàraü  KubjT_25.182c
agadànghçtasaüyuktàn  SvaT_9.108a
agamyaü sarvavàdinàm  SvaT_10.702d
agamyàgamanaü tathà  KubjT_9.62b
agasti÷ ca mahà-çùiþ  KubjT_21.25d
agastya÷ikharaü tatra  SvaT_10.262a
agastyasahitàþ sarve  SvaT_10.267a
agastyasya prabhàveõa tv  SvaT_10.265a
agastyo vasubhauma÷ca  SvaT_10.1079c
agçhãtàrthabhedasya  SRtp_228c
agnàvevaü prapåjayet  SvaT_4.529d
agnikanyà÷ca màtaraþ  SvaT_10.467b
agnikaü dakùiõe bhàge  SvaT_2.178c
agnikàryaprayogo 'yaü  VT_385c
agnikàryavidhàneùu  SvaT_10.868a
agnikàryavidhiü kramàt  Stk_6.1b
agnikàryaü tu kàrayet  VT_159d
agnikàryaü prakurvãta  SUp_2.24a
agnikàryaü yathàpårvaü  SvaT_4.31a
agnikàryàdikàryaü ca  Dka_62c
agnikuõóasamãpaü tu  SvaT_2.183a
agnikuõóasamãpe tu  SvaT_4.64c
agnikena samopetàü  KubjT_22.25a
agnicaitanyayogena  KubjT_21.5c
agnijàyà mahàvidyà  ToT_6.19c
agnijvalitatejasaþ  SvaT_10.164d
agnidvãpaü mahàvanam  KubjT_21.14b
agninàbhau tu kandakam  SvaT_2.269d
agninàsàvinirgatam  SvaT_2.275d
agnibhàgàttu saügçhya  SvaT_2.252a
agnimårtiü prakalpayet  SvaT_2.271d
agniràjasupåjitàþ  SvaT_10.627d
agnirudràþ smçtà hyate  SvaT_10.981a
agnirudrohutà÷ã ca  SvaT_10.626a
agniråpeõa rudreõa  SUp_5.2a
agnivajjvalate yogã  SvaT_12.130c
agnivat sarvavarõeùu  KubjT_19.102c
agnivaddehamadhyataþ  SvaT_4.401b
agnivàyukubereõa  KubjT_9.71c
agniùñomàtyagniùñomau  SvaT_10.403a
agniùñhasya tu tattejo  SvaT_4.48a
agniùñhaü bhairavaü yajet  SvaT_4.45d
agniùñhaü vai pårakeõa  SvaT_3.200c
agnisaüj¤à tu pårvavat  SvaT_2.255b
agnihotravivarjitàþ  KubjT_8.85d
agnihotraü kratånvàpi  SvaT_10.515c
agniü tu proddharetpa÷càt  SvaT_2.258c
agniü tu ÷ukravaddhyàtvà  SvaT_2.198a
agniü dhyàtvà tu bãjavat  SvaT_2.199b
agniü prajvàlya homayet  SUp_4.49b
agniü yugapad ànãya  SUp_7.71a
agniü srotasi saüyojya  Stk_21.5a
agniþ pràcetaso nàma  SvaT_10.428a
agnãdhratastu jàtà vai  SvaT_10.279c
agnãdhra÷ca samàkhyàto  SvaT_10.288a
agnãdhra÷càgnibàhu÷ca  SvaT_10.275c
agnã÷arakùovàyavya-  SvaT_2.108c
agnãùomàtmakaü sarvaü  Stk_12.3a
agnãùometi saüj¤e dve  SvaT_2.253c
agnerbalaüsamàkramya  SvaT_10.627a
agnerbàlàntasaüsthitàþ  SvaT_2.257b
agnestu bhuvanaü tatra  SvaT_10.855c
agneþ santarpaõaü kuryàt  SvaT_3.100a
agneþ såryasya madhyàdvai  SvaT_2.255c
agnau ca vividhàü siddhiü  SUp_7.73c
agnau tu påjite deve  SvaT_4.100a
agnau vahnir ivàrpitaþ  GorS(1)_100b
agnau homaü tu kàrayet  SvaT_8.16b
agnau homo gururdànaü  SvaT_10.65c
agnau homya÷caruþ srucà  SvaT_3.117b
agnyaü÷aþ paruùastãvra  SvaT_8.9c
agnyàgàre sàvadhànau  SvaT_4.502a
agrajanmà samàkhyàtà  KubjT_25.166a
agrajanmã tathocyate  KubjT_25.164d
agrataþ Pçùñhato vàpi  KubjT_23.24a
agrato dakùiõaü hastaü  SvaT_4.422c
agrato nikhaneta tu  VT_271d
agrade÷e tu koñisthaü  KubjT_13.43a
agraprasàrito hastaþ  SvaT_14.10a
agramàpårayecchaübhor  SvaT_2.135c
agraü saüpràrthya gçhõãyàt  SvaT_4.522c
agràïgulyà prasàryeta  KubjT_6.54c
agràrùasavitur vyoma  SUp_4.18a
agràhyo nityamavyayaþ  SvaT_6.12d
agre granthàrthagarbhiõã  CakBhst_23d
agre niku¤cayet ki¤cit  SvaT_14.9c
agrotpannà tu agraõã  KubjT_25.165b
aghamarùaþ prakartavya  SvaT_2.15a
aghopyamegho vajràïgo  SvaT_10.441c
aghoram iti vikhyàtaü  KubjT_9.2a
aghora÷ càham eva ca  KubjT_8.87b
aghorasteja ityukto  Stk_22.12c
aghoras tvaü mahe÷àni  KubjT_8.87a
aghorasya kalà hyetà  SvaT_1.56c
aghorasya mahàtape  KubjT_9.15b
aghorasya va÷e sthitaþ  KubjT_9.82d
aghorahçdayo vàma-  SRtp_282a
aghoraü kàlam ity uktam  KubjT_8.86c
aghoraü ghoraråpeti  KubjT_9.88a
aghoraü ca makàrajam  Stk_22.8d
aghoraü ca yaduktavàn  SvaT_3.16b
aghoraü tatra yojayet  SvaT_9.94d
aghoraü nàma nàmataþ  KubjT_9.9d
aghoraü pa¤camadhye tu  KubjT_9.21a
aghoraü parame÷varam  KubjT_8.34d
aghoraü yatra saüsthitam  KubjT_8.74b
aghoraü yojayedyathà  SvaT_9.49d
aghoraü viùõur ucyate  KubjT_8.86d
aghoraþ sarvatomukhaþ  KubjT_9.23b
aghoraþ sàmavedastu  SvaT_11.42c
aghoraþ sàmavedaþ syàd  Stk_22.14a
aghoraþ surapåjitaþ  SvaT_1.43d
aghoràn na paro mantraþ  KubjT_8.11a
aghorã÷a iti smçtaþ  KubjT_9.88b
aghorã ÷aktiruttamà  SvaT_2.114d
aghorãhçdayànvitam  KubjT_15.62d
aghore amoghe varade  KubjT_5.16c
aghore ghoraråpiõi  KubjT_24.132d
aghoreõa yathàkramam  SvaT_1.50d
aghoreõa suràdhipe  KubjT_8.52b
aghoreõa susaüskçtam  KubjT_9.75d
aghorebhyo anantaram  SvaT_1.41b
aghorebhyo samàlikhya  SvaT_1.61a
aghore÷varãti vikhyàtà  SvaT_1.75c
aghoro ghoranà÷anaþ  SvaT_11.282b
aghoro rudra ityuktas  SvaT_11.41a
aghoro rudradaivatya  Stk_22.15c
aghoryàóàmare tantre  KubjT_20.57a
aghoryàùñakasaüyuktà  KubjT_17.80c
aghoryàùñakasaüyutam  KubjT_18.35b
agho vasanti vai divyàþ  SvaT_10.442c
aïkitaü mastakaü mama  KubjT_1.14b
aïkitàni svamànataþ  SvaT_10.316b
aïkuraü nàlavinyàsam  SvaT_2.60c
aïkuràkàravatsthità  Stk_12.1d
aïkuràn målasambhavaþ  KubjT_14.26b
aïkuràstatra nirgatàþ  Stk_10.1d
aïku÷asthànam à÷ritaþ  KubjT_25.141b
aïku÷asthà paràparà  KubjT_25.139d
aïku÷aü mu÷alaü dhanuþ  KubjT_25.51d
aïku÷aü sàdhyaguhye tu  VT_176a
aïku÷aþ kathito hyeùa  SvaT_14.6c
aïku÷ena niruddhyeta  SvaT_9.89a
aïku÷ena nirodhayet  VT_41d
aïku÷ena nirodhayet  VT_303b
aïku÷ena samàkçùya  SvaT_4.71c
aïku÷ena hato mårdhni  VT_161a
aïku÷oddharaõaü hy etad  VT_132c
aïkusena tu rakùitam  KubjT_9.52d
aïgatve kãrtitàni tu  SvaT_10.392d
aïgadvãpaü yavàkhyaü ca  SvaT_10.258a
aïganyàsaü tataþ kçtvà  ToT_3.44a
aïganyàsaü tataþ kçtvà  ToT_3.54a
aïganyàsaü mahe÷àni  ToT_4.42a
aïgapåjàü ca kàlyàdãn  ToT_3.75c
aïgapratyaïgakeùvapi  KubjT_25.125b
aïgabhakùaõamudvàhaü  SvaT_7.270c
aïgamaïgagatà devã  KubjT_25.140a
aïgarakùà na kartavyà  KubjT_3.65a
aïgavaktraiþ samanvitam  SvaT_13.2d
aïgaùañkasamanvitam  SvaT_2.165d
aïgaùañkasamanvitam  SvaT_3.14d
aïgaùañkasamanvitam  SvaT_5.38b
aïgaùañkasamanvitam  SvaT_9.23d
aïgaùañkasamanvitam  SvaT_9.47b
aïgaùañkaü tato nyaset  SvaT_2.100d
aïgaùañkaü ÷çõuùvedaü  KubjT_7.86c
aïgasaïkocanànayanaü  KubjT_17.47c
aïgànàü tu da÷àü÷akam  SvaT_3.117d
aïgànàü pa¤cakaü tathà  SvaT_2.171b
aïgànàü mardanaü kuryàc  GorS(2)_53 (=1|50)a
aïgànàü mardanaü ÷astaü  GorS(1)_50a
aïgàni karaõàni ca  SRtp_132b
aïgàni vinyasetpa÷càt  SvaT_2.214a
aïgàni saüpravakùyàmi  SvaT_10.389a
aïgànyevaü yathàkramam  SvaT_2.53d
aïgàradvãpaparyantaü  KubjT_21.14c
aïgàradvãpavàsinyo  KubjT_21.110c
aïgàriùñàni me ÷çõu  SvaT_7.263d
aïgàriùñàni yàni ca  SvaT_7.284b
aïgàvayavasampårõà  KubjT_6.84a
aïgã yogo 'ùñamaþ svayam  MrgT_4.3d
aïguladvayamànaü tu  SvaT_4.345c
aïgulaü tattrisaüguõaiþ  MrgT_1,13.7b
aïgulàni ùaóeva hi  SvaT_7.95d
aïgulãbhiralaükçtaiþ  SvaT_10.600b
aïgulãyàkùasåtraü ca  SUp_7.44c
aïgulãvyàpakanyàsau  ToT_3.73a
aïgule aïgule hyatra  SvaT_7.91a
aïgule tu sapa¤càü÷e  SvaT_7.135c
aïgulena vihãne tu  SvaT_7.33a
aïgulaiþ ùaóbhirekaiko  SvaT_7.90c
aïgulyaþ sandhaya÷caiva  SvaT_10.838c
aïgulyà aïganà proktà  KubjT_6.98c
aïgulyà grathayet sarvàþ  KubjT_6.51a
aïgulyàgre vyavasthitam  KubjT_16.74d
aïgulyàgre samàkhyàtaü  KubjT_16.77c
aïgulyà tu kanãyasã  KubjT_6.56d
aïgulyà tena coddiùñà  KubjT_6.99a
aïgulyekena kiü mànaü  ToT_7.10c
aïgulyekena deve÷i  ToT_7.11a
aïguùñhajànuhçdaye  SvaT_7.310c
aïguùñhatalamåle ca  SUp_5.45a
aïguùñhamàtrasahità  SvaT_10.1045a
aïguùñha÷ caughabhåtà tu  KubjT_6.104c
aïguùñhas tena sa smçtaþ  KubjT_6.105b
aïguùñhaü ca kaniùñhikàm  SvaT_14.15b
aïguùñhaü càpyapa÷cimam  Stk_1.17d
aïguùñhàgrapramàõakaþ  SvaT_10.757b
aïguùñhàdikaniùñhàntaü  SvaT_2.32a
aïguùñhàdi mahe÷àni  ToT_3.4a
aïguùñhànàmikàbhyàü tu  SvaT_2.235c
aïguùñhànnirmità mayà  SvaT_10.165b
aïguùñhàbhyàü ÷rutã netre  SvaT_12.152c
aïguùñhena kçtà rekhà  KubjT_2.29a
aïguùñhena samàhitaþ  SvaT_14.13b
aïguùñhenàkramedàdyàü  SvaT_14.19c
aïguùñhenàkrameddevi  SvaT_14.2c
aïguùñhenàkrameddevi  SvaT_14.4a
aïguùñhenàkramed budhaþ  SvaT_13.44d
aïguùñhau ca kaniùñhakau  KubjT_6.53b
aïguùñhau madhyasaüsthitau  KubjT_6.54d
aïguùñhau madhyasaüsthitau  KubjT_6.56b
aïguùñhau hçdaye nidhàya cibukaü nàsàgram àlokayed  GorS(1)_9c
aïguùñhau hçdaye nidhàya cibukaü nàsàgram àlokayed  GorS(2)_12 (=1|9)c
aïge carati nitya÷aþ  KubjT_6.98d
aïgaikaikavivardhanam  KubjT_17.41b
aïgai÷caiva prakalpayet  SvaT_3.108d
acalatvena saüsthitam  KubjT_25.183b
acalaü tat samàkhyàtam  KubjT_25.183a
acalaü parivartate  VT_249b
acalà sà tanuþ såkùmà  SvaT_10.822a
acale vi÷vadhàriõi  KubjT_24.115b
acàlyaþ sarvabhåtànàü  SvaT_12.85c
acidapyupajàyate  MrgT_1,9.8b
acidastãti cetanam  SRtp_140b
acintyamahimà yathà  SRtp_194b
acintyà càprameyà ca  SvaT_10.728c
acintyà mantra÷aktirvai  SvaT_4.151a
acireõa gaõàmbike  KubjT_8.13b
acireõa bhavaty upaladbhiguõà  KubjT_3.82c
acireõaiva kàlena  Stk_12.5c
acetàþ ÷ãryate tanuþ  SvaT_12.106d
acchinnàmanulomena  SvaT_3.80a
a-cha-madhyagataü ÷ålam  KubjT_4.96c
a-cha-sandhigataü punaþ  KubjT_7.62d
ajaghanyo jaghanyakaþ  SvaT_10.494d
ajacakre÷varã rekhà  KubjT_18.44a
ajaóatvàcca yat punaþ  SRtp_196b
ajapà nàma gàyatrã  GorS(2)_44a
ajayyaü sarvadehinàm  SvaT_12.31d
ajaràmarãõàü padaü càtra kathitaü pa¤caguõàvaham  KubjT_5.5/a
ajavãthã ca dakùiõe  SvaT_10.339d
aja÷ca bhuvane÷a÷ca  SvaT_10.491c
ajasraü kùarate tathà  SUp_6.164b
ajasraü bhàvapårvakam  KubjT_20.38b
ajàtaþ parikãrtitaþ  KubjT_9.16b
ajàto 'dhipatiþ proktas  MrgT_3.112c
ajàm ekàü supuùñàïgãü  SUp_6.200c
ajitaþ suciraü kàlaü  KubjT_22.54a
ajitaþ suciraü kàlaü  KubjT_22.54a
ajità càparàjità  KubjT_9.4d
ajità càparàjità  KubjT_16.10b
ajità càparàjità  KubjT_21.58d
ajitàyàþ samuddiùñaü  VT_126c
ajitàü pa÷cime dale  VT_31d
ajinaü tryàyuùaü tathà  SvaT_10.389d
ajãrõe bhojanaü yathà  KubjT_3.56d
aje÷aþ ÷arma soma÷ ca  KubjT_10.124c
aje÷àdyais tu ùoóa÷a  KubjT_24.158d
aje÷o 'nanta eva ca  SvaT_10.1040d
aj¤àtaü pa÷ugocare  SvaT_10.708b
aj¤àtà dãptihàrikàþ  KubjT_18.70d
aj¤àte vãryahànikçt  KubjT_18.64d
aj¤àtvà dehajàü ÷aktiü  KubjT_25.167a
aj¤àtvaitàni tattvàni  Stk_8.5a
aj¤ànaguõa÷àlinã  KubjT_3.35d
aj¤ànatimirasyaikam  BhStc_24a
aj¤ànatimiraü hatvà  SvaT_10.604a
aj¤ànatimiràdhànàm  SvaT_10.681c
aj¤ànapaïkanirmagnaü  SUp_7.41a
aj¤ànapañanirmuktaþ  SvaT_3.128a
aj¤ànapañalàpahàþ  SvaT_10.508b
aj¤ànabhàvamàpannaþ  SvaT_12.60a
aj¤ànamalanà÷anam  KubjT_12.61d
aj¤ànamalaråpeõa  KubjT_6.78a
aj¤ànaü caivamaùñadhà  SvaT_11.155b
aj¤ànaü dårato gatam  SvaT_10.265b
aj¤ànena nibaddhàni tv  SvaT_11.177a
aj¤o janturanã÷o 'yam  SRtp_151c
a¤janaü samabhàgikam  VT_279d
a¤jalau bhairaveõa tu  SvaT_3.143d
añate tu avi÷ràntaþ  KubjT_25.65c
añate satataü yena  KubjT_25.96a
añato 'pi jagattrayam  KubjT_25.97b
añanaü pudgalasya tu  KubjT_25.127d
añanaü pudgalàtmakam  KubjT_25.75b
añku÷ena nirodhayet  VT_84d
añguùñhàdikaniùñhàntaü  VT_80a
añguùñhàd ye tu ye parvà  VT_80c
añguùñhau grathitau kçtvà  VT_86a
añguùñhau ca susaüsthitau  VT_88d
aññahàsapuràntagàþ  KubjT_15.21b
aññahàsaü tu khaññakã  KubjT_25.108b
aññahàsà jayantikà  KubjT_24.137d
aññahàsàditaþ kçtvà  KubjT_16.6a
aññahàsàditaþ kçtvà  KubjT_22.20a
aññahàsà mahàravà  KubjT_21.37d
aññahàse kadambasthàü  KubjT_22.23a
aññahàse mahàkùetre  KubjT_24.73c
aññahàso 'ññahàsataþ  KubjT_2.115d
aññahàso dàruka÷ca  SvaT_10.1056c
aññi masi àlitto u  KubjT_10.6d
aõavas tv apramàõàs tu  KubjT_6.94c
aõavaþ patayo 'thavà  MrgT_1,5.2d
aõimàdiguõàdhàrà  KubjT_5.142c
aõimàdiguõàvàptir  Dka_80a
aõimàdiguõàvàptiþ  BhStc_55a
aõimàdiguõàvàptau  SvaT_4.489a
aõimàdiguõàùñakam  KubjT_4.73d
aõimàdiguõàùñaka÷ambhupadam  KubjT_3.82d
aõimàdiguõair yukto  KubjT_25.63a
aõimàdiguõairyutam  SvaT_4.488d
aõimàdiguõai÷varyaü  Stk_15.2c
aõimàdi-guõodayaþ  GorS(1)_65d
aõimàdiprasàdhane  Stk_19.12b
aõimàdiphalaü labhet  SvaT_4.504b
aõimàdyaùñakaü smçtam  SvaT_10.1073d
aõimà laghimà caiva  SvaT_10.1072c
