Cakrapaninatha: Bhavopaharastotra 
(mula text extracted from the commented version)
Based on the ed. by Mukunda Ramashastri
Bombay : Tatva-vivechaka Press 1918
(Kashmir Series of Sanskrit Texts and Studies, 14)


Input by Somadeva Vasudeva,
2003


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akhaõóamaõóalàkàra-  CakBhst_34a
prollasadbrahmakamalam  CakBhst_27c
bàhyàrthapratipattaye  CakBhst_9b
baindhavaü tãrthama¤jasà  CakBhst_16b
bodhàravindasaüdoho  CakBhst_28a
bhaïktvà brahmabilaü lasat  CakBhst_22b
bhavadbhaktisudhàsàra-  CakBhst_27a
bhavadbhaktisudhàsitam  CakBhst_37b
bhavadbhàvarasàve÷àt  CakBhst_33a
bhavàyàbhavadàyine  CakBhst_1d
bhasmàvaguõñhitatanor nçkapàlapàõeþ  CakBhst_46d
bhàcakraü hçdayàmbaràt  CakBhst_35b
bhàvapåjàtaraõóakam  CakBhst_44d
bhàvapåjàm akçtrimàm  CakBhst_6d
bhogyabhoktçvibhedottha-  CakBhst_40a
mattas tvadaïghriyugapãñhanilãnamauler  CakBhst_46c
mathitvà ÷aktivàridhim  CakBhst_14b
mantragarbhodarasthàya  CakBhst_3c
mantraü manasi tacchaktau  CakBhst_30a
mantràdhvani nadàmy antaþ  CakBhst_33c
mamatàmanduràtyàgà-  CakBhst_38a
malatrayavivarjitam  CakBhst_26b
mahàpà÷upatodyàne  CakBhst_47a
mànàvamànamatojjhitacittavçtteþ  CakBhst_46b
mudràü badhnàmi dhårjañe  CakBhst_31d
mumukùåõàü vimuktaye  CakBhst_25d
mårtidànam anàbhàsa-  CakBhst_12a
mokùalakùmãkaràmbhoja-  CakBhst_43a
mohadhvàntàpanuttaye  CakBhst_24d
yad yad vikalpanàjàlaü  CakBhst_9a
yadyapi tvaü guõàtãto  CakBhst_4a
yà gaur dhàmni pare parà  CakBhst_23b
yuùmaddhyànani÷ànàtha-  CakBhst_42a
yo ràvo 'tra vijçmbhate  CakBhst_32b
ràgalobhànuyàyiùu  CakBhst_15b
råkùam udvartanaü tava  CakBhst_15d
recayitvà karandhreõa  CakBhst_35a
layavi÷leùakàriõe  CakBhst_3b
vàkpater apy agocaraþ  CakBhst_4b
vàsanendhanasaücayam  CakBhst_40b
vàhanàya prakalpitaþ  CakBhst_38d
vikasadvastragharùaõam  CakBhst_17b
vikàràn vikaràmahe  CakBhst_17d
vitaràmi jagatpate  CakBhst_12d
vitànam upakalpitam  CakBhst_34d
vidràvitanabho 'rgalam  CakBhst_26d
vinive÷ya bhavatsaüvid-  CakBhst_17c
viva÷à vi÷vatomukha  CakBhst_5b
vi÷vàkà÷aku÷e÷ayàt  CakBhst_29b
visçtaiþ prasçtaiþ puraþ  CakBhst_36b
vãjyase haüsamàrutaiþ  CakBhst_36d
vçttityàgàmçtakalà-  CakBhst_25a
÷aktibhàsopabçühitam  CakBhst_12b
÷ambhor bhàvanutiü paràm  CakBhst_47d
÷aùkulãkarõayor baddhvà  CakBhst_32a
÷àükare sreyasàm nidhau  CakBhst_40d
÷ikhàü dãpa÷ikhopamàm  CakBhst_24b
÷ivatàbhàvanàmbaram  CakBhst_34b
÷ivàya vinivedaye  CakBhst_14d
÷ivàya vinivedaye  CakBhst_30d
÷ivàyàvyaktamårtaye  CakBhst_2d
÷oõitair arghabhàjanam  CakBhst_8b
÷yàmakaõñhaü yajàmy aham  CakBhst_7d
÷reyas tena jagat kçtsnaü  CakBhst_45c
sadasadvibhramojjhitam  CakBhst_11b
samàlambhanavevàstu  CakBhst_25c
sarvàtapavinirmuktaü  CakBhst_37a
saüplàvitahçdambudheþ  CakBhst_27b
saübodhadhautavasanaþ  CakBhst_7c
saüvitsaurabhanirbharaiþ  CakBhst_21b
saü÷odhyànacchakalayà  CakBhst_16a
saüsàravàridheþ santaþ  CakBhst_44a
sà ghaõñà vàdyate ÷ambhor  CakBhst_23c
sårya÷ãtàüunetràbhyàü  CakBhst_14a
stutipuùpaiþ prapåjyase  CakBhst_21d
stotraü gçhàõa parame÷vara vi÷vasàkùin  CakBhst_46a
spandamandirakandaràt  CakBhst_19b
sphuratspandendusurabhi  CakBhst_39c
svaprabodhàmbarodàra-  CakBhst_17a
svasaüvinnandanànanda-  CakBhst_39a
hara hàralatà tava  CakBhst_28b
haràya paramàtmane  CakBhst_3d
hànàdànodayàrambha-  CakBhst_11a
hçtpuùkaràkhye snàtvàntas  CakBhst_7a
