Astavakragita


Input by John Richards
with corrections by Robert Drecogna



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akartçtvam abhoktçtvaü  Avg_18.51a
aham àse yathà-sukham  Avg_13.6d
aham àse yathà-sukham  Avg_13.7d
aham eveti ni÷cayã  Avg_11.7b
ahaü kartety ahaü-màna-  Avg_1.8a
ahaü và sarva-bhåteùu  Avg_6.4a
ahaü sa ÷ukti-saïkà÷o  Avg_6.3a
aho ahaü namo mahyaü  Avg_2.12a
aho ahaü namo mahyaü  Avg_2.13a
aho ahaü namo mahyaü  Avg_2.14a
aho ahaü namo mahyaü,  Avg_2.11a
aho cin-màtram evàham  Avg_7.5a
aho jana-samåhe 'pi  Avg_2.21a
aho tatra sthito yogã  Avg_4.2c
aho nira¤janaþ ÷ànto  Avg_2.1a
aho para-da÷à kvàpi  Avg_17.10c
aho bhuvana-kallolair  Avg_2.23a
aho mayi sthitaü vi÷vaü  Avg_2.18c
aho vikalpitaü vi÷vam  Avg_2.9a
àkà÷avad ananto 'haü  Avg_6.1a
àkà÷asyeva dhãrasya  Avg_18.66c
àcakùva ÷çõu và tàta  Avg_16.1a
àjãvam api jij¤àsuþ  Avg_15.1c
àtma-j¤ànàn na bhàsate  Avg_2.7b
àtma-tanmatram evedaü  Avg_2.5c
àtmano na tathà bhinnaü  Avg_2.4c
àtma-vi÷rànti-tçptena  Avg_18.93a
àtmàj¤ànàj jagad bhàti  Avg_2.7a
àtmàj¤ànàd aho prãtir  Avg_3.2a
àtmà tvaü prakçteþ paraþ  Avg_15.8d
àtmà tvaü mukta evàsi  Avg_15.20c
àtmà na gantà nàgantà  Avg_15.9c
àtmànam atisundaram  Avg_3.4b
àtmànam advayaü ka÷cij  Avg_4.6a
àtmànaü kevalaü pa÷yan  Avg_3.9c
àtmànaü taü na jànanti  Avg_18.35c
àtmànaü na didçkùati  Avg_18.83b
àtmànaü paribhàvaya  Avg_1.13b
àtmànaü pa÷yato muneþ  Avg_18.74b
àtmà brahmeti ni÷citya  Avg_18.8a
àtmà muktaþ sanàtanaþ  Avg_18.7b
àtmàràmasya dhãrasya  Avg_18.23c
àtmà sàkùã vibhuþ pårõa  Avg_1.12a
àtmaivedaü jagat sarvaü  Avg_4.4a
àdàya hçdayodaràt  Avg_19.1b
ànanda-paramànandaþ  Avg_1.10c
àpadaþ sampadaþ kàle  Avg_11.3a
à-brahma-stamba-paryantam  Avg_11.7a
à-brahma-stamba-paryante  Avg_4.5a
àbhàso 'haü bhramaü muktvà  Avg_1.13c
àyàsàt sakalo duþkhã  Avg_16.3a
à÷à-nairà÷yayoþ samaþ  Avg_5.4b
à÷caryaü kàmam àkàïkùet  Avg_3.7c
à÷caryaü kàma-va÷ago  Avg_3.6c
à÷caryaü jãva-vãcayaþ  Avg_2.25b
à÷caryaü mokùa-kàmasya  Avg_3.8c
à÷ramànà÷ramaü dhyànaü  Avg_12.5a
àsãt yà jãvite spçhà  Avg_2.22d
àsãd asti bhaviùyati  Avg_15.18b
àsthitaþ paramàdvaitaü  Avg_3.6a
icchànicchà-vivarjane  Avg_4.5d
iti kùãõà vikalpanàþ  Avg_18.9b
iti cintànurodhã yaþ  Avg_18.25c
iti j¤atvaikam àtmànam  Avg_5.2c
iti j¤ànaü tathaitasya  Avg_6.1c
iti j¤ànaü tathaitasya  Avg_6.2c
iti j¤ànaü tathaitasya  Avg_6.3c
iti j¤ànaü tathaitasya  Avg_6.4c
iti ni÷caya-vahninà  Avg_1.9b
iti ni÷citya ÷àmyati  Avg_9.3d
iti vij¤àya dhãro hi  Avg_18.7c
iti sa¤cintya tattvataþ  Avg_13.3b
iti sarvà vimu¤ca tàþ  Avg_9.8b
ity asakto 'spçhaþ ÷ànta  Avg_7.4c
idaü kçtam idaü neti  Avg_16.5a
idaü kçtam idaü neti  Avg_18.12c
idaü gràhyam idaü tyàjyaü  Avg_3.13c
indra-jàlopamaü jagat  Avg_7.5b
ivebhaü nimba-pallavàþ  Avg_17.3d
ihàmutra viraktasya  Avg_3.8a
ã÷varaþ sarva-nirmàtà  Avg_11.2a
ãhitànãhitair mukto  Avg_17.12c
ucchçïkhalàpy akçtikà  Avg_18.52a
udàras tu na vikùiptaþ  Avg_18.17c
udeti bhavato vi÷vaü  Avg_5.2a
udetu vastam àyàtu  Avg_7.2c
udetu vàstam àyàtu  Avg_15.11c
udbhåtaü j¤àna-durmitram  Avg_3.7a
udyanti ghnanti khelanti  Avg_2.25c
upadhiþ kalpito mayà  Avg_2.17b
upa÷àntasya yoginaþ  Avg_18.10d
upa÷àmya sukhaü tiùñha  Avg_15.19c
upasthetyanta-saüsakto  Avg_3.4c
ubhayàbhàvakaþ ka÷cid  Avg_18.42c
eka eva bhavàmbhodhàv  Avg_15.18a
ekasminn avyaye ÷ànte  Avg_15.13a
ekaü vij¤àya tattvataþ  Avg_3.1b
ekaü sarva-gataü vyoma  Avg_1.20a
ekàkã ramate tu yaþ  Avg_17.1d
ekàgratà nirodho và  Avg_18.33a
eko draùñàsi sarvasya  Avg_1.7a
eko mukta÷ cid akriyaþ  Avg_1.12b
eko vi÷uddha-bodho 'ham  Avg_1.9a
eko 'haü cid-raso 'malaþ  Avg_2.16d
eko 'haü dehavàn api  Avg_2.12b
etat-tattvopade÷ena  Avg_1.18c
etad evàham àstitaþ  Avg_7.4d
etad evàham àsthitaþ  Avg_7.3d
etad bråhi mama prabho  Avg_1.1d
etasyànartha-målasya  Avg_18.38c
etàvad eva vij¤ànaü  Avg_15.2c
etàvantam ahaü kàlaü  Avg_2.1c
ebhyaþ saüsàra-kàntàre  Avg_10.7c
evam eva kçtaü yena  Avg_12.8a
evam eva niràkulaþ  Avg_18.42d
evam eva layaü vraja  Avg_5.1d
evam eva layaü vraja  Avg_5.2d
evam eva layaü vraja  Avg_5.3d
evam eva layaü vraja  Avg_5.4d
evam eva vyava-sthitaþ  Avg_16.8d
evam eva svabhàvo yaþ  Avg_12.8c
evam evàham àsthitaþ  Avg_12.1d
evam evàham àsthitaþ  Avg_12.3 ???d
evam evàham àsthitaþ  Avg_12.4d
evam evàham àsthitaþ  Avg_12.5d
evam evàham àsthitaþ  Avg_12.6d
evam evàham àsthitaþ  Avg_12.7d
evam evàhaü àsthitaþ  Avg_12.2d
evaü galita-dhãþ kçtã  Avg_17.8b
evaü j¤àtveha nirvedàd  Avg_9.1c
evaü vimç÷ato nityaü  Avg_2.17c
evaü vilokya niyamam  Avg_12.3 ???c
evaü harùa-viùàdayoþ  Avg_12.4b
eùàü sàkùiõam àtmànaü  Avg_1.3c
audàsyaü và prapa÷yati  Avg_18.48d
kañakàïgada-nåpuram  Avg_15.14d
katham arthàrjane ratiþ  Avg_3.1d
kathaü kùubhyet mahà÷ayaþ  Avg_3.10d
kathaü j¤ànam avàpto 'ti  Avg_1.1a
kathaü trasyati dhãradhãþ  Avg_3.11d
kathaü muktir bhaviùyati  Avg_1.1b
kadà ÷àntàni kasya và  Avg_9.1b
kanake kañakaü yathà  Avg_2.10d
karoti tattva-bodho 'yam  Avg_15.3c
kartavyataiva saüsàro  Avg_18.57a
kartavya-duþkha-màrtaõóa-  Avg_18.3a
kartum àpnoty atatkùaõàt  Avg_18.75d
karma-naiùkarmya-nirbandha-  Avg_13.4a
karmànuùñhànam aj¤ànàd  Avg_12.6a
kalpanà-màtram evaitat  Avg_2.20c
kalpitaü rajju-sarpavat  Avg_1.10b
kasyàpi tàta dhanyasya  Avg_9.2a
kasyàpy udàra-cittasya  Avg_17.6c
kà bubhutsà tathàpi te  Avg_10.5d
kàya-kçty-àsahaþ pårvaü  Avg_12.1a
kàyena manasà girà  Avg_10.8b
kàlam antam anu÷ritaþ  Avg_3.7d
kim abhyasyati bàlavat  Avg_18.7d
kim enam anu÷ocasi  Avg_15.9d
kiü kçtyam ava÷iùyate  Avg_18.69d
kiücit kçtyaü na pa÷yati  Avg_18.82d
kiücid dhçùyati kupyati  Avg_8.1d
kiücid và¤chati ùocati  Avg_8.1b
kiü cintayati ni÷cinto  Avg_18.16c
kiücin nàstãti ni÷cayã  Avg_18.70b
kiücin nottiùñhate mama  Avg_20.14d
kiücin mu¤cati gçhõàti  Avg_8.1c
kiü dãna iva dhàvasi  Avg_3.3d
kiü pçthak bhàsate svarõàt  Avg_15.14c
kiü bråte ca karoti kiü  Avg_18.8d
kiü me kàryaü cidàtmanaþ  Avg_2.20d
kiü vadantãha satye 'yaü  Avg_1.11c
kiü vimç÷ya kariùyasi  Avg_15.20d
kiü ÷uddhas tyaktum icchasi  Avg_5.1b
kuta÷cit kau÷alàd eva  Avg_2.3c
kutaþ pra÷ama-pãyåùa-  Avg_18.3c
kuto janma kutaþ karma  Avg_15.13c
kuto 'haükàra eva ca  Avg_15.13d
kutràpi khedaþ kàyasya,  Avg_13.2a
kutràpi na jihàsàsti  Avg_18.23a
kuru vij¤a tathàpi te  Avg_16.2b
kurvato 'sya yad-çcchayà  Avg_18.24b
kurvann api karoti na  Avg_17.19d
kurvann api karoti na  Avg_18.25d
kurvann api tu kçtyàni  Avg_18.58c
kurvann api na lipyate  Avg_11.4d
ku÷alo hi niràkulaþ  Avg_18.58d
kåñastha-nirvibhàgasya  Avg_20.12c
kåñasthaü bodham advaitam  Avg_1.13a
kçta-kartavya-nirvçtaþ  Avg_18.98b
kçta-kçtyaþ sukhaü cara  Avg_15.18d
kçtaü kim api naiva syàd  Avg_13.3a
kçtaü dehena karmedaü  Avg_18.25a
kçtaü na kati janmàni  Avg_10.8a
kçtàkçte ca dvandvàni  Avg_9.1a
kçtàrthaþ sattva-buddhimàn  Avg_15.1b
kçtàrtho 'nena j¤ànenety  Avg_17.8a
kçtyaü kim api naivàsti  Avg_18.13a
kçtvà mårti-parij¤ànaü  Avg_9.6a
kevalaü duþkhabhàg asau  Avg_16.10d
kevalo ramate budhaþ  Avg_18.87d
kaivalyam iva saüpràpto  Avg_11.6c
kaivalyam iva saüsthitaþ  Avg_17.18d
ko na ÷àmyati mànavaþ  Avg_9.5d
ko 'nyo nirvàsanàd çte  Avg_18.90d
ko 'sau kàlo vayaþ kiü và  Avg_9.4a
kaupãnatve 'pi durlabham  Avg_13.1b
kriyamàõe 'pi karmaõi  Avg_18.64d
kva kartà kva ca và bhoktà  Avg_20.5a
kva kiücit kva na kiücid và  Avg_20.8c
kva ca jàgaraõaü tathà  Avg_19.5b
kva ca sà paramàrthatà  Avg_20.10b
kva càtmà kva ca vànàtmà  Avg_19.4a
kva càrthaþ kva vivekità  Avg_18.12b
kva càrthaþ kva vivekità  Avg_19.2b
kva càsti kva ca và nàsti  Avg_20.14a
kva càsti puruùàrtho và  Avg_20.13c
kva cintà kva ca vàcintà  Avg_19.4c
kvacin na gantà nàgantà  Avg_2.12c
kva caiùa vyavahàro và  Avg_20.10a
kva jãvaþ kva ca tad-brahma  Avg_20.11c
kva tad dhyànaü kva muktatà  Avg_18.14b
kva tad videha-kaivalyaü  Avg_20.4c
kva tamaþ kva prakà÷o và  Avg_18.78a
kva turiyaü bhayaü vàpi  Avg_19.5c
kva tçptiþ kva vitçùõatvaü  Avg_20.2c
kva tyàgaþ kva ÷amo 'pi và  Avg_18.71d
kva dåraü kva samãpaü và  Avg_19.6a
kva de÷aþ kva ca và nityaü  Avg_19.3c
kva deho 'haü mameti và  Avg_18.74d
kva dvaitaü kva ca vàdvaitaü  Avg_19.2c
kva dhanàni kva mitràõi  Avg_14.2a
kva dharmaþ kva ca và kàmaþ  Avg_18.12a
kva dharmaþ kva ca và kàmaþ  Avg_19.2a
kva dhairyaü kva vivekitvaü  Avg_18.79a
kva niràtaïkatàpi và  Avg_18.79b
kva nirodho vimåóhasya  Avg_18.41a
kva nirbodhaþ kva måóhatà  Avg_20.9b
kva pramàtà pramàõaü và  Avg_20.8a
kva prameyaü kva ca pramà  Avg_20.8b
kva pravçttir nirvçttir và  Avg_20.12a
kva pràrabdhàni karmàõi  Avg_20.4a
kva prãtir viratiþ kva và  Avg_20.11b
kva baddhaþ kva ca và muktaþ  Avg_20.6c
kva bandhaþ kva ca và mokùaþ  Avg_18.72c
kva bandhaþ kva ca và mokùaþ  Avg_20.3c
kva bhåtaü kva bhaviùyad và  Avg_19.3a
kva bhåtàni kva deho và  Avg_20.1a
kva màyà kva ca saüsàraþ  Avg_20.11a
kva muktiþ kva ca bandhanam  Avg_20.12b
kva mçtyur-jãvitaü và kva  Avg_19.7a
kva me viùaya-dasyavaþ  Avg_14.2b
kva mohaþ kva ca và vi÷vaü  Avg_18.14a
kva yogã j¤ànavàn kva và  Avg_20.6b
kva ratiü karavàõy aham  Avg_2.21d
kva ràgaþ kva viràgatà  Avg_18.62d
kva layaþ kva samàdhir và  Avg_19.7c
kva lokaþ kva mumukùur và  Avg_20.6a
kva và tattva-vini÷cayaþ  Avg_18.92b
kva và nirviùayaü manaþ  Avg_20.2b
kva vikùepaþ kva caikagryaü  Avg_20.9a
kva vidyà kva ca vàvidyà  Avg_20.3a
kva vidyà ca kva và vi÷vaü  Avg_18.74c
kva vidhiþ kva ca vairàgyaü  Avg_18.71c
kva vçddhiþ kva ca và hànis  Avg_15.10c
kva ÷àstraü kva ca vij¤ànaü  Avg_14.2c
kva ÷àstraü kvàtma-vij¤ànaü  Avg_20.2a
kva ÷iùyaþ kva ca và guruþ  Avg_20.13b
kva ÷ubhaü kvàsubhaü yathà  Avg_19.4b
kva ÷ånyaü kva ca nairà÷yaü  Avg_20.1c
kva saüsàraþ kva càbhàsaþ  Avg_18.66a
kva sàdhakaþ kva siddhir và  Avg_20.7c
kva sàdhyaü kva ca sàdhanam  Avg_18.66b
kva sàdhyaü kva ca sàdhanam  Avg_20.7b
kva sukhaü kva ca và dukhaü  Avg_20.10c
kva sçùñiþ kva ca saühàraþ  Avg_20.7a
kva sthålaü kva ca và såkùmaü  Avg_19.6c
kva svapnaþ kva suùuptir và  Avg_19.5a
kva svàcchandyaü kva saïkocaþ  Avg_18.92a
kva harùaþ kva viùàdità  Avg_18.72d
kva harùaþ kva viùàdo và  Avg_20.9c
kvàtmano dar÷anaü tasya  Avg_18.40a
kvàparokùaü phalaü và kva  Avg_20.5c
kvàsti caikaü kva ca dvayam  Avg_20.14b
kvàhaü kvedaü mama kva và  Avg_20.3b
kvendriyàõi kva và manaþ  Avg_20.1b
kvopade÷aþ kva và ÷àstraü  Avg_20.13a
kùamàrjavadayàtoùa-  Avg_1.2c
kùiptaþ saüskàra-vàtena  Avg_18.21c
kùãõa-saüsaraõe nare  Avg_17.16d
kùãõa-saüsàra-sàgare  Avg_17.9d
kùãõa-saüsmaraõo hi saþ  Avg_14.1d
khinno 'pi na ca khidyate  Avg_18.56b
khelato bhoga-lãlayà  Avg_4.1b
gacchatv adyaiva và punaþ  Avg_15.10b
gata-kle÷aþ su÷obhate  Avg_18.60d
gata-dvandvasya me sadà  Avg_20.2d
gatyà na ÷ayanena và  Avg_13.5b
guõaiþ saüveùñito dehas  Avg_15.9a
graha-mokùa-vihãnas tu  Avg_16.6c
ghañavat prakçtaü jagat  Avg_6.1b
cakitàþ ÷araõàrthinaþ  Avg_18.45b
caritàrthasya yoginaþ  Avg_18.92d
citi vi÷ràmya tiùñhasi  Avg_1.4b
citta-vàte pra÷àmyati  Avg_2.24b
citta-vàte samudyate  Avg_2.23d
cittas-vãkçta-varjanam  Avg_12.5b
cittaü kùobhaya cin-maya  Avg_15.19b
cittaü nirasta-sarvà÷am  Avg_16.2c
cittaü muktasya ràjate  Avg_18.30d
cid-àkà÷e 'male tvayi  Avg_15.13b
cid-råpaü viddhi muktaye  Avg_1.3d
cid-råpo 'si sadà sàkùã  Avg_15.4c
cintayà jàyate duþkhaü  Avg_11.5a
cintàråpaü bhajaty asau  Avg_12.7b
cin-mårte vijvaro bhava  Avg_15.7d
ciraü baddho 'si putraka  Avg_1.14b
ceùñate ÷uùka-parõavat  Avg_18.21d
ceùñamànaü ÷arãraü svaü  Avg_3.10a
caitanyasya na kiü guruþ  Avg_9.6b
jagat poto vina÷varaþ  Avg_2.24d
jagad-vãciþ svabhàvataþ  Avg_7.2b
jagannà÷e 'pi tiùñhataþ  Avg_2.11d
jaóaü vi÷vam asat tathà  Avg_10.5b
janaü måka-jaóàlasam  Avg_15.3b
jahàti jaóadhãr yadi  Avg_18.75b
jàgare 'pi na jàgarti  Avg_18.94c
jàóye 'pi na jaóo dhanyaþ  Avg_18.97c
jànann api na jànàti  Avg_18.90a
jànàti jagad ã÷varaü  Avg_4.6b
jihvà kutràpi khidyate  Avg_13.2b
jãvane nàbhinandati  Avg_18.99d
jãvan-muktasya yoginaþ  Avg_18.13d
jãvan-muktaþ sukhã ÷rãmàn  Avg_18.26c
jãvan-muktir api kva và  Avg_20.4b
jãvan-muktir na caiva hi  Avg_18.80b
jãvitecchà bubhukùà ca  Avg_9.2c
jãvite maraõe tathà  Avg_17.6b
jãvo nàham, ahaü hi cit  Avg_2.22b
j¤aþ sacinto 'pi ni÷cintaþ  Avg_18.95a
j¤àta-tattvo mahà÷ayaþ  Avg_18.68b
j¤àtaü yena mahàtmanà  Avg_4.4b
j¤àna-svaråpo bhagavàn  Avg_15.8c
j¤ànaü j¤eyaü tathà j¤àtà  Avg_2.15a
j¤ànàd galita-karmà yo  Avg_18.77a
jvàlàd agdhàntaràtmanaþ  Avg_18.3b
taj-j¤asya puõya-pàpàbhyàü  Avg_4.3a
taj-j¤ànàd bhàsate na hi  Avg_2.7d
tato vàg-vistaràsahaþ  Avg_12.1b
tat kathaü kasya kathyate  Avg_18.93d
tat kasmin kalpanàdhunà  Avg_2.19d
tatkçtvà tiùñhataþ sukham  Avg_18.20d
tat kçtvàse yathà-sukham  Avg_13.3d
tat-kùaõàd bandha-nirmuktaþ  Avg_9.7c
tat-tyàgo vàsanà-tyàgàt  Avg_9.8c
tattva-j¤o hanta khidyati  Avg_17.2b
tattva-ni÷caya-màtreõa  Avg_18.34c
tat tvam eva na sandeha÷  Avg_15.7c
tattva-vij¤àna-sandaü÷am  Avg_19.1a
tattvaü yathàrtham àkarõya  Avg_18.32a
tatrànante niranjane  Avg_7.4b
tatràbhyàsa-parà janàþ  Avg_18.35d
tathàpi na tava svàsthyaü  Avg_16.1c
tathàpi na tava svàsthyaü  Avg_16.11c
tathà vi÷vaü mayi këptaü  Avg_2.6c
tathaivàsmin ÷arãre 'ntaþ  Avg_1.19c
tad adyàpy uparamyatàm  Avg_10.8d
tadà kùãõà bhavanty eva  Avg_18.51c
tadà tat-kurute çjuþ  Avg_18.49b
tadà bandho yadà cittaü  Avg_8.1a
tadà bandho yadà cittaü  Avg_8.3a
tadà muktir yadà cittaü  Avg_8.2a
tadà mokùo yadà cittam  Avg_8.3c
tadàham bhàsa eva hi  Avg_2.8d
tadvad vi÷vaü vicàritam  Avg_2.5d
tantu-màtro bhaved eva  Avg_2.5a
tan-nà÷o mokùa ucyate  Avg_10.4b
tan niùkçtya sukhã bhava  Avg_1.14d
tayà hãnaþ sukhã ÷àntaþ  Avg_11.5c
taraïgà iva sàgare  Avg_3.3b
taraïgà iva sàgare  Avg_15.7b
taraïgàþ phena-budbudàþ  Avg_2.4b
tava cin-màtra-råpiõaþ  Avg_15.10d
tava janmani janmani  Avg_10.6d
tavàtma-j¤asya dhãrasya  Avg_3.1c
tavaivàj¤ànato vi÷vaü  Avg_15.16a
tasminn api na khidyati  Avg_16.9d
tasmai sukhaika-råpàya  Avg_18.1c
tasya ceùñà hi bàlavat  Avg_18.49d
tasyàtma-j¤àna-tçptasya  Avg_3.12c
tasyàlasyadhurãõasya  Avg_16.4c
tasyà÷carya-da÷àü tàü tàü  Avg_18.56c
taü niùeddhuü kùameta kaþ  Avg_4.4d
tàta cin-màtra-råpo 'si  Avg_15.12a
tàdç÷à eva jànate  Avg_14.4d
tàdç÷à eva jànate  Avg_18.56d
tàdç÷o bhava-durlabhaþ  Avg_17.4d
tàny upekùya yathà-pràpta-  Avg_9.4c
tàpa-tritaya-dåùitam  Avg_9.3b
tiùñhaty àyàti yàti ca  Avg_15.9b
tiùñhan gacchan svapan tasmàd  Avg_13.5c
tulanà kena jàyate  Avg_3.12d
tulanà kena jàyate  Avg_18.89d
tuùñiþ sarvatra dhãrasya  Avg_18.85a
tåùõã-bhåtasya yoginaþ  Avg_18.9d
tåùõãü viùaya-dantinaþ  Avg_18.46b
tçptaþ svacchendriyo nityam  Avg_17.1c
tçptaþ svasthendriyo nityaü  Avg_11.3c
tçpto nirvàsano budhaþ  Avg_18.19b
tçùõà-màtràtmako bandhas,  Avg_10.4a
tena j¤àna-phalaü pràptaü  Avg_17.1a
tena vyàptaiva ÷arkarà  Avg_2.6b
tyaktvà tad-bhàvanaü tasmàd  Avg_12.7c
tyajaiva dhyànaü sarvatra  Avg_15.20a
tyàgàdàne vihàyàsmàd  Avg_13.1c
tritayaü nàsti vàstavam  Avg_2.15b
tvatto 'nyo nàsti saüsàrã  Avg_15.16c
tvam eka÷ cetanaþ ÷uddho  Avg_10.5a
tvam ekaþ param-àrthataþ  Avg_15.16b
tvam eva pratibhàsase  Avg_15.14b
tvayà vyàptam idaü vi÷vaü  Avg_1.16a
tvayi protaü yathàrthataþ  Avg_1.16b
tvayy ananta-mahàmbhodhau  Avg_15.11a
dakùo nàstãha mat-samaþ  Avg_2.13b
