Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
annàdànàdi råpàü ca  BVaky_2.377a
anyata÷ càpi làde÷àn  BVaky_3,12.1c
anyat tasmàd vivicyate  BVaky_1.66d
anyat tv akathitaü smçtam  BVaky_3,7.71d
anyatra ca tato råpaü  BVaky_2.446c
anyatra dçùñakarmendro  BVaky_3,14.565c
anyatra vartamànaü sad  BVaky_3,14.405a
anyatra vihite grahe  BVaky_3,1.70b
anyatra ÷råyamàõai÷ ca  BVaky_2.347a
anyatràvihitasyaiva  BVaky_3,1.57a
anyathàkçtya viùayam  BVaky_1.92c
anyathà ca samàkhyànam  BVaky_2.173a
anyathà te na sàdhavaş  BVaky_2.109d
anyathà dàha÷abdena  BVaky_2.422c
anyathà pratipadyate  BVaky_2.239d
anyathà pratipadyate  BVaky_2.246d
anyathà pratipadyàrthaü  BVaky_2.239a
anyathà hi vyavasthàne  BVaky_2.376c
anyathaiva vyavasthitàm  BVaky_3,3.10d
anyathaiva samarthyate  BVaky_3,14.330d
anyathaivàgnisaübandhàd  BVaky_2.422a
anyathaivàdhyavasyati  BVaky_1.92d
anyathaivopapàdyate  BVaky_1.34d
anyad eveti gamyate  BVaky_3,14.390d
anyad eùu na vidyate  BVaky_2.410b
anyad råpaü na gçhyate  BVaky_2.458b
anyad råpaü pratãyate  BVaky_2.458d
anyapratyàyane ÷aktir  BVaky_1.62c
anya÷abdavivakùayà  BVaky_1.183b
anyasminn anuùajyate  BVaky_2.177d
anyasya vinivartakam  BVaky_3,14.143b
anyaş ka÷ cin na vidyate  BVaky_2.346d
anyaş kàyavatàü vidhiş  BVaky_3,6.17d
anyà japaprabandheùu  BVaky_2.261c
anyà tv apreryamàõaiva  BVaky_1.162a
anyàrthànàü kathaü cana  BVaky_2.411d
anyà ÷yàmà tu tadråpà  BVaky_3,14.382c
anyà sattaupacàrikã  BVaky_3,3.39b
anyà saüskàrasàvitrã  BVaky_2.261a
anyàsàm asti saübhavaş  BVaky_3,11.15d
anyàsàü tu tadàkhyatà  BVaky_3,8.15d
anyånas tena gamyate  BVaky_2.214d
anyena vyapadiùñasya  BVaky_3,7.161a
anyeùàm ubhayoş sthitam  BVaky_3,14.399b
anyair avayavaiş punaş  BVaky_2.236d
anyais tu bhàvair anyeùàü  BVaky_3,9.35a
anyais tu mànaü jàtyàdi  BVaky_3,14.375a
anyo dravyàd vibhaktyarthaş  BVaky_3,7.165c
anyonyàpekùayà ÷aktyà  BVaky_2.213c
anvayavyatirekàbhyàm  BVaky_3,14.19a
anvayavyatirekàbhyàü  BVaky_2.166c
anvayavyatirekàbhyàü  BVaky_2.209c
anvayavyatirekàbhyàü  BVaky_2.340c
anvayavyatirekàbhyàü  BVaky_3,1.67a
anvayavyatirekàbhyàü  BVaky_3,14.34c
anvayavyatirekàbhyàü  BVaky_3,14.202c
anvayavyatirekau ca  BVaky_3,11.30a
anvayavyatirekau tu  BVaky_2.12c
anvayàd gamyate so 'rtho  BVaky_3,14.96a
anvayo 'rthasya dç÷yate  BVaky_2.169b
anvàkhyànasmçter ye ca  BVaky_2.231a
anvàkhyànàd dhi sàdhutvam  BVaky_3,14.271c
anvàkhyànàni bhidyante  BVaky_2.170a
anvàkhyànàya bhedàs tu  BVaky_3,14.72c
anvàkhyànàya yo bhedaş  BVaky_2.443a
anvàkhyeyatvam arhati  BVaky_3,14.276b
anvàkhyeyà÷ ca ye ÷abdà  BVaky_1.24c
anvàkhyeyàs tathà ÷àstram  BVaky_3,14.75c
apadaü jàyate sarvaü  BVaky_3,9.26c
apadàrthasya dar÷anàt  BVaky_2.425d
apade 'rthe padanyàsaş  BVaky_3,3.78a
apare tu padasyaiva  BVaky_2.329a
apare bràhmaõàdãnàü  BVaky_3,14.303a
aparair anugamyate  BVaky_2.125d
aparair upavarõyate  BVaky_3,8.39d
aparo 'rthe prayujyate  BVaky_1.44d
apàkçto và tenàyaü  BVaky_3,14.501c
apàyaviùayaü dhrauvyaü  BVaky_3,7.138c
api teùàü na kalpate  BVaky_3,14.64d
api pratyàyayaty asau  BVaky_2.299d
api prayoktur àtmànaü  BVaky_1.143a
api lokavyavasthayà  BVaky_3,14.44b
apårvadevatàsvargaiş  BVaky_2.119c
apårvasya vidheyatvàt  BVaky_3,1.69a
apårvaü kàla÷aktiü và  BVaky_3,7.34a
apçthaktve ca saübandhas  BVaky_3,2.16c
apçthaktve 'pi ÷aktibhyaş  BVaky_1.2c
apçthak÷abdavàcyasya  BVaky_3,14.355a
apçthak÷abdavàcyàpi  BVaky_3,14.357a
apekùaõãyà ÷uddhe 'rthe  BVaky_3,14.498c
apekùamànaş saübandhaü  BVaky_3,14.240a
apekùitakriyaü ceti  BVaky_3,7.136c
apoddhàrapadàrthàş ye  BVaky_1.24a
apoddhàra÷ ca sàmànyam  BVaky_3,14.144a
apoddhàras tathà vàkye  BVaky_2.10c
apoddhàre prakalpite  BVaky_2.269b
apoddhàre vivakùite  BVaky_3,13.6b
apoddhçtyaiva vàkyebhyaş  BVaky_3,1.1c
apchàlibãjasaüyoge  BVaky_3,9.106a
apy ato vyapadi÷yate  BVaky_3,3.3d
apy apekùànibandhanam  BVaky_3,14.408d
aprakarùaü prakarùeõa  BVaky_3,5.9c
aprayuktapada÷ càrtho  BVaky_2.219c
aprayuktapadà÷rayà  BVaky_2.328b
aprayuktaü triràtràdi  BVaky_3,7.155c
aprayogas tathà bhavet  BVaky_3,14.211d
aprayoge 'dhiparyo÷ ca  BVaky_2.190a
aprayoge na vidyate  BVaky_3,14.502d
apravçttir adar÷anam  BVaky_3,14.130b
aprasiddhaü tu yaü bhàgam  BVaky_2.91a
apràptà cottaraü padam  BVaky_3,1.39b
apràpto yas tu ÷uklàdiş  BVaky_2.74a
abahişsàdhanàdhãnà  BVaky_3,9.110a
abuddhàn vàkyapårvikàm  BVaky_2.226b
abudhapratipattaye  BVaky_3,14.98b
abudhaş pratipadyate  BVaky_3,14.574d
abudhàn prati vçttiü ca  BVaky_3,14.95a
abudhàn praty upàyà÷ ca  BVaky_3,14.50a
abrahmaõàdiùu na¤aş  BVaky_3,14.250c
abhàva iti bhàvasya  BVaky_3,14.264a
abhàvavàdino vàpi  BVaky_3,3.64c
abhàvas tasya vçttiùu  BVaky_3,14.130d
abhàvasyànupàkhyatvàt  BVaky_3,3.62a
abhàvàt kevalàyàs tu  BVaky_3,14.452a
abhàvàn na prakalpate  BVaky_3,7.152b
abhàvàvagatiş katham  BVaky_2.243d
abhàve kãdç÷aş kramaş  BVaky_2.24d
abhàve triùu kàleùu  BVaky_3,3.69a
abhàve 'pi bhç÷àdiùu  BVaky_3,14.433d
abhàvo yadi vastu syàt  BVaky_3,3.76a
abhàvo và luko yatra  BVaky_3,14.132a
abhikhyà svapnavac chrutau  BVaky_1.173b
abhijalpaü pracakùate  BVaky_2.128d
abhidhànakriyàbhedàc  BVaky_2.106a
abhidhànakriyàyogàd  BVaky_2.408a
abhidhànapravçttaye  BVaky_3,3.45b
abhidhànaü na vidyate  BVaky_3,14.212b
abhidhànaü prayujyate  BVaky_2.160b
abhidhànaü pravartate  BVaky_3,8.3d
abhidhànàbhidheyayoş  BVaky_2.405d
abhidhàniyamas tasmàd  BVaky_2.405c
abhidhàne 'pi saükhyàyàş  BVaky_3,14.231a
abhidhàviùayo yataş  BVaky_3,14.186d
abhidheyaş padasyàrtho  BVaky_2.113a
abhidheyàtmanà sthitam  BVaky_3,3.34b
abhidheyà÷rayaü dvayam  BVaky_3,14.156d
abhidheyeùu keùu cit  BVaky_1.55b
abhinnakàlàm artheùu  BVaky_3,3.50a
abhinnam api ÷abdasya  BVaky_3,9.65c
abhinnam eva vàkyaü tu  BVaky_2.75a
abhinnam ÷råyate kva cit  BVaky_3,14.603b
abhinnavyapade÷àrham  BVaky_3,14.106c
abhinnaü và na vidyate  BVaky_3,14.568d
abhinnà iti và punaş  BVaky_3,1.20b
abhinno råpabhedena  BVaky_2.470a
abhipràyànurodho 'pi  BVaky_3,7.124c
abhiyuktatarair anyair  BVaky_1.34c
abhivyaktataro yo 'rthaş  BVaky_2.212a
abhivyaktàş svakàryàõàü  BVaky_3,1.44c
abhivyaktinimittasya  BVaky_3,9.65a
abhivyaktir yadà÷rayà  BVaky_3,6.3b
abhivyaïktuü na ÷aknutaş  BVaky_3,14.10d
abhedagrahaõàd eùa  BVaky_3,7.113c
abhedapårvakàbhedàş  BVaky_2.57a
abhedaprakrame 'tyantaü  BVaky_3,14.60c
abhedaråpaü sàdç÷yam  BVaky_3,1.92a
abhedasya vivakùàyàm  BVaky_3,14.394a
abhedàkhyam upagràhi  BVaky_3,14.113c
abhedàc ca vi÷iùyate  BVaky_3,7.100b
abhedàd abhidheyasya  BVaky_2.227a
abhede tv eka÷abdatvàc  BVaky_3,14.333a
abhedena kriyaikà tu  BVaky_3,7.142a
abhedena pratãyate  BVaky_3,14.164d
abhedena pratãyate  BVaky_3,14.515b
abhedena samanvayàt  BVaky_3,14.184d
abhedenàbhidhãyate  BVaky_3,14.530d
abhedenopamànasya  BVaky_3,14.591a
abhedenopasamgrahaş  BVaky_3,8.27b
abhede yadi kàlasya  BVaky_3,9.63a
abhede liïgasaükhyàbhyàü  BVaky_3,14.135a
abhedaikatvasaükhyàyàü  BVaky_3,14.111c
abhedaikatvasaükhyà và  BVaky_3,14.100a
abhedopanibandhanaş  BVaky_3,7.153d
abhedo hi vi÷eùàõàm  BVaky_3,14.142c
abhedye bhedyabhàvo 'pi  BVaky_3,11.5c
abhyantarãkçtàd bhedaş  BVaky_2.186c
abhyasya svam ca dar÷anam  BVaky_2.487b
abhyàsàt prakramo 'nyas tu  BVaky_2.402c
abhyàsàt pratibhàhetuş  BVaky_2.117a
abhyàsàd eva jàyate  BVaky_1.35b
abhyàse tulyaråpatvàn  BVaky_3,14.74c
abhràõãva pracãyante  BVaky_1.114c
amukhyasaübhave tatra  BVaky_3,14.268a
ayathàrthàü samãhate  BVaky_2.319d
ayanapravibhàga÷ ca  BVaky_3,9.43a
ayam asyàm iyaü tv asmàd  BVaky_3,7.19c
ayam àgamasaügrahaş  BVaky_2.487d
ayam eva tu såtreõa  BVaky_3,14.574a
ayaü padàrtha etasmin  BVaky_3,14.279a
ayaü pårvebhya àgamaş  BVaky_3,14.20d
ayaü ÷abdair apoddhçtya  BVaky_2.86c
ayuktam iti varõyate  BVaky_3,14.458b
ayogo liïgasaükhyàbhyàü  BVaky_3,14.308c
ayaugapadye j¤ànànàm  BVaky_3,1.108a
araõisthaü yathà jyotiş  BVaky_1.47a
aràj¤i yeùàü dharmàõàü  BVaky_3,14.559a
aråpaü pararåpeõa  BVaky_3,5.9a
arthakriyàsu vàk sarvàn  BVaky_1.135a
arthajàtyabhidhàne 'pi  BVaky_3,1.11a
arthatattvàvadhàraõam  BVaky_2.286b
arthaprakaraõàdibhiş  BVaky_2.411b
arthaprakaraõàdibhiş  BVaky_3,14.481d
arthaprakaraõàpekùaü  BVaky_2.268c
arthaprakaraõàpekùo  BVaky_2.264a
arthaprakaraõàbhyàü tu  BVaky_2.332c
arthaprakaraõàbhyàü và  BVaky_2.251c
arthapratyàyanàbhede  BVaky_1.27c
