Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
atraikavacanaæ bhavet  BVaky_3,14.594b
atvaæ saæpadyate yas tvaæ  BVaky_3,7.117a
atha kÃraïa pÆrvakÃ÷  BVaky_3,9.20b
atha ca prÃgasadbhÃva÷  BVaky_3,3.78c
atha jÃtimato 'rthasya  BVaky_3,14.269c
atha tair eva janita÷  BVaky_2.396a
atha tv ekavibhaktitvÃd  BVaky_3,14.411a
atha pratividhÃtÃ yo  BVaky_3,12.24a
atha yaj j¤Ãnam utpannaæ  BVaky_2.243a
atharvaïÃm aÇgirasÃæ  BVaky_1.21a
atha ÓyÃmeva ÓastrÅyaæ  BVaky_3,14.423a
atha svabhÃvo vacanÃd  BVaky_3,14.276a
athÃdhÃra÷ sa evÃsya  BVaky_2.244c
athÃpy avÃcyam ity evaæ,  BVaky_3,3.21a
athÃyam Ãntaro j¤ÃtÃ  BVaky_1.115a
athÃsaj jÃyate katham  BVaky_3,3.43d
athÃsaæs­«Âa evÃrtha÷  BVaky_2.248a
athÃsau samudÅryate  BVaky_1.116d
athÃsmÃn niyamÃd Ærdhvaæ  BVaky_3,9.19a
athopacÃrasattaivaæ  BVaky_3,3.46a
ad­«ÂatvÃt pratinidhe÷  BVaky_3,7.102a
ad­«Âam anupaÓyati  BVaky_2.91b
ad­«ÂaviprayogÃrtha÷  BVaky_2.163c
ad­«Âav­ttilÃbhena  BVaky_3,3.18a
ad­«Âoparatiæ bhedam  BVaky_3,6.16c
adeÓÃnÃæ ghaÂÃdÅnÃæ  BVaky_3,1.16a
adeÓÃÓ cÃpy abhÃgÃÓ ca  BVaky_3,6.14a
advaye caiva sarvasmin  BVaky_3,3.65a
adhikaæ vartate te«u  BVaky_1.126c
adhikÃro nivartate  BVaky_1.169b
adhigacchata ity eke  BVaky_2.107c
adhidaivam adhikratu  BVaky_2.254b
adhividyaæ prakÃsate  BVaky_1.14d
adhÅte tulya ity evaæ  BVaky_3,14.506a
adhÅyate brÃhmaïavat  BVaky_3,14.385a
adhÅ«vÃdhyayanaæ bahu  BVaky_3,14.528b
adhyasyate viruddhe 'rthe  BVaky_3,9.100c
adhyasya parikalpyate  BVaky_3,9.107d
adhyÃtmaæ vinig­hyate  BVaky_3,9.90b
adhyÃdÅn parikalpayet  BVaky_2.219b
adhyÃropo na durlabha÷  BVaky_3,11.10b
adhyÃhitakalÃæ yasya  BVaky_1.3a
adhyetari yadÃ v­ttir  BVaky_3,14.492a
adhyetavyena viprÃïÃæ  BVaky_3,14.444c
adhyetÃ brÃhmaïa iva  BVaky_3,14.505c
adhyetrÃ sad­Óo 'dhyetety  BVaky_3,14.524c
adhyetror apadiÓyate  BVaky_3,14.532b
adhruveïa nimittena  BVaky_3,2.3a
adhvanÃm ekatÃ nÃsti  BVaky_3,9.61c
adhvano vartamÃnasya  BVaky_3,9.103a
adhvÃdhikaraïaæ yathÃ  BVaky_3,9.47b
anaÇgÅk­tasattvaæ tu  BVaky_3,14.586a
anaÇgÅk­tasaæstyÃnÃt  BVaky_3,14.172c
anantaram idaæ kÃryam  BVaky_2.118c
anantaraæ phalaæ yasyÃ÷  BVaky_3,8.15a
ananyat pravibhajyate  BVaky_2.97d
anapek«ya prayu¤jÅta  BVaky_3,8.16c
anarthakÃnÃæ pÃÂho vÃ  BVaky_2.259c
anarthakÃnÃæ saæghÃta÷  BVaky_2.205a
anarthakÃny apÃyatvÃt  BVaky_2.55a
anarthakena saæs­«ÂÃ÷  BVaky_2.191c
anavasthÃ prasajyate  BVaky_3,14.219d
anavasthitakampe 'pi  BVaky_1.109a
anavasthitav­ttitÃ  BVaky_3,13.16b
anÃkyeyÃ kathaæ cana  BVaky_2.144b
anÃgatatvam astitvaæ  BVaky_3,9.111c
anÃgatÃ janmaÓakte÷  BVaky_3,9.51a
anÃgamavikalpÃ tu  BVaky_2.233c
anÃgamaÓ ca so 'bhyÃsa÷  BVaky_2.118a
anÃdinidhanam brahma  BVaky_1.1a
anÃdim avyavacchinnÃæ  BVaky_1.172a
anÃdir arthai÷ ÓabdÃnÃæ  BVaky_3,3.29c
anÃdir yogyatÃ yathÃ  BVaky_3,3.29b
anÃv abhyupagamyate  BVaky_3,14.623b
anÃv­ttÃpi yÃ kriyÃ  BVaky_2.456b
anÃÓritakriyas tasmÃn  BVaky_3,14.517a
anÃÓrite tu vyÃpÃre  BVaky_3,7.24a
anityatvaæ svaÓaktir vÃ  BVaky_3,3.34c
anityadarÓinÃæ tv asmin  BVaky_1.182c
anityasya yathotpÃde  BVaky_3,9.22a
anitye 'py ÃÓraye sthitÃ  BVaky_3,1.41d
anitye«v api nityatvam  BVaky_3,3.34a
anibaddhaæ nimitte«u  BVaky_2.234a
animittaæ vates tulyaæ  BVaky_3,14.512c
anirÃkaraïÃt kartus  BVaky_3,7.129a
anirÆpitarÆpe«u  BVaky_3,14.475c
anirjÃtasya nirj¤Ãnaæ  BVaky_3,14.360a
anirj¤Ãtaguïe caivaæ  BVaky_3,14.9c
anirj¤ÃtasvarÆpo hi  BVaky_3,14.375c
anirj¤Ãtaæ prasiddhena  BVaky_3,14.361a
anirdeÓyÃd viÓe«Ãd vÃ  BVaky_3,14.373c
anirdhÃritadharmatvÃd  BVaky_3,14.145a
anirv­tteÓ ca tasya vÃ  BVaky_3,7.99b
anuktam api rÆpeïa  BVaky_2.313c
anuktÃpi prakÃÓate  BVaky_3,7.82d
anug­hïÃti saæbandha  BVaky_3,3.11c
anugrahÃrthÃ bhoktÌïÃæ  BVaky_2.388a
anucchinnÃÓrayÃj jÃtir  BVaky_3,1.41c
anucchedyÃÓrayÃm eke  BVaky_3,1.42a
anuni«padyate para÷  BVaky_2.476b
anuni«pÃdikalpena  BVaky_3,9.67a
anuni«pÃdina÷ kÃæÓ cic  BVaky_2.121c
anuni«pÃdina÷ ÓabdÃ÷  BVaky_2.361c
anupaplutacetasÃm  BVaky_1.37b
anupÃttaæ pratÅyate  BVaky_2.307d
anupÃsitav­ddhÃnÃæ  BVaky_2.490c
anuprayogasiddhyarthaæ  BVaky_3,14.232a
anuprav­ttidharmo vÃ  BVaky_3,1.14a
anuprav­ttirÆpÃ yÃ  BVaky_3,1.19a
anuprav­tteti yathÃ-  BVaky_3,1.101a
anuprÃpta÷ pratÅyate  BVaky_3,8.10b
anubandhaÓ ca siddhe 'rthe  BVaky_3,12.12a
anubandhasvarÃdibhya÷  BVaky_3,14.79c
anubhÆya svatantratÃm  BVaky_3,7.54b
anumÃnapradhÃnena  BVaky_1.42c
anumÃnaprayojanam  BVaky_3,13.12d
anumÃnaæ tadarthasya  BVaky_2.328c
anumÃnaæ nimittasya  BVaky_2.371c
anumÃnaæ vivak«ÃyÃ÷  BVaky_3,14.198c
anumÃnÃt pratÅyate  BVaky_3,7.85d
anuyÃtÅva so 'nye«Ãæ  BVaky_3,14.324c
anuvÃdo yathÃ bhavet  BVaky_2.245b
anuviddham iva j¤Ãnaæ  BVaky_1.131c
anusyÆteva bhedÃbhyÃm  BVaky_3,14.29a
anusyÆteva saæs­«Âair  BVaky_3,14.93a
aneka iti paÓcÃc ca  BVaky_3,14.293c
anekatÅrthabhedÃyÃs  BVaky_1.159c
anekadharmavacanÃ÷  BVaky_3,14.265a
anekapadasaæÓrayam  BVaky_2.42d
anekarÆpÃ lak«yante  BVaky_3,8.14c
anekavyaktivartinÅm  BVaky_3,8.21b
anekavyaktyabhivyaÇgyÃ  BVaky_1.96a
anekaÓakter ekasya  BVaky_2.444a
anekaÓakter ekasya  BVaky_2.473c
anekasmÃd asa iti  BVaky_3,14.282a
anekÃkhyÃtayoge 'pi  BVaky_2.350a
anekÃrthatvam ekasya  BVaky_2.263a
anekÃ Óaktir ekasya  BVaky_2.477a
antarÃlaprav­ttibhi÷  BVaky_3,9.82d
antarÃlaæ tad etayo÷  BVaky_3,14.106d
antareïa kathaæ bhavet  BVaky_3,3.35d
antareïa kriyÃÓabdaæ  BVaky_2.326c
antareïa na gamyate  BVaky_2.429d
antareïa vyavasthitam  BVaky_2.329d
antarena caÓabdasya  BVaky_3,14.191a
antaro 'rtha÷ prakÃÓyate  BVaky_2.31b
antarïÅya prayujyate  BVaky_2.161b
antarbhavec ca saæbandha÷  BVaky_3,14.222a
antarbhÃvÃc ca tenÃsau  BVaky_3,3.47c
antarbhÆtakriyÃntarai÷  BVaky_3,7.67b
antarbhÆtaïijarthÃnÃæ  BVaky_3,7.73a
antarbhÆtavibhaktyarthe  BVaky_3,14.228a
antarbhÆtaæ nimittaæ ca  BVaky_3,14.509a
antarbhÆte tu karaïe  BVaky_3,14.457a
antarmÃtrÃtmanas tasya  BVaky_2.32c
anta÷karaïatattvasya  BVaky_1.117a
anta÷karaïatattvasya  BVaky_3,7.41c
anta÷karaïadharmo vÃ  BVaky_3,6.23a
anta÷karaïav­ttau ca  BVaky_3,14.92a
ante yÃ vÃ kriyÃbhÃge  BVaky_3,8.22a
antyÃ kaleva somasya  BVaky_1.168c
antyena dhvaninÃ saha  BVaky_1.86b
antye vÃtmani yÃ sattÃ  BVaky_3,8.24a
annÃdÃnÃdi rÆpÃæ ca  BVaky_2.377a
anyataÓ cÃpi lÃdeÓÃn  BVaky_3,12.1c
anyat tasmÃd vivicyate  BVaky_1.66d
anyat tv akathitaæ sm­tam  BVaky_3,7.71d
anyatra ca tato rÆpaæ  BVaky_2.446c
anyatra d­«Âakarmendro  BVaky_3,14.565c
anyatra vartamÃnaæ sad  BVaky_3,14.405a
anyatra vihite grahe  BVaky_3,1.70b
anyatra ÓrÆyamÃïaiÓ ca  BVaky_2.347a
anyatrÃvihitasyaiva  BVaky_3,1.57a
anyathÃk­tya vi«ayam  BVaky_1.92c
anyathÃ ca samÃkhyÃnam  BVaky_2.173a
anyathÃ te na sÃdhava÷  BVaky_2.109d
anyathÃ dÃhaÓabdena  BVaky_2.422c
anyathÃ pratipadyate  BVaky_2.239d
anyathÃ pratipadyate  BVaky_2.246d
anyathÃ pratipadyÃrthaæ  BVaky_2.239a
anyathÃ hi vyavasthÃne  BVaky_2.376c
anyathaiva vyavasthitÃm  BVaky_3,3.10d
anyathaiva samarthyate  BVaky_3,14.330d
anyathaivÃgnisaæbandhÃd  BVaky_2.422a
anyathaivÃdhyavasyati  BVaky_1.92d
anyathaivopapÃdyate  BVaky_1.34d
anyad eveti gamyate  BVaky_3,14.390d
anyad e«u na vidyate  BVaky_2.410b
anyad rÆpaæ na g­hyate  BVaky_2.458b
anyad rÆpaæ pratÅyate  BVaky_2.458d
anyapratyÃyane Óaktir  BVaky_1.62c
anyaÓabdavivak«ayÃ  BVaky_1.183b
anyasminn anu«ajyate  BVaky_2.177d
anyasya vinivartakam  BVaky_3,14.143b
anya÷ kaÓ cin na vidyate  BVaky_2.346d
anya÷ kÃyavatÃæ vidhi÷  BVaky_3,6.17d
anyÃ japaprabandhe«u  BVaky_2.261c
anyÃ tv apreryamÃïaiva  BVaky_1.162a
anyÃrthÃnÃæ kathaæ cana  BVaky_2.411d
anyÃ ÓyÃmÃ tu tadrÆpÃ  BVaky_3,14.382c
anyÃ sattaupacÃrikÅ  BVaky_3,3.39b
anyÃ saæskÃrasÃvitrÅ  BVaky_2.261a
anyÃsÃm asti saæbhava÷  BVaky_3,11.15d
anyÃsÃæ tu tadÃkhyatÃ  BVaky_3,8.15d
anyÆnas tena gamyate  BVaky_2.214d
anyena vyapadi«Âasya  BVaky_3,7.161a
anye«Ãm ubhayo÷ sthitam  BVaky_3,14.399b
anyair avayavai÷ puna÷  BVaky_2.236d
anyais tu bhÃvair anye«Ãæ  BVaky_3,9.35a
anyais tu mÃnaæ jÃtyÃdi  BVaky_3,14.375a
anyo dravyÃd vibhaktyartha÷  BVaky_3,7.165c
anyonyÃpek«ayÃ ÓaktyÃ  BVaky_2.213c
anvayavyatirekÃbhyÃm  BVaky_3,14.19a
anvayavyatirekÃbhyÃæ  BVaky_2.166c
anvayavyatirekÃbhyÃæ  BVaky_2.209c
anvayavyatirekÃbhyÃæ  BVaky_2.340c
anvayavyatirekÃbhyÃæ  BVaky_3,1.67a
anvayavyatirekÃbhyÃæ  BVaky_3,14.34c
anvayavyatirekÃbhyÃæ  BVaky_3,14.202c
anvayavyatirekau ca  BVaky_3,11.30a
anvayavyatirekau tu  BVaky_2.12c
anvayÃd gamyate so 'rtho  BVaky_3,14.96a
anvayo 'rthasya d­Óyate  BVaky_2.169b
anvÃkhyÃnasm­ter ye ca  BVaky_2.231a
anvÃkhyÃnÃd dhi sÃdhutvam  BVaky_3,14.271c
anvÃkhyÃnÃni bhidyante  BVaky_2.170a
anvÃkhyÃnÃya bhedÃs tu  BVaky_3,14.72c
anvÃkhyÃnÃya yo bheda÷  BVaky_2.443a
anvÃkhyeyatvam arhati  BVaky_3,14.276b
anvÃkhyeyÃÓ ca ye ÓabdÃ  BVaky_1.24c
anvÃkhyeyÃs tathÃ ÓÃstram  BVaky_3,14.75c
apadaæ jÃyate sarvaæ  BVaky_3,9.26c
apadÃrthasya darÓanÃt  BVaky_2.425d
apade 'rthe padanyÃsa÷  BVaky_3,3.78a
apare tu padasyaiva  BVaky_2.329a
apare brÃhmaïÃdÅnÃæ  BVaky_3,14.303a
aparair anugamyate  BVaky_2.125d
aparair upavarïyate  BVaky_3,8.39d
aparo 'rthe prayujyate  BVaky_1.44d
apÃk­to vÃ tenÃyaæ  BVaky_3,14.501c
apÃyavi«ayaæ dhrauvyaæ  BVaky_3,7.138c
api te«Ãæ na kalpate  BVaky_3,14.64d
api pratyÃyayaty asau  BVaky_2.299d
api prayoktur ÃtmÃnaæ  BVaky_1.143a
api lokavyavasthayÃ  BVaky_3,14.44b
apÆrvadevatÃsvargai÷  BVaky_2.119c
apÆrvasya vidheyatvÃt  BVaky_3,1.69a
apÆrvaæ kÃlaÓaktiæ vÃ  BVaky_3,7.34a
ap­thaktve ca saæbandhas  BVaky_3,2.16c
ap­thaktve 'pi Óaktibhya÷  BVaky_1.2c
ap­thakÓabdavÃcyasya  BVaky_3,14.355a
ap­thakÓabdavÃcyÃpi  BVaky_3,14.357a
apek«aïÅyÃ Óuddhe 'rthe  BVaky_3,14.498c
apek«amÃna÷ saæbandhaæ  BVaky_3,14.240a
apek«itakriyaæ ceti  BVaky_3,7.136c
apoddhÃrapadÃrthÃ÷ ye  BVaky_1.24a
apoddhÃraÓ ca sÃmÃnyam  BVaky_3,14.144a
apoddhÃras tathÃ vÃkye  BVaky_2.10c
apoddhÃre prakalpite  BVaky_2.269b
apoddhÃre vivak«ite  BVaky_3,13.6b
apoddh­tyaiva vÃkyebhya÷  BVaky_3,1.1c
apchÃlibÅjasaæyoge  BVaky_3,9.106a
apy ato vyapadiÓyate  BVaky_3,3.3d
apy apek«Ãnibandhanam  BVaky_3,14.408d
aprakar«aæ prakar«eïa  BVaky_3,5.9c
aprayuktapadaÓ cÃrtho  BVaky_2.219c
aprayuktapadÃÓrayÃ  BVaky_2.328b
aprayuktaæ trirÃtrÃdi  BVaky_3,7.155c
aprayogas tathÃ bhavet  BVaky_3,14.211d
aprayoge 'dhiparyoÓ ca  BVaky_2.190a
aprayoge na vidyate  BVaky_3,14.502d
aprav­ttir adarÓanam  BVaky_3,14.130b
aprasiddhaæ tu yaæ bhÃgam  BVaky_2.91a
aprÃptÃ cottaraæ padam  BVaky_3,1.39b
aprÃpto yas tu ÓuklÃdi÷  BVaky_2.74a
abahi÷sÃdhanÃdhÅnÃ  BVaky_3,9.110a
abuddhÃn vÃkyapÆrvikÃm  BVaky_2.226b
abudhapratipattaye  BVaky_3,14.98b
abudha÷ pratipadyate  BVaky_3,14.574d
abudhÃn prati v­ttiæ ca  BVaky_3,14.95a
abudhÃn praty upÃyÃÓ ca  BVaky_3,14.50a
abrahmaïÃdi«u na¤a÷  BVaky_3,14.250c
abhÃva iti bhÃvasya  BVaky_3,14.264a
abhÃvavÃdino vÃpi  BVaky_3,3.64c
abhÃvas tasya v­tti«u  BVaky_3,14.130d
abhÃvasyÃnupÃkhyatvÃt  BVaky_3,3.62a
abhÃvÃt kevalÃyÃs tu  BVaky_3,14.452a
abhÃvÃn na prakalpate  BVaky_3,7.152b
abhÃvÃvagati÷ katham  BVaky_2.243d
abhÃve kÅd­Óa÷ krama÷  BVaky_2.24d
abhÃve tri«u kÃle«u  BVaky_3,3.69a
abhÃve 'pi bh­ÓÃdi«u  BVaky_3,14.433d
abhÃvo yadi vastu syÃt  BVaky_3,3.76a
abhÃvo vÃ luko yatra  BVaky_3,14.132a
abhikhyÃ svapnavac chrutau  BVaky_1.173b
abhijalpaæ pracak«ate  BVaky_2.128d
abhidhÃnakriyÃbhedÃc  BVaky_2.106a
abhidhÃnakriyÃyogÃd  BVaky_2.408a
abhidhÃnaprav­ttaye  BVaky_3,3.45b
abhidhÃnaæ na vidyate  BVaky_3,14.212b
abhidhÃnaæ prayujyate  BVaky_2.160b
abhidhÃnaæ pravartate  BVaky_3,8.3d
abhidhÃnÃbhidheyayo÷  BVaky_2.405d
abhidhÃniyamas tasmÃd  BVaky_2.405c
abhidhÃne 'pi saækhyÃyÃ÷  BVaky_3,14.231a
abhidhÃvi«ayo yata÷  BVaky_3,14.186d
abhidheya÷ padasyÃrtho  BVaky_2.113a
abhidheyÃtmanÃ sthitam  BVaky_3,3.34b
abhidheyÃÓrayaæ dvayam  BVaky_3,14.156d
abhidheye«u ke«u cit  BVaky_1.55b
abhinnakÃlÃm arthe«u  BVaky_3,3.50a
abhinnam api Óabdasya  BVaky_3,9.65c
abhinnam eva vÃkyaæ tu  BVaky_2.75a
abhinnam ÓrÆyate kva cit  BVaky_3,14.603b
abhinnavyapadeÓÃrham  BVaky_3,14.106c
abhinnaæ vÃ na vidyate  BVaky_3,14.568d
abhinnÃ iti vÃ puna÷  BVaky_3,1.20b
abhinno rÆpabhedena  BVaky_2.470a
abhiprÃyÃnurodho 'pi  BVaky_3,7.124c
abhiyuktatarair anyair  BVaky_1.34c
abhivyaktataro yo 'rtha÷  BVaky_2.212a
abhivyaktÃ÷ svakÃryÃïÃæ  BVaky_3,1.44c
abhivyaktinimittasya  BVaky_3,9.65a
abhivyaktir yadÃÓrayÃ  BVaky_3,6.3b
abhivyaÇktuæ na Óaknuta÷  BVaky_3,14.10d
abhedagrahaïÃd e«a  BVaky_3,7.113c
abhedapÆrvakÃbhedÃ÷  BVaky_2.57a
abhedaprakrame 'tyantaæ  BVaky_3,14.60c
abhedarÆpaæ sÃd­Óyam  BVaky_3,1.92a
abhedasya vivak«ÃyÃm  BVaky_3,14.394a
abhedÃkhyam upagrÃhi  BVaky_3,14.113c
abhedÃc ca viÓi«yate  BVaky_3,7.100b
abhedÃd abhidheyasya  BVaky_2.227a
abhede tv ekaÓabdatvÃc  BVaky_3,14.333a
abhedena kriyaikÃ tu  BVaky_3,7.142a
abhedena pratÅyate  BVaky_3,14.164d
abhedena pratÅyate  BVaky_3,14.515b
abhedena samanvayÃt  BVaky_3,14.184d
