Utpaladeva: Isvarapratyabhijnakarika with vrtti.

Based on the edition by Madhusudan Kaul Shastri, Srinagar 1921.
(Kashmir Series of Texts and Studies ; 34)

Revised according to the edition by Raffaele Torella, Roma 1994
(Serie Orientale Roma ; 71)


Input by Somadeva Vasudeva

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramÃnantacidrÆpa÷  Ipk_1,7.1c
-(a)nvayÃlambÃ digÃdidhÅ÷  Ipk_2,2.6d
aparasparavedinÃm  Ipk_1,3.6b
-(a)parÃmarÓabhuva÷ prabho÷  Ipk_4.7b
api mukhyÃvabhÃsata÷  Ipk_2,3.11b
-(a)pek«Ã ca kim itÅ«yate  Ipk_1,3.4d
apohanaparÃyaïe  Ipk_1,6.8b
apravartitapÆrvo 'tra  Ipk_2,3.17a
arthakriyÃpi bÃhyatve  Ipk_1,8.6c
arthakriyÃpi sahajÃ  Ipk_2,3.12a
arthajÃtaæ prakÃÓayet  Ipk_1,5.7d
arthasya naiva tenÃsya  Ipk_1,5.9c
arthÃnÃæ svasamÃpinÃm  Ipk_1,7.3b
arthino 'py anumÃnata÷  Ipk_2,3.9d
arthau bhÃta÷ pamÃtari  Ipk_1,4.8d
avadhyavadhimadbhÃvÃ-  Ipk_2,2.6c
-(a)vabhÃsakhacite vibhau  Ipk_1,7.14b
avabhÃsasya sadbhÃve 'py  Ipk_1,8.3c
avasÃtari darÓanam  Ipk_1,4.7d
-(a)viyukte j¤ÃnakarmaïÅ  Ipk_3,1.1d
aviruddhÃvabhÃsÃnÃm  Ipk_2,3.7c
asty eva na vinÃ tasmÃd  Ipk_1,5.10c
asphuÂÃrÆpasaæskÃra-  Ipk_3,2.13c
asmin satÅdam astÅti  Ipk_2,4.14a
ahantÃkart­tÃpade  Ipk_3,2.13b
ahaækÃraparÃmarÓa-  Ipk_4.2c
ahaæpratÅtir apy e«Ã  Ipk_1,2.2c
ahaæpratyavamarÓo ya÷  Ipk_1,6.1a
ahaæm­ÓyatayÃivÃsya  Ipk_1,5.17c
-(Ã)calayÃ prÃïarÆpayÃ  Ipk_4.10b
ÃtmÃta eva caitanyaæ  Ipk_1,5.12a
ÃtmÃnam ata evÃyaæ  Ipk_1,5.15a
ÃtmÃ yady anubhÃvaka÷  Ipk_1,2.3d
ÃtmÃrohaïabhÃsanÃt  Ipk_1,4.4d
ÃtmÃrthasya prakÃÓatÃ  Ipk_1,5.2d
-(Ã)dikapa¤cakave«Âita÷  Ipk_3,1.9d
Ãdisiddhe maheÓvare  Ipk_1,1.2b
-(Ã)dyÃbhÃsajagadÃtmanÃ  Ipk_2,4.21b
ÃntaratvÃt pramÃtraikye  Ipk_1,8.6a
ÃntarÃïÃæ satÃæ sadÃ  Ipk_1,8.5d
ÃbhÃtam eva bÅjÃder  Ipk_1,5.8c
-(Ã)bhÃsanÃd buddhigocare  Ipk_1,6.10d
ÃbhÃsabhedÃd ekatra  Ipk_2,4.19c
ÃbhÃsabhedÃd vastÆnÃæ  Ipk_2,3.6a
ÃbhÃsabhedÃ bhinnÃrtha-  Ipk_2,3.5c
ÃbhÃsasadasattvata÷  Ipk_2,1.4b
ÃbhÃsasadasattve tu  Ipk_2,1.4c
ÃbhÃsa÷ punarÃbhÃsad  Ipk_1,5.9a
ÃbhÃsÃ anyathÃnyatra tv  Ipk_1,8.1c
ÃbhÃsÃd dhetuvastuna÷  Ipk_1,5.8d
ÃbhÃso 'py artha ekasminn  Ipk_2,3.3c
Ãlambante vikalpanÃ÷  Ipk_2,2.5d
-(Ã)lÃbhenÃrtho 'tha cocyate  Ipk_2,4.3d
ÃlokÃbhyantare yathÃ  Ipk_1,7.11b
icchayÃ bhÃsayed bahi÷  Ipk_1,6.7d
icchÃto bhartur adhyak«a-  Ipk_1,8.9c
icchÃmarÓa÷ pravartate  Ipk_1,5.10d
iti prakaÂito mayÃ sughaÂa e«a mÃrgo navo  Ipk_4.16a
ittham atyarthabhinnÃrthÃ-  Ipk_1,7.14a
itthaæ tathÃ ghaÂapaÂÃ-  Ipk_2,4.21a
ityevaæ parijÃnata÷  Ipk_4.12b
idam etÃd­gityevaæ  Ipk_2,3.1a
idaæbhÃvopapannÃnÃæ  Ipk_3,1.4a
ÅÓas­«ÂyupajÅvinÅ  Ipk_4.9b
ÅÓvarapratyabhij¤eyam  Ipk_4.18c
ÅÓvaro bahir unme«o  Ipk_3,1.3a
utpalenopapÃditÃ  Ipk_4.18d
udayÃkarasÆnunÃ  Ipk_4.18b
-(u)palabdhÃ parato 'pi san  Ipk_1,4.1b
upÃdhideÓÃsaævÃdÃd  Ipk_2,3.13c
ubhayendriyavedyatvaæ  Ipk_2,4.4c
ullekhasya sukhÃdeÓ ca  Ipk_1,8.9a
eka eva maheÓvara÷  Ipk_4.1b
ekakÃryÃ tathaikyadhÅ÷  Ipk_2,3.7d
ekatvam anivÃritam  Ipk_2,3.11d
ekatvam eva bhede hi  Ipk_2,4.17c
ekapratyavamarÓÃkhyÃd  Ipk_2,3.11c
ekasyaivobhayÃkÃra-  Ipk_2,4.5c
ekÃtmano vibhedaÓ ca  Ipk_2,4.18a
ekÃnekÃÓrayÃ matÃ÷  Ipk_2,2.1d
ekÃbhidhÃnavi«aye  Ipk_2,3.2c
eketyÃdi pratik«iptaæ  Ipk_2,1.1c
eva tv adhipate÷ para÷  Ipk_2,4.13d
evam antarbahirv­tti÷  Ipk_3,1.1a
evam anyonyabhinnÃnÃm  Ipk_1,3.6a
evam ÃtmÃnam etasya  Ipk_4.15a
evam ÃbhÃsayaty amÆn  Ipk_2,4.1b
evam ekÃ kriyÃ sai«Ã  Ipk_2,4.5a
evam evarthasiddhi÷ syÃn  Ipk_2,2.7a
evaæ rÆpyavidÃbhÃva-  Ipk_1,7.12a
evaæ vidu«a ÅÓitu÷  Ipk_2,1.8b
evaæ sm­tau vikalpe vÃpy  Ipk_1,6.8a
-(e)veÓaÓÃktyÃ tadÃtmana÷  Ipk_4.9d
e«a cÃnantaÓaktitvÃd  Ipk_2,4.1a
e«a pramÃtÃ mÃyÃndha÷  Ipk_3,2.2a
e«Ãæ guïÃnÃæ karaïa-  Ipk_4.5c
aiÓvaryaiva vyavasthayÃ  Ipk_2,4.9b
katham arthaprakÃÓatÃ  Ipk_1,2.7d
kathaæ cid ÃsÃdya maheÓvarasya  Ipk_1,1.1a
kathaæ bhaven na nitya÷ syÃd  Ipk_1,2.3c
kathitÃ j¤ÃnasaækalpÃ-  Ipk_1,5.18c
karÅ mÃyÃbhidhÃ puna÷  Ipk_3,1.7d
karoti mÃt­vyÃpÃra-  Ipk_2,2.3c
kartari j¤Ãtari svÃtmany  Ipk_1,1.2a
kartary abodhe kÃrmaæ tu  Ipk_3,2.5c
kartÃra÷ pralayÃkalÃ÷  Ipk_3,2.8b
kartur bodhÃtmano 'pi yÃ  Ipk_3,1.6b
kart­karmatvatattvaiva  Ipk_2,4.2c
karmÃdikalu«a÷ paÓu÷  Ipk_3,2.3d
kalodbalitam etac ca  Ipk_3,2.11a
kalpite nabhasÅva vÃ  Ipk_1,6.4d
kÃ¤canojjvalatÃdaya÷  Ipk_2,3.5b
kÃdÃcitkÃvabhÃse yÃ  Ipk_1,6.6a
kÃnto lokasamÃna evam aparij¤Ãto na rantuæ yathÃ  Ipk_4.17b
kÃrakÃïÃæ samanvaya÷  Ipk_2,2.6b
kÃriïas te padaæ dhvane÷  Ipk_2,3.5d
kÃryakÃraïatÃ tata÷  Ipk_2,4.2d
kÃryakÃraïatÃpi yÃ  Ipk_2,4.14b
kÃryakÃraïatÃ loke  Ipk_2,4.4a
kÃryakÃraïatÃsiddhi-  Ipk_1,7.4c
kÃryakÃraïato«ïatÃ  Ipk_2,3.8b
kÃryakÃraïabhÃvata÷  Ipk_1,2.10d
kÃryakÃraïayor api  Ipk_2,4.17b
kÃryatvapariïÃminÃm  Ipk_4.5d
kÃryam avyabhicÃryasya  Ipk_2,4.13a
kÃryavargaÓ ca daÓadhÃ  Ipk_3,1.11c
kÃryasya sthita evaikas  Ipk_2,4.7c
kÃryaæ hetu÷ svabhÃvo vÃ-  Ipk_2,4.11c
kÃlakramam apÅÓvara÷  Ipk_2,1.5d
kÃla÷ sÆryÃdisaæcÃras  Ipk_2,1.3a
kim tv Ãlokacayo 'ndhasya  Ipk_1,7.10a
kiæ tu nirmÃïaÓakti÷ sÃpy  Ipk_2,1.8a
kiæ tu naisargiko j¤Ãne  Ipk_1,6.9a
kiæ tu mohavaÓÃd asmin  Ipk_1,1.3a
kiæ tv ÃntaradaÓodrekÃt  Ipk_3,1.2a
kiæ pramÃïaæ navÃbhÃsa÷  Ipk_2,3.16c
kevalaæ bhinnasamvedya-  Ipk_1,5.21a
kevalaæ mÆ¬hatÃvaÓÃt  Ipk_2,3.17b
ko 'rtha÷ syÃt sthÃyinÃtmanÃ  Ipk_1,2.5d
krama eva sa tattvata÷  Ipk_2,1.3d
kramam ÃbhÃsayaty asau  Ipk_2,1.5b
kramikaikasya cocitÃ  Ipk_1,2.9d
krameïa janayed ghaÂam  Ipk_2,4.9d
krameïeÓvaratÃpadam  Ipk_4.11d
kramo bhedÃÓrayo bhedo 'py  Ipk_2,1.4a
kriyÃ kÃyÃÓritÃ satÅ  Ipk_1,1.5b
kriyÃkÃrakabhÃvÃkhyo  Ipk_2,4.16c
kriyÃ kÃlakramÃnugÃ  Ipk_2,4.18b
kriyÃ kÃlakramÃnugÃ  Ipk_3,1.1b
kriyÃ nirmÃt­tÃsya sÃ  Ipk_2,4.1d
kriyÃ naikasya sakramÃ  Ipk_2,1.1b
kriyÃpy arthasya kÃyÃdes  Ipk_1,2.9a
kriyÃyÃ÷ kÃlaÓaktita÷  Ipk_2,1.2b
kriyÃvimarÓavi«aya÷  Ipk_2,2.6a
kriyÃvaicitryanirbhÃsÃt  Ipk_2,1.5c
kriyÃsaæbandhasÃmÃnya-  Ipk_2,2.1a
khaï¬yetÃsya svatantratÃ  Ipk_1,5.15d
gÃ¬ham ullikhyamÃne tu  Ipk_1,8.4a
guïai÷ ÓabdÃdibhir bhedo  Ipk_2,3.14a
grÃhyagrÃhakatÃbhinnÃv  Ipk_1,4.8c
ghaÂate na tu ÓÃÓvatyÃ÷  Ipk_2,1.2c
ghaÂate bahir ÃtmanÃ  Ipk_1,5.1d
ghaÂÃdi jÃyate tattat-  Ipk_2,4.10c
ghaÂÃbhÃvamatir yathÃ  Ipk_1,7.7b
ghaÂo 'yam iti vÃvasÃ  Ipk_1,4.7b
ghaÂo 'yam ity adhyavasÃ  Ipk_1,5.20a
cikÅr«Ãlak«aïaikatva-  Ipk_2,4.20c
citi÷ pratyavamarÓÃtmÃ  Ipk_1,5.13a
citkriyÃ citikart­tÃ  Ipk_1,5.12b
cittattvaæ kart­tÃmayam  Ipk_3,2.11b
cittattvaæ mÃyayÃ hitvÃ  Ipk_1,6.4a
citrÃbhÃsak­ta÷ prabho÷  Ipk_2,1.4d
cidÃtmani tu yujyate  Ipk_2,4.19d
cidÃtmaiva hi devo 'nta÷-  Ipk_1,5.7a
cidghano mukta ucyate  Ipk_3,2.2d
cinmayatve 'vabhÃsÃnÃm  Ipk_1,8.7a
caitanyam aja¬Ã saivaæ  Ipk_1,2.8c
ja¬asya tu na sÃ Óakti÷  Ipk_2,4.2a
ja¬Ãt sa hi vilak«aïa÷  Ipk_1,5.12d
janasyÃyatnasiddhyartham  Ipk_4.18a
janmÃ naÓyej janasthiti÷  Ipk_1,3.6d
jÃ¬ÃnÃæ nopapadyate  Ipk_2,4.14d
jÃ¬ye nÃrthaprakÃsatÃ  Ipk_1,2.8d
jÃtam apy Ãtmani«Âhaæ tan  Ipk_1,3.1c
jÃtidravyÃvabhÃsÃnÃm  Ipk_2,2.5a
jÃtyÃdibhir abhinnatÃ  Ipk_2,3.14b
jÃnan yathepsitÃn paÓya¤  Ipk_4.15c
jÃnÃti ca karoti ca  Ipk_4.15d
jÅvatÃæ jÅvanaæ matam  Ipk_1,1.4d
jÅvanÃkhyÃthavÃ prÃïe  Ipk_3,2.14c
ju«Ãæ kÃrmamalak«atau  Ipk_3,2.9b
j¤Ãteyam upapadyate  Ipk_1,7.2d
j¤Ãnakriye sphuÂe eva  Ipk_1,6.11c
j¤Ãnam ekaæ paraæ puna÷  Ipk_1,2.1b
j¤Ãnasm­tyavasÃyÃdi  Ipk_1,5.21c
j¤Ãnaæ kriyÃ ca bhÆtÃnÃæ  Ipk_1,1.4c
j¤Ãnaæ ca citsvarÆpaæ cet  Ipk_1,2.7a
j¤ÃnÃnÃm anusaædhÃna-  Ipk_1,3.6c
j¤ÃnÃnÃm udiyÃd eka-  Ipk_1,7.6c
j¤Ãne vÃpy antarÃbhÃsa÷  Ipk_1,6.8c
j¤eyaæ na tu tadaunmukhyÃt  Ipk_1,5.15c
j¤eyÅkuryÃt p­thaksthiti  Ipk_1,5.15b
tacchedÃtmÃ samÃnÃkhya÷  Ipk_3,2.19c
tato 'jÃ¬ye nijollekha-  Ipk_1,3.5c
tato bhinne«u dharme«u  Ipk_1,2.6a
tato bhedo hi bÃhyatÃ  Ipk_1,8.8d
tat kathaæ jÃtu tajj¤Ãnaæ  Ipk_1,7.9c
tattacchabdÃrthatÃdyÃtmÃ  Ipk_2,3.8c
tattatpu«pÃdijanma vÃ  Ipk_2,1.3b
tattadÃkasmikÃbhÃso  Ipk_1,5.4a
tattaddeÓÃdijÃtatÃ  Ipk_1,2.9b
tattadbhinnÃæÓapÃtinÃm  Ipk_1,7.4b
tattadvibhinnasaæj¤Ãbhi÷  Ipk_4.8c
tattadvibhinnasaævitti-  Ipk_1,7.2a
tattanm­dÃdisaæskÃra-  Ipk_2,4.9c
tattulyatvaæ na tadgati÷  Ipk_1,3.2d
tatpratyabhij¤Ãm upapÃdayÃmi  Ipk_1,1.1d
tatra j¤Ãnaæ svata÷siddhaæ  Ipk_1,1.5a
tatra tatra sthite tat tad  Ipk_1,2.10a
tatra s­«Âau kriyÃnandau  Ipk_4.3c
tatra svas­«ÂedaæbhÃge  Ipk_4.2a
tatrÃpi kÃrmam evaikam  Ipk_3,2.10c
tatrÃviÓi«Âe vahnyÃdau  Ipk_2,3.8a
tatrÃsti sÃdhayet tasya  Ipk_1,7.10c
tatraikam Ãntaraæ tattvaæ  Ipk_2,2.2a
tatraitan mÃt­tÃmÃtra-  Ipk_3,2.1a
tatsamÃveÓalak«aïam  Ipk_3,2.12d
tatsvarÆpÃviÓe«atah  Ipk_1,2.6b
tathÃ citrÃvabhÃsina÷  Ipk_4.7d
tathÃ cecchuktikÃj¤Ãnaæ  Ipk_1,7.7c
tathÃpariïamat tayÃ  Ipk_2,4.18d
tathÃ vij¤Ãt­vij¤eya-  Ipk_2,1.8c
tathÃ sthitis tathaiva syÃt  Ipk_1,8.4c
tathÃ syÃt kart­taivaivaæ  Ipk_2,4.18c
tathÃ hi kumbhakÃro 'sÃv  Ipk_2,4.9a
tathÃ hi ja¬abhÆtÃnÃæ  Ipk_1,1.4a
tatheÓvarecchÃbhedena  Ipk_3,2.7c
tathaiva sadghaÂadravya-  Ipk_2,3.5a
tadatatpratibhÃbhÃjÃ  Ipk_1,6.3a
tad atra nidadhat padaæ bhuvanakart­tÃm Ãtmano  Ipk_4.16c
tad anityaæ kim Ãtmavat  Ipk_1,2.7b
tad anyasyÃpi bÅjÃder  Ipk_2,4.8c
tadabhÃvo 'pi sÃ paÓoh  Ipk_4.6b
tadÃbhÃsas tadÃbhÃsÃd  Ipk_2,4.13c
tad ekasya kriyoditÃ  Ipk_2,4.7d
tad ekasya samarthanÃt  Ipk_2,1.1d
tad etad asama¤jasam  Ipk_1,3.3d
tad evaæ vyavahÃre 'pi  Ipk_1,6.7a
tad evendriyavedyatÃm  Ipk_2,2.2b
tadaikyena vinÃ na syÃt  Ipk_1,8.10a
tad aiÓvaryaæ paramÃtmana÷  Ipk_1,5.13d
taddvayÃlambanÃ etÃ  Ipk_2,2.3a
taddvÃrÃ d­«Âavastu«u  Ipk_1,2.4b
taddhÃnopacayaprÃya-  Ipk_3,2.18c
tad vyÃkaraïam evÃsyÃ  Ipk_1,4.6c
tanniÓcayanamukto hi  Ipk_1,6.3c
tan mayÃ d­Óyate d­«Âo  Ipk_1,4.8a
tayÃnyaj¤Ãnam Æhyate  Ipk_1,1.5d
tasya kasyÃpi Óaktita÷  Ipk_2,4.4d
tasyÃtrÃnavabhÃsata÷  Ipk_1,2.2b
tasyÃpi tatprabodhasya  Ipk_1,5.5c
tasyÃvibhÃgarÆpy ekaæ  Ipk_3,1.10c
tasyÃsÃdhÃraïÅ s­«Âir  Ipk_4.9a
tasyaiÓvaryasvabhÃvasya  Ipk_3,1.7a
tÃtkÃlikÃk«asÃmak«ya-  Ipk_1,8.1a
tÃtkÃlikÅ prav­tti÷ syÃd  Ipk_2,3.9c
tÃtparyeïoditas tena  Ipk_1,5.12c
tÃvan mÃtrasthitau proktaæ  Ipk_3,2.15a
ti«ÂhÃsor evam icchaiva  Ipk_2,4.21c
turyago hutabhuÇmaya÷  Ipk_3,2.20b
te ca vij¤ÃnakevalÃ÷  Ipk_3,2.7d
te tu bhinnÃvabhÃsÃrthÃ÷  Ipk_4.8a
tena kartÃpi kalpita÷  Ipk_1,2.11d
tena na bhrÃntir Åd­ÓÅ  Ipk_2,2.7d
tenaikyaæ bhinnakÃlÃnÃæ  Ipk_1,4.3c
te vimiÓrÃ vibhinnÃÓ ca  Ipk_4.7c
te«Ãm anyonyabhinnatÃ  Ipk_3,2.7b
te«Ãæ kÃrmo malo 'py asti  Ipk_3,2.8c
te«v evÃvasite sati  Ipk_1,5.6b
tais tair apy upayÃcitair upanatas tanvyÃ÷ sthito 'py antike  Ipk_4.17a
trayodaÓavidhÃ cÃtra  Ipk_3,1.11a
trayoviæÓatidhÃ meyaæ  Ipk_3,1.10a
dÃsyaæ janasyÃpy upakÃram icchan  Ipk_1,1.1b
dÅrghav­ttordhvapuru«a-  Ipk_2,3.4a
dÆrÃntikatayÃrthÃnÃæ  Ipk_2,3.10a
d­ksvÃbhÃsaiva nÃnyena  Ipk_1,3.2a
d­«ÂÃlambanatÃ bhrÃntyÃ  Ipk_1,3.3c
d­«Âe 'py anupalak«ite  Ipk_1,1.3b
devÃdÅnÃæ ca sarve«Ãæ  Ipk_3,2.10a
deÓakÃlakramaju«Ãm  Ipk_1,7.3a
deÓakÃlasvabhÃvata÷  Ipk_2,2.2d
deÓakÃlÃdyabhedini  Ipk_2,3.2b
deÓakÃlÃnurodhata÷  Ipk_1,5.21b
deÓakÃlÃvibhedina÷  Ipk_2,3.4d
deÓakÃlÃviÓe«inÅ  Ipk_1,5.14b
deÓakramo 'pi bhÃve«u  Ipk_2,1.7a
dehe buddhÃv atha prÃïe  Ipk_1,6.4c
dravyadikkÃlabuddhaya÷  Ipk_2,2.1b
dvayÃk«epÅ viniÓcaya÷  Ipk_1,6.1d
dvayÃtmÃ tad rajo du÷khaæ  Ipk_4.6c
dvayÅ bÃhyÃntarasthiti÷  Ipk_2,4.6d
dvicandre 'pi nabho 'nyathÃ  Ipk_2,3.13d
dvidhÃïavaæ malam idaæ  Ipk_3,2.4c
dvi«ÂhasyÃnekarÆpatvÃt  Ipk_1,2.11a
dhatte buddhis tathÃtmana÷  Ipk_1,2.8b
dharmyasiddher api bhaved  Ipk_1,7.13a
dhÃvanÃdy upapadyeta  Ipk_1,5.19c
dhÆmacÃndanatÃdibhi÷  Ipk_2,3.4b
dhÆmÃbhÃsÃdi nÆtanam  Ipk_2,4.12d
na ca prakÃÓo bhinna÷ syÃd  Ipk_1,5.2c
na ca yuktaæ ja¬asyaivaæ  Ipk_2,4.19a
na ca yuktaæ sm­ter bhede  Ipk_1,4.3a
na ced anta÷k­tÃnanta-  Ipk_1,3.7a
na ja¬Ãd vi«ayasthiti÷  Ipk_1,3.5b
na tÆpalabdhiyogyasyÃpy  Ipk_1,7.8c
na tv Ãdyarajataj¤apte÷  Ipk_1,7.12c
na d­Óo darÓanÃntare  Ipk_1,4.5b
na ni«edhya÷ sa sarvathÃ  Ipk_1,7.11d
nanu svalak«aïÃbhÃsaæ  Ipk_1,2.1a
na vÃsanÃprabodho 'tra  Ipk_1,5.5a
na syÃd ÃbhÃsabhinnayo÷  Ipk_2,4.20b
na hi svÃtmaikani«ÂhÃnÃm  Ipk_2,4.15a
na hy abhinnasya bodhasya  Ipk_1,5.4c
nÃkriyÃto 'nyatÃ bhavet  Ipk_2,3.12d
nÃtmÃ sattÃ tatas te«Ãm  Ipk_1,8.5c
nÃdyÃnubhavavedakam  Ipk_1,3.1d
nÃnyan nÃnyo 'sti saæbandha÷  Ipk_1,2.10c
nÃnyÃd­«Âer na sÃpy ekÃ  Ipk_1,2.9c
nÃprakÃÓaÓ ca siddhyati  Ipk_1,5.3d
nÃmarÆpÃtirekiïÅ  Ipk_1,5.20b
nÃrthÃnÃm ÅÓvarecchayÃ  Ipk_2,3.12b
nÃsata÷ satsvarÆpatÃ  Ipk_2,4.3b
nÃsau vikalpa÷ sa hy ukto  Ipk_1,6.1c
nÃhantÃdiparÃmarÓa-  Ipk_1,5.17a
nityasya kasya cid dra«Âus  Ipk_1,2.2a
nimittaæ parameÓvara÷  Ipk_2,4.8b
nime«o 'nta÷ sadÃÓiva÷  Ipk_3,1.3b
niyatÃrthakriyÃ puna÷  Ipk_2,3.6b
niyatÃ sÃ hi tenÃsyÃ  Ipk_2,3.12c
niyatena maheÓvara÷  Ipk_1,8.11b
nirmÃya vyavahÃrayet  Ipk_1,5.16d
nirmitÃ÷ svÃtmano bhinnÃ  Ipk_3,2.6c
ni«ÂhÃn nÃrthasthitis tata÷  Ipk_1,3.5d
naiva hy anubhavo bhÃti  Ipk_1,4.4a
naivaæ Óuddhasthalaj¤ÃnÃt  Ipk_1,7.8a
naivÃnyonyasvarÆpatÃ  Ipk_2,4.17d
naivÃlaæ nijavaibhavÃya tad iyaæ tatpratyabhij¤oditÃ  Ipk_4.17d
nai«Ãæ bhedanibandhanÃ  Ipk_1,8.6b
patyur j¤Ãnaæ kriyÃ ca yÃ  Ipk_4.4b
padam nÅtam anena tat  Ipk_4.2d
padÃrthakramarÆ«itÃ  Ipk_1,7.1b
parata÷ pÃrameÓvaram  Ipk_3,1.2d
paratÃhantayÃcchÃdÃt  Ipk_3,1.5c
paramÃk«aravigraha÷  Ipk_4.14d
paramÃrthasatÅÓvare  Ipk_2,3.15d
parasparasvabhÃvatve  Ipk_2,4.17a
parÃparadaÓÃ hi sÃ  Ipk_3,1.5d
parÃmarÓaæ vinÃ kriyÃ  Ipk_2,4.20d
parÃ vÃk svarasoditÃ  Ipk_1,5.13b
pareÓaÓaktir Ãtmeva  Ipk_1,5.20c
parair apy upalak«yeta  Ipk_1,1.5c
parok«Ãd apy adhipater  Ipk_2,4.12c
parok«Ãdhyak«atÃtmanÃ  Ipk_2,3.10b
paÓubhÃve prakÃÓikÃ  Ipk_3,1.7b
paÓo÷ sattvaæ rajas tama÷  Ipk_4.4d
pÃratantryÃdyayogÃc ca  Ipk_1,2.11c
piÓÃca÷ syÃd anÃloko 'py  Ipk_1,7.11a
