Mandanamisra: Vibhramaviveka
Based on the edition by L. Schmithausen: Maõóanami÷ra's Vibhramavivekaş : mit einer Studie zur Entwicklung der indischen Irrtumslehre.
Wien 1965 (Sitzungsberichte der ™sterreichischen Akademie der Wissenschaften, Phil.-Hist. Klasse, 247,1; Ver”ffentlichungen der Kommission fr Sprachen und Kulturen Sd- und Ostasiens, 2)


Input by Takahiro KATO
Tokyo, May 2012
tkhrkt@l.u-tokyo.ac.jp



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akalpayitvàntas tasmàd  MVibhr_6c
anyathàkhyàtipakùe ca  MVibhr_130c
anyathà khyàtir eveùñà  MVibhr_123a
anyathà parihãyate  MVibhr_28d
anyathàlambanatve ca  MVibhr_79a
anyasmàt sà svaviùayaü  MVibhr_69a
anyasya .....  MVibhr_132b
anyasya ca na tasyeti  MVibhr_131a
anyasya tv anyathà khyàtau  MVibhr_31c
anyasyàpi hi naivànyas  MVibhr_80c
anyasyàpy anyathà khyàtir  MVibhr_39a
anyasyàpy anyathà dçùñiş  MVibhr_140a
anyàtmanàparakhyàtiş  MVibhr_133a
anye tanmàtra÷ånyatvaü  MVibhr_126c
anyenàpi hi råpeõa  MVibhr_79c
anyo bahir bhàsamàno  MVibhr_5a
api càvyatireko 'pi  MVibhr_87a
apy anyo 'vyabhicàreõa  MVibhr_83c
aprapa¤caş saprapa¤ca-  MVibhr_32c
apràmàõyaniràkçtiş  MVibhr_89b
abhàvagràhiõã buddhir  MVibhr_133c
abhàve hetudoùàõàü  MVibhr_115a
abhàvo bhàvaråpeõa  MVibhr_122c
abhinnaikà ca sà saüvit  MVibhr_120a
arthaş prakà÷ate 'to dhãs  MVibhr_2c
arthàntaravivecanàt  MVibhr_73b
arthenàvyabhicàra÷ cen  MVibhr_85a
arthe 'nyathàpi saty eùa  MVibhr_163c
artho nàvyatirekeõa  MVibhr_88c
artho yathà j¤ànaråpàt  MVibhr_97c
avartamànasyàsattà  MVibhr_12c
ava÷yakalpanãyatvàt  MVibhr_16c
avastu tac ca no yena  MVibhr_136c
avidyamàne tv adhyasye  MVibhr_33c
avidyàtvaü yato 'nyasya  MVibhr_150c
avidyàyà avidyàtvam  MVibhr_28c
avidyaiva ca varõyate  MVibhr_31b
avivekagrahe syàc cet  MVibhr_160a
avocan nipuõaümanyo  MVibhr_37c
avyàpçtau ca tatpràpter  MVibhr_77a
asac cakasti na vyoma-  MVibhr_2a
asato 'tra prakà÷anam  MVibhr_10b
asato bhàsanàyogàd  MVibhr_37a
asattàü khalv acãkëpat  MVibhr_6d
asattaiva varaü tasya  MVibhr_5c
asattve kiü prakà÷atàm  MVibhr_47b
asattvena tu seùyate  MVibhr_6b
asattvenaiva tatkëptau  MVibhr_7c
asamyag vibhramo mataş  MVibhr_49b
asaünidhànàbodhàc cet  MVibhr_60c
asaübhavi ca yàvac ca  MVibhr_3a
asaüsçùñasya so 'bhàva  MVibhr_137a
asàmarthyaü kathaü nayet  MVibhr_96b
asiddhe j¤ànasàmarthye  MVibhr_95c
asti tatkàritaü yataş  MVibhr_140d
asphuñàgrahaõe kàmam  MVibhr_33a
asmatpakùe tu yujyate  MVibhr_158b
asvàtantryàc ca cetasaş  MVibhr_141d
aho nayavidàü paraş  MVibhr_23d
aho nyàyavivekità  MVibhr_24d
àkàrà vyaktam ekasyà  MVibhr_35c
àtmakhyàtir asatkhyàtir  MVibhr_1a
àtmakhyàtau sarvam evàntar àhuş  MVibhr_164a
àpannaü punar anyathà  MVibhr_52d
àbhàsate katha¤cic ca  MVibhr_81c
àlambanaü na hetutva-  MVibhr_40a
àlambanaü na hetutva-  MVibhr_40c
àlambanàrthas tadyukta-  MVibhr_80a
itarasya viviktatà  MVibhr_55b
iti khyàtir mçùà ca sà  MVibhr_137b
iti tacchrutiyuktatà  MVibhr_95b
iti nyàyavidaş sthitàş  MVibhr_4d
iti bhàùye nidar÷itam  MVibhr_100b
iti mãmàüsakasthitim  MVibhr_84b
iti yukto vini÷cayaş  MVibhr_27b
iti lokaş prabhàùate  MVibhr_74d
ity eùà pratibhà tathà  MVibhr_137d
idam atra parãkùyatàm  MVibhr_65b
indriyàõàü doùabhedàn  MVibhr_75a
uktaü nàvyatirekasya  MVibhr_102c
ucchedakeùu bahulaü  MVibhr_19a
ucchede tena và vinà  MVibhr_22b
utpattyaiva ca vij¤ànaü  MVibhr_111c
upàlambhasya na padam  MVibhr_10a
upàsyo 'vyatireka÷ ca  MVibhr_86a
årdhvatvena vi÷erate  MVibhr_109d
ekade÷àpabàdhena  MVibhr_4a
ekasya ca viviktatvàd  MVibhr_55a
ekàntasattve kà bhràntir  MVibhr_47a
ekàrthaniyataü bodhaü  MVibhr_105c
evaü nirvacanãyà ca  MVibhr_150a
evaü yatas tato naivaü  MVibhr_111a
kayàcit tu vyapekùayà  MVibhr_130b
karmabhedàn smarann api  MVibhr_144b
kalpanàyàm api tv evaü  MVibhr_15a
kalpanàyà÷ ca gauravàt  MVibhr_73d
kalpanàyà÷ ca làghavàt  MVibhr_16d
kalpamàne ca bàdhake  MVibhr_4b
kalpyante subahåny api  MVibhr_142b
kalpyàsattà niyogataş  MVibhr_8b
kaü pakùam apabadhatàm  MVibhr_120b
kàmaprakarùamaraõa-  MVibhr_18c
kàmàdyupaplave 'py evaü  MVibhr_146a
kàmàdyupaplute citte  MVibhr_119a
kàryàtireko jañhare  MVibhr_118c
kàryàdhikyam udàhçtam  MVibhr_146b
kiü tv atadde÷akàlatvaü  MVibhr_156a
kuta÷cana nimittataş  MVibhr_104d
kusuma? na ....  MVibhr_2b
kecid àhuş prakàribhyaş  MVibhr_125c
ko vidyàt kasya kiü phalam  MVibhr_144d
kvacid dçùñà bhràntibodhe  MVibhr_107a
khapuùpatulye kà khyàtir  MVibhr_14a
khapuùpàn na vi÷iùyate  MVibhr_12d
khayogadar÷ane te hi  MVibhr_67a
khuradharmiõi vãkùitam  MVibhr_136d
khyàtasya nirupàkhyatà  MVibhr_135d
khyàtir nihnåyate katham  MVibhr_63d
khyàtir yuktà mçùà ca sà  MVibhr_131b
khyàti÷ cen nepsitàtmanaş  MVibhr_58b
khyàti sannihite '÷ånyaü  MVibhr_148a
khyàtau ca viparãtàyàü  MVibhr_87c
gandharvanagaràdiùu  MVibhr_35b
gamyate bàhyavastunaş  MVibhr_156b
gçhyate vartamànavat  MVibhr_12b
grahaõaü vartamànavat  MVibhr_138b
gràhyam ity atidurghañam  MVibhr_39d
cakùur nàlambate 'kùadhãş  MVibhr_79d
càkùuùaş syàd viparyayaş  MVibhr_67d
citau vicitràkàràyàü  MVibhr_34a
citràdiråpàn dãpàdãn  MVibhr_74c
janayad vyabhicàry api  MVibhr_105d
janmàntarànubhåtaü ca  MVibhr_20c
janmàntarànubhåtaü ca  MVibhr_143a
j¤ànabhedamatiş kutaş  MVibhr_70d
j¤ànabhedàvivekajàş  MVibhr_78b
j¤ànam eva tu saüprati  MVibhr_139b
j¤ànaråpasya tenaiva  MVibhr_97a
j¤ànaråpeõa vedyate  MVibhr_87b
j¤ànasyàvyabhicàràc ca  MVibhr_85c
j¤ànaü ki¤cana bodhakaü  MVibhr_52b
j¤ànàt svapnamatir mçùà  MVibhr_53b
j¤ànàd eva hi dçùñatva-  MVibhr_73c
tajj¤ànasya tathànyathà  MVibhr_86b
tato 'nàlambanaiva syàt  MVibhr_41c
tatkarmaphalasaübandhaü  MVibhr_143c
tat kàryaü .....  MVibhr_147b
tatkàlam eva hi j¤eyaü  MVibhr_139a
tat tatsaünidhikàritam  MVibhr_61b
tattvato 'navadhàraõam  MVibhr_110d
tattvabodhàd apàtatva-  MVibhr_65c
tattvaü naikàntataş sthitam  MVibhr_142d
tatprabodhas sakàranaş  MVibhr_17b
tat pravçtter akàraõam  MVibhr_64d
tatra keyam asamyaktà  MVibhr_49c
tatra tàvan na vibhramaş  MVibhr_48b
tatra dårasthite såkùme  MVibhr_51a
tatra ÷ånyaiva ÷ånyadhãş  MVibhr_122b
tatràpy avartamànaü ced  MVibhr_12a
tatràbhàvàniråpaõàt  MVibhr_134d
tat satyaü bàdhakaj¤ànaü  MVibhr_98c
tatsàmarthyàptasaüvidà  MVibhr_88d
tat siddhyati phalàd çte  MVibhr_71d
tat syàt saü÷ayakàraõam  MVibhr_91d
tathà katham abhàvyo 'sya  MVibhr_129c
tathàkhyàtivini÷cayaş  MVibhr_115b
tathà khyàtis tu neùyate  MVibhr_50d
tathà khyàtau na vibhramaş  MVibhr_124d
tathà ca tatsvabhàvàyà  MVibhr_42a
tathà ca rajatàrthinaş  MVibhr_81b
tathàtvasyàvadhàrakam  MVibhr_111d
tathà bàdhà vihanyate  MVibhr_162b
tathà sati tad evàstu  MVibhr_88a
tathà hy anàdau saüsàre  MVibhr_144a
tathà hy avyatireko 'pi  MVibhr_94c
tathà hy avyabhicàràõàü  MVibhr_104c
tathety adhyavasàyataş  MVibhr_147d
tathaikatvàdhiropaõàt  MVibhr_53d
tathaivety avasãyate  MVibhr_97d
tad adhyàrope no gauõã  MVibhr_147c
tadanyasmàt pçthaktvena  MVibhr_134a
tad api vyavahàràïgaü  MVibhr_14c
tadabhàve ca ni÷cayaş  MVibhr_45d
tadabhàve sphuñagrahaş  MVibhr_45b
tadàkàreti kecana  MVibhr_2d
tadbodha iti durghañam  MVibhr_85d
tadbhàvàc ca pramàõatvam  MVibhr_108c
tad yuktaü bàdhakaj¤ànàd  MVibhr_163a
tadråpàvyabhicàrataş  MVibhr_82b
tadvirodhaprasaïgataş  MVibhr_87d
tan nàtyantaü na bhàsate  MVibhr_81d
tamo bhàvo yathekùyate  MVibhr_48d
tayor atra vicàraõà  MVibhr_113b
tasmàd asata evedaü  MVibhr_16a
tasmàd eùàü vibhramàõàü vivekaş  MVibhr_164d
tasmàd vibhrama evàyam  MVibhr_27a
tasmàn na bàhyavastutvaü  MVibhr_156c
tasya ca jagrato 'bhàvàn  MVibhr_145c
tasya tallakùaõacyuteş  MVibhr_41d
tasya pràmàõyasambhavaş  MVibhr_112b
tàm avidyàü pracakùate  MVibhr_29d
tàvat saüparihãyatàm  MVibhr_3b
tàvan mithyeti yujyate  MVibhr_154d
tàü vyudasyaty apaõóitaş  MVibhr_84d
timiràdau kathaü svasthe  MVibhr_72c
te ca santa iti sthitiş  MVibhr_126b
tena nàveàdikà yat tu  MVibhr_82a
tena yàvad bàdhanãyaü  MVibhr_154c
tenàpahçtagocaram  MVibhr_99d
trapàkaraü kathaü tan naş  MVibhr_83a
tridhàpi vyabhicàreõa  MVibhr_102a
durniråpaü prakà÷anam  MVibhr_29b
durlabhà cà¤janàdivat  MVibhr_77d
duùñatàntarvivartità  MVibhr_18b
duùyati vyabhicàreõa  MVibhr_92a
dåùitaü vyabhicàreõa  MVibhr_91c
dåùite vyabhicàreõa  MVibhr_89c
dçùñam anyatra råpyate  MVibhr_139d
dçùñasmçtàvivekàc ced  MVibhr_65a
dçùñaü tad yena råpeõa  MVibhr_64c
dçùñità smaraõàtmani  MVibhr_119b
dçùñe pravçttiş pårvasmin  MVibhr_66a
dçùñe÷ càvartamànasya  MVibhr_13c
doùakùatasya manasas  MVibhr_147a
doùakùatiş kàrya÷akti-  MVibhr_24a
doùàõàü nitaràü doùa-  MVibhr_118a
doùair avikçtaü svasthaü  MVibhr_23a
doùaiş kùataü manaş kàryi  MVibhr_22c
dvayaü vipratiùedhavat  MVibhr_120d
dvayànuguõyàd vçddhànàü  MVibhr_47c
dvayor abhàvàt svapne ca  MVibhr_161c
dvayor ekasya và khyàtir  MVibhr_49a
dvicandràdibhramàs te hi  MVibhr_78c
dvaividhyàt saü÷ayodbhavaş  MVibhr_109b
dhiyàkàraş pratãyate  MVibhr_163d
dhiyo 'satyà÷ cakàsati  MVibhr_35d
dhãpràmàõyam upàgamat  MVibhr_83d
dhãr anyad avabhàsate  MVibhr_41b
dhãş pratãtivirodhataş  MVibhr_58d
dhåmàdãnàm api na tad  MVibhr_103c
dhetubhàve na yujyate  MVibhr_44d
na ka÷cid aniråpaõàt  MVibhr_128b
na ka÷cid avabhàsate  MVibhr_132d
na kàryavaj jàgaràyàm  MVibhr_23c
na ki¤cid bhàsate ceti  MVibhr_38a
na krame yaugapadye và  MVibhr_159c
na khyànaü vartamànavat  MVibhr_13d
na gamyate 'ntarvartitvaü  MVibhr_155c
na ca mànaphalàd bhinnà  MVibhr_71c
na ca sarvàtmanàrthasya  MVibhr_52a
na ca sarvà niyogena  MVibhr_76a
na càkùavçttitajjanma-  MVibhr_78a
na càkhyàtir vi÷iùyate  MVibhr_9d
na càgrahaniùedho 'yaü  MVibhr_158c
na càpi vyabhicàrasya  MVibhr_106c
na càvadhàraõàd eva  MVibhr_110c
na càvadhàrite yukto  MVibhr_109a
na cet tathà nànyato 'pi  MVibhr_112a
na j¤eya÷ånyaü vij¤ànaü  MVibhr_141a
na tatra yadi tadbuddhiş  MVibhr_63a
na tatràpi mano duùñam  MVibhr_73a
na tathaiveti gamyate  MVibhr_98b
na tasyàsaünidhànataş  MVibhr_60b
na tu tucchaş pratãyate  MVibhr_129b
na dç÷yàdç÷yayor bhedaş  MVibhr_58a
na dçùñàdçùñayor bhedaş  MVibhr_66c
na niràlambanà matiş  MVibhr_79b
na ni÷cite 'pi hi sthàõàv  MVibhr_109c
nanu ca vyabhicàritve  MVibhr_96c
nanu no viparãtàrthà  MVibhr_58c
nanv asann eva bhàsate  MVibhr_15d
nanv asann eva bhàsate  MVibhr_131d
nanv asti yad yathà vastu  MVibhr_124c
na prakàràntaraü na sat  MVibhr_130d
na pratãtyànugamyate  MVibhr_159b
na pratyakùe na ca smçte  MVibhr_78d
na prapa¤cavyapahnavaş  MVibhr_31d
na pramàõavatã hi sà  MVibhr_7d
na buddhyà bhàva÷ånyatvaü  MVibhr_135a
na bhåtaü cetaso råpaü  MVibhr_36a
na bhrama÷ ca pratãyate  MVibhr_51d
na bhràntitve 'vakalpate  MVibhr_3d
na yathàsti tathà khyàtau  MVibhr_125a
na yujyate yatra tatra  MVibhr_30c
na yenàsti prakàreõa  MVibhr_129a
na vivekamatir yadi  MVibhr_25d
na vai ÷a÷aviùàõe 'pi  MVibhr_135c
na sarvabàdhanaü yuktam  MVibhr_4c
na saüvidanusàreõa  MVibhr_27c
na saüvidànuguõyaü syàn  MVibhr_25c
na sàkùàn nàpi càrthataş  MVibhr_99b
na sphuñagrahani÷cayaş  MVibhr_116b
na smaryata iti sthitam  MVibhr_20d
na smaryata iti sthitam  MVibhr_143b
na smçtitvaü na gamyate  MVibhr_54d
na smçtyà pravivicyate  MVibhr_72b
na syàj j¤àne pramàõatà  MVibhr_89d
na syàd yasyàgrahe doùa-  MVibhr_75c
na hetor vyabhicàriõaş  MVibhr_116d
nàtaşpittapravedanam  MVibhr_77b
nàdçùñe 'saüprayukte và  MVibhr_67c
nàdhyàropàsphuñagrahau  MVibhr_36b
nànàtvaü yadi ceùyate  MVibhr_68b
nànirvàcyatayà matiş  MVibhr_155d
nàntar arhati dhàraõam  MVibhr_5b
nàntarvartitayà bhràntir  MVibhr_6a
nàntarvartibahirbhàso  MVibhr_7a
nànyathà dhãr vastuniùñhà  MVibhr_127a
nànyathà vyavatiùñhate  MVibhr_154b
nàbuddhena pramãyate  MVibhr_85b
nàmaråpaprapa¤co 'yam  MVibhr_31a
nàrthatattvavini÷cayaş  MVibhr_42b
nàvidyà parihàsyate  MVibhr_150b
nàvi÷eùaş khapuùpàc ca  MVibhr_138c
nàsatkhyàtivivarjanam  MVibhr_15b
nàsat saüvidvirodhataş  MVibhr_38d
nàsiddhàvyatirekeõa  MVibhr_86c
nàstãti na pramàõatvaü  MVibhr_108a
nimittaü tasya yujyate  MVibhr_27d
niyatabhràntidar÷anam  MVibhr_75b
niyatà na pravçttiş syàn  MVibhr_57c
niyamo syàt tato gate  MVibhr_114d
niradhiùñhànavibhrame  MVibhr_11b
nirupàkhyàd àtmayogàd  MVibhr_141c
nirupàkhyo na vidyate  MVibhr_134b
nirodhàd yuktakàryasya  MVibhr_117c
nãråpeõaiva bhàsanàt  MVibhr_14b
nãle bhàve site bhavat  MVibhr_106b
neùñà cet khyàtir anyathà  MVibhr_57d
naitad avyabhicàreõa  MVibhr_90a
naitad vipratiùidhyete  MVibhr_123c
naitan na hi pravarteta  MVibhr_59c
naivànveti yato matiş  MVibhr_26b
nodeti jàgrato buddhir  MVibhr_100a
nodeti svapnadar÷anam  MVibhr_145d
no ÷ånyaü tad anàtmakam  MVibhr_148d
parapakùeùu kalpyàni  MVibhr_19c
parasparaparàõudàm  MVibhr_13b
parasparavirodhinàm  MVibhr_140b
parasmin nopayoginã  MVibhr_66d
pariõàmàdyapekùiõi  MVibhr_115d
parãkùakàõàü vibhràntau  MVibhr_1c
parai råpàbhyupagame  MVibhr_122a
pa÷càt dharmiõi dharmadhãş  MVibhr_162d
pa÷yàmãndriyadoùataş  MVibhr_74b
pårvau neto nimittatàm  MVibhr_93d
prakàrà na cakàsati  MVibhr_125d
prakàràntarasaüsargo  MVibhr_15c
prakàràntarasaüsargo  MVibhr_131c
praõidhànàdivarjitam  MVibhr_22d
praõidhànàdisaüskçtam  MVibhr_23b
pratãti pratijànate  MVibhr_143d
pratyakùàd avivekàc ca  MVibhr_55c
pratyakùo 'nubhavaş sàdhyo  MVibhr_116c
pratyabhij¤ànavibhràntau  MVibhr_54c
pratyayo rajate smçtiş  MVibhr_59b
prapa¤caş kiünibandhanaş  MVibhr_32b
prapa¤càtmatayaiva hi  MVibhr_34b
prabhàsatàm asattà tu  MVibhr_148c
pramàõatvanimittatà  MVibhr_102d
pramàõatvàpramàõatve  MVibhr_112c
pramàõam iùyate cakùur  MVibhr_106a
pramàõavanty adçùñàni  MVibhr_142a
prameyatvordhvatàdãnàü  MVibhr_107c
pravartate yat tatraiva  MVibhr_61a
pravçttiniyamaş kutaş  MVibhr_60d
pravçttibhedaş sàdç÷yàd  MVibhr_62a
pravçtti÷ ÷ukti÷akale  MVibhr_81a
prasaktapratiùedhàtmà  MVibhr_157a
prasa¤jikà hi nàkhyàtir  MVibhr_158a
prastutya .....  MVibhr_114a
pràktattvaj¤ànasaüskàras  MVibhr_17a
pràpteş pårvaü tu yujyate  MVibhr_160d
pràpyate råpato 'sya tat  MVibhr_93b
pràmàõyam ànapekùyaü hi  MVibhr_82c
pràmàõyasya na naş kùatiş  MVibhr_100d
pràmàõyaü nànumanyate  MVibhr_105b
pràmàõyaü nopahanyate  MVibhr_102b
pràmàõyaü yasya duùyati  MVibhr_90b
pràmàõye tadabhàve cà-  MVibhr_94a
pràyeõàdhyakùavibhramaş  MVibhr_46d
phalàbhede phalonneya-  MVibhr_70c
bàdha eva ca naş sphuñam  MVibhr_157d
bàdhakaj¤ànasaümate  MVibhr_96d
bàdhakair na nirasyate  MVibhr_155b
bàdhadhãr upaghàtikà  MVibhr_107b
bàdho 'khyàtau na yujyate  MVibhr_157b
bàdhyaj¤ànasya mithyàtvaü  MVibhr_154a
bàhyàbhyantaravartinaş  MVibhr_30b
budhyamàno vivekaü ca  MVibhr_74a
bodha evàvadhàrakaş  MVibhr_107d
bodhakaü sattayaiva na  MVibhr_92b
bodhasyànudaye ka÷cit  MVibhr_105a
bodhàd eva tadutpattàv  MVibhr_104a
bodhàd eva pramàõatvam  MVibhr_84a
bodhàd evopavarõitaş  MVibhr_94d
bodhàd rajatavedanàt  MVibhr_65d
bhavaty apañudar÷anam  MVibhr_51b
bhaved atisubhàùitam  MVibhr_111b
bhàtãti yadi manyate  MVibhr_122d
bhàvàntaram abhàvo 'nyo  MVibhr_128a
bhàvàntaram abhàvo hi  MVibhr_130a
bhàvàntaram upà÷rità  MVibhr_133d
bhàve bhràntir na yujyate  MVibhr_8d
bhàvo 'bhivyaktim çcchati  MVibhr_118b
bhàsane råpavattvena  MVibhr_38c
bhàsane råpavattvena  MVibhr_121a
bhàsane vibhramo mataş  MVibhr_128d
bhinnayor atra saüsargo  MVibhr_132c
bhåyiùñhànãti dç÷yate  MVibhr_19d
bhràntij¤eye ca bàhyatvaü  MVibhr_155a
bhràntitvànuguõà hi sà  MVibhr_5d
bhràntitvànupapattitaş  MVibhr_7b
bhràntiş sàdç÷yabandhanà  MVibhr_76b
bhràntau sahàkùair manaso  MVibhr_18a
madhure tiktavibhramaş  MVibhr_76d
manodoùàd yadi svàrtho  MVibhr_72a
mandasaüskàrasahakçd  MVibhr_22a
manvate nànyathà bhramaş  MVibhr_126d
maraõàntarite 'smçteş  MVibhr_20b
màtraü tasyeha ÷ånyatà  MVibhr_124b
màtràd akùe 'pi tad yataş  MVibhr_40b
màtreõa vyavatiùñhate  MVibhr_40d
mà bhasi sphuñam àtmanà  MVibhr_33b
mithyà rajatadhãr nàtra  MVibhr_54a
mukhyaråpya pratãtitaş  MVibhr_119d
mårcchà÷okàmayàdiùu  MVibhr_18d
mçùà ceti vipa÷citaş  MVibhr_135b
mçùà bodhàn na bàdhanàt  MVibhr_156d
yatnenànupalabdhe÷ ca  MVibhr_45c
yatra tatra vihanyate  MVibhr_98d
yatra na prathate ki¤cit  MVibhr_48a
yathà nàkùaü tathàpi tat  MVibhr_90d
yathàvabhàsamànasya  MVibhr_8a
yadi naitat prakalpate  MVibhr_70b
yad upaity upayogitàm  MVibhr_91b
yady àlambanaråpàc ca  MVibhr_41a
yuktaş pratyakùavibhramaş  MVibhr_55d
yujyate nànyathàkhyàtir  MVibhr_11a
yena syàd dhetvabhàvena  MVibhr_103a
rajate sà pravçtti÷ cen  MVibhr_60a
råpavattvena bhàsanam  MVibhr_16b
råpavattvena bhàsanàt  MVibhr_14d
råpo bhàtãti yujyate  MVibhr_32d
råpyam etad iti sthità  MVibhr_26d
liïgasyàvyabhicàràd yat  MVibhr_93a
loùñàdiùv avivekataş  MVibhr_62d
varaü brahmavido viduş  MVibhr_28b
varõyate 'vyabhicàrataş  MVibhr_103d
vartamànatvabodhàt tu  MVibhr_53c
vartamànatvam apy atra  MVibhr_139c
vartamàne na ni÷cayaş  MVibhr_44b
vastuno 'tatprakàrasya  MVibhr_50c
vastuno 'nveùaõà tasyàü  MVibhr_30a
vastvàlambàd vinà na sà  MVibhr_127b
vahnau dçùña÷ ca bhasmake  MVibhr_118d
vàcoyuktir iyaü bhavet  MVibhr_163b
vàhãke gomatir yathà  MVibhr_25b
vij¤ànastham apàñavam  MVibhr_49d
vij¤ànàc càrthasaüvittis  MVibhr_92c
vidann avyabhicàreõa  MVibhr_84c
viparãtasya sàdhanàt  MVibhr_117d
