Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





acidaæÓavyapohena  YSsi_64a
upakrÃntaæ svahetuta÷  YSsi_143b
­te vi«ayanÃnÃtvÃn  YSsi_80c
ekapradhÃnavij¤ÃnÃd  YSsi_32a
ekam evÃdvitÅyaæ tad  YSsi_1a
ekaÓe«e hi ciddhÃto÷  YSsi_74e
ekasminn api dharmiïi  YSsi_56b
ekÃkÃrÃ, na hi tayÃ  YSsi_174c
etÃvÃn asya mahimÃ  YSsi_27a
etena satyakÃmatva-  YSsi_59a
evaæ vyavasthitÃneka-  YSsi_181a
aikÃrthyaæ dÆravÃritam  YSsi_53d
aikyÃyogÃc ca bhedo na  YSsi_178a
katham aikÃrthyavibhrama÷  YSsi_155d
kathaæ tad baæbhramÅti te(bho÷)  YSsi_109b
kathaæ praty ucyate tvayÃ  YSsi_127d
kathaæ pravartayeyus tÃæ  YSsi_157c
kathaæ vaikarasaæ brahma  YSsi_114c
kathaæ sÃ pratibadhyate  YSsi_144f
kalatrÃdini«edhakam  YSsi_20d
kalÃmÃtram idaæ jagat  YSsi_18d
kalpitasvasvad­Óyakai÷  YSsi_156b
kalpito madavidyayÃ  YSsi_125b
kalpyatÃæ kÃryabhÆtayÃ  YSsi_176d
kasya mok«a÷ phalaæ bhavet  YSsi_74f
ka÷ khalv aÇgulibhaÇgena  YSsi_23a
kÃ nu saævid vivartate  YSsi_75b
kÃrpaïyaÓokadu÷khÃrtaÓ  YSsi_52a
kÃryaæ na jÃyate yena  YSsi_142c
kiÇ ca svayaæprakÃÓatva-  YSsi_158a
ki¤ ca tatra bahuvrÅhau  YSsi_13c
ki¤ca prapa¤canirvÃha-  YSsi_122a
ki¤ ca prapa¤carÆpeïa  YSsi_75a
ki¤ ca bhedaprapa¤casya  YSsi_184a
ki¤ ca vedyasya bhedÃder  YSsi_85a
ki¤ ca ÓuddhÃja¬Ã saævit,  YSsi_102a
ki¤ ca sÃ tat tvam asy Ãdi-  YSsi_141a
ki¤ ca svayaæprakÃÓasya  YSsi_83a
ki¤ ca hetur viruddho 'yaæ  YSsi_204a
ki¤ cÃpohyaja¬atvÃdi-  YSsi_170a
ki¤cÃvidyÃ na cet ... (vastu  YSsi_118a
ki¤ cÃsau kasya? jÅvasya,  YSsi_107a
ki¤ cÃsyÃ÷ svaprakÃÓÃyÃ  YSsi_80a
ki¤ceyaæ tadviruddhÃ vÃ,  YSsi_105a
ki¤ caiko jÅva ity etad  YSsi_146a
kiæ saivoktÃtha vetarat  YSsi_79d
kiæsvit tatpuru«a÷ kiæ vÃ  YSsi_2c
kuta÷, kutastarÃæ tasya  YSsi_82c
kuto mukhyÃrthasambhava÷  YSsi_51d
kuto 'vasÅyate kiæ nu  YSsi_172c
kurute 'sya bhayaæ vyaktam  YSsi_27e
kÊpaæ cendriyaliÇgÃdi  YSsi_177a
kevalaæ kaïÂhaÓo«aïam  YSsi_69d
kevalaæ bhramalak«aïa÷  YSsi_81d
ko jÅvo yasya seti cet  YSsi_107b
kleÓakarmavipÃkÃdyair  YSsi_21c
k«Åre madhuradhÅr yad­k,  YSsi_175a
k«udrabrahmavidÃm etan  YSsi_60c
gaïayan gaïayed Ærmi-  YSsi_23c
guïe tattvaæpadaÓrutyor  YSsi_53c
guruÓi«yÃdibhedaÓ ca  YSsi_93c
ghaÂadhÅ÷ paÂasaævitti-  YSsi_78a
ghaÂavat sadasattvÃbhyÃm  YSsi_189c
ghaÂavyÃv­ttasaævittir  YSsi_79a
ghaÂasvarÆpe nÃstitvam  YSsi_44a
ghaÂÃdayo hi bhidyante  YSsi_77c
ghaÂÃdivedyabhedo 'pi  YSsi_81c
ghaÂÃd ­te 'pi nirbhÃta÷  YSsi_207c
ghaÂÃder iti manvÃnÃ  YSsi_42c
cito na parato 'pi ca  YSsi_84f
citsvarÆpaæ hi nirbhedaæ  YSsi_62c
cidekapariÓe«atÃ  YSsi_64b
cidekavyaktini«ÂhatÃ  YSsi_55b
cidsvarÆpe viÓi«Âe vÃ  YSsi_61a
cirÃtiv­ttÃ÷ prÃgjanma-  YSsi_154c
cetanas tvaæpadodita÷  YSsi_52b
chÃstraæ nirvi«ayaæ bhavet  YSsi_58d
jagajjanmÃdikÃraïam  YSsi_163d
jagatkÃraïatÃdaya÷  YSsi_59b
jagat sthÃvarajaÇgamam  YSsi_29b
ja¬ÃdyÃtmakatetare (tÃ pare)  YSsi_168d
jananÅ yeyam ÃÓritÃ  YSsi_122b
janmanetyatidurghaÂam  YSsi_48d
janyayogÃt khapu«pavat  YSsi_50b
jÃ¬yadu÷khÃdyapohena  YSsi_167a
jÃtu«ÃbharaïÃyate  YSsi_98d
jÃyamÃnÃ ghaÂÃdi«u  YSsi_192b
jÅvatvÃdi m­«Ã hi te  YSsi_146d
jÅvebhyo na p­thak katham  YSsi_150d
jÅvair anekair apy e«Ã  YSsi_156c
jÅvotpatter ayogata÷  YSsi_108d
jainÃs tu pratipedire  YSsi_39d
j¤anÃnandÃdiÓabdÃnÃæ  YSsi_167c
j¤ÃnÃdi«Ãïguïyanidher  YSsi_22a
ta eva brahmasaæj¤ina÷  YSsi_162d
tacchaktyÃpy ÃyanÃd ­te  YSsi_31d
taÂasthÃvasthitÃ dharmÃ÷  YSsi_63a
tata evÃm­«Ã kasmÃn  YSsi_110c
tataÓ ca badhirÃndhÃde÷  YSsi_93a
tata÷ sarvaæ sadÃ bhÃyÃt,  YSsi_90c
tato jyÃyastaro hi sa÷  YSsi_27b
tato 'nyat tadviruddhaæ vÃ  YSsi_8c
tato'nyat sad­Óaæ tu vÃ  YSsi_3d
tat kena hetunÃ seyam  YSsi_102c
tattatpadÃrthasaæsthÃna-  YSsi_192c
tattatsvÃtmavad anye 'pi  YSsi_149e
tat tvam ity api yac chrutam  YSsi_51b
tattvaæpadadvayaæ jÅva-  YSsi_65c
tattvÃvedakavedÃnta-  YSsi_160c
tatpadÃrthas tayor aikyaæ  YSsi_52e
tatrÃdvaitakathÃ katham  YSsi_193f
tatrÃpÅdaæ vivicyatÃm  YSsi_161d
tatsamÆho 'tha vÃ brahma  YSsi_165c
tatsarvasya tathÃ bhavet  YSsi_191d
tatsvÃbhÃvikatÃÓrute÷  YSsi_109f
tathÃtve ca ghaÂÃdibhyo  YSsi_169c
tathÃ sarvatra te bhavet  YSsi_153d
tathÃ surÃsuranara-  YSsi_21a
tathÃ syÃd brahmadhÅr api  YSsi_34d
tathÃ hi yady avidyeyaæ  YSsi_99a
tathÃ hÅdam ahaæ vedmÅty  YSsi_202a
tathÃ hÅha ghaÂo 'stÅti  YSsi_187a
tathaiko naika eva vÃ  YSsi_122f
tathaiva nityasiddhÃtma-  YSsi_137a
tathaiva bhavato 'pÅti  YSsi_130c
(tadarthasthe vibhedake)  YSsi_53b
tadavidyÃ+vilÃso 'yam  YSsi_86c
tadÃnÅæ na hi vedyasya  YSsi_91a
tadÃnÅæ saævid advaita-  YSsi_106c
tadÃÓrayaÓ ca saæsÃrÅ  YSsi_122e
taditthambhÃvatÃparÃ÷  YSsi_28d
tad idaæ ÓÃntikarmÃdau  YSsi_134a
tad ekatvaparigrahÃt  YSsi_92d
tadekÃrthai÷ padair iva  YSsi_170d
tad etad aparÃm­«Âa-  YSsi_206a
tad evaæ vÃdisammardÃt  YSsi_43a
tad brahmeti vivak«ite  YSsi_9b
tadbhÃvÃnuvidhÃnata÷  YSsi_177b
tadbhÃvo 'Óakyanihnava÷  YSsi_181d
tadvat tÃdÃtmyasambandhe  YSsi_72a
tadviruddham atho vÃ syÃt  YSsi_4a
tadvyÃv­ttipadenÃpi  YSsi_79c
tanni«edhe samasta tasya  YSsi_34a
tanmÃtratvÃt pade pade  YSsi_165b
tanmÃtraæ kiæ sukhÃdaya÷  YSsi_162b
tanmÃtraæ ghaÂa ity api  YSsi_188b
tanmithyÃtve prapa¤casya  YSsi_185a
tanmukhyav­tti tÃdÃtmyam  YSsi_65e
tanmÆlÃptÃgamair api  YSsi_32d
tam Ãhu÷ pratibandhakam  YSsi_142d
tayor anyatarÃrthasya  YSsi_39a
taruv­ndavanÃdivat  YSsi_165d
tardrÆpÃïÃæ ca bhedata÷  YSsi_159d
tavÃdvaitaæ vihanyate  YSsi_185d
tavÃpi na hi saæviti÷  YSsi_204c
tasmÃt prapa¤casadbhÃvo  YSsi_16a
tasmÃd avidyayaiveyam  YSsi_183e
tasmÃd astÅti saævittir  YSsi_192a
tasyÃs te bhrÃntikalpita÷  YSsi_101b
tÃttvikaæ tu pramÃïatvam  YSsi_113c
tÃdÃtmyaæ brahmajÅvayo÷  YSsi_73d
t­ïaæ majjayituæ jalam  YSsi_31b
t­tÅyaæ prathamaæ tu vÃ  YSsi_5b
t­tÅyaæ prathamaæ tu vÃ  YSsi_11d
t­tÅyÃdyartharÃÓaya÷  YSsi_6b
t­tÅyÃdyÃ jagattraye  YSsi_12d
t­tÅye brahma bhidyeta  YSsi_165a
tejasÅva tamas tasmÃn  YSsi_112c
tejas timiravat katham  YSsi_52f
tena na kvÃpi vÃkyÃrtho  YSsi_166c
tena yauktikam ekatvam  YSsi_149a
tena saævedanaæ satyaæ  YSsi_205e
tenÃdvitÅyaæ brahmeti  YSsi_17a
tenÃpi sÃdhitaæ ki¤cit  YSsi_195a
te«Ãæ muktir abhÆd iti  YSsi_126b
trayaæ sÃk«Ãc cakÃstÅti  YSsi_202c
tripÃdasyÃm­taæ divi  YSsi_26b
tri«v apy anyan na bÃdhate  YSsi_4b
tvadabhyupetÃ bÃdheran  YSsi_158c
tvad avidyÃnimittatve  YSsi_128a
tvamarthasthe taÂasthe vÃ  YSsi_53a
tvayÃ kvedaæ nirÅk«itam  YSsi_116d
tvayaivaivaæ samarthita÷  YSsi_190d
du÷khitvasukhitÃdike  YSsi_54b
d­ÓyatvÃn mÃmakasvapna-  YSsi_125c
d­Óyabhedaprapa¤cavat  YSsi_125d
d­«ÂabhedÃs tu saævida÷  YSsi_196b
d­«ÂÃntavacanÃni te  YSsi_132d
devadatto na hiæsita÷  YSsi_63d
deÓakÃladaÓÃdike  YSsi_57d
deÓakÃladaÓÃbhedÃd  YSsi_45c
deÓakÃladaÓÃbhedÃd  YSsi_56a
deÓakÃlÃdibhetata÷  YSsi_42b
dehino 'ÓakyanihnavÃ÷  YSsi_149f
do«o 'nyonyasamÃÓraya÷  YSsi_117b
dravyatvÃd anumÅyate  YSsi_203d
dvitÅyagaïanÃyogyo  YSsi_17c
dvitÅyagrahaïaæ yasmÃt  YSsi_7c
dvitÅyavastunÃstitvaæ  YSsi_15a
dvitÅyavÃgÃspadatÃæ  YSsi_19a
dvitÅyaÓÆnyatÃ tatra  YSsi_11a
dvitÅyasyÃvagamyate  YSsi_8b
dvitÅyaæ yasya naivÃsti  YSsi_9a
dvitÅyaæ sidhyati dhruvam  YSsi_4d
dvitÅyena tathÃ sp­«ÂvÃ  YSsi_6c
dvitÅyena virudhyate  YSsi_5d
dvitÅye saævido 'dvaitaæ  YSsi_97a
dvitÅye saiva tair eva  YSsi_164c
dvaitÃnarthabhramÃbhÃvÃc  YSsi_58c
dharmo mithyÃtvalak«aïa÷  YSsi_184b
dhÅbhedÃvagrahodaya÷  YSsi_82b
na ki¤cid avabhÃsate  YSsi_96d
na khalv ekaikasaævidÃ  YSsi_197b
na ca jÅvas tayÃ vinÃ  YSsi_108b
na ca te bhrÃntisiddhÃs te  YSsi_160a
na ca nÃnÃvidhÃkÃra-  YSsi_194a
na ca prÃtisvikÃvidyÃ-  YSsi_156a
na ca svarÆpanÃnÃtvÃt,  YSsi_92c
na cÃtmÃrthÃvabhÃsanam  YSsi_200b
na cÃvidyÃvilÃsatvÃd  YSsi_98a
(na cÃsadvyoma)pu«pÃdi-  YSsi_118c
na ciddharmatvasambhava÷  YSsi_85b
na cec ce«ÂÃviÓe«eïa  YSsi_151a
na cet te viphala÷ Órama÷  YSsi_195d
na ced asti sasÃmÃnyaæ  YSsi_197c
na caupÃdhikabhedena  YSsi_152a
na¤Ã vastv iti cen (matam)  YSsi_119d
na tasyÃm asti bhedadhÅ÷  YSsi_77b
na tasyÃ÷ kvÃpi sambhava÷  YSsi_105b
na tÃvad ghaÂadhÅs tasyÃm  YSsi_75c
na tu jÅvÃd avidyÃ syÃt,  YSsi_108a
na tu tadbh­tyatatputra-  YSsi_20c
na tu sÃ cit prakÃÓanÃt  YSsi_77d
na deÓakÃlasambandhÃd  YSsi_47c
na dvitÅyo nabha÷sthale  YSsi_24b
na nivarteta kenacit  YSsi_112d
nanu tat prati«edhati  YSsi_1d
nanu te brahmavidyÃ sÃ  YSsi_140c
nanu deÓÃdisambandha÷  YSsi_47a
nanu na¤ brahmaïo 'nyasya  YSsi_7a
nanu na÷ saævido bhinnaæ  YSsi_94a
nanu nedam ani«Âaæ me  YSsi_133a
nanu bhavÃd asambhava÷  YSsi_104f
nanu sattve prapa¤casya  YSsi_37a
nanu saævidabhinnaikÃ  YSsi_77a
nanu sÃpi tadÃyattety  YSsi_115e
nanv astÅti yad uktaæ kiæ  YSsi_188a
nanv Åd­ÓÃnumÃnena  YSsi_127a
nanv evam asamÃdhÃnam  YSsi_107c
na padÃrthÃntarÃnvaya÷  YSsi_14b
na puna÷ pratibaddhatvÃd  YSsi_145c
na pratyak«o na laukika÷  YSsi_81b
na bÃdhyate vibhÆtitvÃd  YSsi_36c
na brahma na viÓe«aïam  YSsi_15b
na brahmÃsmÅti dhÅr api  YSsi_144b
na brÆhas tasya bhÃsanam  YSsi_79f
na muktir nityasiddhatvÃt,  YSsi_144a
na vastutvÃd avastutvÃd  YSsi_117c
na vastu vastudharmo vÃ  YSsi_81a
na vÃ ki¤cit kadÃcana  YSsi_90d
na vÃyuÓ calituæ Óakta÷  YSsi_31c
na vÅjÃÇkuratulyatvaæ  YSsi_108c
na vedyaæ vittidharma÷ syÃd  YSsi_194c
na vyavasthÃpakaæ ki¤cid  YSsi_57c
na«ÂÃyÃæ vÃkhilaæ jagat  YSsi_76b
na satas sadvitÅyatÃ  YSsi_167d
na sad ity api yan na tat  YSsi_183b
na sadvacyaæ na cÃpy asat)  YSsi_121b
na syÃd brahmapadÃnvaya÷  YSsi_10d
na svÃc chabdÃntarÃdivat  YSsi_110d
na hi j¤ÃnÃd ­te 'j¤Ãnam  YSsi_104c
na hi tasyÃm ajÃtÃyÃæ  YSsi_76a
na hi daï¬iÓiraÓchedÃd  YSsi_63c
na hi brahmÃham asmÅti  YSsi_144c
na hi bheda÷ svato nÃsti  YSsi_89c
na hi vahner anu«ïatvaæ  YSsi_203c
nÃdya÷ kalpo 'yam a¤jasÃ  YSsi_184d
nÃdyÃvidyeti codyate  YSsi_124d
nÃdvaitaÓrutibÃdhita÷  YSsi_16b
nÃnÃtvÃvagrahabhrama÷  YSsi_80d
nÃnÃd­«ÂÃntavistarai÷  YSsi_30d
nÃnumÃnaæ pravartate  YSsi_203b
nÃnumÃnÃnuvartina÷  YSsi_201d
nÃnyo 'rtha÷ saævido bhavet  YSsi_198b
nÃpi kÃraïabhedena.  YSsi_92a
nÃpy anyasaævit tannÃÓe  YSsi_76e
nÃpy avastv iti co(ktau tu  YSsi_119a
nÃpratyak«aÓ ca saæata÷  YSsi_89d
nÃÓakad dagdham analas  YSsi_31a
nÃsat pratÅte÷, bÃdhÃc ca  YSsi_183a
nÃsÃv arthÃntaras tasmÃn  YSsi_199c
nÃsÅd asti bhavi«yati  YSsi_17d
nÃstitÃmÃtragocare  YSsi_10b
nÃsti madhye 'pi tat tathÃ  YSsi_49d
nÃstivyÃhÃrasÃdhanÅ  YSsi_180b
nÃstÅti pratyaya÷ katham  YSsi_37b
nÃstÅti pratyayodayÃt  YSsi_40b
nÃstÅti Óakyate vaktum  YSsi_76c
nÃstÅtyevaævidhÃ yata÷  YSsi_45b
nÃsyÃs tÃbhyÃæ nivartanam  YSsi_104b
nityatvamahimÃdy atha  YSsi_161b
nityasiddhaiva sÃ yata÷  YSsi_133d
nityÃyÃs tadabhÃvata÷  YSsi_92b
nityaiveti na tatpjhalam  YSsi_139d
niyÃmakaæ na paÓyÃmo  YSsi_113e
nirupÃkhyasvabhÃvatvÃt  YSsi_99c
nirïaya÷ kriyate tatra  YSsi_43c
nirdeÓair eva vaidikai÷  YSsi_190b
nirdo«Ãpauru«eyÅ ca  YSsi_73a
nirdhÆtanikhiladvandva-  YSsi_58a
nirnimitta÷ prasajyate  YSsi_93d
nirbandhÃt tÃvakÃd ­te  YSsi_113f
nivÃraïaparaæ vaca÷  YSsi_20b
nivÃho lokavedayo÷  YSsi_96b
niÓcayÃbhÃvahetuta÷  YSsi_39b
(ni«idhyate) samastena  YSsi_119c
ni«idhyante 'tra raÓmaya÷  YSsi_24d
nissÅmasukhasÃgara÷  YSsi_52d
nÅrÆpÃyÃ na hi svata÷  YSsi_80b
nÅlam utpalam evedam  YSsi_70c
nÅlÃdir na prakÃÓate  YSsi_95b
nÅlÃdyupaplavÃpeta-  YSsi_205a
nÅlimÃnyakathÃ na, dhÅ÷  YSsi_174b
nÅle nÅlamatir yÃd­g-  YSsi_70a
...(nedaæ tadrÆpaïaæ yadi)  YSsi_116b
naikÃ vÃ tad idaæ vada  YSsi_122d
naikyaæ yÃnti ghaÂÃdibhi÷  YSsi_196d
naiva tattadapohyate  YSsi_170c
naiva nimbaka«ÃyadhÅ÷  YSsi_175b
naivaæ, ghaÂo hi nÃbhÃti  YSsi_78c
naivaæ ni«edho na hy asmÃd  YSsi_8a
paÂatvaæ vÃnumanyate  YSsi_187d
paÂÃd iva ghaÂa÷ svayam  YSsi_207d
padayor ity apeÓalam  YSsi_55d
padÃrthatvÃn na bodhaka÷  YSsi_182d
padÃrthas tatra tad brahma  YSsi_3c
padÃrthÃnÃæ tu yÃ sthiti÷  YSsi_193d
parajÅvÃvibhÃgata÷  YSsi_61d
paratÃdÃtmyagocaram  YSsi_65d
paramÃrthatvasambandha÷  YSsi_82d
paravartÃnabhij¤Ãs te  YSsi_157a
parastÃd ÃtmavidyayÃ  YSsi_131d
parasparavirodhinÅ  YSsi_114b
parasparavilak«aïÃ÷  YSsi_88b
paro boddhÃnumÅyate  YSsi_151b
pÃdÃdau vedanodaye  YSsi_153b
pÃdo 'sya viÓvÃ bhÆtÃni  YSsi_26a
pÃramÃrthyÃvabodhinÅ  YSsi_192d
pÃramÃrthye 'pi tenaiva  YSsi_185c
pÃvakÃd visphuliÇgavat  YSsi_30b
punas tad iti vastutÃ  YSsi_120d
purastÃd ÃtmavudyayÃ  YSsi_131b
pÆrvam eva nirasteti  YSsi_123c
pÆrvam eva parÃk­tÃ  YSsi_169b
pÆrvasminn uttaras tÃvat  YSsi_3a
pÆrvasmin sarvasÃaÇkaryaæ  YSsi_61c
pÆrvoktanÅtyÃ bhedaÓ ca,  YSsi_163c
'py anye«Ãm upalambhanÃt  YSsi_76f
prakar«aÓ ca prakÃÓaÓ ca  YSsi_166a
prakÃrÃkÃravattayÃ  YSsi_181b
