Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




acidaü÷avyapohena  YSsi_64a
ki¤ ca prapa¤caråpeõa  YSsi_75a
ki¤ ca bhedaprapa¤casya  YSsi_184a
ki¤ ca vedyasya bhedàder  YSsi_85a
ki¤ ca ÷uddhàjaóà saüvit,  YSsi_102a
ki¤ ca sà tat tvam asy àdi-  YSsi_141a
ki¤ ca svayaüprakà÷asya  YSsi_83a
ki¤ ca hetur viruddho 'yaü  YSsi_204a
ki¤ càpohyajaóatvàdi-  YSsi_170a
ki¤càvidyà na cet ... (vastu  YSsi_118a
ki¤ càsau kasya? jãvasya,  YSsi_107a
ki¤ càsyàþ svaprakà÷àyà  YSsi_80a
ki¤ceyaü tadviruddhà và,  YSsi_105a
ki¤ caiko jãva ity etad  YSsi_146a
kiü saivoktàtha vetarat  YSsi_79d
kiüsvit tatpuruùaþ kiü và  YSsi_2c
kutaþ, kutastaràü tasya  YSsi_82c
kuto mukhyàrthasambhavaþ  YSsi_51d
kuto 'vasãyate kiü nu  YSsi_172c
kurute 'sya bhayaü vyaktam  YSsi_27e
këpaü cendriyaliïgàdi  YSsi_177a
kevalaü kaõñha÷oùaõam  YSsi_69d
kevalaü bhramalakùaõaþ  YSsi_81d
ko jãvo yasya seti cet  YSsi_107b
kle÷akarmavipàkàdyair  YSsi_21c
kùãre madhuradhãr yadçk,  YSsi_175a
kùudrabrahmavidàm etan  YSsi_60c
gaõayan gaõayed årmi-  YSsi_23c
guõe tattvaüpada÷rutyor  YSsi_53c
guru÷iùyàdibheda÷ ca  YSsi_93c
ghañadhãþ pañasaüvitti-  YSsi_78a
ghañavat sadasattvàbhyàm  YSsi_189c
ghañavyàvçttasaüvittir  YSsi_79a
ghañasvaråpe nàstitvam  YSsi_44a
ghañàdayo hi bhidyante  YSsi_77c
ghañàdivedyabhedo 'pi  YSsi_81c
ghañàd çte 'pi nirbhàtaþ  YSsi_207c
ghañàder iti manvànà  YSsi_42c
cito na parato 'pi ca  YSsi_84f
citsvaråpaü hi nirbhedaü  YSsi_62c
cidekapari÷eùatà  YSsi_64b
cidekavyaktiniùñhatà  YSsi_55b
cidsvaråpe vi÷iùñe và  YSsi_61a
ciràtivçttàþ pràgjanma-  YSsi_154c
cetanas tvaüpadoditaþ  YSsi_52b
chàstraü nirviùayaü bhavet  YSsi_58d
jagajjanmàdikàraõam  YSsi_163d
jagatkàraõatàdayaþ  YSsi_59b
jagat sthàvarajaïgamam  YSsi_29b
jaóàdyàtmakatetare (tà pare)  YSsi_168d
jananã yeyam à÷rità  YSsi_122b
janmanetyatidurghañam  YSsi_48d
janyayogàt khapuùpavat  YSsi_50b
jàóyaduþkhàdyapohena  YSsi_167a
jàtuùàbharaõàyate  YSsi_98d
jàyamànà ghañàdiùu  YSsi_192b
jãvatvàdi mçùà hi te  YSsi_146d
jãvebhyo na pçthak katham  YSsi_150d
jãvair anekair apy eùà  YSsi_156c
jãvotpatter ayogataþ  YSsi_108d
jainàs tu pratipedire  YSsi_39d
j¤anànandàdi÷abdànàü  YSsi_167c
j¤ànàdiùàõguõyanidher  YSsi_22a
ta eva brahmasaüj¤inaþ  YSsi_162d
tacchaktyàpy àyanàd çte  YSsi_31d
tañasthàvasthità dharmàþ  YSsi_63a
tata evàmçùà kasmàn  YSsi_110c
tata÷ ca badhiràndhàdeþ  YSsi_93a
tataþ sarvaü sadà bhàyàt,  YSsi_90c
tato jyàyastaro hi saþ  YSsi_27b
tato 'nyat tadviruddhaü và  YSsi_8c
tato'nyat sadç÷aü tu và  YSsi_3d
tat kena hetunà seyam  YSsi_102c
tattatpadàrthasaüsthàna-  YSsi_192c
tattatsvàtmavad anye 'pi  YSsi_149e
tat tvam ity api yac chrutam  YSsi_51b
tattvaüpadadvayaü jãva-  YSsi_65c
tattvàvedakavedànta-  YSsi_160c
tatpadàrthas tayor aikyaü  YSsi_52e
tatràdvaitakathà katham  YSsi_193f
tatràpãdaü vivicyatàm  YSsi_161d
tatsamåho 'tha và brahma  YSsi_165c
tatsarvasya tathà bhavet  YSsi_191d
tatsvàbhàvikatà÷ruteþ  YSsi_109f
tathàtve ca ghañàdibhyo  YSsi_169c
tathà sarvatra te bhavet  YSsi_153d
tathà suràsuranara-  YSsi_21a
tathà syàd brahmadhãr api  YSsi_34d
tathà hi yady avidyeyaü  YSsi_99a
tathà hãdam ahaü vedmãty  YSsi_202a
tathà hãha ghaño 'stãti  YSsi_187a
tathaiko naika eva và  YSsi_122f
tathaiva nityasiddhàtma-  YSsi_137a
tathaiva bhavato 'pãti  YSsi_130c
(tadarthasthe vibhedake)  YSsi_53b
tadavidyà+vilàso 'yam  YSsi_86c
tadànãü na hi vedyasya  YSsi_91a
tadànãü saüvid advaita-  YSsi_106c
tadà÷raya÷ ca saüsàrã  YSsi_122e
taditthambhàvatàparàþ  YSsi_28d
tad idaü ÷àntikarmàdau  YSsi_134a
tad ekatvaparigrahàt  YSsi_92d
tadekàrthaiþ padair iva  YSsi_170d
tad etad aparàmçùña-  YSsi_206a
tad evaü vàdisammardàt  YSsi_43a
tad brahmeti vivakùite  YSsi_9b
tadbhàvànuvidhànataþ  YSsi_177b
tadbhàvo '÷akyanihnavaþ  YSsi_181d
tadvat tàdàtmyasambandhe  YSsi_72a
tadviruddham atho và syàt  YSsi_4a
tadvyàvçttipadenàpi  YSsi_79c
tanniùedhe samasta tasya  YSsi_34a
tanmàtratvàt pade pade  YSsi_165b
tanmàtraü kiü sukhàdayaþ  YSsi_162b
tanmàtraü ghaña ity api  YSsi_188b
tanmithyàtve prapa¤casya  YSsi_185a
tanmukhyavçtti tàdàtmyam  YSsi_65e
tanmålàptàgamair api  YSsi_32d
tam àhuþ pratibandhakam  YSsi_142d
tayor anyataràrthasya  YSsi_39a
taruvçndavanàdivat  YSsi_165d
tardråpàõàü ca bhedataþ  YSsi_159d
tavàdvaitaü vihanyate  YSsi_185d
tavàpi na hi saüvitiþ  YSsi_204c
tasmàt prapa¤casadbhàvo  YSsi_16a
tasmàd avidyayaiveyam  YSsi_183e
tasmàd astãti saüvittir  YSsi_192a
tasyàs te bhràntikalpitaþ  YSsi_101b
tàttvikaü tu pramàõatvam  YSsi_113c
tàdàtmyaü brahmajãvayoþ  YSsi_73d
tçõaü majjayituü jalam  YSsi_31b
tçtãyaü prathamaü tu và  YSsi_5b
tçtãyaü prathamaü tu và  YSsi_11d
tçtãyàdyartharà÷ayaþ  YSsi_6b
tçtãyàdyà jagattraye  YSsi_12d
tçtãye brahma bhidyeta  YSsi_165a
tejasãva tamas tasmàn  YSsi_112c
tejas timiravat katham  YSsi_52f
tena na kvàpi vàkyàrtho  YSsi_166c
tena yauktikam ekatvam  YSsi_149a
tena saüvedanaü satyaü  YSsi_205e
tenàdvitãyaü brahmeti  YSsi_17a
tenàpi sàdhitaü ki¤cit  YSsi_195a
teùàü muktir abhåd iti  YSsi_126b
trayaü sàkùàc cakàstãti  YSsi_202c
tripàdasyàmçtaü divi  YSsi_26b
triùv apy anyan na bàdhate  YSsi_4b
tvadabhyupetà bàdheran  YSsi_158c
tvad avidyànimittatve  YSsi_128a
tvamarthasthe tañasthe và  YSsi_53a
tvayà kvedaü nirãkùitam  YSsi_116d
tvayaivaivaü samarthitaþ  YSsi_190d
duþkhitvasukhitàdike  YSsi_54b
dç÷yatvàn màmakasvapna-  YSsi_125c
dç÷yabhedaprapa¤cavat  YSsi_125d
dçùñabhedàs tu saüvidaþ  YSsi_196b
dçùñàntavacanàni te  YSsi_132d
devadatto na hiüsitaþ  YSsi_63d
de÷akàlada÷àdike  YSsi_57d
de÷akàlada÷àbhedàd  YSsi_45c
de÷akàlada÷àbhedàd  YSsi_56a
de÷akàlàdibhetataþ  YSsi_42b
dehino '÷akyanihnavàþ  YSsi_149f
doùo 'nyonyasamà÷rayaþ  YSsi_117b
dravyatvàd anumãyate  YSsi_203d
dvitãyagaõanàyogyo  YSsi_17c
dvitãyagrahaõaü yasmàt  YSsi_7c
dvitãyavastunàstitvaü  YSsi_15a
dvitãyavàgàspadatàü  YSsi_19a
dvitãya÷ånyatà tatra  YSsi_11a
dvitãyasyàvagamyate  YSsi_8b
dvitãyaü yasya naivàsti  YSsi_9a
dvitãyaü sidhyati dhruvam  YSsi_4d
dvitãyena tathà spçùñvà  YSsi_6c
dvitãyena virudhyate  YSsi_5d
dvitãye saüvido 'dvaitaü  YSsi_97a
dvitãye saiva tair eva  YSsi_164c
dvaitànarthabhramàbhàvàc  YSsi_58c
dharmo mithyàtvalakùaõaþ  YSsi_184b
dhãbhedàvagrahodayaþ  YSsi_82b
na ki¤cid avabhàsate  YSsi_96d
na khalv ekaikasaüvidà  YSsi_197b
na ca jãvas tayà vinà  YSsi_108b
na ca te bhràntisiddhàs te  YSsi_160a
na ca nànàvidhàkàra-  YSsi_194a
na ca pràtisvikàvidyà-  YSsi_156a
na ca svaråpanànàtvàt,  YSsi_92c
na càtmàrthàvabhàsanam  YSsi_200b
na càvidyàvilàsatvàd  YSsi_98a
(na càsadvyoma)puùpàdi-  YSsi_118c
na ciddharmatvasambhavaþ  YSsi_85b
na cec ceùñàvi÷eùeõa  YSsi_151a
na cet te viphalaþ ÷ramaþ  YSsi_195d
na ced asti sasàmànyaü  YSsi_197c
na caupàdhikabhedena  YSsi_152a
na¤à vastv iti cen (matam)  YSsi_119d
na tasyàm asti bhedadhãþ  YSsi_77b
na tasyàþ kvàpi sambhavaþ  YSsi_105b
na tàvad ghañadhãs tasyàm  YSsi_75c
na tu jãvàd avidyà syàt,  YSsi_108a
na tu tadbhçtyatatputra-  YSsi_20c
na tu sà cit prakà÷anàt  YSsi_77d
na de÷akàlasambandhàd  YSsi_47c
na dvitãyo nabhaþsthale  YSsi_24b
na nivarteta kenacit  YSsi_112d
nanu tat pratiùedhati  YSsi_1d
nanu te brahmavidyà sà  YSsi_140c
nanu de÷àdisambandhaþ  YSsi_47a
nanu na¤ brahmaõo 'nyasya  YSsi_7a
nanu naþ saüvido bhinnaü  YSsi_94a
nanu nedam aniùñaü me  YSsi_133a
nanu bhavàd asambhavaþ  YSsi_104f
nanu sattve prapa¤casya  YSsi_37a
nanu saüvidabhinnaikà  YSsi_77a
nanu sàpi tadàyattety  YSsi_115e
nanv astãti yad uktaü kiü  YSsi_188a
nanv ãdç÷ànumànena  YSsi_127a
nanv evam asamàdhànam  YSsi_107c
na padàrthàntarànvayaþ  YSsi_14b
na punaþ pratibaddhatvàd  YSsi_145c
na pratyakùo na laukikaþ  YSsi_81b
na bàdhyate vibhåtitvàd  YSsi_36c
na brahma na vi÷eùaõam  YSsi_15b
na brahmàsmãti dhãr api  YSsi_144b
na bråhas tasya bhàsanam  YSsi_79f
na muktir nityasiddhatvàt,  YSsi_144a
na vastutvàd avastutvàd  YSsi_117c
na vastu vastudharmo và  YSsi_81a
na và ki¤cit kadàcana  YSsi_90d
na vàyu÷ calituü ÷aktaþ  YSsi_31c
na vãjàïkuratulyatvaü  YSsi_108c
na vedyaü vittidharmaþ syàd  YSsi_194c
na vyavasthàpakaü ki¤cid  YSsi_57c
naùñàyàü vàkhilaü jagat  YSsi_76b
na satas sadvitãyatà  YSsi_167d
na sad ity api yan na tat  YSsi_183b
na sadvacyaü na càpy asat)  YSsi_121b
na syàd brahmapadànvayaþ  YSsi_10d
na svàc chabdàntaràdivat  YSsi_110d
na hi j¤ànàd çte 'j¤ànam  YSsi_104c
na hi tasyàm ajàtàyàü  YSsi_76a
na hi daõói÷ira÷chedàd  YSsi_63c
na hi brahmàham asmãti  YSsi_144c
na hi bhedaþ svato nàsti  YSsi_89c
na hi vahner anuùõatvaü  YSsi_203c
nàdyaþ kalpo 'yam a¤jasà  YSsi_184d
nàdyàvidyeti codyate  YSsi_124d
nàdvaita÷rutibàdhitaþ  YSsi_16b
nànàtvàvagrahabhramaþ  YSsi_80d
nànàdçùñàntavistaraiþ  YSsi_30d
nànumànaü pravartate  YSsi_203b
nànumànànuvartinaþ  YSsi_201d
nànyo 'rthaþ saüvido bhavet  YSsi_198b
nàpi kàraõabhedena.  YSsi_92a
nàpy anyasaüvit tannà÷e  YSsi_76e
nàpy avastv iti co(ktau tu  YSsi_119a
nàpratyakùa÷ ca saüataþ  YSsi_89d
nà÷akad dagdham analas  YSsi_31a
nàsat pratãteþ, bàdhàc ca  YSsi_183a
nàsàv arthàntaras tasmàn  YSsi_199c
nàsãd asti bhaviùyati  YSsi_17d
nàstitàmàtragocare  YSsi_10b
nàsti madhye 'pi tat tathà  YSsi_49d
nàstivyàhàrasàdhanã  YSsi_180b
nàstãti pratyayaþ katham  YSsi_37b
nàstãti pratyayodayàt  YSsi_40b
nàstãti ÷akyate vaktum  YSsi_76c
nàstãtyevaüvidhà yataþ  YSsi_45b
nàsyàs tàbhyàü nivartanam  YSsi_104b
nityatvamahimàdy atha  YSsi_161b
nityasiddhaiva sà yataþ  YSsi_133d
nityàyàs tadabhàvataþ  YSsi_92b
nityaiveti na tatpjhalam  YSsi_139d
niyàmakaü na pa÷yàmo  YSsi_113e
nirupàkhyasvabhàvatvàt  YSsi_99c
nirõayaþ kriyate tatra  YSsi_43c
nirde÷air eva vaidikaiþ  YSsi_190b
nirdoùàpauruùeyã ca  YSsi_73a
nirdhåtanikhiladvandva-  YSsi_58a
nirnimittaþ prasajyate  YSsi_93d
nirbandhàt tàvakàd çte  YSsi_113f
nivàraõaparaü vacaþ  YSsi_20b
nivàho lokavedayoþ  YSsi_96b
ni÷cayàbhàvahetutaþ  YSsi_39b
(niùidhyate) samastena  YSsi_119c
niùidhyante 'tra ra÷mayaþ  YSsi_24d
nissãmasukhasàgaraþ  YSsi_52d
nãråpàyà na hi svataþ  YSsi_80b
nãlam utpalam evedam  YSsi_70c
nãlàdir na prakà÷ate  YSsi_95b
nãlàdyupaplavàpeta-  YSsi_205a
nãlimànyakathà na, dhãþ  YSsi_174b
nãle nãlamatir yàdçg-  YSsi_70a
...(nedaü tadråpaõaü yadi)  YSsi_116b
naikà và tad idaü vada  YSsi_122d
naikyaü yànti ghañàdibhiþ  YSsi_196d
naiva tattadapohyate  YSsi_170c
naiva nimbakaùàyadhãþ  YSsi_175b
naivaü, ghaño hi nàbhàti  YSsi_78c
naivaü niùedho na hy asmàd  YSsi_8a
pañatvaü vànumanyate  YSsi_187d
pañàd iva ghañaþ svayam  YSsi_207d
padayor ity ape÷alam  YSsi_55d
padàrthatvàn na bodhakaþ  YSsi_182d
padàrthas tatra tad brahma  YSsi_3c
padàrthànàü tu yà sthitiþ  YSsi_193d
parajãvàvibhàgataþ  YSsi_61d
paratàdàtmyagocaram  YSsi_65d
paramàrthatvasambandhaþ  YSsi_82d
paravartànabhij¤às te  YSsi_157a
parastàd àtmavidyayà  YSsi_131d
parasparavirodhinã  YSsi_114b
parasparavilakùaõàþ  YSsi_88b
paro boddhànumãyate  YSsi_151b
pàdàdau vedanodaye  YSsi_153b
pàdo 'sya vi÷và bhåtàni  YSsi_26a
pàramàrthyàvabodhinã  YSsi_192d
pàramàrthye 'pi tenaiva  YSsi_185c
pàvakàd visphuliïgavat  YSsi_30b
punas tad iti vastutà  YSsi_120d
purastàd àtmavudyayà  YSsi_131b
pårvam eva nirasteti  YSsi_123c
pårvam eva paràkçtà  YSsi_169b
pårvasminn uttaras tàvat  YSsi_3a
pårvasmin sarvasàaïkaryaü  YSsi_61c
pårvoktanãtyà bheda÷ ca,  YSsi_163c
'py anyeùàm upalambhanàt  YSsi_76f
prakarùa÷ ca prakà÷a÷ ca  YSsi_166a
prakàràkàravattayà  YSsi_181b
prakà÷amàno nãlàdiþ  YSsi_95c
pratij¤àü dåratas tyaja  YSsi_106d
pratipadyeta tatkatham  YSsi_19b
pratipramàtçviùayaü  YSsi_88a
pratiprasåtaü vyastena  YSsi_120c
pratibhàsaparàhatam  YSsi_147b
pratiyogini dç÷ye tu  YSsi_171a
pratiyogivyapekùayà  YSsi_179d
pratãtiþ ÷akyanihnavà  YSsi_194b
pratãter eva sat kiü na  YSsi_183c
pratyak cit pari÷iùyate  YSsi_65b
pratyaktvenà÷rayo brahma-  YSsi_115a
pratyakùa iti yo bhramaþ  YSsi_178b
pratyakùapratipakùaü ca  YSsi_203a
pratyakùasya prapa¤casya  YSsi_181c
pratyakùaü te (kùyante) tathànyebhyo  YSsi_150c
pratyakùàdãni mànàni  YSsi_173a
pratyakùàder iti mataü  YSsi_35c
pratyakùàder utàgamàt  YSsi_172d
pratyakùànubhavàpàrataü  YSsi_69c
pratyakùeõa pari÷urat  YSsi_179b
pratyakùeõa balãyasà  YSsi_201b
pratyayàdhãnatà na te  YSsi_109d
prathamaü yanniùidhyate  YSsi_120b
pradhànyena vivakùyate  YSsi_3b
prapa¤ca÷ cidacinmayaþ  YSsi_33b
prapa¤casya ca hãyate  YSsi_191b
prapa¤caü kecid åcire  YSsi_41f
prapa¤caü sàdhayaty anyaþ  YSsi_127c
prapa¤caþ saüvidàtmakaþ  YSsi_97d
prapa¤caþ sphuñam a¤cati  YSsi_200d
pralapann iva lakùyase  YSsi_129d
pravçttibhedànumità  YSsi_149c
prasaktaü pårvavat sarvaü  YSsi_12a
prasåtivyasanàd api  YSsi_154b
pràgatyantàsator iha  YSsi_50d
pràgabhàvàdisiddhiþ syàt,  YSsi_83c
pràg eva samadåduùam  YSsi_35d
pràtibhàsikam ekatvaü  YSsi_147a
pràmàõyaü vyàvahàrikam  YSsi_113b
pràmàõye 'py anvayàyogya-  YSsi_182c
pràyaõàm narakakle÷àt  YSsi_154a
phale ca phalino 'bhàvàn  YSsi_74c
phenabudbudavipruùaþ  YSsi_23d
bandhe sati nirarthakaþ  YSsi_66d
bahuvrãhir athocyatàm  YSsi_2d
bahuvrãhau samasyati  YSsi_12b
(bàdhanaü) tena vàgabàdhà  YSsi_68c
bàdhàn nàsat kuto jagat ?  YSsi_183d
