Vahata:
Astanganighantu
Based on the edition by Priya Vat Sharma,
Madras: The Kuppuswamy Sastri Research Institute, 1973


Input by Oliver Hellwig


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



Vàhaña: Aùñàïganighaõñu

akçùñapacyo nãvàraþ  VAnigh_334a
àràma÷ãtalo devo  VAnigh_227a
àrevato vyàdhighàtaþ  VAnigh_70c
àvartakã carmaraïgà  VAnigh_247c
à÷ãviùo viùadhara÷  VAnigh_360c
à÷vineyau ca tàv ubhau  VAnigh_408b
àsurã sarùapo ràjã  VAnigh_37c
ikùvàlikà tu kàkekùuþ  VAnigh_237a
iïgudas tiktama¤jà ca  VAnigh_128c
indindira÷ ca¤carãkaþ  VAnigh_368c
indirà lokamàtà mà  VAnigh_400c
indãvaraü kuvalayaü  VAnigh_60c
indravàruõikà caindrã  VAnigh_197c
ã÷varaþ ÷arvaþ ã÷ànaþ  VAnigh_392a
ã÷varã nàgadamanã  VAnigh_226a
ukùàn aóvàn balãvardaþ  VAnigh_372a
ugrakàõóaþ kàravallã  VAnigh_276a
ugraþ kapardã ÷rãkaõñhaþ  VAnigh_393c
uccañà cañakà j¤eyà  VAnigh_238c
uóu nakùatramçkùaü bhaü  VAnigh_390a
utkañà såkùmapatrà ca  VAnigh_107c
udakãryo naktamàlaþ  VAnigh_75a
udaïghà kapijaïghà tu  VAnigh_366c
udãcyaü bàlakaü jalam  VAnigh_183b
udumbaracchadà hasti-  VAnigh_193c
udumbaraþ kçmiphalaþ  VAnigh_172a
uddàlakastu jårõàhvo  VAnigh_336c
udvegajananas tãkùõaþ  VAnigh_135a
unmattako màtulako  VAnigh_239a
upakulyà kaulanàmà  VAnigh_31c
upendra indràvaraja÷  VAnigh_399c
upodakam upodã ca  VAnigh_261a
ubhàtasã rudrapattrã  VAnigh_245c
umà kàtyàyanã gaurã  VAnigh_396c
uruvåkas tathairaõóa  VAnigh_6c
urvàruþ karkañã proktà  VAnigh_256c
ulåko vàyasàristu  VAnigh_353c
åùakas tutthakaü hiïgu  VAnigh_98a
åùakàdau tu vçùako  VAnigh_99a
åùo niþsàrakaþ siüho  VAnigh_99c
çùir damanako dànto  VAnigh_322a
ekadçùñi÷ càtmaghoùaþ  VAnigh_355a
ebhir viü÷atibhiþ kaphàmayaharaþ kçùõàdiko 'yaü gaõaþ  VAnigh_30d
elavàlukam aileyaü  VAnigh_119c
elà tu dràvióã tutthà  VAnigh_41a
elà tu dràvióã proktà  VAnigh_62a
elàdike pårvam uktà  VAnigh_181a
elàdiko vàtakaphau  VAnigh_180a
elà pàñhà jàjã kañvaïgaphalàjamodasiddhàrthavacàþ  VAnigh_143/b
elàyugmaturuùkakuùñhaphalinãmàüsãjaladhyàmakaü  VAnigh_179a
eùa rodhràdiko nàma  VAnigh_114a
airàvatamukhapriyau  VAnigh_272d
ojastu dhàtusàraþ syàt  VAnigh_376c
otur bióàlo màrjàro  VAnigh_366a
oùadhã÷o ni÷àpatiþ  VAnigh_386d
auùadhaü bheùajaü pathyam  VAnigh_343a
auùadhaü bheùajaü pathyam  VAnigh_405a
kakudmàn gopatir vçùaþ  VAnigh_371d
kakubhaþ phàlgunàhvayaþ  VAnigh_82d
kakubhàõóà phalottamà  VAnigh_257d
kakkolakaü ko÷aphalaü  VAnigh_300c
kaïkuùñhas tãkùõadugdhikà  VAnigh_197b
kaïguþ saüdhyanthisaübandhã  VAnigh_335c
kacchurà paõihàrã ca  VAnigh_165c
kañaübharà mahà÷vetà  VAnigh_127c
kañukaü kañukãphalam  VAnigh_301b
kañukà kùatriyàtmajà  VAnigh_259b
kañukàlàmbunã tumbà-  VAnigh_241c
kañukà ÷akulàdanã  VAnigh_38d
kañuko÷àtakã kùveóà  VAnigh_241a
kañutrayam ihocyate  VAnigh_342b
kañphalaü katakàt phalàt  VAnigh_48b
kañvaïgaü kamalodbhavaü rajaþ  VAnigh_155d
kañvaïgo 'ralutiktakaþ  VAnigh_147b
kañhinaü tutthakaü dvedhà  VAnigh_100a
kaõñakaþ kokilàkùakaþ  VAnigh_238b
kaõñakàóhya÷ ca kubjakaþ  VAnigh_321b
kaõñhãrava÷ ca vij¤eyaþ  VAnigh_347a
kaõóåkarã jãvanàhvasvasaüj¤e  VAnigh_2c
kaõóåkçt kapikacchurà  VAnigh_13b
katakasya phalaü kàtyaü  VAnigh_53c
kattçõaþ kàõóatiktakaþ  VAnigh_73b
kadaraþ khadiraþ sàraþ  VAnigh_83c
kanyà gopã kçùõavallã  VAnigh_21a
kanyà sthåladalà ca sà  VAnigh_278b
kapicåtaþ kapãtanaþ  VAnigh_173b
kapitthapattrã jharasã  VAnigh_135c
kapittho 'tha dadhittha÷ ca  VAnigh_267c
kapilà reõukà kauntã  VAnigh_36c
kapilà ÷iü÷apà kçùõa-  VAnigh_84c
kapiþ plavaügaplavaga-  VAnigh_350a
kapotacaraõà nañã  VAnigh_274d
kapotavaïkà varadà  VAnigh_112c
kaphamedoviùàpahaþ  VAnigh_122b
kaphaü kaõóåü pramehaü ca  VAnigh_69c
kaphaþ ÷leùmà ca picchilaþ  VAnigh_378b
kamalà ÷rãr haripriyà  VAnigh_400b
kampillako ra¤janako  VAnigh_200a
kara¤jas tãravçkùakaþ  VAnigh_216d
kara¤jo làjapuùpakaþ  VAnigh_75b
karaõóaphalaka÷ ca saþ  VAnigh_268d
karabhã rucirà smçtà  VAnigh_228b
karabho dãrghaga÷ coùñraþ  VAnigh_345c
karamardã kùãraphalà  VAnigh_270c
karambhaþ karka÷o yugma-  VAnigh_112a
karavãro '÷vamàrastu  VAnigh_317c
karàmlàþ karamardakaþ  VAnigh_271b
karãraþ kãcako mçtyu-  VAnigh_216a
karã ÷àrdulavigrahà  VAnigh_13d
kareõur hastinã smçtà  VAnigh_344b
karkandhåþ kàùñhakçt kolã  VAnigh_176c
karkandhåþ hrasvabadarã  VAnigh_221c
kardamaþ païkajambàlau  VAnigh_378c
karparaü barhikaõñakam  VAnigh_100b
karpåraü himanàmakam  VAnigh_299b
karmasàkùã jagaccakùur  VAnigh_385a
kar÷anãyà sità tathà  VAnigh_336b
kalabho vàraõo dantã  VAnigh_343c
kalambã vallyupodakaþ  VAnigh_261d
kala÷ãkuñajodbhavàþ  VAnigh_149d
kalàpã meghanàdinã  VAnigh_353b
kalikà jàlaka÷ caiva  VAnigh_403a
kaliïgakas tv indrayavo  VAnigh_71a
kalyàõalocano j¤eyo  VAnigh_210c
ka÷erukaþ sugandhi÷ ca  VAnigh_316c
kaùàyaü madhur àhvayam  VAnigh_88d
kaùàhvàvartakã smçtà  VAnigh_196b
kastårã darpasaüj¤akaþ  VAnigh_298b
kàkajaïghà dhvàïkùajaïghà  VAnigh_283c
kàkajambvalpasasyakà  VAnigh_172d
kàkamàcã gucchaphalà  VAnigh_32a
kàkamàcã gåóhaphalà  VAnigh_137a
kàkamudgà kùudrarasà  VAnigh_12a
kàkastu karaño 'riùñaþ  VAnigh_354a
kàkàkhyaü hrasvamutpalam  VAnigh_315d
kàkàdanã pãtatailà  VAnigh_126a
kàkàhis toyasarpakaþ  VAnigh_359d
kàkàhvà màcikàpi ca  VAnigh_137b
kàkotpalaü tu kàkotthaü  VAnigh_315c
kàkodumbarikà phalguþ  VAnigh_217c
kàkolã kavarã vãrà  VAnigh_15a
kàkolã cavikà cavyaü  VAnigh_32c
kàõóekùur vàyasekùukaþ  VAnigh_237b
kàõóo bàõaþ ÷aõaþ smçtaþ  VAnigh_219b
kàdambarã ghanà surà  VAnigh_329a
kàntaü bhràmaracumbakam  VAnigh_310d
kàntaþ piõóaphalas tathà  VAnigh_174b
kàmukà raktama¤jarã  VAnigh_136b
kàyasthà tulasã tathà  VAnigh_131d
kàyasthà rohiõã smçtà  VAnigh_50d
kàlakarõã bhåtavallã  VAnigh_220c
kàlakåño mahàmusto  VAnigh_311c
kàlamuùkaþ kùàravçkùaþ  VAnigh_141c
kàlavçntà kuberàkùã  VAnigh_275c
kàla÷eyamudàhçtam  VAnigh_325b
kàlaskandho nãlasàro  VAnigh_177c
kàlàntradàrã kanthàrã  VAnigh_218a
kàlikodgàra÷odhanã  VAnigh_34b
kàlindã kañabhã sità  VAnigh_127d
kàlindã kàlikà smçtà  VAnigh_192d
kàlã haimavatã÷varã  VAnigh_396d
kàleyakaü pãtasàraü  VAnigh_85c
kàleyã dhåmrapattroùñrà  VAnigh_8a
kàleyo bahupannagaþ  VAnigh_362d
kà÷maryabhãruþ ÷rãparõã  VAnigh_25c
kà÷maryaü kañphalaü tathà  VAnigh_25d
kà÷mãraü kuïkumaü raktaü  VAnigh_188c
kàsaghnaü kàsamardakaþ  VAnigh_134d
kàsaghno vraõa÷odhanaþ  VAnigh_130d
kàsãsadvayasaindhavam  VAnigh_98b
kàsãsaü pàü÷udhàvàkhyaü  VAnigh_101a
kàüsyaü kà÷aü ca ghoùakam  VAnigh_308b
kiïkiràtaþ karõikàro  VAnigh_211c
kiõihã madhureõukà  VAnigh_127b
kiràtatikto bhånimbaþ  VAnigh_73a
kirãñaü ÷vetataõóulam  VAnigh_133b
kãñàriþ sarpagandhikà  VAnigh_226b
kãreùñaþ karparàla÷ ca  VAnigh_250a
kukkuña÷ caraõàyudhaþ  VAnigh_352b
kucandanaü tàmravarõaü  VAnigh_28c
ku¤citàïgo haripriyaþ  VAnigh_118b
ku¤jaraþ ÷atapattra÷ ca  VAnigh_321a
ku¤jarà harisàrà ca  VAnigh_163c
kuñajo girimallikà  VAnigh_145b
kuñannañaü plavaügaü ca  VAnigh_120a
kuõapokaþ susàdanã  VAnigh_225b
kuõóalã gåóapàc cakùuþ  VAnigh_361a
kutàlã tilapuùpikà  VAnigh_281d
kutsitàmbakadalãgata÷okàþ  VAnigh_113c
kuddàlakaþ kovidàras  VAnigh_220a
kundurur medakaþ kundro  VAnigh_190c
kubjapuùpà kçùõavallã  VAnigh_286a
kumàrã vyàghracaraõà  VAnigh_278a
kumàryàkhyà mahà÷vetà  VAnigh_128a
kumudaü kokanandanam  VAnigh_315b
kumbhayoni÷ ca sa smçtaþ  VAnigh_250d
kumbhastrã bhaññinã såtrà  VAnigh_194c
kumbhàlàmbur ghañàbhidhà  VAnigh_258b
kumbhikà jalakumbhikà  VAnigh_313b
kuruvindo vçùàkaraþ  VAnigh_339b
kulakaü ca pañolakam  VAnigh_64b
kulatthaþ kàlavçtta÷ ca  VAnigh_338c
kulahalaviùamuùñã bhåstçõo bhåtave÷ã  VAnigh_129d
kuliïga÷ cañakàpi ca  VAnigh_355d
kuliïgàkùã ca yakùadçk  VAnigh_275d
kulãraþ karkañaþ smçtaþ  VAnigh_358b
ku÷ika÷ cà÷vakarõakaþ  VAnigh_89d
kuùñhaghnã phalguvàñikà  VAnigh_214b
kuùñhaghno bàlapattrakaþ  VAnigh_83b
kuùñhaü kuñã haimavatã ca yoni-  VAnigh_166c
kusumaü ÷ekharaü lavam  VAnigh_301d
kårcaparõã viùàõikà  VAnigh_93d
kåùmàõóakã puùpalatà  VAnigh_257c
kçkalàso mayåràdã  VAnigh_362c
kçkavàkus tàmracåóaþ  VAnigh_352a
kçcchràghàtarujàharaþ  VAnigh_104d
kçtaü tàrkùyo rasà¤janam  VAnigh_61d
kçtrimàcavikàphalà  VAnigh_37b
kçmikuùñhapra÷amano  VAnigh_122c
kç÷ànuretàþ sarvaj¤o  VAnigh_394c
kçùõajãreti kàkolã  VAnigh_34a
kçùõanãlaþ kàla÷àkhaþ  VAnigh_279a
kçùõapàkaphalàvigna-  VAnigh_271a
kçùõapuùpã ca mohinã  VAnigh_239d
kçùõalohamayaþ sàra-  VAnigh_309a
kçùõasarjakaþ kàlamàlaþ  VAnigh_132c
kçùõasàra÷ citramçgaþ  VAnigh_348c
kçùõasåkùmaphalà yukta-  VAnigh_111c
kçùõàgranthikakàkamàcicavikàvi÷vauùadhàjàjibhiþ  VAnigh_30a
ketustu dhvajanàmakaþ  VAnigh_389d
ke÷ara¤janako j¤eyo  VAnigh_235a
ke÷avo màdhavaþ svabhåþ  VAnigh_398d
kesaraü nàgakesaram  VAnigh_62d
kesaraü padmasaübhavam  VAnigh_158b
kesaro madhu÷igrukaþ  VAnigh_95d
kaióaryaþ surabhicchadaþ  VAnigh_279b
kokilaþ susvaraþ pikaþ  VAnigh_357d
koñarã ÷yàmasàrakaþ  VAnigh_83d
korakakùàrakuómalàþ  VAnigh_403b
koraïgako mçduphalo  VAnigh_51c
koraõóo nakhara¤janaþ  VAnigh_319b
koradåùastu kodravaþ  VAnigh_335b
kolakaü bahubãjakam  VAnigh_300d
kolãkadambaviralàmadhukaü madhåkam  VAnigh_169d
ko÷ãram amçõàlakam  VAnigh_24d
kauõóinya÷ ca mahàdroõaþ  VAnigh_251c
kau÷iko gugguluþ puraþ  VAnigh_189d
kau÷iko rajanãcaraþ  VAnigh_353d
kratudhvaüsã vçùadhvajaþ  VAnigh_395d
kramukadhavakaliïgacchàgakarõà÷vakarõàþ  VAnigh_79d
kramukaü kaivukaü pågaü  VAnigh_88c
krimijà lohità jatu  VAnigh_297b
krimivçkùaþ ku÷àmrakaþ  VAnigh_282d
kriyà cikitsitaü ÷astraü  VAnigh_405c
kroóaþ kolastathà kiriþ  VAnigh_349d
krodhanà pi÷unà caõóà  VAnigh_189a
kùaõadà yàminã ràtris  VAnigh_390c
kùamã vesarako balã  VAnigh_345d
kùayàhvà ke÷amuùñikà  VAnigh_138b
kùavakasarasibhàrïgãkàrmukàþ kàkamàcã  VAnigh_129c
kùavakaþ kùudvibodhakaþ  VAnigh_135b
kùãõavàriphalaþ smçtaþ  VAnigh_141d
kùãra÷uklà payasvinã  VAnigh_5b
kùãraü svàdu payo dugdhaü  VAnigh_324a
kùãràbdhitanayà ramà  VAnigh_400d
kùãriõã càrkapuùpikà  VAnigh_227d
kùãrekùuvallãgandhànyà  VAnigh_5a
kùãrodhija÷ càbjayoniþ  VAnigh_407c
kùudrakaõñarikà tathà  VAnigh_223d
kùudrakà podakã tathà  VAnigh_261b
kùudravàrã dugdhayutà  VAnigh_233a
kùoõã jyà kà÷yapã kùitiþ  VAnigh_380d
kha¤jakàkhyaþ kalàyakaþ  VAnigh_339d
khañvà paryaïkapàdikà  VAnigh_255d
khaõóaü phullamiti smçtam  VAnigh_326b
khaõóena khaõóavàsaþ syàt  VAnigh_330c
khadirakadarabhaõóã÷iü÷apàmeùa÷çïgyaþ  VAnigh_79b
khadyoto dyumaõistathà  VAnigh_383b
kharacchadaþ pàõóuphalo  VAnigh_64c
kharabandhà ni÷àhvayà  VAnigh_10d
kharabusavçùakarõã kañphalaü kàsamardaþ  VAnigh_129b
kharà÷và vçddhadàrukaþ  VAnigh_223b
kharjårã svàdumastakà  VAnigh_281b
khårjarikas tu kàliïgaþ  VAnigh_257a
gaïgàdharo 'ndhakaripuþ  VAnigh_395c
gajo hastã karãbha÷ ca  VAnigh_344a
gaõe vãrataràdike  VAnigh_105b
gaõeùu yàni dravyàõi  VAnigh_202a
gaõau priyaïgvambaùñhàdã  VAnigh_156a
gaõóåpadà bhåmilatà  VAnigh_367a
gandhayuktà sàravastrà  VAnigh_178c
gandhaveõã mukhapriyà  VAnigh_298d
gandhàóhyaþ kurumardakaþ  VAnigh_227b
gandhàhvà somasambhavà  VAnigh_232b
gandho bahalapallavaþ  VAnigh_94d
garaü kçtrimasaüj¤akam  VAnigh_312d
gardabhàõóaþ kapãtanaþ  VAnigh_173d
galà j¤eyàrkapuùpikà  VAnigh_16b
gavàkùã gajacirbhiñã  VAnigh_197d
gavedhukà ca gojihvà  VAnigh_336a
gàïgeyã kuruvindà ca  VAnigh_151c
gàïgerukã nàgabalà  VAnigh_10c
gàyatrã khadiro gãtà  VAnigh_83a
gàlo ràñho 'tha madanaþ  VAnigh_77c
girikarõy a÷vakùurakaþ  VAnigh_198c
girijaü ca ÷ilàhvayam  VAnigh_102d
girimçd gairikaþ smçtaþ  VAnigh_287b
girã÷o giri÷o mçóaþ  VAnigh_392d
guóamålo 'sipattrakaþ  VAnigh_201b
guóastvikùuvikàraþ syàt  VAnigh_326a
guóåcã kuõóalã chinna-  VAnigh_45c
guóåcãpadmakàriùña-  VAnigh_66a
guóena gauóaü sitayà  VAnigh_330a
guõñho vçttatçõaþ ÷uõñhaþ  VAnigh_110a
gundrà syàd gucchapuùpikà  VAnigh_108d
gurur bçhaspatir mantrã  VAnigh_388c
gulmamedaþkaphàpaham  VAnigh_98d
gulmamehà÷marãpàõóu-  VAnigh_140c
gulmaü càntaþ savidradhim  VAnigh_91d
gåóhapàkã ÷ilàphalà  VAnigh_282b
gåóhapàt kacchapaþ kårmaþ  VAnigh_358a
gehapakùã kapotakaþ  VAnigh_351d
gokaõñako gokùurakaþ  VAnigh_20c
gokaõñakotkañasahàcarabàõakà÷àþ  VAnigh_103b
gojihvà karka÷acchadà  VAnigh_213d
gojã kroùñukamålakaþ  VAnigh_243b
gotrà kuþ pçthivã kùamà  VAnigh_381d
godantaü nañabhåùaõam  VAnigh_289b
godhàpadã godhavallã  VAnigh_222c
godhåmo mlecchabhojanaþ  VAnigh_334d
godhålikà ca gojihvà  VAnigh_243a
gopikà bàõakaþ smçtaþ  VAnigh_245d
gomalaü gomayaü smçtam  VAnigh_332d
gomàyur mçgadhårtakaþ  VAnigh_351b
gorakùatumbã gorakùã  VAnigh_258a
gorocanà badarikà  VAnigh_296c
go÷ãrùaü ÷vetacandanam  VAnigh_28b
gostanã cauttaràpathà  VAnigh_52d
gaudherakàkçtir godhà  VAnigh_365c
gauraþ kanakapuùpakaþ  VAnigh_211d
gaurã ca gçhagodhikà  VAnigh_365b
gaurã ÷yàmà ca nirviùà  VAnigh_152b
gaur bhåmir medinã mahã  VAnigh_380b
granthilà kolavallikà  VAnigh_32d
granthilà snug guóà snuhã  VAnigh_142b
glaur mçgàïkaþ kalànidhiþ  VAnigh_387b
ghañikà chatrapattrakà  VAnigh_233b
ghanatvak càkùibheùajaþ  VAnigh_115d
ghanabhårirasas tv ikùuþ  VAnigh_201a
ghanasàro himaràjaþ  VAnigh_299a
ghasro bhàskaravallabhaþ  VAnigh_391b
ghçtamàjyaü haviþ sarpiþ  VAnigh_325c
ghoõño muõñhagopaghoõñau  VAnigh_78c
ghoùaü daõóàhataü takraü  VAnigh_325a
cakrapàõi÷ caturbhujaþ  VAnigh_399d
cakràïgã jala÷oùakaþ  VAnigh_252d
cakrã vyàlaþ sarãsçpaþ  VAnigh_360d
cakùuùyà càrañã j¤eyà  VAnigh_230a
cakùuùyà bahulàïgikà  VAnigh_85b
cañakaþ kalaviïka÷ ca  VAnigh_355c
caõakastu kalàyaþ syàd  VAnigh_334c
caõakàþ kçùõaka¤cukàþ  VAnigh_338b
caõóàgugguladevadhåpakhapuràþ puünàganàgàhvayam  VAnigh_179d
candrarekhà tv avalgujaþ  VAnigh_229d
camasã càtibãjà syàt  VAnigh_335a
calakaphamedaþpãnasagulmajvara÷åladurnàmnaþ  VAnigh_144/b
cànyà bràhmã vanauùadhiþ  VAnigh_246d
càrañã padmacàriõã  VAnigh_157d
càrañã ÷ukabarhàkhyaü  VAnigh_186a
càro dràkùàrasapriyaþ  VAnigh_176b
càsrapittaharà sarà  VAnigh_12b
citrako dvãpisaüj¤as tu  VAnigh_76a
citrà mukålako dantã  VAnigh_193a
citro gandharvahastakaþ  VAnigh_6b
cipiñaü cippañaü ciññaü  VAnigh_310a
cirajãvã ca vàyasaþ  VAnigh_354d
cirbhiñikà citraphalà  VAnigh_258c
cillã tu loma÷à smçtà  VAnigh_262b
cãnàraü cirbhañaü smçtam  VAnigh_258d
cukrikà càmlikà ci¤cà  VAnigh_260a
cukrikà tv amlacàïgerã  VAnigh_260c
caityadru÷ calapattrakaþ  VAnigh_171d
cocaü ciùu nàrikelaþ  VAnigh_269a
cocaü tvak ca varàïgakam  VAnigh_184d
coco dãrghaphalaþ smçtaþ  VAnigh_274b
corako granthiparõã syàt  VAnigh_184a
co÷anà bhàrgavaþ kaviþ  VAnigh_388d
caurã ÷aïkhinikà matà  VAnigh_189b
chade hrasvas tailapuùpas  VAnigh_27c
chardanas tagaraþ phalam  VAnigh_78b
chardikuùñhaviùajvaràn  VAnigh_69b
chuchundarã ràjaputrã  VAnigh_364c
jañilà bhåtake÷inã  VAnigh_58d
jatuvçkùo ghanaskandhaþ  VAnigh_282c
jatva÷majaü dhàtujaü ca  VAnigh_296a
jantughnaü jaraõaü hiïgu  VAnigh_36a
jantughnaü jaraõaü hiïgu  VAnigh_100c
jambãro jambhalo jambhaþ  VAnigh_272a
jambudvayàrjunakapãtanasomavalkàþ  VAnigh_169b
jambålo bhåkadambakaþ  VAnigh_137d
jambo danta÷añhaþ smçtaþ  VAnigh_272b
jayavçkùendravçkùakau  VAnigh_165b
jayàgnimantho 'raõikà  VAnigh_94a
jalakandas trikoõakaþ  VAnigh_317b
jalajàmbhoruhàõi ca  VAnigh_60b
jalajàmbhoruhàõi ca  VAnigh_314d
jalajo dãrghaniþsvanaþ  VAnigh_304b
jalaukà jala÷àyanaþ  VAnigh_359b
jàtaråpaü tathà hema  VAnigh_305c
jàtikà jàtipattrakaþ  VAnigh_300b
jàtãphalaü majjasàraü  VAnigh_40a
jàtãphalaü majjasàraü  VAnigh_300a
jàtã madana÷auõóikau  VAnigh_40b
jàtãraso raso bolaü  VAnigh_186c
jàtuùa÷ carmasàhvayaþ  VAnigh_356b
