Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
andhamåùà tu kartavyà  Ras_4.40a
andhamåùànive÷itam  Ras_12.162:2b
anyacca tàdç÷aü deva  Ras_7.1c
anyatra yatra tatràpi  Ras_12.288a
anyathà kurute yastu  Ras_2.131a
anyathà veùñakaü devi  Ras_12.281e
anyasyàü tàü prave÷ayet  Ras_4.9b
anyà jãvagatirdevi  Ras_10.15a
anyàni raktapuùpàõi  Ras_8.81a
anye ye yoginãmantràş  Ras_3.29c
anyonyaü dvaüdvatàü yànti  Ras_8.40c
aparaü kharparaü tatra  Ras_4.28c
aparà vajra÷akti÷ca  Ras_2.62e
apàmàrgakùàrayute  Ras_6.97c
apàmàrgasya pa¤càïgam  Ras_6.25a
apàmàrgo munistathà  Ras_11.31d
apàyaş pàpa÷aïkà ca  Ras_2.131c
apårvaü varõayàmi te  Ras_2.37b
aprakà÷aü ca nàrãõàü  Ras_3.30c
aprakà÷aü tu tenaiva  Ras_3.30a
apratigrahaghaõñikàm  Ras_2.87b
abhàve 'bhrakasattvasya  Ras_11.80c
abhimantrya pçthak pçthak  Ras_2.79d
abhiùicya vidhànena  Ras_2.81c
abhiùekaü tadicchanti  Ras_4.53e
abhrakakramayogena  Ras_6.64c
abhrakasya yutaü cårõaü  Ras_6.39c
abhrakaü kàntapàùàõaü  Ras_6.3a
abhrakaü kvàthayet priye  Ras_12.312b
abhrakaü carati kùaõàt  Ras_12.111d
abhrakaü ca supeùitam  Ras_6.25b
abhrakaü cårõayitvà tu  Ras_8.29a
abhrakaü bhràmakaü caiva  Ras_11.126a
abhrakaü vàpitaü devi  Ras_6.23c
abhrakaü suranàyike  Ras_6.10b
abhrakaü surasà ÷çïgaü  Ras_8.35a
abhrakaü hema tàmraü ca  Ras_8.49a
abhrakàdãni lohàni  Ras_7.145a
abhrakoparasàn kùipraü  Ras_11.57e
abhrapattradrave kvàtham  Ras_12.378a
abhravaddhamayet sattvaü  Ras_7.13e
abhrasya ùoóa÷àü÷ena  Ras_11.34c
amaratvam upàgatam  Ras_6.65d
amalatvaü ca mardanàt  Ras_10.12b
amàvàsyàü yugàdiùu  Ras_2.127b
amçtaü tatra tatràpi  Ras_12.288c
amçtàkandatimira-  Ras_6.98a
amçtena sahotthitam  Ras_7.63d
amlavargeõa saüyutam  Ras_11.29b
amlavetasajambãra-  Ras_5.31a
amlavetasajambãra-  Ras_11.18c
ayane viùuve caiva  Ras_2.127c
ayaskàntamaye 'thavà  Ras_4.59b
ayaskànte dhåmravarõà  Ras_4.51a
ayaskànto gokùura÷ca  Ras_7.141a
ayaü ca spar÷amàtreõa  Ras_12.198a
ayaü jvàlàmukho vióaş  Ras_9.8d
ayutaü darade devi  Ras_8.5c
ayutaü vedhayettu sà  Ras_12.332b
ayutànyarbudàni ca  Ras_10.3b
ayutàyuşpradà bhavet  Ras_12.332d
arkapattrã vaü÷apattrã  Ras_5.20c
arkàpàmàrgamusalã-  Ras_7.133a
arghyapàtraü ca saüpåjya  Ras_2.80c
arghyapàtrodakena tu  Ras_2.81b
arcayitvà rasàïku÷ãm  Ras_2.105d
arcayed yakùagandharvàn  Ras_2.119c
arcànugrahaùañkaü ca  Ras_2.120e
arjunã kùãranàlã ca  Ras_5.25c
arthapa¤cakasaüyuktà  Ras_3.10c
ardhacandraü lalàñakam  Ras_2.111d
ardhamàsaprayogeõa  Ras_12.19c
ardha÷ulvavidhànena  Ras_12.353a
ardhàrdhakà¤canottamam  Ras_12.9b
ar÷o bhagaüdaraü låtàü  Ras_12.12e
alambuùà balà kolam  Ras_11.26a
alàbhe kàntalohasya  Ras_4.25e
avaj¤à rogajàtaü ca  Ras_2.132a
avatàraü rasendrasya  Ras_1.32a
avadhyaş sarvabhåtànàü  Ras_12.247c
avadhyo devadaityànàü  Ras_12.254c
ava÷iùñakulatthaü tu  Ras_12.298a
a÷eùamavadhàritam  Ras_1.5b
a÷vagandhà cavã nàrã  Ras_7.139a
a÷vatthapattrasadç÷ã  Ras_2.23a
a÷vatthabadarãbhiõóã-  Ras_6.102a
a÷vatthasyàïkurà devi  Ras_6.99c
a÷vamåtreõa mçdvagnau  Ras_6.131a
aùñamàü÷ayutaü hema  Ras_12.46c
aùñamàü÷ena nàgàbhraü  Ras_11.190a
aùñame tv avalokataş  Ras_12.70d
aùñamyàü paurõamàsyàü ca  Ras_2.127a
aùñamyàü và suràrcite  Ras_12.184b
aùñavarùàkçtiş pràj¤aş  Ras_12.253c
aùñavarùe sahasràyuş  Ras_12.363a
aùñà uparasàş smçtàş  Ras_7.56d
aùñàïgulamitàsu ca  Ras_6.62b
aùñàda÷abhujaü devam  Ras_2.66a
aùñàda÷abhujà rudràş  Ras_2.60a
aùñàda÷asahasràõi  Ras_8.5a
aùñànàü caiva lohànàü  Ras_12.81c
aùñàviü÷at palànàü tu  Ras_10.37c
aùñà÷ãtisahasràõi  Ras_3.18a
aùñàùñakamanugraham  Ras_2.121b
aùñàü÷ena tato gràsaü  Ras_11.122a
aùñau tolàş palaü bhavet  Ras_10.35d
aùñau mahàrasà÷caivam  Ras_7.2e
aùñau lohàni kà¤canam  Ras_12.30d
aùñau lohàni kà¤canam  Ras_12.88d
aùñau lohàni saüharet  Ras_12.64b
asiddhànàü tu chedinã  Ras_12.207d
asuràõàü samàyoge  Ras_12.202a
asti godàvarã nàma  Ras_12.260a
asti martye mahàpuõyà  Ras_12.236a
astãti bhàùate ka÷cit  Ras_1.47a
astravidyàü japettatra  Ras_3.21a
asthi÷çïkhalamadhyasthaü  Ras_6.117a
asyà àj¤àprasàdena  Ras_2.89a
ahimarakçtakalkaü lohapàtrasthamàùaü  Ras_12.365c
ahimàreõa nàginyà  Ras_8.77a
ahiüsà candanaü satyaü  Ras_2.86c
ahoràtraü triràtraü và  Ras_4.19c
ahoràtraü ÷ilodake  Ras_12.378b
ahoràtreõa tadbãjaü  Ras_11.116a
ahoràtreõa tànyà÷u  Ras_7.144c
ahoràtreõa ni÷citam  Ras_12.240d
ahoràtroùito bhåtvà  Ras_12.193e
àkramya vàmapàdena  Ras_12.124a
àkhukarõã munitaruş  Ras_6.79c
àkhuparõã triparõã ca  Ras_5.6a
àcàryamapi saüpåjya  Ras_2.106a
àj¤àpaya mahàrasàn  Ras_7.1b
àtape mriyate tapto  Ras_12.115c
àtmacchàyà na dç÷yate  Ras_12.214d
àtmanaş ÷ubhamicchatàm  Ras_2.130d
àtmànamutthitaü pa÷yet  Ras_11.105c
àdàv aùñaguõaü jàryaü  Ras_11.153a
àdau tatraiva dàtavyaü  Ras_11.130a
àdau parãkùayeddevi  Ras_2.12a
àdau saü÷odhitaü såtaü  Ras_11.164a
àdyà ÷reùñhà kaniùñhàntyà  Ras_4.30c
àptvà pàlà÷apattreõa  Ras_12.216a
àplàvya rasagandhakau  Ras_4.10d
àmalakyàdi kàntaü ca  Ras_12.359a
àmle kùiptvà dinatrayam  Ras_6.33d
àmlai÷ca tadanantaram  Ras_8.79b
àyase kapilaprabhà  Ras_4.50d
àyase tàmrapàtre và  Ras_12.293c
àyase viniyojayet  Ras_12.173b
àyudhàni nikçntati  Ras_12.204d
àyurdravyapradàyakaş  Ras_11.150b
àyustu ùaóguõe viùõoş  Ras_11.72c
àraktaràkàmålaü và  Ras_6.92c
àraktavallãgomåtraş  Ras_8.43a
àraõyagomayenaiva  Ras_11.30a
àranàle dinatrayam  Ras_10.60d
àroñaü bandhayet kùipraü  Ras_12.5c
àroñaş pàrado brahmà  Ras_10.30a
àroño balamàdhatte  Ras_11.219a
àrdrakàdi tato yogàd  Ras_11.115a
àrdratvaü ca ghanatvaü ca  Ras_11.200a
àrdrapiõóena saüyutam  Ras_11.119b
àlasyàdgurulobhàcca  Ras_2.132c
àlàpaü gàtrasaüspar÷aü  Ras_1.52a
àloóya madhusarpirbhyàü  Ras_12.194e
àvartate rasastadvat  Ras_11.206c
àvartamàne kanake  Ras_4.49a
àvartita÷ca mçdvagnau  Ras_7.70c
àvartitaü cårõitaü ca  Ras_8.62c
àvartitaü bhaved yàvaj  Ras_12.118c
àvartya kañutailena  Ras_8.30a
àvartyàvartya bhujagaü  Ras_11.166c
àvàpàt kurute devi  Ras_7.120c
àvàpàddravatàü vrajet  Ras_7.123d
àvàpàddràvayedeta-  Ras_7.134c
àùàóhapårvapakùe tu  Ras_12.145a
àsanaü tu gurormadhye  Ras_2.109a
àsurã ñaïkaõa÷caiva  Ras_11.88a
àsurãlavaõavyoùa-  Ras_10.42a
àstike tu bhavetsiddhiş  Ras_1.47c
àsphoñadàhabhedai÷ca  Ras_6.74c
àsphoñaş kharama¤jarã  Ras_11.26b
iïgudãphalamadhyasthaü  Ras_12.313c
iïgudãphalamadhye và  Ras_12.328c
icchayà vicarellokàn  Ras_11.106c
iti tãkùõaü tridhà tacca  Ras_7.107c
iti devagaõaiş prãtaiş  Ras_7.66a
iti bhåyastridhà bhavet  Ras_8.17d
iti yo vetti tattvena  Ras_10.11e
iti lohe 'ùñaguõite  Ras_11.151c
ityaùña målikàş proktàş  Ras_5.27e
ityuktamabhrakàdãnàü  Ras_6.139a
ityoùadhigaõàş proktàş  Ras_5.44a
idaü dalànàü bãjànàü  Ras_8.79c
idaü paramadurlabham  Ras_1.57d
idaü vaikràntamuttamam  Ras_6.131d
idaü hema mçtaü priye  Ras_11.139b
indirà ca kùamàpàlã  Ras_5.28c
indurã devadeve÷i  Ras_5.20e
indragopakasaükà÷aü  Ras_7.42c
indragopanibhaü bhavet  Ras_11.138d
indragopanibhaü yàvat  Ras_8.48a
indragopasamaü patet  Ras_6.136f
indhanàni ca sarvàõi  Ras_4.62a
imàü vidhivaduddharet  Ras_12.180d
iùñakàü÷asamanvitam  Ras_4.42b
iùñakàü÷asamanvitau  Ras_4.43b
iùñikàkà¤jikorõàbhiş  Ras_10.47c
iùñikàguóadagdhorõà-  Ras_11.67a
ãdç÷ãbhir varàrohe  Ras_2.16a
ãdç÷airlakùaõaiş nàrãü  Ras_2.28a
ã÷varãrasa eva ca  Ras_12.182b
ãùac chidrànvitàm ekàü  Ras_4.8c
ãùattàmrarajoyutam  Ras_12.170b
ãùatpãta÷ca råkùàïgo  Ras_10.7a
ãùatprahasitànanam  Ras_2.66b
uktàni tàrabãjàni  Ras_8.73a
uccañà màninãkandà  Ras_5.10c
ujjayinyà dakùiõato  Ras_12.152c
utkañà hemavallarã  Ras_5.19b
uttaptahemaruciràü  Ras_2.69c
uttamaü karùakaü devi  Ras_6.44c
uttamaü vaïgamucyate  Ras_7.110d
uttamaü sarvatomukham  Ras_6.47d
uttamà madhyamà÷caiva  Ras_6.73c
uttamà varavarõini  Ras_4.43d
uttamo mantravàdastu  Ras_1.44c
uttare nàsti sarvathà  Ras_6.126b
uttarottarakàryakçt  Ras_12.219b
uttarottaravçddhyàtu  Ras_11.156c
utpannamapi vij¤ànaü  Ras_2.132e
udakasya ÷ivàgame  Ras_12.382b
udake vinyaseddevi  Ras_3.26c
udayàdityasaükà÷o  Ras_12.317a
udumbarasamàyuktaü  Ras_6.103c
udghàñe kràmaõe yojyaü  Ras_8.79e
uddhçtaü saptabhirmàsaiş  Ras_6.52a
udvàhakarmakàrakam  Ras_10.9f
unmanà unmanãbhàvam  Ras_2.113c
unmanàpadamavyayam  Ras_2.113d
upayu¤jãta màsaikaü  Ras_12.321a
upalepaü tu tatraiva  Ras_3.13a
ubhayapakùe çtumatã  Ras_2.18a
ubhayorbhogamokùadaş  Ras_1.57b
umàphalai÷ca puùpai÷ca  Ras_6.18c
umàmuttarabhàge tu  Ras_2.56e
uragà triphalà kàntà  Ras_10.40c
uùõenaiva hi và¤chanti  Ras_4.54c
uùõodakavidhiü vakùye  Ras_12.259a
uùõodakaü ca kàsãsaü  Ras_12.266a
uùõodakena bhallàtaü  Ras_12.270a
uùõodakena saümardya  Ras_12.273c
uùõodapàcitàn khàdet  Ras_12.275a
årõàlàkùàni÷àpathyà-  Ras_7.35c
årdhvanirgàmidhåmakam  Ras_2.44d
årdhvabhàõóagataş pàcyaş  Ras_10.57c
årdhvaü gandhakacårõaü ca  Ras_11.168c
årdhvaü prasàrya saüsthàpya  Ras_11.169c
årdhvaü bhavati cànilaş  Ras_12.325d
årdhvaü vahniradha÷càpo  Ras_4.15a
årdhvàdha÷ càùñamàü÷ena  Ras_11.70a
årdhvàdhastu daleùu ca  Ras_2.58d
årdhvàdho màkùikaü dattvà  Ras_8.64a
årdhvàdho vahnidãpanam  Ras_4.9d
årmibhiste rajovastraü  Ras_7.62c
åùàïgàràüs tathauùadhãş  Ras_4.5b
ekatra peùayettattu  Ras_6.111a
ekatvaü dràvaõàt tasya  Ras_10.13a
ekadvitriguõo hi saş  Ras_8.4b
ekadvitricatuşpa¤ca  Ras_2.100c
ekadvitricatuşpa¤ca  Ras_6.41a
ekadhà sasyakastasmàt  Ras_7.43a
ekadhà sasyakastasya  Ras_7.40a
ekapattraü kçtaü pårvam  Ras_6.10a
ekapatrãkçtaü sapta-  Ras_6.28a
ekamàsaprayogeõa  Ras_12.196c
ekamàse gate devi  Ras_6.109c
ekameva bhavennàlaü  Ras_12.112c
ekaviü÷atiparyàyaü  Ras_9.9a
ekaviü÷atibhàvitam  Ras_12.162:1b
ekaviü÷atiràtreõa  Ras_12.196a
ekaviü÷atiràtreõa  Ras_12.246a
ekaviü÷ativàràüstu  Ras_12.158a
ekaviü÷ativàreõa  Ras_12.139c
ekaviü÷addinànyevaü  Ras_12.253a
ekavãràkandarase  Ras_12.98a
ekavãrà narakasà  Ras_5.10a
ekàda÷aguõaü yàvat  Ras_11.102a
ekàda÷aguõe 'mle 'smin  Ras_10.41c
ekànte tu kriyà kàryà  Ras_4.24a
ekànte nirmale hçdye  Ras_2.41c
ekà÷ãtipadairyuktaü  Ras_3.11c
ekàhe vedhakaü tatra  Ras_12.282e
ekãkçtya ca mardayet  Ras_11.101b
ekãkçtya tu saümardya  Ras_12.92c
ekãkçtyàtha tat sarvaü  Ras_12.355c
ekaikamabhrake caiva  Ras_8.4c
ekaikamuttame hemni  Ras_8.60e
ekaikameva paryàptaü  Ras_9.7c
ekaikamoùadhãbãjaü  Ras_5.16e
ekaikasya dravaireva  Ras_11.32c
ekaikasyà nyasenmantraü  Ras_2.101a
ekaikaü tatra nikùipet  Ras_11.34d
ekaikaü tridinaü paktvà  Ras_7.48c
ekaikaü trividhaü tacca  Ras_11.15c
ekaikaü dviguõaü bhavet  Ras_8.3d
ekaikaü bhakùayennityaü  Ras_12.356c
ekaikaü suravandite  Ras_5.29b
ekaikaü hemakàntayoş  Ras_12.352d
ekaikaü hematàràü÷aü  Ras_12.273a
ekaikena tu saptadhà  Ras_11.43b
ekaike rasaràjo 'yaü  Ras_11.163a
eko 'pi hemasaüyukta÷  Ras_11.82a
eko bhàgastu gugguloş  Ras_4.17d
etaccàbhiùavàd divyaü  Ras_11.20a
etat kalkaü palamàtraü  Ras_12.231a
etatpraliptamåùàyàü  Ras_8.33a
etanmantragaõaü devi  Ras_3.28a
etallohadvayaü devi  Ras_7.153c
età niyàmakauùadhyaş  Ras_5.7c
etàn prathamataş ÷çõu  Ras_7.2f
ete dvàda÷a bhàgàş syuş  Ras_12.164a
ete rasàyane yogyà  Ras_5.26c
etaireva niùecayet  Ras_7.129b
etaistu marditaü vajraü  Ras_6.119a
ebhir vyastaiş samastairvà  Ras_7.90c
eraõóamàrdrakaü caiva  Ras_11.32a
eraõóavçkùamadhye tu  Ras_6.109a
evamuktàni bãjàni  Ras_8.88a
evamuktà rasotpattiş  Ras_1.60a
evaü kramaü tu yo vetti  Ras_11.213a
evaü caturguõe jãrõe  Ras_11.124a
evaü caturvidhaü kàntaü  Ras_6.40c
evaü coparasàş proktàş  Ras_7.96a
evaü jàryaü tu ùaóguõam  Ras_11.191d
evaü tu tridinaü kuryàt  Ras_4.13a
evaü te ÷oõitaü bhadre  Ras_7.63a
evaü da÷aguõaü vyåóhaü  Ras_8.64c
evaü dvàda÷avàràüstu  Ras_11.176e
evaü nyàsàkùaraş kuñaiş  Ras_2.98a
evaü pa¤cavidhà devi  Ras_10.10a
evaü pratidinaü bhavet  Ras_11.174d
evaü mahàrasàş proktàş  Ras_7.55a
evaü muhurmuhurghçùño  Ras_11.165a
evaü rasotsavaü devi  Ras_2.128a
evaüråpaü sadà dhyàyet  Ras_2.116c
evaüvidhàü rase påjàü  Ras_2.130a
evaü vi÷odhitaş såto  Ras_10.59c
evaüvihitadãkùastu  Ras_2.83c
evaü ÷ilàbhyo jãvebhyo  Ras_7.95c
evaü ÷ubhà÷ubhaü j¤àtvà  Ras_2.105a
evaü saükrãóamànàyàs  Ras_7.60a
evaü saügåhya sambhàraü  Ras_4.6a
evaü saügçhya sambhàràn  Ras_9.19a
evaü sukarmasaüyogaü  Ras_3.17c
eùa kàpàliko yogo  Ras_6.84a
eùàm ekarasena tu  Ras_11.26d
eùàü gandhàpahàraü yat  Ras_12.280c
eùàü cårõaü kùipedeùa  Ras_9.14c
eùàü rase óhàlayettat  Ras_7.109c
ai÷ànyàü rasavedhanam  Ras_2.108d
oùadhã ajanàyikà  Ras_12.28b
oùadhã kãdç÷ã nàtha  Ras_12.1a
oùadhã turasiühanã  Ras_12.66b
oùadhã parame÷vari  Ras_12.53b
oùadhãü vaktumarhasi  Ras_5.1d
oùadhyà ghàtitaş såto  Ras_11.220c
oùadhyo maõóape pràcyàü  Ras_2.107a
oükàràdinamo 'ntakam  Ras_2.76b
oü hrãü ÷rãü såtaràjasya  Ras_2.52c
aumadaõóavimardena  Ras_6.18e
auùadhaü peùayanti tàş  Ras_3.18d
auùadhãrahita÷càyaü  Ras_4.21a
auùadhaiş kramate såto  Ras_11.216a
kaïkàlakhecarãtaile  Ras_12.55a
kaïkàlakhecarã nàma  Ras_12.53a
kaïkuùñhavimalàbhrakaiş  Ras_8.59b
kaïkuùñhaü vidrumacchàyaü  Ras_7.88a
kaïkuùñhe tu catuùñayam  Ras_8.6b
kaïguõãtailasevanàt  Ras_12.139b
kaïgunã kçùõakanakaü  Ras_5.15a
kacchapena tu jàrayet  Ras_11.120f
ka¤cukãkandacitrakaiş  Ras_7.116b
ka¤cukã ca punarnavà  Ras_7.140b
ka¤cukã jalabindujà  Ras_5.2b
ka¤cukã tu ÷ilà kràntà  Ras_12.211a
ka¤cukã meùa÷çïgikà  Ras_5.11b
ka¤cukãrasabhàvitam  Ras_6.20b
ka¤cukokùãramadhyagam  Ras_6.37b
