Yasodhara: Rasaprakasasudhakara 
Based on the ed. by Jivram Kalidas Sastri
Gondal : Rasasala Ausadhasram, 1940


Input by Oliver Hellwig



PADA INDEX


The transliteration emulates Devanagari script.
Therefore, word boundaries are usually not marked by blanks


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akùarà kuñajà tathà  YRps_9.7b
athedànãü pravakùyàmi  YRps_1.150a
athedànãü pravakùyàmi  YRps_2.1a
athedànãü pravakùyàmi  YRps_2.65a
athedànãü pravakùyàmi  YRps_4.1a
athedànãü pravakùyàmi  YRps_5.1a
athedànãü pravakùyàmi  YRps_9.30a
athotthàpanakaü karma  YRps_1.45a
adhamo dhàtubandhastu  YRps_2.5c
adhastàjjvàlayetsamyak  YRps_4.100c
adhastàjjvàlayedagniü  YRps_10.49c
adhastàdrasayaütrasya  YRps_1.58a
adhaþ patati pàradaþ  YRps_1.55b
adhaþpàtanakaü càpi  YRps_10.2c
adhaþpàtanayaütraü hi  YRps_1.55c
adhaþpuùpã madhuràkhyà  YRps_9.34c
adhaþsthaü gràhayetsudhãþ  YRps_5.87b
adhaþsthàü sthàlikàü ÷ubhàm  YRps_1.51b
adhunà kathayiùyàmi  YRps_1.61a
adho'gniü jvàlayetsamyak  YRps_10.45e
adhobhàge vidhàtavyà  YRps_10.32a
adhordhvaü gaüdhakaü nyaset  YRps_4.28d
adhyàye'tra nidar÷itàni sakalànyevaü hi karmàõi vai  YRps_7.66d
adhye khoñaü nidhàya ca  YRps_2.89b
anayà kharparàdãnàü  YRps_10.22c
anayà sàdhitaþ såto  YRps_9.10c
anayormudraikà kàryà  YRps_5.76c
anupànaprabhedataþ  YRps_4.55b
anupànaprayogeõa  YRps_5.52a
anupànavi÷eùaõaü  YRps_5.100a
anupànena bhu¤jãta  YRps_1.164c
anupàne prayoktavyà  YRps_3.43a
anupànair yathocitaiþ  YRps_4.44b
anubhåtaü mayà kiücit  YRps_2.1c
anubhåtaü mayà kiücit  YRps_4.1c
anubhåtaü mayà khalu  YRps_6.29d
anubhåtaü mayaiva hi  YRps_4.76d
anena kràmaõenaiva  YRps_1.137a
anena vidhinà kàryaü  YRps_4.70c
anena vidhinà kàryaü  YRps_5.42c
anena vidhinà càbhraü  YRps_5.19c
anena vidhinà påryà  YRps_11.129c
anena vidhinà proktà  YRps_5.5c
anena vidhinà ÷eùam  YRps_4.83c
anena vidhinà samyak  YRps_4.31a
anena vidhinà samyak  YRps_11.18c
anena vidhinà samyag  YRps_4.73a
anena saha melayet  YRps_4.89d
anenaiva prakàreõa  YRps_1.64a
anenaiva prakàreõa  YRps_1.68c
anenaiva prakàreõa  YRps_1.85c
anenaiva prakàreõa  YRps_1.96a
anenaiva prakàreõa  YRps_1.119a
anenaiva prakàreõa  YRps_2.16c
anenaiva prakàreõa  YRps_2.27a
anenaiva prakàreõa  YRps_2.90a
anenaiva prakàreõa  YRps_2.93a
anenaiva prakàreõa  YRps_4.26a
anenaiva prakàreõa  YRps_5.47c
anenaiva prakàreõa  YRps_5.85c
anenaiva prakàreõa  YRps_5.128a
anenaiva prakàreõa  YRps_6.35a
anenaiva prakàreõa  YRps_11.103c
anenaiva vidhànena  YRps_5.87c
antaràlikasaüj¤itam  YRps_10.4b
andhakàramiva bhàskarodayaþ  YRps_8.9d
andhamåùàgataü dhmàtaü  YRps_11.37c
andhitaü tàmrapàtreõa  YRps_11.119a
andhitaü madhyasaüsthitam  YRps_2.47d
anyathà bhakùita÷caiva  YRps_1.159c
anyasyàmandhamåùàyàü  YRps_2.25c
anyàni ÷àstràõi suvistaràõi  YRps_4.118c
anyà pidhànikà måùà  YRps_1.122c
anye trayaþ suvarõasya  YRps_4.4c
anyeùàmeva lohànàü  YRps_4.11c
apakvaü màrayed dhruvam  YRps_4.83d
apathyaü naiva bhu¤jãyàd  YRps_3.52c
apare yamasannibhàþ  YRps_1.29d
apàmàrgakùàratoyais  YRps_6.42c
aputraþ putramàpnoti  YRps_12.8a
abdheþ÷oùakatailakam  YRps_1.141b
abhicàràdidoùà÷ca  YRps_2.107e
abhrakadrutibhiþ sàrdhaü  YRps_2.50a
abhrakaü jàyate dhruvam  YRps_5.22d
abhrakaü tàdç÷aü guõaiþ  YRps_5.28d
abhrakaü tàpyasatvaü ca  YRps_1.101c
abhrake jàyate dhruvam  YRps_5.15b
abhradrutivi÷eùeõa  YRps_2.6c
abhradrutisamàyoge  YRps_2.56a
abhradrute÷ca såtasya  YRps_1.98c
abhrabãjamanuttamam  YRps_1.113b
abhra÷eùaü kçtaü yacca  YRps_1.102a
abhrasatvaguõànvaktuü  YRps_5.52c
abhrasatvabhasitaü samàü÷akaü  YRps_7.39a
abhrasatvaü tathà tàpya-  YRps_2.102c
abhrasatvaü hi måùàyàü  YRps_1.97c
abhrasatvàtparaü nàsti  YRps_5.34c
abhràõàmeva sarveùàü  YRps_5.6a
abhràü÷ena tu ñaükaõam  YRps_5.17d
amalalohamayena ca darviõà  YRps_3.33a
amalasàrarajaþ parimucyatàm  YRps_3.14d
amçtaü garuóena ca  YRps_5.68b
amlatoyena saüsvinnaü  YRps_5.117a
amlapittavibandhaghnaü  YRps_5.74c
amlavargeõa pàcayet  YRps_5.44b
amlavargeõa saüyuktaü  YRps_1.50c
amlikà kàsamardikà  YRps_9.27b
amlena vai ÷udhyati màõikyàkhyaü  YRps_7.54c
amlena saha mardayet  YRps_4.31d
amle varge saptavàraü praóhàlya  YRps_11.123c
amlai÷ca guggulåpetaiþ  YRps_5.109a
amlauùadhàni sarvàõi  YRps_1.43c
aratnimàtre kuõóe ca  YRps_10.46a
arkakùãrairbhàvayecca trivàraü  YRps_8.22a
arkadugdhasamasaudhadugdhakaü  YRps_7.59c
arkadugdhena vai bhàvyaü  YRps_11.79a
arkamålabhavenaiva  YRps_2.19c
arkamålarasenaiva  YRps_2.18c
arkavajripayasà subhàvayet  YRps_8.11c
arjità nàtra saü÷ayaþ  YRps_5.120d
ardhacandràkçti÷càpi  YRps_1.39c
ardhacandrà hemapuùpã  YRps_9.19c
ardhabhàgaü ca daradaü  YRps_11.138c
ardhabhàge bhavecchuddhaü  YRps_11.73a
arbudasya gireþ pàr÷ve  YRps_6.87c
arbhakàþ pàtayetsarvàþ  YRps_11.137a
ar÷àüsi vividhàni ca  YRps_5.51d
ar÷o'jãrõajvaràdãü÷ca  YRps_4.56a
alambuùà ca halinã  YRps_9.20a
avanigartatale vinive÷aya  YRps_3.28d
avanigartam aratnikam àyataü  YRps_3.29a
a÷ãtirvàtajàn rogàn  YRps_4.93c
a÷macårõasya kaõikàm-  YRps_2.89a
a÷mapàtre'tha lohasya  YRps_1.110c
a÷marãmehakçcchraghnaü  YRps_5.116c
aùñagràsena sarvaü hi  YRps_1.113c
aùñadhàroùñhaphalakaþ  YRps_5.59a
aùñabhàgamiha tàrakaü kuru  YRps_7.38c
aùñamaü khecaràhvayam  YRps_6.1d
aùñamàü÷ena råpyena  YRps_2.80a
aùñaùaùñiriti proktà  YRps_9.21a
aùñaùaùñiriti proktà  YRps_9.29c
aùñaùaùñiriti proktàþ  YRps_9.39a
aùñaùaùñir mahauùadhyaþ  YRps_9.22a
aùñasaüskàritaü såtaü  YRps_2.85c
aùñàda÷a ca kuùñhàni  YRps_3.51c
aùñàda÷àü÷abhàgena  YRps_1.71a
aùñàvallã ràja÷amã  YRps_9.33a
aùñàügulaü ca sacchidraü  YRps_10.22a
aùñau cetsyuþ phàlakà bhàsuraü vai  YRps_7.23c
aùñau bhàgàþ prakartavyà  YRps_11.37a
aùñau mahàrasàþ samyak  YRps_1.7a
asevyau hi nirantaram  YRps_1.103d
asthibhakùamalabaügamàritaü  YRps_11.88a
aharahaþ praõamàmi ca ÷àradàm  YRps_1.2d
ahiripum ahitulyaü sàritaü såtaràje  YRps_11.35a
ahobhiþ saptabhistathà  YRps_2.94d
ahoràtreõa sarvàõi  YRps_11.135a
aügàrakoùñhikà nàma  YRps_10.30a
aüdhamåùàgataü golaü  YRps_2.39c
aüdhamåùàgataü pa÷càn  YRps_2.67a
aüdhamåùàgataü såtaü  YRps_1.153a
àkallo vai gaüdhakaþ sàrùapeõa  YRps_8.14c
àkçùya kila kaõóayet  YRps_11.131d
àtmaguptàphalaü ÷uùkaü  YRps_12.1a
àdau tu vamanaü kçtvà  YRps_1.160a
àpårya kokilair gartaü  YRps_10.37c
àpåryànte svai rasaiþ ÷àkajairvà  YRps_11.33d
àmàjãrõapra÷amano  YRps_6.37a
àmàjãrõabhavàn rogàn  YRps_6.67e
àmàjãrõaü pra÷amayel  YRps_6.51a
àyuþpradastridoùaghno  YRps_5.62a
àyuþpradaü vçùyatamaü pradiùñaü  YRps_7.35a
àraõyairvà gomayaistaddhañhàgnau  YRps_7.34d
àraõyotpalakaiþ kàryà  YRps_4.9c
àraü dvàda÷abhàgamaùñaraviõo bãjaü caturthàü÷akam  YRps_11.90/a
àruùkareõa sahità  YRps_3.48c
àrdraü kçtvobhayaü samyak  YRps_12.2a
àsàü niyàmikànàü ca  YRps_2.38c
àhàraü madhuraü bhajet  YRps_12.6d
àhçtya tasmàdvaragolakaü hi  YRps_7.62b
iïgudãpatraniryàse  YRps_2.29c
iïgudãmålaniryàse  YRps_2.8a
iti paramarahasyaü såtaràjasya coktaü  YRps_2.109a
iti bhaveddaradàd varasåtakaþ  YRps_3.4d
iti mayà kathità rasapoñalã  YRps_3.30e
iti ÷àstravido 'bruvan  YRps_1.147d
itthaü saüsevite såte  YRps_1.165a
itthaü såtodbhavaü j¤àtvà  YRps_1.22a
idaü kràmaõakaü ÷reùñhaü  YRps_1.137c
indragopanibhaü gràhyaü  YRps_11.26c
indragopa÷ca tuvarã  YRps_1.135c
indragopasamaü satvam  YRps_5.87a
indranãlamatha vàrinãlakaü  YRps_7.41a
indravàruõikàkàhve  YRps_9.26a
iyanmànà dvitãyà ca  YRps_1.49c
iùñikà jalayantrakam  YRps_10.3b
iùñikàbhàgayugmakam  YRps_11.49b
iùñikàyantrayogena  YRps_1.153c
ã÷varã càparàjità  YRps_9.13b
uccañà ce÷varã latà  YRps_9.2b
ucyate pàradaþ svayam  YRps_1.17d
ucyate ÷àstrakovidaiþ  YRps_10.50f
ujjvalaü hi viniþsaret  YRps_4.23d
utkhanyotkhanya yatnena  YRps_2.41c
uttamo målikàbandho  YRps_2.5a
uttamo haüsapàkakaþ  YRps_6.76b
uttaraïgasya cordhvataþ  YRps_10.32d
utthàpanaü bhavetsamyak  YRps_1.46e
utpalaü piùñakaü chàõam  YRps_10.53a
udake ca vilãyeta  YRps_5.108c
udayabhàskaranàmaraso hyayaü  YRps_3.12a
udaraü pàõóu÷ophaü ca  YRps_4.54a
uditadhàtugaõasya ca måùikàü  YRps_3.7c
udità rasavàdibhiþ  YRps_5.2f
uddiùñaü navasàràkhyaü  YRps_6.68a
udde÷ato mayàtraiva  YRps_1.25e
upari gartavareõa ca saüyutà  YRps_3.23b
upari tatra jalena niùi¤cayed  YRps_3.4c
upari tatra nive÷aya ca bhàjanaü  YRps_3.32d
upari nàgarasena vilepità  YRps_3.28a
upari vàlukayà paripårya tac  YRps_3.30a
upariùñàt pidhànaü tu  YRps_10.38c
upariùñàtpuñaü dadyàt  YRps_10.51c
upariùñàdadhastàcca  YRps_10.50c
uparisthàm adhovaktràü  YRps_1.51c
uparyupari patràõi  YRps_4.42c
upalaü ca gariõóakam  YRps_10.53b
uùõakàüjikatoyena  YRps_1.41a
uùõakàüjikatoyena  YRps_1.111a
uùõakàüjikayogena  YRps_2.87c
ånacatvàriü÷adatra  YRps_10.8c
årdhvagaü satvamàharet  YRps_6.8d
årdhvadvàre vinikùipet  YRps_10.34d
årdhvapàtanakaü ca yat  YRps_10.2b
årdhvapàtanayaütrasya  YRps_1.48c
årdhvapàtanayaütraü hi  YRps_1.54a
årdhvapàtastvadhaþpàtas  YRps_1.48a
årdhvayantreõa pàtayet  YRps_2.28d
årdhvalagnaü tu gràhayet  YRps_11.66b
årdhvaügaü gràhayedrasam  YRps_1.53d
ålakena subhàvayet  YRps_5.33d
çkùaü somakalà latà  YRps_9.1f
çddhiþ ÷oùiõyadhoguptà  YRps_9.22c
eka eva kathitastu so'malaþ svedito'pi saha cårõajalena  YRps_8.5/a
ekacchàyaü snigdhavarõaü guru syàt  YRps_7.42a
ekabhàgastathà såto  YRps_11.5a
ekabhittau ca gartakam  YRps_10.31b
ekameva nalikàbhidhànakaü  YRps_6.52c
ekaviü÷ativàràõi  YRps_2.29a
ekaviü÷atisaükhyayà  YRps_13.8d
ekaü bhàgaü vatsanàbhaü ca kuryàd  YRps_8.20a
ekãkçtya vasàmeùàm  YRps_1.124a
ekenàraõyakena ca  YRps_2.26b
ekaikaü vañakaü prage  YRps_12.6b
ekaikàyà rasenàpi  YRps_9.10a
ekaikenauùadhenaivaü  YRps_2.96c
ekaikotpalavçddhitaþ  YRps_2.26d
etatsvarõabhavaü karotica rajaþ saundaryatàü vai sadà  YRps_4.20a
etasyàpi samàharet  YRps_6.64d
etànyanyàni tailàni  YRps_1.141c
etànyeva samàni ca kçtvà dravyàõi mardayecca dinam  YRps_1.134/b
etàsàü svarasenaiva  YRps_2.105c
etàsàü svarasaiþ païkair  YRps_2.77a
ete proktà saptasaükhyà guõà vai  YRps_7.14c
ete mahàrasà÷càùñàv  YRps_5.2e
ete'ùñau dhàtavo j¤eyà  YRps_4.3e
etair liïgair lakùitaü cottamaü hi  YRps_7.42d
etairliügaiþ saptabhiþ kùepaõãyam  YRps_7.43d
etaiþ samànamahiphenamanena càbhraü ÷vetaü nidhàya madhunà vañakàn vid  YRps_13.10b
ebhir liïgairlakùitaü vai garãyaþ  YRps_7.46c
eraõóataile ghçùñaü tad  YRps_11.118c
eraüóamålasya rasena såtaü  YRps_3.53c
elãyaþ syàtpippalã ÷reyasã ca  YRps_8.14b
eva dvàda÷ayàmakam  YRps_11.111d
evaü kçte gràsamànaü  YRps_1.85a
evaü kçte trivàreõa  YRps_4.98e
evaü kçte dvistrivàraü  YRps_11.25c
evaü kçte samaü càbhraü  YRps_1.114a
evaü kçtvà tacca cårõaü vidheyam  YRps_8.34d
evaü gajapuño bhavet  YRps_10.45f
evaü tailaü tu sàraõam  YRps_1.124b
evaü nàgo vi÷uddhaþ syàn  YRps_4.96c
evaü pa¤cavidhaþ smçtaþ  YRps_1.144b
evaü puñatrayaü dattvà  YRps_4.10c
evaü påtidvayenaiva  YRps_1.102c
evaü mustàrasenàpi  YRps_5.21a
evaü saüjàritaü bãjaü  YRps_1.129c
evaü saü÷odhito gandhaþ  YRps_6.35c
eùà càügàrakoùñhã ca  YRps_10.35a
eùà màtrà rase proktà  YRps_1.164a
oùadhàni samàü÷àni  YRps_1.32c
auùadhaü dhàrayenmadhye  YRps_10.42a
auùadhànàü ca sàdhanam  YRps_10.46f
auùadhãnàü samàkhyàtà  YRps_1.10a
auùadhe nopapadyate  YRps_6.15f
kakupsu bhåmau patito hi nånam  YRps_1.15b
kaïkuùñhakaü tiktakañåùõavãryaü  YRps_6.57a
kaïkolakatugàkùãrã-  YRps_13.2c
kaïkollaü cec caüdanaü kuükumaü ca  YRps_8.31b
kacchapasya ca rasena marditam  YRps_3.64d
kajjalãü ca nidhàpayet  YRps_4.42d
ka¤cukàþ sapta såtasya  YRps_1.27a
kañukà viùanà÷inã  YRps_6.13d
kañhinatvaü prajàyate  YRps_2.11b
kañhinatvaü prayàtyeva  YRps_2.90c
kañhinaü tàmravarõakam  YRps_6.79d
kañhino vajrasadç÷o  YRps_2.33a
kaõavãrà suraktàïgã  YRps_6.17a
kaõàkùaudreõa sahità  YRps_3.45a
kaõàdvayasamanvitam  YRps_4.49d
kaõàmadhvàjyasaümi÷raü  YRps_5.66c
kaõóayellohapàrayà  YRps_5.47b
kaõóåpàme vinà÷ayet  YRps_3.48b
kaõóåþ pàmà ca na÷yati  YRps_6.45b
kathayàmi yathàtatham  YRps_1.5b
kathayàmi yathàtatham  YRps_1.36d
kathayàmi yathàtathyaü  YRps_1.93c
kathayàmi yathàrthataþ  YRps_1.27b
kathayàmi samàsena  YRps_1.70c
kathayàmi savistaram  YRps_1.8b
kathayàmi savistaràt  YRps_1.9d
kathayàmi suvistaram  YRps_1.47b
kathayàmi suvistaram  YRps_1.101b
kathayàmi suvistaram  YRps_1.139b
kathaü bandhakaro bhavet  YRps_1.131b
kathitavyaü yathoditam  YRps_1.87b
kathitaü tanmayà spaùñaü  YRps_2.58a
kathitaü pàradasya vai  YRps_2.11*d
kathitaü bhiùaguttamaiþ  YRps_1.96d
kathitaü rasavedibhiþ  YRps_5.12b
kathitaü somadevena  YRps_4.50c
kathitaü hi mayà samyak  YRps_1.60a
kathitaþ sàdhakàya vai  YRps_2.17b
kathità dehakarmaõi  YRps_1.76d
kathità rasamàraõe  YRps_10.27d
kathità varamåùà sà  YRps_10.13e
kathitàþ pårvasåribhiþ  YRps_4.21d
kathito'tra mayà khalu  YRps_6.45d
kathito nàtra saü÷ayaþ  YRps_11.21d
kathito'pi rasàgame  YRps_2.2d
kathyate gurumàrgataþ  YRps_1.97b
kathyate 'tra prayatnena  YRps_1.158c
kathyate 'tra mayà khalu  YRps_1.116b
kathyate lohamàraõe  YRps_4.75b
kathyate sà kaniùñhikà  YRps_6.71b
kathyate hi laghu vàrinãlakaü  YRps_7.41c
kathyante'tra mayàdhunà  YRps_9.1b
kathyante'tra mayàpi ÷odhanam idaü satvaü mçti÷cocyate  YRps_6.22d
kathyante'ùñau ÷àstrata÷càpakarùàt  YRps_7.21d
kadalyàþ kùàrakeõaiva  YRps_11.128c
kanakapatrarasena ca saptadhàpy  YRps_3.28c
kanakamålarasena ca pàcitaü  YRps_3.37c
kanakaratnasu÷obhita÷ekharaü  YRps_1.3c
kanakena ca såtakaþ  YRps_1.71b
kanãyànudare chidraü  YRps_1.57a
kanyàpatre nive÷ayet  YRps_4.37b
kapotapuñamucyate  YRps_10.47b
kaphadoùaviùàpaham  YRps_4.91f
kaphadoùaviùàpaham  YRps_4.94d
kaphavàtavinà÷inã  YRps_6.73b
kaphàmayavinà÷inã  YRps_3.47b
karaõãyaü prayatnena  YRps_1.45c
karabhàgurukuükumam  YRps_13.2b
karamità sukçtàpi hi cuhlikà hy  YRps_3.32c
karavallã latà caiva  YRps_9.6a
karavãrajañodbhave  YRps_2.81d
karavãrà ÷ivàñikà  YRps_9.38b
karahàñasya cårõakam  YRps_13.11d
karãùàgnau vipàcayet  YRps_2.14d
karoñividhinà samyak  YRps_1.78c
karotyeva na saü÷ayaþ  YRps_2.11d
karka÷aü ca laghu cippañaü sadà  YRps_7.50a
karka÷aü cipiñaü vakraü  YRps_7.6c
karõamalaü mahiùãõàü strãdugdhaü ñaükaõena sammi÷ram  YRps_1.134/a
karõe kaõñhe tathà haste  YRps_2.107c
kartavyaü bhiùaguttamaiþ  YRps_1.29f
kartavyaü rasavàdinà  YRps_4.36d
kartavyaü lohasaüpuñam  YRps_1.78d
kartavyaü lohasaüpuñam  YRps_1.81b
kartavyaü vatsaràvadhi  YRps_2.9d
kartavyaü ÷àstravartmanà  YRps_1.151d
kartavyàni prayatnataþ  YRps_4.44d
kartavyà sthàlikà ÷ubhà  YRps_1.49d
kartuü kena na ÷akyate  YRps_1.86d
karpårasadç÷aü ÷vetaü  YRps_5.116a
karpåràkhyaü ÷ilàjatu  YRps_5.116b
karbåraþ ÷yàmavarõa÷ca  YRps_5.60c
karmàõyaùñàda÷aiva hi  YRps_1.25d
karùapramàõaü nitaràü prabhàte  YRps_12.13d
karùamàtramitaiþ puñam  YRps_10.52b
karùamàtràn vipàcayet  YRps_12.4d
karùamànàü baügacakrãü  YRps_4.81c
karùamità tvakpayasà pãtaü reto dhruvaü dhatte  YRps_13.14/b
kaladhåtabhavàni ca  YRps_1.144d
kalàügulas tadàyàma÷  YRps_1.38a
kalàü÷avyoùasaüyuktaü  YRps_6.46a
kalka evaü prajàyate  YRps_11.109d
kalkamadhye viniþkùipya  YRps_4.49a
kalkametad adhordhvaü hi  YRps_1.136a
kalkaü tatprocyate budhaiþ  YRps_1.106d
kalkaü dadyàtprayatnena  YRps_11.76a
kalkena parilepità  YRps_2.19d
kalkena lepitànyeva  YRps_1.144e
kalkenàtha prayatnataþ  YRps_4.9b
kalkenànena sahitaü  YRps_1.107a
kalhàra÷ca guóåcikà  YRps_3.50b
kavalàni na saü÷ayaþ  YRps_1.79d
kavalitaþ kùayarogagaõàpaho  YRps_3.34c
kaùàyaü raktapittanut  YRps_6.80d
kaùàyà madhurà kàükùã  YRps_6.13c
kastårãdhanasàràbhyàü  YRps_2.51a
kasyàpi nuþ sidhyati vai druti÷ca  YRps_7.65a
kaükuùñhamàyàti hi satyamuktam  YRps_6.56d
kaükuùñhaü kunañã tathà  YRps_6.1b
kaükolaü tulasãbãjaü  YRps_13.1c
kaüguõãtailameva ca  YRps_1.140b
kàkatuüóà kuùñhaharà  YRps_4.110c
kàkamàcijavibhaktikàjalair  YRps_3.63a
kàkamàcãrasena vai  YRps_11.78b
kàkamàcãrasenaiva  YRps_2.46a
kàkamàcã ràja÷amã  YRps_5.57c
kàkàõóolàmbumålikà  YRps_9.33d
kàcakåpyàü kùipet sarvaü  YRps_11.67a
kàcakåpyàü nidhàpayet  YRps_11.102d
kàcakåpyàü nidhàyàtha  YRps_11.97c
kàcakåpyàü nive÷ayet  YRps_2.96d
kàcakåpyàü nive÷ayet  YRps_4.90b
kàcakåpyàü vinikùipya  YRps_11.80a
kàcacårõaü tato dattvà  YRps_1.136c
kàcañaükaõaguüjàjya-  YRps_5.45a
kàcañaükaõayogena  YRps_2.42a
kàntyà yuktaü kàrùõyagarbhaü ca nãlaü  YRps_7.41e
kànyakubjasamutthitam  YRps_5.78d
kàmapradãptiü kurute sadaiva  YRps_12.15d
kàmalàpàõóunà÷anam  YRps_5.116d
kàmasya dãptiü kurute  YRps_6.50a
kàmasya bodhaü kurute hi ÷ãghraü  YRps_12.13e
kàmàgnivçddhiü sahasà karoti  YRps_12.16b
kàminãnàü ÷ataü gacched  YRps_2.100a
kàmbojikà÷vinã tathà  YRps_9.36b
kàmbojãrasakenàpi  YRps_2.38a
kàrayecca bhiùagvaraiþ  YRps_1.57d
kàrayetkanakasya ca  YRps_2.72b
kàrayedbhiùaguttamaþ  YRps_3.50d
kàrayedrajataü varam  YRps_11.117d
kàrayedvañakàn ÷ubhàn  YRps_5.39d
kàrayenmatimàn bhiùak  YRps_4.41b
kàrayenmatimàn vaidyaþ  YRps_13.9a
kàravellakadarduraþ  YRps_5.118b
kàravellajarasairdinaü tathà  YRps_8.6d
kàravellyà rasaiþ pçthak  YRps_5.39b
kàrità måùikà ÷ubhà  YRps_10.14d
