Nagnajit: Citralaksana (= NCit)
Based on the ed. by Asoke Chatterjee Sastri: The Citralakùaõa : An Old Text of Indian Art, 
Sanskrit, Tibetan and English Version. Calcutta 1987 (Bibliotheca Indica Series, 315)



Input by members of the Sanskrit Buddhist Input Project.
With kind permission of the Digital Sanskrit Buddhist Canon Project
of Nagarjuna Institute, Nepal
and University of the West, Rosemead, California, USA
(www.uwest.edu/sanskritcanon)
Version: 2009-03-19 13:29:40
Proof Reader: Milan Shakya



The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod bhayajid ràjà  NCit_1.39c
adhiùñhànaü prabhàvaü ca  NCit_2.11c
anàmikàïgulãmànaü  NCit_3.75a
anukuryurna karttavyo  NCit_1.71c
anukrameõa vistçtà  NCit_3.135b
anumatistathà mama  NCit_1.75d
antaraü svodarànnanu  NCit_3.54b
antaràkhacitaü kçùõaü  NCit_3.31c
anyapradar÷anena kim  NCit_3.156d
apratirodharupaü tad  NCit_1.40c
apramàdena càdaraþ  NCit_2.6e
aprasannaü yamaü dçùñvà  NCit_1.59a
apriyo na yathà yàyàt  NCit_3.151a
abhimànaü ca varjayet  NCit_1.60d
amaïgalaü bhayaü bhavet  NCit_3.147d
ardhacandraprabhàyuktà-  NCit_3.136c
ardhalalàñagàminau  NCit_3.19d
ardhàïguli÷caturyavà  NCit_3.6c
alaükàràstrasaüyutaü  NCit_2.8b
alpocco mukhakoõaþ syàt  NCit_3.37c
avikùiptena gçhyatàü  NCit_3.47c
avikùiptena cittena  NCit_3.103e
avirodhena satkàraþ  NCit_1.65a
avraõà mçdavaþ pårõàþ  NCit_3.70c
a÷eùaü parimàõaü ca  NCit_2.20c
a÷okaü prãtimàpede  NCit_1.69c
a÷rutikàraõàn nanu  NCit_3.153d
aùñayåkà yavaþ smçtaþ  NCit_3.5f
aùñalikùà bhaved yåkaþ  NCit_3.5e
aùñàïgulipramàõakau  NCit_3.63d
aùñàda÷a prabàho÷ca  NCit_3.88e
aùñàda÷àïgulà ÷roõã  NCit_3.49c
aùñàùñaguõavçddhyà vai  NCit_3.4c
aùñottara÷ataü j¤eyaü  NCit_3.9c
asaükhyànàü ca vàõànàü  NCit_1.39a
astu puõyaü samà÷ritam  NCit_2.12b
astraü vavarùa dharmaràñ  NCit_1.40d
asthi càdar÷anaü gatam  NCit_3.68d
asmai prãtyà ca dhãmate  NCit_1.29d
asya bràhmaõaputrasya  NCit_1.76a
ahaïkànarayuta bhåtaü  NCit_1.62c
àkaràdaùñacatvàri÷at  NCit_3.91c
àkarùaõe sutaü tasya  NCit_1.25c
àkàreõedç÷enaiva  NCit_1.106a
àku¤citamçdusnigdha  NCit_3.128a
àkçtãrlakùaõànvitàþ  NCit_1.104b
àgaccha mama dàsa hi  NCit_1.26b
àgamadàhavàd drutam  NCit_1.43d
àgrahasyàti÷ayyaü ca  NCit_1.37a
àghàtaü visçjet sadà  NCit_1.66b
àcaùñe bhåpatiü tathà  NCit_2.1b
àjagàma svayaü tatra  NCit_1.47c
àtithyaü vidhivat kçtvà  NCit_1.98c
àtmahaste gçhãtavàn  NCit_1.45d
àdau candramasaü vande  NCit_1.4a
àdau saülikhitatvàcca  NCit_1.91a
àdyutpanna¤ca doùeõa  NCit_2.23a
àpnoti nindukaþ sadà  NCit_1.61d
àbhàdç÷yà bhaved dhruvam  NCit_3.134d
àyamo dvàda÷àïguliþ  NCit_3.12d
àyàma÷ca tathàrohaþ  NCit_3.80a
àyàma÷ca tathaivàsya  NCit_3.13c
àyàma÷caturaïgulaþ  NCit_3.56d
àyàma÷ca yathàyathaü  NCit_3.132c
àyàma÷caikakàïguliþ  NCit_3.22b
àyàmastryaïgula proktaþ  NCit_3.60c
àyàmaþ saptakàïguliþ  NCit_3.102d
àyàmaþ svàïgulidvayam  NCit_3.34b
àyàmàrohamànaü ca  NCit_3.139c
àyàmàrohaþ kãrttitaþ  NCit_3.94d
àyàme càïgulãnàü hã  NCit_3.97c
àyàme tryaïgulistathà  NCit_3.38b
àyàme dvyaïgulaü meóhraü  NCit_3.53a
àyàme na tathàrohe  NCit_3.57b
àyàmena prakà÷itaþ  NCit_3.7b
àyàme yavayugmakàþ  NCit_3.106d
àyàmo jaïghayoþ kàryaþ  NCit_3.55a
àyàmo dvàda÷àïgulaþ  NCit_3.14b
àyàmo bàhubhàgasya  NCit_3.89c
àyàmo mukhagàgasya  NCit_3.42a
àyàmo mukhabhàgasya  NCit_3.12a
àyàmo 'ùñayavaþ kàrya  NCit_3.77e
àyuùà sahitasyaiva  NCit_2.4c
àroha÷ca tathàyàmaþ  NCit_3.163c
àroha÷caturaügulam  NCit_3.13a
àrohastasya madhyasya  NCit_3.97a
àrohastu yavà nava  NCit_3.77f
àrohaþ ùaóyavastasya  NCit_3.35c
àrohaþ syàttu meñrasya  NCit_3.49a
àrohàthàmamànaü tu  NCit_3.160e
àrohàyàmapãnatve  NCit_3.145a
àrohàyàmamànaü tu  NCit_3.87a
àrohàyàmayoþ ràjan  NCit_3.148a
àrohàyàmayoþ sarvaü  NCit_3.103a
àrohàyàma÷obhitaþ  NCit_3.98b
àrohe kathità budhaiþ  NCit_3.49d
àrohe caturaïguliþ  NCit_3.65f
àroheõa ùaóaïguliþ  NCit_3.56f
àrohe triyavà j¤eyà  NCit_3.106c
àrohe tryaïgulà matàþ  NCit_3.66d
àroho nàpriyo yàyàt  NCit_3.162e
àroho bhujayoryastu  NCit_3.91a
àroho vadanasyàtra  NCit_3.12e
àlocyàtra pradar÷inam  NCit_3.160f
àvirbhåtena brahmaõà  NCit_1.54a
iti mànaü nigadyate  NCit_3.6d
itthamukte suvuddhimàn  NCit_1.54b
itthaü caraõamànaü syàn  NCit_3.72e
itthaü påjàbhavad vi÷va-  NCit_2.18e
itthaü màdhuryamaõóitaþ  NCit_3.127d
indranãlasabhàþ kçùõà  NCit_3.111c
ime devàþ prasannà÷ca  NCit_2.11a
ãdç÷airlakùaõairyuktaü  NCit_3.44a
ãùadromau manoharau  NCit_3.130c
ucchràyaparimàõakam  NCit_3.10b
ucchràya÷cakravartinàü  NCit_3.9a
ucchràya÷ca tathàyàmo  NCit_3.8a
ucchràya÷ca tathàyàmo  NCit_3.26a
ucchràya÷ca tathaivàsya  NCit_3.34e
ucchràye caturaïgulau  NCit_3.53f
ucchràyeõa tu pàrùõãnàü  NCit_3.60a
ucchràye dvyaïgulirhanur  NCit_3.38a
ucchràyo navarat strãõà  NCit_3.161a
ucyate citralakùaõam  NCit_1.3d
ucyate citralakùaõaü  NCit_1.8c
utkùiptakaõñhamànaü hi  NCit_3.38e
utkùiptaü pçthivãpatiþ  NCit_1.45b
uttamapuruùàdãnàü  NCit_3.156e
uttamamadhyamàdhama-  NCit_3.163a
uttamaþ puruùo j¤eyaþ  NCit_3.120c
uttamàdhamamadhyama-  NCit_3.160c
uttamàpratirodhyà ca  NCit_1.16c
utpaladalavannetraü  NCit_3.29a
utpaladalasannibham  NCit_3.27d
utpalapatranetrasya  NCit_3.24a
utpalàbhaþ sadà rakto  NCit_3.86a
utpàdanãyametaddhi  NCit_1.87c
utsàhamatiyuktebhyaþ  NCit_1.108f
udarasya tathàntarà  NCit_3.48b
uditaü tatra dçùñavàn  NCit_1.26d
udyato 'bhåt sadaivàsau  NCit_1.84c
unnataü ca bhaved dhruvam  NCit_3.85d
unnataþ kara÷obhakaþ  NCit_3.86d
unnataþ pçùñhabhàga syàt  NCit_3.40c
unnatau kramikau smçtau  NCit_3.19b
upadi÷atu kàrtsnyena  NCit_1.100c
upadi÷atu me prabho  NCit_1.99d
upadiùñà÷ca tà mayà  NCit_1.89d
upadiùño dvijapriyaþ  NCit_1.68b
upade÷amanusçtya  NCit_1.97a
upayukteùu sarveùu  NCit_3.144a
ubhayostu tathà bàhvãr  NCit_3.88a
urddhabhàge tvadhãbhàge  NCit_3.12c
urdhve tu viü÷atirmatà  NCit_3.98d
uùõãùasya bhaved dhruvaü  NCit_3.13b
årvorgulphayo÷caiva  NCit_3.55c
çddhiguõasamàyuktaü  NCit_1.13c
ekaü vàlàgramucyate  NCit_3.5b
ekàgramanasà tattu  NCit_1.102a
ekàïgulistathà madhyaþ  NCit_3.20a
ekàïgulistathà ràj¤à  NCit_3.161c
ekàïgulo bhaved dhruvam  NCit_3.15f
ekaikàïgulito nyånàþ  NCit_3.67a
etaddvijasutàkçtim  NCit_1.53b
etàdç÷asya bhåpateþ  NCit_1.18d
eteùàü devadehastu  NCit_3.117a
evamuktaþ punarbhåpaþ  NCit_1.35a
evamukte narendreõa  NCit_1.101a
evambhåte sthite ràùñre  NCit_1.14a
evaü kçte sati brahmà-  NCit_2.5c
evaü cintayatastasya  NCit_2.6a
evaü vavatviti pràhur  NCit_2.18a
e÷aþ spaùña÷ca raktimaþ  NCit_3.109d
airàvatasamànau hi  NCit_3.134a
airàvatasya vçühatã  NCit_3.110a
omityekàkùaraü tasmàd  NCit_2.3c
oùñha ekàïguliþ smçtaþ  NCit_3.35d
oùñhàntau vimbavad raktau  NCit_3.37a
kañide÷astathà nàbher  NCit_3.52e
kañide÷asya ÷obhanam  NCit_3.52d
kañiràvartità bhavet  NCit_3.133b
kaõñhastribalibhiryuktaþ  NCit_3.40a
kaõñhasya tu samucchàya÷  NCit_3.38c
kathayàmàsa tau tadà  NCit_1.49f
kathaü janà÷ca jànãyuþ  NCit_2.6c
kathaü rodiùi bho vipra  NCit_1.19c
kathito nçpatistadà  NCit_1.20b
kadàcinna paràïguleþ  NCit_3.9d
kaniùñikàttayàrohaþ  NCit_3.65a
kaniùñhikàpyadãrghà syàt  NCit_3.75c
kaniùñhikàsamucchràya-  NCit_3.67c
kamaladalakoùasya  NCit_3.120a
karaõãyaþ sadà nçpaiþ  NCit_1.65b
karaõãyo mayà kùitau  NCit_1.72b
karatalasu÷obhanam  NCit_3.82b
karasyaivaü vidhànataþ  NCit_3.82d
karõade÷asya càyamo  NCit_3.15a
karõayoràkçtiþ samà  NCit_3.130b
karõayorluñike tasya  NCit_3.131a
karõarandhrasamànakaþ  NCit_3.16d
karõasya luñikàmànaü  NCit_3.17a
karõàrandhrasya càroha  NCit_3.15e
karttavyaþ kambuvat sadà  NCit_3.40b
karmànusàriõã bhåmir  NCit_1.34c
kalàþ sarvàþ samà÷ritàþ  NCit_1.93f
ka÷o 'ùñàïgulakaü mànaü  NCit_3.39c
kasyàpyàkarùaõe tyàge  NCit_1.31c
kàminàü ca tathà strãõàü  NCit_3.27a
kàyamàna vicàrataþ  NCit_3.47b
kàrpàsaspar÷akomalaü  NCit_3.84c
kàryo bhinno vãcakùaõaiþ  NCit_3.149d
kàlasya na tu karmaõaþ  NCit_1.50d
kàlàgnisadç÷aü dçùñvà  NCit_1.45a
kàlena mahatàkçùño  NCit_1.33c
kiü bhavet parimàõena  NCit_3.151c
kãdç÷aü và bhavettathà  NCit_1.100b
kukùipçùñe su÷obhite  NCit_3.141a
kutaþ krodhàþ kuto malàþ  NCit_1.11d
kutràpi na sukhaü bhavet  NCit_1.67b
kuryàt karatalaü ÷ubham  NCit_3.84f
'ku÷ala iha bhàvini  NCit_1.71d
ku÷alaü càku÷alaü và  NCit_1.34a
kårmapçùñasamàkàrau  NCit_3.64a
kårmavat màüsalau tathà  NCit_3.136b
kçtavantastathà ime  NCit_2.11d
kçtavàn supriyaü tathà  NCit_1.68d
kçpayà bråhi me brahman  NCit_1.86a
kena mànena ÷obhanàþ  NCit_1.105a
ke÷acåçà manoharàþ  NCit_3.113d
ke÷ariõaþ sañàprabhàþ  NCit_3.113b
ke÷à na syurmahàtmanàm  NCit_3.114d
ke÷ànàü parimaõóalair  NCit_3.115c
ke÷ànàü pràntabhàgàttu  NCit_3.96a
kokilàbhàþ ÷iroruhàþ  NCit_3.112b
komala÷ca sulakùaõaþ  NCit_3.109b
komalau haritau smçtau  NCit_3.136f
kramàdaïguùñhayormithaþ  NCit_3.80b
kramike ÷aïkhasannibhau  NCit_3.131b
krameõoccàvacau punaþ  NCit_3.93b
kriyate jayamaügalam  NCit_1.1d
kruddhasya duþkhitasyaiva  NCit_3.28c
kruddhena tena vipreõa  NCit_1.20a
kroçato 'pahçtaþ sutaþ  NCit_1.22d
krodhayuk roùayuk caiva  NCit_3.43c
kùamàvalambanãyà syàt  NCit_1.65c
kùaumasåtramanoharam  NCit_3.84d
gaïgà nadiùu ÷reùñhaiva  NCit_1.94c
gacched grantho vi÷àlatàm  NCit_3.155d
gajaràjagatiryasya  NCit_3.121a
gajavat sabalau pàdau  NCit_3.122a
gaja÷uõóasamà jaïghà  NCit_3.135a
gatirasya bhavedràjan  NCit_3.123e
gandharvàõàü ca ràjendra  NCit_1.109c
gabhãrà syàd yathàyatham  NCit_3.133d
gambhãraü såkùmakaü tathà  NCit_3.83b
girãõàü sumeruþ ÷reùñhaþ  NCit_1.92a
guõine na dviùennçpaþ  NCit_1.65f
guõottamasya bhåpasya  NCit_1.10a
gulphalagnaprade÷asya  NCit_3.56c
gulphàde÷astathà nàçã  NCit_3.59a
gulphàde÷àdadhobhàga÷  NCit_3.72a
gulpho 'dç÷po bhavet tathà  NCit_3.135d
gçhyatàü lokahetave  NCit_3.103f
gokùãravarõavatsnigdhaü  NCit_3.30a
gojã càrdhàïgulistathà  NCit_3.36b
gopucchàgrasamau tàvat  NCit_3.93a
graheùu somabhàskarau  NCit_1.94d
ïgulicakrapadàïkitau  NCit_3.136d
cakrarekhàsvalaïkçtau  NCit_3.137f
cakravartimahãpasya  NCit_3.63a
cakravartimahãpànàm  NCit_3.10a
cakravartã sa ucyate  NCit_3.142f
cakravarttinarendrasya  NCit_3.156a
cakravarttã sadà bhavet  NCit_3.139b
cakràdilakùaõairyuktaü  NCit_3.62a
cakùurunmãlya sànandaü  NCit_1.55c
cakùuvat tàrakocchràyo  NCit_3.23a
cakùuùodvaryaïgulàroha  NCit_3.22a
cakùuþ syàt sumanoharam  NCit_3.129d
catasra÷ca prajàstàsàü  NCit_2.4a
caturaïgalisamucchràyo  NCit_3.15c
caturaïgulakaü matam  NCit_3.41d
caturaïgulakaü smçtam  NCit_3.38d
caturaïgulako mataþ  NCit_3.72d
caturaïgulako mataþ  NCit_3.76b
caturaïgulamànakam  NCit_3.11f
caturaïgulaü sthànaü syàt  NCit_3.101c
caturaïguliko 'ïguùño  NCit_3.61a
caturaïgulimàtrakaþ  NCit_3.33b
caturaïgulimànakaþ  NCit_3.36d
caturasraü ca vij¤eyaü  NCit_3.100c
caturasraü mukhaü pårõaü  NCit_3.42c
caturõàü ca tathà ràj¤àü  NCit_3.152a
caturda÷àïgulaü kañyà  NCit_3.51a
caturbhàgena mukhyataþ  NCit_3.148d
catuþ÷atamitàïgulam  NCit_3.158d
catvàri÷acchubhà dantàþ  NCit_3.106a
candrakàntasamujjvalàs  NCit_3.70a
campakadàma÷obhitaþ  NCit_3.138a
caraõamitisaüj¤itam  NCit_3.72b
caràcarayutà vçkùà  NCit_1.91c
càkàle 'pahçto yo 'sau  NCit_1.28c
cànupårvyeõa saügatà  NCit_3.132d
càpàkàrà bhavet sadà  NCit_3.18d
càyamaþ syàd da÷àïguliþ  NCit_3.39b
càyuþ prajàþ prapedire  NCit_1.10d
càruke÷aþ sunàsikaþ  NCit_3.128b
càrudeho mahãpateþ  NCit_3.142e
càrumaõóalayukta÷ca  NCit_3.102e
càrvoùñaü raktimàpårõaü  NCit_3.128c
càùñàïgulisamanvitaþ  NCit_3.102b
citramiti prasiddhaü tat  NCit_1.79c
citramityucyate tataþ  NCit_1.91b
citramãdç÷aü saülekhyaü  NCit_1.108a
citra÷àstravi÷àradaiþ  NCit_3.159d
citra÷àstreùu dãkùitaþ  NCit_3.31f
citra÷ilpasya ÷àstraü tu  NCit_1.101c
citrasandar÷ane tàvad  NCit_1.108e
citrasaüracanàya vai  NCit_1.84b
citrasaülekhanakramam  NCit_1.86b
citrasya parinirmito  NCit_2.1d
citrasya lakùaõaü karma  NCit_1.99c
citrasya lakùaõàni me  NCit_1.86c
citrasya lekhanena ca  NCit_1.76b
citraü saülikhyate yataþ  NCit_1.90b
citràkàraü vinirmame  NCit_2.9d
citràviùkàrako bhava  NCit_1.76d
cintayat jagato hitam  NCit_2.5d
civukasya tathà mànaü  NCit_3.41c
civunàsàlalàñaü và  NCit_3.11e
cetyapçcchad dvijaü nçpaþ  NCit_1.19d
caityànàü karaõàyaiva  NCit_1.90a
jagadeta¤caràcaram  NCit_1.69d
jagadvandyaü bhavet sadà  NCit_1.77d
jagàma svagçhaü mudà  NCit_1.81d
jagràha pratihiüsayà  NCit_1.44d
jaïkhopajaïkhasundaram  NCit_3.143d
jaïgamà÷ca yathàsthitàþ  NCit_1.91d
jaïghayoþ sthålatàmànaü  NCit_3.57e
jaïghàgramunnataü kuryàt  NCit_3.58a
jaïghàdvayasya tasyordhaü  NCit_3.57c
jaïghàyàþ pa÷cimo bhàgaþ  NCit_3.59c
jaïghàsu kaõñhagaõóeùu  NCit_3.114c
jatruto hçdayaü yàvan  NCit_3.50a
janma pràpya ca mànuùam  NCit_1.51d
jambunadasamàhçta-  NCit_3.119a
jàtãkusumasaükà÷aü  NCit_3.107c
jàtyà balena dànena  NCit_1.63c
jànuparyantagàminau  NCit_3.93d
jànupràpta udãryate  NCit_3.94b
jàyatàü kila paõóitàþ  NCit_1.2d
jàlarekhàïkitàþ koõàþ  NCit_3.113c
jàlarekhànibhà ke÷àþ  NCit_3.111a
jàlarekhaiþ su÷obhanaiþ  NCit_3.115b
jihvàsãmà ca lohitam  NCit_3.107b
jãvayituü lilekha taü  NCit_1.54c
jãvitaü putramàsàdya  NCit_1.56a
j¤àtavyamiti ni÷citam  NCit_3.4d
j¤eya ekàïguliþ kç÷aþ  NCit_3.161b
j¤eyametanna cànyathà  NCit_3.38f
j¤eyaü tad dvyaïgulaü nånaü  NCit_3.48c
j¤eyaü pa¤càïgulaü sadà  NCit_3.89d
j¤eyaü mattastvathà ràjan  NCit_1.107a
j¤eyaü sadà mahãpate  NCit_3.96d
¤yaïgulaü jànubhàgasya  NCit_3.57a
taccaraõasamucchràyaþ  NCit_3.72c
taccitramiti kathyate  NCit_1.91f
tataþ prajà mayà sçùñà  NCit_1.89c
tataþ pretàdhipo devo  NCit_1.44a
tataþ sthålastrimànataþ  NCit_3.39d
tato 'dharmeõa ràjyaü taü  NCit_1.21a
tat tathaiva pravakùyàmi  NCit_3.1c
tatparàyaõamànasaþ  NCit_2.13b
tat praùñuü sçùñikattariü  NCit_1.85c
tatra nindà bhaved dhruvam  NCit_1.61b
tatra svàïgulinà kàryaü  NCit_3.144c
tatraiva pravive÷a ca  NCit_1.83d
tathà caraõayornçpa  NCit_3.162d
tathà ca ÷i÷unà kçtam  NCit_1.51b
tathà càpànukàrakau  NCit_3.37b
tathà citraü kalàsu vai  NCit_1.92d
tathànirdiùñapa¤cadhà  NCit_3.155b
tathà parva ca dç÷yate  NCit_3.140d
tathà pralikhanàtteùàü  NCit_1.91e
tathàbhåt dharaõãtale  NCit_1.9f
tathà mànaü vicàrayet  NCit_3.151b
tathà mànaü vidhãyatàm  NCit_3.162f
tathàrohasamucchràyau  NCit_3.7c
tathà ÷reùñhaü bhaveccitraü  NCit_1.95c
tathà suspaùñasaüyutàþ  NCit_3.70b
tathaiva citrakarmaõi  NCit_1.93e
tathaiva madhyade÷ã hi  NCit_3.56e
tathauùñhasya vivarõitaþ  NCit_3.42b
tadà liptau babhåvatuþ  NCit_1.37d
taditara¤ca yad bhavet  NCit_3.46a
tadvadeva bhaved dhruvam  NCit_3.75b
tad vij¤eyaü ca devànàü  NCit_3.46c
tapasà ÷uddhamànasaþ  NCit_1.75b
tapasemaü guõaü nçpàþ  NCit_1.71b
taptakà¤canavarõakaþ  NCit_3.119b
tamavocad nçpaü yamaþ  NCit_1.38d
tamo hatvà jalàt kila  NCit_2.2d
tayaiva dãyate ÷àntis  NCit_2.17c
tayoritthaü babhåva ha  NCit_1.37b
tarjanyà nyånatà bodhyà  NCit_3.74c
talaü saptàïgulaü dãrghaü  NCit_3.73c
talau padmasamau raktau  NCit_3.82c
tava dåtena durdhiyà  NCit_1.28d
tava ÷àsanakàle 'smin  NCit_1.20c
tavàdau lekhakakhyàtiþ  NCit_1.79a
tasmàt ràjan vijànãyàn  NCit_1.32c
tasmàdaõóàt pràdurabhåt  NCit_2.3a
tasmàd j¤eyaü tathaiva tat  NCit_1.90d
tasmàd ràjendra hastena  NCit_3.94a
tasmin de÷e raõàkule  NCit_1.47d
tasminnupàyavidyeyaü  NCit_1.52c
tasmai kàmasya siddhaye  NCit_2.13e
tasmai bhaktàya sarvataþ  NCit_2.17d
tasmai ràj¤e hyupàdi÷at  NCit_1.101d
tasyàdho màüsapiõóa÷ca  NCit_3.77a
tasyàroho yathàkraman  NCit_3.132b
tasyàþ pàr÷vàïgulermadhye  NCit_3.71c
tàdç÷eõa kùitàvàdi-  NCit_1.76c
tàni tubhyaü vadàmyaham  NCit_3.95d
tàrakaü ÷rãsukhapradam  NCit_3.31d
tiùñha tiùñheti ta ràjà  NCit_1.38a
tãkùõàgraparimaõóalaü  NCit_3.108c
tãkùõànàü parivarùaõam  NCit_1.39b
tubhyamadya pradãyate  NCit_2.20d
tubhyaü pradar÷ayàmi ced  NCit_3.155c
tubhyaü mayà prada÷ryate  NCit_1.109f
tubhyaü sa upadekùyati  NCit_1.96d
tçõakhaõóàõiva pràõàn  NCit_1.24c
tejasà påritaü vacaþ  NCit_1.30d
tejasvã vãryavàn ràjan  NCit_3.139a
tena trasyanti càlpaj¤à  NCit_3.153c
tena durlakùaõena vai  NCit_1.46d
tena mànaü dhruvaü bhavet  NCit_3.156f
tena ràjà mahàkruddho  NCit_1.41a
teùàmatra pradar÷itaþ  NCit_3.163d
tyajanti sarvamànavàþ  NCit_1.62d
trastasya rudata÷caiva  NCit_3.28a
trikoõaü và prajànà¤ca  NCit_3.45c
trikoõà kuñilà vçttà  NCit_3.43a
tribhàgastàrakà hyasya  NCit_3.22c
tribhàgena vibhaktaü ca  NCit_3.11c
triloke÷aþ prajàpatiþ  NCit_1.81b
trilokeùu ca påjyànàü  NCit_2.22a
tryaïgulisammito bhavet  NCit_3.77b
tvatsavidhe tyajàmyaham  NCit_1.24d
tvaü sadà pçthivãpate  NCit_1.72d
tvàcàryàü÷ca punaþ punaþ  NCit_1.5d
