Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittamaþ  KDA_465d
abhakùyabhakùaõàc caiva  KDA_216c
abhidrutàni nàgena  KDA_360c
abhuktaü kùãyate naiva  KDA_479a
abhu¤jànaþ svayaü sukham*  KDA_429b
ayaü pravrajito bhåtvà  KDA_464c
araõàvihàriõàü càgro  KDA_477a
araõãgarbhasaübhåtaþ  KDA_122a
arthibhyaþ pràrthitaü vastu  KDA_439c
arhatàm agrasaüpràpto  KDA_469c
arhatàü jyeùñhatàü pràptas  KDA_470c
arhan saübuddhasevakaþ  KDA_364b
avadànàrthakovidaiþ  KDA_162d
avasanti puõyatãrtheùu  KDA_46c
avigaõayya pàpàni  KDA_381c
asan màrgo samàråóho  KDA_407a
asusaüsthitadharmàõaü  KDA_69c
astramantràdyabhij¤o 'pi  KDA_402c
asmin* kalpe ca bhadrake  KDA_460b
asyaiva ÷asane càhaü  KDA_469a
aham api ca bhåyàsaü  KDA_21c
ahipårõo yathà hradaþ  KDA_401d
ahiüsà nirmamatvaü và  KDA_268a
ahiüsà brahmacaryaü ca  KDA_260a
aho de÷eùu sarvatra  KDA_345c
aho daivabalàdhànàt  KDA_82a
ahoràtraü caren muktas  KDA_266c
àkà÷agàmino priyàþ  KDA_215a
àkà÷acitto dhanasàravàsã  KDA_327 b
àkà÷asya guõa÷ caikaþ  KDA_102a
àkçter bhedalakùaõam*  KDA_142d
à garbhàd bàlakaü sutam*  KDA_428b
àtmanãva dayà syàc cet  KDA_414a
àtmànam àtmanà hatvà  KDA_390a
àtharvaõàt prayatnataþ  KDA_39b
àtharvaõàd vinirhçtya  KDA_40c
àdau krodharipuü jitvà  KDA_68a
àdyante pa÷avo devà  KDA_92a
àdhàto ya÷ ca satveùu  KDA_308c
àmantrya bhikùavaþ sarve  KDA_13c
iccàmi tvatprasàdataþ  KDA_300d
itas tataþ samudbhràntàþ  KDA_357c
itas tataþ samudbhràntàþ  KDA_361c
iti krodhaü vinirjitya  KDA_413a
iti tasya vacaþ ÷rutvà  KDA_76a
iti tãrthyair vikalpitam*  KDA_198b
iti tena munãndreõa  KDA_455a
iti tair bhikùubhiþ pçùño  KDA_458a
iti dçùñvà ca te satvà  KDA_450a
iti dharmaguõàdhànàt  KDA_95a
iti ni÷citya cittena  KDA_342a
iti ni÷citya cittena  KDA_355a
iti ni÷citya sà devã  KDA_290a
iti pitur vacaþ ÷rutvà  KDA_64a
iti pçùño nçpeõàsàv  KDA_3a
iti praõidhiü kurvàõo  KDA_22a
iti matvà guru÷ cainaü  KDA_89a
iti matvà tvayà ràjan  KDA_483c
iti matvà pità bhåtiþ  KDA_40a
iti vede 'pi kathyate  KDA_92b
iti ÷rutvà guror vàkya  KDA_281a
iti ÷rutvà mahàvij¤o  KDA_252a
iti ÷rutvàryadharmàõi  KDA_317a
iti ÷rutvà vacas tasya  KDA_303a
iti ÷rutvà vacas tasya  KDA_449a
iti ÷rutvà subhåtiþ sa  KDA_299a
iti saünahya cittena  KDA_350a
iti siddhàntasaümatam*  KDA_94d
iti subhàùitaü ÷rutvà  KDA_485a
iti so 'rhan subhåtis tàn  KDA_365a
iti hi bhikùavo yåyaü  KDA_477c
itthaü duþkhànuvedã sa  KDA_410a
ityàdipàtakaü kçtvà  KDA_408c
ity uktam avadànikaiþ  KDA_106d
ity uktam avadàne 'pi  KDA_118a
ity ukte bhagavàn dçùñvà  KDA_323a
ity ukto guruõà so 'bhåt  KDA_77a
ity enaü krodhasaüraktaü  KDA_81a
ity evaü cintayàmàsa  KDA_351c
ity evaü manur abravãt*  KDA_113d
idaü kùãram idaü màüsam  KDA_153a
idaü ghçtam idaü dadhi  KDA_153b
idànãü tu tathà caitaü  KDA_332a
ime dharmà hi catvàra÷  KDA_316a
ãdç÷o yo bhaved dvijaþ  KDA_258b
uktaü ca mànave dharme  KDA_109a
udakaiþ klidyate naiva  KDA_479e
udbhràntendriyacetasà (Speyer: yataþ kle÷àø)  KDA_472b
upaguptasya sadguroþ  KDA_485b
upaguptaü guruü natvà  KDA_1c
upagupto yatã÷varaþ  KDA_3b
upaghàtàhate citte  KDA_335a
upàdhyàyà hi te dvijàþ  KDA_165d
upekùàto labhet saukhyaü  KDA_315c
upekùàpi sadà dhàryà  KDA_315a
urva÷ãgarbhasaübhåto  KDA_124a
årubhyàm eva saübhavà  KDA_246b
årubhyàü saübhavo vai÷yaþ  KDA_242c
çddhiü pradar÷ya saübodhau  KDA_354c
çddhyà sàkà÷amàrgeõa  KDA_304c
çùayas te dvijottamàþ  KDA_168d
çùayo brahmacàriõaþ  KDA_128b
çùicaryàü samàcara  KDA_42d
çùibhir yogibhi÷ càmbu-  KDA_375a
çùibhiþ karmavàdibhiþ  KDA_107b
çùiùu preùayitvainaü  KDA_39c
çùya÷çïgo mahàmuniþ  KDA_125b
ekaràtroùitasyàpi  KDA_271a
ekavarõam idaü vi÷vaü  KDA_261a
ekavarõam idaü sarvaü  KDA_130a
ekàkã nirjane vane  KDA_292b
ekànte hi vaseyaü ca  KDA_338c
ekàü÷ato vi÷eùo na  KDA_151c
ekendriyakriyàrthà÷ ca  KDA_131c
ekendriyakriyàrthà÷ ca  KDA_262c
ekaikaü guõavçddhitaþ  KDA_101b
etac caõóàlalakùaõam*  KDA_206d
etad icchàmi bho j¤àtuü  KDA_251c
etad dhi paramaü brahma-  KDA_278a
etad bràhmaõalakùaõam*  KDA_205d
etad bràhmaõalakùaõam*  KDA_268d
etad bràhmaõalakùaõam*  KDA_269d
età brahmavihàràkhyàþ  KDA_443a
età vinà na ÷obhanti  KDA_444a
età vinà na sidhyanti  KDA_445c
età hi paramàcàryàþ  KDA_445a
etàü÷ ca garudàn dçùñvà  KDA_357a
evam anye 'pi ye lokà  KDA_440a
evam anye 'pi sarve ca  KDA_128a
evam çddhiprabhàvàõi  KDA_363a
evam etan mahàràja  KDA_483a
evaü cànye 'pi ye satvà  KDA_185a
evaü cànye 'pi ye satvà  KDA_194a
evaü cet tava và¤chàsti  KDA_67a
evaü militayogai÷ ca  KDA_104c
evaü subhåtinà tena  KDA_451a
eùa me ÷ràvakàõàü ca  KDA_454a
ehi bhikùo carasveti  KDA_323c
ehi vatsa cara brahma-  KDA_76c
ehãti proktaþ sa jinena muõóo  KDA_324a
auùadhàdipariùkàra-  KDA_10a
kañhinàkhyo mahàmuniþ  KDA_122b
kathaü te bràhmaõà naiva  KDA_230a
kathaü dharmavi÷uddhità  KDA_243d
kathaü na bràhmaõà nu te  KDA_232d
kadàcit kupita÷ càyaü  KDA_286a
kadàcit kupito ruùñeþ  KDA_87a
kadàcit kupito roùàl  KDA_38c
karuõà ca tathà kàryà  KDA_313a
karuõà svàtmaje 'pi ca  KDA_442b
karomi lokabodhanam*  KDA_352b
karmakriyàvi÷eùeõa  KDA_261c
karma kvàpi kathaücana  KDA_479b
karmaõàpi dvijo naiva  KDA_231a
karmaõà vai dvijà÷ caivaü  KDA_231c
karmabhedàt tathàcàra-  KDA_224a
karmasaüskàrajàs tvamã  KDA_201b
karmasu sukhavà¤chibhiþ  KDA_481d
karmàcàrapramàõataþ  KDA_228b
karmàcàrapramàõena  KDA_230c
karmàõi prakçtàny api  KDA_471b
karmàõi mi÷ritàni ca  KDA_481b
karmàdhànabalàbhyàsàn  KDA_283c
kalpakoñi÷atair api  KDA_478d
kalpakoñisahasràõi  KDA_348a
kalpakoñisahasràõi  KDA_444c
kalyàõavartmade÷aka  KDA_75b
kalyàõàdhvàvatàrakàn*  KDA_382b
kasya nàma bhavec cittam  KDA_414c
kàni punar anenaiva  KDA_471a
kàni bhadanta karmàõi  KDA_457a
kà nu tatra vi÷eùatà  KDA_138d
kàpàlikà÷ ca te vãràþ  KDA_172c
kàmabhogyàni ye hitvà  KDA_47a
kàmeùv asaktàþ kaunteya  KDA_267c
kàyasaüsthànabhedatà  KDA_141b
kàyena manasà vàcà  KDA_273c
kàruõyahitamànasà  KDA_290b
kàruõyàd vardhate dharmas  KDA_313c
kàlikàs te 'pi mànavàþ  KDA_191d
kà÷yapena sutàyinà  KDA_466d
kà÷yapo nàma nàyakaþ  KDA_461b
kàùñhapàùàõavat sthitaþ  KDA_352d
kàùñhapàùàõavadvçthà  KDA_292d
kim atra dhyànasaülãnaþ  KDA_352a
kimarthaü vasase caivam  KDA_292a
kim eva svàtmapoùiõaþ  KDA_50d
kiyat kàlaü ca jãveyaü  KDA_352c
kiücin na bhedalakùaõam*  KDA_158d
kiücin nimittamàtre 'pi  KDA_78c
kiücin nimittamàtre 'pi  KDA_86c
kiücin nimittasaüruùño  KDA_30c
kiü tavàtharvavedena  KDA_42a
kiü tasya brahmavçttena  KDA_52c
kiü tu krodhàvi÷uddhàtmà  KDA_86a
kiü tu prakùiptavastånàü  KDA_220c
kiü bhàti muniveùeõa  KDA_51c
kiü và bràhmaõalakùaõam*  KDA_251b
kiü vàsti bhedakàraõam*  KDA_137d
kiü vi÷eùatvalakùaõam*  KDA_160d
kiü syàt saüskàramàtrataþ  KDA_210d
kuta÷ cyuto 'ham àyàtaþ  KDA_329c
kuto deheùu bhedatà  KDA_151d
kutra kena ca karmaõà  KDA_329d
kutràpy asti vi÷eùatà  KDA_218d
kuntapipãlikàdiùu  KDA_348d
kupathe carate kudhãþ  KDA_406d
kumàratvaü kramàt pràpto  KDA_29c
kurudhvaü pràõiùu kùamàm*  KDA_447d
kurvan mçtyum avàptavàn*  KDA_339d
kuladharmam anàdçtya  KDA_386c
kulena kiü ÷ãlavivarjitena  KDA_203b
kçtaü kalpasahasrair yad  KDA_337c
kçtà¤jalipuño mudà  KDA_74b
kçtà¤jalipuño 'vadat*  KDA_1d
kçtà¤jalis tathà natvà  KDA_64c
kçtàny api subhåtinà  KDA_457b
kçtvà ÷iùyo 'bhavan muneþ (Speyer: ÷ikùo)  KDA_319b
kçtvendriyavinigraham*  KDA_338b
kçmyàdhikãñaya÷ càpi  KDA_437a
kçùikàs te narà dhànyaiþ  KDA_178c
kçùõànàü kçùõatà khalu  KDA_480d
kecic ca pa÷cimàü di÷am*  KDA_17b
kecit pràcãü di÷aü gatàþ  KDA_16b
kecid dçùñvaiva màü yatim*  KDA_347b
ke te ye bràhmaõàþ proktàþ  KDA_251a
kenacit kle÷ita÷ càhaü  KDA_341c
kevalaü duþkhahetunà  KDA_55d
kevalaü pàpahetubhiþ  KDA_53d
kevalaü svamanas tuùñyai  KDA_353a
kaivartigarbhasaübhåto  KDA_123a
ko nàmàsti guõaþ sa sàdhudayito yo nànuyàto dayàm*  KDA_419b
kriyatàm iti so 'bravãt*  KDA_26d
kriyatàü yatnam àdaràt*  KDA_368b
kriyàbhir bràhmaõo na ca  KDA_259b
kriyàvàdena dç÷yate  KDA_196b
krãóamànà mahàpathe  KDA_152b
kråravàgvigrahotsukaþ  KDA_82d
krårà gçdhràdipakùiõaþ  KDA_437b
kråro lokopaghàtakaþ  KDA_331b
krodhakalaïkito yo hi  KDA_400a
krodhacittodbhavàni ca  KDA_396d
krodhacittodbhavàni hi  KDA_411d
krodhajiùõuþ samàhitaþ  KDA_72b
krodhataþ ÷àpavahninà  KDA_286b
krodhanaþ krårabhàùaõaþ  KDA_30b
krodhaparyàkulo naraþ  KDA_374d
krodham ekaü tu yo hanyàt  KDA_371c
krodhavàn na vibhàty eva  KDA_401c
krodhavàn naiva sevyatàm*  KDA_402d
krodhavàn paribhåyate  KDA_403d
krodhavàn vadhyate janaiþ  KDA_403b
krodhavàn hasyate lokaiþ  KDA_403a
krodhavàn hãyate mitraiþ  KDA_403c
krodhasaüraktamànasaþ  KDA_78b
krodhaü jitvàüvarair api  KDA_447b
krodhaü prahàtum àcare  KDA_332b
krodhaü målaü jagur jinàþ  KDA_412b
krodhàgniþ paridãpyate  KDA_335b
krodhàgniþ samudãritaþ  KDA_283b
krodhàc chàpahutà÷anaiþ  KDA_375d
krodhàt tato mahad bhayaü*  KDA_385d
krodhànalavidàhini  KDA_399b
krodhànalasamuddãpto  KDA_335c
krodhàriü yatnato jitvà  KDA_484a
krodhena tyajyate satyaü  KDA_395c
krodhena dhvaüsyate dharmaþ  KDA_395a
krodhena paribhàùyate  KDA_392b
krodhena bhidyate cittaü  KDA_405a
krodhena bhidyate lokaþ  KDA_392a
krodhena vilayaü gataþ  KDA_395b
krodhena hiüsyate jantus  KDA_392c
krodhenaiva tathà rudraþ  KDA_394a
krodhenaiva mahàrudra÷  KDA_393a
krodho dharmaviruddhatvàc  KDA_404a
krodho hi vasate yasya  KDA_71a
kle÷asaüghàn vinirjitya  KDA_317c
kle÷àd yair asamàhitam*  KDA_54b
kle÷àü÷ ca sarvàn pravihàya saüyataþ  KDA_326c
kle÷ito 'dhairyatàü vrajet  KDA_405d
kùatriyavai÷ya÷ådrà÷ ca  KDA_232c
kùatriyasya bhaved bhàryà  KDA_245c
kùatriyà bhaginã khalu  KDA_245d
kùatriyàs te nçpà naràþ  KDA_174d
kùamà dayà damo dànaü  KDA_269a
kùamàdharmapuraskçtaþ  KDA_484b
kùamaiva sàdhyatàü sadà  KDA_413b
kùàntivàdã vane vasan*  KDA_388b
kùàntyàdibhir guõair yuktas  KDA_253a
kùipraü kle÷àn vinirjitya  KDA_288c
kharo dvàda÷a janmàni  KDA_113a
gacchata bhikùavo yåyaü  KDA_14a
gaõakàs te 'pi mànavàþ  KDA_182d
gaõayanti divàni÷am*  KDA_182b
gandha÷ ca pçthivãguõàþ  KDA_104b
garuóànàü mahaujasàm*  KDA_356b
garuóàs tràsam àgatàþ  KDA_361b
garbhaþ samanuvardhitaþ  KDA_24b
gàyatrãmàtrasàro 'pi  KDA_270a
guõadharmapramàõena  KDA_162a
guõadharmànucàreõa  KDA_161a
guõadharmànusàrataþ  KDA_100b
guõadharmànusàrai÷ ca  KDA_93c
guõabhedàd bhaved dharma-  KDA_223a
guõavàn bràhmaõo bhavet*  KDA_132b
guõavàn bràhmaõo bhavet*  KDA_263b
guõavidyànidhir vidvàn  KDA_265c
guõàn sà hi prasåyate  KDA_416d
guõàsvàdàdibhedatà  KDA_148b
guõàþ kalyàõakàrakàþ  KDA_265b
guõair dharmais tathà ÷ãlair  KDA_133a
gurukçta÷ ca påjitaþ  KDA_6d
guruóai÷ ca mahàsarpais  KDA_8c
gurubhaktà÷ ca nirmadàþ  KDA_44b
gurur brahmavidàü varaþ  KDA_76b
guru÷ caivam acintayat*  KDA_81d
gurån saddharma÷àstéü÷ ca  KDA_382a
guro àj¤àü vahantas te  KDA_16a
guro brahmavidàü ÷reùñha  KDA_75a
guror àj¤àsamàdhçtaþ  KDA_282b
gocaram abhyalakùayat*  KDA_345b
ghnanti krodhaprabhàvataþ  KDA_381d
ghnanti krodhàd anàryakàþ  KDA_378d
ghnanti krodhoddhatà naràþ  KDA_382d
cakravàkau ÷aradvãpe  KDA_108a
caõóavçttipracàrà÷ ca  KDA_186c
caõóàlà api yonitaþ  KDA_137b
caõóàlà iti te smçtàþ  KDA_186d
caõóàlà nirghçõà raudràþ  KDA_438a
caõóàlãgarbhasaübhåto  KDA_126a
caõóàlo 'pi sa vipraþ syàl  KDA_58c
caõóàlo 'pi hi ÷ãlasthas  KDA_204c
catura÷ãti lakùà÷ ca  KDA_105c
caturthadhyànasaüyutaþ  KDA_343b
caturthaü bràhmalakùaõam*  KDA_256d
caturbrahmavihàratà  KDA_316d
caturbrahmavihàriõaþ  KDA_48b
caturbrahmavihàriõaþ  KDA_163d
caturbrahmavihàriõaþ  KDA_387b
caturbrahmavihàriõà  KDA_62b
caturyonisamudbhåtàþ  KDA_95c
caturvargaphalàptaye  KDA_316b
caturvargavinà÷akçt*  KDA_404b
catvàry eva samãraõe  KDA_103d
caranti vratam àdaràt*  KDA_171b
cara brahman vratottamam*  KDA_297d
cara brahmavihàriõam* (Speyer: brahmavihàraõam*)  KDA_278d
cara brahmavrataü samyag-  KDA_67c
cara bràhmaõyam àdaràt*  KDA_72d
cara saübodhisatpathe  KDA_293d
carasva vratam uttamam*  KDA_43d
cariùye tad vratottamam*  KDA_302b
cariùye brahmasadvratam*  KDA_65d
careyaü bhavamuktaye  KDA_75d
caryaü jitvà ùaó indriyam*  KDA_76d
càõóàlo 'pi hi vçttastho  KDA_259c
càturvarõyam idaü khalu  KDA_241d
càturvarõyam idaü lokam  KDA_198a
càturvarõyam idaü lokaü  KDA_240c
càturvarõyam idaü loke  KDA_161c
càturvarõyaü prakalpitam*  KDA_130d
càturvarõyaü pratiùñhitam*  KDA_261d
cic cheda brahmaõaþ ÷iraþ  KDA_393b
cittaü tathànumoditam*  KDA_303d
cittàni saüpradåùyaiva  KDA_473c
citte{na} parimohite  KDA_52d
citte mànamadàkule  KDA_71b
citte lokàrthaü sàdhitum*  KDA_53b
celakopàsakais tathà  KDA_11b
cchetàraü saü÷ayànàü taü  KDA_456c
cchedayàmàsa mastakam*  KDA_394d
chådro 'pi saüskçto dvijaþ  KDA_211d
chreùñhatvam iha yujyate  KDA_197b
jagannàthaü munã÷varam*  KDA_307b
jagàdaivaü puraþ sthità  KDA_290d
jantuþ krodhahavir bhujà  KDA_372b
jarà råpavatàü krodhas  KDA_373a
jalajànàü ca puùpàõàü  KDA_146a
jahàti krodhatas tathà  KDA_386d
jàtavedà yathàraõeþ  KDA_136d
jàtikundàdipuùpàõàü  KDA_145a
jàtidharmapravçttikàþ  KDA_185d
jàtibhedà bhavanti hi  KDA_161b
jàtibhedà hy aneka÷aþ  KDA_96b
jàtibhedàþ pravartitàþ  KDA_224d
jàtiùv api ca sarvàsu  KDA_96c
jàter naiva pramàõatà  KDA_162b
jàter liïgaü pçthak pçthak*  KDA_158b
jàtyà ced bràhmaõo bhåto  KDA_119c
jàtyàpi bràhmaõo naiva  KDA_119a
jànãdhvaü karmatàphalam*  KDA_477d
jinenàdvayavàdinà  KDA_118b
jino 'pi naiva ÷aknuyàt*  KDA_410d
jãvamàno bhavec chådro  KDA_111c
jãvamàno bhavec chådro  KDA_207c
jãva÷ ced bràhmaõas tàvad  KDA_91c
jãvitaü yasya lokàrthe  KDA_266a
jãvitàd vyavaropitaþ  KDA_22b
jugupsyo '÷ucir ucyate  KDA_138b
juhvatyagnau samàhitàþ  KDA_173b
jetavane manorame  KDA_12b
jainadharmaparàyaõàþ  KDA_193b
jainadharmànucàraõàt*  KDA_193d
j¤àtayo 'pi tathà ÷rutvà  KDA_27a
j¤àtvàryasatyadharmàõi  KDA_310c
j¤àtvà lokahitàrthena  KDA_278c
j¤ànadharmaguõàcàrair  KDA_221c
j¤ànadharmaguõàcàrair  KDA_222a
j¤ànavajreõa sàdhunà  KDA_398b
j¤ànavanta÷ ca ye dhãràs  KDA_229c
j¤ànavàn hi bhavet påjyo  KDA_218a
j¤ànavij¤ànadharmeùu  KDA_287c
j¤ànavij¤ànapàtratvàt  KDA_226c
j¤ànavij¤ànabhedena  KDA_222c
j¤ànavij¤ànamàtreõa  KDA_226a
j¤ànavij¤ànahãnatvàn  KDA_227a
j¤ànãnàhåya càdaràt*  KDA_26b
j¤ànena yadi và vipraþ  KDA_228c
j¤ànenàpi dvijo naiva  KDA_228a
jyeùñho 'raõàvihàriõàm*  KDA_457d
jyotir vidyàvido ye ca  KDA_182a
ta eva bràhmaõottamàþ  KDA_49d
ta kàruõyaü sadà kuru  KDA_313d
tac ca krodhaprabhàvataþ  KDA_376d
tac ca krodhaprabhàvataþ  KDA_380d
tac ca maitrãprabhàvataþ  KDA_428d
tac ca maitrãprabhàvataþ  KDA_429d
tac ca maitrãprabhàvataþ  KDA_430d
tac ca maitrãprabhàvataþ  KDA_431d
tac ca maitrãprabhàvataþ  KDA_432d
tac ca maitrãprabhàvataþ  KDA_433d
tac ca maitrãprabhàvataþ  KDA_434d
tac ca maitrãprabhàvataþ  KDA_435d
tac ca maitrãprabhàvataþ  KDA_436d
tac ca maitrãprabhàvataþ  KDA_440d
tac càpi krodhabhàvataþ  KDA_377d
taõóulãgarbhasaübhåto  KDA_127a
tata eva samàgçhya  KDA_304a
tata÷ ca kramatas tasyà  KDA_24a
tata÷ ca narakàn yàyàd  KDA_409a
tata÷ ca mànavo bhåtvà  KDA_115c
tata÷ cyutvàham àgataþ  KDA_330d
tatas tatsamaye pràpte  KDA_24c
tataþ kàlagatas tatra  KDA_23a
tataþ kle÷agaõàn hitvà  KDA_298a
tataþ kle÷àn vinirjitvà  KDA_279a
tataþ pità ca taü dçùñà  KDA_25a
tataþ påjà na càkçteþ  KDA_227d
tataþ prasàdajàto 'sau  KDA_309a
tato jàtimahaü kçtvà  KDA_26a
tato 'tyantaviruddhaü syàd  KDA_249a
tato dharmaprabhàveõa  KDA_448a
tato dharmàbhisaüskàraiþ  KDA_92c
tato 'nyad vanam à÷ritya  KDA_282a
tato màüsàni varjayet  KDA_215d
tato ye mànavàþ krårà  KDA_186a
tato vyàkaraõàdãni  KDA_35a
tato 'sau bhagavàüs tasya  KDA_310a
tat kathaü saücariùye 'tra  KDA_346c
tatkarmaphalato ràjà  KDA_116a
tatkçtabhàjaneùv api  KDA_220b
tat kçtaü yat subhåtinà  KDA_458d
tat ko 'nyaþ paribhokùyate  KDA_459b
tatkrodhàd aparo vairaþ  KDA_397a
tat tat karmànu÷ãlena  KDA_185c
tatpàpakarmaõà hy eva  KDA_394e
tat pravakùye yathà÷rutam*  KDA_4d
tatpràptyai sàdhyatàü yatnàc  KDA_316c
tatra ca vanaùaõóe yà  KDA_284a
tatra tatraiva sarvatra  KDA_424c
tatra pità dvijo bhåtir  KDA_37a
tatra pràpto munãn natvà  KDA_74a
tatra bhava samàhitaþ  KDA_89d
tatra sa buddhanàthàya  KDA_115a
tatrasthàs tena nàgena  KDA_20a
tatràdhivasato 'syàpi  KDA_283a
tatràpi karmabhedena  KDA_96a
tatràpi buddhanàthàya  KDA_116c
tatraiva garuóenaivaü  KDA_22c
tathà kramàd vivçddho 'sau  KDA_29a
tathàgato bhaviùyasi  KDA_468d
tathà ca kalpyate loka-  KDA_241a
tathà ca kùatriyà jàtà  KDA_245a
tathà ca procyate bauddhair  KDA_162c
tathàcàravi÷eùeõa  KDA_224c
tathà ced dhi bhaved doùo  KDA_243a
tathà dharmaþ kathaü bhavet*  KDA_248b
tathà dharme ca saügheùu  KDA_321c
tathà nàsti manuùyàõàm  KDA_142c
tathà nàsti manuùyàõàü  KDA_144c
tathà nàsti manuùyàõàü  KDA_148c
tathà nàsti manuùyàõàü  KDA_149c
tathà nàsti manuùyàõàü  KDA_150c
tathà nàsti yathànyàsu  KDA_158a
tathànumoditaþ pràha  KDA_299c
tathànyasatvajàtikaiþ  KDA_8d
tathànye ÷ilpavidyàdãn  KDA_181a
tathàpi daivasàmarthyàt  KDA_78a
tathà brahmaguõàdhànàd  KDA_280a
tathàbhåd ràvaõo nàma  KDA_238a
tathàraõàvihàriõàm*  KDA_470d
tathà vedàn adhãtyaivaü  KDA_36a
tathà÷u kçpayà nãtvà  KDA_302c
tathà satyaü manas tàta  KDA_65a
