Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittama÷  KDA_465d
anena kuÓalenÃhaæ  KDA_466a
anena ru«Âacittena  KDA_473a
anyathÃpi ca no bhÆtÃ  KDA_480a
anye 'pi bahava÷ santi  KDA_229a
anyonyaæ vigrahaæ k­tvÃ  KDA_389c
apaÓyat sa tataÓ ceti  KDA_330a
aprameyaæ yudhi«Âhira  KDA_264d
abhak«yabhak«aïÃc caiva  KDA_216c
abhidrutÃni nÃgena  KDA_360c
abhuktaæ k«Åyate naiva  KDA_479a
abhu¤jÃna÷ svayaæ sukham*  KDA_429b
ayaæ pravrajito bhÆtvÃ  KDA_464c
araïÃvihÃriïÃæ cÃgro  KDA_477a
araïÅgarbhasaæbhÆta÷  KDA_122a
arthibhya÷ prÃrthitaæ vastu  KDA_439c
arhatÃm agrasaæprÃpto  KDA_469c
arhatÃæ jye«ÂhatÃæ prÃptas  KDA_470c
arhan saæbuddhasevaka÷  KDA_364b
avadÃnÃrthakovidai÷  KDA_162d
avasanti puïyatÅrthe«u  KDA_46c
avigaïayya pÃpÃni  KDA_381c
asan mÃrgo samÃrÆ¬ho  KDA_407a
asusaæsthitadharmÃïaæ  KDA_69c
astramantrÃdyabhij¤o 'pi  KDA_402c
asmin* kalpe ca bhadrake  KDA_460b
asyaiva Óasane cÃhaæ  KDA_469a
aham api ca bhÆyÃsaæ  KDA_21c
ahipÆrïo yathÃ hrada÷  KDA_401d
ahiæsÃ nirmamatvaæ vÃ  KDA_268a
ahiæsÃ brahmacaryaæ ca  KDA_260a
aho deÓe«u sarvatra  KDA_345c
aho daivabalÃdhÃnÃt  KDA_82a
ahorÃtraæ caren muktas  KDA_266c
ÃkÃÓagÃmino priyÃ÷  KDA_215a
ÃkÃÓacitto dhanasÃravÃsÅ  KDA_327 b
ÃkÃÓasya guïaÓ caika÷  KDA_102a
Ãk­ter bhedalak«aïam*  KDA_142d
Ã garbhÃd bÃlakaæ sutam*  KDA_428b
ÃtmanÅva dayÃ syÃc cet  KDA_414a
ÃtmÃnam ÃtmanÃ hatvÃ  KDA_390a
ÃtharvaïÃt prayatnata÷  KDA_39b
ÃtharvaïÃd vinirh­tya  KDA_40c
Ãdau krodharipuæ jitvÃ  KDA_68a
Ãdyante paÓavo devÃ  KDA_92a
ÃdhÃto yaÓ ca satve«u  KDA_308c
Ãmantrya bhik«ava÷ sarve  KDA_13c
iccÃmi tvatprasÃdata÷  KDA_300d
itas tata÷ samudbhrÃntÃ÷  KDA_357c
itas tata÷ samudbhrÃntÃ÷  KDA_361c
iti krodhaæ vinirjitya  KDA_413a
iti tasya vaca÷ ÓrutvÃ  KDA_76a
iti tÅrthyair vikalpitam*  KDA_198b
iti tena munÅndreïa  KDA_455a
iti tair bhik«ubhi÷ p­«Âo  KDA_458a
iti d­«ÂvÃ ca te satvÃ  KDA_450a
iti dharmaguïÃdhÃnÃt  KDA_95a
iti niÓcitya cittena  KDA_342a
iti niÓcitya cittena  KDA_355a
iti niÓcitya sÃ devÅ  KDA_290a
iti pitur vaca÷ ÓrutvÃ  KDA_64a
iti p­«Âo n­peïÃsÃv  KDA_3a
iti praïidhiæ kurvÃïo  KDA_22a
iti matvÃ guruÓ cainaæ  KDA_89a
iti matvÃ tvayÃ rÃjan  KDA_483c
iti matvÃ pitÃ bhÆti÷  KDA_40a
iti vede 'pi kathyate  KDA_92b
iti ÓrutvÃ guror vÃkya  KDA_281a
iti ÓrutvÃ mahÃvij¤o  KDA_252a
iti ÓrutvÃryadharmÃïi  KDA_317a
iti ÓrutvÃ vacas tasya  KDA_303a
iti ÓrutvÃ vacas tasya  KDA_449a
iti ÓrutvÃ subhÆti÷ sa  KDA_299a
iti saænahya cittena  KDA_350a
iti siddhÃntasaæmatam*  KDA_94d
iti subhÃ«itaæ ÓrutvÃ  KDA_485a
iti so 'rhan subhÆtis tÃn  KDA_365a
iti hi bhik«avo yÆyaæ  KDA_477c
itthaæ du÷khÃnuvedÅ sa  KDA_410a
ityÃdipÃtakaæ k­tvÃ  KDA_408c
ity uktam avadÃnikai÷  KDA_106d
ity uktam avadÃne 'pi  KDA_118a
ity ukte bhagavÃn d­«ÂvÃ  KDA_323a
ity ukto guruïÃ so 'bhÆt  KDA_77a
ity enaæ krodhasaæraktaæ  KDA_81a
ity evaæ cintayÃmÃsa  KDA_351c
ity evaæ manur abravÅt*  KDA_113d
idaæ k«Åram idaæ mÃæsam  KDA_153a
idaæ gh­tam idaæ dadhi  KDA_153b
idÃnÅæ tu tathÃ caitaæ  KDA_332a
ime dharmÃ hi catvÃraÓ  KDA_316a
Åd­Óo yo bhaved dvija÷  KDA_258b
uktaæ ca mÃnave dharme  KDA_109a
udakai÷ klidyate naiva  KDA_479e
udbhrÃntendriyacetasÃ (Speyer: yata÷ kleÓÃø)  KDA_472b
upaguptasya sadguro÷  KDA_485b
upaguptaæ guruæ natvÃ  KDA_1c
upagupto yatÅÓvara÷  KDA_3b
upaghÃtÃhate citte  KDA_335a
upÃdhyÃyÃ hi te dvijÃ÷  KDA_165d
upek«Ãto labhet saukhyaæ  KDA_315c
upek«Ãpi sadÃ dhÃryÃ  KDA_315a
urvaÓÅgarbhasaæbhÆto  KDA_124a
ÆrubhyÃm eva saæbhavÃ  KDA_246b
ÆrubhyÃæ saæbhavo vaiÓya÷  KDA_242c
­ddhiæ pradarÓya saæbodhau  KDA_354c
­ddhyÃ sÃkÃÓamÃrgeïa  KDA_304c
­«ayas te dvijottamÃ÷  KDA_168d
­«ayo brahmacÃriïa÷  KDA_128b
­«icaryÃæ samÃcara  KDA_42d
­«ibhir yogibhiÓ cÃmbu-  KDA_375a
­«ibhi÷ karmavÃdibhi÷  KDA_107b
­«i«u pre«ayitvainaæ  KDA_39c
­«yaÓ­Çgo mahÃmuni÷  KDA_125b
ekarÃtro«itasyÃpi  KDA_271a
ekavarïam idaæ viÓvaæ  KDA_261a
ekavarïam idaæ sarvaæ  KDA_130a
ekÃkÅ nirjane vane  KDA_292b
ekÃnte hi vaseyaæ ca  KDA_338c
ekÃæÓato viÓe«o na  KDA_151c
ekendriyakriyÃrthÃÓ ca  KDA_131c
ekendriyakriyÃrthÃÓ ca  KDA_262c
ekaikaæ guïav­ddhita÷  KDA_101b
etac caï¬Ãlalak«aïam*  KDA_206d
etad icchÃmi bho j¤Ãtuæ  KDA_251c
etad dhi paramaæ brahma-  KDA_278a
etad brÃhmaïalak«aïam*  KDA_205d
etad brÃhmaïalak«aïam*  KDA_268d
etad brÃhmaïalak«aïam*  KDA_269d
etÃ brahmavihÃrÃkhyÃ÷  KDA_443a
etÃ vinÃ na Óobhanti  KDA_444a
etÃ vinÃ na sidhyanti  KDA_445c
etÃ hi paramÃcÃryÃ÷  KDA_445a
etÃæÓ ca garudÃn d­«ÂvÃ  KDA_357a
evam anye 'pi ye lokÃ  KDA_440a
evam anye 'pi sarve ca  KDA_128a
evam ­ddhiprabhÃvÃïi  KDA_363a
evam etan mahÃrÃja  KDA_483a
evaæ cÃnye 'pi ye satvÃ  KDA_185a
evaæ cÃnye 'pi ye satvÃ  KDA_194a
evaæ cet tava vÃ¤chÃsti  KDA_67a
evaæ militayogaiÓ ca  KDA_104c
evaæ subhÆtinÃ tena  KDA_451a
e«a me ÓrÃvakÃïÃæ ca  KDA_454a
ehi bhik«o carasveti  KDA_323c
ehi vatsa cara brahma-  KDA_76c
ehÅti prokta÷ sa jinena muï¬o  KDA_324a
au«adhÃdipari«kÃra-  KDA_10a
kaÂhinÃkhyo mahÃmuni÷  KDA_122b
kathaæ te brÃhmaïÃ naiva  KDA_230a
kathaæ dharmaviÓuddhitÃ  KDA_243d
kathaæ na brÃhmaïÃ nu te  KDA_232d
kadÃcit kupitaÓ cÃyaæ  KDA_286a
kadÃcit kupito ru«Âe÷  KDA_87a
kadÃcit kupito ro«Ãl  KDA_38c
karuïÃ ca tathÃ kÃryÃ  KDA_313a
karuïÃ svÃtmaje 'pi ca  KDA_442b
karomi lokabodhanam*  KDA_352b
karmakriyÃviÓe«eïa  KDA_261c
karma kvÃpi kathaæcana  KDA_479b
karmaïÃpi dvijo naiva  KDA_231a
karmaïÃ vai dvijÃÓ caivaæ  KDA_231c
karmabhedÃt tathÃcÃra-  KDA_224a
karmasaæskÃrajÃs tvamÅ  KDA_201b
karmasu sukhavÃ¤chibhi÷  KDA_481d
karmÃcÃrapramÃïata÷  KDA_228b
karmÃcÃrapramÃïena  KDA_230c
karmÃïi prak­tÃny api  KDA_471b
karmÃïi miÓritÃni ca  KDA_481b
karmÃdhÃnabalÃbhyÃsÃn  KDA_283c
kalpakoÂiÓatair api  KDA_478d
kalpakoÂisahasrÃïi  KDA_348a
kalpakoÂisahasrÃïi  KDA_444c
kalyÃïavartmadeÓaka  KDA_75b
kalyÃïÃdhvÃvatÃrakÃn*  KDA_382b
kasya nÃma bhavec cittam  KDA_414c
kÃni punar anenaiva  KDA_471a
kÃni bhadanta karmÃïi  KDA_457a
kÃ nu tatra viÓe«atÃ  KDA_138d
kÃpÃlikÃÓ ca te vÅrÃ÷  KDA_172c
kÃmabhogyÃni ye hitvÃ  KDA_47a
kÃme«v asaktÃ÷ kaunteya  KDA_267c
kÃyasaæsthÃnabhedatÃ  KDA_141b
kÃyena manasÃ vÃcÃ  KDA_273c
kÃruïyahitamÃnasÃ  KDA_290b
kÃruïyÃd vardhate dharmas  KDA_313c
kÃlikÃs te 'pi mÃnavÃ÷  KDA_191d
kÃÓyapena sutÃyinÃ  KDA_466d
kÃÓyapo nÃma nÃyaka÷  KDA_461b
kÃ«ÂhapÃ«Ãïavat sthita÷  KDA_352d
kÃ«ÂhapÃ«Ãïavadv­thÃ  KDA_292d
kim atra dhyÃnasaælÅna÷  KDA_352a
kimarthaæ vasase caivam  KDA_292a
kim eva svÃtmapo«iïa÷  KDA_50d
kiyat kÃlaæ ca jÅveyaæ  KDA_352c
kiæcin na bhedalak«aïam*  KDA_158d
kiæcin nimittamÃtre 'pi  KDA_78c
kiæcin nimittamÃtre 'pi  KDA_86c
kiæcin nimittasaæru«Âo  KDA_30c
kiæ tavÃtharvavedena  KDA_42a
kiæ tasya brahmav­ttena  KDA_52c
kiæ tu krodhÃviÓuddhÃtmÃ  KDA_86a
kiæ tu prak«iptavastÆnÃæ  KDA_220c
kiæ bhÃti munive«eïa  KDA_51c
kiæ vÃ brÃhmaïalak«aïam*  KDA_251b
kiæ vÃsti bhedakÃraïam*  KDA_137d
kiæ viÓe«atvalak«aïam*  KDA_160d
kiæ syÃt saæskÃramÃtrata÷  KDA_210d
kutaÓ cyuto 'ham ÃyÃta÷  KDA_329c
kuto dehe«u bhedatÃ  KDA_151d
kutra kena ca karmaïÃ  KDA_329d
kutrÃpy asti viÓe«atÃ  KDA_218d
kuntapipÅlikÃdi«u  KDA_348d
kupathe carate kudhÅ÷  KDA_406d
kumÃratvaæ kramÃt prÃpto  KDA_29c
kurudhvaæ prÃïi«u k«amÃm*  KDA_447d
kurvan m­tyum avÃptavÃn*  KDA_339d
kuladharmam anÃd­tya  KDA_386c
kulena kiæ ÓÅlavivarjitena  KDA_203b
k­taæ kalpasahasrair yad  KDA_337c
k­tÃ¤jalipuÂo mudÃ  KDA_74b
k­tÃ¤jalipuÂo 'vadat*  KDA_1d
k­tÃ¤jalis tathÃ natvÃ  KDA_64c
k­tÃny api subhÆtinÃ  KDA_457b
k­tvÃ Ói«yo 'bhavan mune÷ (Speyer: Óik«o)  KDA_319b
k­tvendriyavinigraham*  KDA_338b
k­myÃdhikÅÂayaÓ cÃpi  KDA_437a
k­«ikÃs te narÃ dhÃnyai÷  KDA_178c
k­«ïÃnÃæ k­«ïatÃ khalu  KDA_480d
kecic ca paÓcimÃæ diÓam*  KDA_17b
kecit prÃcÅæ diÓaæ gatÃ÷  KDA_16b
kecid d­«Âvaiva mÃæ yatim*  KDA_347b
ke te ye brÃhmaïÃ÷ proktÃ÷  KDA_251a
kenacit kleÓitaÓ cÃhaæ  KDA_341c
kevalaæ du÷khahetunÃ  KDA_55d
kevalaæ pÃpahetubhi÷  KDA_53d
kevalaæ svamanas tu«Âyai  KDA_353a
kaivartigarbhasaæbhÆto  KDA_123a
ko nÃmÃsti guïa÷ sa sÃdhudayito yo nÃnuyÃto dayÃm*  KDA_419b
kriyatÃm iti so 'bravÅt*  KDA_26d
kriyatÃæ yatnam ÃdarÃt*  KDA_368b
kriyÃbhir brÃhmaïo na ca  KDA_259b
kriyÃvÃdena d­Óyate  KDA_196b
krÅ¬amÃnÃ mahÃpathe  KDA_152b
krÆravÃgvigrahotsuka÷  KDA_82d
krÆrÃ g­dhrÃdipak«iïa÷  KDA_437b
krÆro lokopaghÃtaka÷  KDA_331b
krodhakalaÇkito yo hi  KDA_400a
krodhacittodbhavÃni ca  KDA_396d
krodhacittodbhavÃni hi  KDA_411d
krodhaji«ïu÷ samÃhita÷  KDA_72b
krodhata÷ ÓÃpavahninÃ  KDA_286b
krodhana÷ krÆrabhÃ«aïa÷  KDA_30b
krodhaparyÃkulo nara÷  KDA_374d
krodham ekaæ tu yo hanyÃt  KDA_371c
krodhavÃn na vibhÃty eva  KDA_401c
krodhavÃn naiva sevyatÃm*  KDA_402d
krodhavÃn paribhÆyate  KDA_403d
krodhavÃn vadhyate janai÷  KDA_403b
krodhavÃn hasyate lokai÷  KDA_403a
krodhavÃn hÅyate mitrai÷  KDA_403c
krodhasaæraktamÃnasa÷  KDA_78b
krodhaæ jitvÃævarair api  KDA_447b
krodhaæ prahÃtum Ãcare  KDA_332b
krodhaæ mÆlaæ jagur jinÃ÷  KDA_412b
krodhÃgni÷ paridÅpyate  KDA_335b
krodhÃgni÷ samudÅrita÷  KDA_283b
krodhÃc chÃpahutÃÓanai÷  KDA_375d
krodhÃt tato mahad bhayaæ*  KDA_385d
krodhÃnalavidÃhini  KDA_399b
krodhÃnalasamuddÅpto  KDA_335c
krodhÃriæ yatnato jitvÃ  KDA_484a
krodhena tyajyate satyaæ  KDA_395c
krodhena dhvaæsyate dharma÷  KDA_395a
krodhena paribhÃ«yate  KDA_392b
krodhena bhidyate cittaæ  KDA_405a
krodhena bhidyate loka÷  KDA_392a
krodhena vilayaæ gata÷  KDA_395b
krodhena hiæsyate jantus  KDA_392c
krodhenaiva tathÃ rudra÷  KDA_394a
krodhenaiva mahÃrudraÓ  KDA_393a
krodho dharmaviruddhatvÃc  KDA_404a
krodho hi vasate yasya  KDA_71a
kleÓasaæghÃn vinirjitya  KDA_317c
kleÓÃd yair asamÃhitam*  KDA_54b
kleÓÃæÓ ca sarvÃn pravihÃya saæyata÷  KDA_326c
kleÓito 'dhairyatÃæ vrajet  KDA_405d
k«atriyavaiÓyaÓÆdrÃÓ ca  KDA_232c
k«atriyasya bhaved bhÃryÃ  KDA_245c
k«atriyÃ bhaginÅ khalu  KDA_245d
k«atriyÃs te n­pÃ narÃ÷  KDA_174d
k«amÃ dayÃ damo dÃnaæ  KDA_269a
k«amÃdharmapurask­ta÷  KDA_484b
k«amaiva sÃdhyatÃæ sadÃ  KDA_413b
k«ÃntivÃdÅ vane vasan*  KDA_388b
k«ÃntyÃdibhir guïair yuktas  KDA_253a
k«ipraæ kleÓÃn vinirjitya  KDA_288c
kharo dvÃdaÓa janmÃni  KDA_113a
gacchata bhik«avo yÆyaæ  KDA_14a
gaïakÃs te 'pi mÃnavÃ÷  KDA_182d
gaïayanti divÃniÓam*  KDA_182b
gandhaÓ ca p­thivÅguïÃ÷  KDA_104b
garu¬ÃnÃæ mahaujasÃm*  KDA_356b
garu¬Ãs trÃsam ÃgatÃ÷  KDA_361b
garbha÷ samanuvardhita÷  KDA_24b
gÃyatrÅmÃtrasÃro 'pi  KDA_270a
guïadharmapramÃïena  KDA_162a
guïadharmÃnucÃreïa  KDA_161a
guïadharmÃnusÃrata÷  KDA_100b
guïadharmÃnusÃraiÓ ca  KDA_93c
guïabhedÃd bhaved dharma-  KDA_223a
guïavÃn brÃhmaïo bhavet*  KDA_132b
guïavÃn brÃhmaïo bhavet*  KDA_263b
guïavidyÃnidhir vidvÃn  KDA_265c
guïÃn sÃ hi prasÆyate  KDA_416d
guïÃsvÃdÃdibhedatÃ  KDA_148b
guïÃ÷ kalyÃïakÃrakÃ÷  KDA_265b
guïair dharmais tathÃ ÓÅlair  KDA_133a
guruk­taÓ ca pÆjita÷  KDA_6d
guru¬aiÓ ca mahÃsarpais  KDA_8c
gurubhaktÃÓ ca nirmadÃ÷  KDA_44b
gurur brahmavidÃæ vara÷  KDA_76b
guruÓ caivam acintayat*  KDA_81d
gurÆn saddharmaÓÃstÌæÓ ca  KDA_382a
guro Ãj¤Ãæ vahantas te  KDA_16a
guro brahmavidÃæ Óre«Âha  KDA_75a
guror Ãj¤ÃsamÃdh­ta÷  KDA_282b
gocaram abhyalak«ayat*  KDA_345b
ghnanti krodhaprabhÃvata÷  KDA_381d
ghnanti krodhÃd anÃryakÃ÷  KDA_378d
ghnanti krodhoddhatÃ narÃ÷  KDA_382d
cakravÃkau ÓaradvÅpe  KDA_108a
caï¬av­ttipracÃrÃÓ ca  KDA_186c
caï¬ÃlÃ api yonita÷  KDA_137b
caï¬ÃlÃ iti te sm­tÃ÷  KDA_186d
caï¬ÃlÃ nirgh­ïÃ raudrÃ÷  KDA_438a
caï¬ÃlÅgarbhasaæbhÆto  KDA_126a
caï¬Ãlo 'pi sa vipra÷ syÃl  KDA_58c
caï¬Ãlo 'pi hi ÓÅlasthas  KDA_204c
caturaÓÅti lak«ÃÓ ca  KDA_105c
caturthadhyÃnasaæyuta÷  KDA_343b
caturthaæ brÃhmalak«aïam*  KDA_256d
caturbrahmavihÃratÃ  KDA_316d
caturbrahmavihÃriïa÷  KDA_48b
caturbrahmavihÃriïa÷  KDA_163d
caturbrahmavihÃriïa÷  KDA_387b
caturbrahmavihÃriïÃ  KDA_62b
caturyonisamudbhÆtÃ÷  KDA_95c
caturvargaphalÃptaye  KDA_316b
caturvargavinÃÓak­t*  KDA_404b
catvÃry eva samÅraïe  KDA_103d
caranti vratam ÃdarÃt*  KDA_171b
cara brahman vratottamam*  KDA_297d
cara brahmavihÃriïam* (Speyer: brahmavihÃraïam*)  KDA_278d
cara brahmavrataæ samyag-  KDA_67c
cara brÃhmaïyam ÃdarÃt*  KDA_72d
cara saæbodhisatpathe  KDA_293d
carasva vratam uttamam*  KDA_43d
cari«ye tad vratottamam*  KDA_302b
cari«ye brahmasadvratam*  KDA_65d
careyaæ bhavamuktaye  KDA_75d
caryaæ jitvÃ «a¬ indriyam*  KDA_76d
cÃï¬Ãlo 'pi hi v­ttastho  KDA_259c
cÃturvarïyam idaæ khalu  KDA_241d
cÃturvarïyam idaæ lokam  KDA_198a
cÃturvarïyam idaæ lokaæ  KDA_240c
cÃturvarïyam idaæ loke  KDA_161c
cÃturvarïyaæ prakalpitam*  KDA_130d
cÃturvarïyaæ prati«Âhitam*  KDA_261d
cic cheda brahmaïa÷ Óira÷  KDA_393b
cittaæ tathÃnumoditam*  KDA_303d
cittÃni saæpradÆ«yaiva  KDA_473c
citte{na} parimohite  KDA_52d
citte mÃnamadÃkule  KDA_71b
citte lokÃrthaæ sÃdhitum*  KDA_53b
celakopÃsakais tathÃ  KDA_11b
cchetÃraæ saæÓayÃnÃæ taæ  KDA_456c
cchedayÃmÃsa mastakam*  KDA_394d
chÆdro 'pi saæsk­to dvija÷  KDA_211d
chre«Âhatvam iha yujyate  KDA_197b
jagannÃthaæ munÅÓvaram*  KDA_307b
jagÃdaivaæ pura÷ sthitÃ  KDA_290d
jantu÷ krodhahavir bhujÃ  KDA_372b
jarÃ rÆpavatÃæ krodhas  KDA_373a
jalajÃnÃæ ca pu«pÃïÃæ  KDA_146a
jahÃti krodhatas tathÃ  KDA_386d
jÃtavedÃ yathÃraïe÷  KDA_136d
jÃtikundÃdipu«pÃïÃæ  KDA_145a
jÃtidharmaprav­ttikÃ÷  KDA_185d
jÃtibhedÃ bhavanti hi  KDA_161b
jÃtibhedÃ hy anekaÓa÷  KDA_96b
jÃtibhedÃ÷ pravartitÃ÷  KDA_224d
jÃti«v api ca sarvÃsu  KDA_96c
jÃter naiva pramÃïatÃ  KDA_162b
jÃter liÇgaæ p­thak p­thak*  KDA_158b
jÃtyÃ ced brÃhmaïo bhÆto  KDA_119c
jÃtyÃpi brÃhmaïo naiva  KDA_119a
jÃnÅdhvaæ karmatÃphalam*  KDA_477d
jinenÃdvayavÃdinÃ  KDA_118b
jino 'pi naiva ÓaknuyÃt*  KDA_410d
jÅvamÃno bhavec chÆdro  KDA_111c
jÅvamÃno bhavec chÆdro  KDA_207c
jÅvaÓ ced brÃhmaïas tÃvad  KDA_91c
jÅvitaæ yasya lokÃrthe  KDA_266a
jÅvitÃd vyavaropita÷  KDA_22b
jugupsyo 'Óucir ucyate  KDA_138b
juhvatyagnau samÃhitÃ÷  KDA_173b
jetavane manorame  KDA_12b
jainadharmaparÃyaïÃ÷  KDA_193b
jainadharmÃnucÃraïÃt*  KDA_193d
j¤Ãtayo 'pi tathÃ ÓrutvÃ  KDA_27a
j¤ÃtvÃryasatyadharmÃïi  KDA_310c
j¤ÃtvÃ lokahitÃrthena  KDA_278c
j¤ÃnadharmaguïÃcÃrair  KDA_221c
j¤ÃnadharmaguïÃcÃrair  KDA_222a
j¤Ãnavajreïa sÃdhunÃ  KDA_398b
j¤ÃnavantaÓ ca ye dhÅrÃs  KDA_229c
j¤ÃnavÃn hi bhavet pÆjyo  KDA_218a
j¤Ãnavij¤Ãnadharme«u  KDA_287c
j¤Ãnavij¤ÃnapÃtratvÃt  KDA_226c
j¤Ãnavij¤Ãnabhedena  KDA_222c
j¤Ãnavij¤ÃnamÃtreïa  KDA_226a
j¤Ãnavij¤ÃnahÅnatvÃn  KDA_227a
j¤ÃnÅnÃhÆya cÃdarÃt*  KDA_26b
j¤Ãnena yadi vÃ vipra÷  KDA_228c
j¤ÃnenÃpi dvijo naiva  KDA_228a
jye«Âho 'raïÃvihÃriïÃm*  KDA_457d
jyotir vidyÃvido ye ca  KDA_182a
ta eva brÃhmaïottamÃ÷  KDA_49d
ta kÃruïyaæ sadÃ kuru  KDA_313d
tac ca krodhaprabhÃvata÷  KDA_376d
tac ca krodhaprabhÃvata÷  KDA_380d
tac ca maitrÅprabhÃvata÷  KDA_428d
tac ca maitrÅprabhÃvata÷  KDA_429d
tac ca maitrÅprabhÃvata÷  KDA_430d
tac ca maitrÅprabhÃvata÷  KDA_431d
tac ca maitrÅprabhÃvata÷  KDA_432d
tac ca maitrÅprabhÃvata÷  KDA_433d
tac ca maitrÅprabhÃvata÷  KDA_434d
tac ca maitrÅprabhÃvata÷  KDA_435d
tac ca maitrÅprabhÃvata÷  KDA_436d
tac ca maitrÅprabhÃvata÷  KDA_440d
tac cÃpi krodhabhÃvata÷  KDA_377d
taï¬ulÅgarbhasaæbhÆto  KDA_127a
tata eva samÃg­hya  KDA_304a
tataÓ ca kramatas tasyÃ  KDA_24a
tataÓ ca narakÃn yÃyÃd  KDA_409a
tataÓ ca mÃnavo bhÆtvÃ  KDA_115c
tataÓ cyutvÃham Ãgata÷  KDA_330d
tatas tatsamaye prÃpte  KDA_24c
tata÷ kÃlagatas tatra  KDA_23a
tata÷ kleÓagaïÃn hitvÃ  KDA_298a
tata÷ kleÓÃn vinirjitvÃ  KDA_279a
