Vagisvarakirti: Mrtyuvancanopadesa
Based on the ed. by Johannes Schneider: VÃgÅÓvarakÅrtis M­tyuva¤canopadeÓa, eine buddhistische Lehrschrift zur Abwehr des Todes.
Wien : Verlag der ™sterreichischen Akademie der Wissenschaften 2010.
(Beitr„ge zur Kultur- und Geistesgeschichte Asiens ; 66) (Denkschriften der philosophisch-historischen Klasse ; 394)
ISBN 978-3-7001-6722-8


Input by Johannes Schneider



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akasmÃj jÃyate sthÆla÷  VMv_1.61a
anyÃæÓ ca bahulÃn mÃrÃn  VMv_4.80c
anye 'pi skandhajÃ do«Ã÷  VMv_4.27c
anye«Ãm api divyÃnÃæ  VMv_3.69a
api kalpÃdisaækhyayÃ  VMv_3.79d
api tv ekÃdisaækhyayÃ  VMv_1.18d
api m­tyuæ nivÃrayet  VMv_3.44d
api m­tyuæ nivÃrayet  VMv_3.81d
apÅ¬ane 'pi tadd­«Âau  VMv_1.104a
apy akhaï¬itaromÃgraæ  VMv_4.34c
abdabhÃgais tu te ÓodhyÃ  VMv_2.26c
abhÃve sarvavastuna÷  VMv_4.81b
abhrÃntau tatra dharmÃdi-  VMv_1.20c
amuktÃnÃæ ca sarve«Ãæ  VMv_1.4c
amu«mÃd anyathÃbhÃve  VMv_1.29c
am­taæ jÅvanopÃyas  VMv_4.52c
ameghe vidyutaæ paÓyet  VMv_1.64c
amlÃditvaæ ca rasato  VMv_1.114a
ayaæ mantro daÓÃk«ara÷  VMv_3.62d
ayÃcitÃnnapÃnÃdi-  VMv_4.36a
ari«ÂÃnÃm anantatvÃn  VMv_1.18a
arundhatÅæ rohiïÅæ ca  VMv_1.72a
ardhaæ yasya kalevaram  VMv_1.79b
ardhaæ ÓÅtaæ tathÃ co«ïam  VMv_1.79a
alpanidro bahudhyÃno  VMv_4.3c
alpÃyur api dÅrghÃyu÷  VMv_3.12a
aÓabdajapalak«eïa  VMv_4.54a
aÓabdo japa ucyate  VMv_4.53d
aÓvayuÇmÃsasaækrÃnti-  VMv_2.22a
a«Âako«Âhakam a«ÂÃbhir  VMv_4.31a
a«ÂÃdaÓadinÃd Ærdhvaæ  VMv_1.81c
a«ÂÃdaÓÃhaæ «aÂtriæÓad-  VMv_2.48a
a«ÂÃhaæ cet tribhir var«air  VMv_2.43a
asimusalaparaÓu-  VMv_4.11c
asyaiva k­«ïarÆpasya  VMv_4.46a
ahiæsÃ paramo dharma÷  VMv_3.11a
ahorÃtratrayÃd Ærdhvaæ  VMv_1.36c
ahorÃtrÃn na saæÓaya÷  VMv_2.16d
ahorÃtreïa sattvÃnÃæ  VMv_4.51c
ÃkÃram uccaret pÆrvaæ  VMv_3.40a
ÃkÃÓadohanadhyÃnam  VMv_4.72a
ÃkÃÓadhenor ÃdohÃt  VMv_4.70a
ÃkÃÓam iva taæ m­tyu÷  VMv_4.72c
Ãgamoktam idaæ siddhaæ  VMv_3.80a
Ãcaret satataæ yogÅ  VMv_3.78c
ÃÂÃnÃÂÅyakaæ tathÃ  VMv_3.23b
Ãtmanaiva hi ya÷ paÓyet  VMv_1.77c
Ãtmano yadi paÓyati  VMv_1.119b
ÃtmÃnam Åd­Óaæ svapne  VMv_1.136c
ÃdadyÃd dharmasaævalam  VMv_1.54d
ÃdarÃdiviÓe«itam  VMv_4.83b
ÃdÃyÃsecayen muhu÷  VMv_4.71b
Ãdau k­tvÃ dinÃrdhaæ sakaladinam athÃ-harniÓaæ yÃvad eva  VMv_2.52a
Ãdau dharmaparo bhÆyÃn  VMv_3.7a
Ãdhidaivika ucyate  VMv_1.15b
Ãdhibhautika ucyate  VMv_1.16b
ÃdhyÃtmikam idÃnÅæ tu  VMv_4.1a
ÃnÃpÃnasm­ter vÃtha  VMv_4.50a
Ãntaraæ dhyÃnakarmabhi÷  VMv_3.2b
Ãntaraæ yogaÓaktibhi÷  VMv_3.2d
ÃpÃdatalaparyantaæ  VMv_4.61a
ÃpÆrya mukhakoÂaram  VMv_1.88b
Ãptam ata÷ kuÓalaæ yad am­tyus  VMv_4.101c
ÃbaddhavajraparyaÇkaæ  VMv_4.19c
ÃbaddhavajraparyaÇkÃæ  VMv_4.28c
ÃyurindriyacittÃnÃæ  VMv_1.5a
Ãyur nityaæ vivardhate  VMv_3.20d
Ãyurmaïidharo vÃpi  VMv_3.36c
Ãyurv­ddhir jarÃroga-  VMv_3.69c
Ãyu«a÷ prÃïavÃyoÓ ca  VMv_2.54c
Ãyu«o v­ddhir Ãpyate  VMv_3.18d
ÃryamahÃpratisarÃ-  VMv_3.56a
ÃryamahÃpratisarÃ-  VMv_3.59c
Ã«Ã¬hapu«yayor ante  VMv_1.34a
Ã«Ã¬hasaækrÃntidine  VMv_1.27a
Ã«Ã¬hÃt kramaÓo v­ddhi÷  VMv_1.31a
Ã«Ã¬hÃntadinair ebhi÷  VMv_1.35a
Ã«Ã¬hÃn makarÃvadhe÷  VMv_1.30b
Ãsannam api dÆrasthaæ  VMv_3.29c
ÃsaæsÃraæ na m­tyubhÃk  VMv_4.20d
itaratra vikÃlakam  VMv_2.32d
itaÓ cetaÓ ca bahudhÃ  VMv_2.17a
iti karmavicitratÃ  VMv_1.89d
iti kÃlavicak«aïÃ÷  VMv_2.25d
iti cintÃparÃ m­tÃ÷  VMv_4.96d
iti j¤Ãnasamanvita÷  VMv_4.7d
iti dhyÃnaikacetana÷  VMv_4.6d
iti nigaditam etad va¤canaæ m­tyuÓatro÷  VMv_4.98a
iti paÓyed anityatÃm  VMv_1.119d
iti puïyakriyÃpara÷  VMv_4.5b
iti vidhÃya bahi«kriyam ÃdarÃn  VMv_3.83a
iti vÅryapura÷sara÷  VMv_4.6b
iti ÓraddhÃvivardhaka÷  VMv_4.5d
iti saÇgavivarjita÷  VMv_4.7b
ity Ãgamavicak«aïÃ÷  VMv_1.118d
ityÃdi leÓato dharma÷  VMv_3.33a
ity ÃntarÃïy api mayÃ kathitÃni m­tyor  VMv_2.55a
idaæ kartÃsmi Óva÷ punar idam idaæ cÃsya parato  VMv_4.97a
idaæ nityaæ samÃcaret  VMv_4.72b
idaæ maraïava¤canam  VMv_4.100d
idÃnÅm Ãntaraæ m­tyor  VMv_2.1a
indranÅlamaïicchÃyÃn  VMv_1.91a
indriyÃïi na g­hïanti  VMv_1.62a
i«ÂakÃdipradÃnata÷  VMv_3.19b
ÅpsitÃrthapradÃnena  VMv_3.16c
uktvÃ vairocanaæ pÆrvaæ  VMv_3.42a
uktvendriyabalaÓabdaæ  VMv_3.58c
ucyate ÓÃstrasaægatam  VMv_1.3d
uttarÃbhimukhasthasya  VMv_1.27c
udghÃta iti saæj¤ai«Ã  VMv_4.63a
udghÃtas trividho mata÷  VMv_4.62d
udghÃto 'sau mato hÅno  VMv_4.66c
udvego vÃ bhayÃdi vÃ  VMv_2.18d
unneyÃ v­ddhir Ãyu«a÷  VMv_4.55b
upÃyakuÓalo bhÆtvÃ  VMv_4.55c
upÃyair jÅvitaæ dÅrghaæ  VMv_1.5c
upÃyair yuktiyojitai÷  VMv_1.8b
ubhayak«obhato m­tyur  VMv_1.17a
ubhayak«obho vajrÃdi-  VMv_1.17c
ubhayÃjjo nigadyate  VMv_1.17b
ubhayor api mÃrgayo÷  VMv_2.15b
ubhayor niÓcayÃn m­tyur  VMv_2.3a
ulkÃyÃ÷ patanaæ tathÃ  VMv_1.65b
u«ïÅ«agarbhacaityÃdi-  VMv_3.27a
ÆnatriæÓaddinaæ vahet  VMv_2.38b
ÆnaviæÓati ced a«Âa-  VMv_2.48c
ÆrïÃsthÃne pravedhanÃt  VMv_1.41d
ÆrdhvÃdhobhyÃæ saæpuÂayogaæ  VMv_3.73a
Ææ oæ m­tyu¤jaya oæ syÃd  VMv_3.62c
­tumatkanyÃnarayo÷  VMv_3.74c
ekadvitricatu÷pa¤ca-  VMv_2.13a
ekapak«aviparyÃsÃd  VMv_2.12c
ekamÃsÃtyayÃn m­tyur  VMv_1.109c
ekavaktreïa Óaknoti  VMv_1.138c
ekaviæÓati «a¬mÃsÃt  VMv_2.49a
ekÃkinÅm athÃnyair vÃ  VMv_3.68a
ekÃkÅ yÃti pa¤catÃm  VMv_1.38d
ekÃgracitto vidhivad  VMv_4.53c
ekÃgro vÃcayen nityaæ  VMv_3.25c
ekÃbdavigame nÆnaæ  VMv_1.133a
ekaikapadav­ddhi÷ syÃd  VMv_1.30a
ekaikapÃdyahrÃsa÷ syÃn  VMv_1.30c
etat sÃmÃnyato j¤eyaæ  VMv_1.104c
etÃni m­tyo÷ pratipÃdakÃni  VMv_1.139a
evamÃdikriyÃrambhÃd  VMv_3.32a
evam eva vahec candre  VMv_2.27a
evaæ k­«ïaæ samÃrabhya  VMv_2.10a
evaæ dharmaparo bhÆtvÃ  VMv_3.34a
evaæ vinÃÓitÃÓe«a-  VMv_4.18a
e«Ãm apy antarÃle«u  VMv_1.101a
e«Ã mÃtrocyate kÃla-  VMv_4.65c
oÇkÃram Ãdito dattvÃ  VMv_4.33a
oæ am­ta hÆæ hÆæ phaÂ phaÂ  VMv_4.17c
oæ Ãdau tata ÃÇkÃra÷  VMv_3.62a
oæ Ãdau ruru tato 'ta÷  VMv_3.45a
oæ uktvÃ padaæ vimale  VMv_3.57a
oæ tato 'm­takuï¬ali  VMv_4.12a
oæ prÃg uktvÃ huluhulu-  VMv_4.16a
oæhÃvya¤janamadhyastha-  VMv_4.31c
kaÇkÃlarÆpanidhyÃnaæ  VMv_4.42a
kaïÂ÷o«ÂhatÃlujihvÃnÃæ  VMv_1.69a
kaïÂharandhrordhvasaælagnÃæ  VMv_4.48a
kaïÂho«ÂhatÃlurasanÃ-  VMv_1.70a
kathyate j¤Ãyate yena  VMv_1.10c
kathyate yena niyataæ  VMv_4.1c
kani«ÂhÃnÃæ ca saædhaya÷  VMv_1.44b
kapÃlÃkÃrabhÃvakam  VMv_4.41d
kapolamÃæsavicchedÃn  VMv_1.53c
karadvayam anÃkulam  VMv_4.24b
karavÅramÃlÃ svapne  VMv_1.128c
karkaÂe makare cÃpi  VMv_1.26c
karkaÂo rÃÓir Ã«Ã¬ha÷  VMv_1.26a
karïamÆle bhruvor madhye  VMv_1.50a
karïaÓa«kulikÃp­«Âha-  VMv_1.59a
karïÃgre tÅk«ïavedhanÃt  VMv_1.41b
karïau pidhÃya sud­¬haæ  VMv_1.99a
karïau bhra«Âau svadeÓata÷  VMv_1.56b
kardame pÃæÓudeÓe vÃ  VMv_1.85a
kalaÇkarahitaæ candraæ  VMv_1.73a
kalpÃdijÅvanÃrthaæ ye  VMv_3.63a
kalpÃdÅæÓ ca vinÃÓayet  VMv_4.45d
kalpÃntam api ti«Âhati  VMv_4.89d
kalpÃntaæ kiæ na ti«Âhati  VMv_4.90d
kalpoktavidhibhir yad vÃ  VMv_3.67a
kalyudvegÃdi jÃyate  VMv_2.13d
kavitÃ vakt­tÃ medhÃ  VMv_4.37a
kÃmaÓokÃdibuddhivat  VMv_4.83d
kÃyakleÓair bahuvidhair  VMv_3.4a
kÃyavÃkkarmabhir bÃhyam  VMv_3.2a
kÃruïyasyandivigraham  VMv_4.24d
kÃruïyasyandi h­dayaæ  VMv_3.10a
kÃlapa¤cÃÓikÃm api  VMv_4.99d
kÃlam Ãrabhya ced vahet  VMv_2.24b
kÃlam Ãrabhya mÃruta÷  VMv_2.21b
kÃlam Ãrabhya mÃruta÷  VMv_2.22b
kÃlarÃtrÅ tu sÃ j¤eyÃ  VMv_1.127c
kÃlaæ nirÆpayed vidvÃn  VMv_2.32c
kÃlÃkÃlanirÆpaïam  VMv_1.34d
kÃlÃkÃlasamudbhÆtam  VMv_3.81c
kÃlÅ kÃmayate naraæ  VMv_1.128b
kÃlÅ kumÃrÅ saækruddhÃ  VMv_1.127a
kÃle pau«ïe samÃs tÃs trinayanaÓaÓina÷ «aÂtriyugmendavo ye  VMv_2.53c
kÃlottaraæ kÃlÃvalÅæ  VMv_4.99c
kÃlo dvividha i«yate  VMv_1.23b
kÃlo niyata ity ukto  VMv_1.24c
kÃlo 'sau pau«ïanÃmeti  VMv_2.29c
kÃ«ÃyamÃtrakaïÂhebhyo  VMv_3.31c
kÃ«ÂhÃd agnir jÃyate mathyamÃnÃd  VMv_4.93a
ki¤citkÃrÅ no yamarÃjÃ  VMv_3.73d
kim anyair dharmavistarai÷  VMv_3.10d
kiyatkÃlavilambanam  VMv_1.4d
kiæ te«Ãæ dharmavistarai÷  VMv_3.9d
kiæ punar m­tyuva¤canam  VMv_3.50d
kiæÓukaæ kovidÃraæ ca  VMv_1.122a
kuÂiprasrÃvayo÷ kÃle  VMv_1.39a
kumbhakaÓ cet pravartate  VMv_4.68b
kumbhakas tena jÅyate  VMv_4.64b
kuruta saæprati tat punar Ãntaram  VMv_3.83d
kurvÅta kusumai÷ sitai÷  VMv_3.60d
k­kalÃso m­tis tasya  VMv_1.82c
k­tvÃ tatpariïÃmena  VMv_4.41c
k­tvÃ mÆrdhni tathÃ¤jalim  VMv_1.96b
k­tvÃ vijanadeÓaga÷  VMv_3.39b
k­Óa÷ kruddho bhayÃkula÷  VMv_1.61b
k­«ïapiÇgalavarïakam  VMv_1.86b
k­«ïabhÃgaæ parityajya  VMv_1.117a
k­«ïarÆpair gabhastibhi÷  VMv_4.46b
k­«ïavastrÃ tu yÃ nÃrÅ  VMv_1.128a
k­«ïaæ yadi bhavec chukraæ  VMv_1.49a
k­«ïe vÃ yadi vÃ Óukle  VMv_1.116a
keÓoï¬ukasamÃk­tÅn  VMv_1.91b
koÂisaækhyÃ bhaved yÃvat  VMv_4.26a
kramaÓaÓ cÃbhivardhitai÷  VMv_1.101d
kramaÓo 'pi na sarve«Ãm  VMv_1.18c
kramasyÃsya viparyÃsÃt  VMv_2.11a
krama÷ syÃt pÆrvavat tadÃ  VMv_1.106b
kramÃt tanmadhyasaæsthitam  VMv_1.88d
krameïÃnena niyamÃd  VMv_2.9c
kriyayÃrÃmaropaïÃt  VMv_3.20b
krodhÃyeti padaæ vadet  VMv_4.10d
kva cid d­«Âam upÃyata÷  VMv_3.74b
k«amÃvÅryaprati«Âhita÷  VMv_4.85b
k«ayakÃle 'py atik«aye  VMv_1.33c
k«ayakÃle bhaved v­ddhir  VMv_1.32a
k«ayÃn m­tyuæ na paÓyati  VMv_3.69d
k«aratpÅyÆ«aÓÅkarÃn  VMv_4.43b
khakhakhÃhikhÃhipadÃt  VMv_4.12b
kha¬gÃ¤janapÃdalepa-  VMv_4.36c
khaï¬aæ pÃdodaye nyÆnaæ  VMv_1.85c
kharapotryu«Ârasaurabhai÷  VMv_1.132d
kharam Ãruhya vegena  VMv_1.136a
kharÃrkadivase toyair  VMv_1.88a
kharÃrkadivase paÓyet  VMv_1.90a
gacchet pÆrvÃæ diÓaæ nara÷  VMv_1.131b
gaïanÃÓramahÃnÃya  VMv_4.102a
gaïayet prÃtar utthita÷  VMv_4.56b
gaï¬avyÆhÃdisÆtrÃntÃn  VMv_3.25a
gatir anyÃ pradarÓyate  VMv_2.28d
gatir anyÃ pravartate  VMv_2.33b
gate satatagÃmini  VMv_2.32b
gandharvanagaraæ paÓyed  VMv_1.66c
gamanaæ yamasadmani  VMv_1.37d
gambhÅro gulgulo dhvani÷  VMv_1.99b
garjagarja tathÃ puna÷  VMv_4.16d
gardabhaæ ya÷ samÃrÆ¬ha÷  VMv_1.124a
galake piÂakÃn raktÃn  VMv_1.75c
gÃtre varïavicitratÃm  VMv_1.75d
gÃthÃ÷ susvastisaæj¤itÃ÷  VMv_3.23d
g­hÅtvÃ ÓuklabhÃgakam  VMv_1.117b
granthapramÃïam ÃkhyÃtaæ  VMv_4.102c
grahÃdimÃt­kÃpÃÂhÃt  VMv_3.28a
grÅvÃpÃrÓvasthayor nÃ¬yor  VMv_1.57c
ghaÂÃÇkavÃruïÃkhyena  VMv_4.70c
ghanavyÆhanivÃsinam  VMv_4.19b
gh­tÃktanalikÃrandhra-  VMv_3.76a
gh­tÃktair lak«asaækhyÃtair  VMv_3.61a
cakrasaævaratantrokta-  VMv_4.41a
cakrÃd asmÃt prajÃyate  VMv_4.37d
cak«urnÃsikayor madhye  VMv_1.54a
cak«u«Å sravato nityaæ  VMv_1.63a
caturdaÓÃhaæ dvivar«Ãt  VMv_2.46a
caturmÃsÃtyayÃd bhavet  VMv_1.108b
caturmÃsÃd bhaven m­tyur  VMv_1.118c
caturviæÓatirÃtronÃn  VMv_2.44c
caturviæÓativarjitai÷  VMv_2.42b
caturviæÓatyahanyÆnÃd  VMv_2.47c
caturviæÓatyaharvÃhe  VMv_2.50c
catu÷«aÂkadinonitÃt  VMv_2.50d
catvÃriæÓaddinonitÃt  VMv_2.48d
catvÃro yasya vidhyanti  VMv_1.44c
candracchidraæ ravicchidraæ  VMv_1.77a
candradvayaæ dvisÆryaæ vÃ  VMv_1.66a
candrabimbÃsanopari  VMv_4.28b
candrasÆryagato bhavet  VMv_1.42b
candrasyÃdhas tathordhvaæ ca  VMv_1.105a
candraæ cÃpi saraÓmikam  VMv_1.73d
candrÃæÓuæ vahnisaæsparÓaæ  VMv_1.76c
candre prabha¤jane vÃti  VMv_1.117c
cÃturdiÓÃryasaæghÃya  VMv_3.31a
cittabhramaraÓÃvakam  VMv_4.71d
cintÃmaïisamÃ mantrÃ÷  VMv_3.66c
cintÃmaïer ivÃÓe«a-  VMv_4.39c
cintyÃcintyÃæ na cintayet  VMv_4.77c
caityÃdivandanÃc caiva  VMv_3.22c
caitramÃsasya saækrÃnti-  VMv_2.24a
cauramatsyam­gavyÃ¬a-  VMv_3.13c
caurÃdÅn vadhyadeÓagÃn  VMv_3.12d
cchÃyÃyÃÓ ca nirÅk«aïam  VMv_1.28d
cchÃyÃ svÃbhÃvikÅ bhavet  VMv_1.27d
chandakabhik«ayopÃttair  VMv_3.21a
chardiæ mÆtraæ purÅ«aæ ca  VMv_1.68a
chÃyÃvikÃram Ãlocya  VMv_1.31c
chidraæ bhÆmau tathÃmbare  VMv_1.77b
chedaæ chidraæ tanau tathÃ  VMv_1.69b
chraddadhÃnas tato bhavet  VMv_3.6d
chraddheyam idam Ãrabhet  VMv_4.47d
jaÇghayor yasya gacchata÷  VMv_1.84b
jaÂharÃnaladÅpanam  VMv_4.86b
janmanak«atrago bhavet  VMv_2.31b
janmark«e candramÃ yadi  VMv_2.29b
japec cÃkhinnacitta÷ san  VMv_4.32c
japed ak«aralak«akam  VMv_3.41b
japtvÃ daÓÃk«araæ mantraæ  VMv_3.60a
japtvÃryatÃrÃpurato  VMv_3.43c
jaya vare 'nu cÃm­te  VMv_3.57b
jÃnÆpari sthitau bÃhÆ  VMv_1.96a
jÃpamÃtreïa mantrÃïÃæ  VMv_3.39c
jÃyate m­tyulak«aïam  VMv_1.26d
jÃyate m­tyuva¤canam  VMv_3.39d
jÃyate m­tyuva¤canam  VMv_3.61d
jÃyate m­tyuva¤canam  VMv_3.71d
jÃyate m­tyuva¤canam  VMv_3.72d
jÃyate vik­tÃk­ti÷  VMv_1.87d
jitakumbhakayogÃd vÃ  VMv_4.60c
jito bhavati kumbhaka÷  VMv_4.62b
jitvÃ nidrÃæ prayatnena  VMv_4.57c
jihvÃgrÃdarÓane m­tyur  VMv_1.40c
jihvÃgreïÃlihed yÃvat  VMv_4.48c
jihvÃyÃ aparÃv­ttau  VMv_1.110c
jihvÃyÃ yadi madhyata÷  VMv_1.58b
jihvÃæ tÃlugatÃæ k­tvÃ  VMv_4.47a
jÅvane 'pi na saæÓaya÷  VMv_4.88d
jÅvapa¤cÃÓikÃdÅni  VMv_4.100a
jÅvitÃntakarÃya ca  VMv_4.14b
jÅvec candrÃrkajÅvitam  VMv_4.56d
j¤Ãtavyaæ saæÓayo 'nyathÃ  VMv_1.11d
j¤ÃtvÃ pa¤cadinÃn m­tyum  VMv_1.54c
j¤ÃtvÃpi yogaÓÃstrÃïi  VMv_4.96a
j¤ÃtvÃ yuktÃ pratikriyÃ  VMv_1.9b
j¤ÃtvÃri«Âakadambakam  VMv_3.1b
j¤Ãnav­ddhÃdigauravÃt  VMv_3.17b
j¤eyo va¤canasaæcaya÷  VMv_3.1d
jye«Âhas tu triguïo j¤eya÷  VMv_4.64a
jye«Âhe 'pi ced bhaved evaæ  VMv_2.23c
jye«ÂhodghÃtÃvadhiæ yÃvat  VMv_4.68a
jyotÅæ«i jhaÂitikramÃt  VMv_1.103d
jyotsnÃyÃæ vÃ ciraæ pura÷  VMv_1.93b
jvala ti«Âha tathÃ siddha-  VMv_3.45c
jvÃlÃ vÃkasmikÅ tanau  VMv_1.71d
ïa vigatarÃgapadÃt  VMv_3.53b
tac ca vÃyÆdayÃj j¤eyaæ  VMv_2.1c
tacchÃyÃ ca¤calÃ yadi  VMv_1.118b
taj japakrama ucyate  VMv_4.61d
taj j¤ÃtvÃ m­tyuva¤cakai÷  VMv_3.33d
tata iha jagadarthaæ cÃbhavac chÃkyaketu÷  VMv_1.1c
tata÷ prÃpsyati ÓÆnyatÃm  VMv_4.77d
tata÷ sÆk«mÃtisÆk«mÃntya-  VMv_4.26c
tata÷ sÆrye dinatrayam  VMv_2.8d
tata÷ sÆrye dinatrayam  VMv_2.9b
tata÷ sthiravapur bhÆtvÃ  VMv_3.68c
tato m­tyuæ jayet sadya÷  VMv_4.49a
tato ro lig iti sphuÂam  VMv_3.40b
tato 'samasamapadam  VMv_3.52b
tatkÃryakaraïÃd bhavet  VMv_4.49d
tat tat tu sphuÂatÃæ yÃti  VMv_4.83c
tattvam eva sadÃcaret  VMv_4.73b
tattvaæ ca ÓÆnyatÃ proktÃ  VMv_4.75a
tattvena jÅyate puæsÃæ  VMv_4.74c
tattvena jÅyate m­tyus  VMv_4.73c
tatra m­tyor nirÆpaïam  VMv_2.31d
tatra velÃk«aïe pÆrïe  VMv_2.33c
tatrasthaÓ ca vibudhyeta  VMv_1.125c
tatrÃdau dhyÃnasahitaæ  VMv_4.9a
tatrÃpi d­Óyate chÃyÃ  VMv_1.94a
tatrÃrka÷ samasaptaga÷  VMv_2.30d
tathÃgatÃnÃæ sarve«Ãæ  VMv_3.55c
tathÃgatÃnÃæ syÃt tata÷  VMv_3.51b
tathÃ jÅrïasya dehasya  VMv_4.91c
tathÃnye mÃraÓatrava÷  VMv_4.73d
tathÃ pa¤cadaÓÃhakam  VMv_2.36b
tathÃ sa¤cakatÃ¬anÃt  VMv_3.22b
tathaiva ced vahed vÃyur  VMv_2.37a
tathaiveti nirÆpayet  VMv_1.14d
