Svetasvatara-Upanisad (Svetasvataropanisad)
Based on the electronic text available from "Sanskrit Documents" (http://sanskrit.gde.to).


Input by S. H., proofread by John Manetta



This GRETIL version has been checked against the edition
by V.P. Limaye and R.D. Vadekar (Eighteen Principal Upanisads, vol. 1, 
Poona 1958), and the electronic version available on TITUS. 
In cases of divergence, preference has usually been given to the printed 
edition.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agnir yatràbhimathyate  SvetUp_2.6a
j¤àtvà devaü mucyate sarvapà÷aiþ  SvetUp_2.15d
j¤àtvà devaü mucyate sarvapà÷aiþ  SvetUp_4.16d
j¤àtvà devaü mucyate sarvapà÷aiþ  SvetUp_5.13d
j¤àtvà devaü mucyate sarvapà÷aiþ  SvetUp_6.13d
j¤àtvà devaü sarvapà÷àpahàniþ  SvetUp_1.11a
j¤àtvà ÷ivaü ÷àntim atyantam eti  SvetUp_4.14d
j¤àtvà ÷ivaü sarvabhåteùu gåóhaü  SvetUp_4.16b
j¤ànair bibharti jàyamànaü ca pa÷yet  SvetUp_5.2d
taóidgarbha çtavaþ samudràþ  SvetUp_4.4b
tataþ paraü brahma paraü bçhantaü  SvetUp_3.7a
tato yad uttarataraü  SvetUp_3.10a
tat karma kçtvà vinivartya bhåyas  SvetUp_6.3a
tat kàraõaü sàükhyayogàdhigamyaü  SvetUp_6.13c
tattvasya tattvena sametya yogam  SvetUp_6.3b
tatra yoniü kçõavase  SvetUp_2.7c
tatra saüjàyate manaþ  SvetUp_2.6d
tatvàya savità dhiyaþ  SvetUp_2.1b
tad akùaraü tat savitur vareõyaü  SvetUp_4.18c
tadà devam avij¤àya  SvetUp_6.20c
tad àpas tat prajàpatiþ  SvetUp_4.2d
tad eva ÷ukraü tad brahma  SvetUp_4.2c
tad evàgnis tad àdityas  SvetUp_4.2a
tad brahmà vedate brahmayoniü  SvetUp_5.6b
tad brahmopaniùatparaü tad brahmopaniùatparam  SvetUp_1.16d
tad vàtmatattvaü prasamãkùya dehã  SvetUp_2.14c
tad vàyus tad u candramàþ  SvetUp_4.2b
tad vedaguhyopaniùatsu gåóhaü  SvetUp_5.6a
tadvobhayaü vai praõavena dehe  SvetUp_1.13d
tapaþprabhàvàd devaprasàdàt  SvetUp_6.21a
tam akratuü pa÷yati vãta÷oko  SvetUp_3.20c
tam àtmasthaü ye 'nupa÷yanti dhãràs  SvetUp_6.12c
tam àhur agryaü puruùaü mahàntam  SvetUp_3.19d
tam ã÷ànaü varadaü devam ãóyaü  SvetUp_4.11c
tam ã÷varàõàü paramaü mahe÷varaü  SvetUp_6.7a
tam ekanemiü trivçtaü ùoóa÷àntaü  SvetUp_1.4a
tam eva bhàntam anubhàti sarvaü  SvetUp_6.14c
tam eva viditvàti mçtyum eti  SvetUp_3.8c
tam eva viditvàti mçtyum eti  SvetUp_6.15c
tam evaü j¤àtvà mçtyupà÷àü÷ chinatti  SvetUp_4.15d
tayà nas tanuvà ÷aütamayà  SvetUp_3.5c
tayor anyaþ pippalaü svàdv atty  SvetUp_4.6c
tasmàt sarvagataþ ÷ivaþ  SvetUp_3.11d
tasmin haüso bhràmyate brahmacakre  SvetUp_1.6b
tasmiü÷ cànyo màyayà saüniruddhaþ  SvetUp_4.9d
tasmiüs trayaü svapratiùñhàkùaraü ca  SvetUp_1.7b
tasmai devàya namo namaþ  SvetUp_2.17d
tasya bhàsà sarvam idaü vibhàti  SvetUp_6.14d
tasyàbhidhyànàt tçtãyaü dehabhede  SvetUp_1.11c
tasyàbhidhyànàd yojanàt tattvabhàvàd  SvetUp_1.10c
tasyàvayavabhåtais tu  SvetUp_4.10c
tasyaite kathità hy arthàþ  SvetUp_6.23c
taü devatànàü paramaü ca daivataü  SvetUp_6.7b
taü vi÷varåpaü bhavabhåtam ãóyaü  SvetUp_6.5c
taü ha devam àtmabuddhiprakà÷aü  SvetUp_6.18c
tileùu tailaü dadhanãva sarpir  SvetUp_1.15a
tejomayaü bhràjate tat sudhàntam  SvetUp_2.14b
te tanmayà amçtà vai babhåvuþ  SvetUp_5.6d
te dhyànayogànugatà apa÷yan  SvetUp_1.3a
tena tena sa yujyate  SvetUp_5.10d
tena màü pàhi nityam  SvetUp_4.21d
tenedaü pårõaü puruùeõa sarvam  SvetUp_3.9d
tene÷itaü karma vivartate ha  SvetUp_6.2c
teùàm abhàve kçtakarmanà÷aþ  SvetUp_6.4c
teùàü sukhaü ÷à÷vataü netareùàü  SvetUp_6.12d
trayaü yadà vindate brahmam etat  SvetUp_1.9d
trimàrgabhedaü dvinimittaikamoham  SvetUp_1.4d
trirunnataü sthàpya samaü ÷arãraü  SvetUp_2.8a
tvaü kumàra uta và kumàrã  SvetUp_4.3b
tvaü jàto bhavasi vi÷vatomukhaþ  SvetUp_4.3d
tvaü jãrõo daõóena va¤casi  SvetUp_4.3c
tvaü strã tvaü pumàn asi  SvetUp_4.3a
dagdhendhanam ivànalam  SvetUp_6.19d
dãpopameneha yuktaþ prapa÷yet  SvetUp_2.15b
duùñà÷vayuktam iva vàham enaü  SvetUp_2.9c
duþkhasyànto bhaviùyati  SvetUp_6.20d
deva ekaþ svam àvçõoti  SvetUp_6.10c
devasya savituþ save  SvetUp_2.2b
devasyaiùa mahimà tu loke  SvetUp_6.1c
devaü pa÷yen nigåóhavat  SvetUp_1.14d
devaü svacittastham upàsya pårvam  SvetUp_6.5d
devàtma÷aktiü svaguõair nigåóhàm  SvetUp_1.3b
dyàvàbhåmã janayan deva ekaþ  SvetUp_3.3d
dvà suparõà sayujà sakhàyà  SvetUp_4.6a
dve akùare brahmapare tv anante  SvetUp_5.1a
dharmàvahaü pàpanudaü bhage÷aü  SvetUp_6.6c
dhàtuprasàdàn mahimànam ã÷am  SvetUp_3.20d
dhyànanirmathanàbhyàsàd  SvetUp_1.14c
na cakùuùà pa÷yati ka÷canainaü  SvetUp_4.20b
na càsya ka÷cij janità na càdhipaþ  SvetUp_6.9d
na ce÷ità naiva ca tasya liïgaü  SvetUp_6.9b
na caivàyaü napuüsakaþ  SvetUp_5.10b
na tatra såryo bhàti na candratàrakaü  SvetUp_6.14a
na tatsama÷ càbhyadhika÷ ca dç÷yate  SvetUp_6.8b
na tasya ka÷cit patir asti loke  SvetUp_6.9a
na tasya kàryaü karaõaü ca vidyate  SvetUp_6.8a
na tasya pratimà asti  SvetUp_4.19c
na tasya rogo na jarà na mçtyuþ  SvetUp_2.12c
na dç÷yate naiva ca liïganà÷aþ  SvetUp_1.13b
na madhye parijagrabhat  SvetUp_4.19b
navadvàre pure dehã  SvetUp_3.18a
na san na càsac chiva eva kevalaþ  SvetUp_4.18b
na saüdç÷e tiùñhati råpam asya  SvetUp_4.20a
nahi te pårtam akùipat  SvetUp_2.7d
nàtaþ paraü veditavyaü hi kiücit  SvetUp_1.12b
nànyaþ panthà vidyate 'yanàya  SvetUp_3.8d
nànyaþ panthà vidyate 'yanàya  SvetUp_6.15d
nànyo hetur vidyata ã÷anàya  SvetUp_6.17d
nàputràyà÷iùyàya và punaþ  SvetUp_6.22d
nàpra÷àntàya dàtavyaü  SvetUp_6.22c
nicàyyemàü ÷àntim atyantam eti  SvetUp_4.11d
nityo nityànàü cetana÷ cetanànàm  SvetUp_6.13a
niravadyaü nira¤janam  SvetUp_6.19b
niùkalaü niùkriyaü ÷àntaü  SvetUp_6.19a
nãlaþ pataïgo harito lohitàkùas  SvetUp_4.4a
nãhàradhåmàrkànalànilànàü  SvetUp_2.11a
nemà vidyuto bhànti kuto 'yam agniþ  SvetUp_6.14b
nainam årdhvaü na tirya¤caü  SvetUp_4.19a
naiva strã na pumàn eùa  SvetUp_5.10a
pa¤capràõormiü pa¤cabuddhyàdimålàü  SvetUp_1.5b
pa¤casroto'mbuü pa¤cayonyugravaktràü  SvetUp_1.5a
pa¤càtmake yogaguõe pravçtte  SvetUp_2.12b
pa¤càvartàü pa¤caduþkhaughavegàü  SvetUp_1.5c
pa¤cà÷adbhedàü pa¤caparvàm adhãmaþ  SvetUp_1.5d
patiü patãnàü paramaü parastàd  SvetUp_6.7c
paras trikàlàd akalo 'pi dçùñaþ  SvetUp_6.5b
paràsya ÷aktir vividhaiva ÷råyate  SvetUp_6.8c
pa÷yaty acakùuþ sa ÷çõoty akarõaþ  SvetUp_3.19b
pàcyàü÷ ca sarvàn pariõàmayed yaþ  SvetUp_5.5b
puràkalpe pracoditam  SvetUp_6.22b
puruùa evedaü sarvaü  SvetUp_3.15a
pårvo ha jàtaþ sa u garbhe antaþ  SvetUp_2.16b
pçthag àtmànaü preritàraü ca matvà  SvetUp_1.6c
pçthivyà adhy àbharat  SvetUp_2.1d
pçthivyàptejo'nilakhàni cintyam  SvetUp_6.2d
pçthvyaptejo'nilakhe samutthite  SvetUp_2.12a
prakà÷ante mahàtmanaþ prakà÷ante mahàtmanaþ  SvetUp_6.23d
prakà÷ayan bhràjate yad vànaóvàn  SvetUp_5.4b
praj¤à ca tasmàt prasçtà puràõã  SvetUp_4.18d
praõavaü cottaràraõiü  SvetUp_1.14b
pratyaï janàs tiùñhati sarvatomukhaþ  SvetUp_2.16d
pratyaï janàs tiùñhati saücukocàntakàle  SvetUp_3.2c
pradhànakùetraj¤apatir guõe÷aþ  SvetUp_6.16c
pradhànajaiþ svabhàvataþ  SvetUp_6.10b
pràõàdhipaþ saücarati svakarmabhiþ  SvetUp_5.7d
pràõàn prapãóyeha sa yuktaceùñaþ  SvetUp_2.9a
pràptasya yogàgnimayaü ÷arãram  SvetUp_2.12d
provàca samyag çùisaïghajuùñam  SvetUp_6.21d
bahvãþ prajàþ sçjamànàü saråpàþ  SvetUp_4.5b
buddher guõenàtmaguõena caiva  SvetUp_5.8c
bçhaj jyotiþ kariùyataþ  SvetUp_2.3c
brahmaõy abhivyaktikaràõi yoge  SvetUp_2.11d
brahmavàdino hi pravadanti nityam  SvetUp_3.21d
brahma ha ÷vetà÷vataro 'tha vidvàn  SvetUp_6.21b
brahmoóupena pratareta vidvàn  SvetUp_2.8c
bhàgo jãvaþ sa vij¤eyaþ  SvetUp_5.9c
bhàvagràhyam anãóàkhyaü  SvetUp_5.14a
bhàvàbhàvakaraü ÷ivaü  SvetUp_5.14b
bhàvàü÷ ca sarvàn viniyojayed yaþ  SvetUp_6.4b
bhãruþ prapadyate  SvetUp_4.21b
bhåtaü bhavyaü yac ca vedà vadanti  SvetUp_4.9b
bhåtàni yoniþ puruùeti cintyam  SvetUp_1.2b
bhåya÷ cànte vi÷vamàyànivçttiþ  SvetUp_1.10d
bhåyaþ sçùñvà patayas tathe÷aþ  SvetUp_5.3c
bhoktà bhogyaü preritàraü ca matvà  SvetUp_1.12c
mano'nukåle na tu cakùupãóane  SvetUp_2.10c
mahàn prabhur vai puruùaþ  SvetUp_3.12a
mahã devasya savituþ pariùñutiþ  SvetUp_2.4d
mà nas toke tanaye mà na àyuùi  SvetUp_4.22a
mà no goùu mà no a÷veùu rãriùaþ  SvetUp_4.22b
màyàü tu prakçtiü vidyàn  SvetUp_4.10a
màyinaü tu mahe÷varaü  SvetUp_4.10b
mà hiüsãþ puruùaü jagat  SvetUp_3.6d
mumukùur vai ÷araõam ahaü prapadye  SvetUp_6.18d
ya it tad vidus ta ime samàsate  SvetUp_4.8d
ya imàül lokàn ã÷ata ã÷anãbhiþ  SvetUp_3.2b
ya ã÷e asya dvipada÷ catuùpadaþ  SvetUp_4.13c
ya eko jàlavàn ã÷ata ã÷anãbhiþ  SvetUp_3.1a
ya eko 'varõo bahudhà ÷aktiyogàd  SvetUp_4.1a
ya etad vidur amçtàs te bhavanti  SvetUp_3.1d
ya etad vidur amçtàs te bhavanti  SvetUp_3.10c
ya etad vidur amçtàs te bhavanti  SvetUp_3.13d
ya etad vidur amçtàs te bhavanti  SvetUp_4.17d
ya evaika udbhave saübhave ca  SvetUp_3.1c
ya oùadhãùu yo vanaspatãùu  SvetUp_2.17c
yac ca svabhàvaü pacati vi÷vayoniþ  SvetUp_5.5a
yato jàtàni bhuvanàni vi÷và  SvetUp_4.4d
yathà deve tathà gurau  SvetUp_6.23b
yathànikàyaü sarvabhåteùu gåóhaü  SvetUp_3.7b
yathaiva bimbaü mçdayopaliptaü  SvetUp_2.14a
yad annenàtirohati  SvetUp_3.15d
yad aråpam anàmayam  SvetUp_3.10b
yadà carmavad àkà÷aü  SvetUp_6.20a
yadàtamas tan na divà na ràtrir  SvetUp_4.18a
yad àtmatattvena tu brahmatattvaü  SvetUp_2.15a
yad bhåtaü yac ca bhavyam  SvetUp_3.15b
yad yac charãram àdatte  SvetUp_5.10c
yas tantunàbha iva tantubhiþ  SvetUp_6.10a
yas tan na veda kim çcà kariùyati  SvetUp_4.8c
yasmàt paraü nàparam asti kiücid  SvetUp_3.9a
yasmàt prapa¤caþ parivartate 'yaü  SvetUp_6.6b
yasmàn nàõãyo na jyàyo 'sti kiücit  SvetUp_3.9b
yasmin devà adhi vi÷ve niùedhuþ  SvetUp_4.8b
yasminn idaü saü ca vi caiti sarvam  SvetUp_4.11b
yasmin yuktà brahmarùayo devatà÷ ca  SvetUp_4.15c
yasmiül lokà adhi÷ritàþ  SvetUp_4.13b
yasya deve parà bhaktir  SvetUp_6.23a
yasya nàma mahad ya÷aþ  SvetUp_4.19d
yaþ kàraõàni nikhilàni tàni  SvetUp_1.3c
yà te rudra ÷ivà tanår  SvetUp_3.5a
yàm iùuü giri÷anta  SvetUp_3.6a
yuktena manasà vayaü  SvetUp_2.2a
yuktvàya manasà devàn  SvetUp_2.3a
yuje vàü brahma pårvyaü namobhir  SvetUp_2.5a
yu¤jate mana uta yu¤jate dhiyo  SvetUp_2.4a
yu¤jànaþ prathamaü manas  SvetUp_2.1a
yenàvçtaü nityam idaü hi sarvaü  SvetUp_6.2a
yenedaü bhràmyate brahmacakram  SvetUp_6.1d
ye pårvaü devà çùaya÷ ca tad vidus  SvetUp_5.6c
ye vidus te jahus tanum  SvetUp_5.14d
yogapravçttiü prathamàü vadanti  SvetUp_2.13d
yo devànàm adhipo  SvetUp_4.13a
yo devànàü prabhava÷ codbhava÷ ca  SvetUp_3.4a
yo devànàü prabhava÷ codbhava÷ ca  SvetUp_4.12a
yo devo agnau yo apsu  SvetUp_2.17a
yonisvabhàvàn adhitiùñhaty ekaþ  SvetUp_5.4d
yo brahmàõaü vidadhàti pårvaü  SvetUp_6.18a
yo yoniü-yonim adhitiùñhaty eko  SvetUp_4.11a
yo yoniü yonim adhitiùñhaty eko  SvetUp_5.2a
yo vi÷vaü bhuvanam àvive÷a  SvetUp_2.17b
yo vai vedàü÷ ca prahiõoti tasmai  SvetUp_6.18b
rudra yat dakùiõaü mukham  SvetUp_4.21c
råpàõi dehã svaguõair vçõoti  SvetUp_5.12b
laghutvam àrogyam alolupatvaü  SvetUp_2.13a
lãnà brahmaõi tatparà yonimuktàþ  SvetUp_1.7d
varõaprasàdaþ svarasauùñhavaü ca  SvetUp_2.13b
varõàn anekàn nihitàrtho dadhàti  SvetUp_4.1b
vartàmahe brahmavido vyavasthàm  SvetUp_1.1d
va÷ã sarvasya lokasya  SvetUp_3.18c
vahner yathà yonigatasya mårtir  SvetUp_1.13a
vàyur yatràdhirudhyate  SvetUp_2.6b
vàlàgra÷atabhàgasya  SvetUp_5.9a
vi caiti cànte vi÷vam àdau sa devaþ  SvetUp_4.1c
vidàma devaü bhuvane÷am ãóyam  SvetUp_6.7d
vidyàvidye ã÷ate yas tu so 'nyaþ  SvetUp_5.1d
vidyàvidye nihite yatra gåóhe  SvetUp_5.1b
vidvàn mano dhàrayetàpramattaþ  SvetUp_2.9d
viprà viprasya bçhato vipa÷citaþ  SvetUp_2.4b
vivarjite ÷abdajalà÷rayàdibhiþ  SvetUp_2.10b
vi ÷loka etu pathyeva såreþ  SvetUp_2.5b
vi÷vata÷cakùur uta vi÷vatomukho  SvetUp_3.3a
vi÷vatobàhur uta vi÷vataspàt  SvetUp_3.3b
vi÷vasya sraùñàram anekaråpaü  SvetUp_4.14b
vi÷vasya sraùñàram anekaråpaü  SvetUp_5.13b
vi÷vasyaikaü pariveùñitàram  SvetUp_3.7c
vi÷vasyaikaü pariveùñitàraü  SvetUp_4.14c
vi÷vasyaikaü pariveùñitàraü  SvetUp_4.16c
vi÷vasyaikaü pariveùñitàraü  SvetUp_5.13c
vi÷vàdhiko rudro maharùiþ  SvetUp_4.12b
vi÷vàdhipaþ sarvabhåteùu gåóhaþ  SvetUp_4.15b
vi÷vàdhipo rudro maharùiþ  SvetUp_3.4b
vi÷vàni råpàõi yonã÷ ca sarvàþ  SvetUp_5.2b
vi÷vai÷varyaü kevala àptakàmaþ  SvetUp_1.11d
vi hotrà dadhe vayunàvid eka in  SvetUp_2.4c
vãràn mà no rudra bhàmito vadhãr  SvetUp_4.22c
vçkùa iva stabdho divi tiùñhaty ekas  SvetUp_3.9c
vedànte paramaü guhyaü  SvetUp_6.22a
vedàham etam ajaraü puràõaü  SvetUp_3.21a
vedàham etaü puruùaü mahàntam  SvetUp_3.8a
veùñayiùyanti mànavàþ  SvetUp_6.20b
vyaktàvyaktaü bharate vi÷vam ã÷aþ  SvetUp_1.8b
vyàptaü sarvaü idaü jagat  SvetUp_4.10d
÷atadhà kalpitasya ca  SvetUp_5.9b
÷atàrdhàraü viü÷atipratyaràbhiþ  SvetUp_1.4b
÷ivàü giritra tàü kuru  SvetUp_3.6c
÷çõvanti vi÷ve amçtasya putrà  SvetUp_2.5c
sa ã÷e asya jagato nityam eva  SvetUp_6.17c
sa eva kàle bhuvanasya goptà  SvetUp_4.15a
sa eva jàtaþ sa janiùyamànaþ  SvetUp_2.16c
sa evàgniþ salile saüniviùñaþ  SvetUp_6.15b
sa kàraõaü karaõàdhipàdhipo  SvetUp_6.9c
sa cànantyàya kalpate  SvetUp_5.9d
sa tanmayo hy amçta ã÷asaüstho  SvetUp_6.17a
sattvasyaiùa pravartakaþ  SvetUp_3.12b
satyenainaü tapasà yo 'nupa÷yati  SvetUp_1.15d
sadà janànàü hçdaye saüniviùñaþ  SvetUp_3.13b
sadà janànàü hçdaye saüniviùñaþ  SvetUp_4.17b
sa no dadhàd brahmàpyayam  SvetUp_6.10d
sa no buddhyà ÷ubhayà saüyunaktu  SvetUp_3.4d
sa no buddhyà ÷ubhayà saüyunaktu  SvetUp_4.1d
sa no buddhyà ÷ubhayà saüyunaktu  SvetUp_4.12d
