Svetasvatara-Upanisad (Svetasvataropanisad)
Based on two editions:
1. Isadi nau upanisad. Ed. by Harikrsnadas Goendaka. (Gorakhpur : Gita Press, 2038 samvat)
2. Sri Sri Sruti-ratna-mala. Ed. by Bhakti Sudhakar. (Dhaka : 'Manjusa Printing Works) n.d



Input by Jan Brzezinski



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agnir yatràbhimathyate  SvetUp_2.6a
j¤àtvàtma-stham amçtaü vi÷va-dhàma  SvetUp_6.6d
j¤àtvà devaü mucyate sarva-pà÷aiþ  SvetUp_1.8d
j¤àtvà devaü mucyate sarva-pà÷aiþ  SvetUp_2.15d
j¤àtvà devaü mucyate sarva-pà÷aiþ  SvetUp_4.16d
j¤àtvà devaü mucyate sarva-pà÷aiþ  SvetUp_5.13d
j¤àtvà devaü mucyate sarva-pà÷aiþ  SvetUp_6.13d
j¤àtvà devaü sarva-pà÷àpahàniþ  SvetUp_1.11a
j¤àtvà ÷ivaü ÷àntim atyantam eti [*19]  SvetUp_4.14 d
j¤àtvà ÷ivaü sarva-bhåteùu gåóham  SvetUp_4.16b
j¤ànair bibharti jàyamànaü ca pa÷yet  SvetUp_5.2d
taóid-garbha çtavaþ samudràþ  SvetUp_4.4b
tataþ paraü brahma paraü bçhantaü  SvetUp_3.7a
tato yad uttarataraü  SvetUp_3.10a
tat karma kçtvà vinivartya bhåyas  SvetUp_6.3a
tat kàraõaü sàïkhya-yogàdhigamyaü  SvetUp_6.13c
tattvasya tattvena sametya yogam  SvetUp_6.3b
tattvàya savità dhiyaþ  SvetUp_2.1 b
tatra sa¤jàyate manaþ  SvetUp_2.6d
tad akùaraü tat savitur vareõyaü  SvetUp_4.18c
tad aråpam anàmayam  SvetUp_3.10b
tadà devam avij¤àya  SvetUp_6.20c
tad àpas tat prajàpatiþ [*15]  SvetUp_4.2 d
tad eva ÷ukraü tad brahma  SvetUp_4.2 c
tad evàgnis tad àdityas  SvetUp_4.2 a
tad brahmà vedate brahma-yonim  SvetUp_5.6b
tad brahmopaniùat param  SvetUp_1.16d
tad vàtma-tattvaü prasamãkùya dehã  SvetUp_2.14c
tad vàyus tad u candramàþ  SvetUp_4.2 b
tad veda-guhyopaniùatsu gåóhaü  SvetUp_5.6a
tad vobhayaü vai praõavena dehe  SvetUp_1.13d
tapaþ-prabhàvàd deva-prasàdàc ca  SvetUp_6.21a
tam akratuþ pa÷yati vãta-÷oko  SvetUp_3.20 c
tam àtma-sthaü ye 'nupa÷yanti dhãràs  SvetUp_6.12c
tam àhur agryaü puruùaü mahàntam  SvetUp_3.19d
tam ã÷ànaü varadaü devam ãóyaü  SvetUp_4.11c
tam ã÷varàõàü paramaü mahe÷varaü  SvetUp_6.7a
tam eka-nemiü tri-vçtaü ùoóa÷àntaü  SvetUp_1.4a
tam eva bhàntam anubhàti sarvaü  SvetUp_6.14c
tam eva viditvàtimçtyum eti  SvetUp_3.8 c
tam eva viditvàtimçtyum eti  SvetUp_6.15c
tam evaü j¤àtvà mçtyu-pà÷àü÷ chinatti  SvetUp_4.15d
tayà nas tanuvà ÷antamayà  SvetUp_3.5 c
tayor anyaþ pippalaü svàdv atty  SvetUp_4.6 c
tasmàt sarva-gataþ ÷ivaþ  SvetUp_3.11d
tasmiü÷ cànyo màyayà sanniruddhaþ  SvetUp_4.9d
tasmiüs trayaü supratiùñhàkùaraü ca  SvetUp_1.7b
tasmai devàya namo namaþ  SvetUp_2.17d
tasya bhàsà sarvam idaü vibhàti  SvetUp_6.14d
tasyàbhidhyànàt tçtãyaü deha-bhede  SvetUp_1.11c
tasyàbhidhyànàd yojanàt tattva-bhàvàd  SvetUp_1.10c
tasyàvayava-bhåtais tu  SvetUp_4.10c
tasyaite kathità hy arthàþ  SvetUp_6.23c
taü devatànàü paramaü ca daivatam  SvetUp_6.7b
taü vi÷va-råpaü bhava-bhåtam ãóyaü  SvetUp_6.5c
taü ha devaü àtma-buddhi-prakà÷aü  SvetUp_6.18c
tileùu tailaü dadhanãva sarpir  SvetUp_1.15a
tejo-mayaü bhràjate tat sudhàntam  SvetUp_2.14b
te tan-mayà amçtà vai babhåvuþ  SvetUp_5.6d
te dhyàna-yogànugatà apa÷yan  SvetUp_1.3a
tena tena sa yujyate  SvetUp_5.10d
tena màü pàhi nityam  SvetUp_4.21d
tenedaü pårõaü puruùeõa sarvam  SvetUp_3.9d
tene÷itaü karma vivartate ha  SvetUp_6.2c
teùàm abhàve kçta-karma-nà÷aþ  SvetUp_6.4c
teùàü sukhaü ÷à÷vataü netareùàm  SvetUp_6.12d
trayaü yadà vindate brahmam etat  SvetUp_1.9d
tri-màrga-bhedaü dvi-nimittaika-moham  SvetUp_1.4d
trir unnataü sthàpya samaü ÷arãraü  SvetUp_2.8a
tvaü kumàra uta và kumàrã  SvetUp_4.3 b
tvaü jàto bhavasi vi÷vato-mukhaþ [*16]  SvetUp_4.3 d
tvaü jãrõo daõóena va¤casi  SvetUp_4.3 c
tvaü strã pumàn asi  SvetUp_4.3 a
dagdhendanam ivànalam  SvetUp_6.19d
dãpopameneha yuktaþ prapa÷yet  SvetUp_2.15b
duùñà÷va-yuktam iva vàham enaü  SvetUp_2.9c
duþkhasyànto bhaviùyati  SvetUp_6.20d
deva ekaþ svam àvçõoti  SvetUp_6.10c
devasya savituþ save  SvetUp_2.2 b
devasyaiùa mahimà tu loke  SvetUp_6.1c
devaü pa÷yan nigåóhavat  SvetUp_1.14d
devaü sva-citta-stham upàsya pårvam  SvetUp_6.5d
devàtma-÷aktiü sva-guõair nigåóhàm  SvetUp_1.3b
dyàv-àbhåmã janayan deva ekaþ  SvetUp_3.3 d
dvà suparõà sayujà sakhàyà  SvetUp_4.6 a
dve akùare brahma-pare tv anante  SvetUp_5.1a
dharmàvahaü pàpa-nudaü bhage÷aü  SvetUp_6.6c
dhàtuþ prasàdàn mahimànam ã÷am [*14]  SvetUp_3.20 d
dhyàna-nirmathanàbhyàsàd  SvetUp_1.14c
na cakùuùà pa÷yati ka÷canainam  SvetUp_4.20b
na càsya ka÷cij janità na càdhipaþ  SvetUp_6.9d
na ce÷ità naiva ca tasya liïgam  SvetUp_6.9b
na caivàyaü napuüsakaþ  SvetUp_5.10b
na tatra såryo bhàti na candra-tàrakaü  SvetUp_6.14a
na tat-sama÷ càbhyadhika÷ ca dç÷yate  SvetUp_6.8b
na tasya ka÷cit patir asti loke  SvetUp_6.9a
na tasya kàryaü karaõaü ca vidyate  SvetUp_6.8a
na tasya pratimà asti  SvetUp_4.19c
na tasya rogo na jarà na mçtyuþ  SvetUp_2.12c
na dç÷yate naiva ca liïga-nà÷aþ  SvetUp_1.13b
na madhye na parijagrabhat  SvetUp_4.19b
nava-dvàre pure dehã  SvetUp_3.18a
na san na càsac chiva eva kevalaþ  SvetUp_4.18b
na saüdç÷e tiùñhati råpam asya  SvetUp_4.20a
na hi te pårvam akùipat  SvetUp_2.7d
nàtaþ paraü veditavyaü hi ki¤cit  SvetUp_1.12b
nànyaþ panthà vidyate 'yanàya  SvetUp_3.8 d
nànyaþ panthà vidyate 'yanàya  SvetUp_6.15d
nànyo hetur vidyata ã÷anàya  SvetUp_6.17d
nàputràyà÷iùyàya và punaþ  SvetUp_6.22d
nàpra÷àntàya dàtavyaü  SvetUp_6.22c
nicàyyemàü ÷àntim atyantam eti  SvetUp_4.11d
nityo nityànàü cetana÷ cetanànàm  SvetUp_6.13a
niravadyaü nira¤janam  SvetUp_6.19b
niùkalaü niùkriyaü ÷àntaü  SvetUp_6.19a
nãlaþ pataïgo harito lohitàkùas  SvetUp_4.4a
'nã÷ayà ÷ocati muhyamànaþ  SvetUp_4.7b
nãhàra-dhåmàrkànilànalànàü  SvetUp_2.11a
nemà vidyuto bhànti kuto 'yam agniþ  SvetUp_6.14b
nainam årdhvaü na tirya¤caü  SvetUp_4.19a
naiva strã na pumàn eùa  SvetUp_5.10a
pa¤ca-pràõormiü pa¤ca-buddhy-àdi-målàm  SvetUp_1.5b
pa¤ca-sroto 'mbuü pa¤ca-yony-ugra-vakràü  SvetUp_1.5a
pa¤càtmake yoga-guõe pravçtte  SvetUp_2.12b
pa¤càvartàü pa¤ca-duþkhaugha-vegàü  SvetUp_1.5c
pa¤cà÷ad-bhedàü pa¤ca-parvàm adhãmaþ  SvetUp_1.5d
patiü patãnàü paramaü parastàd  SvetUp_6.7c
paras trikàlàd akalo 'pi dçùñaþ  SvetUp_6.5b
paràsya ÷aktir vividhaiva ÷råyate  SvetUp_6.8c
pa÷yaty acakùuþ sa ÷çõoty akarõaþ  SvetUp_3.19b
pàcyàü÷ ca sarvàn pariõàmayed yaþ  SvetUp_5.5b
purà-kalpe pracoditam  SvetUp_6.22b
puruùa evedaü sarvaü  SvetUp_3.15 a
pårvo ha jàtaþ sa u garbhe antaþ  SvetUp_2.16b
pçthag àtmànaü preritàraü ca matvà  SvetUp_1.6c
pçthivy-ap-tejo 'nila-khàni cintyam  SvetUp_6.2d
pçthivy-ap-tejo 'nila-khe samutthite  SvetUp_2.12a
pçthivyà adhyàbharat  SvetUp_2.1 d
prakà÷ante mahàtmanaþ  SvetUp_6.23d
prakà÷ayan bhràjate yad v anaóvàn  SvetUp_5.4b
praj¤à ca tasmàt prasçtà puràõã  SvetUp_4.18d
praõavaü cottaràraõim  SvetUp_1.14b
pratyaï janàüs tiùñhati sa¤cukocànta-kàle  SvetUp_3.2c
pratyaï janàüs tiùñhati sarvato-mukhaþ  SvetUp_2.16d
pradhàna-kùetra-j¤a-patir guõe÷aþ  SvetUp_6.16c
pradhànajaiþ svabhàvataþ  SvetUp_6.10b
pràõàdhipaþ sa¤carati sva-karmabhiþ  SvetUp_5.7d
pràõàn prapãóyeha saüyukta-ceùñaþ  SvetUp_2.9a
pràptasya yogàgni-mayaü ÷arãram  SvetUp_2.12d
provàca samyag-çùi-saïgha-juùñam  SvetUp_6.21d
bahvãþ prajàþ sçjamànàü sa-råpàþ  SvetUp_4.5b
bàlàgra-÷ata-bhàgasya  SvetUp_5.9a
buddher guõenàtma-guõena caiva  SvetUp_5.8c
bçhaj jyotiþ kariùyataþ  SvetUp_2.3 c
brahmaõy abhivyakti-karàõi yoge  SvetUp_2.11d
brahma-vàdino hi pravadanti nityam  SvetUp_3.21d
brahma ha ÷vetà÷vataro 'tha vidvàn  SvetUp_6.21b
brahmoóupena pratareta vidvàn  SvetUp_2.8c
bhàgo jãvaþ sa vij¤eyaþ  SvetUp_5.9c
bhàva-gràhyam anãóàkhyaü  SvetUp_5.14a
bhàvàbhàva-karaü ÷ivam  SvetUp_5.14b
bhàvàü÷ ca sarvàn viniyojayed yaþ  SvetUp_6.4b
bhãruþ prapadyate  SvetUp_4.21b
bhåtaü bhavyaü yac ca vedà vadanti  SvetUp_4.9b
bhåtàni yoniþ puruùa iti cintyà  SvetUp_1.2b
bhåya÷ cànte vi÷va-màyà-nivçttiþ  SvetUp_1.10d
bhåyaþ sçùñvà patayas tathe÷aþ  SvetUp_5.3c
bhoktà bhogyaü preritàraü ca matvà  SvetUp_1.12c
mano 'nukåle na tu cakùu-pãóane  SvetUp_2.10c
mahàn prabhur vai puruùaþ  SvetUp_3.12a
mà nas toke tanaye mà na àyuùi  SvetUp_4.22 a
mà no goùu mà na a÷veùu rãriùaþ  SvetUp_4.22 b
màyàü tu prakçtiü vidyàn  SvetUp_4.10a
màyinaü ca mahe÷varam  SvetUp_4.10b
mà hiüsãþ puruùaü jagat  SvetUp_3.6 d
mumukùur vai ÷araõam ahaü prapadye  SvetUp_6.18d
ya it tad vidus ta ime samàsate [*18]  SvetUp_4.8 d
ya imàül lokàn ã÷ata ã÷anãbhiþ  SvetUp_3.2b
ya ã÷e asya dvipada÷ catuùpadaþ  SvetUp_4.13c
ya ã÷e 'sya jagato nityam eva  SvetUp_6.17c
ya eko jàlavàn ã÷ata ã÷anãbhiþ  SvetUp_3.1a
ya eko 'varõo bahudhà ÷akti-yogàd  SvetUp_4.1a
ya etad vidur amçtàs te bhavanti  SvetUp_3.1d
ya etad vidur amçtàste bhavanti  SvetUp_3.10c
ya etad vidur amçtàs te bhavanti  SvetUp_3.13d
ya etad vidur amçtàs te bhavanti  SvetUp_4.17d
ya evaika udbhave sambhave ca  SvetUp_3.1c
ya oùadhãùu yo vanaspatiùu  SvetUp_2.17c
yac ca svabhàvaü pacati vi÷va-yoniþ  SvetUp_5.5a
yato jàtàni bhuvanàni vi÷và  SvetUp_4.4d
yatra yoniü kçõavase  SvetUp_2.7c
yathà deve tathà gurau  SvetUp_6.23b
yathànikàyaü sarva-bhåteùu gåóham  SvetUp_3.7b
yathaiva bimbaü mçdayopaliptaü  SvetUp_2.14a
yad annenàtirohati [*12]  SvetUp_3.15 d
yadà carmavad àkà÷aü  SvetUp_6.20a
yadàtamas tan na divà na ràtrir  SvetUp_4.18a
yad àtma-tattvena tu brahma-tattvaü  SvetUp_2.15a
yad bhåtaü yac ca bhavyam  SvetUp_3.15 b
yad yac charãram àdatte  SvetUp_5.10c
yas tantu-nàbha iva tantubhiþ  SvetUp_6.10a
yas taü na veda kim çcà kariùyati  SvetUp_4.8 c
yasmàt paraü nàparam asti kiücid  SvetUp_3.9a
yasmàt prapa¤caþ parivartate 'yam  SvetUp_6.6b
yasmàn nàõãyo na jyàyo 'sti ka÷cit  SvetUp_3.9b
yasmin devà adhi vi÷ve niùeduþ  SvetUp_4.8 b
yasminn idam saü ca vicaiti sarvam  SvetUp_4.11b
yasmin yuktà brahmarùayo devatà÷ ca  SvetUp_4.15c
yasmin lokà adhi÷ritàþ  SvetUp_4.13b
yasya deve parà bhaktiþ  SvetUp_6.23a
yasya nàma mahad ya÷aþ  SvetUp_4.19d
yaþ kàraõàni nikhilàni tàni  SvetUp_1.3c
yà te rudra ÷ivà tanår  SvetUp_3.5 a
yàbhiùuü giri÷anta  SvetUp_3.6 a
yuktena manasà vayaü  SvetUp_2.2 a
yuktvàya manasà devàn  SvetUp_2.3 a
yuje vàü brahma pårvyaü namobhir  SvetUp_2.5 a
yu¤jate mana uta yu¤jate dhiyo  SvetUp_2.4 a
yu¤jànaþ prathamaü manas-  SvetUp_2.1 a
yenàvçtaü nityam idaü hi sarvaü  SvetUp_6.2a
yenedaü bhràmyate brahma-cakram  SvetUp_6.1d
ye pårvaü devà çùaya÷ ca tad vidus  SvetUp_5.6c
ye vidus te jahus tanum  SvetUp_5.14d
yoga-pravçttiü prathamàü vadanti  SvetUp_2.13d
yo devànàm adhipo  SvetUp_4.13a
yo devànàü prabhava÷ codbhava÷ ca  SvetUp_3.4a
yo devànàü prabhava÷ codbhava÷ ca  SvetUp_4.12a
yo devo agnau yo 'psu  SvetUp_2.17a
yoni-svabhàvàn adhitiùñhaty ekaþ  SvetUp_5.4d
yo brahmàõaü vidadhàti pårvaü  SvetUp_6.18a
yo yoniü yonim adhitiùñhaty eko  SvetUp_4.11a
yo yoniü yonim adhitiùñhaty eko  SvetUp_5.2a
yo vi÷vaü bhuvanam àvive÷a  SvetUp_2.17b
yo vai vedàü÷ ca prahiõoti tasmai  SvetUp_6.18b
rudra yat te dakùiõaü mukhaü  SvetUp_4.21c
råpàõi dehã sva-guõair vçõoti  SvetUp_5.12b
laghutvam àrogyam alolupatvaü  SvetUp_2.13a
lãnà brahmaõi tat-parà yoni-muktàþ  SvetUp_1.7d
vadhãr haviùmantaþ sadàmit tvà havàmahe [*20]  SvetUp_4.22 d
varaõàn anekàn nihitàrtho dadhàti  SvetUp_4.1b
varõa-prasàdaü svara-sauùñhavaü ca  SvetUp_2.13b
vartàmahe brahma-vido vyavasthàm  SvetUp_1.1d
va÷ã sarvasya lokasya  SvetUp_3.18c
vahner yathà yoni-gatasya mårtir  SvetUp_1.13a
vàyur yatràdhirudhyate  SvetUp_2.6b
vi caiti cànte vi÷vam àdau sa devaþ  SvetUp_4.1c
vidàma devaü bhuvane÷am ãóyam  SvetUp_6.7d
vidyàvidye ã÷ate yas tu so 'nyaþ  SvetUp_5.1d
vidyàvidye nihite yatra gåóhe  SvetUp_5.1b
vidvàn mano dhàrayetàpramattaþ  SvetUp_2.9d
viprà viprasya bçhato vipa÷citaþ  SvetUp_2.4 b
vivarjite ÷abda-jalà÷rayàdibhiþ  SvetUp_2.10b
vi÷loka etu pathy eva såreþ  SvetUp_2.5 b
vi÷vata÷ cakùur uta vi÷vato-mukho  SvetUp_3.3 a
vi÷vato-bàhur uta vi÷vatas-pàt  SvetUp_3.3 b
vi÷vasya sraùñàram aneka-råpam  SvetUp_4.14 b
vi÷vasya sraùñàram aneka-råpam  SvetUp_5.13b
vi÷vasyaikaü pariveùñitàram  SvetUp_3.7c
vi÷vasyaikaü pariveùñitàraü  SvetUp_4.14 c
vi÷vasyaikaü pariveùñitàraü  SvetUp_4.16c
vi÷vasyaikaü pariveùñitàraü  SvetUp_5.13c
vi÷vàdhipaþ sarva-bhåteùu gåóhaþ  SvetUp_4.15b
vi÷vàdhipo rudro maharùiþ  SvetUp_3.4b
vi÷vàdhipo rudro maharùiþ  SvetUp_4.12b
vi÷vàni råpàõi yonã÷ ca sarvàþ  SvetUp_5.2b
vi÷vai÷varyaü kevala àpta-kàmaþ  SvetUp_1.11d
vi hotrà dadhe vayunàvid eka  SvetUp_2.4 c
vãràn mà no rudra bhàmito  SvetUp_4.22 c
vçkùa iva stabdho divi tiùñhaty ekas  SvetUp_3.9c
vedànte paramaü guhyaü  SvetUp_6.22a
vedàham etam ajaraü puràõaü  SvetUp_3.21a
vedàham etaü puruùaü mahàntam  SvetUp_3.8 a
veùñayiùyanti mànavàþ  SvetUp_6.20b
vyaktàvyaktaü bharate vi÷vam ã÷aþ  SvetUp_1.8b
vyàptaü sarvam idaü jagat  SvetUp_4.10d
÷atadhà kalpitasya ca  SvetUp_5.9b
÷atàrdhàraü viü÷ati-pratyaràbhiþ  SvetUp_1.4b
÷ivàü giritra tàü kuru  SvetUp_3.6 c
÷çõvantu vi÷ve amçtasya putrà  SvetUp_2.5 c
sa eva kàle bhuvanasya goptà  SvetUp_4.15a
sa eva jàtaþ sa janiùyamàõaþ  SvetUp_2.16c
sa evàgniþ salile saüniviùñaþ  SvetUp_6.15b
sa kàraõaü karaõàdhipàdhipo  SvetUp_6.9c
saïkalpana-spar÷ana-dçùñi-mohair  SvetUp_5.11a
saïkalpàhaïkàra-samanvito yaþ  SvetUp_5.8b
