Svetasvatara-Upanisad (Svetasvataropanisad)
Based on the electronic text available from "Sanskrit Documents" (http://sanskrit.gde.to).


Input by S. H., proofread by John Manetta



This GRETIL version has been checked against the edition
by V.P. Limaye and R.D. Vadekar (Eighteen Principal Upanisads, vol. 1, 
Poona 1958), and the electronic version available on TITUS. 
In cases of divergence, preference has usually been given to the printed 
edition.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





agnir yatrÃbhimathyate  SvetUp_2.6a
Ãdityavar¤aæ tamasa÷ parastÃt  SvetUp_3.8b
Ãdi÷ sa saæyoganimittahetu÷  SvetUp_6.5a
Ãpa÷ srota÷sv ara¤ã«u cÃgni÷  SvetUp_1.15b
Ã ye dhÃmÃni diviyÃni tasthu÷  SvetUp_2.5d
Ãrabhya karmÃ¤i gu¤ÃnvitÃni  SvetUp_6.4a
ÃrÃgramÃtro hy avaro 'pi d­«Âa÷  SvetUp_5.8d
ãÓaæ taæ j¤ÃtvÃm­tÃ bhavanti  SvetUp_3.7d
ãÓÃno jyotir avyaya÷  SvetUp_3.12d
utÃm­tatvasyeÓÃno  SvetUp_3.15c
udgãtam etat paramaæ tu brahma  SvetUp_1.7a
­co ak«are parame vyoman  SvetUp_4.8a
­«iæ prasÆtaæ kapilaæ yas tam agre  SvetUp_5.2c
ekaæ bãjaæ bahudhÃ ya÷ karoti  SvetUp_6.12b
eka÷ k­tÃrtho bhavate vãtaÓoka÷  SvetUp_2.14d
ekÃ bhokt­bhogÃrthayuktÃ  SvetUp_1.9b
ekena dvÃbhyÃæ tribhir a«Âabhir vÃ  SvetUp_6.3c
ekaikaæ jÃlaæ bahudhÃ vikurvann  SvetUp_5.3a
eko deva÷ sarvabhÆte«u gÆ¬ha÷  SvetUp_6.11a
eko bahÆnÃæ yo vidadhÃti kÃmÃn  SvetUp_6.13b
eko vaÓã ni«kriyÃ¤Ãæ bahÆ¤Ãm  SvetUp_6.12a
eko haæso bhuvanasyÃsya madhye  SvetUp_6.15a
eko hi rudro na dvitãyÃya tasthe  SvetUp_3.2a
etaj j¤eyaæ nityam evÃtmasaæsthaæ  SvetUp_1.12a
etÃni rÆpÃ¤i pura÷sarÃ¤i  SvetUp_2.11c
evam ÃtmÃ Ãtmani g­hyate 'sau  SvetUp_1.15c
evaæ vidur am­tÃs te bhavanti  SvetUp_4.20d
evaæ sa devo bhagavÃn vare¤yo  SvetUp_5.4c
e«a devo viÓvakarmÃ mahÃtmÃ  SvetUp_4.17a
e«a ha deva÷ pradiÓo 'nu sarvÃ÷  SvetUp_2.16a
karmak«aye yÃti sa tattvato 'nya÷  SvetUp_6.4d
karmÃdhyak«a÷ sarvabhÆtÃdhivÃsa÷  SvetUp_6.11c
karmÃnugÃny anukramena dehã  SvetUp_5.11c
kalÃsargakaraæ devaæ  SvetUp_5.14c
kasmai devÃya havi«Ã vidhema  SvetUp_4.13d
kÃlaæ tathÃnye parimuhyamÃnÃ÷  SvetUp_6.1b
kÃla÷ svabhÃvo niyatir yad­cchÃ  SvetUp_1.2a
kÃlÃtmayuktÃny adhiti«Âhaty eka÷  SvetUp_1.3d
kÃlena caivÃtmagu¤aiÓ ca sÆk«mai÷  SvetUp_6.3d
kiækÃra¤aæ brahma kuta÷ sma jÃtÃ  SvetUp_1.1a
k­tasya tasyaiva sa copabhoktÃ  SvetUp_5.7b
kriyÃgu¤air Ãtmagu¤aiÓ ca te«Ãæ  SvetUp_5.12c
k«araæ tv avidyÃ hy am­taæ tu vidyÃ  SvetUp_5.1c
k«araæ pradhÃnam am­tÃk«araæ hara÷  SvetUp_1.10a
k«arÃtmÃnÃv ãÓate deva eka÷  SvetUp_1.10b
k«ãne prÃ¤e nÃsikayocchvasãta  SvetUp_2.9b
k«ãnai÷ kleÓair janmam­tyuprahÃ¤i÷  SvetUp_1.11b
k«ãre sarpir ivÃrpitam  SvetUp_1.16b
khadyotavidyutsphaÂikÃÓaÓãnÃm  SvetUp_2.11b
gandha÷ Óubho mÆtrapurã«am alpaæ  SvetUp_2.13c
giriÓantÃbhicÃkaÓãhi  SvetUp_3.5d
gu¤Ãnvayo ya÷ phalakarmakartÃ  SvetUp_5.7a
gu¤ÃæÓ ca sarvÃn viniyojayed ya÷  SvetUp_5.5d
guhÃnivÃtÃÓraya¤e prayojayet  SvetUp_2.10d
grÃsÃmbuv­«ÂyÃ cÃtmaviv­ddhijanma  SvetUp_5.11b
gh­tÃt paraæ ma¤¬am ivÃtisÆk«maæ  SvetUp_4.16a
chandÃæsi yaj¤Ã÷ kratavo vratÃni  SvetUp_4.9a
janmanirodhaæ pravadanti yasya  SvetUp_3.21c
jahÃty enÃæ bhuktabhogÃm ajo 'nya÷  SvetUp_4.5d
jãvÃma÷ kena kva ca saæprati«ÂhÃ÷  SvetUp_1.1b
ju«eta brahma pÆrvyam  SvetUp_2.7b
ju«Âas tatas tenÃm­tatvam eti  SvetUp_1.6d
ju«Âaæ yadÃ paÓyaty anyam ãÓaæ  SvetUp_4.7c
j¤a÷ kÃlakÃlo gu¤ã sarvavidya÷  SvetUp_6.2b
j¤a÷ kÃlakÃlo gu¤ã sarvavidya÷  SvetUp_6.16b
j¤a÷ sarvago bhuvanasyÃsya goptÃ  SvetUp_6.17b
j¤Ãj¤au dvÃv ajÃv ãÓanãÓÃv ajÃ hy  SvetUp_1.9a
j¤ÃtvÃtmastham am­taæ viÓvadhÃma  SvetUp_6.6d
j¤ÃtvÃ devaæ mucyate sarvapÃÓai÷  SvetUp_1.8d
j¤ÃtvÃ devaæ mucyate sarvapÃÓai÷  SvetUp_2.15d
j¤ÃtvÃ devaæ mucyate sarvapÃÓai÷  SvetUp_4.16d
j¤ÃtvÃ devaæ mucyate sarvapÃÓai÷  SvetUp_5.13d
j¤ÃtvÃ devaæ mucyate sarvapÃÓai÷  SvetUp_6.13d
j¤ÃtvÃ devaæ sarvapÃÓÃpahÃni÷  SvetUp_1.11a
j¤ÃtvÃ Óivaæ ÓÃntim atyantam eti  SvetUp_4.14d
j¤ÃtvÃ Óivaæ sarvabhÆte«u gÆ¬haæ  SvetUp_4.16b
j¤Ãnair bibharti jÃyamÃnaæ ca paÓyet  SvetUp_5.2d
ta¬idgarbha ­tava÷ samudrÃ÷  SvetUp_4.4b
tata÷ paraæ brahma paraæ b­hantaæ  SvetUp_3.7a
tato yad uttarataraæ  SvetUp_3.10a
tat karma k­tvÃ vinivartya bhÆyas  SvetUp_6.3a
tat kÃra¤aæ sÃækhyayogÃdhigamyaæ  SvetUp_6.13c
tattvasya tattvena sametya yogam  SvetUp_6.3b
tatra yoniæ k­¤avase  SvetUp_2.7c
tatra saæjÃyate mana÷  SvetUp_2.6d
tatvÃya savitÃ dhiya÷  SvetUp_2.1b
tad ak«araæ tat savitur vare¤yaæ  SvetUp_4.18c
tadÃ devam avij¤Ãya  SvetUp_6.20c
tad Ãpas tat prajÃpati÷  SvetUp_4.2d
tad eva Óukraæ tad brahma  SvetUp_4.2c
tad evÃgnis tad Ãdityas  SvetUp_4.2a
tad brahmÃ vedate brahmayoniæ  SvetUp_5.6b
tad brahmopani«atparaæ tad brahmopani«atparam  SvetUp_1.16d
tad vÃtmatattvaæ prasamãk«ya dehã  SvetUp_2.14c
tad vÃyus tad u candramÃ÷  SvetUp_4.2b
tad vedaguhyopani«atsu gÆ¬haæ  SvetUp_5.6a
tadvobhayaæ vai pra¤avena dehe  SvetUp_1.13d
tapa÷prabhÃvÃd devaprasÃdÃt  SvetUp_6.21a
tam akratuæ paÓyati vãtaÓoko  SvetUp_3.20c
tam Ãtmasthaæ ye 'nupaÓyanti dhãrÃs  SvetUp_6.12c
tam Ãhur agryaæ puru«aæ mahÃntam  SvetUp_3.19d
tam ãÓÃnaæ varadaæ devam ã¬yaæ  SvetUp_4.11c
tam ãÓvarÃ¤Ãæ paramaæ maheÓvaraæ  SvetUp_6.7a
tam ekanemiæ triv­taæ «o¬aÓÃntaæ  SvetUp_1.4a
tam eva bhÃntam anubhÃti sarvaæ  SvetUp_6.14c
tam eva viditvÃti m­tyum eti  SvetUp_3.8c
tam eva viditvÃti m­tyum eti  SvetUp_6.15c
tam evaæ j¤ÃtvÃ m­tyupÃÓÃæÓ chinatti  SvetUp_4.15d
tayÃ nas tanuvÃ ÓaætamayÃ  SvetUp_3.5c
tayor anya÷ pippalaæ svÃdv atty  SvetUp_4.6c
tasmÃt sarvagata÷ Óiva÷  SvetUp_3.11d
tasmin haæso bhrÃmyate brahmacakre  SvetUp_1.6b
tasmiæÓ cÃnyo mÃyayÃ saæniruddha÷  SvetUp_4.9d
tasmiæs trayaæ svaprati«ÂhÃk«araæ ca  SvetUp_1.7b
tasmai devÃya namo nama÷  SvetUp_2.17d
tasya bhÃsÃ sarvam idaæ vibhÃti  SvetUp_6.14d
tasyÃbhidhyÃnÃt t­tãyaæ dehabhede  SvetUp_1.11c
tasyÃbhidhyÃnÃd yojanÃt tattvabhÃvÃd  SvetUp_1.10c
tasyÃvayavabhÆtais tu  SvetUp_4.10c
tasyaite kathitÃ hy arthÃ÷  SvetUp_6.23c
taæ devatÃnÃæ paramaæ ca daivataæ  SvetUp_6.7b
taæ viÓvarÆpaæ bhavabhÆtam ã¬yaæ  SvetUp_6.5c
taæ ha devam ÃtmabuddhiprakÃÓaæ  SvetUp_6.18c
tile«u tailaæ dadhanãva sarpir  SvetUp_1.15a
tejomayaæ bhrÃjate tat sudhÃntam  SvetUp_2.14b
te tanmayÃ am­tÃ vai babhÆvu÷  SvetUp_5.6d
te dhyÃnayogÃnugatÃ apaÓyan  SvetUp_1.3a
tena tena sa yujyate  SvetUp_5.10d
tena mÃæ pÃhi nityam  SvetUp_4.21d
tenedaæ pÆr¤aæ puru«e¤a sarvam  SvetUp_3.9d
teneÓitaæ karma vivartate ha  SvetUp_6.2c
te«Ãm abhÃve k­takarmanÃÓa÷  SvetUp_6.4c
te«Ãæ sukhaæ ÓÃÓvataæ netare«Ãæ  SvetUp_6.12d
trayaæ yadÃ vindate brahmam etat  SvetUp_1.9d
trimÃrgabhedaæ dvinimittaikamoham  SvetUp_1.4d
trirunnataæ sthÃpya samaæ Óarãraæ  SvetUp_2.8a
tvaæ kumÃra uta vÃ kumÃrã  SvetUp_4.3b
tvaæ jÃto bhavasi viÓvatomukha÷  SvetUp_4.3d
tvaæ jãr¤o da¤¬ena va¤casi  SvetUp_4.3c
tvaæ strã tvaæ pumÃn asi  SvetUp_4.3a
dagdhendhanam ivÃnalam  SvetUp_6.19d
dãpopameneha yukta÷ prapaÓyet  SvetUp_2.15b
du«ÂÃÓvayuktam iva vÃham enaæ  SvetUp_2.9c
du÷khasyÃnto bhavi«yati  SvetUp_6.20d
deva eka÷ svam Ãv­¤oti  SvetUp_6.10c
devasya savitu÷ save  SvetUp_2.2b
devasyai«a mahimÃ tu loke  SvetUp_6.1c
devaæ paÓyen nigÆ¬havat  SvetUp_1.14d
devaæ svacittastham upÃsya pÆrvam  SvetUp_6.5d
devÃtmaÓaktiæ svagu¤air nigÆ¬hÃm  SvetUp_1.3b
dyÃvÃbhÆmã janayan deva eka÷  SvetUp_3.3d
dvÃ supar¤Ã sayujÃ sakhÃyÃ  SvetUp_4.6a
dve ak«are brahmapare tv anante  SvetUp_5.1a
dharmÃvahaæ pÃpanudaæ bhageÓaæ  SvetUp_6.6c
dhÃtuprasÃdÃn mahimÃnam ãÓam  SvetUp_3.20d
dhyÃnanirmathanÃbhyÃsÃd  SvetUp_1.14c
na cak«u«Ã paÓyati kaÓcanainaæ  SvetUp_4.20b
na cÃsya kaÓcij janitÃ na cÃdhipa÷  SvetUp_6.9d
na ceÓitÃ naiva ca tasya liÁgaæ  SvetUp_6.9b
na caivÃyaæ napuæsaka÷  SvetUp_5.10b
na tatra sÆryo bhÃti na candratÃrakaæ  SvetUp_6.14a
na tatsamaÓ cÃbhyadhikaÓ ca d­Óyate  SvetUp_6.8b
na tasya kaÓcit patir asti loke  SvetUp_6.9a
na tasya kÃryaæ kara¤aæ ca vidyate  SvetUp_6.8a
na tasya pratimÃ asti  SvetUp_4.19c
na tasya rogo na jarÃ na m­tyu÷  SvetUp_2.12c
na d­Óyate naiva ca liÁganÃÓa÷  SvetUp_1.13b
na madhye parijagrabhat  SvetUp_4.19b
navadvÃre pure dehã  SvetUp_3.18a
na san na cÃsac chiva eva kevala÷  SvetUp_4.18b
na saæd­Óe ti«Âhati rÆpam asya  SvetUp_4.20a
nahi te pÆrtam ak«ipat  SvetUp_2.7d
nÃta÷ paraæ veditavyaæ hi kiæcit  SvetUp_1.12b
nÃnya÷ panthÃ vidyate 'yanÃya  SvetUp_3.8d
nÃnya÷ panthÃ vidyate 'yanÃya  SvetUp_6.15d
nÃnyo hetur vidyata ãÓanÃya  SvetUp_6.17d
nÃputrÃyÃÓi«yÃya vÃ puna÷  SvetUp_6.22d
nÃpraÓÃntÃya dÃtavyaæ  SvetUp_6.22c
nicÃyyemÃæ ÓÃntim atyantam eti  SvetUp_4.11d
nityo nityÃnÃæ cetanaÓ cetanÃnÃm  SvetUp_6.13a
niravadyaæ nira¤janam  SvetUp_6.19b
ni«kalaæ ni«kriyaæ ÓÃntaæ  SvetUp_6.19a
nãla÷ pataÁgo harito lohitÃk«as  SvetUp_4.4a
nãhÃradhÆmÃrkÃnalÃnilÃnÃæ  SvetUp_2.11a
nemÃ vidyuto bhÃnti kuto 'yam agni÷  SvetUp_6.14b
nainam Ærdhvaæ na tirya¤caæ  SvetUp_4.19a
naiva strã na pumÃn e«a  SvetUp_5.10a
pa¤caprÃ¤ormiæ pa¤cabuddhyÃdimÆlÃæ  SvetUp_1.5b
pa¤casroto'mbuæ pa¤cayonyugravaktrÃæ  SvetUp_1.5a
pa¤cÃtmake yogagu¤e prav­tte  SvetUp_2.12b
pa¤cÃvartÃæ pa¤cadu÷khaughavegÃæ  SvetUp_1.5c
pa¤cÃÓadbhedÃæ pa¤caparvÃm adhãma÷  SvetUp_1.5d
patiæ patãnÃæ paramaæ parastÃd  SvetUp_6.7c
paras trikÃlÃd akalo 'pi d­«Âa÷  SvetUp_6.5b
parÃsya Óaktir vividhaiva ÓrÆyate  SvetUp_6.8c
paÓyaty acak«u÷ sa Ó­¤oty akar¤a÷  SvetUp_3.19b
pÃcyÃæÓ ca sarvÃn pari¤Ãmayed ya÷  SvetUp_5.5b
purÃkalpe pracoditam  SvetUp_6.22b
puru«a evedaæ sarvaæ  SvetUp_3.15a
pÆrvo ha jÃta÷ sa u garbhe anta÷  SvetUp_2.16b
p­thag ÃtmÃnaæ preritÃraæ ca matvÃ  SvetUp_1.6c
p­thivyÃ adhy Ãbharat  SvetUp_2.1d
p­thivyÃptejo'nilakhÃni cintyam  SvetUp_6.2d
p­thvyaptejo'nilakhe samutthite  SvetUp_2.12a
prakÃÓante mahÃtmana÷ prakÃÓante mahÃtmana÷  SvetUp_6.23d
prakÃÓayan bhrÃjate yad vÃna¬vÃn  SvetUp_5.4b
praj¤Ã ca tasmÃt pras­tÃ purÃ¤ã  SvetUp_4.18d
pra¤avaæ cottarÃra¤iæ  SvetUp_1.14b
pratyaÁ janÃs ti«Âhati sarvatomukha÷  SvetUp_2.16d
pratyaÁ janÃs ti«Âhati saæcukocÃntakÃle  SvetUp_3.2c
pradhÃnak«etraj¤apatir gu¤eÓa÷  SvetUp_6.16c
pradhÃnajai÷ svabhÃvata÷  SvetUp_6.10b
prÃ¤Ãdhipa÷ saæcarati svakarmabhi÷  SvetUp_5.7d
prÃ¤Ãn prapã¬yeha sa yuktace«Âa÷  SvetUp_2.9a
prÃptasya yogÃgnimayaæ Óarãram  SvetUp_2.12d
provÃca samyag ­«isaÁghaju«Âam  SvetUp_6.21d
bahvã÷ prajÃ÷ s­jamÃnÃæ sarÆpÃ÷  SvetUp_4.5b
buddher gu¤enÃtmagu¤ena caiva  SvetUp_5.8c
b­haj jyoti÷ kari«yata÷  SvetUp_2.3c
brahma¤y abhivyaktikarÃ¤i yoge  SvetUp_2.11d
brahmavÃdino hi pravadanti nityam  SvetUp_3.21d
brahma ha ÓvetÃÓvataro 'tha vidvÃn  SvetUp_6.21b
brahmo¬upena pratareta vidvÃn  SvetUp_2.8c
bhÃgo jãva÷ sa vij¤eya÷  SvetUp_5.9c
bhÃvagrÃhyam anã¬Ãkhyaæ  SvetUp_5.14a
bhÃvÃbhÃvakaraæ Óivaæ  SvetUp_5.14b
bhÃvÃæÓ ca sarvÃn viniyojayed ya÷  SvetUp_6.4b
bhãru÷ prapadyate  SvetUp_4.21b
bhÆtaæ bhavyaæ yac ca vedÃ vadanti  SvetUp_4.9b
bhÆtÃni yoni÷ puru«eti cintyam  SvetUp_1.2b
bhÆyaÓ cÃnte viÓvamÃyÃniv­tti÷  SvetUp_1.10d
bhÆya÷ s­«ÂvÃ patayas tatheÓa÷  SvetUp_5.3c
bhoktÃ bhogyaæ preritÃraæ ca matvÃ  SvetUp_1.12c
mano'nukÆle na tu cak«upã¬ane  SvetUp_2.10c
mahÃn prabhur vai puru«a÷  SvetUp_3.12a
mahã devasya savitu÷ pari«Âuti÷  SvetUp_2.4d
mÃ nas toke tanaye mÃ na Ãyu«i  SvetUp_4.22a
mÃ no go«u mÃ no aÓve«u rãri«a÷  SvetUp_4.22b
mÃyÃæ tu prak­tiæ vidyÃn  SvetUp_4.10a
mÃyinaæ tu maheÓvaraæ  SvetUp_4.10b
mÃ hiæsã÷ puru«aæ jagat  SvetUp_3.6d
mumuk«ur vai Óara¤am ahaæ prapadye  SvetUp_6.18d
ya it tad vidus ta ime samÃsate  SvetUp_4.8d
ya imÃæl lokÃn ãÓata ãÓanãbhi÷  SvetUp_3.2b
ya ãÓe asya dvipadaÓ catu«pada÷  SvetUp_4.13c
ya eko jÃlavÃn ãÓata ãÓanãbhi÷  SvetUp_3.1a
ya eko 'var¤o bahudhÃ ÓaktiyogÃd  SvetUp_4.1a
ya etad vidur am­tÃs te bhavanti  SvetUp_3.1d
ya etad vidur am­tÃs te bhavanti  SvetUp_3.10c
ya etad vidur am­tÃs te bhavanti  SvetUp_3.13d
ya etad vidur am­tÃs te bhavanti  SvetUp_4.17d
ya evaika udbhave saæbhave ca  SvetUp_3.1c
ya o«adhã«u yo vanaspatã«u  SvetUp_2.17c
yac ca svabhÃvaæ pacati viÓvayoni÷  SvetUp_5.5a
yato jÃtÃni bhuvanÃni viÓvÃ  SvetUp_4.4d
yathÃ deve tathÃ gurau  SvetUp_6.23b
yathÃnikÃyaæ sarvabhÆte«u gÆ¬haæ  SvetUp_3.7b
yathaiva bimbaæ m­dayopaliptaæ  SvetUp_2.14a
yad annenÃtirohati  SvetUp_3.15d
yad arÆpam anÃmayam  SvetUp_3.10b
yadÃ carmavad ÃkÃÓaæ  SvetUp_6.20a
yadÃtamas tan na divÃ na rÃtrir  SvetUp_4.18a
yad Ãtmatattvena tu brahmatattvaæ  SvetUp_2.15a
yad bhÆtaæ yac ca bhavyam  SvetUp_3.15b
yad yac charãram Ãdatte  SvetUp_5.10c
yas tantunÃbha iva tantubhi÷  SvetUp_6.10a
yas tan na veda kim ­cÃ kari«yati  SvetUp_4.8c
yasmÃt paraæ nÃparam asti kiæcid  SvetUp_3.9a
yasmÃt prapa¤ca÷ parivartate 'yaæ  SvetUp_6.6b
yasmÃn nÃ¤ãyo na jyÃyo 'sti kiæcit  SvetUp_3.9b
yasmin devÃ adhi viÓve ni«edhu÷  SvetUp_4.8b
yasminn idaæ saæ ca vi caiti sarvam  SvetUp_4.11b
yasmin yuktÃ brahmar«ayo devatÃÓ ca  SvetUp_4.15c
yasmiæl lokÃ adhiÓritÃ÷  SvetUp_4.13b
yasya deve parÃ bhaktir  SvetUp_6.23a
yasya nÃma mahad yaÓa÷  SvetUp_4.19d
ya÷ kÃra¤Ãni nikhilÃni tÃni  SvetUp_1.3c
yÃ te rudra ÓivÃ tanÆr  SvetUp_3.5a
yÃm i«uæ giriÓanta  SvetUp_3.6a
yuktena manasÃ vayaæ  SvetUp_2.2a
yuktvÃya manasÃ devÃn  SvetUp_2.3a
yuje vÃæ brahma pÆrvyaæ namobhir  SvetUp_2.5a
yu¤jate mana uta yu¤jate dhiyo  SvetUp_2.4a
yu¤jÃna÷ prathamaæ manas  SvetUp_2.1a
yenÃv­taæ nityam idaæ hi sarvaæ  SvetUp_6.2a
yenedaæ bhrÃmyate brahmacakram  SvetUp_6.1d
ye pÆrvaæ devÃ ­«ayaÓ ca tad vidus  SvetUp_5.6c
ye vidus te jahus tanum  SvetUp_5.14d
yogaprav­ttiæ prathamÃæ vadanti  SvetUp_2.13d
yo devÃnÃm adhipo  SvetUp_4.13a
yo devÃnÃæ prabhavaÓ codbhavaÓ ca  SvetUp_3.4a
yo devÃnÃæ prabhavaÓ codbhavaÓ ca  SvetUp_4.12a
yo devo agnau yo apsu  SvetUp_2.17a
yonisvabhÃvÃn adhiti«Âhaty eka÷  SvetUp_5.4d
yo brahmÃ¤aæ vidadhÃti pÆrvaæ  SvetUp_6.18a
yo yoniæ-yonim adhiti«Âhaty eko  SvetUp_4.11a
yo yoniæ yonim adhiti«Âhaty eko  SvetUp_5.2a
yo viÓvaæ bhuvanam ÃviveÓa  SvetUp_2.17b
yo vai vedÃæÓ ca prahi¤oti tasmai  SvetUp_6.18b
rudra yat dak«i¤aæ mukham  SvetUp_4.21c
rÆpÃ¤i dehã svagu¤air v­¤oti  SvetUp_5.12b
laghutvam Ãrogyam alolupatvaæ  SvetUp_2.13a
lãnÃ brahma¤i tatparÃ yonimuktÃ÷  SvetUp_1.7d
var¤aprasÃda÷ svarasau«Âhavaæ ca  SvetUp_2.13b
var¤Ãn anekÃn nihitÃrtho dadhÃti  SvetUp_4.1b
vartÃmahe brahmavido vyavasthÃm  SvetUp_1.1d
vaÓã sarvasya lokasya  SvetUp_3.18c
vahner yathÃ yonigatasya mÆrtir  SvetUp_1.13a
vÃyur yatrÃdhirudhyate  SvetUp_2.6b
vÃlÃgraÓatabhÃgasya  SvetUp_5.9a
vi caiti cÃnte viÓvam Ãdau sa deva÷  SvetUp_4.1c
vidÃma devaæ bhuvaneÓam ã¬yam  SvetUp_6.7d
vidyÃvidye ãÓate yas tu so 'nya÷  SvetUp_5.1d
vidyÃvidye nihite yatra gÆ¬he  SvetUp_5.1b
vidvÃn mano dhÃrayetÃpramatta÷  SvetUp_2.9d
viprÃ viprasya b­hato vipaÓcita÷  SvetUp_2.4b
vivarjite ÓabdajalÃÓrayÃdibhi÷  SvetUp_2.10b
vi Óloka etu pathyeva sÆre÷  SvetUp_2.5b
viÓvataÓcak«ur uta viÓvatomukho  SvetUp_3.3a
viÓvatobÃhur uta viÓvataspÃt  SvetUp_3.3b
viÓvasya sra«ÂÃram anekarÆpaæ  SvetUp_4.14b
viÓvasya sra«ÂÃram anekarÆpaæ  SvetUp_5.13b
