Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
ajarÃmara eva ca  SkP_6.11b
ajarÃyÃmarÃya ca  SkP_21.47d
ajarÃyÃmarÃya ca  SkP_24.55b
ajarÃÓca viÓokÃÓca  SkP_29.221a
ajastvamamaro deva  SkP_13.41a
aja÷ Óaækara eva ca  SkP_13.48d
ajaikapÃditi khyÃto  SkP_23.36a
aj¤Ãnavinivartine  SkP_29.111b
aÂÂahÃsÃns­jÃnaÓca  SkP_23.9c
aïimÃyai namaste 'stu  SkP_29.194c
aï¬aæ yatrÃsti saæsthitam  SkP_5.34b
aï¬e 'sminsamprasÆyate  SkP_3.4b
ata÷ parataraæ nÃsti  SkP_30.72a
ata÷ priyamidaæ k«etram  SkP_30.51e
atidÅrgho 'time¬hraÓca  SkP_23.16a
atimÃnÃya caiva hi  SkP_21.38d
ato 'nyadvar«amekaæ vai  SkP_20.50c
ato bhÆyaÓca kiæ te 'dya  SkP_29.120c
ato bhÆyo vadasva me  SkP_30.45d
ato 'haæ nÃnyadicchÃmi  SkP_29.121c
atyarthaÓÅtalÃmbhobhi÷  SkP_13.92a
atra nÃsti vicÃraïÃ  SkP_27.46d
atraye bh­gave caiva  SkP_21.45a
atra vo vartayi«yÃmi  SkP_5.21a
atrÃgatÃ vividhadu«k­takÃriïo 'pi  SkP_30.74c
atrÃpi svayamevÃhaæ  SkP_29.17a
atrÃhaæ brahmaïÃnÅya  SkP_29.24a
atrÃhaæ svayamÃsthita÷  SkP_29.28f
atri÷ sÃma svayaæ jagau  SkP_25.8d
atha kÃle gate vyÃsa  SkP_10.13a
atha kÃle 'timahati  SkP_16.14a
atha kÃlena mahatÃ  SkP_4.22a
atha cedvihitaæ te«Ãæ  SkP_30.12a
atha tasminsukhÃsÅnau  SkP_27.1a
atha tasyÃstapoyogÃt  SkP_11.35c
atha tasyaivamaniÓaæ  SkP_30.16a
atha tÅrthaprasaÇgena  SkP_19.23a
atha te«Ãæ prasanno 'bhÆd  SkP_13.52a
atha te«Ãæ mahÃdeva÷  SkP_8.27a
atha te«u sthite«vevaæ  SkP_13.39a
atha divyena rÆpeïa  SkP_5.10a
atha d­«ÂvÃ tamÅÓÃnam  SkP_16.5a
atha d­«ÂvÃ tripÃdaæ ca  SkP_29.127a
atha d­«ÂvÃ satÅæ devÅm  SkP_26.6a
atha devÅ mahÃbhÃgÃ  SkP_29.178a
atha devyÃsasÃdaikÃ  SkP_26.5a
atha parvatarÃjo 'sau  SkP_13.2a
atha yak«astadÃ vyÃsa  SkP_31.5a
atharvÃÇgirasÃvapi  SkP_24.33d
atharvÃÇgirasau devau  SkP_25.8e
atha vÃ te k­pÃ devi  SkP_12.47a
atha vÃ te 'sti saædeho  SkP_12.19a
atha v­tte vivÃhe tu  SkP_14.1a
atha ÓuÓrÃva vedÃnÃæ  SkP_18.7a
atha ÓuÓrÃva sÃ Óabdaæ  SkP_12.30a
atha sampannalak«aïÃm  SkP_5.56d
atha sarvÃnabhiprek«ya  SkP_9.13a
atha sa vrajamÃnastu  SkP_11.8a
atha sÃ tena ÓÃpena  SkP_26.63a
atha sÃ ÓuddhasaækalpÃ  SkP_13.31a
atha so 'pi k­tÃtithya÷  SkP_8.7a
athÃgÃccandratilakas  SkP_12.4a
athÃgÃttatra Óailendra  SkP_11.7a
athÃgÃttatra saævigno  SkP_5.31a
athÃcalasutÃ devÅ  SkP_27.2a
athÃ¤jalimamÃvÃsyÃæ  SkP_28.58a
athÃtatÃyinaæ vyÃsa  SkP_15.4a
athÃnyo vyÃsa samprÃpto  SkP_23.15a
athÃparo mahÃkÃya÷  SkP_23.27a
athÃrdharÃtrasamaye  SkP_17.20a
athÃsminnantare vyÃsa  SkP_13.58a
athÃsyÃntarhitaæ rak«o  SkP_17.5c
athÃha devÅ du÷khÃrtÃ  SkP_12.39c
athainaæ cÃrusarvÃÇgÅ  SkP_18.8a
athainÃmavadaddhara÷  SkP_29.137d
athaivamÃgho«itamÃtra eva  SkP_13.7a
athaivamukto devena  SkP_29.152a
athomÃ yogasaæsiddhÃ  SkP_12.6a
adahatsaparicchadam  SkP_15.5d
ad­Óyata ca maï¬alam  SkP_5.37d
ad­Óyatvamatidyuti÷  SkP_16.12d
ad­ÓyantyÃæ mahÃpraj¤a  SkP_16.14e
ad­ÓyantyÃæ samabhavat  SkP_18.23c
ad­Óyena durÃtmanÃ  SkP_8.7b
adyaprabh­ti yu«mÃkam  SkP_24.10a
adyaprabh­ti loke«u  SkP_29.225a
adrikÃmapsara÷Óre«ÂhÃæ  SkP_19.11c
adhikaæ samameva vÃ  SkP_19.6d
adhi«ÂhÃtre pracodine  SkP_3.15b
adhÅyÃnasya caivÃyaæ  SkP_18.11a
adhÅyÃnasya tatrÃÓu  SkP_18.7c
anadansumahÃnÃdaæ  SkP_7.15c
anantÃyÃprameyÃya  SkP_3.14c
ananyamanaso bhÆtvÃ  SkP_30.63c
anapatyÃhamÅÓvara  SkP_26.41d
anayÃ sahamÅpsitam  SkP_25.14d
anÃveÓyÃya sarve«Ãæ  SkP_21.48c
aniketÃ tapo 'carat  SkP_11.25d
aniketo hyaraïye«u  SkP_26.17c
anindriyo 'tÅndriyaÓca  SkP_28.68c
aniÓcitya mahÃvrate  SkP_12.52d
anug­hïanti lokÃæÓca  SkP_11.31c
anug­hya tata÷ sarvÃæs  SkP_29.70a
anugraha÷ k­tastasyÃ  SkP_19.23c
anugraheïa yuktena  SkP_25.16c
anugraho mayÃ hyevaæ  SkP_29.73c
anutsekaæ tathÃ k«Ãntiæ  SkP_29.122c
anuraktaæ ca bhaktaæ ca  SkP_21.54a
anurÆpÃmadÃdvibho÷  SkP_6.3d
anuvrajata mÃ ciram  SkP_4.37d
an­tyanta mahÃbhÃgÃ  SkP_25.11e
anekacaraïÃya ca  SkP_24.56d
anekavihagÃkÅrïaæ  SkP_9.26e
anekaÓirase caiva  SkP_24.56c
anekÃni sahasrÃïi  SkP_10.8c
anena cÃÇkito loke  SkP_29.149a
anaupamyaguïaæ devo  SkP_26.65c
anaupamyaguïaæ hi tat  SkP_26.66d
anaupamyamaninditam  SkP_11.5d
anaupamyo hyanindita÷  SkP_25.12d
antakÃntak­te caiva  SkP_14.11c
antardadhe jagatsra«ÂÃ  SkP_12.27c
antardhÃnamagÃtprabhu÷  SkP_7.34d
antardhÃnaæ mahÃtmani  SkP_4.11b
antardhe parameÓvara÷  SkP_3.7d
antarbhÃvaviÓuddhÃ sÃ  SkP_12.6c
antarbhÆtÃdhibhÆtÃya  SkP_21.38a
antaÓcarÃya sarvÃya  SkP_5.51a
andradhvÃnaprahar«itai÷  SkP_13.74b
andhakasya tathotpatti÷  SkP_2.15a
andhakÃsurasaævÃdo  SkP_2.21a
annadatvaæ ca lokÃnÃæ  SkP_30.3c
annadatvaæ ca lokÃnÃæ  SkP_31.9a
annadatvaæ ca samprÃpto  SkP_30.1c
annadaÓcÃpi lokebhya÷  SkP_31.11c
annadastu Óatena vai  SkP_23.48d
annamasyopapÃdayat  SkP_17.21d
anyatra na tathÃ kvacit  SkP_30.50d
anyatra rocitavatÅ  SkP_26.11c
anyasyÃmas­jadvaÓÅ  SkP_18.5b
anyaæ v­ïu mamÃvÃsaæ  SkP_26.10e
anyÃnÃhÆya jÃmÃtÌn  SkP_10.13c
anyÃÓcÃpsarasa÷ ÓubhÃ÷  SkP_25.11d
anyÃæ gatiæ na paÓyÃmi  SkP_21.53c
anyÃ÷ s­jasva bhadraæ te  SkP_10.10a
anye ca devÃstridivaukaseÓÃ÷  SkP_13.22a
anye ca yogina÷ siddhÃÓ  SkP_30.63a
anye cÃnu tata÷ Óubhe  SkP_11.23f
anye«Ãæ svasti sarvatra  SkP_18.32e
anyaiÓca vividhai÷ Óubhai÷  SkP_23.65b
apatyaæ guïavattaram  SkP_11.18b
apatyaæ matsamaæ tathÃ  SkP_15.29b
apatyÃrthaæ prasÃdaya  SkP_26.40d
apatyena mahÃbÃho  SkP_11.3a
aparÃdhasahasraæ tu  SkP_28.24c
aparÃdhÃnbahÆnapi  SkP_27.27b
aparïÃ tu nirÃhÃrÃ  SkP_11.27c
aparïÃmekaparïÃæ ca  SkP_11.24e
apaÓyatsagaïaæ devaæ  SkP_31.5c
apaÓyatsa pitÃmaha÷  SkP_5.39d
apaÓyadÃrto du÷khÃrtÃn  SkP_11.9c
apaÓyaddivyarÆpiïÅm  SkP_19.10d
apaÓyanta tata÷ sarve  SkP_8.30a
apaÓyanmunisattamam  SkP_17.20d
apaÓyallambamÃnÃæstu  SkP_20.6a
apaÓyaæ saæsthitaæ divi  SkP_11.5b
apaÓyaæste tadÃ prabhum  SkP_13.54d
apasmÃraÓca viÓruta÷  SkP_23.53d
apa÷ sp­Óanti Óuddhyarthaæ  SkP_10.34c
apa÷ sprak«yanti sarvatra  SkP_10.31c
apÃtayata nandinam  SkP_20.46d
apÃraparamÃya ca  SkP_29.107b
ap­cchattÃæÓca sa dvija÷  SkP_11.9d
ap­cchatpu«pyamÃïÃsyÃ  SkP_28.47c
ap­cchaddhimavÃnpraÓnaæ  SkP_11.1c
ap­cchadvratasambaddhaæ  SkP_28.1c
ap­cchamahamavyagro  SkP_27.8c
apetaÓoka÷ samprÃpta÷  SkP_1.22c
apohÃyai namaste 'stu  SkP_29.205a
apratÅkÃrasaæyuktam  SkP_17.4c
apratÅghÃtalak«aïÃm  SkP_29.171b
aprameya pitarnityaæ  SkP_3.18e
aprÃptÃrthamanoratha÷  SkP_12.33b
apsarogaïagandharvai÷  SkP_30.49a
apsarogaïasevitam  SkP_9.26b
apsarogaïasevitam  SkP_22.12d
apsarogaïasevite  SkP_29.216d
abalaæ taæ samÃlak«ya  SkP_29.131a
abdairadhÅtavÃnsarvaæ  SkP_20.37e
abbhak«Ã bhÆya eva ca  SkP_10.1f
abhavatsa tu kÃlena  SkP_13.1c
abhavadgov­«adhvaje  SkP_16.3d
abhavaddevadevasya  SkP_26.1c
abhavaæ jagati khyÃta÷  SkP_29.49c
abhavaæstaÂasaæghu«Âa-  SkP_13.123c
abhigamyaÓca devÃnÃæ  SkP_28.28a
abhij¤au sarvabhÆtÃnÃæ  SkP_20.41c
abhidravantaæ vegena  SkP_18.14a
abhipÆryÃbhimantrya ca  SkP_24.43b
abhiyuktÃ mahÃvratÃ÷  SkP_8.5d
abhivandya pitu÷ pÃdau  SkP_20.68a
abhivÃdya ­«ÅnsarvÃn  SkP_20.69a
abhi«ikto babhÆveti  SkP_3.25c
abhi«ekaÓca kauÓikyÃ  SkP_2.14c
abhi«ekaæ vivÃhaæ ca  SkP_25.58c
abhi«ektumiye«ire  SkP_8.6d
abhi«ek«yÃmi bhÆtapam  SkP_23.2b
abhÆd­«i÷ sa dharmÃtmÃ  SkP_20.5a
abhyagacchata taæ deÓaæ  SkP_8.27c
abhyagacchanta deveÓaæ  SkP_7.21e
abhyagÃtsaækrameïaiva  SkP_6.4a
abhyaÇgo '«ÂaÓataæ caiva  SkP_27.25a
abhya«i¤canta nandinam  SkP_24.46d
abhyasyanti paraæ yogaæ  SkP_30.47e
abhyasya raudramadhyÃyaæ  SkP_20.65c
abhyÃjagÃma taæ caiva  SkP_21.7c
abhraæka«ai÷ sitamanoharacÃrurÆpai÷  SkP_30.32b
amanyata na me 'nyo 'sti  SkP_5.24c
amanyanta tapo 'smÃkaæ  SkP_8.22c
amaratvamavadhyatvam  SkP_12.45c
amaratvaæ ca sarvaÓa÷  SkP_15.33d
amara÷ sambhavi«yasi  SkP_12.22d
amarÃ jarayÃ tyaktÃ  SkP_9.22a
amarÃnidamabravÅt  SkP_14.25d
amaro jarayÃ tyakto  SkP_22.5a
amÃvÃsyÃæ tu yo nityaæ  SkP_28.64a
amitasya pradÃnÃcca  SkP_17.9c
am­tasrava eva ca  SkP_12.24b
am­taæ paramÃtmÃ ca  SkP_13.42a
am­tÃya vareïyÃya  SkP_21.31a
am­tÃæ ÓrÅniketanÃm  SkP_24.38d
am­«yamÃïa÷ krodhÃndho  SkP_7.17a
amoghabhÆti÷ koÂyÃ ca  SkP_23.52c
ambikÃpataye nama÷  SkP_14.3d
ayaæ ca te pitÃ vipra÷  SkP_25.20a
ayaæ caivÃÓrama÷ Óre«Âha÷  SkP_9.23a
ayaæ nandÅÓvara÷ Óubha÷  SkP_24.10b
ayaæ na÷ saætatiæ caiva  SkP_19.4a
ayaæ rudro mahÃdeva÷  SkP_13.48a
ayaæ somo 'bhi«ÆyatÃm  SkP_8.21d
ayaæ hi tava saæmoho  SkP_5.27e
ayÃcatkaruïÃyatÅ  SkP_15.8d
ayonija÷ purÃ datta÷  SkP_20.32c
aravindÃv­tÃnanau  SkP_24.15f
arundhatyÃmajanayat  SkP_16.2c
arogÃ janmavarjitÃ÷  SkP_9.22b
arkaparïapuÂaæ pÆrïaæ  SkP_28.65c
arkasya karavÅrasya  SkP_28.31c
arcayitvÃ ca mÃæ devi  SkP_28.60a
arcayitvÃ tato brahmÃ  SkP_24.45c
arcayitvÃ tu mÃmiha  SkP_29.19b
arcayitvÃ yathÃnyÃyaæ  SkP_28.58e
arcayitvÃ v­«adhvajam  SkP_7.29d
arcayetsaægameÓÃnaæ  SkP_29.43c
arcita÷ sarvadevÃnÃæ  SkP_11.23a
arcibhirupaÓobhitam  SkP_8.31d
arthinaste ca nastÃvad  SkP_29.223c
arditÃbhistadÃ gobhir  SkP_29.13a
ardhayojanavistÅrïaæ  SkP_7.27a
ardhena tejasa÷ svasya  SkP_9.18a
arho varamasau labdham  SkP_31.2c
alarkaÓca purÅmetÃæ  SkP_30.64a
alaæcakru÷ purottamam  SkP_13.64d
alpÃyu÷ sarvasaæmata÷  SkP_20.50b
avatÅrya jalaæ divyaæ  SkP_20.65a
avadhyatvamasahyatvam  SkP_15.34a
avadhya÷ sarvajantubhi÷  SkP_7.17d
avadhyÃÓcaiva rak«asÃm  SkP_29.237d
avadhyebhyastathaiva ca  SkP_25.42d
avandatparayÃ mudÃ  SkP_29.101d
avamucyÃtmanastata÷  SkP_22.8b
avaÓyÃyÃpyavadhyÃya  SkP_21.47c
avasavyapriya÷ savyo  SkP_28.67c
avasÃne ca dÅpÃnÃæ  SkP_28.40c
avahadrudhiraæ caiva  SkP_19.22c
avÃti«Âhata niÓcala÷  SkP_30.15d
avÃdayanta gaïapÃ  SkP_24.61c
avimuktamiti sm­tam  SkP_30.52d
avimuktamidaæ tata÷  SkP_29.37d
avimuktamidaæ Óubhe  SkP_29.54f
avimuktasya kathitaæ  SkP_30.71c
avimuktasya tattadÃ  SkP_30.45b
avimuktaæ tato 'bhavat  SkP_29.56d
avimukte ca te sthÃne  SkP_31.9c
avimukteÓvaraæ mÃæ ca  SkP_29.81a
avimukteÓvaraæ mÃæ vai  SkP_29.38a
avimukteÓvaraæ liÇgaæ  SkP_29.57a
avek«amÃïa÷ svÃæl lokÃæÓ  SkP_5.23c
avocatsarvamavyagro  SkP_27.5c
avyaktaliÇginaÓcaiva  SkP_29.63a
avyaktaliÇgairmunibhi÷  SkP_30.57a
aÓaktirahitÃya ca  SkP_3.14b
aÓakto nÃsti ca dravyaæ  SkP_27.21c
aÓaniæ dhÃraya¤chubham  SkP_23.38b
aÓanÅpÃtanardana÷  SkP_23.11d
aÓanÅpÃtasaænibhÃn  SkP_23.9d
aÓanÅÓatahÃsÃya  SkP_14.14c
aÓanÅæ ca dadau svayam  SkP_24.47f
aÓaraïyasya deveÓa  SkP_20.20a
aÓarÅro 'pi te kÃle  SkP_15.10c
aÓucirbhinnamaryÃdo  SkP_28.37c
aÓuciæ spra«ÂukÃmÃÓca  SkP_10.35c
aÓubhebhyastathaiva ca  SkP_25.51d
aÓokapuænÃgavanai÷ supu«pitair  SkP_30.24c
aÓokasutasaægraha÷  SkP_2.22d
aÓrupÆrïek«aïaæ dÅnaæ  SkP_22.1c
aÓrupÆrïek«aïÃ dÅnÃ÷  SkP_29.185a
aÓrupÆrïe mamÃrja ha  SkP_22.2d
aÓvamedhaÓataæ prÃpya  SkP_29.93c
aÓvinau daityadÃnavÃ÷  SkP_24.29d
a«Âamaæ sthÃnametaddhi  SkP_18.28c
a«ÂamyÃæ copavÃsika÷  SkP_27.34b
a«ÂÃnÃæ devayonÅnÃm  SkP_5.7a
a«ÂÃbhistvÃtmana÷ samai÷  SkP_23.38d
asak­tprocyamÃnÃ sÃ  SkP_26.49c
asatk­tÃyÃ÷ kiæ me 'dya  SkP_10.22c
asitajaladav­ndadh vÃnavitrastahaæsÃ  SkP_13.82a
asitasyaikaparïÃ tu  SkP_11.33c
asipaÂÂisahastaæ ca  SkP_8.34a
asipÃïirmahÃtejÃ÷  SkP_23.35a
asurÃïÃæ Óatairv­ta÷  SkP_7.17f
asurÃ devakaïÂakÃ÷  SkP_29.48b
asuro devakaïÂaka÷  SkP_7.16b
as­jatsarvabhÆtÃni  SkP_5.22c
as­jadvividhÃstvanyÃ÷  SkP_4.19c
as­janta prajÃ÷ sarvÃ  SkP_4.21c
as­janmÆrdhni saæsthitam  SkP_5.40b
astuvacca pitÃmaha÷  SkP_13.40d
astuvanvÃgbhiri«ÂÃbhir  SkP_8.16c
astuvanvÃgbhiri«ÂÃbhi÷  SkP_9.1c
astau«ÅddÅnayÃ girÃ  SkP_5.45d
astraæ ca te prayacchÃmi  SkP_29.172a
astraæ pÃÓupataæ tathÃ  SkP_4.10b
astrÃïÃæ ca prayokt­tÃ  SkP_4.8d
asthiÓe«o 'bhavatsarvo  SkP_30.18c
asmatto bhuvaneÓvari  SkP_31.2d
asmatpriyacikÅr«ayÃ  SkP_18.31d
asmÃkamÅÓa÷ sarve«Ãæ  SkP_25.29c
asmÃkaæ varadaÓcaiva  SkP_25.34c
asmÃcceha ratirmama  SkP_30.51f
asmÃbhiÓca bhavÃnsÃrdhaæ  SkP_3.27c
asmÃbhiÓcÃbhi«iktastvaæ  SkP_25.37c
asminkalpa upasthite  SkP_4.22d
asmindeÓe purÃ devi  SkP_29.8c
asmindeÓe prasÃdita÷  SkP_29.22b
asminnapi pradeÓe tu  SkP_29.20a
asminnapi mayÃ deÓe  SkP_29.31a
asminm­tÃstanubh­ta÷ padamÃpnuvanti  SkP_30.75c
asminsiddhÃ÷ sadÃ devi  SkP_30.47a
asya k«etrasya mÃhÃtmyam  SkP_30.45a
asya k«etrasya mÃhÃtmyÃd  SkP_30.55c
asya pÆjÃæ cakÃra ha  SkP_26.36d
ahameka iti j¤ÃtvÃ  SkP_3.5a
ahameva hi bhÆtÃnÃæ  SkP_5.30c
ahaæ kartÃ bhavi«yasya  SkP_15.36c
ahaæ kartÃ hi bhÆtÃnÃæ  SkP_5.29a
ahaækÃrÃya vai nama÷  SkP_29.157d
ahaæ jye«ÂhÃ vari«ÂhÃ ca  SkP_10.15a
ahaæ tasyÃ÷ prabhu÷ sadÃ  SkP_10.29f
ahaæ tvÃæ varayi«yÃmi  SkP_12.18c
ahaæ yatra bhavÃæstatra  SkP_25.19c
ahaæ ÓrutÅnÃæ sarvÃsÃæ  SkP_5.35c
ahaæ Óre«Âho mahÃbhÃgau  SkP_5.32a
ahaæ sra«ÂÃ hi bhÆtÃnÃæ  SkP_5.26a
aho dÅptiraho balam  SkP_29.134b
ahorÃtreïa vindati  SkP_28.8d
aho 'syÃstapaso vÅryam  SkP_29.134a
ÃkÃÓapataye nama÷  SkP_21.27b
ÃkÃÓe saæsthita÷ prabhu÷  SkP_26.58b
ÃkÅrïapu«panikarapraviviktahÃsair  SkP_30.32c
ÃkhyÃtumupacakrame  SkP_30.21d
ÃkhyÃnaæ pa¤cacÆ¬ÃyÃs  SkP_2.20a
ÃkhyÃya himavatputryÃ  SkP_29.96c
Ãkhyeyaæ nÃpi cÃj¤Ãya  SkP_5.68c
Ãgataæ pitaraæ mÃ tvaæ  SkP_4.6a
ÃgatÃæ tu surÆpiïÅm  SkP_26.6b
Ãgatya tÃn­«ÅnprÃha  SkP_8.23c
ÃgatyÃtha tato brahmÃ  SkP_7.26a
Ãgamya tÃn­«ÅnprÃha  SkP_8.21c
ÃgÃttato 'paraÓcÃpi  SkP_23.39a
ÃgÃttato 'paro vyÃsa  SkP_23.37a
ÃgÃtsamÅpaæ devasya  SkP_23.32c
ÃgneyÅæ sahasÃ satÅ  SkP_10.25b
ÃjagÃma tadantikam  SkP_4.3d
ÃjagÃma mahÃtapÃ÷  SkP_23.41d
ÃjagÃma mahÃdyuti÷  SkP_26.64d
ÃjagmaturatidyutÅ  SkP_13.92d
Ãjagmaturdevasada÷ suvÅrau  SkP_13.18d
ÃjagmurÃruhya vimÃnap­«Âhaæ  SkP_13.22c
Ãjagmurdevasaæsadam  SkP_23.68d
Ãj¤ayÃ parameÓasya  SkP_6.1c
Ãj¤Ãpaya k­taæ hi tat  SkP_24.2d
Ãj¤ÃbalaiÓvaryak­tapramoho  SkP_13.23c
Ãjyaæ dhÆpamathÃpi ca  SkP_24.27b
Ã¬ambaraka¬iï¬imai÷  SkP_23.67b
ÃtmatulyabalÃndÅptÃ¤  SkP_10.8a
ÃtmanaÓcaiva sÃyujyam  SkP_30.58c
Ãtmana÷ sad­Óadyutim  SkP_16.1d
Ãtmana÷ sad­ÓÃnÃæ ca  SkP_23.10a
ÃtmanÃ pÆrvamÃrjitam  SkP_27.18b
ÃtmanÃ samayÃdvibho  SkP_16.5f
ÃtmanÃ saha sakhyaæ ca  SkP_29.169c
ÃtmÃnaæ putranÃmÃnaæ  SkP_16.7a
Ãdadhe garbhamuttamam  SkP_16.14f
ÃdÃvatrÃhamÃgatya  SkP_29.34a
Ãditya ÃgÃdbhaganÃmadhÃrÅ  SkP_13.11d
Ãditya iva madhyÃhne  SkP_12.51c
Ãdityamaï¬alÃkÃram  SkP_5.37c
Ãdityamaï¬alÃkÃraæ  SkP_5.40e
ÃdityamÆrdhÃ koÂyÃ ca  SkP_23.51a
Ãdityavarcasaæ caiva  SkP_24.38c
ÃdityavarïÃya nama÷  SkP_5.49a
Ãditya÷ kÃÓyapo balÅ  SkP_13.35b
ÃdityÃnÃæ ca pataye  SkP_21.26c
ÃdityÃyÃÓvine nama÷  SkP_14.17d
Ãdityo bhava rudro vÃ  SkP_21.16c
ÃdideÓa pitÃmaham  SkP_24.35d
Ãdau paÓcÃcca sarvÃbhyo  SkP_29.226a
Ãnantyaæ cÃrcanaæ sm­tam  SkP_27.24d
ÃnantyÃ sÃ gatistasya  SkP_29.30c
Ãnantyo gugguluÓcaiva  SkP_27.29c
ÃnandÃya ca vai nama÷  SkP_21.41b
ÃnayÃma÷ susaækruddhÃ  SkP_24.4c
ÃnayÃmÃsa tatk«aïÃt  SkP_25.7d
Ãnayi«yÃma durvidam  SkP_8.15b
Ãninyustatra gaïapÃ  SkP_24.19a
Ãp­cchya himavatsutÃm  SkP_12.27b
ÃpyÃyayansarvasurÃsureÓÃn  SkP_13.16a
