Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
ata tvadicchayà siddhaü  Bca_6.88a
ataþ paraü pritaùñhantàü  Bca_2.20a
ataþ paràrthaü kçtvàpi  Bca_8.109a
ataþ supuùpacandreõa  Bca_8.106a
atãtànàgataü cittaü  Bca_9.74a
atãtya yuùmadvacanaü  Bca_2.54a
ato mamàrthàya paràrthacintà  Bca_2.7c
ato yadi na rakùyate  Bca_8.97b
ato 'yaü bahudoùo 'pi  Bca_8.184c
atyaniùñàgamenàpi  Bca_6.9a
atyapramattastiùñhàmi  Bca_2.58a
atyayamatyayatvena  Bca_2.66a
atra kopo na yujyate  Bca_6.102b
atra grahã bhaviùyàmi  Bca_4.43a
atra me cetanà nàsti  Bca_4.27a
atra vàdo vçthà nanu  Bca_9.72d
atha j¤a÷cetanàyogàd  Bca_9.69c
atha j¤eyava÷àjj¤ànaü  Bca_9.113a
atha j¤eyàdbhavetpa÷càt  Bca_9.106a
atha doùo 'yamàgantuþ  Bca_6.40a
atha na ÷råyate teùàü  Bca_8.11c
atha nàsti pratãkàro  Bca_6.10c
atha pratyapakàrã syàü  Bca_6.51a
atha matsamadhàtureva pa÷yed  Bca_1.3c
atha yasya manaþ prasàdameti  Bca_1.35a
atha sàpyanyasaüvçtyà  Bca_9.107c
athànyonyava÷àtsattvam  Bca_9.113c
athàpi hastapàdàdi  Bca_7.20a
athàpyartho bhavedevam  Bca_6.88c
athàpyavidyamàno 'sau  Bca_9.146c
athàvikçta evàtmà  Bca_9.70a
athàhamacikitsyo 'sya  Bca_8.145a
athàhamàtmadoùeõa  Bca_6.103a
athaivamucyamàne 'pi  Bca_8.168a
athotpannamahaü cittaü  Bca_9.74c
adaridraü jagatkçtvà  Bca_5.9a
adàntà mattamàtaïgà  Bca_5.2a
adyaprabhçtyastu ca puùpavçùñiþ  Bca_10.9b
adya buddhakule jàto  Bca_3.25c
adya me saphalaü janma  Bca_3.25a
adyàpi cettathaiva syàü  Bca_4.14a
adyàpyasti mama svàrtha  Bca_8.170a
adyaiva maraõaü neti  Bca_2.59a
adyaiva ÷araõaü yàmi  Bca_2.48a
adhunà vada kasmàttvaü  Bca_5.64c
adhyatiùñhadatho nàthaþ  Bca_8.118a
adhvànaü pratipannasya  Bca_8.34a
anadhãùñopakàriõàm  Bca_5.74b
anantaduþkhasàgaràþ  Bca_9.159b
anantaratisaütatim  Bca_7.15b
anantàü÷airguõàrõavaiþ  Bca_6.116d
anapekùaü ca dç÷yate  Bca_9.20b
anarthaþ kasyacinmà bhån  Bca_3.14c
anarthaþ konvataþ paraþ  Bca_6.88d
anavadyeùu vastuùu  Bca_5.57b
anàthabàlavçddhànàü  Bca_10.26c
anàthànàmahaü nàthaþ  Bca_3.17a
anàdikàlopacitàt  Bca_4.21c
anàdimati saüsàre  Bca_2.28a
anàdyantaü mahàdãrghaü  Bca_4.32c
anàrambho varaü nàma  Bca_7.47c
anityajãvitàsaïgàd  Bca_2.43a
anitye sthaulyasåkùmate  Bca_9.134b
anivarttã bhaviùyàmi  Bca_4.42c
anivartyena cetasà  Bca_1.18d
aniùñakaraõàjjàtam  Bca_6.7a
aniùyamàõamapyetac  Bca_6.23a
aniùyamàõo 'pi balàt  Bca_6.23c
anãlatve na tannãlaü  Bca_9.20c
anãlatve na tannãlaü  Bca_9.21c
anugràhyà mayànye 'pi  Bca_8.94c
anutpannaü hi tannàsti  Bca_6.28a
anunãtaü pratihataü  Bca_5.48a
anubråyàcca toùataþ  Bca_5.76b
anumode ca tàyinàm  Bca_3.2d
anumode ca ÷àsinàm  Bca_3.3d
anumode pramodena  Bca_3.1c
anumode ÷arãriõàü  Bca_3.2b
anu÷aüsàü÷ca bhàvayan  Bca_7.31d
anekadoùaduùñena  Bca_2.31a
aneke ÷rutavanto 'pi  Bca_5.26a
anena mama puõyena  Bca_10.31a
anena ÷ata÷aþ sarve  Bca_8.154c
anena hi vihàreõa  Bca_5.21a
andhaþ saïkarakåñebhyo  Bca_3.27a
andhàþ pa÷yantu råpàõi  Bca_10.19a
annapànapravarùaõaiþ  Bca_3.8b
annàdo 'medhyabhakùaþ syàt  Bca_9.136c
anya eva prajàyate  Bca_8.98d
anya eva mçto yasmàd  Bca_8.98c
anyacittena mandena  Bca_5.16c
anyacca kàryakàlaü ca  Bca_7.48c
anyato nàpi càyàtaü  Bca_9.143a
anyatra tadvidhàtkle÷àt  Bca_4.43c
anyatra mayi và prãtyà  Bca_6.95a
anyatràcàrasetutaþ  Bca_5.83d
anyatràpi na labhyate  Bca_9.103d
anyathà nobhayaü bhavet  Bca_5.44b
anyathà me kathaü kùàntir  Bca_6.110c
anyathà lokabàdhà syàd  Bca_9.8c
anyathà vardhate vyathà  Bca_6.16d
anyathà syàdasaüvçtaþ  Bca_5.95d
anyadãya÷caro bhåtvà  Bca_8.159a
anyadãyena gandhena  Bca_8.65c
anyadãyena gandhena  Bca_8.67c
anyadãyaiþ karàdibhiþ  Bca_8.138d
anyadevekùate jagat  Bca_2.44d
anyadduþkhaü mayàtmanà  Bca_8.93b
anyadråpamasatyaü cen  Bca_9.67a
anyasaübaddhamasmãti  Bca_8.137a
anyà cennàsti vastutaþ  Bca_9.27d
anyàdhikaya÷ovàdair  Bca_8.163a
anyàni và påjyavibhåùaõàni  Bca_2.5b
anyànubhåte saübandhàt  Bca_9.24c
anyenàpi kçtaü doùaü  Bca_8.162a
anye ÷ålasamarpitàþ  Bca_8.78b
anyaiþ stutvà guõorjitam  Bca_6.76b
anyo 'nyaduþkhanàdghoraü  Bca_8.133c
anyonyabhakùaõabhayaü  Bca_10.17a
anyobhayeùñasatyatve  Bca_9.43c
anyo 'sau pårvakaþ kàlas  Bca_8.169c
apakàrà÷ayo 'syeti  Bca_6.110a
apanetuü janasya hi  Bca_8.118d
aparàddhaü vimànayet  Bca_6.129d
aparàn guõamànena  Bca_8.146c
aparaiþ kartumicchasi  Bca_6.86d
aparo 'pyenamato 'pi sàrthako 'yaü  Bca_1.3d
apa÷yannaratiü yàti  Bca_8.6a
apàyaduþkhavi÷ràmaü  Bca_3.1a
apàyaduþkhaiþ saümåóhaþ  Bca_4.18c
apàyapàtarakùàrthaü  Bca_6.99c
api tvaneke 'nityà÷ca  Bca_9.120a
api nàma guõà ye 'sya  Bca_8.148c
api sattvavyasanàni hartukàmaiþ  Bca_1.8b
api sarvatra me loke  Bca_8.148a
apuõyavànasmi mahàdaridraþ  Bca_2.7a
apuõyàcaraõena ca  Bca_6.36d
apårva iva sarvatra  Bca_8.16c
apårveyaü tadekatà  Bca_9.66d
apårvo jàyate kathaü  Bca_1.25b
apekùate cetsàmagrãü  Bca_9.125a
apyacintyaü kimucyate  Bca_9.121d
aprakampyaü sumeruvat  Bca_5.58d
apramàdakathàü smaran  Bca_7.74b
apramàdakathàü smçtvà  Bca_8.185c
aprameya udàhçtaþ  Bca_5.97b
aprameyaguõaü sattvam  Bca_1.22c
aprameyavyathàbhàjye  Bca_7.34c
aprameyà gatà buddhàþ  Bca_4.13a
aprameyà gatàþ kalpàþ  Bca_8.155a
aprameyà mayà doùà  Bca_7.33a
aprameyàyuùa÷caiva  Bca_10.33a
aprameyeõa puõyena  Bca_1.21c
aprameyopakàriõàm  Bca_6.119b
aprave÷e na mi÷ratvam  Bca_9.95c
aprasàdiùu te kùamà  Bca_6.63b
aprahãõà hi tatkartur  Bca_9.32a
apriyà na bhaviùyanti  Bca_2.37a
aprãtiduþkhaü dveùaistu  Bca_5.78c
abhayaü kena me dattaü  Bca_2.60a
abhaviùyadidaü karma  Bca_8.157a
abhàvaþ syàddvayorapi  Bca_9.113d
abhinandantu vilokya nàrakàste  Bca_10.15d
abhinandantu suràsuràdayaþ  Bca_3.33d
abhilàùavighàtà÷ca  Bca_7.41c
abhivandyànyatãüstathà  Bca_2.25d
abhuktvàpàyikaü duþkhaü  Bca_10.47a
abhyarcayàmyarcyatamànmunãndràn  Bca_2.15c
abhyàkhyàsyanti màü ye ca  Bca_3.16a
abhyàsàdanyadãyeùu  Bca_8.111a
amameùu prade÷eùu  Bca_8.28a
ami÷ratve na saügatiþ  Bca_9.95d
amedhyakùetrasaübhåtaü  Bca_8.59c
amedhyaghañitaü yantraü  Bca_5.61c
amedhyajamapãcchasi  Bca_8.60d
amedhyabhavamalpatvàn  Bca_8.60a
amedhyabhastràmaparàü  Bca_8.53c
amedhyabhàõóànaparàn  Bca_8.61c
amedhya÷auõóacittasya  Bca_8.57c
amedhyaü nàdhimucyase  Bca_8.63b
ayameva hi kàyo me  Bca_8.31a
aya÷a÷cetyanãpsitam  Bca_6.11b
aya÷a÷cetyayaü gaõaþ  Bca_6.53b
ayaü kila mahà/lloke  Bca_8.142c
ayaü susthaþ paro duþstho  Bca_8.160a
ayuktamapi cedetad  Bca_8.100a
ayuktaü tena nàsti tat  Bca_9.129b
arjanarakùaõanà÷aviùàdair  Bca_8.79a
arthamanarthamanantamavaihi  Bca_8.79b
alabhyamàne mànuùye  Bca_4.17c
alpamapyasya doùaü ca  Bca_8.162c
alpamàtre 'pi vastuni  Bca_4.5d
alpàdapi bhayàdbhayam  Bca_8.121b
alpàsvàdastu kàminàm  Bca_8.80b
alpaujasa÷ca ye sattvàs  Bca_10.29a
avatàragaveùakaþ  Bca_5.28b
avadhyàyanti làbhinam  Bca_8.23b
avarõavàdini dveùaþ  Bca_6.62a
avarõàt pratigha÷ceti  Bca_8.12c
ava÷yameti sà velà  Bca_2.59c
ava÷yaü ganturalpasya  Bca_8.82a
ava÷yaü na bhaviùyàmi  Bca_2.60c
avicchinnàþ puõyadhàràþ  Bca_1.19c
aviùàdabalavyåha-  Bca_7.16a
avãcimavagàhante  Bca_8.107c
avãcau kalpamàpsyate  Bca_4.21b
avyàpàrasukhàsvàda-  Bca_7.3a
avyàpàritasàdhustu  Bca_1.31c
a÷akyamicchataþ kle÷a  Bca_8.176a
a÷à÷vatena mitrena  Bca_8.8c
a÷ucipratimà ghorà  Bca_8.178c
a÷ucipratimàmimàü gçhãtvà  Bca_1.10a
a÷ucistrãniråpaõe  Bca_9.8d
a÷ucyàdiùu ÷ucyàdi-  Bca_9.6c
a÷uddhe karuõà÷aye  Bca_5.87b
a÷ubhànniyataü duþkhaü  Bca_2.63c
a÷eùàkà÷aparyanta-  Bca_4.10c
a÷rameõa ca gacchantu  Bca_10.25c
a÷ramopàrjitastasmàd  Bca_6.107a
asattvàditi cenmatam  Bca_9.135d
asatyapi yathà màyà  Bca_9.28a
asatyapi hi vastuni  Bca_8.111d
asatsahàyamekaü hi  Bca_9.29c
asahadbhirivàdhunà  Bca_8.45b
asahiùõvalasaü bhãtaü  Bca_5.53a
asaüprajanyakle÷o 'pi  Bca_5.44c
asaüprajanyacittasya  Bca_5.25a
asaüprajanyacaureõa  Bca_5.27a
asaüprajanyadoùeõa  Bca_5.26c
asaüstavàvirodhàbhyàm  Bca_8.36a
asidhàrà tathà manaþ  Bca_9.18b
asipatravanaü teùàü  Bca_10.6a
asipatravanaü yadvad  Bca_6.46a
asihastairadhiùñhitaþ  Bca_7.70b
asti kasmànna pa÷yati  Bca_9.138b
astitvamatidårataþ  Bca_9.130b
asti såkùmatayà duþkhaü  Bca_9.91a
asthipa¤jarato màüsaü  Bca_5.62c
asthãnyapi pçthak kçtvà  Bca_5.63a
asmatkarma karoti cet  Bca_8.153d
asyàpi hi varàkasya  Bca_8.151a
asyaikasyàpi kàyasya  Bca_8.32a
asyaivaü patitasyàpi  Bca_8.175a
asvàmikàni duþkhàni  Bca_8.102a
ahameva tadàpãti  Bca_8.98a
ahameva na kiücicced  Bca_9.57c
ahamevàpakàryeùàü  Bca_6.49a
ahaü kathaü svàmiùu teùu teùu  Bca_6.121c
ahaü karomi karmàõi  Bca_8.142a
ahaü kasmàttu kàtaraþ  Bca_6.13d
ahaükàràtpravartate  Bca_8.100b
ahaü ca na bhaviùyàmi  Bca_2.37c
ahaü ca pràpnuyàü sadà  Bca_10.51b
ahaü jeyo na kenacit  Bca_7.55b
aho duþkhaparamparà  Bca_9.163d
aho batàti÷ocyatvam  Bca_9.164a
aü÷à apyaõubhedena  Bca_9.87a
aü÷à aü÷eùu vartante  Bca_9.81c
àkasmikamahà÷aniþ  Bca_2.34d
àkàràcàrasaüpannàþ  Bca_10.27c
àkà÷agarbhe såtre ca  Bca_5.104c
àkà÷adhàtuprasaràvidhãni  Bca_2.5c
àkà÷asya sthitiryàvad  Bca_10.55a
àkà÷asyàtmatà matà  Bca_9.70d
àkà÷aü tena nàstyaõuþ  Bca_9.87d
àkirantu ca pàüsubhiþ  Bca_3.12d
àgatyàgatya sugatiü  Bca_9.157c
àgamàcca phalaü tatra  Bca_9.40a
àcàro bodhisattvànàm  Bca_5.97a
àtmaghàtàya mohataþ  Bca_2.29b
àtmaghàtàya ÷astravat  Bca_8.69b
àtmaduþkhaü na nihataü  Bca_8.106c
àtmapramàõamaj¤àtvà  Bca_4.42a
àtmabhàvaparityàgaü  Bca_8.113c
àtmabhàvaü yathà dãpaþ  Bca_9.18c
àtmabhàvàüstathà bhogàn  Bca_3.10a
àtmamohàttu vardhate  Bca_9.78b
àtmavyàmohanodyuktair  Bca_8.69c
àtmasattvava÷aü nityam  Bca_5.57a
àtmasnehena duþsaham  Bca_8.93d
àtmà kàmavimohitaiþ  Bca_8.75b
àtmà cet nanvasau dhruvaþ  Bca_9.122b
àtmà tu guõavànayam  Bca_8.145d
àtmànamaparityajya  Bca_8.135a
àtmànaü gopayàmyaham  Bca_8.110b
àtmànaü goptumicchasi  Bca_8.117b
àtmànaü ca paràü÷caiva  Bca_8.120a
àtmànaü pãóayitvà tu  Bca_8.126c
àtmànaü bhojayitvaiva  Bca_8.116c
àtmànaü màrayantyapi  Bca_6.92b
àtmàrthaü paramàj¤apya  Bca_8.128a
àtmàrthaü pãóayitvànyaü  Bca_8.126a
àtmàrthaü prãtireva sà  Bca_8.25b
àtmãkçtaü sarvamidaü jagattaiþ  Bca_6.126a
àtmãkçtya samucchrayam  Bca_5.60b
àtmãyaü na jugupsasi  Bca_8.61b
àtmotkarùaþ paràvarõaþ  Bca_8.13a
àdàya buddhyà munipuïgavebhyo  Bca_2.6a
àdãptakàyasya yathà samantàn  Bca_6.123a
àdau pràptasaràþ karã  Bca_7.65d
àdau ÷àkàdidàne 'pi  Bca_7.25a
ànukålyena sevitàþ  Bca_4.33b
ànupårvyà yathà sthitàþ  Bca_3.22d
àpadaþ sukarà nanu  Bca_7.53b
àpadàbàdhate 'lpàpi  Bca_7.52c
àbhàsamàtraü dçùñvà ca  Bca_5.36c
àbhàsvaràndigmukhamaõóanàüstàn  Bca_2.18b
àyasya càgamo nàsti  Bca_2.40c
àyàtàyàta ÷ãghraü bhayamapanayata bhràtaro jãvitàþ smaþ  Bca_10.13a
àyàti tatkutaþ kutra  Bca_9.144c
àyàsyantyàpado ghoràþ  Bca_9.166c
àyuùo vardhate vyayaþ  Bca_2.40b
àyuþ kùaõaü visaüvàdi  Bca_4.16c
àrabhennàrabheta và  Bca_7.47b
àràdhanàyàdya tathàgatànàü  Bca_6.125a
àrogyadivasaü cedaü  Bca_4.16a
àrogyaü rogiõàmastu  Bca_10.22a
àrtà na sukhinaþ kçtàþ  Bca_7.38b
àryanàgàrjunàbaddhaü  Bca_5.106c
àryamàkà÷agarbhaü ca  Bca_2.52a
àryàvalokite÷varakaragalitakùãradhàràbhiþ  Bca_10.18/b
àlasyamupajàyate  Bca_7.3d
àlasyaü kutsitàsaktir  Bca_7.2c
à÷ayasya ca màhàtmyaü  Bca_6.114a
à÷àbhaïga÷ca jàyate  Bca_8.176b
à÷àmà÷u prapårayet  Bca_5.86d
à÷ocyamàno lokena  Bca_8.35c
àsaüsàraü sukhajyànir  Bca_10.3a
àstàü tàvatparo loko  Bca_8.132a
àstàü bhaviùyadbuddhatvaü  Bca_6.133a
àhàraþ påjyate 'nyeùàü  Bca_8.47c
àhàràrthaü tu rakùitum  Bca_5.66b
icchanti bahava÷ca màm  Bca_8.17b
icchannapãcchàyattaþ syàt  Bca_9.126c
icchàto jàyate bhayam  Bca_8.19b
icchedetena hetunà  Bca_7.73b
icchedrakùet prapåjayet  Bca_8.124b
itaràrthe na pãóayet  Bca_5.86b
iti cedàgamaü tyaja  Bca_9.44b
iti coktaü tathàgataiþ  Bca_8.24b
iti dhyàtvà tathà tiùñhet  Bca_5.32a
iti na j¤àtamãdç÷am  Bca_2.35d
iti matku÷alaiþ samantabhadra-  Bca_10.15a
iti martyasya saüpràptàn  Bca_8.17c
itisatatadãrghavairiùu  Bca_4.34a
iti sattrapatau jinasya puttre  Bca_1.34a
itthaü na parihãyate  Bca_5.87d
ityato muninoditam  Bca_6.112b
ityàkùipya kriyàü punaþ  Bca_5.39b
ityàtmàrthe pi÷àcatà  Bca_8.125b
ityàdyava÷yama÷ubhaü  Bca_8.13c
ityà÷àü tyaja sàüpratam  Bca_8.170b
ityårdhvaü prekùamàõà gaganatalagataü vajrapàõiü jvalantaü  Bca_10.11c
ityetatprãtikàraõam  Bca_6.94d
ityeùà karmamànità  Bca_7.49d
itvaravyàdhibhãto 'pi  Bca_2.55a
idamardhakçtaü sthitam  Bca_7.8b
idaü ca te hçùñisukhaü  Bca_6.77a
idaü tu me parimitaü  Bca_7.22a
idaü na pràptamàrabdham  Bca_7.8a
idaü bhayamajànatà  Bca_2.43b
idaü subàhupçcchàyàü  Bca_1.20a
imaü carmapuñaü tàvat  Bca_5.62a
imaü parikaraü sarvaü  Bca_9.1a
imaü ye kàyamicchanti  Bca_8.183a
iyameva tu me cintà  Bca_2.63a
iyaü naurdurlabhà punaþ  Bca_7.14d
iùñasya ca vighàtanàt  Bca_6.7b
iha janmàntare vàpi  Bca_6.54c
iha bandhavadhacchedair  Bca_8.40c
iha loke paratra ca  Bca_8.40b
iha ÷ayyàgatenàpi  Bca_2.41a
ihaiva tiùñhatastàvad  Bca_2.38a
ihaiva saubhàgyaya÷aþ  Bca_6.133c
ãdç÷àþ pratyayà asyety  Bca_6.33c
ãdç÷yeva vyathà kçtà  Bca_6.42b
ãrùyotkçùñàt samàdvandvo  Bca_8.12a
ã÷varo jagato hetuþ  Bca_9.119a
uktaü ca lokanàthena  Bca_9.17c
uccairuddhuùya bhàvataþ  Bca_4.6b
uttarottarataþ ÷reùñhà  Bca_5.83a
uttarottaratçùõayà  Bca_7.66d
utpattirnàvasãyate  Bca_9.106d
utpatsya ityabhipretya  Bca_6.24c
utpàdyameva tadduþkhaü  Bca_8.105c
utpràsakàstathànye 'pi  Bca_3.16c
utplàvayatyapramità¤janaughàn  Bca_1.7d
udita÷cittacandramàþ  Bca_3.30d
uddaü÷adaü÷ama÷aka-  Bca_6.15a
uddhataü sopahàsaü và  Bca_5.49a
udvandhanaprapàtai÷ca  Bca_6.36a
udvignà÷ca nirudvegà  Bca_10.21c
unnàmyamànaü yatnàd yan  Bca_8.44a
unmattairàkulà mahã  Bca_8.69d
upacityàpi puõyàni  Bca_5.27c
upatiùñheyamagrataþ  Bca_3.9d
upadravà ye ca bhavanti koke  Bca_8.134a
upa÷àntavitarkaþ san  Bca_8.89c
upasthànàrthi me cittaü  Bca_5.51c
upàdhyàyànu÷àsinyà  Bca_5.30a
upànaccarmamàtreõa  Bca_5.13c
urasàràtighàtàn ye  Bca_6.20a
uùõàrtàþ santu ÷ãtalàþ  Bca_10.5b
çju pa÷yetsadà sattvàü÷  Bca_5.80a
çddhi÷caivaü samçdhyati  Bca_7.75d
eka utpadyate jantur  Bca_8.33a
eka eva ÷arãrakaþ  Bca_8.36b
ekakùaõàtkçtàtpàpàd  Bca_4.21a
ekade÷ena vartate  Bca_9.81b
ekasmàda÷anàdeùàü  Bca_8.49a
ekasya trisvabhàvatvam  Bca_9.129a
ekasyàpi hi sattvasya  Bca_4.10a
ekaþ pità ca putra÷ca  Bca_9.64c
ekàkã kvàpi yàsyàmi  Bca_2.62c
ekàkã vihariùyàmi  Bca_8.14c
ekena såtratulyena  Bca_9.51c
ekenàgamyamànena  Bca_9.51a
ekenàpi yataþ sarve  Bca_2.56a
ekaikasmiü÷chale suùñhu  Bca_7.72a
ekaikasya jihãrùataþ  Bca_1.22b
ekaikasyàpi doùasya  Bca_7.33c
ekaikaü ca cikãrùataþ  Bca_1.22d
etaccànyacca buddhoktaü  Bca_5.103c
etatpårvà kùamà yataþ  Bca_6.108d
etadaü÷ànuråpyeõa  Bca_6.118c
etadeva samàsena  Bca_5.108a
etaddhi baói÷aü ghoraü  Bca_6.89a
etasmai prathamaü deyam  Bca_6.108c
etànàràdhya bahavaþ  Bca_6.112c
etànà÷ritya me pàpaü  Bca_6.48a
etàneva samà÷ritya  Bca_5.80c
etàvàü÷ca bhavetsvàrtho  Bca_6.91a
etàü sarvàü visaüvàdya  Bca_4.4c
evamaïgulipu¤jatvàt  Bca_9.86a
evamanviùya yatnena  Bca_5.64a
evamapyatiduþsthitàþ  Bca_9.164d
evamapyatiduþsthitàþ  Bca_9.165d
evamàkà÷aniùñhasya  Bca_3.21a
evamàgantuko 'smãti  Bca_2.39a
evamàtmaguõà¤÷rutvà  Bca_8.152a
evamàdibhiràkàrair  Bca_8.89a
evamàdãnavo bhåyàn  Bca_8.80a
evamàdãni duþkhàni  Bca_6.6a
evamàpattibalato  Bca_4.11a
evamudvijya kàmebhyo  Bca_8.85a
evameva hi sattvànàm  Bca_5.86c
evameùaþ va÷aþ kàryo  Bca_8.167c
evaü karàdau sà yàvat  Bca_9.85c
evaü kuruùva tiùñhaivaü  Bca_8.167a
evaü kçcchramapi pràpya  Bca_7.61c
evaü kùamo bhajedvãryaü  Bca_7.1a
evaü guõà na vidyante  Bca_9.129c
evaü gçhãtvà matimàn  Bca_3.24a
evaü gçhãtvà sudçóhaü  Bca_4.1a
evaü ca ko guõo labdha÷  Bca_9.30c
evaü ca na virodho 'sti  Bca_9.150a
evaü ca sarvadharmàõàm  Bca_9.106c
evaü cànekadhà datvà  Bca_8.172a
evaü càmedhyamapyetad  Bca_8.71a
evaü cittaü yadàsaïgàd  Bca_6.71a
evaü tasyàpi tatsaïgàt  Bca_8.14a
evaü te rakùata÷càpi  Bca_5.67a
evaü durjanamadhyastho  Bca_5.19c
evaü duþkhàgnitaptànàü  Bca_9.167a
evaü nityaü yati÷caret  Bca_5.73d
evaü parava÷aü sarvaü  Bca_6.31a
evaü paràrthaü kçtvàpi  Bca_8.116a
evaü påtirbhaviùyati  Bca_8.31b
evaü buddhvà tu puõyeùu  Bca_6.69a
evaü buddhvà paràrtheùu  Bca_5.84a
evaü bhàvitasaütànàþ  Bca_8.107a
evaü matvà sukhã bhavet  Bca_6.33d
evaü lapsye 'ti durlabhaü  Bca_4.15d
evaü va÷ãkçtasvàtmà  Bca_5.71a
evaü vini÷citya karomi yatnaü  Bca_4.48a
evaü vipakùamunmålya  Bca_7.32a
evaü viharataþ sataþ  Bca_5.100d
evaü viharatàü satàm  Bca_9.166b
evaü ÷ånyeùu dharmeùu  Bca_9.152a
evaü sarvamidaü kçtvà  Bca_3.6a
evaü sarvàsvavasthàsu  Bca_5.38c
evaü saükliùñamàlokya  Bca_5.54a
evaü sukhàtsukhaü gacchan  Bca_7.30a
evaü svapnopame råpe  Bca_9.88a
evaü hi sukçtaü sarvam  Bca_5.44a
eùa satkriyate nàhaü  Bca_8.141a
