Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
asatsahÃyamekaæ hi  Bca_9.29c
asahadbhirivÃdhunÃ  Bca_8.45b
asahi«ïvalasaæ bhÅtaæ  Bca_5.53a
asaæprajanyakleÓo 'pi  Bca_5.44c
asaæprajanyacittasya  Bca_5.25a
asaæprajanyacaureïa  Bca_5.27a
asaæprajanyado«eïa  Bca_5.26c
asaæstavÃvirodhÃbhyÃm  Bca_8.36a
asidhÃrÃ tathÃ mana÷  Bca_9.18b
asipatravanaæ te«Ãæ  Bca_10.6a
asipatravanaæ yadvad  Bca_6.46a
asihastairadhi«Âhita÷  Bca_7.70b
asti kasmÃnna paÓyati  Bca_9.138b
astitvamatidÆrata÷  Bca_9.130b
asti sÆk«matayÃ du÷khaæ  Bca_9.91a
asthipa¤jarato mÃæsaæ  Bca_5.62c
asthÅnyapi p­thak k­tvÃ  Bca_5.63a
asmatkarma karoti cet  Bca_8.153d
asyÃpi hi varÃkasya  Bca_8.151a
asyaikasyÃpi kÃyasya  Bca_8.32a
asyaivaæ patitasyÃpi  Bca_8.175a
asvÃmikÃni du÷khÃni  Bca_8.102a
ahameva tadÃpÅti  Bca_8.98a
ahameva na kiæcicced  Bca_9.57c
ahamevÃpakÃrye«Ãæ  Bca_6.49a
ahaæ kathaæ svÃmi«u te«u te«u  Bca_6.121c
ahaæ karomi karmÃïi  Bca_8.142a
ahaæ kasmÃttu kÃtara÷  Bca_6.13d
ahaækÃrÃtpravartate  Bca_8.100b
ahaæ ca na bhavi«yÃmi  Bca_2.37c
ahaæ ca prÃpnuyÃæ sadÃ  Bca_10.51b
ahaæ jeyo na kenacit  Bca_7.55b
aho du÷khaparamparÃ  Bca_9.163d
aho batÃtiÓocyatvam  Bca_9.164a
aæÓÃ apyaïubhedena  Bca_9.87a
aæÓÃ aæÓe«u vartante  Bca_9.81c
ÃkasmikamahÃÓani÷  Bca_2.34d
ÃkÃrÃcÃrasaæpannÃ÷  Bca_10.27c
ÃkÃÓagarbhe sÆtre ca  Bca_5.104c
ÃkÃÓadhÃtuprasarÃvidhÅni  Bca_2.5c
ÃkÃÓasya sthitiryÃvad  Bca_10.55a
ÃkÃÓasyÃtmatÃ matÃ  Bca_9.70d
ÃkÃÓaæ tena nÃstyaïu÷  Bca_9.87d
Ãkirantu ca pÃæsubhi÷  Bca_3.12d
ÃgatyÃgatya sugatiæ  Bca_9.157c
ÃgamÃcca phalaæ tatra  Bca_9.40a
ÃcÃro bodhisattvÃnÃm  Bca_5.97a
ÃtmaghÃtÃya mohata÷  Bca_2.29b
ÃtmaghÃtÃya Óastravat  Bca_8.69b
Ãtmadu÷khaæ na nihataæ  Bca_8.106c
ÃtmapramÃïamaj¤ÃtvÃ  Bca_4.42a
ÃtmabhÃvaparityÃgaæ  Bca_8.113c
ÃtmabhÃvaæ yathÃ dÅpa÷  Bca_9.18c
ÃtmabhÃvÃæstathÃ bhogÃn  Bca_3.10a
ÃtmamohÃttu vardhate  Bca_9.78b
ÃtmavyÃmohanodyuktair  Bca_8.69c
ÃtmasattvavaÓaæ nityam  Bca_5.57a
Ãtmasnehena du÷saham  Bca_8.93d
ÃtmÃ kÃmavimohitai÷  Bca_8.75b
ÃtmÃ cet nanvasau dhruva÷  Bca_9.122b
ÃtmÃ tu guïavÃnayam  Bca_8.145d
ÃtmÃnamaparityajya  Bca_8.135a
ÃtmÃnaæ gopayÃmyaham  Bca_8.110b
ÃtmÃnaæ goptumicchasi  Bca_8.117b
ÃtmÃnaæ ca parÃæÓcaiva  Bca_8.120a
ÃtmÃnaæ pÅ¬ayitvÃ tu  Bca_8.126c
ÃtmÃnaæ bhojayitvaiva  Bca_8.116c
ÃtmÃnaæ mÃrayantyapi  Bca_6.92b
ÃtmÃrthaæ paramÃj¤apya  Bca_8.128a
ÃtmÃrthaæ pÅ¬ayitvÃnyaæ  Bca_8.126a
ÃtmÃrthaæ prÅtireva sÃ  Bca_8.25b
ÃtmÅk­taæ sarvamidaæ jagattai÷  Bca_6.126a
ÃtmÅk­tya samucchrayam  Bca_5.60b
ÃtmÅyaæ na jugupsasi  Bca_8.61b
Ãtmotkar«a÷ parÃvarïa÷  Bca_8.13a
ÃdÃya buddhyÃ munipuÇgavebhyo  Bca_2.6a
ÃdÅptakÃyasya yathÃ samantÃn  Bca_6.123a
Ãdau prÃptasarÃ÷ karÅ  Bca_7.65d
Ãdau ÓÃkÃdidÃne 'pi  Bca_7.25a
ÃnukÆlyena sevitÃ÷  Bca_4.33b
ÃnupÆrvyÃ yathÃ sthitÃ÷  Bca_3.22d
Ãpada÷ sukarÃ nanu  Bca_7.53b
ÃpadÃbÃdhate 'lpÃpi  Bca_7.52c
ÃbhÃsamÃtraæ d­«ÂvÃ ca  Bca_5.36c
ÃbhÃsvarÃndigmukhamaï¬anÃæstÃn  Bca_2.18b
Ãyasya cÃgamo nÃsti  Bca_2.40c
ÃyÃtÃyÃta ÓÅghraæ bhayamapanayata bhrÃtaro jÅvitÃ÷ sma÷  Bca_10.13a
ÃyÃti tatkuta÷ kutra  Bca_9.144c
ÃyÃsyantyÃpado ghorÃ÷  Bca_9.166c
Ãyu«o vardhate vyaya÷  Bca_2.40b
Ãyu÷ k«aïaæ visaævÃdi  Bca_4.16c
ÃrabhennÃrabheta vÃ  Bca_7.47b
ÃrÃdhanÃyÃdya tathÃgatÃnÃæ  Bca_6.125a
Ãrogyadivasaæ cedaæ  Bca_4.16a
Ãrogyaæ rogiïÃmastu  Bca_10.22a
ÃrtÃ na sukhina÷ k­tÃ÷  Bca_7.38b
ÃryanÃgÃrjunÃbaddhaæ  Bca_5.106c
ÃryamÃkÃÓagarbhaæ ca  Bca_2.52a
ÃryÃvalokiteÓvarakaragalitak«ÅradhÃrÃbhi÷  Bca_10.18/b
ÃlasyamupajÃyate  Bca_7.3d
Ãlasyaæ kutsitÃsaktir  Bca_7.2c
ÃÓayasya ca mÃhÃtmyaæ  Bca_6.114a
ÃÓÃbhaÇgaÓca jÃyate  Bca_8.176b
ÃÓÃmÃÓu prapÆrayet  Bca_5.86d
ÃÓocyamÃno lokena  Bca_8.35c
ÃsaæsÃraæ sukhajyÃnir  Bca_10.3a
ÃstÃæ tÃvatparo loko  Bca_8.132a
ÃstÃæ bhavi«yadbuddhatvaæ  Bca_6.133a
ÃhÃra÷ pÆjyate 'nye«Ãæ  Bca_8.47c
ÃhÃrÃrthaæ tu rak«itum  Bca_5.66b
icchanti bahavaÓca mÃm  Bca_8.17b
icchannapÅcchÃyatta÷ syÃt  Bca_9.126c
icchÃto jÃyate bhayam  Bca_8.19b
icchedetena hetunÃ  Bca_7.73b
icchedrak«et prapÆjayet  Bca_8.124b
itarÃrthe na pÅ¬ayet  Bca_5.86b
iti cedÃgamaæ tyaja  Bca_9.44b
iti coktaæ tathÃgatai÷  Bca_8.24b
iti dhyÃtvÃ tathÃ ti«Âhet  Bca_5.32a
iti na j¤ÃtamÅd­Óam  Bca_2.35d
iti matkuÓalai÷ samantabhadra-  Bca_10.15a
iti martyasya saæprÃptÃn  Bca_8.17c
itisatatadÅrghavairi«u  Bca_4.34a
iti sattrapatau jinasya puttre  Bca_1.34a
itthaæ na parihÅyate  Bca_5.87d
ityato muninoditam  Bca_6.112b
ityÃk«ipya kriyÃæ puna÷  Bca_5.39b
ityÃtmÃrthe piÓÃcatÃ  Bca_8.125b
ityÃdyavaÓyamaÓubhaæ  Bca_8.13c
ityÃÓÃæ tyaja sÃæpratam  Bca_8.170b
ityÆrdhvaæ prek«amÃïÃ gaganatalagataæ vajrapÃïiæ jvalantaæ  Bca_10.11c
ityetatprÅtikÃraïam  Bca_6.94d
itye«Ã karmamÃnitÃ  Bca_7.49d
itvaravyÃdhibhÅto 'pi  Bca_2.55a
idamardhak­taæ sthitam  Bca_7.8b
idaæ ca te h­«Âisukhaæ  Bca_6.77a
idaæ tu me parimitaæ  Bca_7.22a
idaæ na prÃptamÃrabdham  Bca_7.8a
idaæ bhayamajÃnatÃ  Bca_2.43b
idaæ subÃhup­cchÃyÃæ  Bca_1.20a
imaæ carmapuÂaæ tÃvat  Bca_5.62a
imaæ parikaraæ sarvaæ  Bca_9.1a
imaæ ye kÃyamicchanti  Bca_8.183a
iyameva tu me cintÃ  Bca_2.63a
iyaæ naurdurlabhÃ puna÷  Bca_7.14d
i«Âasya ca vighÃtanÃt  Bca_6.7b
iha janmÃntare vÃpi  Bca_6.54c
iha bandhavadhacchedair  Bca_8.40c
iha loke paratra ca  Bca_8.40b
iha ÓayyÃgatenÃpi  Bca_2.41a
ihaiva ti«ÂhatastÃvad  Bca_2.38a
ihaiva saubhÃgyayaÓa÷  Bca_6.133c
Åd­ÓÃ÷ pratyayÃ asyety  Bca_6.33c
Åd­Óyeva vyathÃ k­tÃ  Bca_6.42b
År«yotk­«ÂÃt samÃdvandvo  Bca_8.12a
ÅÓvaro jagato hetu÷  Bca_9.119a
uktaæ ca lokanÃthena  Bca_9.17c
uccairuddhu«ya bhÃvata÷  Bca_4.6b
uttarottarata÷ Óre«ÂhÃ  Bca_5.83a
uttarottarat­«ïayÃ  Bca_7.66d
utpattirnÃvasÅyate  Bca_9.106d
utpatsya ityabhipretya  Bca_6.24c
utpÃdyameva taddu÷khaæ  Bca_8.105c
utprÃsakÃstathÃnye 'pi  Bca_3.16c
utplÃvayatyapramitÃ¤janaughÃn  Bca_1.7d
uditaÓcittacandramÃ÷  Bca_3.30d
uddaæÓadaæÓamaÓaka-  Bca_6.15a
uddhataæ sopahÃsaæ vÃ  Bca_5.49a
udvandhanaprapÃtaiÓca  Bca_6.36a
udvignÃÓca nirudvegÃ  Bca_10.21c
unnÃmyamÃnaæ yatnÃd yan  Bca_8.44a
unmattairÃkulÃ mahÅ  Bca_8.69d
upacityÃpi puïyÃni  Bca_5.27c
upati«Âheyamagrata÷  Bca_3.9d
upadravÃ ye ca bhavanti koke  Bca_8.134a
upaÓÃntavitarka÷ san  Bca_8.89c
upasthÃnÃrthi me cittaæ  Bca_5.51c
upÃdhyÃyÃnuÓÃsinyÃ  Bca_5.30a
upÃnaccarmamÃtreïa  Bca_5.13c
urasÃrÃtighÃtÃn ye  Bca_6.20a
u«ïÃrtÃ÷ santu ÓÅtalÃ÷  Bca_10.5b
­ju paÓyetsadÃ sattvÃæÓ  Bca_5.80a
­ddhiÓcaivaæ sam­dhyati  Bca_7.75d
eka utpadyate jantur  Bca_8.33a
eka eva ÓarÅraka÷  Bca_8.36b
ekak«aïÃtk­tÃtpÃpÃd  Bca_4.21a
ekadeÓena vartate  Bca_9.81b
ekasmÃdaÓanÃde«Ãæ  Bca_8.49a
ekasya trisvabhÃvatvam  Bca_9.129a
ekasyÃpi hi sattvasya  Bca_4.10a
eka÷ pitÃ ca putraÓca  Bca_9.64c
ekÃkÅ kvÃpi yÃsyÃmi  Bca_2.62c
ekÃkÅ vihari«yÃmi  Bca_8.14c
ekena sÆtratulyena  Bca_9.51c
ekenÃgamyamÃnena  Bca_9.51a
ekenÃpi yata÷ sarve  Bca_2.56a
ekaikasmiæÓchale su«Âhu  Bca_7.72a
ekaikasya jihÅr«ata÷  Bca_1.22b
ekaikasyÃpi do«asya  Bca_7.33c
ekaikaæ ca cikÅr«ata÷  Bca_1.22d
etaccÃnyacca buddhoktaæ  Bca_5.103c
etatpÆrvÃ k«amÃ yata÷  Bca_6.108d
etadaæÓÃnurÆpyeïa  Bca_6.118c
etadeva samÃsena  Bca_5.108a
etaddhi ba¬iÓaæ ghoraæ  Bca_6.89a
etasmai prathamaæ deyam  Bca_6.108c
etÃnÃrÃdhya bahava÷  Bca_6.112c
etÃnÃÓritya me pÃpaæ  Bca_6.48a
etÃneva samÃÓritya  Bca_5.80c
etÃvÃæÓca bhavetsvÃrtho  Bca_6.91a
