Bilhana:
Caurapancasika
Based on the ed. by S.N. Tadpatrikar
Poona : Oriental Book Agency, 1966
(Poona Oriental Series, 86)

Input by Somadeva Vasudeva


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agàügasaügaparicumbanajàtamohàü  BiCaup_47c
adyàpi tàü nijavapuş kç÷avedimadhyàm  BiCaup_46a
adyàpi tàü nidhuvanaklamanişsahàïgãm  BiCaup_4a
adyàpi tàü nidhuvane madhupànaraktàm  BiCaup_9a
adyàpi tàü nçpatã ÷ekhararàjaputrãü  BiCaup_45a
adyàpi tàü praõayinãü mçga÷àvakàkùãü  BiCaup_23a
adyàpi tàü prathamato varasundarãõàü  BiCaup_26a
adyàpi tàü masçõacandanapaïkami÷ra-  BiCaup_8a
adyàpi tàü yadi punaş kamalàyatàkùãü  BiCaup_3a
adyàpi tàü yadi punaş ÷ravaõàyatàkùãü  BiCaup_6a
adyàpi tàü vidhçtakajjalalolanetràü  BiCaup_16a
adyàpi tàü virahavahninipãóitàïgãü  BiCaup_19a
adyàpi tàü vihasitàü kucabhàranamràü  BiCaup_20a
adyàpi tàü ÷a÷imukhãü navayauvanàóhyàü  BiCaup_2a
adyàpi tàü sunipuõaü yatatà mayàpi  BiCaup_29a
adyàpi tàü surataghårõanimãlitàkùãü  BiCaup_22a
adyàpi tàü suratajàgaraghårõamàna  BiCaup_5a
adyàpi tàü suratatàõóavasåtradhàrãü  BiCaup_7a
adyàpi tàü stimitavastram ivàïgalagnàü  BiCaup_25a
adyàpi dhavati manaş kim ahaü karomi  BiCaup_37a
adyàpi nirmala÷araccha÷igaurakànti  BiCaup_41a
adyàpi nojjhati haraş kila kàlakåñaü  BiCaup_50a
adyàpi me ni÷i divàñ hçdayaü dunoti  BiCaup_32a
adyàpi vàsagçhato mayi nãyamane  BiCaup_31a
adyàpi vismayakarãü trida÷àn vihàya  BiCaup_27a
adyàpi sà mama manastañinã sadàste  BiCaup_44a
adyàpi sà hi navayauvanasundaràïgã  BiCaup_44*a
adyàpy a÷okanavapallavaraktahastàü  BiCaup_14a
adyàpy ahaü varavadhåsuratopabhogaü  BiCaup_49a
adyàpy aho jagati sundaralakùapårõe  BiCaup_43a
antaş smitocchvasitapàõóuragaõóabhittiü  BiCaup_14c
ante smaràmi ratikhedavilolanetraü  BiCaup_10c
anyàbhir apy upamituü na mayà ca ÷akyaü  BiCaup_43c
anyonyaca¤cupuñacumbanalagnapakùma  BiCaup_8c
ambhonidhir vahati duşsahavaóavàgnim  BiCaup_50c
avyaktanişsvanitakàtarakathyamàna  BiCaup_21c
àkçùñahemaruciràmbaram utthitàyà  BiCaup_15c
àndolana÷ramajalasphuñasàndrabindu  BiCaup_12c
àpàõóugaõóapatitàlakakuntalàlim  BiCaup_4b
àbaddhahemakañakàü rahasi smaràmi  BiCaup_16d
àsyaü smaràmi viparãtaratàbhiyoge  BiCaup_12b
uttuügasaübhçtasudhàstanakumbhayugmàm  BiCaup_46b
udbhinnaromapulakair bahubhiş samantàj  BiCaup_35c
udvattake÷anivahàü sudatãü smaràmi  BiCaup_30d
unmattavan madhukaraş kamalaü yatheùñam  BiCaup_3d
kaõñhàvasaktabàhulatàü smaràmi  BiCaup_4d
karõe kçtaü kanakapatram anàlapantyà  BiCaup_11d
karpårapågaparipårõamukhãü smaràmi  BiCaup_9d
kastårikàparimalotthavisarpigandhàm  BiCaup_8b
kàdambake÷araruciş kùatavãkùaõaü màü  BiCaup_44c
kàntàïgasaügaparihàsavicitrançtye  BiCaup_37c
kàntàm ihàtivimalatvamahàguõena  BiCaup_29d
kàntàü smaràmi kusumàyudhabàõakhinnàm  BiCaup_24d
kàntàü smaràmi rucirojjvalapuùpaketum  BiCaup_20d
kànteti vallabhatareti mameti dhãrà  BiCaup_27d
kà÷mãrapaïkamçganàbhikçtàïgaràgàü  BiCaup_9c
kim-cidgamaü prathayati priyaràjahaüsã  BiCaup_44*d
kiü kiü tayà bahuvidhaü na kçtaü madarthe  BiCaup_31c
kårmo bibharti dharaõãü khalu pçùñabhàge  BiCaup_50b
krãóàbhiràmeti yàtu madãyakàlaş  BiCaup_37d
kvàõo vimårcchati manaş sutaràü madãyam  BiCaup_34d
kùãõàü vapur yadi vina÷yati no na doùaş  BiCaup_40d
gandharvayakùasurakiünaranàgakanyàü  BiCaup_45c
gàtraklamaü kathayatã priyaràjahaüsã  BiCaup_44d
gàtràõi saüprati karomi su÷ãtalàni  BiCaup_2d
cumban pibàmy avirataü vyadhate mano me  BiCaup_41d
cumbàmi roditi bhç÷aü patito 'smi pàde  BiCaup_36c
ceto muner api haret kim utàsmadãyam  BiCaup_41b
janmàntare 'pi nidhane 'py anucintayàmi  BiCaup_22d
janmàntare 'pi mama saiva gatir yathà syàt  BiCaup_33d
jàgarti rakùati vilokayati smaràmi  BiCaup_35d
jànann api pratimuhårtam ihàntakàle  BiCaup_27c
jãvàmi nànyavidhinàñ kùaõam antareõa  BiCaup_49b
jãveti maïgalavacaş parihçtya kopàt  BiCaup_11c
tat kelimandaragirau kusumàyudhasya  BiCaup_20c
tatpremavàri makaradhvajapàtakàri  BiCaup_42b
tad bhràtaro maraõam eva hi duşkha  BiCaup_49c
tanvãü kuraïganayanàü surataikapàtrãm  BiCaup_19b
tanvãü vi÷àlajaghanastanabhàranamràü  BiCaup_7c
tasyà smaràmi ratibandhuraniùñhuratvam  BiCaup_48d
tasyàş smaràmi rativibhramagàtrabhaïgam  BiCaup_13b
tasyàş smaràmi surataklamavihvalàyàş  BiCaup_21b
tàü jãvadhàraõakarãü madanàtapatràm  BiCaup_30c
tàü jãvanauùadhim iva pramadàü smaràmi  BiCaup_47d
tàü vallabhàmalasahaüsagatiü smaràmi  BiCaup_14d
tiryagvalattaralatàrakam àyatàkùãm  BiCaup_5b
dantacchadaü da÷anakhaõóanamaõóanaü ca  BiCaup_13d
dantauùñhapãóananakhakùataraktasiktaü  BiCaup_48c
dàsas tava priyatame bhaja maü smaràmi  BiCaup_36d
durvàrabhãùaõakarair yamadåtakalpair  BiCaup_31b
dçùñaü tayor sadç÷ayor khalu yena råpaü  BiCaup_38c
dçùñaü na yat sadç÷atovadanaü kadàcit  BiCaup_29b
dhàtraiva kiü nu jagataş parimohanàya  BiCaup_39c
nànàvicitrakçtamaõóanam àvahantãü tàü  BiCaup_19c
nànàvicitrakçtamaõóamaõóitàïgã  BiCaup_46c
nànyopabhuktanavayauvanabhàrasàràü  BiCaup_33c
noktaü vacaş pratidadàti yadaiva vaktram  BiCaup_36b
nonmãlayàmi nayane na ca tàü tyajàmi  BiCaup_6d
nyastaü smaràmi nakharakùatalakùma tasyàş  BiCaup_15b
'nyànyam uttamaguõàdhikasaüprapanne  BiCaup_43b
pa÷yàmi dãrghavirahajvaritàïgayaùñim  BiCaup_6b
pa÷yàmi pãvarapayodharabhàrakhinnàm  BiCaup_3b
pa÷yàmi manmatha÷arànalapãóitàïgãü  BiCaup_2c
pa÷yàmy ahaü yadi punar divasàvasàne  BiCaup_23c
pa÷ye tavàtmani navãnapayodharàbhyàü  BiCaup_40c
pãnastanãü punar ahaü yadi gaurakàntim  BiCaup_2b
pãnonnatastanayugoparicàrucumban  BiCaup_17c
pãyåùapurõakucakumbhayugaü vahantãm  BiCaup_23b
pårõendusundaramukhaü mama vallabhàyàş  BiCaup_32b
pårõendusundaramukhãü madavihvalàïgãm  BiCaup_7b
pçthvãü prabhåtakusumàkulake÷apà÷àm  BiCaup_16b
pracchannapàpakçtamantharam àvahantãü  BiCaup_4c
prasvedabinduvitataü vadanaü priyàyàş  BiCaup_10b
pràõàdhikàü kùaõam ahaü na hi vismaràmi  BiCaup_25d
pràõàüs tyajàmã niyataü tadavàptihetor  BiCaup_42d
pràptodyame rahasi saümukhadar÷anàrthaü  BiCaup_18c
pràpnomy ahaü yadi punaş surataikatãrthaü  BiCaup_42c
prauóhapratàpamadanànalataptadeham  BiCaup_25b
phullàravindavadanàü tanuromaràjãm  BiCaup_1b
bandhopabandhapatanotthita÷ånyahastam  BiCaup_48b
bàlàm anàtha÷araõàm anukampanãyàü  BiCaup_25c
buddhir balàc calati me kim ahaü karomi  BiCaup_27b
bhåyaş puraş pratipadaü na vilokyate yat  BiCaup_32d
bhràmyaddvirephacayacumbitagaõóade÷àm  BiCaup_34b
matsvàntasàrasacaladvirahoccapaükàt  BiCaup_44*c
mayàsyamadhupànavimohitena  BiCaup_35b
màlàmayåkhapañalair dalitàndhakàre  BiCaup_18b
muktàkalàpadhavalãkçtakaõñhade÷àm  BiCaup_20b
muktàphalaprakaravicchuritaü priyàyàş  BiCaup_12d
muktàphalapracayacumbitacåcukàgràm  BiCaup_14b
muktàvalãü rahasi loladç÷am smaràmi  BiCaup_17d
yugmàbhiràmanayanàü ÷ayane smaràmi  BiCaup_8d
ràjahaüsagamanàü sudatãü smaràmi  BiCaup_19d
ràtrau mayi kùutavati kùitipàlaputryà  BiCaup_11b
ràhåparàgaparimuktam ivendubimbam  BiCaup_10d
råpaü tadãyam iti me hçdaye vitarkaş  BiCaup_43d
romà¤cavãcivilasaccapalàïgayaùñiş  BiCaup_44*b
romà¤cavãcivilasadvipulasvabhàvà%  BiCaup_44b
lajjàbhayàrthanayanàm anucintayàmi  BiCaup_18d
lajjàva÷àt karaghçtaü ca tato vrajantyàş  BiCaup_15d
làvaõyanirjitaratikùatikàmadarpaü  BiCaup_32c
lãlàdharàü kç÷atanuü capalàyatàkùãm  BiCaup_9b
lãlàvadhåtakarapallavakaïkaõànàü  BiCaup_34c
vaktuü na pàryateti vyathate mano me  BiCaup_31d
vaktraü sudhàmayam ahaü yadi tat prapadye  BiCaup_41c
vastrà¤calaskhalatacàrupayodharàntaü  BiCaup_13c
vàcaş skhaladvigaladà÷rujalàkulàkùãü  BiCaup_28c
vidyàü pramàdaguõitàm iva cintayàmi  BiCaup_1d
vi÷ràntakarõayugalaü parihàsahetor  BiCaup_40b
vyàlolakuntalakalàpavatãü smaràmi  BiCaup_7d
vrãóàvinamravadanàm uùasi smaràmi  BiCaup_5d
vrãóotsukàü nipatitàm iva ceùñamànàm  BiCaup_47b
÷akto bhaved yadi saiva naro na cànyaş  BiCaup_38d
÷aknoty adçùñasadç÷ãü ca parigrahaü me  BiCaup_38b
÷àntyai vij¤àpayàmi bhavatas tvaritaü lunãdhvam  BiCaup_49d
÷àpaü gatà surapater atha kçùõalakùmã  BiCaup_39b
÷çïgàranàñakarasottamapànapàtrãü  BiCaup_24c
÷çïgàravàriruhakànanaràjahaüsãü  BiCaup_22c
÷çïgàrasàrakamalàkararàjahaüsãü  BiCaup_5c
÷rutvaiva bhãruhariõãm iva ca¤calàkùãm  BiCaup_28b
saïge punar bahutaràm amçtàbhiùekàm  BiCaup_30b
sarvàïgasundaratayà prathamaikarekhàm  BiCaup_24b
saükãrõavarõaruciraü vacanaü priyàyàş  BiCaup_21d
saücintayàmi guru÷okavinamravaktràm  BiCaup_28d
saücintayàmi yuvatãü mama jãvità÷àm  BiCaup_33b
saüpãóya bàşuyugalena pibàmi vaktram  BiCaup_3c
saüpårõayauvanamadàlasaghårõanetrãm  BiCaup_45b
sà nirmità yuvatiratnadidçkùayàñ và  BiCaup_39d
sàrdhaü sakhãbhir api vàsagçhaü sukànte  BiCaup_37b
sindårasaülulitamauktikadantakàntim  BiCaup_16c
suptotthitàü ni÷i divà na hi vismaràmi  BiCaup_46d
suptotthitàü madanavihvalalàlasàïgãü  BiCaup_1c
soóhuü na ÷akyateti praticintayàmi  BiCaup_26d
saundaryanirjitarati dvijaràjakànti  BiCaup_29c
snehaikapàtraghañitàm avanã÷aputrãm  BiCaup_26b
srastasrajaü smirasudhàmadhuràdharauùñhãm  BiCaup_17b
srastàïgayaùñigalitàü÷ukake÷apà÷àm  BiCaup_22b
svargàd aho nipatitàm iva cintayàmi  BiCaup_45d
svargàpavarganararàjasukhaü tyajàmi  BiCaup_23d
haühojanà mama viyogahutà÷ano 'yaü  BiCaup_26c
