Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
abhivçùya marutsasyaü  Ragh_10.49c
abhiùaïgajaóaü vijaj¤ivàn  Ragh_8.75c
abhiùicyàbhiùekàrhau  Ragh_15.89c
abhiùekajalàplutà  Ragh_17.37b
abhiùekàya ÷ilpibhiş  Ragh_17.9b
abhiùektuü dvijàtayaş  Ragh_17.13d
abhåc ca namraş praõipàta÷ikùayà  Ragh_3.25c
abhåd anàsàdyam adhijyadhanvanaş  Ragh_3.6d
abhåyaşsaünivçttaye  Ragh_10.28d
abhyapadyata sa vàsitàsakhaş  Ragh_19.11c
abhyabhàvi bharatàgrajas tayà  Ragh_11.16c
abhyabhåyata vàhànàü  Ragh_4.56a
abhyarõam àgaskçtam aspç÷adbhiş  Ragh_2.32b
abhyarthyo 'smi na vajriõà  Ragh_10.41b
abhyavarùann upàyanaiş  Ragh_15.58d
abhyasyatãva vratam àsidhàram  Ragh_13.67d
abhyàsanigçhãtena  Ragh_10.24a
abhyàhataü kãrtiviparyayeõa  Ragh_14.33b
abhyucchritaü na mamçùe na tu dãrgham àyuş  Ragh_9.62d
abhyucchritàş karmabhir apy avandhyaiş  Ragh_16.2b
abhyutthitàgnipi÷unair  Ragh_1.53a
abhyutsahe saüprati noparoddhum  Ragh_5.22c
amadayat sahakàralatà manaş  Ragh_9.29c
amadayan madghugandhasanàthayà  Ragh_9.42a
amanyataikam àtmànam  Ragh_17.4c
amartyabhàve 'pi kayo÷cid àsãd  Ragh_7.53c
amarùaõaş ÷oõitakàïkùayà kiü  Ragh_14.41c
amaüsta kaõñhàrpitabàhupà÷àü  Ragh_6.84c
amàtyaputraiş savayobhir anvitaş  Ragh_3.28b
amàtyavargaş kulatantum ekam  Ragh_18.36b
amã janasthànam apoóhavighnaü  Ragh_13.22a
amã jalàpåritasåtramàrgà  Ragh_16.65c
amã ÷irãùaprasavàvataüsàş  Ragh_16.61a
amã ÷irobhis timayaş sarandhrair  Ragh_13.10c
amã samàdhyàsitavedimadhyàş  Ragh_13.52b
amunà kusumà÷ruvarùiõà  Ragh_8.63c
amuü turaügaü pratimoktum arhasi  Ragh_3.46b
amuü puraş pa÷yasi devadàruü  Ragh_2.36a
amuü yugàntocitayogandiraş  Ragh_13.6c
amuü sahàsaprahitekùaõàni  Ragh_13.42a
amåni pampàsalilàni dçùñiş  Ragh_13.30d
amår vimànàntaralambinãnàü  Ragh_13.33a
amçtaü và viùam ã÷varecchayà  Ragh_8.46d
amçtàkhyàbhir ammayaş  Ragh_10.59d
ameyo mitalokas tvam  Ragh_10.18a
amoghaü saüdadhe càsmai  Ragh_12.97a
amoghàş pratigçhõantàv  Ragh_1.44c
amocyam a÷vaü yadi manyase prabho  Ragh_3.65a
ambugarbho hi jãmåta÷  Ragh_17.60c
ambhovihàràkulito 'pi veùaş  Ragh_16.67d
ayatnapañavàsatàm  Ragh_4.55d
ayatnavàlagvyajanãbabhåvur  Ragh_16.33c
ayam api ca giraü nas tvatprabodhaprayuktàm  Ragh_5.74c
ayaskànta ivàyasam  Ragh_17.63d
ayaü sujàto 'nugiraü tamàlaş  Ragh_13.49a
ayaş÷aïkucitàü rakùaş  Ragh_12.95a
ayoghanenàya ivàbhitaptaü  Ragh_14.33c
ayodhyàdevatà÷ cainaü  Ragh_17.36a
ayodhyà sçùñalokeva  Ragh_15.60c
aramata madhuràõi tatra ÷çõvan  Ragh_9.71c
aràtiü bahv amanyata  Ragh_12.89d
aràvaõam aràmaü và  Ragh_12.83c
ariùña÷ayyàü parito visàriõà  Ragh_3.15a
arãõàü tasya durlabhaş  Ragh_17.70b
aruõaràganiùedhibhir aü÷ukaiş  Ragh_9.43a
aruütudam ivàlànam  Ragh_1.71c
arghyam arghyam iti vàdinaü nçpaü  Ragh_11.69a
arghyànupadam à÷iùaş  Ragh_1.44d
arcità tasya kausalyà  Ragh_10.56a
arcitàm à tapovanàt  Ragh_1.91b
arthakàmasahitaü saparyayà  Ragh_11.35c
artham arthavidàü varaş  Ragh_17.3b
arthipratyarthinàü svayam  Ragh_17.39b
arthyàm arthapatir vàcam  Ragh_1.59c
ardhacandramukhair bàõai÷  Ragh_12.96c
ardhàcità satvaram utthitàyàş  Ragh_7.10a
ardhàsanaü gotrabhido 'dhitaùñhau  Ragh_6.73d
arpitaprakçtikàntibhir mukhaiş  Ragh_19.10d
arpitastimitadãpadçùñayo  Ragh_19.42a
