Nilakantha Diksita:
Kalividambana

Based on :
PIFI 36 , Pondichery 1967
5 NÅl 1 (Trivandrum ed.);
5 misc 34 NSP ed.;
Vani Vilas Press, Srirangaæ;
ed. Sankararama Sastri, Balamanorama Series 35, Madras 1942;
ed. Kalyanasundara Sastri, Sastra Sanjeevinee Press Madras 1920;
ed. Vaidika Vardhini Press Kumbakonam
L = lithograph Bod. 5.D.8, ed. by Keralavarma, Trivandrum 1886


Input by Somadeva Vasudeva


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





agatitvam atiÓraddhÃ  NKv_9a
darbhÃ rudrÃk«amÃlikÃ  NKv_86b
dÃtÃro 'rthibhir arthyante  NKv_79a
dÃt­bhi÷ punar arthinas  NKv_79b
dÃyÃdÃ÷ saæprarohanti  NKv_29c
dÃyinÅti guïadvayam  NKv_85d
dÃridryaæ paramau«adham  NKv_54d
dÃridryaæ rogasaæbhavas  NKv_49b
dÃridrye tu na kiæ cana  NKv_53d
dÅpayaty udare vahniæ  NKv_54c
durjanÃnÃm ato nyÃyyaæ  NKv_94c
dÆrÃd eva visarjanam  NKv_94d
d­«ÂÃntas tu purohitas  NKv_4b
d­«Âiæ pÃdau visaæsthulau  NKv_55b
d­«Âe praj¤Ã vinaÓyati  NKv_50b
devatÃnÃm [[amÅ traya÷]]  NKv_22b
devatÃbuddhir Ãtmani  NKv_60b
deÓadharmas tv anÃcÃre  NKv_88c
deÓo hy aratnimÃtre 'pi  NKv_20c
dainyaæ rÃjyÃd api jyÃyo  NKv_57c
daivaj¤atvaæ mÃntrikatÃ  NKv_31a
daivaj¤ÃnÃm amÅ trayas  NKv_22d
daivaj¤ÃnÃm upÃlambho  NKv_19c
daivaj¤Ã mÃntrikÃ api  NKv_29d
daivaj¤o vijayÅ bhavet  NKv_15d
dviguïaæ triguïaæ caiva  NKv_71c
dvitriyogas tu durlabhas  NKv_31d
dhanapÃla÷ piÓÃco hi  NKv_78a
dhanabhÃro hi lokasya  NKv_70a
dhanayogo mahÃn ayam  NKv_32b
dhanalubdha÷ piÓÃcas tu  NKv_78c
dhaninÃm adhikaæ dhanam  NKv_18b
na kasmai cana ditsate  NKv_78d
na kÃraïam apek«ante  NKv_34a
na kÃlaniyama÷ kaÓ cid  NKv_51c
na dÃyÃdÃ na pÃrthivÃs  NKv_57b
na paÓyÃmo mukhe daæ«ÂrÃæ  NKv_52a
na pÃÓaæ vÃ karÃ¤jale  NKv_52b
na preryante ca kena cit  NKv_73b
na bibheti na jihreti  NKv_63c
na bhetavyaæ na boddhavyaæ  NKv_1a
na v­thÃ kiæ cid Ãcaret  NKv_89d
na ÓrÃvyaæ vÃdino vaca÷  NKv_1b
na stauti cet svayaæ ca svaæ  NKv_7c
na svato guïadarÓinas  NKv_35b
na svÃrthaæ kimcid icchanti  NKv_73a
nÃtidhairyaæ pradÃtavyaæ  NKv_24a
nÃtibhÅtiÓ ca rogiïi  NKv_24b
nÃsti daivaj¤avarjitas  NKv_20d
nÃsya corÃ na piÓunÃ  NKv_57a
nityaæ laÓunagandhavat  NKv_65d
nitya÷ kÃryaviparyaye  NKv_19d
nidÃnaæ roganÃmÃni  NKv_26a
nirdhanÃnÃæ dhanÃvÃptiæ  NKv_18a
niÓcityaivaæ svayam api  NKv_80c
nisargaÓatrava÷ s­«ÂÃ  NKv_22c
nÆtanÃyÃ÷ Óriya÷ phalam  NKv_60d
naimittikÃ÷ svapnad­Óo  NKv_22a
nairÃÓyÃd eva nÃntime  NKv_24d
naiÓcintyÃn nÃdime dÃnaæ  NKv_24c
pak«apÃto 'dhiropyatÃm  NKv_3d
pa¤ca prÃïÃ ime 'pare  NKv_41d
pa¤caite jayahetavas  NKv_2d
paï¬ito yadi tatraiva  NKv_3c
patipak«yÃæs tu bahvÃÓÃn  NKv_47c
pathyaæ tu kaÂhinaæ vadet  NKv_25b
parachidre«u h­dayaæ  NKv_98a
paramarmÃsu vÃcaæ ca  NKv_98c
paravÃrtÃsu ca Óravas  NKv_98b
parÃrthe«u pravartante  NKv_73c
paryavasyati mÃntrike  NKv_13d
paÓyanto 'pi na jÃnate  NKv_61b
pÃÂhanair granthanirmÃïai÷  NKv_6a
piÓunatvaæ daridratÃ  NKv_97b
piÓunair eva dhÃryate  NKv_70b
putra ity eva pitari  NKv_15a
putradÃramukhe«v api  NKv_66d
putrÃïÃm upalÃlanais  NKv_46b
p­cchatÃæ siddham uttaram  NKv_88d
prakÃÓayaty ahaækÃraæ  NKv_58a
prati«ÂhÃ tÃvad Ãpyate  NKv_6b
prati«Âheta dine dine  NKv_81b
pradÅyate vidu«y ekaæ  NKv_82a
prabuddhe 'smin palÃyanam  NKv_44d
prabudhyamÃne sÃralyaæ  NKv_44c
prayogaÓ cyutasaæk­tau  NKv_88b
pralapanto 'nyathÃnyathÃ  NKv_39b
pravartanÃrtham Ãrambhe  NKv_28a
pravartayati taskarÃn  NKv_58b
praÓaæsanto narÃbhÃsÃn  NKv_39a
prasiddhaÓ ca m­to gurus  NKv_87b
prasthÃsyamÃna÷ praviÓet  NKv_81a
prÃïinÃm kalinÃ s­«ÂÃ÷  NKv_41c
prÃmÃïyabuddhi÷ stotre«u  NKv_60a
protsÃhayati dÃyÃdÃæl  NKv_58c
protsÃhayati yÃc¤ÃyÃæ  NKv_55c
bahumÃnÃrtham ante ca  NKv_28c
bÃlonmattapiÓÃcavat  NKv_62d
bibhartu bh­tyÃn dhaniko  NKv_69a
bruvÃïÃ÷ sarvathÃ grÃhyÃ  NKv_18c
bhak«ayanty Ãkhuvad g­he  NKv_42d
bhaginÅ pativarjitÃ  NKv_48b
bhÃryÃ jye«ÂhÃ ÓiÓu÷ ÓyÃla÷  NKv_45a
bhÃrye dve putraÓÃlinyau  NKv_48a
bhÃrye dve bahava÷ putrÃ  NKv_49a
bhik«Ãkabalam ekaikaæ  NKv_77c
bhi«ajÃæ bhÃgyahetavas  NKv_23d
bhuÇkte lubdha÷ kathaæ cana  NKv_80d
bhÆ«aïair vÃsanai÷ pÃtrai÷  NKv_46a
bhai«ajyaæ cÃÂukauÓalam  NKv_31b
bhai«ajyaæ tu yathÃkÃmaæ  NKv_25a
bhai«ajye«u ca laÇghanam  NKv_75b
madhyasthaÓ ced apaï¬itas  NKv_3b
madhye kiæ cid dhanavyayas  NKv_30b
madhye tv au«adhahetave  NKv_28b
madhye madhye 'k«imÅlanam  NKv_90b
mantrabhraæÓe saæpradÃya÷  NKv_88a
mÃtulasya balaæ mÃtÃ  NKv_43a
mÃtulÃ dÃrabÃndhavÃs  NKv_42b
mÃntrikÃs tu bhavi«yÃmo  NKv_10c
mÃntrikair Ãpyate yaÓas  NKv_11b
milanti yadi catvÃri  NKv_97c
mÆrkhasaæjÅvanÃni «aÂ  NKv_86d
mÆrkhasya jagatÅtale  NKv_7b
mÆrkhÃcÃryasya bhÃgyajÃs  NKv_9d
m­tÃ÷ prak«yanti kaæ punas  NKv_16d
m­tyau m­tyu¤jayadhyÃnaæ  NKv_53c
maunam ekÃsikÃ ceti  NKv_86c
mriyamÃïe«u jantu«u  NKv_27b
yatante 'parathÃ svatas  NKv_70d
yatra dharmo 'rthasÃdhanam  NKv_100b
yatra bhÃryÃgiro vedÃ  NKv_100a
yatra svapratibhÃ mÃnaæ  NKv_100c
yatrÃsÅd asti vÃ lak«mÅs  NKv_67a
yat sandarbhe yad ullekhe  NKv_40a
yathÃ jÃnanti bahavo  NKv_89a
yathÃ vak«yanti dÃtari  NKv_89b
yadi tattvaæ prabudhyate  NKv_57d
yadi na kvÃpi vidyÃyÃæ  NKv_10a
yad vyaÇgye nibh­taæ manas  NKv_40b
yasya svecchÃvaÓaævadau  NKv_93b
yÃmamÃtraæ surÃmadas  NKv_64b
yÃvac cÃpalam Ãv­tam  NKv_83d
yÃvac chyÃlasya bÃlatÃ  NKv_44b
yÃvat syÃd dra«Â­melanam  NKv_92b
yÃvad aj¤Ãnato maunam  NKv_13a
yÃvad udvijate 'dhanas  NKv_76b
yÃvad dra«ÂÃ na vidyate  NKv_92d
yÃvad yÃcakasÃdharmyaæ  NKv_69c
ye hi paÓyanti meruvat  NKv_77d
yogino yatayo 'pi vÃ  NKv_10d
yogo dÃridryakÃrakas  NKv_32d
yogo 'yaæ g­hamedhinÃm  NKv_48d
rak«aka÷ saæbhaved iti  NKv_80b
racitaæ vidu«Ãæ prÅtyai  NKv_102c
rÃjakarïe japa÷ sadya÷  NKv_72c
rÃjÃj¤eva daridratÃ  NKv_55d
rÃjÃsthÃnÃnumodanam  NKv_102d
rogatattve«u Óanakair  NKv_27c
rogasyopakrame sÃntvaæ  NKv_30a
rogiïa÷ sadane striyas  NKv_26d
rocate lobhaÓÃlinÃm  NKv_75d
lak«mÅmadas tu mÆrkhÃïÃm  NKv_64c
lak«mÅmadas tu sarvÃÇge  NKv_66c
labdhvÃpi kÃmadhenuæ te  NKv_38c
lÃk«mÅ÷ kiæ cid upasthitÃ  NKv_58d
lÃÇgale viniyu¤jate  NKv_38d
lÃlyamÃnÃs tatas tarÃm  NKv_94b
lipsamÃne«u vaidye«u  NKv_29a
lokair jyauti«ikÃ janÃs  NKv_18d
lobho hetur dhanaæ sÃdhyaæ  NKv_4a
vaktavyaæ kiæ cid ity uktaæ  NKv_84c
vaktavyaæ daivacintakais  NKv_17d
vaktavyaæ bhÆbhujÃæ phalam  NKv_14b
varÃÂÃ÷ pa¤ca«Ã kare  NKv_68d
varïayanti narÃbhÃsÃn  NKv_38a
vastutas tulasÅ parÃ  NKv_84d
vÃcyatÃæ samayo 'tÅta÷  NKv_8a
vÃcyaæ mauhÆrtikair janais  NKv_16b
vÃïÅæ labdhvÃpi ye janÃs  NKv_38b
vÃrÃn ke cid grahÃn ke cit  NKv_21a
vÃsa÷ puïye«u tÅrthe«u  NKv_87a
vikÃras tu tadÃrabdho  NKv_65c
vikrÅyate katipayair  NKv_37c
vikhyÃpyÃvÃpyate dhanam  NKv_11d
vicitrÃn ullikhed vighnÃæs  NKv_81c
vicetavyÃ vasuædharÃ  NKv_20b
vi¬ambanÃni dhanikÃ÷  NKv_61c
vi¬ambayanti ye nityaæ  NKv_59a
vidagdhÃn dhanino janÃs  NKv_59b
virÃmo vairakÃraïam  NKv_95d
vilambe karmabÃhulyaæ  NKv_11c
viÓvasaæmohinÅ vitta-  NKv_85c
vi«eïa pucchalagnena  NKv_99a
vismÃrayanti jÃtiæ svÃæ  NKv_68c
vism­taæ vÃhaÂenedaæ  NKv_85a
v­thÃnyair viniyujyate  NKv_37d
v­Ócika÷ prÃïinÃm iva  NKv_99b
vairÃgyaæ paramaæ vahet  NKv_83b
vyutpadyante cikitsakÃs  NKv_27d
Óaktiæ karoti saæcÃre  NKv_54a
ÓaÂhÃ÷ santaÓ ca tulyavat  NKv_73d
Óatasya lÃbhe tÃmbÆlaæ  NKv_19a
Óatrau sÃntvaæ pratÅkÃra÷  NKv_53a
Óanair anÃdaras ÓÃntau  NKv_30c
ÓabdÃkhyam aparaæ brahma  NKv_37a
Óaækaro yadi varïyate  NKv_40d
ÓÃlÅnÃæ mu«ÂikiækarÃs  NKv_33d
ÓÅto«ïe mar«ayaty api  NKv_54b
Óu«kÃhÃraæ mitÃÓanam  NKv_47b
Óu«kopavÃso dharme«u  NKv_75a
Ó­ïvanta eva p­cchanti  NKv_61a
ÓramÃnurÆpaæ piÓune  NKv_71a
ÓriyÃ kimcidupek«itÃs  NKv_59d
ÓrÅr mÃsam ardhamÃsaæ vÃ  NKv_65a
Órotriye tu na kimcana  NKv_82d
ÓvaÓuras tu pravÃsÅti  NKv_45c
ÓvaÓurasya balaæ bhÃryÃ  NKv_43c
ÓvaÓurau ÓyÃla ity api  NKv_41b
ÓvaÓrÆ÷ svÃtantryavartinÅ  NKv_45b
sak­d Ãgatya gacchantÅ  NKv_46c
satataæ Óucive«aÓ cety  NKv_91c
satyaæ vaidu«yam ity e«a  NKv_32c
sadÃ japapaÂo haste  NKv_90a
sadyaspratyayahetavas  NKv_90d
sadyo 'narthÃya dehinÃm  NKv_74d
sabhÃsu vijigÅ«ubhi÷  NKv_1d
samÃje devatÃrcanam  NKv_91b
samÃdher api taj jyÃyÃ÷  NKv_40c
sarvakarmavinÃÓanas  NKv_72d
sarvathÃ kramate matis  NKv_10b
sarvam apy upadek«yanti  NKv_26c
sarvam ÃtithyaÓÃstrÃrthaæ  NKv_77a
sarvaroge«u bhe«ajam  NKv_53b
sarvaæ kÃladvayÃvadhi  NKv_17b
sarvaæ koÂidvayopetaæ  NKv_17a
sarvaæ brahmeti vÃdaÓ ca  NKv_90c
sarvaæ mÃrjanti kavaya÷  NKv_33c
sarvaæ vyÃmiÓram iva ca  NKv_17c
sarva÷ kÃlo 'pi dÃruïas  NKv_99d
sahasrasya tu bhojanam  NKv_19b
sahasraæ dÃmbhike loke  NKv_82c
saædarbheïa pari«k­tam  NKv_37b
saæpÆrïadÃnaæ prak­tir  NKv_95c
sÃk«Ãt kurvanti lobhinas  NKv_77b
sÃtmyÃsÃtmye cikitsitam  NKv_26b
sukhaæ sukhi«u du÷khe 'pi  NKv_12a
sevanÅyaiÓ ca sevyate  NKv_63b
stutaæ stuvanti kavayo  NKv_35a
stotavyai÷ stÆyante nityaæ  NKv_63a
stotÃra÷ ke bhavi«yanti  NKv_7a
stotrÃïÅty eva manvate  NKv_61d
snÃto vaidyaæ na paÓyati  NKv_30d
spa«Âam agre bhavi«yati  NKv_8b
sm­te sÅdanti gÃtrÃïi  NKv_50a
svayam evÃtither balam  NKv_43d
svasthair asÃdhyarogaiÓ ca  NKv_23a
svasminn asati nÃrthasya  NKv_80a
svÃnarthÃyaiva kevalam  NKv_96d
svairaæ hasanti+pÃrÓvasthÃ  NKv_62c
hÃso rÃj¤a÷ stavaÓ ceti  NKv_2c
h­di tÃmbÆlajo madas  NKv_66b
