Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



agurusurabhidhåpàmoditaü ke÷apà÷aü  KalRs_5.12a
dantàgrabhinnam avakçùya nirãkùate ca  KalRs_4.14d
dantàvabhàsavi÷adasmitacandrakàntiü  KalRs_3.18c
dinakaraparitàpakùãõatoyàþ samantàd  KalRs_1.22c
dinàntaramyo 'bhyupa÷àntamanmatho  KalRs_1.1c
divasakaramayåkhair bàdhyamànaü prabhàte  KalRs_3.25a
di÷atu tava hitàni pràya÷o và¤chitàni  KalRs_2.29d
di÷i di÷i paridagdhà bhåmayaþ pàvakena  KalRs_1.24d
dçùñvà janaþ kùitibhçto mudameti sarvaþ  KalRs_6.27d
dçùñvàdhvagaþ kusumitànsahakàravçkùàn  KalRs_6.28d
dçùñvà priye sahçdayasya bhavenna kasya  KalRs_6.20c
drumàþ sapuùpàþ salilaü sapadmaü  KalRs_6.2a
dvirephamàlàvilasaddhanurguõaþ  KalRs_6.1b
dhatte janaþ kàmamadàlasàïgaþ  KalRs_6.15d
dhunvanti pakùapavanairna nabho balàkàþ  KalRs_3.12c
naktaü tathecchati punaþ kiraõaü sudhàü÷oþ  KalRs_6.11b
nakhapadacitabhàgàn vãkùamàõàþ stanàntàn  KalRs_5.15a
na candanaü candramarãci÷ãtalaü  KalRs_5.3a
na dantinaþ kesariõo 'pi bibhyati  KalRs_1.15d
nadyo ghanà mattagajà vanàntàþ  KalRs_2.19c
nadyo vi÷àlapulinàntanitambabimbà  KalRs_3.3c
na nåpurairhaüsarutaü bhajadbhiþ  KalRs_4.4c
na bàhuyugmeùu vilàsinãnàü  KalRs_4.3a
na bhavati kimidànãü yoùitàü manmathàya  KalRs_6.33d
na bhoginaü ghnanti samãpavartinaü  KalRs_1.16c
navakurabakapårõaþ ke÷apà÷o manoj¤aþ  KalRs_6.33b
navajalakaõasaïgàcchãtatàmàdadhànaþ  KalRs_2.27a
navajalakaõasekàdudgatàü romaràjãü  KalRs_2.26c
navapravàlodgamasasyaramyaþ  KalRs_4.1a
navasalilaniùekacchinnatàpo vanàntaþ  KalRs_2.24d
na vàyavaþ sàndratuùàra÷ãtalà  KalRs_5.3c
na ÷akyate draùñumapi pravàsibhiþ  KalRs_1.10c
naùñaü dhanurbalabhido jaladodareùu  KalRs_3.12a
na hanti maõóåkakulaü tçùàkulaþ  KalRs_1.20d
na hantyadåre 'pi gajànmçge÷varo  KalRs_1.14c
na harmyapçùñhaü ÷aradindunirmalam  KalRs_5.3b
nànàmanoj¤akusumadrumabhåùitàn tàn  KalRs_6.27a
nàryaþ prahçùñamanaso 'dya vibhåùayanti  KalRs_3.20d
nàryà haranti hçdayaü prasabhaü naràõàm  KalRs_6.26d
nàlaükriyante stanamaõóalàni  KalRs_4.2d
nitambade÷à÷ca sahemamekhalàþ  KalRs_1.6c
nitambabimbàni vilàsinãnàm  KalRs_6.5b
nitambabimbeùu navaü dukålaü  KalRs_4.3c
nitambabimbaiþ sadukålamekhalaiþ  KalRs_1.4a
nitambinãnàü caraõaiþ sanåpuraiþ  KalRs_1.5b
nitambinãnàü jaghaneùu kà¤cyaþ  KalRs_6.7d
nitàntanãlotpalapattrakàntibhiþ  KalRs_2.2a
nitàntalàkùàrasaràgara¤jitair  KalRs_1.5a
nidàghakàlo 'yamupàgataþ priye  KalRs_1.1d
nidràü prayàti mçdusåryakaràbhitaptà  KalRs_4.15d
nipàtayantyaþ paritastañadrumàn  KalRs_2.7a
nirastamàlyàbharaõànulepanàþ  KalRs_2.12c
nirãkùya bhartén suratàbhilàùiõaþ  KalRs_5.6c
nirãkùya bhinnà¤janasaünibhaü nabhaþ  KalRs_1.11d
nirãkùyamàõà navayauvanànàm  KalRs_6.18d
niruddhavàtàyanamandirodaraü  KalRs_5.2a
nirmàlyadàma paribhuktamanoj¤agandhaü  KalRs_4.16a
nive÷ayanti pramadàþ sayauvanàþ  KalRs_1.7d
nive÷itàntaþ kusumaiþ ÷iroruhair  KalRs_5.8c
ni÷àkùaye yàti hriyeva pàõóutàm  KalRs_1.9d
ni÷àsu dãrghàsvabhiràmità÷ciram  KalRs_5.7b
ni÷àsu hçùñà saha kàmibhiþ striyaþ  KalRs_5.10c
ni÷àþ ÷a÷àïkakùatanãlaràjayaþ  KalRs_1.2a
ni÷i sulalitagãte harmyapçùñhe sukhena  KalRs_1.28d
niùiktabimbàdharacàrupallavàþ  KalRs_2.12b
niþ÷vàsavàtaiþ surabhãkçtàïgaþ  KalRs_4.12b
nãlotpalàni vividhàni nive÷ayanti  KalRs_3.19d
nãlotpalairmadakalàni vilocanàni  KalRs_3.17c
nãhàrapàtavigamàtsubhago vasante  KalRs_6.24d
nçtyaprayogarahità¤÷ikhino vihàya  KalRs_3.13a
netre nimãlayati roditi yàti ÷okaü  KalRs_6.28a
netreùu lolo madiràlaseùu  KalRs_6.12a
netrotsavo hçdayahàrimarãcimàlaþ  KalRs_3.9a
no bhåùayanti pramadà nitambàn  KalRs_4.4b
nyånàü mana÷calayati prasabhaü nabhasvàn  KalRs_3.10d
pañutaradavadàhocchuùkasasya prarohàþ  KalRs_1.22a
patanti måóhàþ ÷ikhinàü prançtyatàü  KalRs_2.14c
pattràntalagnatuhinàmbuvidhåyamànaþ  KalRs_3.15d
patyurviyogaviùadagdha÷arakùatànàü  KalRs_3.9c
pathikajana idànãü roditi bhràntacittaþ  KalRs_3.26d
pathikajanavadhånàü tadviyogàkulànàm  KalRs_2.23d
pade pade haüsarutànukàribhir  KalRs_1.5c
payodharà÷candanapaïkacarcitàs  KalRs_1.6a
payodharàstoyabharàvalambinaþ  KalRs_2.20b
payodharair bhãmagabhãranisvanais  KalRs_2.11a
payodharaiþ kuïkumaràgapi¤jaraiþ  KalRs_5.9a
parabhçtakalagãtair hlàdibhiþ sadvacàüsi  KalRs_6.31a
parasparàïgavyatiùaïga÷àyã  KalRs_4.12c
parasparotpãóanasaühatairgajaiþ  KalRs_1.19c
pariõatadala÷àkhànutpatanpràü÷uvçkùàn  KalRs_1.26c
pariõatabahu÷àlivyàkulagràmasãmà  KalRs_4.19b
pariùvajante ÷ayane nirantaram  KalRs_2.11d
pariharati nabhasvàn proùitànàü manàüsi  KalRs_2.27d
paruùapavanavegotkùiptasaü÷uùkaparõàþ  KalRs_1.22b
paryantasaüsthitamçgãnayanotpalàni  KalRs_3.14c
paryantasaüsthitasitàõóajapaïktihàràþ  KalRs_3.3b
paryàkulaü kulagçhe 'pi kçtaü vadhånàm  KalRs_6.23d
paryutsukaü mànasamaïganànàm  KalRs_6.17d
pavanacalita÷àkhaiþ ÷àkhibhirnçtyatãva  KalRs_2.24b
pa÷yanti nonnatamukhà gaganaü mayåràþ  KalRs_3.12d
pàkaü vrajantã himajàta÷ãtair  KalRs_4.11a
pàdàmbujàni kalanåpura÷ekharai÷ca  KalRs_3.20c
pàdàmbujàny ambujakàntibhà¤ji  KalRs_4.4d
pibanti madyaü madanãyamuttamam  KalRs_5.10d
pãnastanoraþsthalabhàga÷obhàm  KalRs_4.7a
pãnonnatastanabharànatagàtrayaùñyaþ  KalRs_4.16c
puùpaü ca phullaü navamallikàyàþ  KalRs_6.6c
puùpàvataüsasurabhãkçtake÷apà÷àþ  KalRs_2.22b
puùpàsavàmodasugandhivaktro  KalRs_4.12a
puùpàsavàmoditavaktrapaïkajàþ  KalRs_5.5b
puùpodgamapracayakomalapallavàgraþ  KalRs_3.6b
puüskokila÷ cåtarasàsavena  KalRs_6.16a
puüskokilasya virutaü pavanaþ sugandhiþ  KalRs_6.35b
puüskokilaiþ kalavacobhirupàttaharùaiþ  KalRs_6.23a
pçthujaghanabharàrtàþ kiücidànamramadhyàþ  KalRs_5.14a
prakàmakàmaü pramadàjanapriyaü  KalRs_5.1c
prakàmakàmair yuvabhiþ sunirdayaü  KalRs_5.7a
prakàmakàlàgurudhåpavàsitaü  KalRs_5.5c
prakurvate kasya mano na sotsukam  KalRs_1.6d
pracaõóasåryaþ spçhaõãyacandramàþ  KalRs_1.1a
pracaõóasåryàtapatàpità mahã  KalRs_1.10b
pracuraguóavikàraþ svàdu÷àlãkùuramyaþ  KalRs_5.16a
pratanusitadukålànyàyataiþ ÷roõibimbaiþ  KalRs_2.26b
pratidi÷atu ÷aradva÷cetasaþ prãtimagryàm  KalRs_3.28d
pradi÷atu himayuktaþ kàla eùaþ sukhaü vaþ  KalRs_4.19d
prapãóyamànàn adharàn avekùya  KalRs_4.6d
praphullacåtàïkuratãkùõasàyako  KalRs_6.1a
praphullanãlotpala÷obhitàni  KalRs_4.9a
praphullalodhraþ paripakva÷àliþ  KalRs_4.1b
prabalapavanavegodbhåtavegena tårõam  KalRs_1.24b
prabalamadanahetostyaktasaügãtaràgàþ  KalRs_3.23d
prabalasuratakelirjàtakandarpadarpaþ  KalRs_5.16b
prabodhayantãva manorathàni  KalRs_4.10d
prabhinnavaióåryanibhais tçõàïkuraiþ  KalRs_2.5a
prabhåta÷àliprasavai÷citàni  KalRs_4.8a
prayàcitàs toyabharàvalambinaþ  KalRs_2.3b
prayàti nimnàbhimukhaü navodakam  KalRs_2.13d
prayànti kàntiü pramadàjanànàm  KalRs_6.6d
prayànti kàle 'tra janasya sevyatàm  KalRs_5.2d
prayànti nadyastvaritaü payonidhim  KalRs_2.7d
prayànti mandaü bahudhàravarùiõo  KalRs_2.3c
prayànti ràgàdabhisàrikàþ striyaþ  KalRs_2.10d
prayànti saïgaü valayàïgadàni  KalRs_4.3b
prayàntyanaïgàturamànasànàü  KalRs_6.7c
praråóha÷àlãkùucayàvçtakùitiü  KalRs_5.1a
pravàsakhinnaü patimudvahantyaþ  KalRs_4.10b
pravçttançtyaü kulamadya barhiõàm  KalRs_2.6d
pravçttançtyaiþ ÷ikhibhiþ samàkulàþ  KalRs_2.16c
pravçddhatçùõopahatà jalàrthino  KalRs_1.15c
pravçddhavegaiþ salilair anirmalaiþ  KalRs_2.7b
prasannatoyàni su÷ãtalàni  KalRs_4.9c
prasarati tçõamadhye labdhavçddhiþ kùaõena  KalRs_1.25c
prahlàdakaþ ÷i÷irasãkaravàrivarùã  KalRs_3.9b
pràgeva ràgamalinàni manàüsi yånàm  KalRs_6.25d
pràptà ÷arannavavadhåriva råparamyà  KalRs_3.1d
priyaïgukàlãyakakuïkumàktaü  KalRs_6.14a
priyajanarahitànàü citasaütàpahetuþ  KalRs_5.16c
priyatamaparibhuktaü vãkùamàõà svadehaü  KalRs_5.11c
priyaü priyàyàþ prakaroti càñu  KalRs_6.16d
priyàmukhocchvàsavikampitaü madhu  KalRs_1.3b
priyàviyogànaladagdhamànasaiþ  KalRs_1.10d
priyàvihãnàþ ÷ikhinaþ plavaügàþ  KalRs_2.19d
priye priyaïguþ priyaviprayuktà  KalRs_4.11c
prãtiü saroruharajo 'ruõitàs tañinyaþ  KalRs_3.8d
protkaõñhayanti na mano bhuvi kasya yånaþ  KalRs_3.5d
protkaõñhayantyupavanàni manàüsi puüsàm  KalRs_3.14d
phaõàtapatrasya tale niùãdati  KalRs_1.18d
phaõã mayårasya tale niùãdati  KalRs_1.13d
bandhåkakàntimadhareùu manohareùu  KalRs_3.27c
bandhåkapuùparajasàruõità ca bhåmiþ  KalRs_3.5b
balàhakà÷cà÷ani÷abdamardalàþ  KalRs_2.4a
balàhakàþ ÷rotramanoharasvanàþ  KalRs_2.3d
bahuguõaramaõãyaþ kàminãcittahàrã  KalRs_2.29a
bahuguõaramaõãyo yoùitàü cittahàrã  KalRs_4.19a
bahutara iva jàtaþ ÷àlmalãnàü vaneùu  KalRs_1.26a
bàlàtapeùu vanità vadanàravindam  KalRs_4.14b
bàlàtimuktalatikàþ samavekùyamàõàþ  KalRs_6.19d
bhavatu tava vasantaþ ÷reùñhakàlaþ sukhàya  KalRs_6.37d
bhinnà¤janapracayakànti nabho manoj¤aü  KalRs_3.5a
bhujaügavad vakragatiprasarpitam  KalRs_2.13b
bhujeùu saïgaü valayàïgadàni  KalRs_6.7b
bhramati gavayayåthaþ sarvatastoyamiccha¤  KalRs_1.23c
bhramati pavanadhåtaþ sarvato 'gnirvanànte  KalRs_1.26d
bhramanti mandaü ÷ramakheditoravaþ  KalRs_5.7c
bhråkùepajihmàni ca vãkùitàni  KalRs_6.13c
bhråvibhramà÷ca ruciràs tanubhis taraügaiþ  KalRs_3.17d
