Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agurusurabhidhÆpÃmoditaæ keÓapÃÓaæ  KalRs_5.12a
ÃdhÆyamÃnÃ satataæ marudbhi÷  KalRs_4.11b
ÃpakvaÓÃlirucirÃnatagÃtraya«Âi÷  KalRs_3.1c
ÃpÆrayanti vanitÃ navamÃlatÅbhi÷  KalRs_3.19b
ÃmÆlato vidrumarÃgatÃmraæ  KalRs_6.18a
ÃmrÅ ma¤julama¤jarÅ varaÓara÷ satkiæÓukaæ yaddhanur  KalRs_6.38a
ÃyojitÃ÷ Óirasi bibhrati yo«ito 'dya  KalRs_2.21b
ÃlambihemarasanÃ÷ stanasaktahÃrÃ÷  KalRs_6.26a
Ãlipyate candanam aÇganÃbhir  KalRs_6.14c
ÃsÃdya tatpÅ¬anajÃtakheda÷  KalRs_4.7b
icchÃnukÆlaracitÃn avataæsakÃæÓca  KalRs_2.21d
i«ubhiriva sutÅk«ïairmÃnasaæ mÃninÅnÃæ  KalRs_6.29c
Å«attu«Ãrai÷ k­taÓÅtaharmya÷  KalRs_6.3a
ucchvÃsayantya÷ ÓlathabandhanÃni  KalRs_6.9a
utkaïÂhayatyatitarÃæ pavana÷ prabhÃte  KalRs_3.15c
utkaïÂhayanti sahasÃ h­dayaæ sarÃæsi  KalRs_3.11d
utkÆjitai÷ parabh­tasya madÃkulasya  KalRs_6.34c
utplutya bhekast­«itasya bhogina÷  KalRs_1.18c
utphullapaÇkajavanÃæ nalinÅæ vidhunvan  KalRs_3.10c
uddyotitÃnyupavanÃni manoharÃïi  KalRs_6.25b
uparinihitahÃraiÓ candanÃrdrai÷ stanÃntai÷  KalRs_6.32b
upahasati vasanta÷ kÃminÅnÃmidÃnÅm  KalRs_6.31d
u«asi vadanabimbairaæsasaæsaktakeÓai÷  KalRs_5.13c
u«asi ÓayanamanyÃ kÃminÅ cÃruÓobhÃm  KalRs_5.12d
kaÇkelipu«parucirÃ navamÃlatÅ ca  KalRs_3.18d
kadambasarjÃrjunaketakÅvanaæ  KalRs_2.17a
kanakakamalakÃntairÃnanai÷ pÃï¬ugaï¬air  KalRs_6.32a
kanakakamalakÃntaiÓ cÃrutÃmrÃdharo«Âhai÷  KalRs_5.13a
kandarpadarpaÓithilÅk­tagÃtraya«Âya÷  KalRs_6.26b
kandarpabÃïapatanavyathitaæ hi ceta÷  KalRs_6.20d
kapikulamupayÃti klÃntamadrer niku¤jam  KalRs_1.23b
kapoladeÓÃ vimalotpalaprabhÃ÷  KalRs_2.15c
kamalavanacitÃmbu÷ pÃÂalÃmodaramya÷  KalRs_1.28a
karakamalamanoj¤Ã÷ kÃntasaæsaktahastÃ  KalRs_3.23a
karakisalayakÃntiæ pallavairvidrumÃbhair  KalRs_6.31c
karoti lÃvaïyasasaæbhramÃïi  KalRs_6.10d
karïÃntare«u kakubhadrumama¤jarÅbhir  KalRs_2.21c
karïe«u ca pravarakÃ¤canakuï¬ale«u  KalRs_3.19c
karïe«u yogyaæ navakarïikÃraæ  KalRs_6.6a
kalÃpacakre«u navotpalÃÓayÃ  KalRs_2.14d
kalÃpacakre«u niveÓitÃnanam  KalRs_1.16d
kalÃpina÷ klÃntaÓarÅracetasa÷  KalRs_1.16b
kalpÃntaæ madanapriyo diÓatu va÷ pu«pÃgamo maÇgalam  KalRs_6.36d
kahlÃrapadmakumudÃni muhurvidhunvaæs  KalRs_3.15a
kÃcidvibhÆ«ayati darpaïasaktahastÃ  KalRs_4.14a
kÃ¤cÅguïai÷ kÃ¤canaratnacitrair  KalRs_4.4a
kÃdambasÃrasakulÃkulatÅradeÓÃ÷  KalRs_3.8b
kÃntÃmukhadyutiju«ÃmacirodgatÃnÃæ  KalRs_6.20a
kÃntÃviyogaparikheditacittav­ttir  KalRs_6.28c
kÃntÃæ ca gÃ¬hamupagÆhati ÓÅtalatvÃt  KalRs_6.11d
kÃmyaæ ca haæsavacanaæ maïinÆpure«u  KalRs_3.27b
kÃraï¬avÃnanavighaÂÂitavÅcimÃlÃ÷  KalRs_3.8a
kÃlÃgurupracaracandanacarcitÃÇgya÷  KalRs_2.22a
kÃÓÃæÓukÃ vikacapadmamanoj¤avaktrÃ  KalRs_3.1a
kÃÓair mahÅ ÓiÓiradÅdhitinÃ rajanyo  KalRs_3.2a
kiæ karïikÃrakusumairna k­taæ nu dagdham  KalRs_6.22b
kiæ kiæÓukai÷ Óukamukhacchavibhirna bhinnaæ  KalRs_6.22a
kundÃpÅ¬aviÓuddhadantanikara÷ protphullapadmÃnana÷  KalRs_6.36b
kundai÷ savibhramavadhÆhasitÃvadÃtair  KalRs_6.25a
kumudamapi gate 'staæ lÅyate candrabimbe  KalRs_3.25c
kumudarucirakÃnti÷ kÃminÅvonmadeyaæ  KalRs_3.28c
kurvanti kÃmaæ pavanÃvadhÆtÃ÷  KalRs_6.17c
kurvanti kÃmimanasÃæ sahasotsukatvaæ  KalRs_6.19c
kurvanti keÓaracanÃmaparÃstaruïya÷  KalRs_4.16d
kurvanti nÃrya÷ suratotsavÃya  KalRs_4.5d
kurvanti nÃryo 'pi vasantakÃle  KalRs_6.3c
kurvanti haæsavirutai÷ parito janasya  KalRs_3.8c
kurvantyaÓokÃ h­dayaæ saÓokaæ  KalRs_6.18c
kuvalayadalanÅlair unnatais toyanamrair  KalRs_2.23a
kusumabharanatÃnÃæ lÃsaka÷ pÃdapÃnÃm  KalRs_2.27b
kusumitasahakÃrai÷ karïikÃraiÓ ca ramya÷  KalRs_6.29b
kusumbharÃgÃruïitair dukÆlair  KalRs_6.5a
kÆjaddvirephÃpyayam ambujastha÷  KalRs_6.16c
kÆjadbhirunmadakalÃni vacÃæsi bh­Çgai÷  KalRs_6.23b
kÆrpÃsakaæ paridadhÃti nakhak«atÃÇgÅ  KalRs_4.17c
k­tanibi¬akucÃgrÃ patyurÃliÇganena  KalRs_5.11b
k­taæ sara÷ sÃndravimardakardamam  KalRs_1.19d
k­tÃparÃdhÃnapi yo«ita÷ priyÃn  KalRs_2.11c
k­tÃparÃdhÃnbahuÓo 'bhitarjitÃn  KalRs_5.6a
k­tÃvataæsai÷ kusumai÷ sugandhibhi÷  KalRs_2.18b
keÓÃnnitÃntaghananÅlaviku¤citÃgrÃn  KalRs_3.19a
kvacit prabhinnÃ¤janarÃÓisaænibhai÷  KalRs_2.2b
kvacitsagarbhapramadÃstanaprabhai÷  KalRs_2.2c
kvacitsthitakrau¤caninÃdarÃjitam  KalRs_5.1b
kvacidvicitraæ jalayantramandiram  KalRs_1.2b
kvaïitakanakakÃ¤cÅæ mattahaæsasvane«u  KalRs_3.26b
kvÃpi prayÃti subhagÃ ÓaradÃgamaÓrÅ÷  KalRs_3.27d
k«apÃvasÃne navayauvanÃ÷ striya÷  KalRs_5.7d
khedaæ gatÃ÷ praÓithilÅk­tagÃtraya«Âya÷  KalRs_4.18b
gajagavayam­gendrÃ vahnisaætaptadehÃ÷  KalRs_1.27a
gaï¬e«u pÃï¬u÷ kaÂhina÷ stane«u  KalRs_6.12b
gabhastibhir bhÃnumato 'nutÃpitÃ÷  KalRs_1.15b
galitakusumamÃlaæ ku¤citÃgraæ vahantÅ  KalRs_5.12b
gÃtrÃïi kandarpasamÃkulÃni  KalRs_6.9b
gÃtrÃïi kÃlÅyakacarcitÃni  KalRs_4.5a
gurutarakucayugmaæ Óroïibimbaæ tathaiva  KalRs_6.33c
gurÆïi vÃsÃæsi vihÃya tÆrïaæ  KalRs_6.15a
gurÆïi vÃsÃæsyabalÃ÷ sayauvanÃ÷  KalRs_5.2c
g­hÅtatÃmbÆlavilepanasraja÷  KalRs_5.5a
glapayati m­gavargaæ prÃntalagno davÃgni÷  KalRs_1.25d
ghanÃgama÷ kÃmijanapriya÷ priye  KalRs_2.1d
ghanÃndhakÃrÅk­taÓarvarÅ«vapi  KalRs_2.10b
ghrÃïaæ kareïa viruïaddhi virauti coccai÷  KalRs_6.28b
cakÃra kÃma÷ pramadÃjanÃnÃm  KalRs_6.13d
ca¤canmanoj¤aÓapharÅrasanÃkalÃpÃ÷  KalRs_3.3a
candro dahatyatitarÃæ tanumaÇganÃnÃm  KalRs_3.9d
cale«u nÅle«valake«vaÓokam  KalRs_6.6b
citÃni nÅlair hariïÅmukhak«atai÷  KalRs_2.8b
cittaæ munerapi haranti niv­ttarÃgaæ  KalRs_6.25c
cittaæ vidÃrayati kasya na kovidÃra÷  KalRs_3.6d
cÆtadrumÃïÃæ kusumÃnvitÃnÃæ  KalRs_6.4c
cÆtadrumÃ÷ pu«pitacÃruÓÃkhÃ÷  KalRs_6.17b
cÆtÃmodasugandhimandapavana÷ Ó­ÇgÃradÅk«Ãguru÷  KalRs_6.36c
chÃyÃæ jana÷ samabhivÃ¤chati pÃdapÃnÃæ  KalRs_6.11a
janasya cittaæ kriyate samanmatham  KalRs_1.5d
janasya cittaæ ramayanti sÃmpratam  KalRs_5.3d
janasya sevyÃ na bhavanti rÃtraya÷  KalRs_5.4d
janitaruciragandha÷ ketakÅnÃæ rajobhi÷  KalRs_2.27c
jaladasamaya e«a prÃïinÃæ prÃïabhÆto  KalRs_2.29c
jalabharanamitÃnÃm ÃÓrayo 'smÃkam uccair  KalRs_2.28a
jyÃ yasyÃlikulaæ kalaÇkarahitaæ chattraæ sitÃæÓu÷ sitam  KalRs_6.38b
jyotsnÃdukÆlamamalaæ rajanÅ dadhÃnÃ  KalRs_3.7c
jvalati pavanav­ddha÷ parvatÃnÃæ darÅ«u  KalRs_1.25a
taÂaviÂapalatÃgrÃliÇganavyÃkulena  KalRs_1.24c
ta¬itpatÃko 'ÓaniÓabdamardala÷  KalRs_2.1b
ta¬itprabhÃdarÓitamÃrgabhÆmaya÷  KalRs_2.10c
ta¬idbhir udvejitacetaso bh­Óam  KalRs_2.11b
ta¬illatÃÓakradhanurvibhÆ«itÃ÷  KalRs_2.20a
tatsaægamÃdadhikaÓÅtalatÃmupeta÷  KalRs_3.15b
tanÆni pÃï¬Æni madÃlasÃni  KalRs_6.10a
tanÆni lÃk«Ãrasara¤jitÃni  KalRs_6.15b
tanvaæÓukaæ pÅnapayodhare«u  KalRs_4.3d
tanvaæÓukai÷ kuÇkumarÃgagaurair  KalRs_6.5c
taruviÂapalatÃnÃæ bÃndhavo nirvikÃra÷  KalRs_2.29b
tÃmrapravÃlastabakÃvanamrÃÓ  KalRs_6.17a
tÃrÃgaïapravarabhÆ«aïamudvahantÅ  KalRs_3.7a
tudati kusumamÃso manmathoddÅpanÃya  KalRs_6.29d
tudanti ceta÷ prasabhaæ pravÃsinÃm  KalRs_2.4d
tu«ÃrakundendunibhaiÓ ca hÃrai÷  KalRs_4.2b
tu«ÃragaurÃrpitahÃraÓekharÃ÷  KalRs_1.6b
tu«ÃrasaæghÃtanipÃtaÓÅtalÃ÷  KalRs_5.4a
t­ïÃgralagnaistuhinai÷ patadbhir  KalRs_4.7c
t­ïotkarair udgatakomalÃÇkuraiÓ  KalRs_2.8a
t­«Ãkulaæ ni÷s­tamadrigahvarÃd  KalRs_1.21c
t­«ÃkulaiÓcÃtakapak«iïÃæ kulai÷  KalRs_2.3a
t­«Ã mahatyÃ pariÓu«katÃlava÷  KalRs_1.11b
t­«Ã mahatyÃ hatavikramodyama÷  KalRs_1.14a
tyaktÃmbubhirlaghutayÃ ÓataÓa÷ prayÃtai÷  KalRs_3.4b
tyajati gurunitambÃ nimnanÃbhi÷ sumadhyÃ  KalRs_5.12c
dadÃti saubhÃgyamayaæ vasanta÷  KalRs_6.4d
dadhati divasayogyaæ veÓamanyÃstaruïya÷  KalRs_5.14d
dadhati varakucÃgrairunnatair hÃraya«Âiæ  KalRs_2.26a
dantacchadaæ priyatamena nipÅtasÃraæ  KalRs_4.14c
dantacchadai÷ savraïadantacihnai÷  KalRs_4.13a
dantÃgrabhinnam avak­«ya nirÅk«ate ca  KalRs_4.14d
dantÃvabhÃsaviÓadasmitacandrakÃntiæ  KalRs_3.18c
dinakaraparitÃpak«ÅïatoyÃ÷ samantÃd  KalRs_1.22c
dinÃntaramyo 'bhyupaÓÃntamanmatho  KalRs_1.1c
divasakaramayÆkhair bÃdhyamÃnaæ prabhÃte  KalRs_3.25a
diÓatu tava hitÃni prÃyaÓo vÃ¤chitÃni  KalRs_2.29d
diÓi diÓi paridagdhÃ bhÆmaya÷ pÃvakena  KalRs_1.24d
d­«ÂvÃ jana÷ k«itibh­to mudameti sarva÷  KalRs_6.27d
d­«ÂvÃdhvaga÷ kusumitÃnsahakÃrav­k«Ãn  KalRs_6.28d
d­«ÂvÃ priye sah­dayasya bhavenna kasya  KalRs_6.20c
drumÃ÷ sapu«pÃ÷ salilaæ sapadmaæ  KalRs_6.2a
dvirephamÃlÃvilasaddhanurguïa÷  KalRs_6.1b
dhatte jana÷ kÃmamadÃlasÃÇga÷  KalRs_6.15d
dhunvanti pak«apavanairna nabho balÃkÃ÷  KalRs_3.12c
naktaæ tathecchati puna÷ kiraïaæ sudhÃæÓo÷  KalRs_6.11b
nakhapadacitabhÃgÃn vÅk«amÃïÃ÷ stanÃntÃn  KalRs_5.15a
na candanaæ candramarÅciÓÅtalaæ  KalRs_5.3a
na dantina÷ kesariïo 'pi bibhyati  KalRs_1.15d
nadyo ghanÃ mattagajÃ vanÃntÃ÷  KalRs_2.19c
nadyo viÓÃlapulinÃntanitambabimbÃ  KalRs_3.3c
na nÆpurairhaæsarutaæ bhajadbhi÷  KalRs_4.4c
na bÃhuyugme«u vilÃsinÅnÃæ  KalRs_4.3a
na bhavati kimidÃnÅæ yo«itÃæ manmathÃya  KalRs_6.33d
na bhoginaæ ghnanti samÅpavartinaæ  KalRs_1.16c
navakurabakapÆrïa÷ keÓapÃÓo manoj¤a÷  KalRs_6.33b
navajalakaïasaÇgÃcchÅtatÃmÃdadhÃna÷  KalRs_2.27a
navajalakaïasekÃdudgatÃæ romarÃjÅæ  KalRs_2.26c
navapravÃlodgamasasyaramya÷  KalRs_4.1a
navasalilani«ekacchinnatÃpo vanÃnta÷  KalRs_2.24d
na vÃyava÷ sÃndratu«ÃraÓÅtalÃ  KalRs_5.3c
na Óakyate dra«Âumapi pravÃsibhi÷  KalRs_1.10c
na«Âaæ dhanurbalabhido jaladodare«u  KalRs_3.12a
na hanti maï¬Ækakulaæ t­«Ãkula÷  KalRs_1.20d
na hantyadÆre 'pi gajÃnm­geÓvaro  KalRs_1.14c
na harmyap­«Âhaæ Óaradindunirmalam  KalRs_5.3b
nÃnÃmanoj¤akusumadrumabhÆ«itÃn tÃn  KalRs_6.27a
nÃrya÷ prah­«Âamanaso 'dya vibhÆ«ayanti  KalRs_3.20d
nÃryÃ haranti h­dayaæ prasabhaæ narÃïÃm  KalRs_6.26d
nÃlaækriyante stanamaï¬alÃni  KalRs_4.2d
nitambadeÓÃÓca sahemamekhalÃ÷  KalRs_1.6c
nitambabimbÃni vilÃsinÅnÃm  KalRs_6.5b
nitambabimbe«u navaæ dukÆlaæ  KalRs_4.3c
nitambabimbai÷ sadukÆlamekhalai÷  KalRs_1.4a
nitambinÅnÃæ caraïai÷ sanÆpurai÷  KalRs_1.5b
nitambinÅnÃæ jaghane«u kÃ¤cya÷  KalRs_6.7d
nitÃntanÅlotpalapattrakÃntibhi÷  KalRs_2.2a
nitÃntalÃk«ÃrasarÃgara¤jitair  KalRs_1.5a
nidÃghakÃlo 'yamupÃgata÷ priye  KalRs_1.1d
nidrÃæ prayÃti m­dusÆryakarÃbhitaptÃ  KalRs_4.15d
nipÃtayantya÷ paritastaÂadrumÃn  KalRs_2.7a
nirastamÃlyÃbharaïÃnulepanÃ÷  KalRs_2.12c
nirÅk«ya bhartÌn suratÃbhilÃ«iïa÷  KalRs_5.6c
nirÅk«ya bhinnÃ¤janasaænibhaæ nabha÷  KalRs_1.11d
nirÅk«yamÃïÃ navayauvanÃnÃm  KalRs_6.18d
niruddhavÃtÃyanamandirodaraæ  KalRs_5.2a
nirmÃlyadÃma paribhuktamanoj¤agandhaæ  KalRs_4.16a
niveÓayanti pramadÃ÷ sayauvanÃ÷  KalRs_1.7d
niveÓitÃnta÷ kusumai÷ Óiroruhair  KalRs_5.8c
niÓÃk«aye yÃti hriyeva pÃï¬utÃm  KalRs_1.9d
niÓÃsu dÅrghÃsvabhirÃmitÃÓciram  KalRs_5.7b
niÓÃsu h­«ÂÃ saha kÃmibhi÷ striya÷  KalRs_5.10c
niÓÃ÷ ÓaÓÃÇkak«atanÅlarÃjaya÷  KalRs_1.2a
niÓi sulalitagÅte harmyap­«Âhe sukhena  KalRs_1.28d
ni«iktabimbÃdharacÃrupallavÃ÷  KalRs_2.12b
ni÷ÓvÃsavÃtai÷ surabhÅk­tÃÇga÷  KalRs_4.12b
nÅlotpalÃni vividhÃni niveÓayanti  KalRs_3.19d
nÅlotpalairmadakalÃni vilocanÃni  KalRs_3.17c
nÅhÃrapÃtavigamÃtsubhago vasante  KalRs_6.24d
n­tyaprayogarahitÃ¤Óikhino vihÃya  KalRs_3.13a
netre nimÅlayati roditi yÃti Óokaæ  KalRs_6.28a
netre«u lolo madirÃlase«u  KalRs_6.12a
netrotsavo h­dayahÃrimarÅcimÃla÷  KalRs_3.9a
no bhÆ«ayanti pramadÃ nitambÃn  KalRs_4.4b
nyÆnÃæ manaÓcalayati prasabhaæ nabhasvÃn  KalRs_3.10d
paÂutaradavadÃhocchu«kasasya prarohÃ÷  KalRs_1.22a
patanti mÆ¬hÃ÷ ÓikhinÃæ pran­tyatÃæ  KalRs_2.14c
pattrÃntalagnatuhinÃmbuvidhÆyamÃna÷  KalRs_3.15d
patyurviyogavi«adagdhaÓarak«atÃnÃæ  KalRs_3.9c
pathikajana idÃnÅæ roditi bhrÃntacitta÷  KalRs_3.26d
pathikajanavadhÆnÃæ tadviyogÃkulÃnÃm  KalRs_2.23d
pade pade haæsarutÃnukÃribhir  KalRs_1.5c
payodharÃÓcandanapaÇkacarcitÃs  KalRs_1.6a
payodharÃstoyabharÃvalambina÷  KalRs_2.20b
payodharair bhÅmagabhÅranisvanais  KalRs_2.11a
payodharai÷ kuÇkumarÃgapi¤jarai÷  KalRs_5.9a
parabh­takalagÅtair hlÃdibhi÷ sadvacÃæsi  KalRs_6.31a
parasparÃÇgavyati«aÇgaÓÃyÅ  KalRs_4.12c
parasparotpÅ¬anasaæhatairgajai÷  KalRs_1.19c
pariïatadalaÓÃkhÃnutpatanprÃæÓuv­k«Ãn  KalRs_1.26c
pariïatabahuÓÃlivyÃkulagrÃmasÅmÃ  KalRs_4.19b
pari«vajante Óayane nirantaram  KalRs_2.11d
pariharati nabhasvÃn pro«itÃnÃæ manÃæsi  KalRs_2.27d
paru«apavanavegotk«iptasaæÓu«kaparïÃ÷  KalRs_1.22b
paryantasaæsthitam­gÅnayanotpalÃni  KalRs_3.14c
paryantasaæsthitasitÃï¬ajapaÇktihÃrÃ÷  KalRs_3.3b
paryÃkulaæ kulag­he 'pi k­taæ vadhÆnÃm  KalRs_6.23d
paryutsukaæ mÃnasamaÇganÃnÃm  KalRs_6.17d
pavanacalitaÓÃkhai÷ ÓÃkhibhirn­tyatÅva  KalRs_2.24b
paÓyanti nonnatamukhÃ gaganaæ mayÆrÃ÷  KalRs_3.12d
pÃkaæ vrajantÅ himajÃtaÓÅtair  KalRs_4.11a
pÃdÃmbujÃni kalanÆpuraÓekharaiÓca  KalRs_3.20c
pÃdÃmbujÃny ambujakÃntibhÃ¤ji  KalRs_4.4d
pibanti madyaæ madanÅyamuttamam  KalRs_5.10d
pÅnastanora÷sthalabhÃgaÓobhÃm  KalRs_4.7a
pÅnonnatastanabharÃnatagÃtraya«Âya÷  KalRs_4.16c
pu«paæ ca phullaæ navamallikÃyÃ÷  KalRs_6.6c
pu«pÃvataæsasurabhÅk­takeÓapÃÓÃ÷  KalRs_2.22b
pu«pÃsavÃmodasugandhivaktro  KalRs_4.12a
pu«pÃsavÃmoditavaktrapaÇkajÃ÷  KalRs_5.5b
pu«podgamapracayakomalapallavÃgra÷  KalRs_3.6b
puæskokilaÓ cÆtarasÃsavena  KalRs_6.16a
puæskokilasya virutaæ pavana÷ sugandhi÷  KalRs_6.35b
puæskokilai÷ kalavacobhirupÃttahar«ai÷  KalRs_6.23a
p­thujaghanabharÃrtÃ÷ kiæcidÃnamramadhyÃ÷  KalRs_5.14a
prakÃmakÃmaæ pramadÃjanapriyaæ  KalRs_5.1c
prakÃmakÃmair yuvabhi÷ sunirdayaæ  KalRs_5.7a
prakÃmakÃlÃgurudhÆpavÃsitaæ  KalRs_5.5c
prakurvate kasya mano na sotsukam  KalRs_1.6d
pracaï¬asÆrya÷ sp­haïÅyacandramÃ÷  KalRs_1.1a
pracaï¬asÆryÃtapatÃpitÃ mahÅ  KalRs_1.10b
pracuragu¬avikÃra÷ svÃduÓÃlÅk«uramya÷  KalRs_5.16a
pratanusitadukÆlÃnyÃyatai÷ Óroïibimbai÷  KalRs_2.26b
pratidiÓatu ÓaradvaÓcetasa÷ prÅtimagryÃm  KalRs_3.28d
pradiÓatu himayukta÷ kÃla e«a÷ sukhaæ va÷  KalRs_4.19d
prapÅ¬yamÃnÃn adharÃn avek«ya  KalRs_4.6d
praphullacÆtÃÇkuratÅk«ïasÃyako  KalRs_6.1a
praphullanÅlotpalaÓobhitÃni  KalRs_4.9a
praphullalodhra÷ paripakvaÓÃli÷  KalRs_4.1b
prabalapavanavegodbhÆtavegena tÆrïam  KalRs_1.24b
prabalamadanahetostyaktasaægÅtarÃgÃ÷  KalRs_3.23d
prabalasuratakelirjÃtakandarpadarpa÷  KalRs_5.16b
prabodhayantÅva manorathÃni  KalRs_4.10d
prabhinnavai¬Æryanibhais t­ïÃÇkurai÷  KalRs_2.5a
prabhÆtaÓÃliprasavaiÓcitÃni  KalRs_4.8a
prayÃcitÃs toyabharÃvalambina÷  KalRs_2.3b
prayÃti nimnÃbhimukhaæ navodakam  KalRs_2.13d
prayÃnti kÃntiæ pramadÃjanÃnÃm  KalRs_6.6d
prayÃnti kÃle 'tra janasya sevyatÃm  KalRs_5.2d
prayÃnti nadyastvaritaæ payonidhim  KalRs_2.7d
prayÃnti mandaæ bahudhÃravar«iïo  KalRs_2.3c
prayÃnti rÃgÃdabhisÃrikÃ÷ striya÷  KalRs_2.10d
prayÃnti saÇgaæ valayÃÇgadÃni  KalRs_4.3b
prayÃntyanaÇgÃturamÃnasÃnÃæ  KalRs_6.7c
prarÆ¬haÓÃlÅk«ucayÃv­tak«itiæ  KalRs_5.1a
pravÃsakhinnaæ patimudvahantya÷  KalRs_4.10b
prav­ttan­tyaæ kulamadya barhiïÃm  KalRs_2.6d
