Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
atiÓuddham iva ÃÓayam  Pnc_6.109d
atisÃndrakÃ¤canamarÅcipiÇgalaæ  Pnc_10.11a
atisvÃdhÅnanÅvÃra-  Pnc_11.64a
atÅte vikramÃditye  Pnc_11.93a
atÅvÃraïyabhÆmaya÷  Pnc_2.59d
ato varo 'yaæ yuvayo÷ samÃgama÷  Pnc_7.67a
atyacchadaÓanodgacchat-  Pnc_11.79a
atyacchaæ pÃrthivasya ca  Pnc_16.6d
atyadbhutaæ n­ttam ivÃrabhanta  Pnc_17.11c
atyÃdarÃgatajitorjitavairilak«mÅ-  Pnc_17.71c
atyÃdarÃnatasurÃsuramauliratna-  Pnc_18.17a
atyÃyatakutÆhalÃ  Pnc_6.62d
atyujjvalai÷ kavÅndreïa  Pnc_2.93c
atyutsukÃ bhaÇgamalÅmasÃni  Pnc_17.42d
atyunnate mÆrdhni mahÃsurasya  Pnc_17.58b
atyunmanÃs tadavalokanakautukena  Pnc_18.3c
atra yat tava sambhrama÷  Pnc_6.57d
atrÃntare jhaÂiti cittam ivÃccham ambha÷  Pnc_7.80a
atrÃntare nabha÷sindhu-  Pnc_16.1a
atrÃntare pramadalolad­ÓÃ n­peïa  Pnc_18.33a
atrÃntare samÃyÃntÅ  Pnc_6.98a
atrÃbjapatranayane nayane nimÅlya  Pnc_10.69b
atretiv­ttaæ kathayÃmy aÓe«aæ  Pnc_9.35c
atrer iva niÓÃkara÷  Pnc_11.91d
atrorvÅtilake d­«Âim  Pnc_6.73a
atha kanakam­ïÃlikÃyugasya  Pnc_3.48a
atha kamalasarastaraÇgadolÃ-  Pnc_3.44a
atha kÃm api nirv­tiæ tayÃ  Pnc_12.75c
atha kinnararÃjendra-  Pnc_6.87a
atha kramonmÅlitasauh­dÃsu  Pnc_11.120a
atha ca sthitim ÃtmanÃ vidhatse  Pnc_5.71c
atha tasya babhÆva yatnavÃn  Pnc_12.4c
atha tÃ g­hÅtaÓaradindu-  Pnc_15.35a
atha tÃbhir ekatapanÅya-  Pnc_15.33a
atha tÃm aÇkagatÃæ vyalokayat  Pnc_12.8d
atha tÃæ ÓithilÅk­tatrapÃm  Pnc_12.72a
atha dvayenÃvanipÃkaÓÃsana÷  Pnc_13.26a
atha dvÃ÷sthanivedita÷  Pnc_16.71d
atha dvirephasya mukhÃbjapÃtino  Pnc_7.71a
atha nabhasi piÓaÇgasÃndhyarÃga-  Pnc_3.52a
atha nya«ÅdannavapallavÃsane  Pnc_7.33c
atha pathi navasÃhasÃÇka÷ sa vidyÃdharair vandita÷  Pnc_13.72a
atha pÃrÓvacareïa sÃdaraæ  Pnc_12.7a
atha pratasthe navasÃhasÃÇka÷  Pnc_17.43d
atha pravÃlÃd api pÃÂalacchavir  Pnc_4.52c
atha pravÃlÃdharabimbacumbi-  Pnc_14.79a
atha bahu carato 'sya cÃpapÃïeÓ  Pnc_3.1a
atha bÃlatamÃlamÃæsalaæ  Pnc_12.41c
atha bibhrat sarÃgeïa  Pnc_11.1a
atha madagajalÅlÃkhelagÃmÅ sa÷ k­tvÃ  Pnc_5.82a
atha mantharalocanaæ hriyÃ  Pnc_12.69a
atha mÃnavamÅnalak«maïo  Pnc_12.1a
atha mÃlyavatÅ nÃma  Pnc_6.20a
atha mukharakhagÃpanÅtanidra÷  Pnc_2.100a
atha mekalÃcalasutÃtirohitau  Pnc_10.1a
atha rdhimatyÃ paravaty asi striyÃ  Pnc_4.57a
atha vadati Óanai÷ sametya tasminn  Pnc_16.120a
atha vallabhÃrpitakarÃgra-  Pnc_15.8a
athavÃ parato 'stu narma nÃsyÃæ  Pnc_5.73a
atha vÃ m­gabhaÇginopanÅte  Pnc_5.44a
atha vÃ m­gayi«yate na hÃraæ  Pnc_5.54a
athavÃ subhaÂai÷ sÃrdham  Pnc_16.117a
athavÃsyÃsti ÓaktiÓ cet  Pnc_16.102a
atha vidrumatÃmrau«Âha-  Pnc_16.14a
athavaika eva vibhur asy arer vadhe  Pnc_10.37a
atha Óuci paÂhatÃ Óukena sÃma  Pnc_12.80a
atha sa caÂula«aÂpadopagÅtaæ  Pnc_3.3a
atha satrapayÃ dh­tÃæÓukÃæ  Pnc_12.77a
atha samamasunÃthais tÃ÷ salÅlaæ ni«edu÷  Pnc_15.70c
atha samuditatrÃsÃ meghasvanÃn nanu bhÆpater  Pnc_7.82a
atha sambhramÃd anucareïa  Pnc_3.73a
atha sasmitam Ãttavepathu÷  Pnc_12.15a
atha sÃn­juvÃdinÅ vidhÃya  Pnc_5.80a
atha sÃndragharmajalabindu-  Pnc_15.1a
atha sÃ vadane navendukÃnti-  Pnc_5.1a
atha sÃ siddhatanayÃ  Pnc_6.30a
atha sutanur alolatÃrake sÃ  Pnc_6.118a
atha svabimbÃdharapÃÂalacchadaæ  Pnc_7.29a
atha svareïÃÇgaïadÅrghikÃïÃæ  Pnc_9.1a
atha haæsam itas tato vicetuæ  Pnc_5.37c
atha hÃram anÃdareïa kaïÂhÃt  Pnc_5.63a
atha hÃralatÃvik­«Âad­«Âi÷  Pnc_5.67a
athÃtharvavidÃm Ãdya÷  Pnc_11.67a
athÃdadhad vaktra ivÃmÓukÃ¤calaæ  Pnc_13.15a
athÃdÆre sukhÃsÅna÷  Pnc_11.39a
athÃdhigantuæ kila tasya patriïo  Pnc_4.40a
athÃnaÇgavatÅ nÃma  Pnc_6.52a
athÃnubhavena nideÓiteva sÃ  Pnc_4.46c
athÃntikasthena saÓ cÃbhyadhÃyi  Pnc_14.6a
athÃrpitaæ tena phalaæ tadÃdade  Pnc_13.21a
athÃvataæsÅk­talocanotpalaæ  Pnc_7.37a
athÃÓramopÃntamahÅæ vihÃya  Pnc_14.1a
athÃsurendradviradena vegÃd  Pnc_17.53a
athÃsya kopa÷ praÓaÓÃma mÃnase  Pnc_13.57a
athÃsya sÅdanmaïibandhanÃt karÃd  Pnc_13.24a
athÃhividyÃdhararÃjasainyair  Pnc_17.1a
atheti bÃ«podgamagadgadai÷ padair  Pnc_13.51c
athettham amlÃnamanorathodgamo  Pnc_7.3c
athedaæ ratnavalayaæ  Pnc_11.111a
athendracÃpalalitaæ  Pnc_2.34a
athaitena g­hÅteyaæ  Pnc_11.112a
athai«a dÅrghÃ darÓanÃrci«a÷ kiran  Pnc_4.10a
atho rathenÃjimahÅæ viveÓa  Pnc_17.27d
adatta yÃæ vÃkpatirÃjadeva÷  Pnc_1.8b
ada÷ sugandhÅkuru matprasÆnaæ  Pnc_14.60a
adurlabhÃm indumukhÅm amanyata  Pnc_4.8d
ad­Óyata cchatram ivÃntakasya  Pnc_17.23d
ad­ÓyataikÃ viÓatÅ tapovanaæ  Pnc_13.49c
ad­ÓyatoddÃmabhujÃspadasya  Pnc_17.59c
ad­Óyam etad yadi manyase tata÷  Pnc_7.54a
ad­Óyair atha sÃ nÃgair  Pnc_11.104a
ad­«Âe 'py utsukÃ rÃj¤i  Pnc_6.14a
adbhir jagatyastamitopasarge  Pnc_9.30b
adbhutaæ pathi bibhÅ«ikÃvaham  Pnc_8.57b
adya na÷ puïyabÅjena  Pnc_11.40a
adya na÷ saphalaæ cak«uÓ  Pnc_6.55a
adyÃpi tÆrïam amunÃ svabhujÃrjitena  Pnc_18.40b
adyai«a kasyÃpi mayÃ Óubhasya  Pnc_9.4a
adrak«am aham ekadÃ  Pnc_6.22b
adharÃgracumbanam avÃpya  Pnc_15.59a
adharitamurajadhvanÅni mu¤can  Pnc_7.81c
adhas taruïÃm amunÃ vinÅyate  Pnc_4.33c
adhastÃlÅvanÃsita÷  Pnc_11.58b
adha÷k­tÃ÷ satyam adhÅralocane  Pnc_7.48a
adha÷ pravi«Âoddh­takacchapoddh­tair  Pnc_13.42c
adha÷saænaddhamedhe«u  Pnc_11.55a
adha÷sthalÅnirgatajahnukanyako  Pnc_13.18c
adha÷sthito¬¬Ãmaravairipatti-  Pnc_17.61a
adhikarïam udgatamayÆkha-  Pnc_15.39a
adhikÃdhikajÃtalajjayÃ  Pnc_12.75a
adhirohati yatra vaæÓamuktÃ-  Pnc_5.16a
adhirohati svayam acintitÃpy aho  Pnc_10.2a
adhÅtya kautukenÃtha  Pnc_6.13a
adhÅyate mÃnmatham astravedam  Pnc_1.33d
adhÅratÃæ dak«iïamÃtariÓvanÃ  Pnc_4.11c
adhunÃ kim induvadanÃ ca vakti sÃ  Pnc_10.61b
adhunÃ timirair vigÃhyate  Pnc_12.43c
adhunÃ tu nÅtinihitena cetasÃ  Pnc_10.24c
adhunÃpi deva muralÃÇganÃjanais  Pnc_10.16a
adhunÃ puno 'tra vindhyapade  Pnc_5.27a
adhunÃpy Ãlikhiteva nÆnam Ãste  Pnc_5.44d
adhunÃ manmahe vayam  Pnc_11.114d
adhunÃ h­daye 'py e«a  Pnc_6.60c
adhunaiva te 'tra nijatÃæ vrajanti vÃ  Pnc_10.35a
adhyÃsate kÃm api kÃntim ÃsÃm  Pnc_14.57a
adhyÃsate yasya mukhÃravindaæ  Pnc_1.64c
adhyÃsta ratnasadanaæ parito vitÃna-  Pnc_11.121c
adhyÃsta sÃdarajaratphaïikalpitÃÓÅs  Pnc_18.29c
adhyÃsya kÃrmukasanÃthakaro narendra÷  Pnc_13.69b
adhyÃsya sa ÓilÃtalam  Pnc_2.80b
anaÇgakalpadrumama¤jarÅïÃm  Pnc_14.75a
AnaÇgakodaï¬alatÃm ivaik«ata  Pnc_7.1d
AnaÇgacaï¬Ãtapataptayos tadÃ  Pnc_4.7a
anaÇgatÃpavaty asyÃ  Pnc_16.39a
AnaÇgadÅpanaæ tasyai  Pnc_6.106c
AnaÇgadurvÃraÓarÃdhidaivataæ  Pnc_7.48c
AnaÇgan­pasÃmrÃjya-  Pnc_6.71c
anaÇgamattadvipakumbhalak«mÅ÷  Pnc_14.54d
AnaÇgaratnÃkaravelayÃ mana÷  Pnc_7.2d
anaÇgalÅlÃkalahotsave«u  Pnc_1.30b
anaÇgalÅlÃsu k­tÅ bhuva÷pati÷  Pnc_4.34b
anaÇgavatyÃ÷ kamalaæ jahÃra sÃ  Pnc_7.28d
anaÇgavidhunÃ yÃvad  Pnc_16.46c
AnaÇgasÃmrÃjyavilÃsacÃmare  Pnc_7.12a
AnaÇgasyÃyam utsava÷  Pnc_6.90b
AnaÇgasyaikarÃjye 'smin  Pnc_6.76c
anativilambiparÃrdhyamauliratnÃn  Pnc_3.6b
anabhij¤Ã÷ kalÃpina÷  Pnc_11.55d
anayadyÆthapatir vaÓÃm iva  Pnc_12.72d
anayan sahaiva Óithilatvam  Pnc_15.65a
anayÃ vidrumastamba-  Pnc_2.64a
anayÃ sÃma gÃyantyÃ  Pnc_11.21a
anayai«a samÃgatas tathÃ  Pnc_12.61c
anayo÷ kim api tvayÃ vilÃsin  Pnc_5.74a
anayo÷ pannagalokakaumudi  Pnc_12.60b
anarghyam arghyaæ jagadekacak«u«e  Pnc_13.36c
anarpaïaæ mahÅpÃle  Pnc_16.112a
analpak­«ïÃgurudhÆmabhaÇgyÃ  Pnc_1.30c
analpalÃvaïyatirask­topamaæ  Pnc_4.37c
analpalÃvaïyavilÃsajanmabhÆr  Pnc_4.44a
analpasaÇkalpavikalpajÃla-  Pnc_10.68a
analpasaundaryasudhaikasÆti÷  Pnc_14.4c
anavadyam ita÷ pura÷ sthitaæ  Pnc_12.51a
anavadyÃÇgi pataÇgamaï¬alam  Pnc_12.33d
anastam­gayÃÓramam  Pnc_2.33b
anÃtapatro 'yam atra lak«yate  Pnc_4.31a
anÃmayam ivÃp­cchat  Pnc_11.8c
anÃrdratÃm indumarÅcisakhye  Pnc_9.32c
anÃvilaæ yena balÃd viluptam  Pnc_1.63d
anidritÃpi yat sÃbhÆt  Pnc_6.49c
animittasmitena sÃ  Pnc_6.45d
anivÃritakelikautukÃ sÃ  Pnc_5.26a
anukartuæ kalayÃpi dhÃr«Âyam eti  Pnc_5.24b
anu k«itÅÓaæ nalinÅdalÃsane  Pnc_7.34a
anugamanena yato 'sya hÃralÃbha÷  Pnc_3.30b
anuguïapadavÅvinirgatÃsu  Pnc_3.58a
anupamamauktikanirgatair mayÆkhai÷  Pnc_3.29b
anupÃdhir upÃh­to vikÃsa÷  Pnc_5.14a
anupu¤jitapiÇgadÅdhiti-  Pnc_12.33a
anurevÃ pulinaæ g­hÃïa yÃtrÃm  Pnc_5.78b
anulimpati rodasÅ yathendu÷  Pnc_5.9a
anÆpuram amekhalam  Pnc_11.90b
anÆrum urvÅtalaratnadÅpaka÷  Pnc_13.62c
anekapu«paæ n­pa Óaknuvanti  Pnc_14.76b
anekaratnÃæÓukadambakena  Pnc_1.47b
anekarÃjanyaghaÂÃkirÅÂa-  Pnc_1.67c
anekarÆpÃlikhanapragalbhayÃ  Pnc_4.6a
anena kenÃpi tavÃÓrame balÃd  Pnc_13.53a
anena khelanmadadantinÃ vada  Pnc_4.60a
anena guïinÃ sÃrdhaæ  Pnc_11.47a
anena ced yogam upaiti daivata÷  Pnc_4.37a
anena tÃvad dad­Óe pura÷sthito  Pnc_13.18a
anena tu dvitÅyena  Pnc_6.61c
anena te saÓramavÃribindunÃ  Pnc_7.51a
anena te sundari darÓanena vÃ  Pnc_7.47a
anena pÅnastanakampadÃyinÃ  Pnc_4.52a
anena me ko 'pi h­di prahar«as  Pnc_9.32a
anena me saæprati pÃrthivendunÃ  Pnc_13.60c
anena rÆpÃtiÓayena lÅlayÃ  Pnc_4.22a
anena lÅlÃkamalaæ yad ujjhitam  Pnc_7.52d
anena vindhyÃdrivihÃrajanmanÃ  Pnc_4.49a
anena vihitÃny atra  Pnc_11.102a
anena hÃ dhiÇ mu«itÃsmi dasyunÃ  Pnc_13.51b
anenÃsta÷ kapole«u  Pnc_11.100a
anenecchasi cet kartuæ  Pnc_16.89a
antaraÇga÷ paricchada÷  Pnc_6.44d
antarÃhitanidhÃnayÃ bhuvÃ  Pnc_8.44d
antarjatÃpihitasomasurÃpagÃya  Pnc_18.16a
antarniveÓitaharinmaïivedi valgan-  Pnc_18.24c
anta÷ praveÓayÃm Ãsa  Pnc_16.5a
anta÷sphuÂaikaÓivarÆpam ahÅÓvareïa  Pnc_18.53b
antike kanakamÃdhavÅlatÃ  Pnc_8.66d
andhakÃranikaro 'tha rodasÅ  Pnc_8.4d
anyatra vÅrav­tter yad  Pnc_11.109c
anyathÃ hi g­haæ santa÷  Pnc_16.79c
anyÃ payodharabhare pulakaæ babhÃra  Pnc_18.7d
anyenorvÅvijayi ca dhanu÷ sÃhasÃÇkaæ dadhÃna÷  Pnc_2.101b
anyonyak­ttÃstarasÃ bhaÂÃnÃæ  Pnc_17.20a
anyonyapallavitatadvijayapraÓaæsa÷  Pnc_18.26a
anyonyapÅnÃæsavighar«aïena  Pnc_14.16b
anyonyam Ãvartata saæparÃya÷  Pnc_17.47d
anyonyam ekatra nivÃsasaukhya-  Pnc_1.86c
anyonyaruddhaprasarÃ÷ prayÃnti  Pnc_14.14d
anyonyasaÇghaÂÂavaÓena te«Ãm  Pnc_17.2a
anyonyasaÇghaÂÂavisÆtritÃni  Pnc_14.18a
anyonyasaæÓle«aviÓÅrïahÃra-  Pnc_1.69a
anyonyÃrpitanetrÃbhir  Pnc_16.57c
anyo 'py agÃdhajalamÃlavajahnukanyÃ-  Pnc_18.66c
anvagacchad atha taæ ramÃÇgada÷  Pnc_8.41b
anvÃgatÃdaranivartitapannagendra÷  Pnc_18.55c
apakartum atra samaye tavÃttabhÅr  Pnc_10.14a
apak«amapÃtastimite vilocane  Pnc_4.15b
apaÂhac cÃrubimbau«Âha-  Pnc_6.12c
apatat phaïirÃjakanyakÃ  Pnc_12.1c
apathe caratÃæ yÃnti  Pnc_16.111c
apadÃrpitavaitaneyaÓaÇka÷  Pnc_5.35c
apade yad udyamakathÃvirodhinÅ  Pnc_10.44c
apayÃtu khaga÷ sas tena k­tyaæ  Pnc_5.51a
aparasyÃmayamÃnato diÓi  Pnc_12.28b
aparaæ k­tam arthavat tad asyÃ÷  Pnc_5.23c
aparÃntapÃrthivavadhÆmukhendava÷  Pnc_10.19d
aparisphuÂoktilalitÃsu  Pnc_15.68a
apaviddhanayÃ na yasya d­«Âer  Pnc_5.73c
apaÓyato hetum ihopapannaæ  Pnc_9.33c
apaÓyat phaïikanyakÃ  Pnc_6.99b
apaÓyad atravÃsare vilÃsinÅæ  Pnc_4.9c
apaÓyad indÅvaradÃmadÅrghayÃ  Pnc_7.72c
apaÓyad gaganollekhi  Pnc_16.2c
apasarpanty atha khecarÃ÷ kim anye  Pnc_5.73d
apasasre vikÅrïÃæÓos  Pnc_2.24c
apahartum agÃs tvam eva hÃraæ  Pnc_5.69a
apah­tam iva lolapatrajÃlaæ  Pnc_3.16c
apa÷ samÃdÃya davÃnalopama÷  Pnc_13.56d
apÃÇgaprativeÓitam  Pnc_6.63b
apÃÇgavalgÅni vilocanÃni  Pnc_14.5d
apÃÇgaviÓrÃntavilolatÃrais  Pnc_14.19c
apÃÇgasa¤cÃritadÅrghanetrayÃ  Pnc_7.31b
apÃÇgasaævardhitaÓoïakÃntinÃ  Pnc_7.16a
apÃsya vÃmetarakarïabhÆ«aïaæ  Pnc_13.4a
apÃharaæ manmatharatnapÃduke  Pnc_13.50d
apÃæ kaïas ti«Âhati vÅcikampite  Pnc_13.57c
api k­tanayanotsavena tanvÅ  Pnc_3.71a
api koÓag­hodare durÃpaæ  Pnc_5.64a
api cintÃmaïaya÷ pade luÂhanti  Pnc_5.18d
api jÃyate dh­tiviparyayo harer  Pnc_10.33c
api dattakutÆhalÃ÷ surÃïÃm  Pnc_5.19a
api d­«ÂÃ tvayaitasya  Pnc_2.48a
api nÃma m­dÆni vetsi vaktuæ  Pnc_5.60a
api nirvi«ayÃ manorathÃnÃm  Pnc_5.19c
api patitam ivÃntarik«apÅlor  Pnc_3.17c
api manasijo dhairyaæ lumpaty aho bata sÃhasam  Pnc_12.81d
api yatra kumudvatÅbhir asta÷  Pnc_5.14c
api vÃ¤cchÃpadam ekapiÇgalasya  Pnc_5.19b
api vismayaæ param avÃpa pÃrthiva÷  Pnc_10.51b
api ÓrameïÃyatamÃrgajanmanÃ  Pnc_13.14a
api svacchajalÃ deva  Pnc_2.68a
apÆryatÃ iyaæ brahmÃï¬a-  Pnc_11.95c
ap­cchad acchannakutÆhalÃ sÃ  Pnc_8.80b
apy acirÃvÃsitapu«paketunÃ  Pnc_12.11b
apy apÃk­taraya÷ sa narmadÃ-  Pnc_8.15a
apy asty ahipure 'smÃkaæ  Pnc_16.16c
apy ÃdÃya svayam eva tatprativaca÷ pÃrÓvaæ mamÃbhye«yasi  Pnc_10.70d
apsu kuvalayad­ÓÃæ pratimÃ÷  Pnc_15.7c
aphalguratnopalakarkaÓÃsu  Pnc_17.15b
aphalgur vÅrya÷ phaïabh­tkumÃro 'py  Pnc_17.45c
abalÃjanasya nunude pariÓrama÷  Pnc_15.3d
abalÃlocanaÓriya÷  Pnc_2.17b
abalÃsu kuï¬alitakÃrmuka÷ smara÷  Pnc_15.31d
abhavat sa mÃlavakuraÇgalÃ¤chana÷  Pnc_10.45b
