Bhamaha: Kavyalamkara
Based on: KÃvyÃlaÇkÃra of BhÃmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akave÷ ÓÃstravedanam  Bh_1.3d
anayÃnyad api j¤eyaæ  Bh_1.57a
anayÃrtho vibhÃvyate  Bh_2.85b
analaÇk­takÃntaæ te  Bh_3.51a
anibaddhaæ ca kÃvyÃdi  Bh_1.18c
anibaddhaæ punargÃthÃ-  Bh_1.30a
anuktamapi yatrÃrthÃd  Bh_5.45c
anuprÃsaæ pracak«ate  Bh_2.5b
anuprÃsa÷ sayamako  Bh_2.4a
anumÃnaæ ca kecana  Bh_5.11b
anena vÃgarthavidÃmalaÇk­tÃ  Bh_3.58c
antarÃle srajÃmiva  Bh_1.54d
antareïa dvijanmanÃ  Bh_4.49b
antaryodhaÓatÃkÅrïaæ  Bh_4.40a
andakrÅ¬Ãg­haæ yathÃ  Bh_3.13b
anyatve 'pi pratik«aïam  Bh_4.5d
anyathÃ ghaÂavij¤Ãnam  Bh_5.10c
anyathaivÃvagacchati  Bh_4.34b
anyadharmo 'pi tatsiddhiæ  Bh_5.49a
anyavidyÃkareïubhi÷  Bh_6.2d
anyasÃrasvatÃ nÃma  Bh_6.6c
anyasvapi kalÃsvevam  Bh_4.34c
anyaæ vya¤janacÃrutÃ  Bh_6.28d
anyÃpohaÓca nÃmÃnya-  Bh_6.16c
anyÃpohena vastuna÷  Bh_3.41b
anyÃpohena Óabdo 'rtham  Bh_6.16a
anyÃrthaæ vigame yathÃ  Bh_1.40b
anyena vyapadiÓyate  Bh_5.10d
anye ÓabdÃrthabhedata÷  Bh_4.12d
anye«Ãmapi kartavyÃ  Bh_3.52a
anyai÷ svacaritaæ tasyÃæ  Bh_1.29a
anyotkar«ÃbhidhitsayÃ  Bh_1.22d
anyo 'pyasÃveka iva  Bh_5.24c
anvamÅyanta bh­ÇgÃli-  Bh_2.82c
anvayavyatirekÃbhyÃæ  Bh_5.50c
anvayavyatirekau hi  Bh_5.48a
apabhraæÓa iti tridhÃ  Bh_1.16d
aparaæ vak«yate nyÃya-  Bh_5.30a
aparyantÃrthavartinÃm  Bh_6.22b
apavÃdavidhij¤Ãne  Bh_6.18c
apav­ttau raveriha  Bh_5.51d
apahnutirabhÅ«ÂÃ ca  Bh_3.21a
apahnutiæ viÓe«oktaæ  Bh_3.2a
apÃmabhyarïavartitvÃd  Bh_5.53c
apÃrthamityapetÃrthaæ  Bh_4.3a
apÃrthaæ vyarthamekÃrthaæ  Bh_4.1a
apÃæ yadi tvakchithilÃ  Bh_2.83a
api vÃ nopadiÓyate  Bh_4.28b
apÅtamattÃ÷ Óikhino  Bh_2.78a
apu«ÂÃrthamavaktrokti  Bh_1.34a
ap­thakk­tasÃdhyo 'pi  Bh_5.50a
apetaæ yattayÃ yathÃ  Bh_4.38d
aprati«Âhaæ yadatreti  Bh_4.17c
aprastutapraÓaæsÃæ ca  Bh_3.2c
aprastutapraÓaæseti  Bh_3.29c
abhÃryo¬hena saæskÃram  Bh_4.49a
abhijÃta÷ kathaæ jana÷  Bh_1.29d
abhidheyÃ virodhitÃ  Bh_4.34d
abhidheyai÷ parasparam  Bh_2.17b
abhinnalak«aïa÷ pak«a÷  Bh_5.22c
abhiprÃyÃtkavernÃtra  Bh_2.60c
abhyadhÃccÃraÓÆnyatÃm  Bh_4.39d
abhyastÃjjheradÃdeÓe  Bh_6.58a
abhyaste«u prayoktavyam  Bh_6.59a
abhyupetÃn gurÆnapi  Bh_2.74b
abhyupaiti yathocyate  Bh_5.45d
abhyÆhyamanayÃ diÓÃ  Bh_2.95d
abhra«Âakalu«aæ jalam  Bh_2.78d
amidbhi÷ Óubhrad­gd­«Âair  Bh_1.46c
amÅ kusumasaurabhÃt  Bh_5.53b
amÅ n­pÃ dattasamagraÓÃsanÃ÷  Bh_2.15a
amuæ vyÃkaraïÃrïavam  Bh_6.3b
amÆni kurvate 'nvarthÃm  Bh_2.26a
amedhobhirasÆyitam  Bh_6.2b
ambhojamiva vaktraæ te  Bh_3.38c
ayamarthÃntaranyÃsa÷  Bh_2.73c
ayamÃk­«yamÃïasya  Bh_3.22c
ayaæ padmÃsanÃsÅnaÓ  Bh_2.55a
ayaæ mandadyutirbhÃsvÃn  Bh_3.34a
ayaæ hi madhyamagrÃmo  Bh_4.33c
ayuktimad yathÃ dÆtÃ  Bh_1.42a
arthaj¤ÃnaphalÃ÷ ÓabdÃ  Bh_6.18a
arthadu«Âaæ punarj¤eyaæ  Bh_1.50a
arthapratÅtaye gÅta÷  Bh_6.8c
arthavÃn varïasaæghÃta÷  Bh_4.3c
arthasya tadavasthatvaæ  Bh_2.93c
arthÃdeveti rÆpÃdes  Bh_5.10a
arthÃnÃmasadharmaïÃm  Bh_2.89b
arthÃntaranyÃsavatÅ  Bh_3.41c
arthyaæ nyÃyyamanÃkulam  Bh_1.35b
alaÇkÃratayÃ matÃ  Bh_3.55b
alaÇkÃratayÃ yathÃ  Bh_2.81d
alaÇkÃradvayaæ vidu÷  Bh_2.88b
alaækari«ïunÃ vaæÓaæ  Bh_4.48c
alaæ kartumayaæ janam  Bh_6.3d
alaækÃravadagrÃmyam  Bh_1.35a
alaækÃraæ sumedhasa÷  Bh_3.4d
alaækÃrÃya kalpate  Bh_5.66d
avagamya svadhiyÃ ca kÃvyalak«ma  Bh_6.64b
avalokya matÃni satkavÅnÃm  Bh_6.64a
avastukaæ cedvitathaæ  Bh_5.8c
avÃcakamayuktimat  Bh_1.37b
avÃco 'vyaktavÃcaÓca  Bh_1.43a
avÃdÅdviduro yathÃ  Bh_3.5b
avigÃhyo 'si nÃrÅïÃm  Bh_2.53a
avivak«itasÃmÃnyÃ  Bh_2.91a
asantamapi yadvÃkyaæ  Bh_6.41a
asabhyavastuvi«ayÃ  Bh_1.50c
asambhavÃdayaæ yuktyÃ  Bh_2.48c
asaæg­hÅtamapyanyad  Bh_2.95c
asÃd­Óyavivak«Ãtas  Bh_3.45c
asÃdhÃraïasÃmÃnya-  Bh_5.5c
asitartitugadricchit  Bh_1.46a
asisaækÃÓamÃkÃÓaæ  Bh_5.34a
asau dadhadalaækÃraæ  Bh_6.59c
asau ÓuklÃntanetratvÃc  Bh_5.54a
astaæ prati yiyÃsati  Bh_3.34b
astyÃtmÃ prak­tirveti  Bh_5.15a
asmi¤ jahÅhi suh­di praïayÃbhyasÆyÃm  Bh_3.56a
asya ca kriyate bhidÃ  Bh_3.17b
asyanto vividhÃnyÃjÃv  Bh_4.44a
asyÃkhyÃmarthadÅpanÃt  Bh_2.26b
asyÃæ suvarïÃlaækÃra÷  Bh_6.30c
ahaæ tvÃæ yadi nek«eya  Bh_2.69a
ahighnapadmasya jalÃridhÃmnas  Bh_5.63c
ah­dyamasunirbhedaæ  Bh_5.62a
aho nu mandimÃ te«Ãæ  Bh_4.41c
aho bhÃro mahÃn kave÷  Bh_5.4d
aho sthemÃ mahÃrci«a÷  Bh_5.34d
aæÓumadbhiÓca maïibhi÷  Bh_5.64a
ÃkumÃramasandigdha-  Bh_5.19a
ÃkroÓannÃhvayannanyÃn  Bh_2.94a
Ãk«ika÷ ÓÃstriko yathÃ  Bh_6.52d
Ãk«epa iti taæ santa÷  Bh_2.68c
Ãk«epo 'rthÃntaranyÃso  Bh_2.66a
ÃgamÃstattvadarÓina÷  Bh_5.33d
Ãgamo dharmaÓÃstrÃïi  Bh_4.47a
Ãcak«ÅtÃvinaÓvaram  Bh_5.17d
ÃdadhÃne udaæÓunÅ  Bh_4.27b
ÃdimadhyÃntayamakaæ  Bh_2.9a
ÃdimadhyÃntavi«ayaæ  Bh_2.25a
Ãdau madhyÃntayorvÃ syÃd  Bh_2.10c
ÃdhÃvanmaï¬alai rudan  Bh_2.94b
ÃdhikyamupamÃnÃnÃæ  Bh_2.61a
Ãdhikyaæ kila na hyayam  Bh_2.59b
ÃnandajairnayanavÃribhiruk«atu tvÃm  Bh_3.56d
ÃpagevottitÅr«ata÷  Bh_2.53d
ÃpÃï¬ugaï¬ametatte  Bh_1.56a
Ãmantaæ ca vadet kvipi  Bh_6.40b
ÃyudhÃnyaparÃdhinam  Bh_4.44b
ÃvidvadaÇganÃbÃla-  Bh_2.3c
ÃvibhÃti mude satÃm  Bh_6.5b
ÃÓÅrapi ca ke«Ãæcid  Bh_3.55a
ÃÓrayo naÓyatÅti ca  Bh_5.35b
ÃÓli«ya gÃ¬hamamumÃnatamÃdareïa  Bh_3.56b
Ãsta eva nirÃtaÇkaæ  Bh_1.6c
Ãhaturvyatirekiïo÷  Bh_2.31b
Ãhari«yÃmyamÆmadya  Bh_5.38a
ÃhÆto na nivarte 'haæ  Bh_5.42a
Ãhetyanye pracak«ate  Bh_6.16b
icchantyacchÃndasaæ kila  Bh_6.42b
iti kecit pracak«ate  Bh_2.93b
iti tadbhidyate tridhÃ  Bh_2.25d
iti dvayaikÃnugati-  Bh_5.25c
iti dharmavirodhinÅ  Bh_5.41d
iti nigaditÃstÃstÃ vÃcÃmalaÇk­tayo mayÃ  Bh_5.69a
iti nirdiÓyate yathÃ  Bh_4.24d
iti pa¤caiva tadyathÃ  Bh_2.10d
iti prayu¤jate santa÷  Bh_5.60c
iti prayogasya yathÃ  Bh_5.57a
iti prÃhurvisandhyada÷  Bh_4.27d
iti bhart­nideÓata÷  Bh_5.37b
iti yuktyÃ na yujyate  Bh_1.43d
iti vÃcÃmalaækÃrÃ÷  Bh_2.4c
iti vismayÃdvim­Óato 'pi me matis  Bh_3.44c
iti sÃdhÃritaæ mohÃd  Bh_4.34a
itihÃsÃÓrayÃ÷ kathÃ÷  Bh_1.9b
ityatra meghakariïÃæ  Bh_3.16c
ityanta Åd­ÓÃ varïÃ  Bh_6.13a
ityaho vartma dustaram  Bh_6.20d
ityÃkhyÃtamapakramam  Bh_4.20d
ityukta upamÃbhedo  Bh_2.65a
ityuktÃ tulyayogitÃ  Bh_3.27d
ityetat pa¤cadhocyate  Bh_2.9d
ityevamÃdi kiæ kÃvyaæ  Bh_2.87c
ityevamÃdiruditÃ  Bh_2.84a
ityevaæ vastupa¤cakam  Bh_6.66b
idamaskhalitaæ vratam  Bh_3.42d
idaæ tu ÓÃstragarbhe«u  Bh_5.30c
inacca phalabarhÃbhyÃæ  Bh_6.56c
ini÷ prayukta÷ prÃyeïa  Bh_6.57a
indÅvarÃbhanayanaæ  Bh_3.46c
ibhakumbhanibhe bÃlÃ  Bh_6.43a
iyattÃ kena vÃmÅ«Ãæ  Bh_6.22c
iyadevÃstvato 'nyena  Bh_2.69c
iyaæ candramukhÅ kanyÃ  Bh_6.30a
i«ÂakÃryÃbhyupagamaæ  Bh_5.35c
i«Âaæ cÃtiÓayÃrthatvam  Bh_2.50c
i«Âaæ niÓcitaye vÃkyaæ  Bh_4.18c
i«Âa÷ prayogo yugapad  Bh_3.15c
i«ÂÃ vÃcÃmalaæk­ti÷  Bh_1.36d
i«ÂyÃ yaÓcopapÃdita÷  Bh_6.29b
ihecchantyapare yathÃ  Bh_2.8b
Åd­garthÃbhidhÃyina÷  Bh_6.13b
uktamevÃbhidhÃsyate  Bh_4.13d
uktasya punarÃkhyÃne  Bh_4.15c
uktasyÃrthasya d­«ÂÃnta÷  Bh_5.55a
uktaæ tadabhineyÃrtham  Bh_1.24c
uktaæ «a¬bhi÷ paricchedair  Bh_6.66c
uktÃdanyatra ne«yate  Bh_5.56b
uktÃrthasya prayogo hi  Bh_2.62c
ukto 'nyaistasya vistara÷  Bh_1.24d
ucyate kÃmamastÅdaæ  Bh_2.57a
ucyete saviparyayau  Bh_2.52b
utprek«ÃtiÓayÃnvitÃ  Bh_2.91d
utprek«Ãvayavaæ cÃnye  Bh_3.4a
utprek«Ãvayavo yathÃ  Bh_3.47d
utsava÷ sudhiyÃmeva  Bh_2.20c
udaya÷ patanÃyeti  Bh_3.34c
udÃttaæ ÓaktimÃn rÃmo  Bh_3.11a
udÆ¬haÓiÓirÃsÃrÃn  Bh_4.31a
unnatÃ lokadayitÃ  Bh_3.19a
unmatta iva bhÃ«ate  Bh_1.44b
upakÃrÃya kalpate  Bh_1.45d
upanyasanamanyasya  Bh_2.71a
upamÃderalaækÃrÃd  Bh_2.65c
upamÃnavato 'rthasya  Bh_2.75a
upamÃnÃdhikatvaæ ca  Bh_2.39c
upamÃnena tattvaæ ca  Bh_3.43a
upamÃnena tadbhÃvam  Bh_3.35a
upamÃnena yattattvam  Bh_2.21a
upamÃnena yattattvam  Bh_3.14a
upamÃnopameyatÃ  Bh_3.45b
upamÃnopameyatvaæ  Bh_3.37a
upamÃnopameyayo÷  Bh_3.15d
upamÃrÆpakaæ cÃnyad  Bh_3.3a
upamÃrÆpakaæ yathÃ  Bh_3.35d
upamÃsu prayujyate  Bh_2.43d
upameyasya yatsÃmyaæ  Bh_2.30c
upameyasya rÆpyate  Bh_2.21b
upameyasya sÃdhayan  Bh_3.35b
upameyasya sÃdhyate  Bh_3.14b
upameyopamÃmapi  Bh_3.3b
upameyopamÃæ nÃma  Bh_3.37c
upamotprek«ayoryathÃ  Bh_2.50d
upalapsye svayaæ sÅtÃm  Bh_5.37a
upÃntarÆ¬hopavanac-  Bh_3.26a
upÃsaneti ca yucaæ  Bh_6.50a
upÃsitagurutvÃttvaæ  Bh_4.11a
upeyu«Ãmapi divaæ  Bh_1.6a
upeyu«Ãmapi divaæ  Bh_6.42c
uvÃca ratnÃharaïe  Bh_3.8c
Ærjasvi karïena yathÃ  Bh_3.7a
­«abhÃtpa¤camastasmÃt  Bh_4.33a
ekadeÓavivarti ca  Bh_2.22b
ekadeÓasya vigame  Bh_3.23a
ekarÆpatayÃ Óe«Ã  Bh_2.67c
ekavastunibandhanam  Bh_4.4d
ekasyaiva tryavasthatvÃd  Bh_2.25c
ekÃkinamaraïyÃnyÃæ  Bh_4.44c
ekÃntaÓubhraÓyÃme tu  Bh_2.76c
ekenaivopamÃnena  Bh_2.62a
etattaccocyate yathÃ  Bh_2.22d
etadasti mahat sara÷  Bh_5.48d
etadevÃpare 'nyena  Bh_3.12a
etad grÃhyaæ surabhi kusumaæ grÃmyam etannidheyaæ  Bh_1.59a
ete j¤eyÃ÷ ÓarÃraya÷  Bh_5.53d
elÃtakkolanÃgasphuÂabakulalatÃcandanaspandanÃ¬hyo  Bh_5.68a
evaæ ïica÷ prayogastu  Bh_6.46a
evaæ pÃdÃntayorapi  Bh_2.16b
e«a bhÃti mataÇgaja÷  Bh_2.51b
otprek«ÃbhihitÃ kvacit  Bh_2.88d
kaïabhak«o yathÃ Óabdam  Bh_5.17c
kathanai÷ kaiÓcidaÇkitÃ  Bh_1.27b
kathamanyatarÃsiddha-  Bh_5.23c
kathamÃk«iptacitta÷ sann  Bh_4.13c
kathamekapadenaiva  Bh_5.60a
kathaæcitsvÃbhisandhinÃ  Bh_1.38d
kathaæ dÆtyaæ prapadyerann  Bh_1.43c
kathaæ pÃto 'mbudhÃrÃïÃæ  Bh_2.48a
kathaæ so 'sambhavo mata÷  Bh_2.50b
kathÃpabhraæÓabhÃk tathÃ  Bh_1.28d
kathÃyÃ÷ svabhinÅtatÃ  Bh_3.54b
kadÃcidapyapratibaddhaÓÃsanÃ÷  Bh_2.15b
kandarpadhanu«o dhvani÷  Bh_3.22d
kanyÃharaïasaægrÃma-  Bh_1.27c
kamalÃnÃæ ca saurabhÃt  Bh_5.48f
kamalena vikÃsinÃ  Bh_2.56b
kariïÃæ madavÃribhi÷  Bh_1.57d
karoti dhvanirambhasÃm  Bh_4.16b
kalÃvapi bhavÃniha  Bh_5.57b
kalÃÓÃstrÃÓrayaæ ceti  Bh_1.17c
kalÃ saÇkalanÃ praj¤Ã  Bh_4.32a
kalpanÃdu«Âamityapi  Bh_1.47b
kalpanÃæ nÃmajÃtyÃdi-  Bh_5.6c
kavayo na prayu¤jate  Bh_1.37d
kaverabhiprÃyak­tai÷  Bh_1.27a
ka«Âaæ kiæ nu kathaæ nu tat  Bh_4.46d
kasyacit pratibhÃvata÷  Bh_1.5d
ka÷ kuryÃdupamÃæ k­tÅ  Bh_2.49b
kÃ niÓÃ ÓaÓinÃ vinÃ  Bh_1.4b
kÃntaæ kÃvyamayaæ vapu÷  Bh_1.6d
kÃntÃvilocananyastaæ  Bh_1.55c
kÃntirvÃpyugratÃpi vÃ  Bh_2.64d
kÃnte induÓiroratne  Bh_4.27a
kÃmaæ tathÃstu prÃyeïa  Bh_1.33c
kÃminÃæ prÅtibhi÷ saha  Bh_3.40d
kÃraïaæ cenna tannityaæ  Bh_5.31c
kÃryaæ kÃvyaæ vidhitsatÃ  Bh_6.4b
kÃrya÷ kÃvyakriyÃdara÷  Bh_1.10d
kÃryÃsambhavato yathÃ  Bh_4.15d
kÃryo 'nyatra pratij¤ÃyÃ÷  Bh_5.40a
kÃla÷ «o¬heva bhidyate  Bh_4.30b
kÃlenai«Ã bhavet prÅtis  Bh_3.5e
kÃle pariïataæ bahu  Bh_3.30b
kÃle bhÃvyÃrthaÓaæsi ca  Bh_1.26d
kÃvyaæ kapitthamÃmaæ yat  Bh_5.62c
kÃvyaæ tu jÃyate jÃtu  Bh_1.5c
kÃvyaæ madhurami«yate  Bh_2.3b
kÃvyÃnyapi yadÅmÃni  Bh_2.20a
kÃvyÃlaækÃra itye«a  Bh_1.1c
kÃvye«vapi sumedhasÃm  Bh_5.47d
kÃvye«vabhihitaæ yathÃ  Bh_5.30d
kÃÓÃ haranti h­dayam  Bh_5.53a
kimanyatsadma kalpyate  Bh_6.10d
kimayaæ ÓaÓÅ na sa divÃ virÃjate  Bh_3.44a
kimityayaæ tu ya÷ k«epa÷  Bh_5.47a
kimindriyadvi«Ã j¤eyaæ  Bh_5.46a
kimuktenÃpriyeïa te  Bh_2.69d
kiyadudghaÂÂitaj¤ebhya÷  Bh_3.52c
kiyanta÷ santi guïina÷  Bh_2.36a
kiyanto vÃdhvaÓÃkhina÷  Bh_2.36d
kiyanna harate mana÷  Bh_6.47d
kiæ ca kÃvyÃni neyÃni  Bh_2.45a
kiæciccopamayÃ saha  Bh_2.91b
kiæcidantargatopamÃ  Bh_3.21b
kiæcidÃÓrayasaundaryÃd  Bh_1.55a
kiæcidutprek«ayÃnvita÷  Bh_3.47b
kiæcidvidhitsoryÃ nindÃ  Bh_3.31c
kiæ tayÃ cintayÃ kÃnte  Bh_2.5c
kiæ tayo÷ sad­Óaæ k­tam  Bh_3.32d
kiæ tu strÅpuæsayorayam  Bh_2.57b
kiæ ÓaÂhÃbhimanÃyase  Bh_6.39d
kiæÓukavyapadeÓena  Bh_2.92a
kiæ sÃdhyaæ kiæ ca sÃdhanam  Bh_5.56d
kÅd­ÓÅ vÃgvidagdhatÃ  Bh_1.4d
kÅrterapi karoti tat  Bh_5.61d
kukavitvaæ puna÷ sÃk«Ãn  Bh_1.12c
kurvanti kÃvyamapare  Bh_5.67c
kurvÅta ÓaÓalak«maïa÷  Bh_2.49d
kulÃkulagalo bala÷  Bh_2.6d
kusumÃyudho na dhanurasya kausumam  Bh_3.44b
kÆjanÃtkurarÅïÃæ ca  Bh_5.48e
k­cchreïa punarunnati÷  Bh_1.51d
k­tÃgasÃæ mÃrgabhidÃæ ca ÓÃsanÃ÷  Bh_2.15c
k­tÃtmanÃæ tattvad­ÓÃæ ca mÃd­Óo  Bh_4.50c
k­tÃrtho 'nyanirÃk­tau  Bh_6.17b
k­tvÃ kleÓÃntaæ yÃti vartma praÓÃntam  Bh_2.12b
k­tvÃ tadvidupÃsanam  Bh_1.10b
k­tvÃ pratij¤Ãæ vatsena  Bh_5.38c
k­tvÃ sandhÃæ ÓakuninÃ  Bh_5.42c
k­tsnaæ ca sarvapÃde«u  Bh_2.16c
kekÃ vineÓu÷ ÓikhinÃæ mukhe«u  Bh_2.46d
kecidojo 'bhidhitsanta÷  Bh_2.2a
kecidvistarabhÅrava÷  Bh_5.60d
kevalaæ ÓrutipeÓalam  Bh_1.34d
kevalÃvarthasiddhaye  Bh_5.48b
ke ÓabdÃ÷ kiæ ca tadvÃcyam  Bh_6.20c
ke«ÃæcittÃd­Óaæ yathÃ  Bh_5.62d
ko nÃma vahninaupamyaæ  Bh_2.49c
ko nirÃkriyate 'ribhi÷  Bh_5.46b
ko 'laÇkÃro 'nayÃ vinÃ  Bh_2.85d
ko vak«yatÅti virato 'hamato vicÃrÃt  Bh_6.62b
ko vÃ gatvaramarthibhyo  Bh_5.46c
ko vÃ heturalaæ sindhor  Bh_2.70c
ko hantiæ gativÃcinam  Bh_6.24d
ktinnantaæ ca prayu¤jÅta  Bh_6.49a
kramav­tti«u varïe«u  Bh_4.5a
kramaÓo yo 'nunirdeÓo  Bh_2.89c
kramÃgataæ Órutisukhaæ  Bh_6.28a
kriyate cÃbhidhÃ yathÃ  Bh_3.21d
kriyate tena kÃ rati÷  Bh_6.4d
kriyayaiva viÓi«Âasya  Bh_3.33a
kriyÃyÃ÷ prati«edhe yÃ  Bh_2.77a
krÅ¬ÃyÃæ vik­taæ ca tat  Bh_1.40d
kli«Âaæ vyavahitaæ vidyÃd  Bh_1.40a
klÅbasyevÃstrakauÓalam  Bh_1.3b
kva kÃntÃnanamadyuti  Bh_2.44b
kvacit saæ]yoginaæ vadet  Bh_6.60b
kvacidagre prasaratÃ  Bh_2.54a
kvacidÃpatya nighnatÃ  Bh_2.54b
kva viÓe«a÷ kutaÓca sa÷  Bh_5.7d
k«aïamapyutsukÃ tata÷  Bh_2.69b
khyÃpyate yena d­«ÂÃnta÷  Bh_5.27c
gajÃnÃæ madabindubhi÷  Bh_4.36b
gaï¬amapyapare kila  Bh_1.53d
gaï¬a÷ sÃdhu yathoditam  Bh_1.56d
gatÃnugatikanyÃyÃn  Bh_1.32c
gate 'staæ prati bhÃsvati  Bh_3.48b
gato yÃto hato yathÃ  Bh_6.61b
gato 'stamarko bhÃtÅndur  Bh_2.87a
gadyaæ padyaæ ca taddvidhÃ  Bh_1.16b
gadyena yuktodÃttÃrthÃ  Bh_1.25c
garÅyÃneva hi gurÆn  Bh_2.74c
gÃ¬hÃliÇganahetava÷  Bh_3.40b
gÃmbhÅryalÃvaïyavator  Bh_3.50a
gÃ vÃrayati daï¬ena  Bh_2.94c
girÃmalaÇkÃravidhirvidhÃsyate  Bh_2.96d
girÃmalaÇkÃravidhi÷ savistara÷  Bh_3.58a
giriæ krau¤caæ bh­gÆttama÷  Bh_3.32b
guïakriyÃbhyÃæ nÃmnÃ ca  Bh_3.14c
guïaleÓena sopamÃ  Bh_2.30d
guïasÃmyapratÅtita÷  Bh_2.34d
guïasÃmyavivak«ayÃ  Bh_3.27b
guïasya vÃ kriyÃyÃ vÃ  Bh_3.25a
guïÃtiÓayayogata÷  Bh_2.84b
guïÃnÃæ samatÃæ d­«ÂvÃ  Bh_2.21c
guïo 'tra vyatiricyate  Bh_2.35b
gurutaradhiyÃmasvÃrÃdhaæ mano 'k­tabuddhibhi÷  Bh_5.69d
gurubhi÷ kiæ vivÃdena  Bh_4.7c
