Bhamaha: Kavyalamkara
Based on: Kàvyàlaïkàra of Bhàmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akaveþ ÷àstravedanam  Bh_1.3d
anupràsaü pracakùate  Bh_2.5b
anupràsaþ sayamako  Bh_2.4a
anumànaü ca kecana  Bh_5.11b
anena vàgarthavidàmalaïkçtà  Bh_3.58c
antaràle srajàmiva  Bh_1.54d
antareõa dvijanmanà  Bh_4.49b
antaryodha÷atàkãrõaü  Bh_4.40a
andakrãóàgçhaü yathà  Bh_3.13b
anyatve 'pi pratikùaõam  Bh_4.5d
anyathà ghañavij¤ànam  Bh_5.10c
anyathaivàvagacchati  Bh_4.34b
anyadharmo 'pi tatsiddhiü  Bh_5.49a
anyavidyàkareõubhiþ  Bh_6.2d
anyasàrasvatà nàma  Bh_6.6c
anyasvapi kalàsvevam  Bh_4.34c
anyaü vya¤janacàrutà  Bh_6.28d
anyàpoha÷ca nàmànya-  Bh_6.16c
anyàpohena vastunaþ  Bh_3.41b
anyàpohena ÷abdo 'rtham  Bh_6.16a
anyàrthaü vigame yathà  Bh_1.40b
anyena vyapadi÷yate  Bh_5.10d
anye ÷abdàrthabhedataþ  Bh_4.12d
anyeùàmapi kartavyà  Bh_3.52a
anyaiþ svacaritaü tasyàü  Bh_1.29a
anyotkarùàbhidhitsayà  Bh_1.22d
anyo 'pyasàveka iva  Bh_5.24c
anvamãyanta bhçïgàli-  Bh_2.82c
anvayavyatirekàbhyàü  Bh_5.50c
anvayavyatirekau hi  Bh_5.48a
apabhraü÷a iti tridhà  Bh_1.16d
aparaü vakùyate nyàya-  Bh_5.30a
aparyantàrthavartinàm  Bh_6.22b
apavàdavidhij¤àne  Bh_6.18c
apavçttau raveriha  Bh_5.51d
apahnutirabhãùñà ca  Bh_3.21a
apahnutiü vi÷eùoktaü  Bh_3.2a
apàmabhyarõavartitvàd  Bh_5.53c
apàrthamityapetàrthaü  Bh_4.3a
apàrthaü vyarthamekàrthaü  Bh_4.1a
apàü yadi tvakchithilà  Bh_2.83a
api và nopadi÷yate  Bh_4.28b
apãtamattàþ ÷ikhino  Bh_2.78a
apuùñàrthamavaktrokti  Bh_1.34a
apçthakkçtasàdhyo 'pi  Bh_5.50a
apetaü yattayà yathà  Bh_4.38d
apratiùñhaü yadatreti  Bh_4.17c
aprastutapra÷aüsàü ca  Bh_3.2c
aprastutapra÷aüseti  Bh_3.29c
abhàryoóhena saüskàram  Bh_4.49a
abhijàtaþ kathaü janaþ  Bh_1.29d
abhidheyà virodhità  Bh_4.34d
abhidheyaiþ parasparam  Bh_2.17b
abhinnalakùaõaþ pakùaþ  Bh_5.22c
abhipràyàtkavernàtra  Bh_2.60c
abhyadhàccàra÷ånyatàm  Bh_4.39d
abhyastàjjheradàde÷e  Bh_6.58a
abhyasteùu prayoktavyam  Bh_6.59a
abhyupetàn gurånapi  Bh_2.74b
abhyupaiti yathocyate  Bh_5.45d
abhyåhyamanayà di÷à  Bh_2.95d
abhraùñakaluùaü jalam  Bh_2.78d
amidbhiþ ÷ubhradçgdçùñair  Bh_1.46c
amã kusumasaurabhàt  Bh_5.53b
amã nçpà dattasamagra÷àsanàþ  Bh_2.15a
amuü vyàkaraõàrõavam  Bh_6.3b
amåni kurvate 'nvarthàm  Bh_2.26a
amedhobhirasåyitam  Bh_6.2b
ambhojamiva vaktraü te  Bh_3.38c
ayamarthàntaranyàsaþ  Bh_2.73c
ayamàkçùyamàõasya  Bh_3.22c
ayaü padmàsanàsãna÷  Bh_2.55a
ayaü mandadyutirbhàsvàn  Bh_3.34a
ayaü hi madhyamagràmo  Bh_4.33c
ayuktimad yathà dåtà  Bh_1.42a
arthaj¤ànaphalàþ ÷abdà  Bh_6.18a
arthaduùñaü punarj¤eyaü  Bh_1.50a
arthapratãtaye gãtaþ  Bh_6.8c
arthavàn varõasaüghàtaþ  Bh_4.3c
arthasya tadavasthatvaü  Bh_2.93c
arthàdeveti råpàdes  Bh_5.10a
arthànàmasadharmaõàm  Bh_2.89b
arthàntaranyàsavatã  Bh_3.41c
arthyaü nyàyyamanàkulam  Bh_1.35b
alaïkàratayà matà  Bh_3.55b
alaïkàratayà yathà  Bh_2.81d
alaïkàradvayaü viduþ  Bh_2.88b
alaükariùõunà vaü÷aü  Bh_4.48c
alaü kartumayaü janam  Bh_6.3d
alaükàravadagràmyam  Bh_1.35a
alaükàraü sumedhasaþ  Bh_3.4d
alaükàràya kalpate  Bh_5.66d
avagamya svadhiyà ca kàvyalakùma  Bh_6.64b
avalokya matàni satkavãnàm  Bh_6.64a
avastukaü cedvitathaü  Bh_5.8c
avàcakamayuktimat  Bh_1.37b
avàco 'vyaktavàca÷ca  Bh_1.43a
avàdãdviduro yathà  Bh_3.5b
avigàhyo 'si nàrãõàm  Bh_2.53a
avivakùitasàmànyà  Bh_2.91a
asantamapi yadvàkyaü  Bh_6.41a
asabhyavastuviùayà  Bh_1.50c
asambhavàdayaü yuktyà  Bh_2.48c
asaügçhãtamapyanyad  Bh_2.95c
asàdç÷yavivakùàtas  Bh_3.45c
asàdhàraõasàmànya-  Bh_5.5c
asitartitugadricchit  Bh_1.46a
asisaükà÷amàkà÷aü  Bh_5.34a
asau dadhadalaükàraü  Bh_6.59c
asau ÷uklàntanetratvàc  Bh_5.54a
astaü prati yiyàsati  Bh_3.34b
astyàtmà prakçtirveti  Bh_5.15a
asmi¤ jahãhi suhçdi praõayàbhyasåyàm  Bh_3.56a
asya ca kriyate bhidà  Bh_3.17b
asyanto vividhànyàjàv  Bh_4.44a
asyàkhyàmarthadãpanàt  Bh_2.26b
asyàü suvarõàlaükàraþ  Bh_6.30c
ahaü tvàü yadi nekùeya  Bh_2.69a
ahighnapadmasya jalàridhàmnas  Bh_5.63c
ahçdyamasunirbhedaü  Bh_5.62a
aho nu mandimà teùàü  Bh_4.41c
aho bhàro mahàn kaveþ  Bh_5.4d
aho sthemà mahàrciùaþ  Bh_5.34d
aü÷umadbhi÷ca maõibhiþ  Bh_5.64a
àkumàramasandigdha-  Bh_5.19a
àkro÷annàhvayannanyàn  Bh_2.94a
àkùikaþ ÷àstriko yathà  Bh_6.52d
àkùepa iti taü santaþ  Bh_2.68c
àkùepo 'rthàntaranyàso  Bh_2.66a
àgamàstattvadar÷inaþ  Bh_5.33d
àgamo dharma÷àstràõi  Bh_4.47a
àcakùãtàvina÷varam  Bh_5.17d
àdadhàne udaü÷unã  Bh_4.27b
àdimadhyàntayamakaü  Bh_2.9a
àdimadhyàntaviùayaü  Bh_2.25a
àdau madhyàntayorvà syàd  Bh_2.10c
àdhàvanmaõóalai rudan  Bh_2.94b
àdhikyamupamànànàü  Bh_2.61a
àdhikyaü kila na hyayam  Bh_2.59b
ànandajairnayanavàribhirukùatu tvàm  Bh_3.56d
àpagevottitãrùataþ  Bh_2.53d
àpàõóugaõóametatte  Bh_1.56a
àmantaü ca vadet kvipi  Bh_6.40b
àyudhànyaparàdhinam  Bh_4.44b
àvidvadaïganàbàla-  Bh_2.3c
àvibhàti mude satàm  Bh_6.5b
à÷ãrapi ca keùàücid  Bh_3.55a
à÷rayo na÷yatãti ca  Bh_5.35b
à÷liùya gàóhamamumànatamàdareõa  Bh_3.56b
àsta eva niràtaïkaü  Bh_1.6c
àhaturvyatirekiõoþ  Bh_2.31b
àhariùyàmyamåmadya  Bh_5.38a
àhåto na nivarte 'haü  Bh_5.42a
àhetyanye pracakùate  Bh_6.16b
icchantyacchàndasaü kila  Bh_6.42b
iti kecit pracakùate  Bh_2.93b
iti tadbhidyate tridhà  Bh_2.25d
iti dvayaikànugati-  Bh_5.25c
iti dharmavirodhinã  Bh_5.41d
iti nigaditàstàstà vàcàmalaïkçtayo mayà  Bh_5.69a
iti nirdi÷yate yathà  Bh_4.24d
iti pa¤caiva tadyathà  Bh_2.10d
iti prayu¤jate santaþ  Bh_5.60c
iti prayogasya yathà  Bh_5.57a
iti pràhurvisandhyadaþ  Bh_4.27d
iti bhartçnide÷ataþ  Bh_5.37b
iti yuktyà na yujyate  Bh_1.43d
iti vàcàmalaükàràþ  Bh_2.4c
iti vismayàdvimç÷ato 'pi me matis  Bh_3.44c
iti sàdhàritaü mohàd  Bh_4.34a
itihàsà÷rayàþ kathàþ  Bh_1.9b
ityatra meghakariõàü  Bh_3.16c
ityanta ãdç÷à varõà  Bh_6.13a
ityaho vartma dustaram  Bh_6.20d
ityàkhyàtamapakramam  Bh_4.20d
ityukta upamàbhedo  Bh_2.65a
ityuktà tulyayogità  Bh_3.27d
ityetat pa¤cadhocyate  Bh_2.9d
ityevamàdi kiü kàvyaü  Bh_2.87c
ityevamàdirudità  Bh_2.84a
ityevaü vastupa¤cakam  Bh_6.66b
idamaskhalitaü vratam  Bh_3.42d
idaü tu ÷àstragarbheùu  Bh_5.30c
inacca phalabarhàbhyàü  Bh_6.56c
iniþ prayuktaþ pràyeõa  Bh_6.57a
indãvaràbhanayanaü  Bh_3.46c
ibhakumbhanibhe bàlà  Bh_6.43a
iyattà kena vàmãùàü  Bh_6.22c
iyadevàstvato 'nyena  Bh_2.69c
iyaü candramukhã kanyà  Bh_6.30a
iùñakàryàbhyupagamaü  Bh_5.35c
iùñaü càti÷ayàrthatvam  Bh_2.50c
iùñaü ni÷citaye vàkyaü  Bh_4.18c
iùñaþ prayogo yugapad  Bh_3.15c
iùñà vàcàmalaükçtiþ  Bh_1.36d
iùñyà ya÷copapàditaþ  Bh_6.29b
ihecchantyapare yathà  Bh_2.8b
ãdçgarthàbhidhàyinaþ  Bh_6.13b
uktamevàbhidhàsyate  Bh_4.13d
uktasya punaràkhyàne  Bh_4.15c
uktasyàrthasya dçùñàntaþ  Bh_5.55a
uktaü tadabhineyàrtham  Bh_1.24c
uktaü ùaóbhiþ paricchedair  Bh_6.66c
uktàdanyatra neùyate  Bh_5.56b
uktàrthasya prayogo hi  Bh_2.62c
ukto 'nyaistasya vistaraþ  Bh_1.24d
ucyate kàmamastãdaü  Bh_2.57a
ucyete saviparyayau  Bh_2.52b
utprekùàti÷ayànvità  Bh_2.91d
utprekùàvayavaü cànye  Bh_3.4a
utprekùàvayavo yathà  Bh_3.47d
utsavaþ sudhiyàmeva  Bh_2.20c
udayaþ patanàyeti  Bh_3.34c
udàttaü ÷aktimàn ràmo  Bh_3.11a
udåóha÷i÷iràsàràn  Bh_4.31a
unnatà lokadayità  Bh_3.19a
unmatta iva bhàùate  Bh_1.44b
upakàràya kalpate  Bh_1.45d
upanyasanamanyasya  Bh_2.71a
upamàderalaükàràd  Bh_2.65c
upamànavato 'rthasya  Bh_2.75a
upamànàdhikatvaü ca  Bh_2.39c
upamànena tattvaü ca  Bh_3.43a
upamànena tadbhàvam  Bh_3.35a
upamànena yattattvam  Bh_2.21a
upamànena yattattvam  Bh_3.14a
upamànopameyatà  Bh_3.45b
upamànopameyatvaü  Bh_3.37a
upamànopameyayoþ  Bh_3.15d
upamàråpakaü cànyad  Bh_3.3a
upamàråpakaü yathà  Bh_3.35d
upamàsu prayujyate  Bh_2.43d
upameyasya yatsàmyaü  Bh_2.30c
upameyasya råpyate  Bh_2.21b
upameyasya sàdhayan  Bh_3.35b
upameyasya sàdhyate  Bh_3.14b
upameyopamàmapi  Bh_3.3b
upameyopamàü nàma  Bh_3.37c
upamotprekùayoryathà  Bh_2.50d
upalapsye svayaü sãtàm  Bh_5.37a
upàntaråóhopavanac-  Bh_3.26a
upàsaneti ca yucaü  Bh_6.50a
upàsitagurutvàttvaü  Bh_4.11a
upeyuùàmapi divaü  Bh_1.6a
upeyuùàmapi divaü  Bh_6.42c
uvàca ratnàharaõe  Bh_3.8c
årjasvi karõena yathà  Bh_3.7a
çùabhàtpa¤camastasmàt  Bh_4.33a
ekade÷avivarti ca  Bh_2.22b
ekade÷asya vigame  Bh_3.23a
ekaråpatayà ÷eùà  Bh_2.67c
ekavastunibandhanam  Bh_4.4d
ekasyaiva tryavasthatvàd  Bh_2.25c
ekàkinamaraõyànyàü  Bh_4.44c
ekànta÷ubhra÷yàme tu  Bh_2.76c
ekenaivopamànena  Bh_2.62a
etattaccocyate yathà  Bh_2.22d
etadasti mahat saraþ  Bh_5.48d
etadevàpare 'nyena  Bh_3.12a
etad gràhyaü surabhi kusumaü gràmyam etannidheyaü  Bh_1.59a
ete j¤eyàþ ÷aràrayaþ  Bh_5.53d
elàtakkolanàgasphuñabakulalatàcandanaspandanàóhyo  Bh_5.68a
evaü õicaþ prayogastu  Bh_6.46a
evaü pàdàntayorapi  Bh_2.16b
eùa bhàti mataïgajaþ  Bh_2.51b
otprekùàbhihità kvacit  Bh_2.88d
kaõabhakùo yathà ÷abdam  Bh_5.17c
kathanaiþ kai÷cidaïkità  Bh_1.27b
kathamanyataràsiddha-  Bh_5.23c
kathamàkùiptacittaþ sann  Bh_4.13c
kathamekapadenaiva  Bh_5.60a
kathaücitsvàbhisandhinà  Bh_1.38d
kathaü dåtyaü prapadyerann  Bh_1.43c
kathaü pàto 'mbudhàràõàü  Bh_2.48a
kathaü so 'sambhavo mataþ  Bh_2.50b
kathàpabhraü÷abhàk tathà  Bh_1.28d
kathàyàþ svabhinãtatà  Bh_3.54b
kadàcidapyapratibaddha÷àsanàþ  Bh_2.15b
kandarpadhanuùo dhvaniþ  Bh_3.22d
kanyàharaõasaügràma-  Bh_1.27c
kamalànàü ca saurabhàt  Bh_5.48f
kamalena vikàsinà  Bh_2.56b
kariõàü madavàribhiþ  Bh_1.57d
karoti dhvanirambhasàm  Bh_4.16b
kalàvapi bhavàniha  Bh_5.57b
kalà÷àstrà÷rayaü ceti  Bh_1.17c
kalà saïkalanà praj¤à  Bh_4.32a
kalpanàduùñamityapi  Bh_1.47b
kalpanàü nàmajàtyàdi-  Bh_5.6c
kavayo na prayu¤jate  Bh_1.37d
kaverabhipràyakçtaiþ  Bh_1.27a
kaùñaü kiü nu kathaü nu tat  Bh_4.46d
kasyacit pratibhàvataþ  Bh_1.5d
kaþ kuryàdupamàü kçtã  Bh_2.49b
kà ni÷à ÷a÷inà vinà  Bh_1.4b
kàntaü kàvyamayaü vapuþ  Bh_1.6d
kàntàvilocananyastaü  Bh_1.55c
kàntirvàpyugratàpi và  Bh_2.64d
kànte indu÷iroratne  Bh_4.27a
kàmaü tathàstu pràyeõa  Bh_1.33c
kàminàü prãtibhiþ saha  Bh_3.40d
kàraõaü cenna tannityaü  Bh_5.31c
kàryaü kàvyaü vidhitsatà  Bh_6.4b
kàryaþ kàvyakriyàdaraþ  Bh_1.10d
kàryàsambhavato yathà  Bh_4.15d
kàryo 'nyatra pratij¤àyàþ  Bh_5.40a
kàlaþ ùoóheva bhidyate  Bh_4.30b
kàlenaiùà bhavet prãtis  Bh_3.5e
kàle pariõataü bahu  Bh_3.30b
kàle bhàvyàrtha÷aüsi ca  Bh_1.26d
kàvyaü kapitthamàmaü yat  Bh_5.62c
kàvyaü tu jàyate jàtu  Bh_1.5c
kàvyaü madhuramiùyate  Bh_2.3b
kàvyànyapi yadãmàni  Bh_2.20a
kàvyàlaükàra ityeùa  Bh_1.1c
kàvyeùvapi sumedhasàm  Bh_5.47d
kàvyeùvabhihitaü yathà  Bh_5.30d
kà÷à haranti hçdayam  Bh_5.53a
kimanyatsadma kalpyate  Bh_6.10d
kimayaü ÷a÷ã na sa divà viràjate  Bh_3.44a
kimityayaü tu yaþ kùepaþ  Bh_5.47a
kimindriyadviùà j¤eyaü  Bh_5.46a
kimuktenàpriyeõa te  Bh_2.69d
kiyadudghaññitaj¤ebhyaþ  Bh_3.52c
kiyantaþ santi guõinaþ  Bh_2.36a
kiyanto vàdhva÷àkhinaþ  Bh_2.36d
kiyanna harate manaþ  Bh_6.47d
kiü ca kàvyàni neyàni  Bh_2.45a
kiüciccopamayà saha  Bh_2.91b
kiücidantargatopamà  Bh_3.21b
kiücidà÷rayasaundaryàd  Bh_1.55a
kiücidutprekùayànvitaþ  Bh_3.47b
kiücidvidhitsoryà nindà  Bh_3.31c
kiü tayà cintayà kànte  Bh_2.5c
kiü tayoþ sadç÷aü kçtam  Bh_3.32d
kiü tu strãpuüsayorayam  Bh_2.57b
kiü ÷añhàbhimanàyase  Bh_6.39d
kiü÷ukavyapade÷ena  Bh_2.92a
kiü sàdhyaü kiü ca sàdhanam  Bh_5.56d
kãdç÷ã vàgvidagdhatà  Bh_1.4d
kãrterapi karoti tat  Bh_5.61d
kukavitvaü punaþ sàkùàn  Bh_1.12c
kurvanti kàvyamapare  Bh_5.67c
kurvãta ÷a÷alakùmaõaþ  Bh_2.49d
kulàkulagalo balaþ  Bh_2.6d
kusumàyudho na dhanurasya kausumam  Bh_3.44b
kåjanàtkurarãõàü ca  Bh_5.48e
kçcchreõa punarunnatiþ  Bh_1.51d
kçtàgasàü màrgabhidàü ca ÷àsanàþ  Bh_2.15c
kçtàtmanàü tattvadç÷àü ca màdç÷o  Bh_4.50c
kçtàrtho 'nyaniràkçtau  Bh_6.17b
kçtvà kle÷àntaü yàti vartma pra÷àntam  Bh_2.12b
kçtvà tadvidupàsanam  Bh_1.10b
kçtvà pratij¤àü vatsena  Bh_5.38c
kçtvà sandhàü ÷akuninà  Bh_5.42c
kçtsnaü ca sarvapàdeùu  Bh_2.16c
kekà vine÷uþ ÷ikhinàü mukheùu  Bh_2.46d
kecidojo 'bhidhitsantaþ  Bh_2.2a
kecidvistarabhãravaþ  Bh_5.60d
kevalaü ÷rutipe÷alam  Bh_1.34d
kevalàvarthasiddhaye  Bh_5.48b
ke ÷abdàþ kiü ca tadvàcyam  Bh_6.20c
keùàücittàdç÷aü yathà  Bh_5.62d
ko nàma vahninaupamyaü  Bh_2.49c
ko niràkriyate 'ribhiþ  Bh_5.46b
ko 'laïkàro 'nayà vinà  Bh_2.85d
ko vakùyatãti virato 'hamato vicàràt  Bh_6.62b
ko và gatvaramarthibhyo  Bh_5.46c
ko và heturalaü sindhor  Bh_2.70c
ko hantiü gativàcinam  Bh_6.24d
ktinnantaü ca prayu¤jãta  Bh_6.49a
kramavçttiùu varõeùu  Bh_4.5a
krama÷o yo 'nunirde÷o  Bh_2.89c
kramàgataü ÷rutisukhaü  Bh_6.28a
kriyate càbhidhà yathà  Bh_3.21d
kriyate tena kà ratiþ  Bh_6.4d
kriyayaiva vi÷iùñasya  Bh_3.33a
kriyàyàþ pratiùedhe yà  Bh_2.77a
krãóàyàü vikçtaü ca tat  Bh_1.40d
kliùñaü vyavahitaü vidyàd  Bh_1.40a
klãbasyevàstrakau÷alam  Bh_1.3b
kva kàntànanamadyuti  Bh_2.44b
kvacit saü]yoginaü vadet  Bh_6.60b
kvacidagre prasaratà  Bh_2.54a
kvacidàpatya nighnatà  Bh_2.54b
kva vi÷eùaþ kuta÷ca saþ  Bh_5.7d
kùaõamapyutsukà tataþ  Bh_2.69b
khyàpyate yena dçùñàntaþ  Bh_5.27c
gajànàü madabindubhiþ  Bh_4.36b
gaõóamapyapare kila  Bh_1.53d
gaõóaþ sàdhu yathoditam  Bh_1.56d
gatànugatikanyàyàn  Bh_1.32c
gate 'staü prati bhàsvati  Bh_3.48b
gato yàto hato yathà  Bh_6.61b
gato 'stamarko bhàtãndur  Bh_2.87a
gadyaü padyaü ca taddvidhà  Bh_1.16b
gadyena yuktodàttàrthà  Bh_1.25c
garãyàneva hi gurån  Bh_2.74c
gàóhàliïganahetavaþ  Bh_3.40b
gàmbhãryalàvaõyavator  Bh_3.50a
gà vàrayati daõóena  Bh_2.94c
giràmalaïkàravidhirvidhàsyate  Bh_2.96d
giràmalaïkàravidhiþ savistaraþ  Bh_3.58a
giriü krau¤caü bhçgåttamaþ  Bh_3.32b
guõakriyàbhyàü nàmnà ca  Bh_3.14c
guõale÷ena sopamà  Bh_2.30d
guõasàmyapratãtitaþ  Bh_2.34d
guõasàmyavivakùayà  Bh_3.27b
guõasya và kriyàyà và  Bh_3.25a
guõàti÷ayayogataþ  Bh_2.84b
guõànàü samatàü dçùñvà  Bh_2.21c
guõo 'tra vyatiricyate  Bh_2.35b
gurutaradhiyàmasvàràdhaü mano 'kçtabuddhibhiþ  Bh_5.69d
gurubhiþ kiü vivàdena  Bh_4.7c
gurumarthaü na puùyati  Bh_2.62d
guruvaccànu÷àsti naþ  Bh_2.33d
guruvàkyànurodhakaþ  Bh_3.11b
guråpade÷àdadhyetuü  Bh_1.5a
gurorlagho÷ca varõasya  Bh_4.25a
gurau sati jigãùuõà  Bh_4.48d
gåóha÷abdàbhidhànaü ca  Bh_1.37c
gåóha÷abdàbhidhànaü ca  Bh_1.45a
gçheùvadhvasu và nànnaü  Bh_3.9a
gokùãrakundahalinàü  Bh_2.61c
go÷abda÷ravaõàdbhavet  Bh_6.19b
gauóãyamapi sàdhãyo  Bh_1.35c
gauóãyamidametattu  Bh_1.32a
grathitaü rakrilagomisånunedam  Bh_6.64d
grahairapi gajàdãnàü  Bh_2.64a
gràmyaü na piõóã÷åràdiü  Bh_6.25c
gràmyànupràsamanyattu  Bh_2.6a
gràhyagràhakabhedena  Bh_5.9a
ghanàghanà nãlaghanà ghanàlakàü  Bh_2.14c
ghanà¤chabalayantyamåþ  Bh_6.44d
ghanàn pa÷ya divo 'bhitaþ  Bh_4.23d
cakàra jànudadhnàpàn  Bh_4.37c
cakora iti gçhyatàm  Bh_5.54b
cakravàka÷ukàdayaþ  Bh_1.42d
cakravàko viràjate  Bh_2.55b
cakre sà kàmabàdhinã  Bh_5.43d
caturdhà bhidyate punaþ  Bh_1.17d
caturvargàbhidhàne 'pi  Bh_1.21a
candrabhàsà tirohitàþ  Bh_2.82b
candra÷candramukhoditaþ  Bh_2.8d
carmaõà nirmitasya ca  Bh_4.46b
calantãü bibhçtha kùitim  Bh_3.28d
càõakyo naktamupayànn  Bh_3.13a
càroþ kà vàstyalaïkçtiþ  Bh_3.51d
citraü yanna tavoddhatiþ  Bh_2.70b
citrodàttàdbhutàrthatvaü  Bh_3.54a
cãrãmavatãraraõyànãþ  Bh_2.29a
cåtàþ kànana÷obhinaþ  Bh_4.31d
cetaþsammohakàriõam  Bh_6.24b
caidyaü ÷àrïgadhanuryathà  Bh_3.8d
cyutà syàt phaõinàmiva  Bh_2.83b
chandovaditi cotsargàn  Bh_6.27c
cha÷inaivopamãyate  Bh_2.44d
chàyàvanto gatavyàlàþ  Bh_3.18a
chàyà÷ãtàpi dhårasau  Bh_3.26b
chinnavàntapravçttayaþ  Bh_1.48b
chirorcitàüghreþ pçthukãrtidhiùõya  Bh_5.63b
jaganti kusumàyudhaþ  Bh_3.24b
janako gavi gobuddher  Bh_6.17c
jano 'bhisandhiü ka ivàvabhotsyate  Bh_4.50d
