Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandrÃloka_mayÆkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akrama÷ k­«ïa pÆjyante  JCand_2.27c
kiæ kiæ nÃsÃdi sundaram  JCand_5.66b
kiæcÃnyasmÃc catu«ÂayÃt  JCand_9.9d
kiæ tu cak«ur m­gÃk«ÅïÃæ  JCand_1.5c
kiæ tu prak­tikomalÃ÷  JCand_5.58d
kiæ padmena kimindunÃ  JCand_5.99d
kÅrti÷ pratyarthibhi÷ saha  JCand_5.59d
kÅrtyate tulyatoktaye  JCand_3.8b
kuÇkumaæ kÃntisaæpade  JCand_6.20d
kuÇkumÃktaæ stanadvandvaæ  JCand_8.6c
kuÂilÃ saralÃ kvacit  JCand_7.1d
kuÂilÃ÷ ÓyÃmalÃ dÅrghÃ  JCand_5.64c
kuï¬alacchavivigrahÃ  JCand_2.36b
kutastatropamÃ yatra  JCand_2.31c
kuntÃ viÓanti gaÇgÃyÃæ  JCand_9.13c
kuraÇgair uttaraÇgÃk«i  JCand_5.111c
kuru tvaæ vÅtarÃgatÃm  JCand_5.95d
kusandhi÷ paÂav Ãgaccha  JCand_2.16c
kecid Ãhur manÅ«iïa÷  JCand_5.117d
ketakÅ Óekhare Óambhor  JCand_2.35c
kelikautukavÃnarÅ  JCand_2.5d
kaitavÃpahnutir vyakte  JCand_5.28a
kokasÃd­Óyavan matam  JCand_8.6b
ko veda gopaÓiÓuka÷  JCand_5.75c
kaunteyÃdisvarÆpiïa÷  JCand_1.11d
kramÃdekaikamanvitÃ÷  JCand_5.91b
kriyÃdibhir anekasya  JCand_5.51a
krÅ¬Ãn­tye«u sasmitam  JCand_2.22b
krodhasthÃyÅ raso raudro  JCand_6.8a
kli«Âam artho yadÅyo 'rtha-  JCand_2.12a
kvacic cÃrutarasyÃgre  JCand_8.2c
kvacit prakaraïÃdinÃ  JCand_7.17b
kvacid arthasvabhÃvata÷  JCand_8.2b
kvÃtitÅvravi«Ã÷ sarpÃ÷  JCand_5.79c
kvÃsau candanabhÆruha÷  JCand_5.79d
k«amÃdikÃnubhÃvo 'yaæ  JCand_6.13c
k«ÅranÅradhir ÃkÃÓa-  JCand_1.13a
k«ÅrÃmbhodhir agÃdhatÃm upadadhat sevya÷ samÃÓrÅyatÃm  JCand_1.3b
k«mÃdikaæ khatalÃdivat  JCand_2.7d
kha¬gabandhÃdi lak«yate  JCand_5.9b
khaï¬avÃkyaæ sa i«yate  JCand_1.14b
khaï¬aÓle«a÷ padÃnÃæ ced  JCand_5.62a
khyÃtir ak«arasaæhati÷  JCand_3.1b
gate 'pi sÆrye dÅpasthÃs  JCand_5.84c
gambhÅrÃrambhadambholi-  JCand_2.20c
gamyaæ vÅtÃnumÃdivat  JCand_2.9d
garjitaæ taj jitaæ jitam  JCand_5.4d
garbhitaæ bhÆmibhÆ«aïa  JCand_2.26b
garvo vi«Ãda autsukyaæ  JCand_6.16c
galadvedyÃntarodbhedo  JCand_6.2a
gallÃdi grÃmyam ucyate  JCand_2.10d
gÃtramaÇkuritaæ satÃm  JCand_4.5d
guïakÅrtyÃ ni«idhyate  JCand_3.2b
guïado«Ãk«amaæ yadi  JCand_5.106b
guïadravyakriyÃdi«u  JCand_5.73b
gumpha÷ kÃraïamÃlÃ syÃd  JCand_5.86a
gÆ¬hÃk«epo vidhau vyakte  JCand_5.72a
gÆ¬hotprek«Ãæ pracak«ate  JCand_5.30b
g­hÅtamuktarÅtyartha-  JCand_5.87a
gau¬ÅyÃ ca yathÃrasam  JCand_6.22b
gauïaÓuddhe p­thak p­thak  JCand_9.10d
gauïaæ sÃdhyavasÃnaæ syÃd  JCand_9.11c
gauïaæ sÃropam uddi«Âam  JCand_9.11a
gaur jagajjÃgradutsekÃ  JCand_5.2c
gaur nÅla÷ pÃcako daï¬Å  JCand_10.3a
grÃmyatvaæ guïatÃæ gatam  JCand_2.42d
glÃnim eti saroruham  JCand_8.8d
ghaÂamÃnatvavarïanam  JCand_4.1b
ghanÃÂope mahÅyasi  JCand_6.28d
gho«o nivasatÅti ca  JCand_9.13d
-ÇkurabÅjatayÃ sthitÃ  JCand_9.16d
cakra÷ kÃntÃæ vilokate  JCand_8.9d
ca¤calaæ locanÃ¤calam  JCand_4.6d
catasro rÅtaya÷ sm­tÃ÷  JCand_6.22d
caturïÃæ puru«ÃrthÃnÃæ  JCand_5.40c
caturthas tenÃsau sukavijayadevena racite  JCand_4.13c
caturtha÷ saikoyam sukavijayadevena racite  JCand_5.125c
catvÃras triguïÃs tata÷  JCand_7.8d
catvÃriæÓadyutaikena  JCand_7.4c
catvÃro vastv alaækÃram  JCand_7.7a
candanaæ khalu govinda-  JCand_5.6c
candra saædarÓayÃtmÃnam  JCand_5.71c
candrÃlokamanoharam  JCand_10.5b
candrÃlokamayaæ svayaæ vitanute pÅyÆ«avar«a÷ k­tÅ  JCand_1.2d
candrÃæÓusÆtragrathitÃæ  JCand_3.7c
capalÃtiÓayoktis tu  JCand_5.43a
caraïadvandvavandanam  JCand_5.6d
caraïe sahajÃruïe  JCand_5.33d
cintayÃntaka¬haukanam  JCand_5.72d
cintÃ moha÷ sm­tir dh­ti÷  JCand_6.15d
ciraæ candrÃloke mahati daÓasaækhya÷ sukhayatu  JCand_10.7d
ciraæ candrÃloke mahati navasaækhya÷ sukhayatu  JCand_9.17d
ciraæ candrÃloke mahati vasusaækhya÷ sukhayatu  JCand_8.11d
ciraæ candrÃloke sukhayatu mayÆkha÷ sumanasa÷  JCand_1.16d
ciraæ candrÃloke sukhayatu mayÆkha÷ sumanasa÷  JCand_2.45d
ciraæ candrÃloke sukhayatu mayÆkha÷ sumanasa÷  JCand_3.12d
ciraæ candrÃloke sukhayatu mayÆkha÷ sumanasa÷  JCand_4.13d
ciraæ candrÃloke sukhayatu mayÆkha÷ sumanasa÷  JCand_5.125d
ciraæ candrÃloke sukhayatu mahati ­tusaækhya÷  JCand_6.29d
ciraæ candrÃloke sukhayatu mahati munisaækhya÷  JCand_7.18d
cumbibimbe sudhÃkare  JCand_5.51f
ced bimbapratibimbatvaæ  JCand_5.55a
chadmanÃ vastugopanam  JCand_5.109b
chandodo«aÓ cakÃsti cet  JCand_2.17b
chekÃnuprÃsabhÃsurÃ  JCand_5.2d
chekÃpahnutir anyasya  JCand_5.27a
jagad etat prakÃÓate  JCand_5.74d
jagÃmÃstaæ ca bhÃnumÃn  JCand_5.97d
jagrÃhaikaæ Óaraæ muktvÃ  JCand_5.93c
jayadevakaver gira÷  JCand_10.6d
jayanti yÃj¤ikaÓrÅman-  JCand_10.6a
jaya ra¤jaya bha¤jaya  JCand_5.91d
jÃgare yÃmikÃ÷ karÃ÷  JCand_2.11d
jÃgradbhÃsurapadmakeÓarayaÓa÷ÓÅtÃæÓur asmÃd budhÃ÷  JCand_1.3d
jÃtÃ cet prÃk prabhÃ bhÃnos  JCand_5.56c
jÃtyÃ guïena kriyayÃ  JCand_10.2a
jÃtyÃdi«u ca varïanam  JCand_5.111b
jito 'si manda kandarpa  JCand_5.38c
jugupsÃmaÇgalÃtmanÃ  JCand_2.8b
jaitranetrÃnugau karïÃv  JCand_5.98c
j¤Ãtur anyasya ce«Âitam  JCand_5.108b
jyÃæ ÓarÃÓ ca parÃÓ ca te  JCand_5.41d
jyoti÷ stomodgamaæ stuma÷  JCand_1.4b
jvara÷ kiæ na sakhi smara÷  JCand_5.26d
ÂavargÃt pa¤camÃd ­te  JCand_6.24b
¬ittha÷ kaæsa iti kramÃt  JCand_10.3b
tacchaktatvÃvakalpanam  JCand_5.47b
taÂasthatvÃd api dvidhÃ  JCand_9.4b
taÂasthaæ maÇgalodaya÷  JCand_9.7b
tatpu«pais te samaæ yaÓa÷  JCand_5.48f
tatra rÆpakam i«yate  JCand_5.18d
tatrÃsau sutarÃ sarit  JCand_5.107d
tathÃkÃrapratÅtita÷  JCand_9.8d
tathÃ maraïam eva ca  JCand_6.17d
tathÃ vÃcyasya siddhyaÇgaæ  JCand_8.5a
tathÃ sahacarÃcÃru-  JCand_2.37a
tathÃ sahetur atathÃ-  JCand_9.15a
tathÃ saæs­«Âisaækarau  JCand_5.118b
tathÃsÆyÃmadaÓramÃ÷  JCand_6.15b
tathÃ syÃt pÆrvarÆpatÃ  JCand_5.103b
tathyÃpÃstir apahnuti÷  JCand_5.24b
tad abhÃgyaæ dhanasyaiva  JCand_5.100c
tadabhÃve 'pi tadvaca÷  JCand_5.44b
tad arvÃcÅnabhede«u  JCand_5.124c
tadÃ matÃ matimatÃæ  JCand_5.5c
tad evÃlaæk­titrayam  JCand_5.31b
tadguïa÷ svaguïatyÃgÃd  JCand_5.101a
tad dhÆrjaÂikirÅÂino÷  JCand_5.114d
tad vÃcyavyaÇgyam i«yate  JCand_7.17d
tadvyÆho 'rthasamÃptita÷  JCand_1.13d
tanmiÓro 'nyonyasÃmÃnya-  JCand_1.12a
tan m­«ÂÃ daivadurlipi÷  JCand_5.56b
tanvaÇgÅstanayoriva  JCand_5.11d
tamaÓ chindanti tatkarÃ÷  JCand_5.84d
taraÇgayati ya÷ sadÃ  JCand_2.34b
taranti vyÃdhivÃridhÅn  JCand_8.5d
taruïÅ smaratoraïam  JCand_6.27b
tarkakarkaÓapÆrïokti-  JCand_6.27c
tarhi yÃtÃ vibhÃvarÅ  JCand_5.56d
tava dÃsyÃmi ka¤cukam  JCand_2.33b
tava dugdhÃbdhisaæbhÆte÷  JCand_2.43a
tasmÃt tasmÃt kaver vaca÷  JCand_5.90d
taæ pÆrvÃcÃryasÆryokti-  JCand_1.4a
tÃpaæ tanoti sotkampaæ  JCand_5.26c
tÃpaæ haratu va÷ Óiva÷  JCand_5.39d
tÃpena bhrÃjate sÆra÷  JCand_5.54c
tÃvad abhyudito ravi÷  JCand_5.49d
tÃvan nirvÃïa eva sa÷  JCand_5.50d
tilakÃdyam iva strÅïÃæ  JCand_4.11a
tulyatÃ tulyayogitÃ  JCand_5.51b
tulyatve dÅpakaæ matam  JCand_5.52b
tulyaprÃdhÃnyam indutvam  JCand_8.8a
t­ïÃny aÇkurayÃmÃsa  JCand_5.69c
t­tÅyas tenÃsau sukavijayadevena racite  JCand_3.12c
te ca bhrÃntisphuratkÃnti-  JCand_1.11c
te ca v­k«ÃdibhÆvÃdi-  JCand_1.10c
tena tvayi k­tÃ sthiti÷  JCand_5.88d
te«v Ãdyam ucyate Óloka-  JCand_5.9c
te syur vÃkyapadÃÓrayÃt  JCand_7.11b
tair eva kusumÃyudha÷  JCand_5.85d
tyaktahÃram ura÷k­tvÃ  JCand_2.28c
tyÃgena vipulaæ yaÓa÷  JCand_5.86d
tyÃjyaæ hÅti nirarthakam  JCand_2.44d
trayastriæÓad ime bhÃvÃ÷  JCand_6.18c
trayo do«Ã÷ kramÃd amÅ  JCand_2.32b
trÃsaÓ caiva vitarkaÓ ca  JCand_6.18a
tridhÃ ÓabdÃrthatadyugma-  JCand_7.5a
triyÃmÃ ÓaÓinÃ bhÃti  JCand_5.83c
tvadasi÷ koÓam ÃviÓat  JCand_4.7d
tvadbhakta÷ k­«ïa! gaccheyaæ  JCand_2.32c
tvadbhaktÃnÃæ namaty aÇgaæ  JCand_5.78c
tvannetrayugalaæ dhatte  JCand_5.15c
