Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandràloka_mayåkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramaş kçùõa påjyante  JCand_2.27c
anyasmin vastuyantraõam  JCand_5.94b
anyàs tisra iti vyaktà  JCand_9.6a
anyonyaü nàma yatra syàd  JCand_5.83a
aparasya rasàde÷ ced  JCand_8.4a
aparàdhãna ityàdi  JCand_2.14a
api labdhuü samunnatim  JCand_5.81d
apuùñàrtho vi÷eùye cen  JCand_2.29a
apy andhakàriõànena  JCand_5.74c
apy ambudheş paraü pàraü  JCand_5.66c
aprayuktaü daivatàdi-  JCand_2.3a
aprastutapra÷aüsà syàt  JCand_5.65a
abhavanmatayogaş syàn  JCand_2.23a
abhimàno vicàra÷ ced  JCand_3.3a
abhãùñaviprayogà÷ru-  JCand_6.7a
abhedaş paryavasyati  JCand_5.22b
amatàrthàntaraü mukhye  JCand_2.28a
amandacandanasyandaş  JCand_5.73c
amandànandasandoha-  JCand_5.3c
amã da÷a guõàş kàvye  JCand_4.10c
amçtaü såktam ityàdau  JCand_9.8a
ambaràntam upaity asau  JCand_5.7d
ayatnena praharùaõam  JCand_5.49b
ayam aindrãmukhaü pa÷ya  JCand_5.61c
ayaü pramattamadhupas  JCand_5.32a
aruõaü taruõaiş karaiş  JCand_2.7b
arthagatvàd dvidhà budhàş  JCand_9.3d
artha÷aktibhuvo bhidaş  JCand_7.11d
artha÷aktisamutthasya  JCand_7.6c
artha÷leùo 'rthamàtrasya  JCand_5.64a
arthasaüstham api dvidhà  JCand_9.4d
arthànupràsa iùyate  JCand_5.6b
arthàntire saükramitam  JCand_7.3c
arthàpattiş svayaü sidhyet  JCand_5.37a
arthe 'rtham anyaü yaü vakti  JCand_7.17c
arthe vidadhadityàdau  JCand_2.6c
artho dharma iva tvayi  JCand_5.13d
ardharambhoruvigraham  JCand_2.22d
ardhàntarapadàpekùi  JCand_2.22a
alaïkàraş parikaraş  JCand_5.39a
alaïkàràïgatàü gate  JCand_5.120d
alaïkàràn imàn sapta  JCand_5.117c
alaükàrapradhàneùu  JCand_5.123a
alaükàram alaükàro  JCand_7.7c
alaükàras tu vastu yat  JCand_7.7b
alaükàreùu tathyeùu  JCand_5.124a
alaü vilokayàdyàpi  JCand_5.112c
alpàkùarà vicitràrtha-  JCand_3.1a
avaj¤à varõyate vastu  JCand_5.106a
avahittham athogratà  JCand_6.17b
avimçùñavidheyàü÷aş  JCand_2.13a
avivakùitavàcyasya  JCand_7.3a
avyaktayoganiryoga-  JCand_1.10a
a÷lãlaü trividhaü vrãóà-  JCand_2.8a
asatã sàdhyasàdhane  JCand_3.7b
asamarthaü tu hantyàdeş  JCand_2.3c
asaübhavo 'rthaniùpattàv  JCand_5.75a
asaübhàvyatvavarõanam  JCand_5.75b
asàv udeti ÷ãtàü÷ur  JCand_3.10c
asundaraü yadi vyaïgyaü  JCand_8.9a
asau na manyate kasmàd  JCand_1.8c
asau narapurandaraş  JCand_2.38d
asti ki¤cid yadanayà  JCand_5.36c
asthànasthasamàsaü na  JCand_2.24c
asphuñatvaü tañasthatvaü  JCand_9.5c
asphuñaü càrthaniùñhatvàt  JCand_9.4a
asphuñaü stanayor atra  JCand_8.6a
asmàkaü tu na nirõayaş  JCand_5.32d
aho anyaiva làvaõya-  JCand_5.45c
aü÷ukàntaü ÷a÷ã kurvann  JCand_5.7c
àkarõaya payaşpårõa-  JCand_2.26c
àkùepas tu prayuktasya  JCand_5.71a
àkhyàte bhinnade÷atve  JCand_5.78a
àturyam àsaptamaü ca  JCand_6.21a
àdi råpitaråpakam  JCand_5.21d
àdheyàdhikavarõanam  JCand_5.82b
àbhimukhyàt saünidhànàt  JCand_9.8c
àmantrya pratibodhitaş  JCand_7.14b
àyur evedam ãdç÷am  JCand_9.12d
àyur ghçtam itãdç÷am  JCand_9.12b
àlambanoddãpanàtmà  JCand_6.1a
àlasyaü caiva dainyaü ca  JCand_6.15c
àlasyerùyàjugupsàbhyo  JCand_6.4c
àliïganti samaü deva  JCand_5.41c
àvçttavarõasampårõaü  JCand_5.3a
àvçttavarõastabakaü  JCand_5.8a
àvçtte dãpakapade  JCand_5.53a
àvego jaóatà tathà  JCand_6.16b
àsvàdyamànaikatanuş  JCand_6.3c
àhur vàkyakadambakam  JCand_1.15d
àhlàdasàdhanaü vàyuş  JCand_2.8c
ity anvarthavicàraõàt  JCand_5.122b
ity aùñadhà guõãbhåta-  JCand_8.10c
ityàdi lakùaõaü bhåri  JCand_3.11a
ity åhonyaprasiddhaye  JCand_5.48b
ityevamàdeş saübandhàt  JCand_9.9c
ityevaü boddhçvaicitryàd  JCand_7.15a
indur indurivetyàdau  JCand_5.12c
indur evedam ãdç÷am  JCand_9.11d
indur evaiùa tadvaktram  JCand_9.6c
indur mukham itãdç÷am  JCand_9.11b
indur mukham ivetyàdau  JCand_5.14c
indur yadi kathaü tãvraş  JCand_3.3c
iyam adbhuta÷àkhyagra-  JCand_2.5c
iva vàcyena sàmyabhçt  JCand_8.8b
ivàdikapadàbhàve  JCand_5.30a
ivàhlàdaü vikàsayan  JCand_6.2d
iùyamàõaviruddhàrtha-  JCand_5.50a
ãdç÷ai÷ caritai ràjan  JCand_3.6c
uktir vyàjastutir nindà-  JCand_5.70a
uccairasyati mandatàmarasatàü jàgratkalaïkairava-  JCand_1.1a
ucchaladbhårikãlàlaş  JCand_5.62c
utkaõñhitàü ca kalayan  JCand_5.97c
utkarùo lakùyate mukhe  JCand_9.6d
utpalàbhyàm adhaşkçtau  JCand_5.98d
utprekùonnãyate yatra  JCand_5.29a
utsàhàkhyasthàyibhàvaş  JCand_6.9a
utsiktakùitibhçllakùya-  JCand_5.19c
udàttam çddhe÷ caritaü  JCand_5.114a
udàratà tu vaidagdhyam  JCand_4.9a
udàrasàra÷ ced bhàti  JCand_5.90a
udety ambudhibàndhavaş  JCand_2.21d
unmàdàdyair yathàkramam  JCand_6.5b
upakàraş parasparam  JCand_5.83b
upamàne tu lãlàdi-  JCand_5.15a
upamànopameyatve  JCand_5.12a
upamànopameyayoş  JCand_5.58b
upamà yatra sàdç÷ya-  JCand_5.11a
upameyamayã bhittis  JCand_5.18c
upameyopamànàdàv  JCand_5.6a
upameyopamà matà  JCand_5.13b
upàdànàrpaõadvàre  JCand_9.13a
upàdhiş kvacid udbhinnaş  JCand_5.119c
upekùànihnavàbhyàü ca  JCand_7.15c
ullasattanutàü nãte  JCand_4.2a
ullasatpa¤ca÷àkhas te  JCand_5.20c
ullàsàya vicàravãcinicayàlaïkàravàràm nidhe÷  JCand_1.2c
ullàso 'nyamahimnà ced  JCand_5.100a
uùàkàntenànugataş  JCand_3.1c
åhitàrthaniùedhakçt  JCand_3.3b
ekasyaivànyatocyate  JCand_5.45b
ekasyollekhità matà  JCand_5.23b
ekaü me cumbanaü dehi  JCand_2.33a
ekàkùaraü vinà bhåbhrå-  JCand_2.7c
ekaikaü pçthagarthatà  JCand_5.62b
ete bhavanti vinyàsàş  JCand_5.121c
eteùàm eva vinyàsàn  JCand_5.118c
eùa pãyåùabhàjanam  JCand_2.21b
eùu saptada÷asv ekaü  JCand_7.10c
aikyàropo nidar÷anà  JCand_5.57b
aiyaruş ku¤jaràş puram  JCand_2.19d
-aiva cet pçthagarthatà  JCand_5.63b
ojaş syàt prauóhir arthasya  JCand_4.7a
kajjaleneva bhåùyate  JCand_1.5d
kañàkùa iva lolàkùyà  JCand_7.2c
kañàkùàn ÷atruyoùitàm  JCand_5.93d
kañàkùàş kàminàü hçdi  JCand_2.13d
kañàkùàş kuntalà÷ ca te  JCand_5.64d
kañàkùàş kha¤janatviùaş  JCand_2.29d
kañàkùairapi nãlatàm  JCand_5.105d
kathaü jàtà kalàïkità  JCand_2.43b
kathitaü punaruktà vàk  JCand_2.19a
kapàkràntas tavargaş syàt  JCand_6.24c
kamalaiş kamalàvàsaiş  JCand_5.66a
karõotpalàni dadhate  JCand_5.105c
karõau dormåladolinau  JCand_5.87d
kalindajàtãraruhàş  JCand_5.47c
kavãnàü samayàd vidyà-  JCand_2.43c
kaver và prauóhinirmitaş  JCand_7.8b
kaveş prauóhiva÷ena và  JCand_5.1b
ka÷cit tañasthaş ka÷cic ca  JCand_7.14c
ka÷cit sàdhàraõaş ka÷cid  JCand_7.14a
kaùñaş spaùñàvabodhàrtham  JCand_2.30a
kaste viveko nayasi  JCand_5.70c
kasyàpy ati÷ayasyokter  JCand_5.122a
kaü saühinasti kaüsàrir  JCand_10.3c
kaüsàrir yatra påjyate  JCand_3.2d
kàkusthaü praõato 'mbhodhir  JCand_8.10a
kà¤cãratnair aharmahaş  JCand_5.103d
kàntaş kiü na hi nåpuraş  JCand_5.27d
kàntaş kuñilakuntalaş  JCand_2.4b
kàntà candreõa ràjate  JCand_2.25d
kàntàcitte 'dhare vàpi  JCand_5.95c
kàntà talpam akalpayat  JCand_5.108d
kàntàdçkpàtakaitavàt  JCand_5.28d
kàntànà÷e bhavet katham  JCand_2.8d
kànte tvadànanarucà  JCand_8.8c
kàntena pçùñà rahasi  JCand_5.22c
kàntyarthavyaktisaügrahaş  JCand_4.10b
kàntyà bhàti ravis tviùà  JCand_5.53d
kàminãvadanopamà  JCand_5.92d
kàminãva bhavet khaóga-  JCand_5.10a
kàraõaü kàryajanma cet  JCand_5.76b
kàraõàdyavadhàraõam  JCand_5.36b
kàraõànàm anàdaraş  JCand_3.5b
kàraõàntarasannidheş  JCand_5.97b
kàram àhur atadguõam  JCand_5.104b
kàryakàraõabhàvàt sà  JCand_9.9a
kàryakàraõasàmànya-  JCand_5.65c
kàryasya sati kàraõe  JCand_5.77b
kàryahetvor asaügatiş  JCand_5.78b
kàryaü phalopalambha÷ ced  JCand_3.10a
kàryàdyaiş prastutair uktaiş  JCand_5.69a
kàrye hetuprasaktije  JCand_5.43b
kàryo 'nubhàvo bhàva÷ ca  JCand_6.1c
kàlaş ÷atrubhir aikùi saş  JCand_5.23d
kà vàrtà sarasãruhàm  JCand_5.37d
kàvyavitpravarai÷citraü  JCand_5.9a
kàvyasya kà¤canasyeva  JCand_6.20c
kàvyasyàhur maharùayaş  JCand_3.11b
kàvyaü tatra ÷ivastavaş  JCand_5.89d
kàvye nàñye ca kàrye ca  JCand_6.3a
kà÷mãrasekà raktàïgã  JCand_5.10c
kà hànir amçtadyuteş  JCand_5.106d
kiü kiü nàsàdi sundaram  JCand_5.66b
kiücànyasmàc catuùñayàt  JCand_9.9d
kiü tu cakùur mçgàkùãõàü  JCand_1.5c
kiü tu prakçtikomalàş  JCand_5.58d
kiü padmena kimindunà  JCand_5.99d
kãrtiş pratyarthibhiş saha  JCand_5.59d
kãrtyate tulyatoktaye  JCand_3.8b
kuïkumaü kàntisaüpade  JCand_6.20d
kuïkumàktaü stanadvandvaü  JCand_8.6c
kuñilà saralà kvacit  JCand_7.1d
kuñilàş ÷yàmalà dãrghà  JCand_5.64c
kuõóalacchavivigrahà  JCand_2.36b
kutastatropamà yatra  JCand_2.31c
kuntà vi÷anti gaïgàyàü  JCand_9.13c
kuraïgair uttaraïgàkùi  JCand_5.111c
kuru tvaü vãtaràgatàm  JCand_5.95d
kusandhiş pañav àgaccha  JCand_2.16c
kecid àhur manãùiõaş  JCand_5.117d
ketakã ÷ekhare ÷ambhor  JCand_2.35c
kelikautukavànarã  JCand_2.5d
kaitavàpahnutir vyakte  JCand_5.28a
kokasàdç÷yavan matam  JCand_8.6b
ko veda gopa÷i÷ukaş  JCand_5.75c
kaunteyàdisvaråpiõaş  JCand_1.11d
kramàdekaikamanvitàş  JCand_5.91b
kriyàdibhir anekasya  JCand_5.51a
krãóànçtyeùu sasmitam  JCand_2.22b
krodhasthàyã raso raudro  JCand_6.8a
kliùñam artho yadãyo 'rtha-  JCand_2.12a
kvacic càrutarasyàgre  JCand_8.2c
kvacit prakaraõàdinà  JCand_7.17b
kvacid arthasvabhàvataş  JCand_8.2b
kvàtitãvraviùàş sarpàş  JCand_5.79c
kvàsau candanabhåruhaş  JCand_5.79d
kùamàdikànubhàvo 'yaü  JCand_6.13c
kùãranãradhir àkà÷a-  JCand_1.13a
kùãràmbhodhir agàdhatàm upadadhat sevyaş samà÷rãyatàm  JCand_1.3b
kùmàdikaü khatalàdivat  JCand_2.7d
khaógabandhàdi lakùyate  JCand_5.9b
khaõóavàkyaü sa iùyate  JCand_1.14b
khaõóa÷leùaş padànàü ced  JCand_5.62a
khyàtir akùarasaühatiş  JCand_3.1b
gate 'pi sårye dãpasthàs  JCand_5.84c
gambhãràrambhadambholi-  JCand_2.20c
gamyaü vãtànumàdivat  JCand_2.9d
garjitaü taj jitaü jitam  JCand_5.4d
garbhitaü bhåmibhåùaõa  JCand_2.26b
garvo viùàda autsukyaü  JCand_6.16c
galadvedyàntarodbhedo  JCand_6.2a
gallàdi gràmyam ucyate  JCand_2.10d
gàtramaïkuritaü satàm  JCand_4.5d
guõakãrtyà niùidhyate  JCand_3.2b
guõadoùàkùamaü yadi  JCand_5.106b
guõadravyakriyàdiùu  JCand_5.73b
gumphaş kàraõamàlà syàd  JCand_5.86a
gåóhàkùepo vidhau vyakte  JCand_5.72a
gåóhotprekùàü pracakùate  JCand_5.30b
gçhãtamuktarãtyartha-  JCand_5.87a
gauóãyà ca yathàrasam  JCand_6.22b
gauõa÷uddhe pçthak pçthak  JCand_9.10d
gauõaü sàdhyavasànaü syàd  JCand_9.11c
gauõaü sàropam uddiùñam  JCand_9.11a
gaur jagajjàgradutsekà  JCand_5.2c
gaur nãlaş pàcako daõóã  JCand_10.3a
gràmyatvaü guõatàü gatam  JCand_2.42d
glànim eti saroruham  JCand_8.8d
ghañamànatvavarõanam  JCand_4.1b
ghanàñope mahãyasi  JCand_6.28d
ghoùo nivasatãti ca  JCand_9.13d
-ïkurabãjatayà sthità  JCand_9.16d
cakraş kàntàü vilokate  JCand_8.9d
ca¤calaü locanà¤calam  JCand_4.6d
catasro rãtayaş smçtàş  JCand_6.22d
caturõàü puruùàrthànàü  JCand_5.40c
caturthas tenàsau sukavijayadevena racite  JCand_4.13c
caturthaş saikoyam sukavijayadevena racite  JCand_5.125c
catvàras triguõàs tataş  JCand_7.8d
catvàriü÷adyutaikena  JCand_7.4c
catvàro vastv alaükàram  JCand_7.7a
candanaü khalu govinda-  JCand_5.6c
candra saüdar÷ayàtmànam  JCand_5.71c
candràlokamanoharam  JCand_10.5b
candràlokamayaü svayaü vitanute pãyåùavarùaş kçtã  JCand_1.2d
candràü÷usåtragrathitàü  JCand_3.7c
capalàti÷ayoktis tu  JCand_5.43a
caraõadvandvavandanam  JCand_5.6d
caraõe sahajàruõe  JCand_5.33d
cintayàntakaóhaukanam  JCand_5.72d
cintà mohaş smçtir dhçtiş  JCand_6.15d
ciraü candràloke mahati da÷asaükhyaş sukhayatu  JCand_10.7d
ciraü candràloke mahati navasaükhyaş sukhayatu  JCand_9.17d
ciraü candràloke mahati vasusaükhyaş sukhayatu  JCand_8.11d
ciraü candràloke sukhayatu mayåkhaş sumanasaş  JCand_1.16d
ciraü candràloke sukhayatu mayåkhaş sumanasaş  JCand_2.45d
ciraü candràloke sukhayatu mayåkhaş sumanasaş  JCand_3.12d
ciraü candràloke sukhayatu mayåkhaş sumanasaş  JCand_4.13d
ciraü candràloke sukhayatu mayåkhaş sumanasaş  JCand_5.125d
ciraü candràloke sukhayatu mahati çtusaükhyaş  JCand_6.29d
ciraü candràloke sukhayatu mahati munisaükhyaş  JCand_7.18d
cumbibimbe sudhàkare  JCand_5.51f
ced bimbapratibimbatvaü  JCand_5.55a
chadmanà vastugopanam  JCand_5.109b
chandodoùa÷ cakàsti cet  JCand_2.17b
chekànupràsabhàsurà  JCand_5.2d
chekàpahnutir anyasya  JCand_5.27a
jagad etat prakà÷ate  JCand_5.74d
jagàmàstaü ca bhànumàn  JCand_5.97d
jagràhaikaü ÷araü muktvà  JCand_5.93c
jayadevakaver giraş  JCand_10.6d
jayanti yàj¤ika÷rãman-  JCand_10.6a
jaya ra¤jaya bha¤jaya  JCand_5.91d
jàgare yàmikàş karàş  JCand_2.11d
jàgradbhàsurapadmake÷araya÷aş÷ãtàü÷ur asmàd budhàş  JCand_1.3d
jàtà cet pràk prabhà bhànos  JCand_5.56c
jàtyà guõena kriyayà  JCand_10.2a
jàtyàdiùu ca varõanam  JCand_5.111b
jito 'si manda kandarpa  JCand_5.38c
jugupsàmaïgalàtmanà  JCand_2.8b
jaitranetrànugau karõàv  JCand_5.98c
j¤àtur anyasya ceùñitam  JCand_5.108b
jyàü ÷arà÷ ca parà÷ ca te  JCand_5.41d
jyotiş stomodgamaü stumaş  JCand_1.4b
jvaraş kiü na sakhi smaraş  JCand_5.26d
ñavargàt pa¤camàd çte  JCand_6.24b
óitthaş kaüsa iti kramàt  JCand_10.3b
tacchaktatvàvakalpanam  JCand_5.47b
tañasthatvàd api dvidhà  JCand_9.4b
tañasthaü maïgalodayaş  JCand_9.7b
tatpuùpais te samaü ya÷aş  JCand_5.48f
tatra råpakam iùyate  JCand_5.18d
tatràsau sutarà sarit  JCand_5.107d
tathàkàrapratãtitaş  JCand_9.8d
tathà maraõam eva ca  JCand_6.17d
tathà vàcyasya siddhyaïgaü  JCand_8.5a
tathà sahacaràcàru-  JCand_2.37a
tathà sahetur atathà-  JCand_9.15a
tathà saüsçùñisaükarau  JCand_5.118b
tathàsåyàmada÷ramàş  JCand_6.15b
tathà syàt pårvaråpatà  JCand_5.103b
tathyàpàstir apahnutiş  JCand_5.24b
tad abhàgyaü dhanasyaiva  JCand_5.100c
tadabhàve 'pi tadvacaş  JCand_5.44b
tad arvàcãnabhedeùu  JCand_5.124c
tadà matà matimatàü  JCand_5.5c
tad evàlaükçtitrayam  JCand_5.31b
tadguõaş svaguõatyàgàd  JCand_5.101a
tad dhårjañikirãñinoş  JCand_5.114d
tad vàcyavyaïgyam iùyate  JCand_7.17d
tadvyåho 'rthasamàptitaş  JCand_1.13d
tanmi÷ro 'nyonyasàmànya-  JCand_1.12a
tan mçùñà daivadurlipiş  JCand_5.56b
tanvaïgãstanayoriva  JCand_5.11d
tama÷ chindanti tatkaràş  JCand_5.84d
taraïgayati yaş sadà  JCand_2.34b
taranti vyàdhivàridhãn  JCand_8.5d
taruõã smaratoraõam  JCand_6.27b
tarkakarka÷apårõokti-  JCand_6.27c
tarhi yàtà vibhàvarã  JCand_5.56d
tava dàsyàmi ka¤cukam  JCand_2.33b
tava dugdhàbdhisaübhåteş  JCand_2.43a
tasmàt tasmàt kaver vacaş  JCand_5.90d
taü pårvàcàryasåryokti-  JCand_1.4a
tàpaü tanoti sotkampaü  JCand_5.26c
tàpaü haratu vaş ÷ivaş  JCand_5.39d
tàpena bhràjate såraş  JCand_5.54c
tàvad abhyudito raviş  JCand_5.49d
tàvan nirvàõa eva saş  JCand_5.50d
tilakàdyam iva strãõàü  JCand_4.11a
tulyatà tulyayogità  JCand_5.51b
tulyatve dãpakaü matam  JCand_5.52b
tulyapràdhànyam indutvam  JCand_8.8a
tçõàny aïkurayàmàsa  JCand_5.69c
tçtãyas tenàsau sukavijayadevena racite  JCand_3.12c
te ca bhràntisphuratkànti-  JCand_1.11c
te ca vçkùàdibhåvàdi-  JCand_1.10c
tena tvayi kçtà sthitiş  JCand_5.88d
teùv àdyam ucyate ÷loka-  JCand_5.9c
te syur vàkyapadà÷rayàt  JCand_7.11b
tair eva kusumàyudhaş  JCand_5.85d
tyaktahàram uraşkçtvà  JCand_2.28c
tyàgena vipulaü ya÷aş  JCand_5.86d
tyàjyaü hãti nirarthakam  JCand_2.44d
trayastriü÷ad ime bhàvàş  JCand_6.18c
trayo doùàş kramàd amã  JCand_2.32b
tràsa÷ caiva vitarka÷ ca  JCand_6.18a
tridhà ÷abdàrthatadyugma-  JCand_7.5a
triyàmà ÷a÷inà bhàti  JCand_5.83c
tvadasiş ko÷am àvi÷at  JCand_4.7d
tvadbhaktaş kçùõa! gaccheyaü  JCand_2.32c
tvadbhaktànàü namaty aïgaü  JCand_5.78c
tvannetrayugalaü dhatte  JCand_5.15c
tvanmukha÷rãkçte nånaü  JCand_5.29c
tvanmukhaü veda païkajam  JCand_5.32b
tvayi dàtari ràjendra  JCand_5.115c
tvaü balair jaladhir jalaiş  JCand_3.8d
tvaü vasan hçdaye tasyàş  JCand_5.113c
tvàm anabhyarcya devatàş  JCand_2.27d
dadhadàdyam avàcakam  JCand_2.6d
dadhàneùv api sàmyatàm  JCand_5.123b
dadhàra gaurã hçdaye  JCand_2.44a
dar÷anaü bhàvikacchaviş  JCand_5.113b
da÷aty asilatàphaõã  JCand_2.18d
dàtà deva÷ caturbhujaş  JCand_5.40d
digantam agamad yasya  JCand_5.59c
dãpakaikàvalãyogàn  JCand_5.88a
dãpam uddyotayed yàvat  JCand_5.49c
dãpam uddyotayed yàvat  JCand_5.50c
dãpe nirvàpite hy àsãt  JCand_5.103c
dãptyàgnir bhàti bhàtãnduş  JCand_5.53c
durdharùàş kùmàdharà iva  JCand_5.68d
duùkaraü kiü mahàtmanàm  JCand_5.67d
duùkramagràmyasandigdhàs  JCand_2.32a
dç÷yaü sàdç÷yaråpakam  JCand_5.20b
dçùñaü ced vadanaü tasyàş  JCand_5.99c
dçùñànta÷ ced bhavanmårtis  JCand_5.56a
dçùñàntas tadalaükçtiş  JCand_5.55b
devaü himakaràïkitam  JCand_2.44b
devety àmantraõaü yathà  JCand_1.15b
de÷àtmaviprakçùñasya  JCand_5.113a
dairghyàdyutpalayoriva  JCand_8.7b
doùatvaü và nirasyati  JCand_2.41b
doùam àpatitaü svànte  JCand_2.40a
doùam udghoùayanti tam  JCand_2.1d
doùàïku÷am u÷anti tam  JCand_2.40d
doùàn ÷abdàrthasaübhavàn  JCand_2.39d
doùe guõatvaü tanute  JCand_2.41a
doùo hy anyatra varõyate  JCand_5.100b
dvayãsajjanara¤jikà  JCand_5.9d
dvayor api vidheyatà  JCand_5.17b
dvàtriü÷ad dvàda÷aikaş ùañ  JCand_7.12a
dvitãyas tenàsau sukavijayadevena racite  JCand_2.45c
dvidhà svàïkuritaü matam  JCand_7.15d
dviùàü sampadam àcchidya  JCand_2.24a
dve cànye iti ùaóvidhà  JCand_9.13b
dvau bhedau vàcyam eva cet  JCand_7.3b
dvau vivakùitavàcyasya  JCand_7.4a
dhatte candrakalàtulàm  JCand_2.35d
dhatte nabhastalaü bhàsvàn  JCand_2.7a
dharmamàtraü niùidhyate  JCand_5.25b
dharmaü kaücit puraskçtya  JCand_10.1a
dharmo 'rtha iva pårõa÷rãr  JCand_5.13c
dhåmavattvàd iti yathà  JCand_1.15a
dhçùñodyanmadanà÷anàrcir amalà lokatrayãdar÷ikà  JCand_1.1c
dhvaüsaü hastayate ca yà sumanasàm ullàsinã mànase  JCand_1.1b
