Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
aïgirà idamabravãt  Ang_2,1.1d
aïgãkurma÷ca sàüpratam  Ang_1.578b
aïguùñhamàtraü sthålaþ syàd  Ang_2,10.2a
aïgairunmãlyate ÷anaiþ  Ang_2,4.10b
aca¤calaü sthiraü tuùñaü  Ang_1.386c
acchidraü sadguõaü sàïgaü  Ang_1.904a
aja÷rãrajacarmàkhyo  Ang_1.511c
ajànan yastu vibråyàj  Ang_2,6.13a
ajànànàü ca dàtþõàm  Ang_2,6.14a
ajãrõavamane snànam  Ang_1.173a
ajãrõaþ syàttadà doùaþ  Ang_1.291a
aj¤àtagràmatàtàdir  Ang_1.1050a
aj¤àtagràmasaübhavaþ  Ang_1.1051d
aj¤àtvà pårvavçttàntaü  Ang_1.354c
aj¤ànàdupadeùñavyaþ  Ang_2,7.3c
aj¤àninàü j¤àninàü ca  Ang_1.14c
añan dhàvan khalan bhraman  Ang_1.463d
ata årdhvaü tu yatsnàtaþ  Ang_2,9.13a
ata årdhvaü tu ye vipràþ  Ang_2,4.8a
ata årdhvaü tu snàtànàü  Ang_2,9.4a
ata årdhvaü pravakùyàmi  Ang_2,2.1a
ata årdhvaü pravakùyàmi  Ang_2,12.1a
atastaddvividhaü smçtam  Ang_1.680d
atasmin tattvamàropya  Ang_1.123a
ataþ ùañtriü÷atkasaükhyà  Ang_1.505c
atikrauryaü kalàvapi  Ang_1.98b
atikùudraikakàleùu  Ang_1.213a
atikùudhàturo rogã  Ang_1.259c
aticàturyato 'tãva  Ang_1.582a
atituùñà mahàtuùñàþ  Ang_1.1088c
atitçptyaikakàrakaþ  Ang_1.615d
atithau taddinabhràntyà  Ang_1.948a
atiduþkhaikajãvitam  Ang_1.1056b
atipra÷asyaü covàca  Ang_1.590c
atibàlye tato bhåyo  Ang_1.1056c
atimàninamagràhyaü  Ang_1.746c
ati÷uddhamati÷reùñhaü  Ang_1.243c
atiharùaü gatàþ sadyas  Ang_1.564c
atãto yadi pakùaþ sa  Ang_1.712c
atãtyàpràpya tatkàlaü  Ang_1.643c
atçptà eva no te syur  Ang_1.1093a
atyakramaü càtya÷àstraü  Ang_1.98c
atyantacapalaü ÷ràntam  Ang_1.756a
atyantatçptimuktyaika-  Ang_1.477c
atyantapitçtçptyaika-  Ang_1.603a
atyantàva÷yako na syàd  Ang_1.636a
atyantaikapavitrà hi  Ang_1.910a
atyanyàyamatidroham  Ang_1.98a
atyutkràntipravçttasya  Ang_1.295a
atra kecitpunaþ procuþ  Ang_1.983c
atra pitaro 'mutra ca  Ang_1.855a
atra viùõurmataü svasya  Ang_1.997a
atra saüskàra÷abdataþ  Ang_1.141d
atrànuktairmahàkàla-  Ang_1.844a
atraiva pitçyaj¤a÷ca  Ang_1.615a
atroktàþ kila karmaõi  Ang_1.818b
atha tatkartçto 'khilam  Ang_1.430d
atha trayàõàü vakùyàmi  Ang_2,1.2a
athavà taü triyambakam  Ang_1.837b
athavà pa¤casaükhyayà  Ang_1.680b
athavaitaddine tu yaiþ  Ang_1.617d
athopapàtakà÷cintyàs  Ang_2,12.9a
adatþõàü ca jànatàm  Ang_2,6.14b
adar÷ane vç÷cikasya  Ang_1.714a
adaivaü pàrvaõa÷ràddhaü  Ang_1.876c
adaivikàni ca punas  Ang_1.681c
adaivikàni proktàni  Ang_1.683c
adbhiþ kurvãta kevalam  Ang_2,11.3b
adriràjo dharmade÷ã  Ang_1.518c
adhikàraprabhedena  Ang_1.288a
adhikàritvasidhyarthaü  Ang_1.116a
adhikàro na cànyasya  Ang_1.161a
adhikàro militayor  Ang_1.384a
adhikà vandanãyà÷ca  Ang_1.230a
adhikà÷amatçptaü ca  Ang_1.751a
adhvagaþ kùãõavçtti÷ca  Ang_2,9.9c
adhvànaü và prayàtasya  Ang_2,9.10c
anagniko na putrã syàd  Ang_1.320a
anantaraü viprabhukteþ  Ang_1.1096a
anarthitairanàhutair  Ang_2,7.5a
anarhaþ sarvakarmasu  Ang_1.54d
anàthapretasaüskàràd  Ang_1.141a
anàpatsu caredbhaikùyaü  Ang_2,9.6c
aniketo nimigrãvo  Ang_1.519a
anirvàcyo 'khilaiþ ÷àstrair  Ang_1.702c
anuktamantrapañhanàt  Ang_1.806c
anuktamantraiþ kà÷cittu  Ang_1.803a
anuktàbàdhakaü na tu  Ang_1.800d
anugacchantu devatàþ  Ang_1.894d
anugacchettayoþ ÷ràddhaü  Ang_1.993c
anugrahaü tu vakùyàmi  Ang_2,8.4c
anuj¤àpya ca parùadam  Ang_2,7.6b
anupeto 'pyasau yadyapy  Ang_1.430c
anumàsikabhoktàraü  Ang_1.760a
anumàsike 'tra kartavya  Ang_1.951c
anuvrajya vidhànena  Ang_1.897c
anuùñheyà hi santatam  Ang_1.1113b
anådakaü tu tatsarvaü  Ang_2,8.11a
ançtaü maurkhyacoditam  Ang_1.374b
anekadharma÷àstraj¤aþ  Ang_2,5.5c
anekaviprapakùe tu  Ang_1.697c
anena vidhinà goghno  Ang_2,11.9a
anenaiva tu mantreõa  Ang_1.788c
antarà bràhmaõaü kçtvà  Ang_2,5.12c
antarjalà kheyatoyà  Ang_1.933a
antarda÷àhe bhuktvànnaü  Ang_2,9.1a
antaþpracchannapàpànàü  Ang_2,6.7c
ante naiva vadedapi  Ang_1.1076d
annatyàgaü tataþ kçtvà  Ang_1.955c
annatyàgaü prakurvãta  Ang_1.971a
annamàjyenàbhighàrya  Ang_1.815c
annamàdàya pakvàttu  Ang_1.809a
anna÷eùo 'khilaþ punaþ  Ang_1.895b
annaü ca pàyasaü bhakùyaü  Ang_1.813c
annaü pakvàt samuddhçtya  Ang_1.240c
annaü vaståni yànãha  Ang_1.819c
annàbhimar÷ane proktam  Ang_1.829a
annenaiva prakurvãta  Ang_1.277c
anyagotraparigrahàt  Ang_1.178d
anyagotrapradatta÷cet  Ang_1.999a
anyatkabalitaü tayà  Ang_1.37d
anyatra tu na kàrayet  Ang_1.305b
anyatra patinà saha  Ang_1.663b
anyatràïkanalakùmabhyàü  Ang_2,10.12a
anyathà te vçthà bhavet  Ang_2,3.10d
anyathà na bhavedeva  Ang_1.63c
anyathà niùkçtirnàsti  Ang_1.183c
anyathà patito bhavet  Ang_2,9.8b
anyadvakùyàmi ÷obhanam  Ang_1.992d
anyapàtre ca panasaü  Ang_1.531c
anyasya guõataþ sutaþ  Ang_1.127d
anyaü homaü tu taddine  Ang_1.1022b
anyonyaü spç÷ato yadi  Ang_1.960b
anvaye liïgato 'rthàdvà  Ang_1.8a
anveva bhojanaü taùàü  Ang_1.1094c
apa eva samà÷ritya  Ang_1.1111a
aparàhne ca madhyàhne  Ang_1.73c
aparàhne na madhyàhne  Ang_1.283c
aparij¤àtavarõakaþ  Ang_1.465d
apavitrasahasrebhyo  Ang_1.911a
apasavyaü tathà ÷ånya-  Ang_1.666a
apàtrãkaraõe 'nyatra  Ang_1.168c
apàrasaüsàrasamudrasetavaþ  Ang_2,12.16c
apàvçtte tçtãye ca  Ang_1.84a
apàü madhyena càcchindya  Ang_1.851c
api kartà kçtàrthaþ syàt  Ang_1.492a
api kçcchragato naraþ  Ang_1.277b
api jãvatpità piõóa-  Ang_1.104a
apiõóakàni khyàtàni  Ang_1.690c
api pàtakinàmapi  Ang_1.156d
api pràpte 'pi vamane  Ang_1.1079c
api và màrgamàlambya  Ang_2,5.12a
api và ÷àstradçùñitaþ  Ang_1.298d
api ÷akto 'pi tannyåne  Ang_1.279c
api ÷àstrakçtaü karma  Ang_1.146a
api snànaü samàcaret  Ang_1.138d
aputradattavçtyà yaþ  Ang_1.329a
aputràõàü pitçvyànàü  Ang_1.725a
aputràyàþ kçtaü tu tat  Ang_1.444b
aputrà và saputrà và  Ang_1.398c
aputro 'nagnimàn smçtaþ  Ang_1.320b
apçùñai÷ca yathàvidhi  Ang_2,7.5b
apekùitaü mçtasyàtra  Ang_1.472c
apyanye kulajà eva  Ang_1.912c
apyayaü mukhyakartà na  Ang_1.445c
apyayaü vayasàdhikaþ  Ang_1.380b
apyàgataü tena taddhi  Ang_1.28a
apraõodyàni medhyàni  Ang_2,8.18c
apratyakùà hi pitaro  Ang_1.865a
aprameyapramàõasya  Ang_2,1.4c
apràõàhutipårvakam  Ang_1.245b
aprà÷anotpannamçti-  Ang_1.295c
aprokùyàpariùicyaivam  Ang_1.245a
abdaü dçùñvà tato yatnàt  Ang_1.50c
abhakùyàõàü ca bhakùaõe  Ang_1.167d
abhàve tasya såtrasya  Ang_1.55a
abhimç÷ya tataþ punaþ  Ang_1.824d
abhi÷ravaõamevaü syàd  Ang_1.1074c
abhiùekaü kàrayitvà  Ang_1.85a
abhiùekaü samantrakaiþ  Ang_1.87d
abhojyabhojaneùvevaü  Ang_1.170c
abhojyànnaü duràgasam  Ang_1.756d
abhyakta÷ca tathà snàyàc  Ang_1.251a
abhyanuj¤àpi paramà  Ang_1.684c
amadhaþ÷àyã bhavetsadà  Ang_2,12.4d
amantrakaü vidhànena  Ang_1.812a
amantràya prayacchati  Ang_1.737b
amàdãnyakhilànyapi  Ang_1.682d
amàmanuyugakrànti-  Ang_1.606a
amàyàü tu sahasrakam  Ang_1.707d
amàvàkyasya sàüpratam  Ang_1.609d
amàvàsyà dvàda÷a syur  Ang_1.610a
amàvàsyàmàsike ca  Ang_1.952c
amàvàsyàstatra këptà  Ang_1.614c
amàvàsyàü vinà sadà  Ang_1.877d
amàvyàkhyànamucyate  Ang_1.609b
amã madamataþ param  Ang_1.855b
amçtopastaràõakam  Ang_1.829b
ameyaiþ saüvçto vedaþ  Ang_1.159a
ayanagrahaõe mukhye  Ang_1.286a
ayane dve ca viùuve  Ang_1.645a
ayane dve ca viùuvau  Ang_1.639a
ayaü vo viùñara÷ceti  Ang_1.787c
ayaü hi paramo mantraþ  Ang_1.789a
ayogyatvaü tathàvidham  Ang_1.584d
ayogyaü satataü syàddhi  Ang_1.232a
arka÷rutivyatãpàta-  Ang_1.180c
arghyaü kçtvà kçtaþ proktaþ  Ang_1.792c
artimàn dharaõãü vrajan  Ang_2,2.8b
ardhatçptà hi pitaro  Ang_1.1084c
ardharàtràttadårdhvaü và  Ang_1.648a
ardharàtràdadhaståùõe  Ang_1.177c
ardhaü kùipedviprapàtre  Ang_1.812c
ardhodaye mahodaye  Ang_1.914a
arvàktu dvàda÷àdabdàt  Ang_2,10.20c
arvàktu làjahomasya  Ang_1.77a
arvàktu ÷eùahomasya  Ang_1.83a
arhati svargavàse 'pi  Ang_1.977a
alakàlarkakàråùà-  Ang_1.504a
alarka÷càjaràstrayaþ  Ang_1.504d
alolupamadàmbhikam  Ang_1.770b
alpakàlamçtàyàü tu  Ang_1.1048a
alpaü mahada÷akyaü và  Ang_1.370c
avatãrõo na sandeha  Ang_1.495c
avalepaü tathàvidham  Ang_1.582d
avalepaikarahita÷  Ang_1.592c
ava÷àdeti càkhilam  Ang_1.310b
ava÷àddaivayogataþ  Ang_1.39b
ava÷àdvahnito vàpi  Ang_1.59a
ava÷iùñaü prà÷ayecca  Ang_1.76a
ava÷yatvena kartavyaü  Ang_1.726a
avasthàbhedataþ sarve  Ang_1.1055c
avidyamàne sarvasvaü  Ang_2,11.10c
avãràpatimeva ca  Ang_1.756b
avçtastena tatpreùya-  Ang_1.134c
avekùaõaü jàgaråka-  Ang_1.1009a
avratã savratã vàpi  Ang_2,9.14a
a÷akta÷cettadàcaret  Ang_1.250d
a÷aktasya kadàcana  Ang_1.265d
a÷ãtiryasya càpårõà  Ang_2,10.21a
a÷uciü parasåtakam  Ang_1.754d
a÷uddhà÷ca kadàcitsyuþ  Ang_1.909c
a÷çtaü càranàlaü ca  Ang_2,8.17c
a÷aucabhuktàvà÷auci-  Ang_1.947c
a÷rotriyakalatràõàü  Ang_1.710c
a÷rotriyasutaü kàru-  Ang_1.757a
a÷vamedhaphalaü labhet  Ang_1.141b
aùñakà dvàda÷a smçtàþ  Ang_1.611d
aùñakà dvàda÷a smçtàþ  Ang_1.659b
aùñakà navadevatàþ  Ang_1.662b
aùñakàsu ca puõyàsu  Ang_1.584a
aùñakàsu ca vçddhau ca  Ang_1.662c
aùñakàsu yathà dar÷a-  Ang_1.730a
aùñakàü pitçyaj¤ataþ  Ang_1.104d
aùñàviü÷atprabhçti vai  Ang_1.934a
aùñottara÷ata÷ràddha-  Ang_1.497a
aùñottara÷atàni syus  Ang_1.607c
aùñottara÷atàni syuþ  Ang_1.613c
aùñottara÷ateùvapi  Ang_1.574d
aùñottara÷atairuta  Ang_1.481b
aùñottarasahasraü cet  Ang_1.89a
aùñottaràõi khyàtàni  Ang_1.731c
asakçtpañhitàni syur  Ang_1.163c
asakçdgamanàccàpà-  Ang_1.68c
asagotramapi pretaü  Ang_1.149a
asagotrasutaü tasmàn  Ang_1.357c
asagotrastu na gràhyo  Ang_1.340a
asatàü patitànàü ca  Ang_1.139a
asannidhau sannidhau và  Ang_1.434c
asamarthasya tu prokto  Ang_1.732a
asavarõeùu tatkurvan  Ang_1.338a
asahanneva kevalam  Ang_1.573b
asahyoùõaü mahoùõaü và  Ang_1.241c
asaükhyàkànyanantàni  Ang_1.158a
asaübhàùyaþ prayatnena  Ang_1.766a
asaü÷ayaü prakurvãta  Ang_1.883c
asaüskçto dattasånuþ  Ang_1.305c
asàvardhodayo yogaþ  Ang_1.181a
astvityapi ca taddhaste  Ang_1.888a
asthibhaïgaü gavàü kçtvà  Ang_2,10.8a
asthibhaïge tathà ÷çïga-  Ang_2,10.10a
aspaùñaspaùñavarõe và  Ang_1.469c
aspç÷yatvaü na såtyàü syàd  Ang_1.45c
aspç÷yaspar÷ane caivam  Ang_1.167c
asmatkàryavirodhi tat  Ang_1.374d
asmàkamapi santi hi  Ang_1.569d
asmàkaü caiva sarveùàü  Ang_2,3.2c
asmin snàto càpakoñau  Ang_1.181c
ahaþ kçtsnaü prakãrtitam  Ang_1.642b
ahaþsaükramaõe puõyam  Ang_1.642a
ahoràtraü bhuktihainyaü  Ang_1.46c
ahni dvitãyayàme vai  Ang_1.84c
àkà÷aråpamàpannàþ  Ang_1.865c
àgacchantviti tàü càpi  Ang_1.799a
àgàmisåtakaü j¤àtvà  Ang_1.101c
àcàreõa na coktitaþ  Ang_1.842b
àcàreõa ÷rutena ca  Ang_2,4.9b
àjànu kùàlayetparam  Ang_1.781d
àtarpaõaü vidhànena  Ang_1.29a
àturàmabhi÷astàü và  Ang_2,11.6a
àtmatçptiþ pra÷asyate  Ang_1.1038d
àtmano 'nugrahasya ca  Ang_2,6.16d
àtmano bràhmaõànàü ca  Ang_1.849a
àtmano yadi vànyeùàü  Ang_2,11.8a
àtmasaübhàvinaü ÷apam  Ang_1.746b
àtmànaü pàtayeddhore  Ang_1.71a
àtmànyakàyaü spç÷yenna  Ang_1.227a
àdàvantye ca pàdye ca  Ang_1.782a
àdityà iti tadgaõàþ  Ang_1.674d
àdityà÷caiva kçtsna÷aþ  Ang_1.32b
àdimadhyàvasànakam  Ang_2,3.4d
àdau saükalpya prayataþ  Ang_1.772c
àdyadattaikataddatta-  Ang_1.351c
àdya÷ràddhe tu bhu¤jàna-  Ang_1.949c
àdhatta pitara÷ceti  Ang_1.869c
àdhikyaü tatprakathitaü  Ang_1.939a
àdhikyaü tatsutàtparam  Ang_1.441d
ànandasàgare magnà  Ang_1.558a
àpa eva vi÷eùataþ  Ang_1.1110b
àpakùàntasya kevalam  Ang_1.695d
àpatsu ca tryahaü caret  Ang_2,9.7b
àpanno yena và dharmo  Ang_2,5.14a
àpo÷anaü na kurvãta  Ang_1.239c
àptadharmeùu yatproktaü  Ang_2,3.7a
àbdike tu pare 'hnyeva  Ang_1.969c
àbdike vànumàse và  Ang_1.968a
àbràhmaõavisarjanam  Ang_1.79d
àbhàntyetatsamàcaret  Ang_1.74d
àma÷ràddhagçhãtàraü  Ang_1.764a
àmaü màüsaü dadhi ghçtaü  Ang_2,8.16c
àmaü và yadi và pakvaü  Ang_2,8.5a
àmo 'tvaratarastaràm  Ang_1.773b
àyanaü tadamukhyakam  Ang_1.280b
àyantu na itãva vai  Ang_1.799d
àyantvityabhimantrya ca  Ang_1.852b
àyuùyasåktaü hutvàtha  Ang_1.89c
àràdhayitumavyayam  Ang_2,12.15b
àrànnyak sodarasutas  Ang_1.302c
àrtànàü màrgamàõànàü  Ang_2,7.1a
àrdrakaü ùañchatasamaü  Ang_1.533a
àrdra÷uùkaprabhedena  Ang_1.507c
àva÷yakyatra paramà  Ang_1.686c
àvàhanaü ca tatpårvaü  Ang_1.795c
àvàhane vi÷vedevà  Ang_1.797c
à vo ràjànamantraü và  Ang_1.837c
à÷aratsapavitrakaþ  Ang_1.508d
à÷ãrbhirenaü satataü  Ang_1.1019a
à÷ãrbhi÷ca pra÷astàbhiþ  Ang_1.565a
à÷aucaü maraõoddi÷ya  Ang_1.987a
à÷aucàda÷ucitvaü hi  Ang_1.44c
à÷auce tu bhaveddhi tat  Ang_1.45d
à÷auce vartamànasya  Ang_1.48c
à÷ramàdvçddha ucyate  Ang_2,5.6b
àùàóhãmavadhiü kçtvà  Ang_1.708a
àsanaü ÷alyaviddhaü syàd  Ang_2,12.4c
àsamàptervidhànena  Ang_1.806a
àhato bhayataþ ÷ubham  Ang_2,6.8d
àhitàgnirda÷asuto  Ang_1.429c
àhitàgnirvi÷eùeõa  Ang_2,8.9c
àhitàgnistu yo vipraþ  Ang_2,8.1a
àhitàgnistriràtreõa  Ang_2,9.3a
àhåya ÷ràvayedeko  Ang_2,3.9c
à homàtkaraõaü smçtam  Ang_1.721b
icchaüstadanyathayituü  Ang_1.371c
itaraiþ sarvapitryàõàü  Ang_1.618c
iti cintàparà devà  Ang_1.185c
iti covàca loke÷aü  Ang_1.588a
iti procu÷ca tatkçtau  Ang_1.1038b
iti brahmà ÷ivo hariþ  Ang_1.495d
iti bràhmaõapàdeùu  Ang_1.886a
iti vaktþn duràtmanaþ  Ang_1.375b
iti vai lokasaüsthitiþ  Ang_1.622b
iti ÷àkalabhàùitam  Ang_1.178b
iti sarve trayo lokàs  Ang_1.620c
iti stutaþ påjita÷ca  Ang_1.602c
ityuktastu tato bhåyaþ  Ang_1.896a
ityuktvà ' 'bhàùya te tena  Ang_1.566c
ityudvàsya tu tàn pa÷càd  Ang_1.895a
ityåcuþ praõipatya tam  Ang_1.1d
ityevamatidainyena  Ang_1.571a
ityevamenaü jahçùuþ  Ang_1.492c
ityevaü dakùiõe haste  Ang_1.776c
idamåcurvaco duþkhàd  Ang_1.569c
idaü viùõurvyàhçtãrvà  Ang_1.836a
indràya somasåktena  Ang_1.962a
indràya somasåktena  Ang_1.963a
iùñàn kàü÷cidvi÷eùakàn  Ang_1.1012d
iùñaiþ putrairbandhubhi÷ca  Ang_1.1085c
iùñaiþ putrai÷ca bandhubhiþ  Ang_1.1093b
ã÷ànàdimukhànyevaü  Ang_1.538c
ã÷àno dakùiõàspadaþ  Ang_1.520d
uktapràyaü vijànãyàd  Ang_1.938a
uktvà dadyàttadannakam  Ang_1.840d
uccaiþ saübhàùaõaü hasta-  Ang_1.1027a
ucchiùñapiõóadàne ca  Ang_1.782c
ucchiùñapiõóaü ca dadyàd  Ang_1.841c
ucchiùñamapyakçtvaiva  Ang_1.245c
ucchiùñamiti nàma tat  Ang_1.906d
ucchiùñaspar÷anaü j¤àtvà  Ang_1.958a
ucchiùñaü ÷ivanirmàlyaü  Ang_1.905c
ucchiùñena tu saüspçùño  Ang_1.954a
ucchiùñe vamanaü yadi  Ang_1.951d
ucchiùñocchiùñasaüspar÷e  Ang_1.961a
ucyate brahmavàdibhiþ  Ang_1.1059b
uttamaþ pitçkçtyeùu  Ang_1.460a
uttamà iti tàþ proktà  Ang_1.938c
uttarakùaõajãvane  Ang_1.315d
uttaràpo÷anaü tataþ  Ang_1.841d
uttaràyaõa eva vai  Ang_1.648d
uttaràyaõameva hi  Ang_1.654b
uttàrakà vyàhçtayo  Ang_1.15a
uttiùñhata pitaro mano  Ang_1.858c
uttiùñhateti pitaraþ  Ang_1.894c
utpattiprabhçtisthairya-  Ang_1.941c
utpanne maraõe vàpi  Ang_2,10.3c
udagbhàgagataü piõóaü  Ang_1.982c
udaïmukhastu devànàü  Ang_1.784a
udde÷atyàgakàle ca  Ang_1.1076a
udde÷atyàgamàtraü ca  Ang_1.811a
uddhçtya prokùya tatpàtre  Ang_1.794a
unneyà jyeùñhataþ param  Ang_1.408d
unmattaü durbalaü sannaü  Ang_1.754a
upakràntasya tasyàsya  Ang_1.27c
upanãtastu cedupa-  Ang_1.131a
upanãtaþ kalatrã và  Ang_1.379a
upanãto bhavedaho  Ang_1.330b
upapadyeta tatpibet  Ang_2,12.6b
upapàtakanà÷anam  Ang_2,11.11d
upapàtakarmasakto  Ang_2,11.1a
upapàtakàstvasaükhyàtàs  Ang_2,7.9e
upapàpeùu pa¤cà÷at  Ang_2,7.7c
upavàsaþ sa vij¤eyaþ  Ang_1.975a
upaviùñaþ ÷ucisthale  Ang_1.248d
upave÷yàsane ÷ubhe  Ang_2,2.9d
upasthànavranàde÷a-  Ang_2,1.5c
upasthànaü tataþ ÷ãghram  Ang_2,2.8a
upasthànaü pitþõàü tu  Ang_1.896c
upasthito hi nyàyena  Ang_2,2.1c
upàvçttistu pàkebhyo  Ang_1.974a
upoùya rajanãmekàü  Ang_1.961c
ubhayatra prakathitaü  Ang_1.798a
ubhayorbhojanaü kuryàn  Ang_1.46a
ubhayorhi tayordoùaþ  Ang_2,6.13c
ubhayostu tadà nityaü  Ang_1.81c
urvàrustàdç÷aþ proktaþ  Ang_1.603c
u÷antastviti yugmakam  Ang_1.797d
uùõena bhavane vipra-  Ang_1.250a
uùõena ÷akto na snàyàd  Ang_1.250c
uùõe varùati ÷ãte và  Ang_2,11.7a
ånamàsikabhoktàraü  Ang_1.760c
årja vahantãmanuü tataþ  Ang_1.858b
årdhvaü dakùiõatomukham  Ang_2,10.6b
årdhvaü lokaü na yàto vai  Ang_1.372a
åùmabhàgà hi pitara÷  Ang_1.821c
çgyajuþsàmabhistaràm  Ang_1.832b
çcà yuktàstayà punaþ  Ang_1.15b
çõamevaü dhanaü dhànyaü  Ang_1.1025c
çõànmuktirna jàyate  Ang_1.325b
çõànmukto bhavedayam  Ang_1.324b
çtutrayamatandritaþ  Ang_1.199d
çtusnàtadine so 'yaü  Ang_1.323a
çtviktvena vçte tasmin  Ang_1.110c
çùabhaikàda÷à gà÷ca  Ang_2,11.10a
eka eva yadà vipro  Ang_1.969a
ekacityàü samàråóhau  Ang_1.980a
ekajàti÷alàñutaþ  Ang_1.506b
ekatraiva prakurvãta  Ang_1.994c
ekatraiva hi tiùñhati  Ang_1.120b
ekatraiva hi tiùñhati  Ang_1.423b
ekadà vai bhaviùyati  Ang_1.282b
ekadaiva samàkràntaþ  Ang_1.53c
ekadaiva hi deyà syàn  Ang_1.697a
ekadvitricaturnàrã-  Ang_1.48a
