Visnusmrti


Based on the edition by V. Krishnamacharya, 
Madras : The Adyar Library and Research Center, 1964 (in 2 parts).
(The Adyar Library Series ; vol. 93,1 + 2) 

Input by I. Shima, and collated by T. Hayashi in August 1991.



Completely revised GRETIL version, 2002.


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akàmaş svayam arjitam  Vi_18.43d
ava÷iùñaü tu daüpatã  Vi_67.41d
ava÷yam yàti tiryaktvaü  Vi_44.44c
avikàryo 'yam ucyate  Vi_20.53b
avikreyasya vikrayaiş  Vi_58.10b
avij¤àtàü gatiü yàte  Vi_1.19a
avij¤àtàü tadà gatim  Vi_1.18d
avibhaktaü ca bhåtena  Vi_97.19a
avi÷eùeõa sarveùàü  Vi_58.9c
avyaktanidhanàny eva  Vi_20.48c
avyaktàdãni bhåtàni  Vi_20.48a
avyakto 'yam acintyo 'yam  Vi_20.53a
avyàptaü ced amedhyena  Vi_23.43c
a÷aktaü sarvabhçc caiva  Vi_97.17c
a÷ãtir yasya varùàõi  Vi_54.33a
a÷vamedhasahasraü ca  Vi_8.36a
a÷vamedhasahasràd dhi  Vi_8.36c
a÷vamedhena ÷uddhyeyur  Vi_35.6a
a÷vamedhena ÷udhyanti  Vi_36.8c
aùñau gràsàn vane vasan  Vi_94.13b
asamiddhya ca pàvakam  Vi_28.52b
asaüskçtapramãtànàü  Vi_81.23a
asaüskçtàn pa÷ån mantrair  Vi_51.59a
asàv aham iti bruvan  Vi_32.14d
asåyakàyànçjave 'yatàya na  Vi_29.9c
asthanvatàü tu sattvànàü  Vi_50.46a
asyàj¤ayà yaü manasà smaràmi  Vi_99.8a
ahiüsà guru÷u÷råùà  Vi_2.16c
ahiüsàm eva tàü vidyàd  Vi_51.67c
ahoràtrekùaõo divyo  Vi_1.4a
àkaràş sarva eva ca  Vi_23.48d
àkramya sarvaü tu yathà trilokãü  Vi_99.6a
àkramya sarvaş kàlena  Vi_20.28a
àgàminam anarthaü hi  Vi_20.46a
à caturviü÷ater vi÷aş  Vi_27.26d
àcàntaş ÷ucitàm iyàt  Vi_23.55d
àcàraseviny atha ÷àstranitye  Vi_99.18a
àcàràd ãpsitàü gatim  Vi_71.91b
àcàràd dhanam akùayyam  Vi_71.91c
àcàràd dhanty alakùaõam  Vi_71.91d
àcàràl labhate càyur  Vi_71.91a
àcàryas tv asya yàü jàtiü  Vi_30.46a
àcàryaü svam upàdhyàyaü  Vi_22.86a
àjyanàsaş sruvatuõóaş  Vi_1.4c
àtatàyinam àyàntaü  Vi_5.190c
àtmano vçttim anvicchan  Vi_57.15c
àtmànaü ca pa÷åü÷ caiva  Vi_51.65c
àtharvaõena hantàraü  Vi_5.192c
àdadãta yato j¤ànaü  Vi_30.43c
àdar÷abimbe ca tathà sthitàham  Vi_99.12d
àdidevo mahàyogã  Vi_1.11c
àdiùñã nodakaü kuryàd  Vi_22.87a
àdyau tu vitathe dàpyàv  Vi_6 41c
à dvàviü÷àt kùatrabandhor  Vi_27.26c
ànç÷aüsyaü prayojayan  Vi_67.37d
àpady api samàcaret  Vi_51.66d
àpåryamàõam acalapratiùñhaü  Vi_72.7a
àpo và amçtaü yavàş  Vi_48.18b
àpyàyana apàü sthàna  Vi_1.56a
àyasãùu ca vañyante  Vi_43.38c
àyuùye karmaõi kùãõe  Vi_20.43c
àyuş sà harate bhartur  Vi_25.16c
àrjavaü lobha÷ånyatvaü  Vi_2.17a
àryàvartas tataş paraş  Vi_84.4d
à vratasya samàpanàt  Vi_22.87b
à÷àsate kuóumbibhyas  Vi_59.28c
à÷ramàcàrasaüyuktàn  Vi_1.62a
à÷ramàcàrasaüyuktàn  Vi_1.63c
à÷vàsanaü kuryur adãnasattvàş  Vi_19.24b
à ùoóa÷àd bràhmaõasya  Vi_27.26a
àsåryaü tàüs tu bhuïkùmahe  Vi_80.14d
àhartà labhate tatra  Vi_5.186c
àhur dharmàrthahàrakàn  Vi_5.193d
àhåyàbhyudyatàü bhikùàü  Vi_57.11a
àhvayànam iva kùitim  Vi_1.35d
itarasya sutà api  Vi_6 41d
itaràn api sakhyàdãn  Vi_67.38a
iti kùetraü tathà j¤ànaü  Vi_97.21a
ity evam uktà vasudhàü babhàùe  Vi_99.7a
ity evam uktà saüpåjya  Vi_1.33a
idaü pavitraü maïgalyaü  Vi_100.2a
idaü rahasyaü paramaü  Vi_100.4c
idaü ÷arãraü vasudhe  Vi_96.97a
indranãlakaóàràóhyaü  Vi_1.38a
imaü lokaü màtçbhaktyà  Vi_31.10a
ucchiùñaü bhàgadheyaü syàd  Vi_81.23c
ucchiùñena tu saüspçùño  Vi_23.55a
ucchiùñopahataü ca yat  Vi_48.20b
uccheùaõaü bhåmigatam  Vi_81.24a
ucchvasan na sa jãvati  Vi_59.25d
ujjahàra vasuüdharàm  Vi_1.2d
utkçtyante tathà kvacit  Vi_43.42d
utkoca÷ulkasaüpràptam  Vi_58.10a
utpàdakabrahmadàtror  Vi_30.44a
utpàdayati sàvitryà  Vi_30.46c
utsçùño vçùabho yasmin  Vi_86.19a
udgàtràntro homaliïgo  Vi_1.6a
udde÷atas te kathito  Vi_5.194a
uddhçtà pçthivã devã  Vi_1.12c
uddhçtàhaü tvayà deva  Vi_1.45a
uddhçtya ni÷cale sthàne  Vi_1.13a
udyatàsiviùàgniü ca  Vi_5.192a
udvahanto dvijàtayaş  Vi_26.6b
unnidrakokanadacàrukare vareõye  Vi_99.2a
unnidrakokanadanàbhigçhãtapàde  Vi_99.2b
unnidrakokanadamadhyasamànavarõe  Vi_99.2d
unnidrakokanadasadmasadàsthitãte  Vi_99.2c
upapàtakinas tv ete  Vi_37.36a
upavàsavrataü caret  Vi_25.16b
upavãtaü kamaõóalum  Vi_27.29b
upasthitaü gçhe vindyàd  Vi_67.35c
upaspç÷aüs triùavaõam  Vi_28.50c
upàkarmoùñharuciraş  Vi_1.8c
upàü÷uş syàc chataguõaş  Vi_55.19c
ubhayoş sapta dàtavyà  Vi_60.25c
ubhau tau narakaü yàto  Vi_54.7c
uvàca tàü varàrohe  Vi_1.30c
uvàca saümukhaü devãü  Vi_98.102c
årdhvaü nàbher yàni khàni  Vi_23.51a
çõam asmin saünayaty  Vi_15.45a
çõikas taü pratibhuve  Vi_6 43c
çtutrayam upàsyaiva  Vi_24.40a
çtutraye vyatãte tu  Vi_24.40c
çùayaş pitaro devà  Vi_59.28a
çùir vipràõàü mahiùo mçgàõàm  Vi_48.6b
çùãü÷ ca sapta dharmaj¤àn  Vi_1.16c
ekaràtraü hi nivasann  Vi_67.34a
ekavyåhaü caturbàhuü  Vi_1.61a
ekàkùaraü paraü brahma  Vi_55.17a
ekàïgasyàpi dar÷ane  Vi_12.6d
ekàrõavagataş prabhuş  Vi_1.10d
ekàrõavajalabhraùñàm  Vi_1.10c
ekà liïge gude tisras  Vi_60.25a
eko '÷nãyàd yad utpannaü  Vi_5.184a
eta eva trayaş suràş  Vi_31.7b
eta eva trayo 'gnayaş  Vi_31.7d
eta eva trayo lokà  Vi_31.7c
eta eva trayo vedà  Vi_31.7a
etac chaucaü gçhasthànàü  Vi_60.26a
etattrayavisaüyuktaş  Vi_55.14a
etad akùaram etàü ca  Vi_55.12a
etad yo vetti taü pràhuş  Vi_96.97c
etan màüsasya màüsatvaü  Vi_51.78c
etasminn enasi pràpte  Vi_28.49a
etaü yuvànaü patiü vo dadàmy  Vi_86.16a
etàni gãtàni punàti jantån  Vi_56.27c
etàni mànasthànàni  Vi_32.16c
etàn vivarjayed yatnàc  Vi_82.30c
etàvad eva kartavyaü  Vi_20.37a
etàüs tu ÷ràddhakàlàn vai  Vi_76.2a
etàüs tu ÷ràddhakàlàn vai  Vi_77.7a
ete ÷ådreùu bhojyànnà  Vi_57.16c
eteùàm eva jantånàü  Vi_44.45c
eteùv api ca kàryeùu  Vi_57.14a
enasvibhir nirõiktair  Vi_54.31a
evam abhyarcya tu japet  Vi_65.15a
evam asmin niràlambe  Vi_20.22a
evam uktas tayà devyà  Vi_1.46c
evam uktas tu deve÷aş  Vi_1.62c
evam uktà vasumatã  Vi_1.48a
evaü karmavi÷eùeõa  Vi_45.32a
evaü carati yo vipro  Vi_28.47a
evaü nişsaü÷ayaü j¤ànaü  Vi_10.13c
evaü pàtakinaş pàpam  Vi_43.45a
evaü yaj¤avaràheõa  Vi_1.12a
evaü varàho bhagavàn  Vi_1.18a
evaüvçttasya nçpateş  Vi_3.97a
evaü sà ni÷cayaü kçtvà  Vi_1.21a
evaü hi sàkùiõaş pçcched  Vi_8.38a
eùa ÷aucasya te proktaş  Vi_22.93a
eùñavyà bahavaş putrà  Vi_85.71a
ai÷ànyàü kàrayed di÷i  Vi_86.17b
oùadhyaş pa÷avo vçkùàs  Vi_51.63a
oükàrapårvikàs tisro  Vi_55.15a
kaõñeùu dattapàdà÷ ca  Vi_43.43a
kathitaü ca dhare tava  Vi_100.4d
kathitàş païktidåùakàş  Vi_82.30b
kanãnyagrasamasthaulyaü  Vi_61.16a
kanyà kuryàt svayaü varam  Vi_24.40b
kambukaõñhãü saühatoråü  Vi_1.23c
karau vimçditavrãhes  Vi_11.10a
kartàraü vindate dhruvam  Vi_20.47d
karmaõà bràhmaõà dhanam  Vi_54.28b
karmaõàü samatikrame  Vi_54.29b
karmapà÷ava÷o jantus  Vi_20.28c
kalàü nàrhanti ùoóa÷ãm  Vi_55.20d
kalivyapetàsv avilolupàsu  Vi_99.22b
kalpàdhiùu yathà purà  Vi_1.2b
kalpe kalpe sure÷varàş  Vi_20.24b
kalmaùasyàpanuttaye  Vi_52.14d
kalyàõacitte ca sadà vinãte  Vi_99.20d
ka÷yapaü vasudhà tataş  Vi_1.33b
kàkakaïkabakàdibhiş  Vi_43.34b
kàkakaïkabakàdãnàü  Vi_43.37c
kà¤cane 'smin varàsane  Vi_1.64d
kà dhçtir me bhaviùyati  Vi_1.19d
kà dhçtir me bhaviùyati  Vi_1.46b
kàntiş prabhà kãrtir atho vibhåtiş  Vi_99.4c
kàmato retasaş sekaü  Vi_28.48a
kàmaü tam api bhojayet  Vi_67.36d
kàmaü tu gurupatnãnàü  Vi_32.14a
kàmaş krodhas tathà lobhas  Vi_33.6c
kàmàn màtà pità cainaü  Vi_30.45a
kàmyàn àha prajàpatiş  Vi_77.7b
kàrayet sarvadivyàni  Vi_9.33c
kàrttikaü sakalaü màsaü  Vi_78.53c
kàrttikaü sakalaü màsaü  Vi_89.4a
kàryam evaü tathà bhavet  Vi_21.22b
kàla÷àkaü mahà÷alkaü  Vi_80.14a
kàle ca kriyayà svayà  Vi_55.14b
kàlena nidhanaü gatàş  Vi_20.26d
kàle satatayàyini  Vi_20.22b
kàlo hi duratikramaş  Vi_20.27d
kisalayopamau  Vi_1.25b
kiücid eva tu vipràya  Vi_50.47a
kuñumbe 'tithidharmiõau  Vi_67.37b
kuõóalàbhyàü viràjitam  Vi_1.42d
kubjakha¤jaikalocanàş  Vi_45.32d
kuryàd anyan na và kuryàn  Vi_55.21c
kuryu÷ càndràyaõaü naràş  Vi_37.36b
kurvan strã÷ådradambhanam  Vi_93.11d
kurvàõàü prabhayà devãü  Vi_1.28a
kurvàõàü vãkùitair nityaü  Vi_1.27c
kurvãta kçtavàpanaş  Vi_46.24b
kulàny eva nayanty à÷u  Vi_26.6c
kule ka÷cin narottamaş  Vi_78.52b
kule ka÷cin narottamaş  Vi_85.70b
kule 'smàkaü sa jantuş syàd  Vi_85.69a
ku÷àgreõàpi saüùpçùñaş  Vi_20.44c
kåñasàkùy ançtaü vadet  Vi_8.41b
kåñàgàrapramàõai÷ ca  Vi_43.44c
kåpavat kathità ÷uddhir  Vi_23.46c
kåpàràmataóàgeùu  Vi_91.19a
kåpe pakveùñakàcite  Vi_23.45b
kçcchràõy etàni sarvàõi  Vi_46.24a
kçcchràtikçcchram atha và  Vi_39.2c
kçcchràtikçcchram atha và  Vi_41.5c
*kçcchràtikçcchraü kurvãta  Vi_54.30c
kçtanirõejanàü÷ caitàn  Vi_54.31c
kçtapàtakinaş pàpàş  Vi_43.32a
kçtaü càpy akçtaü bhavet  Vi_8.41d
kçtaü vàsya na vàkçtam  Vi_20.41d
kçtànnam udakaü striyaş  Vi_18.44b
kçtopakàràd àptaü ca  Vi_58.10c
kçtvà gçhã ÷akrapadaü prayàti  Vi_59.29d
kçtvà caivàvasakthikàm  Vi_68.49d
kçtvànyatamam icchayà  Vi_38.7b
kçtvà saptarùayo 'malàş  Vi_47.10b
kçtvedaü sacaràcaram  Vi_1.18b
kçùñajànàm oùadhãnàü  Vi_50.50a
kçùõàjine tilàn kçtvà  Vi_87.10a
kçùyamàõà yatas tataş  Vi_43.33b
kçùyamàõà÷ ca jànubhiş  Vi_43.43d
ke÷avaü mahad àpnuyàt  Vi_49.8d
kaumàraü yauvanaü jarà  Vi_20.49b
kaulaü khàrjårapànase  Vi_22.83b
krakacaiş pàñyamànà÷ ca  Vi_43.35c
kratudanta÷ citãmukhaş  Vi_1.3b
kramavikramasatkçtaş  Vi_1.5b
kramàgataü prãtidàyaü  Vi_58.9a
kravyàdbhi÷ ca hatasyànyai÷  Vi_23.50c
krimibhir bhakùyamàõà÷ ca  Vi_43.40c
kriyà kàryà sva÷aktitaş  Vi_20.30d
kråraü tvaü sarvadehinàm  Vi_13.6b
kvacic chãtena bàdhyante  Vi_43.41a
kvacit kùipyanti bànaughair  Vi_43.42c
kvacit càmedhyamadhyagàş  Vi_43.41b
kvacit tailena kvàthyante  Vi_43.38a
kvacit påyam asçk kvacit  Vi_43.39b
kvacit pretàş sudàruõàş  Vi_43.41d
kvacid bhåtena tàóyante  Vi_43.42a
kvacid vàntam athà÷nanti  Vi_43.39a
kvacid viùñhàü kvacin màüsaü  Vi_43.39c
kùatriyàõàü tu vãryataş  Vi_32.18b
kùatriyo gçham àgataş  Vi_67.36b
kùamànvite krodhavivarjite ca  Vi_99.20b
kùamà satyam damaş ÷aucaü  Vi_2.16a
kùaranti sarvà vaidikyo  Vi_55.18a
kùàntyà ÷udhyanti vidvàüso  Vi_22.90a
kùãraü dadhi ca rocanà  Vi_23.58d
kùãre tathà sarpiùi ÷àdbale ca  Vi_99.14a
kùãrodam atha sàgaram  Vi_1.33d
kùãrode vasatis tasya  Vi_1.32a
kùudhayà vyathamànà÷ ca  Vi_43.36a
kùetrakùetraj¤adeve÷a  Vi_1.52c
kùetrakùetraj¤avij¤ànaü  Vi_96.98c
kùetraj¤am api màü viddhi  Vi_96.98a
kùetraj¤am iti tadvidaş  Vi_96.97d
kùetram ity abhidhãyate  Vi_96.97b
kùetràpaõagçhàsaktam  Vi_20.42a
kùoõyà kùoõãm abhàùata  Vi_1.62d
kùaudre tathà dadhni puraüdhrigàtre  Vi_99.14b
khaógenaudumbareõa và  Vi_79.24b
khàdaka÷ ceti ghàtakàş  Vi_51.74d
khyàtir vi÷àlà ca tathànasåyà  Vi_99.5c
gaïgàyàş sikatà dhàràs  Vi_20.23a
gaccha devi janàrdanam  Vi_1.31b
gaõànnaü gaõikànnaü ca  Vi_48.21a
gatis tvaü puruùottama  Vi_1.58b
gandho lepa÷ ca tatkçtaş  Vi_23.39b
gamayaty uttamàü gatim  Vi_51.65d
gayà÷ãrùe vañe ÷ràddhaü  Vi_85.70c
garãyàn brahmadaş pità  Vi_30.44b
garãyo yad yad uttaram  Vi_32.16d
garhaõàü yàti sàdhuùu  Vi_55.14d
garhyate brahmavàdibhiş  Vi_93.12b
gavàm kaõóåyanaü caiva  Vi_23.60a
gavàü gràsapradànena  Vi_23.60c
gavàü hi tãrthe vasatãha gaïgà  Vi_23.61a
gàyatrãü ÷irasà saha  Vi_55.9b
gàvaş pavitramaïgalyaü  Vi_23.57c
gàvaş sarvàghasådanàş  Vi_23.58b
gàvo vitanvate yj¤aü  Vi_23.58a
guõadoùau vijànatà  Vi_32.13d
guõavatsarvakàmãyaü  Vi_77.9c
guõidvaidhe dvijottamàn  Vi_8.40d
gurutvam atha làghavam  Vi_42.2b
gurudàreùu kurvãta  Vi_32.15c
gurupatnã tu yuvatir  Vi_32.13a
guru÷u÷råùayà tv eva  Vi_31.10c
guruùu tv abhyatãteùu  Vi_57.15a
guruü và bàlavçddhau và  Vi_5.190a
gurån bhçtyàn ujjihãrùur  Vi_57.13a
guroş pretasya ÷iùyas tu  Vi_22.85a
gulmavallãlatànàü ca  Vi_50.48c
guhyopaniùadàsanaş  Vi_1.9b
gåóhe ÷liùñe ca jànunã  Vi_1.25d
gçhastha eva yajate  Vi_59.27a
gçhasthas tapyate tapaş  Vi_59.27b
gçhasthaş ÷eùabhug bhavet  Vi_67.42d
gçhastho nàvamànayet  Vi_59.26d
gçhàt pratinivartate  Vi_67.33b
gçhãtapàdàü tapasà jvalantãm  Vi_99.1b
gçhe guràv araõye và  Vi_51.66a
gçhõàtãha yathà vastraü  Vi_20.50a
gçhõàty evaü navaü dehã  Vi_20.50c
gçhõãtànyàni mantravat  Vi_27.29d
gçhõãyàt sàdhutaş sadà  Vi_57.15d
gocarmamàtrà sà kùoõã  Vi_5.184c
gopàya mà ÷evadhiùñe 'ham asti  Vi_29.9b
gopradànasamaü phalam  Vi_67.46d
gomåtraü gomayaü sarpiş  Vi_23.58c
goùu lokàş pratiùñhitàş  Vi_23.57d
gauóã màdhvã ca paiùñã ca  Vi_22.82a
gaur gajà÷vamarãcayaş  Vi_23.52b
grasiùõu prabhaviùõu ca  Vi_97.19d
gràmàd àhçtya và÷nãyàd  Vi_94.13a
gràhyàü prajàpatir mene  Vi_57.11c
ghçtaprà÷o vi÷odhanam  Vi_50.49d
ghçtaü yavà madhu yavà  Vi_48.18a
ghorair vyàghragaõais tathà  Vi_43.36b
cakàra jagatãü punaş  Vi_1.11d
caõóàlàdyai÷ ca dasyubhiş  Vi_23.50d
caturantà bhaved dattà  Vi_87.9c
caturthaş samavàpnuyàt  Vi_5.188d
caturda÷a vina÷yanti  Vi_20.24a
catuùpàdaş prakãrtitaş  Vi_86.15b
candanenaikam ukùataş  Vi_96.23b
candrara÷mimanoharam  Vi_1.34b
candrasåryagrahopagàn  Vi_90.29b
candrànane såryasamànabhàse  Vi_99.3c
caret sàütapanaü kçcchraü  Vi_38.7c
càturvarõyavyavasthànaü  Vi_84.4a
càturvarõyasya ÷à÷vatàn  Vi_1.61d
càturvarõyasya ÷à÷vatàn  Vi_1.63b
càmaraü vyajanaü màtràü  Vi_65.14a
càrunàsàü natabhruvam  Vi_1.23b
caitanyàdhàra niùkriya  Vi_1.56b
caurasyànnaü nava÷ràddhaü  Vi_48.21c
chatraü yànàsane tathà  Vi_65.14b
chatre ca ÷aïkhe ca tathaiva padme  Vi_99.12b
chadmanàcaritaü yac ca  Vi_93.12c
chàdmiko lokadàmbhikaş  Vi_93.8b
chàyàpatnãsahàyo vai  Vi_1.9c
chà÷vataü vidhim àsthitaş  Vi_51.59d
chucau de÷e prayatnataş  Vi_61.17b
chedane japyam çk÷atam  Vi_50.48b
chràddhakarmaõi paõóitaş  Vi_82.30d
chràddhaü tu prativatsaram  Vi_21.22d
jagaj jagàma lokànàm  Vi_1.18c
jagato 'sya samagrasya  Vi_1.53c
jagatkàraõakàraõam  Vi_1.61b
jagannirmàõakàraka  Vi_1.55d
jagàma ka÷yapaü draùñuü  Vi_1.21c
jagdhvà caivàhutaü haviş  Vi_44.44d
jaghanaü ca ghanaü madhyaü  Vi_1.26c
jaïghe virome susame  Vi_1.26a
japann upavased dinam  Vi_28.53d
japan vyàhçtipårvikàm  Vi_55.12b
japan haviùyabhugdàntaş  Vi_89.4c
japitvà trãõi sàvitryàş  Vi_54.24a
japyena tapasà tathà  Vi_54.28d
japyenaiva tu saüsidhyed  Vi_55.21a
jarayà vàpi mànavam  Vi_20.45d
