YAMASMRTI: CUMULATIVE PADA INDEX OF FOUR VERSIONS (78 / 99 / 182 verses, and South Indian recension)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.





STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse
YS99v_nn = Yamasmçti, 99-verse version_verse
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse
YSS_nn = Yamasmçti, South Indian recension

[For details of the e-texts see the separate files of the respective version.]



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akartà nityayaj¤ànàü  YSS_2.9a
aùñavarùà bhaved gaurã  YS182v_3.21a
aùña÷àlyàü mçtà ye ca  YS182v_4.30c
aùña÷àlyàü mçto vipraþ  YS182v_4.31c
asakçc ca yadà j¤àtvà  YS182v_4.43c
asakçd gamanàc caiva  YS182v_4.44a
asac chådreùu annàdyaü  YS182v_3.11a
asatyavàdinaü vàde  YSS_2.32a
asadàlàpakas tathà  YS182v_3.36d
asadàlàpakas tathà  YS78v_31d
asavarõàsu nàrãùu  YSS_1.37Aa
asaüpaïktyàvivàhikàþ  YS182v_2.9b
asaüpàñhyà avivàhinaþ  YSS_1.18b
asaüpàñhyà vivàhinaþ  YS78v_14b
asaübhaùyo hy apàïkteyaþ  YS182v_3.19c
asaübhàùyo hy apàïkteyaþ  YS78v_24c
asaübhojyà apratigràhyà  YSS_1.18a
asaüskçtapramãtànàü  YS99v_98c
asàkùivyavahàreùu  YS182v_5.26c
asevyàsevino viprà  YS182v_4.62a
astaü gate yadà sårye  YS182v_3.8a
astaü gato yadà sårya÷  YS78v_18a
asthi saücayanaü kàryaü  YS99v_87c
asthisaücayanaü proktaü  YS99v_88c
asvasthas tri÷ataü japet  YS99v_9b
ahoràtreõa ÷udhyati  YS182v_3.49b
ahoràtroùito bhåtvà  YS99v_5c
ahoràtroùito bhåtvà  YS99v_6c
àkà÷e ca kùiped vàri  YS99v_94a
àgacchantu me pitaro  YS99v_92c
àgomaithunam àsevyaþ  YSS_1.27c
àcaret trãõi kçcchràõi  YS78v_49a
àcàryasya pitur bhràtuþ  YSS_2.34a
àture snànasampràpte  YS78v_53a
àtmànaü ghàtayed yas tu  YS99v_20a
àdàya gacchaty avi÷iùñabuddhiþ  YSS_1.47b
àdhau pratigrahe krànte  YS182v_5.23c
àpaþ pitçgaõàs tathà  YS99v_95b
àpo devagaõàþ proktà  YS99v_95a
àpo hiùñþety çgabhiùiktà  YS182v_3.58a
àbdikaü caiva ÷ådrasya  YS182v_4.13c
àraõyakà ye yadi daüùñriõas tu  YSS_1.54a
àràma÷ ca vi÷eùeõa  YS99v_69c
àråóhapatitàj jàto  YSS_1.36a
à÷à[÷ai]vàlakuóe[õóe] và 'pi  YS182v_4.3c
à÷aucaü na bhavaty eva  YS182v_5.9a
à÷ramasthaü sukhàsãnaü  YSS_1.1a
àsane tu samàsãna  YSS_2.35a
àsane pàdam àråóho  YS182v_3.31a
àsane÷v àsanaü dadyàn  YS182v_3.30a
àsye ca maithunaü kçtvà  YSS_1.32Ac
àhàraü maithunaü nidràü  YS78v_76c
àhàràj jàyate vyàdhiþ  YS78v_77a
àhçtya praõavenaiva hy  YS99v_73a
itarebhyaþ(?) samàsataþ  YS182v_5.23b
iti dharmo vyavasthitaþ  YS99v_99d
iti pràha svayaü yamaþ  YS182v_3.39d
iti pràha svayaü yamaþ  YS182v_4.21b
iti pràha svayaü yamaþ  YS182v_4.34d
iti ÷àtàtapo 'bravãt  YS182v_5.17b
iti ÷àtàtapo 'bravãt  YS99v_11d
iti saücintya daõóayet  YSS_2.74d
ity àha bhagavàn yamaþ  YS182v_3.49d
ity àha bhagavàn yamaþ  YS182v_4.28d
ity àha bhagavàn yamaþ  YS182v_4.32d
ity àha bhagavàn yamaþ  YS182v_4.55b
ity àha bhagavàn yamaþ  YS182v_4.58d
idànãü bhàganirõayam  YS182v_5.20c
indudvayena ÷uddhyanti  YS78v_4c
indudvayena ÷udhyanti  YS182v_1.5c
iùñàpårtaü tu kartavyaü  YS99v_68a
iùñena labhate svargaü  YS99v_68c
iha janmani ÷ådratvaü  YS182v_3.14c
ihaloke paratra ca  YSS_1.16d
iha loke paratra ca  YS182v_2.7d
iha loke paratra ca  YS78v_12d
ãkùitaü bhuktami÷ritaü  YSS_2.68b
ukta÷ caiva vi÷eùataþ  YS182v_5.4d
ucchiùñatve '÷ucitve ca  YS99v_4c
ucchiùñabhàjanaü yena  YS182v_3.45a
ucchiùñasalilasràvaü  YSS_2.42a
ucchiùñaü taü dvijaü yas tu  YS182v_3.49a
ucchiùñena ca saüspçùñà  YS99v_14a
ucchiùñocchiùñasaüspçùñaþ  YS182v_3.44a
ucchiùñocchiùñasaüspçùñaþ  YS182v_3.47a
ucchiùñocchiùñasaüspçùño  YS182v_3.46a
ucchiùñocchiùtasaüspçùñaþ  YS78v_41a
u([turu])pàsanaparo hi saþ  YS182v_4.52d
utkçùñenàpi gohantà  YS182v_4.9c
uttame 'sminn avasthite  YSS_2.35b
uttaraþ syàc caturvidhaþ  YS182v_5.25b
utthàpya praõavena ca  YS99v_73b
utthàya ùañpadaü gacchet  YS99v_46c
utsçùñàgnis tu yo vipras  YSS_2.8a
udake snànam àcaret  YS99v_66d
udakyà dçùñipàtena  YS182v_3.51a
udakyà patitena ca  YS78v_63b
udakyàü såtikàü vàpi  YS99v_11a
udakyàþ spar÷ane caiva  YS182v_3.54a
udite grahanakùatre  YS182v_1.2c
udgacchanti hi nakùatràõy  YS99v_66a
uddi÷ya pitçpàkaü ca  YS182v_5.8c
unmàna¤ ca tathàmànaü  YSS_2.36a
upapattim avasthà¤ ca  YS78v_51c
upapàtakayukto yo  YSS_2.4a
upapàtakinas tathà  YSS_1.2b
upapàtakinàü caiva  YS182v_4.24c
upariùñàc ca ye grahàþ  YS99v_66b
upavàsam athàpi và  YS182v_4.25d
upavàsena ÷udhyati  YS99v_8b
upasthànàrcano såryaü  YSS_2.8c
upàdhyàyasya yoùitaþ  YS182v_3.5b
upàyai÷ ÷uddhim àyàti  YSS_2.71c
upàsyàm e[sãtai]va yatnataþ  YS182v_4.50b
upekùako yo ràjà tu  YSS_2.72a
upoùya dvijasaüskàraü  YS182v_3.50c
upoùya rajanãm ekàü  YS182v_3.44c
upoùya rajanãm ekàü  YS182v_3.48a
upoùya rajamãm ekàü  YS78v_41c
ubhayàvasitaþ pàpaþ  YS99v_24a
ubhayàvasitàþ pàpà  YS182v_1.5a
ubhayàvasitàþ pàpà  YS78v_4a
ubhayàvàsinaþ pàpà  YSS_1.9a
ubhayoþ såtakaü bhavet  YS78v_75b
ubhàbhyàü tarpaõe dadyàd  YS99v_99c
ubhàv apy a÷ucã syàtàü  YS99v_17a
ånaikàda÷avarùasya  YS182v_3.1a
ånaikàda÷avarùasya  YS78v_15a
årdhvaü nàbheþ karau muktvà  YS78v_45a
årdhvaü snànam adhaþ ÷aucaü  YS78v_45c
çtau tu garbha÷aïkitvàt  YS99v_16a
çùiþ ÷àtàtapo 'bravãt  YS182v_5.20d
ekatvaü sà vrajed bhartuþ  YS99v_86c
ekabhaktaü tathà naktam  YS182v_4.25c
ekam eva mçte 'hani  YS99v_83d
ekaràtropavàsa÷ ca  YS182v_1.13c
ekàda÷àhe pretasya  YS99v_89a
ekaika÷a÷ caret kçcchram  YS99v_44c
ekaika÷a÷ caret kçcchraü  YS99v_42c
ekaikaü varddhayec chukle  YS78v_10a
ekaikaü vardhayed gràsaü  YS182v_2.6a
ekaike tu kçte pàpe  YSS_1.12a
eko hato yo bahubhiþ sametaiþ  YSS_1.55a
etat te kathitaü sarvaü  YS182v_4.11a
etat te kathitaü sarvaü  YS78v_68a
etad dinacatuùkeõa  YS182v_4.26a
etad bhàsvatir abravãt  YS78v_33d
età gatvà striyo mohàt  YS182v_3.5c
etàn niyojayed yas tu  YS78v_34a
ete bràhmaõakutsàþ syus  YS182v_5.3c
ete varjyàþ prayatnena  YS182v_3.38a
ete varjyàþ prayatnena  YS78v_33c
ete ÷ådràs tu bhojyànnà  YS182v_3.10c
ete ÷ådreùu bhojyànnà  YS78v_20c
ete ÷ràddhe ca dàne ca  YS182v_3.37a
ete ÷ràddhe ca dàne ca  YS78v_a
eteùàm udakaü pãtvà  YS182v_3.63c
eteùàm udakaü pãtvà  YS78v_47c
eteùàü spar÷anàt pàpaü  YS182v_3.53a
eteùu dvàda÷àbdaü ca  YS182v_4.23c
edhyena liptaü tu bhavet kadàcit  YS182v_3.61b
evam ukto hi bhagavàn  YS182v_4.19c
evam eva tu nàrãõàü  YS78v_74c
evam eva dviguõità  YSS_2.60c
evam eva yamo 'bravãt  YS182v_3.38b
evam eva hi nàrãõàü  YS99v_54c
evaü dàtà na muhyati  YS99v_79d
evaü dviguõatàü dadyàt  YSS_2.53a
evaü pa¤ca vi÷àd ràjà  YSS_2.75a
eùa e[vame]va tu nàrãõàü  YS182v_4.17c
eùa càndràyaõo vidhiþ  YS182v_2.6d
eùa càndràyaõo vidhiþ  YS78v_10d
eùà goghnasya niùkçtiþ  YS99v_44d
eùàü gatvà tu yoùàü vai  YS78v_55a
eùàü bhuktvà ca pãtvà ca  YSS_1.32Aa
eùàü bhuktvà striyo gatvà  YSS_1.23Aa
eùàü bhuktvà striyo gatvà  YSS_1.33a
aindavàbhyàü vi÷udhyanti  YSS_1.9c
aurasena samà j¤eyà  YS182v_5.20a
auùadhaü sneham àhàraü  YS99v_50a
kaõñakànàü tu kathitaü  YSS_2.76a
kaõñakànàü tu sarveùàü  YSS_2.73a
kaõñakànàü samuddharet  YSS_2.75b
katha¤cit kàmamohitaþ  YS99v_60b
kathayasva yathà tatham  YS182v_4.19b
kathaü ÷uddhir bhavet tàsàü  YS182v_4.35c
kadàcit strã rajasvalà  YS99v_14b
kadàcit sravate gudam  YS99v_4b
kanyàdànaü ca tat kàryaü  YS182v_5.11a
kanyà pradànasamaye  YS182v_5.10c
kanyà sà vçùalã smçtà  YS182v_3.18d
kanyàü yo na prayacchati  YS182v_3.20b
kapàlagrahaõaü smçtam  YSS_1.13b
kapàlaü tuùam eva ca  YSS_2.41b
kapilàyà ghçtaü gràhyaü  YS99v_72a
kapilàyà vadhe tathà  YS182v_4.8b
kapilà và tathetarà  YS182v_4.7d
kartà kàrayità svàïgair  YSS_2.55c
kartànumantà 'py upade÷adàtà  YSS_1.42a
kartà yadi vipadyate  YSS_1.16b
kartà yadi vipadyate  YS182v_2.7b
kartà yadi vipadyate  YS78v_12b
kartàraþ sàüparàyaõàþ  YS182v_5.16d
karmaprayogena tathà yudhena  YSS_1.49b
kaùñena vartamàno 'pi  YS182v_4.15a
kàko và spç÷ate yadi  YS182v_3.48d
kàpàlikànnabhoktéõàü  YSS_1.14a
kàpàlikànnabhoktéõàü  YS182v_2.2a
kàpàlikànnabhoktéõàü  YS99v_29a
kàmàd akàmato và 'pi  YS182v_3.65c
kàmàd akàmato vàpi  YS78v_57c
kàyikaü pàtakaü smçtam  YS182v_4.49b
kàryaü tu àbdikaü caiva  YS182v_4.32a
kàryaü paitçkam eva tat  YS182v_5.8d
kàrye caivam upasthite  YS182v_3.56d
kàrye caiva vi÷eùeõa  YS182v_5.5a
kàlasnànena ÷udhyati  YS99v_12d
kàlàd àyakasàhasã  YSS_2.74b
kàle kàle tv anàturaþ  YSS_2.33d
kàlenaiva ÷ucir bhavet  YS182v_4.15b
kàùñhaloùñà÷mabhir gàvaþ  YS99v_48a
kàùñhe vanaspatau rodha-  YS78v_67c
kàùñhe sàütapanaü kuryàt  YS99v_49a
kukarmasthàs tu ye viprà  YS182v_4.55c
kukkuñàõóakamàtraü tu  YS182v_2.5a
kukkuñàõóapramàõan tu  YS78v_9a
kuóyàntarjalavalmãka-  YS99v_67a
kuõóagolakam eva ca  YSS_1.22d
kuõóàþ te golakàþ smçtàþ  YSS_1.37Ad
kuõóo jãvati bhartari  YSS_1.37b
kunakhã ÷yàvadantakaþ  YS182v_3.34b
kunakhã ÷yàvadantakaþ  YS78v_29b
kumàrã tu rajasvalà  YS78v_25d
kumbhãpàkeùu pacyante  YS182v_4.61c
kuryàd bràhmaõabhojanam  YS99v_61b
kurvàõo vapanaü yadi  YSS_2.54d
kulamitràrdhasãriõaþ  YS182v_3.10b
kulamitràrdhasãriõaþ  YS78v_20b
kulàcàrasmçto yeùàü  YSS_1.34a
kulàdayo vivàdasya  YSS_2.77a
ku÷à÷vatthapalà÷akàþ  YS78v_47b
ku÷à÷vatthapalà÷ayoþ  YS182v_3.63b
ku÷air dravyaü pçthak pçthak  YS99v_72d
kåpe và càvañe 'pi và  YS182v_4.3b
kçcchradvayaü prakurvãta  YS99v_36c
kçcchrapàdaü caret pårvà  YS78v_60c
kçcchram ekaü cared dvijaþ  YS99v_27d
kçcchraü càpi caren nityaü  YSS_1.24c
kçcchraü vai dvàda÷àbdikam  YS182v_4.25b
kçcchraü sàütapanaü kuryàd  YSS_1.22a
kçcchraü sàütapanaü caret  YSS_1.10d
kçcchraü sàütapanaü caret  YS99v_37d
kçcchraü sàütapanaü smçtam  YS182v_1.13d
kçcchraü sàütapanàdikam  YS182v_1.10d
kçcchràbdam abdakçcchraü và  YSS_1.23Ac
kçcchràbdam àcarej j¤ànàd  YS99v_28c
kçcchràbdam àcarej j¤ànàd  YS99v_29c
kçcchràbdam àcarej j¤ànàd  YS99v_34c
kçcchràbdaü samprakurvãta  YSS_1.11c
kçcchràrddhaü saüprakurvãta  YS78v_6c
kçcchràrdhaü saüprakurvãta  YS182v_1.7c
kçcchràrdhaü saüprakurvãta  YS99v_62c
kçcchreõa vastraghàte 'pi  YS78v_71a
kçcchreõa ÷uddhim àpnoti  YS99v_14c
kçcchreõa ÷udhyate pårvà  YS78v_58c
kçcchreõa ÷udhyate ÷ådrã  YS182v_3.68c
kçtaghnà duùñacàriõaþ  YS182v_4.6b
kçtà vipreõa caiva hi  YS182v_4.45b
kçtvà gandhàn samarca[rpa]yet  YS182v_3.32b
kçtvà 'ghamarùaõaü pakùaü  YS182v_1.15c
kçtvopaskaram eva ca  YSS_2.22b
kçmibhir brahmasaüyuktaü  YS182v_1.7a
kçmibhir vraõasaübhåtair  YSS_1.11a
kçmibhir vraõasaübhåtair  YS78v_6a
kçmibhir vraõasaübhåtair  YS99v_62a
kçmibhuktabraõe mau¤jã-  YS78v_7c
kçùõapakùe ca hràsayet  YS78v_10b
kçùõàyà goþ ÷akçt tathà  YS99v_71b
kecic caivàvakãrõinaþ  YS99v_39d
kecid brahmahaõo vratam  YS99v_39b
kecid vadanty evam idaü pramànam  YSS_1.56b
ke÷ànàü rakùaõàrthaü ca  YS99v_57a
ke÷àü÷ ca parirakùayet  YS99v_58b
kaivartamedabhillà÷ ca  YS78v_54c
kaivartamedabhillà÷ ca  YS99v_33c
kaivarta÷ caiva ÷ailåùo  YSS_1.32c
koõe 'py adhigatà ÷àstrair  YSS_2.77c
ko vidhiþ sa vinirdiùñaþ  YS182v_4.19a
kramam apy aùñakàde÷àt  YSS_2.51a
krama÷a÷ coditaü ÷çõu  YSS_2.1d
kriyayà bheùajena tu  YS99v_52b
kråragarbha÷ ca maithune  YS78v_77b
krodhàd aj¤ànato vàpi  YS99v_2c
kùaõità và prayatnataþ  YS182v_5.8b
kùattriõyàü vi÷a eva và  YS182v_4.47b
kùattriyo bràhmaõãsaktaþ  YS182v_4.47a
kùattriyo vai÷ya eva ca  YS182v_3.47b
kùatriyà ÷ådrajà tathà  YS78v_59b
kùayaü yàti na saü÷ayaþ  YS182v_4.20b
kùãraü kùãravikàra¤ ca  YSS_2.44a
kùetraü tathà dhànyadhanaü ÷arãram  YSS_1.41c
kharà÷vasåkaràdãnaü  YSS_2.53c
khalu mi÷ritya và punaþ  YSS_2.39b
khàtaü vàpã tathà kåpa-  YS182v_4.1a
khàte ca patità yà gauþ  YS182v_4.3a
gaïgàtoyeùu tiùñhati  YS99v_91b
gaïgà toyeùu yasyàsthi  YS99v_90a
gacchatàprasthitena tu  YSS_2.35d
gacchaüs tathàjayonau tu  YSS_2.59a
gatopagamanàd eva  YSS_2.62c
gatvà càndràyaõaü kuryàt  YS182v_2.1c
gatvà tu pravi÷ed agniü  YSS_1.29c
gatvà tu pravi÷ed agniü  YS182v_3.7c
gatvaitàü÷ ca sagotràü ca  YSS_1.31c
gatvaitàþ pravi÷ed agniü  YS99v_35c
gamanàd eva ÷ådràyàü tv  YSS_2.63a
garbhasaüsravaõe màse  YS99v_76c
garbhasràve vi÷udhyati  YS99v_77b
garbhe jàte parityàgo  YS182v_4.36c
garbhe retaþ samanvite  YS99v_44b
garbho 'pi saüpated yadi  YS99v_42b
gavàdipràõihiüsanam  YS182v_5.6b
gavàü ca [vi]ghàtam uttamam  YS182v_4.11b
gavàü nipàtane caiva  YS99v_42a
gavàü madhye vased ràtrau  YS182v_4.15c
gàtre mukhe ca pravi÷ec ca samyak  YS78v_44c
gàm àlabhya vi÷udhyati  YS182v_3.9d
gàyatryà càyutatrayam  YS182v_4.38b
gàyatryà vyàhçtibhi÷ ca  YS182v_3.59a
gàyatryà ÷odhanaü param  YS182v_3.46d
gàyatryàþ ÷odhanaü param  YS99v_9d
gàvo dårapracàreõa  YS182v_4.60a
gàvo mriyante yadi tà adagdhàþ  YSS_1.54b
gurutalpavrataü kecit  YS99v_39a
gçhitva¤ ca cikãrùati  YS78v_48d
gçhã yaþ parimu¤cati  YSS_2.42b
gçhõantv età¤ jalà¤jalãn  YS99v_92d
gçhõàno vçùalàlayàt  YSS_2.51b
gçhyàrtham api và dvijaþ  YSS_2.64b
gokùattriyaü tathà vai÷yaü  YS182v_2.4a
goghna÷ ceti vi÷uddhyati  YS78v_71b
goghnasya kecid icchanti  YS99v_39c
goghno 'ham iti vàcayet  YS182v_4.14d
godaõóaþ parikãrtitaþ  YS99v_41d
godholåkàü÷ ca vàyasàn  YSS_2.5b
gobràhmaõagçhaü dagdhà  YS99v_27a
gobràhmaõahataü dagdhaü  YS182v_1.6a
gobràhmaõahataü dagdhvà  YSS_1.10a
gobràhmaõahanaü dagdhà  YS78v_5a
gomàüsabhakùaõe kçte  YS182v_2.3b
gomàüsabhakùaõe kçte  YS78v_11b
gomàüsabhakùaõe 'pi và  YSS_1.15b
gomåtrayàvakàhàraþ  YS182v_1.8c
gomåtrayàvakàhàro  YSS_1.6c
gomåtrayàvakàhàro  YS99v_26c
gomåtraü gomayaü kùãraü  YS182v_1.13a
govadhe caiva yat pàpaü  YS182v_4.2a
govartapatità gàvaþ  YS182v_4.10c
go÷çïgamàñram uddhçtya  YS99v_93c
goùu maithunakàriõaþ  YSS_1.28b
goùñhe nivasanaü kàryaü  YS182v_4.14c
grahapradàneùu niruddhabaddhàþ  YSS_1.51c
grahoparàge saükràntau  YS99v_83a
gràmàd bahiþ prakurvãta  YSS_2.26c
gràme và vçùaëãpatiü  YSS_2.72b
gràsa¤ca parikalpayet  YS78v_9b
