Laghuyamasmrti (AAL)
Based on the edition by Vinayaka Ganesa Apte: Smçtãnàü Samuccayaş, Pune 1905 (2nd ed. 1929), pp. 112-116.
(ânandà÷ramasaüskçtagranthàvaliş / Anandasrama Sanskrit Series, 48)

This is another version of the Yamasmçti, termed Laghuyamasmçti in the editions (but not in mss.),
containing 99 verses.



Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.




PADA INDEX

STRUCTURE OF REFERENCES:
YS99v_nn = Yamasmçti, 99-verse version_verse number



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akçtvà vapanaü teùàü  YS99v_56c
garbhe retaş samanvite  YS99v_44b
garbho 'pi saüpated yadi  YS99v_42b
gavàü nipàtane caiva  YS99v_42a
gàyatryàş ÷odhanaü param  YS99v_9d
gurutalpavrataü kecit  YS99v_39a
gçhõantv età¤ jalà¤jalãn  YS99v_92d
goghnasya kecid icchanti  YS99v_39c
godaõóaş parikãrtitaş  YS99v_41d
gobràhmaõagçhaü dagdhà  YS99v_27a
gomåtrayàvakàhàro  YS99v_26c
go÷çïgamàñram uddhçtya  YS99v_93c
grahoparàge saükràntau  YS99v_83a
gràsaü và yadi gçhõãyàt  YS99v_47a
caõóàlapukkasànàü ca  YS99v_28a
caõóàla÷vapacaiş spçùñe  YS99v_64a
caõóàlaü patitaü spç÷et  YS99v_2b
caõóàlànnaü kadàcana  YS99v_26b
caõóàlaiş ÷vapacaiş spçùño  YS99v_10a
caturthe pa¤came caiva  YS99v_88a
caturthe 'hani ràtriùu  YS99v_86b
catvàro 'py avi÷eùataş  YS99v_31b
càndràyaõàbhyàü ÷udhyeta  YS99v_24c
càndràyaõena ÷udhyanti  YS99v_23c
cchedayed aïguladvayam  YS99v_54b
jalamadhye jalaü kùipet  YS99v_93d
jalàdyudbandhanabhraùñàş  YS99v_22a
jale dadyàj jalà¤jalãn  YS99v_98b
jàtena ÷udhyate jàtaü  YS99v_76a
jãvato dvi÷ataü damaş  YS99v_20d
juhuyàt sarpiùàhutãş  YS99v_6d
taóàgaü pårtam ucyate  YS99v_69b
tataş ÷uddhir vidhãyate  YS99v_63d
tat pàpaü ÷atadhà bhåtvà  YS99v_60c
tat samaü såtakaü yàti  YS99v_85c
tathà piõóodake 'pi ca  YS99v_85d
tathà varõottamàm api  YS99v_36b
tadà tasya tu tat pàpaü  YS99v_65c
tannàrãgàminàü tathà  YS99v_29b
taptakçcchradvayena và  YS99v_23d
taptakçcchraparikùipto  YS99v_30c
taptakçcchraü tu pàùàõe  YS99v_49c
tam eva parisarpati  YS99v_60d
tasmàd apsu jalaü deyaü  YS99v_95c
tasya vakùyàmi niùkçtim  YS99v_2d
tasya ÷aucaü vinirdi÷et  YS99v_4d
tasyàş piõóodakaü kriyàş  YS99v_78d
tàn dharmavighnakartéü÷ ca  YS99v_59c
tàmràyà÷ ca payo gràhyaü  YS99v_71c
tàmre và mçnmaye ÷ubhe  YS99v_74d
tàvadvarùasahasràõi  YS99v_91c
tçtãye và caturthake  YS99v_87b
tenaivocchiùñasaüspçùñaş  YS99v_15c
tailabhaiùajyapàne ca  YS99v_51a
toyaü vàpi pibed yadi  YS99v_47b
tyajanto 'patitàn bandhån  YS99v_19a
tripàde tu ÷ikhàvarjaü  YS99v_53c
triràtraü tu prakurvãta  YS99v_10c
triràtreõa vi÷uddhiş syàd  YS99v_11c
triràtreõaiva ÷udhyati  YS99v_8d
trãõy ahàni vinirdi÷et  YS99v_76d
dakùiõà dik tathaiva ca  YS99v_94d
daõóàd årdhvaprahàreõa  YS99v_40a
daõóenàbhihatas tathà  YS99v_46b
daõóyà uttamasàhasam  YS99v_19b
daõóyà dvàda÷akaü nàrã  YS99v_18c
daõóyàs tat putramitràõi  YS99v_21a
dattvà dhenuü tathà vçùam  YS99v_24d
dadad gobràhmaõeùu tu  YS99v_50b
dadyàt teùàü ca dakùiõàm  YS99v_61d
dadyàd ekena pàõinà  YS99v_99b
daùñaş snàtvà ÷uciş sadyo  YS99v_25c
daüpatã ÷ayanaü gatau  YS99v_17b
dàtà ca narakaü vrajet  YS99v_58d
divà saüdhyàsu ràtriùu  YS99v_25d
divà såryàü÷ubhis taptaü  YS99v_96a
dãyamàne vipattiş syàt  YS99v_50c
devatànàü pitéõàü ca  YS99v_98a
devatàyatanàni ca  YS99v_70b
devadroõyas tathaiva ca  YS99v_69d
dauràtmyàd aprakurvatã  YS99v_18b
dviguõaü go vrataü tasya  YS99v_40c
dviguõaü cen na dattaü ca  YS99v_58a
dviguõaü vratam àdi÷et  YS99v_57b
dviguõe tu vrate cãrõe  YS99v_57c
dviguõaiva tu dakùiõà  YS99v_57d
dvitãye nàsti doùas tu  YS99v_75c
dvitãye samupasthite  YS99v_75b
dvi pàde ÷ma÷rukevalam  YS99v_53b
dve pituş piõóadànaü syàt  YS99v_79a
dvau pàdau gàtrasaübhave  YS99v_43b
na gacchantãm anuvrajet  YS99v_55d
na gràhyàş sapta mçttikàş  YS99v_67d
na ca goùñhe nivàsaü ca  YS99v_55c
na ca vãràsanaü tathà  YS99v_55b
na cet tàn pãóayed ràjà  YS99v_60a
naño buruóa eva ca  YS99v_33b
na tasya punar àvçttir  YS99v_90c
na tu màtà kadàcana  YS99v_19d
na doùo rodha bandhayoş  YS99v_52d
na vaset tatra ràtrau tu  YS99v_64c
navaite pratyavasitàş  YS99v_23a
na striyà vapanaü kàryaü  YS99v_55a
nànyà ÷uddhir vidhãyate  YS99v_35d
nàbhimàtre jale sthitvà  YS99v_92a
nigiranyadi meheta  YS99v_6a
nityaü naimittikaü kàmyaü  YS99v_82a
nimittã naiva lipyate  YS99v_45d
niràhàrà ÷ucis tiùñhet  YS99v_12c
nirvapet trãn naraş piõóàn  YS99v_83c
ni÷i snànaü vidhãyate  YS99v_64b
niş÷alyakaraõe caiva  YS99v_51c
pa¤cagavyena ÷udhyati  YS99v_3d
pa¤cagavyena ÷udhyati  YS99v_5d
pa¤caràtraü ku÷odakam  YS99v_38d
patitàny uddhared yas tu  YS99v_70c
paradàreùu sarveùu  YS99v_37c
parvotsavamahàlaye  YS99v_83b
pavitraü sarvadà jalam  YS99v_96d
pavitraü sarvadà jalam  YS99v_97d
pa÷càd apa upaspç÷et  YS99v_5b
pàõigrahaõamantràbhyàü  YS99v_84c
pàdam utpannamàtre tu  YS99v_43a
pàde caivàsya romàõi  YS99v_53a
pàdonaü kçcchram àcaùñe  YS99v_43c
pàpaü na kùãyate hantur  YS99v_58c
pàrvaõaü ceti vij¤eyaü  YS99v_82c
pàlà÷e madhyame parõe  YS99v_74a
pà÷àü÷ chittvà tathà tasya  YS99v_27c
pàùàõe và gavàü rujà  YS99v_45b
piõóam ekaü tu nirvapet  YS99v_81d
piõóe gotre ca såtake  YS99v_84b
piõóe gotre ca såtake  YS99v_86d
piõóe piõóe dvinàmatà  YS99v_79b
pitàmahy api svenaiva  YS99v_80c
pità hi patitaş kàmaü  YS99v_19c
pitéõàü sthànam àkà÷aü  YS99v_94c
pitéõàü hitam icchatà  YS99v_95d
pibet puùkaraparõe và  YS99v_74c
pãtvàpaş pratigçhya ca  YS99v_34b
pãtvà sakçt sutaptaü ca  YS99v_38c
pårayitvà jalena ca  YS99v_93b
pårte mokùaü sama÷nute  YS99v_68d
pårvavyàdhipranaùñànàü  YS99v_47c
pårvaü kçtvà dvijaş ÷aucaü  YS99v_5a
praõavena tu saüpibet  YS99v_73d
praõavena samàloóya  YS99v_73c
pratyekaü paõikaü damam  YS99v_21b
prathamenaiva ÷udhyati  YS99v_75d
prathame 'hni dvitãye và  YS99v_87a
pravrajyànà÷akacyutàş  YS99v_22b
pràjàpatyaü tu loùñake  YS99v_49b
pràjàpatyaü samàcaret  YS99v_15d
pràbravãd çùibhiş pçùño  YS99v_1c
pràya÷cittaü kathaü tatra  YS99v_48c
pràya÷cittaü ca kçtvà vai  YS99v_63a
pràya÷cittaü tataş kuryur  YS99v_21c
pràya÷cittaü na vidyate  YS99v_47d
pràya÷cittaü na vidyate  YS99v_50d
pràya÷cittaü na vidyate  YS99v_51d
pràya÷cittaü vadanti ye  YS99v_59b
pràya÷cittaü vinirdi÷et  YS99v_40d
pràya÷cittaü vinirdi÷et  YS99v_56d
pràya÷citte tata÷ cãrõe  YS99v_61a
plavate ÷ubhakarmaõaş  YS99v_90b
bandhane rodhane caiva  YS99v_45a
bandhubhir hitabuddhibhiş  YS99v_87d
bàhumàtrapramàõakaş  YS99v_41b
brahmakårcena copari  YS99v_13d
brahmalokàt katha¤cana  YS99v_90d
bràhmaõena prayatnataş  YS99v_68b
bràhmaõo và bahu÷rutaş  YS99v_56b
bhakùayitvà tu tad gràsam  YS99v_8a
bhartuş ÷arãraü ÷u÷råùàü  YS99v_18a
bhàõóasthaü dharaõãsthaü và  YS99v_97c
bhàõóe tàmramaye tathà  YS99v_74b
bhuktvà gatvà ca yoùitam  YS99v_28b
bhuktvà caiùàü striyo gatvà  YS99v_34a
bhuktvà và mehane kçte  YS99v_6b
bhuktvocchiùñaş ùaó àcaret  YS99v_10d
bhu¤jànasya tu viprasya  YS99v_4a
bhåmau nidhàya tad gràsaü  YS99v_7c
bheùajànàü ca bhakùaõe  YS99v_51b
bhojayitvà dvijottamàn  YS99v_63b
makùikàbhi÷ ca pàtitaiş  YS99v_62b
madyagomàüsabhaksaõe  YS99v_30b
mahàpàtakakartàra÷  YS99v_31a
mahàpàtakanà÷anam  YS99v_72b
màtaraü gurupatnãü ca  YS99v_35a
màtàpitros tu satkçtim  YS99v_81b
màtà bhuktvà sa daivatam  YS99v_80b
màtçgotragatàsv api  YS99v_37b
mànuùai÷ ca ratiü vinà  YS99v_25b
màsam abhyasya påruùaş  YS99v_32b
màsàrdhena vi÷udhyati  YS99v_26d
mucyate pretalokàt sa  YS99v_89c
muõóamuõóàpanaü smçtam  YS99v_54d
munãnàm agraõãr yamaş  YS99v_1d
mårchitaş patito vàpi  YS99v_46a
måle sarvaü samàcaret  YS99v_53d
måùikotkaravartmasu  YS99v_67b
mçtaü codbandhanàdinà  YS99v_27b
mçtena mçtakaü tathà  YS99v_76b
mçto 'medhyena leptavyo  YS99v_20c
mau¤jã homena ÷udhyati  YS99v_30d
yathà pårvaü tathà punaş  YS99v_42d
yathà ÷àstrapracoditam  YS99v_21d
yathàsaükhyaü samàcaret  YS99v_3b
yadà bhojanakàle syàd  YS99v_7a
yas tu gàü vinipàtayet  YS99v_40b
yasya cotsçjyate vçùaş  YS99v_89b
yàvadasthi manuùyàõàü  YS99v_91a
yena yena tu varõena  YS99v_85a
yo bhu¤jàno '÷ucir vàpi  YS99v_2a
rajaka÷ carmakàra÷ ca  YS99v_33a
rajasy uparate sàdhvã  YS99v_77c
rajasvalà tu saüspçùñà  YS99v_12a
rajasvale yadà nàryàv  YS99v_13a
rajjvàdibhir upakramaiş  YS99v_20b
rahasyakaraõe 'py evaü  YS99v_32a
ràjà daõóena pãóayet  YS99v_59d
ràjà và ràja putro và  YS99v_56a
ràj¤àü pravrajitàü dhàtrãü  YS99v_36a
ràtribhir màsatulyàbhir  YS99v_77a
ràtrau nakùatramàrutaiş  YS99v_96b
vatsànàü kaõñhabandhena  YS99v_52a
varõànàm anupårva÷aş  YS99v_1b
varõànàm anupårva÷aş  YS99v_88d
varùaü tyàjyà dhanaü vinà  YS99v_18d
varùe varùe tu kurvãta  YS99v_81a
vàpã kåpataóàgàni  YS99v_70a
vàristho dakùiõàmukhaş  YS99v_94b
viõmåtre tu kçte dvijaş  YS99v_10b
vittàpekùaü bhaved iùñaü  YS99v_69a
vivàhàt saptame pade  YS99v_78b
vivàhe caiva saüvçtte  YS99v_86a
viùaprapatanapràya-  YS99v_22c
viü÷atiü gàvçùaü caiva  YS99v_61c
vçddhi÷ràddham athàparam  YS99v_82b
ve÷yàbhigamane pàpaü  YS99v_38a
vyapohanti dvijàtayaş  YS99v_38b
÷aktyà dadyàc ca dakùiõàm  YS99v_62d
÷atadhà parivartate  YS99v_65d
÷ayanàd utthità nàrã  YS99v_17c
÷astraghàtahatà÷ ca ye  YS99v_22d
÷astre càpy atikçcchrakam  YS99v_49d
÷astrair và nihatà yadi  YS99v_48b
÷àstre ÷àstre nigadyate  YS99v_48d
÷uklàyà måtraü gçhõãyàt  YS99v_71a
÷uciş syàd a÷uciş pumàn  YS99v_17d
÷udhyataş pa¤cagavyena  YS99v_13c
÷udhyed antarjale sthitaş  YS99v_32d
÷ådrà dànopavàsataş  YS99v_14d
÷aucaü måtrapurãùavat  YS99v_16d
÷ma÷àne ÷auca÷eùe ca  YS99v_67c
÷yàmàc chabalakàc cyutaş  YS99v_24b
÷ràddhaü pa¤cavidhaü budhaiş  YS99v_82d
÷ràddhe havanakàle ca  YS99v_99a
÷rutismçtyuditaü dharmaü  YS99v_1a
÷vamàtaïgàdivàyasaiş  YS99v_12b
÷va÷çgàlaplavaïgàdyair  YS99v_25a
÷vetàyà dadhi cocyate  YS99v_71d
ùaóràtraü và triràtraü và  YS99v_3a
ùaõõàü deyàs trayaş piõóà  YS99v_79c
sa gotràm abhigamya ca  YS99v_36d
sadyaş snànena ÷udhyati  YS99v_64d
sa pårtaphalam a÷nute  YS99v_70d
sapta pa¤ca da÷àpi và  YS99v_46d
saptame navame tathà  YS99v_88b
saptaite antyajàş smçtàş  YS99v_33d
sarvatãrthe nadã toye  YS99v_72c
sarvalokabahiùkçtàş  YS99v_23b
sarvàn ke÷àn samuddhçtya  YS99v_54a
saüdhyayor apy ubhàbhyàü ca  YS99v_96c
saüpadyate cen maraõaü  YS99v_45c
saüspç÷ed antyajo yadi  YS99v_11b
saüspçùñe ra÷mibhis teùàm  YS99v_66c
sàyaü saügopanàrthaü ca  YS99v_52c
sàrdra÷ ca sa palà÷a÷ ca  YS99v_41c
suvarõam àùakaü dadyàt  YS99v_63c
såtake tu samutpanne  YS99v_75a
sthale dadyàj jalà¤jalãn  YS99v_98d
sthitvà và mahati kratau  YS99v_31d
snàtvà triùavaõaü vipraş  YS99v_3c
snàtvà ÷uddhim avàpnuyàt  YS99v_7d
snànaü maithuninaş smçtam  YS99v_16b
snànaü yena vidhãyate  YS99v_15b
snànena strã rajasvalà  YS99v_77d
svagotràd bhra÷yate tataş  YS99v_84d
svagotràd bhra÷yate nàrã  YS99v_78a
svabhàvayuktam avyàptam  YS99v_97a
svargaloke mahãyate  YS99v_89d
svargaloke mahãyate  YS99v_91d
svasçduhitarau snuùàm  YS99v_35b
svasthas trãõi sahasràõi  YS99v_9c
svàmigotreõa kartavyàs  YS99v_78c
svena bhartrà saha ÷ràddhaü  YS99v_80a
svenaiva prapitàmahã  YS99v_80d
hatvà garbham acetanam  YS99v_43d
hastau kçtvà susaüyuktau  YS99v_93a
hçdayenànucintayet  YS99v_92b

