GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
akçte tarpaõe bhåyaş  Ang_1.881a
akçte pratyavàyo na  Ang_1.843a
akçtvà kulasaütatim  Mn_5.159[157M]d
akçtvà tu samãpe tu  Ang_1.957a
akçtvà nityakarmàõi  Ang_1.260a
akçtvà pitçtarpaõam  Par_12.13d
akçtvà pretasaüskàraü  Ang_1.142a
akçtvà bhaikùacaraõam  Mn_2.187a
akçtvà vapanaü tasya  Par_9.54a
akçtvà vapanaü teùàü  YS99v_56c
akçtvà vai÷vadevaü tu  Par_1.56a
akçtvaiva tadà ÷ràddhaü  Ang_1.67a
akçtvaiva nivçttiü yaş  Ang_2,8.9a
akëpta÷cettu yo bhavet  Ang_1.636b
akëptà iti såribhiş  Ang_1.656b
akëptànyeva kevalam  Ang_1.657b
akëpto 'nyena cedbhavet  Ang_1.635d
akramoóhàsuta÷ caiva  K_862a
akramoóhàsutas tv çkthã  K_863a
akravyàdas tu vatsikàm  Yj_3.272d
akravyàdàn vatsatarãm  Mn_11.137[136M]c
akruddho 'parituùña÷ ca  Yj_3.53c
akråro madhuraş snigdhaş  K_065a
akrodhana÷ca sumukho  Ang_1.773c
akrodhanàn suprasàdàn  Mn_3.213[203M]a
akrodhanàş ÷aucaparàş  Mn_3.192[182M]a
akle÷ena ÷arãrasya  Mn_4.3c
akle÷enàrthine yas tu  K_022a
akùatà ca kùatà caiva  Yj_1.67a
akùatàbhiş sapuùpàbhir  Nar_5.41a
akùatàyàü kùatàyàü và  Yj_2.130a
akùatàlåùake ÷roõã-  Yj_3.87c
akùato bràhmaõo vrajet  Mn_8.124d
akùabhaïge ca yànasya  Mn_8.291c
akùamàlà vasiùñhena  Mn_9.23a
akùayàyopakalpate  Mn_3.202[192M]d
akùayàül labhate lokàn  Par_3.31c
akùayodakamityapi  Ang_1.887d
akùayo 'yaü nidhã ràj¤àü  Yj_1.315c
akùayyà nàtra saü÷ayaş  Yj_3.331d
akùayyà vçddhir eteùàü  Nar_1.94c
akùayyodakam eva ca  Yj_1.243d
akùaraü duùkaraü j¤eyaü  Mn_2.84c
akùavardhra÷alàkàdyair  Nar_17.1a
akùàralavaõaü mitam  Mn_11.109[108M]b
akùàralavaõaü råkùaü  Ang_2,11.1c
akùàralavaõànnàş syur  Mn_5.73[72M]a
akùikarõacatuùkaü ca  Yj_3.99a
akùiõvan nyàsadhàriõam  Mn_8.196d
akùiõvan yogatas tanum  Mn_2.100d
akùudro 'paruùas tathà  Yj_1.310b
akùeõa ÷aùpairmantrairvà  Ang_1.630c
akùetre bãjam utsçùñam  Mn_10.71a
aksàralavaõaü caiva  Mn_3.257[247M]c
agamyàgamanãyaü tu  Mn_11.169[168M]c
agamyà gamane caiva  Par_10.1c
agamyàgamane vipro  YS99v_30a
agamyàgàminaş ÷àsti  Nar_12.76a
agarãyasi và punaş  Nar_19.42b
agastyo hy àcarat purà  Mn_5.22d
agàradàhã garadaş  Mn_3.158[148M]a
agàram upasaüvrajet  Mn_6.51d
agàràd abhiniùkràntaş  Mn_6.41a
aguptam aïgasarvasvair  Mn_8.374c
agupte kùatriyàvai÷ye  Mn_8.385a
aguruş kùatriyàõàü tu  Ang_2,5.9a
agçhãtaü pradàsyati  K_184b
agçhãte samaü dàpyaş  Yj_2.292c
agçhãte samaü dàpyo  Yj_2.193c
agnayeti ca tatparam  Ang_1.810d
agnikàryaü tataş kuryàt  Yj_1.25c
agnikàryàt paribhraùñàş  Par_12.32(31)a
agnicit kapilà satrã  Par_12.47(46)a
agnidagdhànagnidagdhàn  Mn_3.199[189M]a
agnidànàü ca ye lokà  Yj_2.74a
agnidàn bhaktadàü÷ caiva  Mn_9.278a
agnidhàmà dharànàtho  Ang_1.518a
agninà copacålanam  Par_5.6d
agninà dagdham eva và  Mn_8.189b
agnipakvà÷ano và syàt  Mn_6.17a
agnir àpa÷ ca vedà÷ ca  Par_12.21(20)a
agnir àpas tathaiva ca  Mn_7.209Mb
agnir jalaü và ÷ådrasya  Yj_2.98c
agnir mårdhà divaş kakut  Yj_1.300b
agnivarõaü nyaset piõóaü  Yj_2.105c
agnivarõaü suràü pibet  Par_12.76(75)d
agnivarõàü suràü pibet  Mn_11.90[89M]b
agnivàyuravibhyas tu  Mn_1.23a
agnividyudvipannànàü  Par_9.42c
agniùñomaphalaü hi tat  Par_6.52b
agniùñomàdikàn makhàn  Mn_2.143b
agniùvàttà÷ ca devànàü  Mn_3.195[185M]c
agniùvàttàü÷ ca saumyàü÷ ca  Mn_3.199[189M]c
agnisaüskaraõe teùàü  Par_3.16/1c
agnihotraparàyaõaş  Mn_4.10b
agnihotram upàsate  Mn_11.42[41M]b
agnihotrasvaråpiõaş  Ang_1.301b
agnihotraü ca juhuyàd  Mn_4.25a
agnihotraü yathàvidhi  Mn_6.9b
agnihotraü samàdàya  Mn_6.4a
agnihotrã sa eva syàd  Ang_1.625a
agnihotropakaraõam  Par_5.22a
agnihotry apavidhyàgnãn  Mn_11.41[40M]a
agniü pravi÷ya ÷udhyanti  YS99v_31c
agniü pravi÷ya ÷udhyanti  YSS_1.25c
agniü vàhàrayed enam  Mn_8.114a
agnãn àtmani vaitànàn  Mn_6.25a
agnãn àropya càtmani  Yj_3.56d
agnãndhanaü bhaikùacaryàm  Mn_2.108a
agnãn vàpy àtmasàtkçtvà  Yj_3.54a
agnãü÷ caivàvilambayan  Yj_1.89d
agner indrasya somasya  Nar_18.24c
agnermanve 'nuvàkasya  Ang_1.767c
agne÷ ca varuõasya ca  Mn_7.4b
agneş sakà÷àd vipràgnau  Yj_1.316c
agneş somayamàbhyàü ca  Mn_3.211[201M]a
agneş somasya caivàdau  Mn_3.85[75M]a
agnaukaraõahome 'piü  Ang_1.1075c
agnau kariùyann àdàya  Yj_1.236a
agnau kuryàd anuj¤àto  Mn_3.210[200M]c
agnau kuryànna laukike  Ang_1.399b
agnau pràstàhutiş samyag  Mn_3.76[66M]a
agnau suvarõam akùãõaü  Yj_2.178a
agnyagàre gavàü goùñhe  Mn_4.58a
agnyagàre gavàü goùñhe  Ang_2,8.15c
agnyabhàve tu viprasya  Mn_3.212[202M]a
agnyambusukçtàdibhiş  K_237d
agnyambusukçtàdibhiş  Nar_1.218d
agnyàdibhirbhojanena  Ang_1.962c
agnyàdheyasya dakùiõàm  Mn_11.38[37M]b
agnyàdheyaü pàkayaj¤àn  Mn_2.143a
agrato vikiran bhuvi  Mn_3.244[234M]d
agraü navebhyaş sasyebhyo  Nar_18.34a
agraü ràjanya ucyate  Mn_11.83[82M]b
agrànãkeùu yojayet  Mn_7.193[194M]d
agràhyàbhedyamårtãnàü  Ang_1.228a
agràhyàbhedyamårtãnàü  Ang_1.231c
agre màhiùakaü dçùñvà  YS182v_3.16a
agre màhiùikaü dçùñvà  YS78v_35a
agryaş sarveùu vedeùu  Yj_1.219a
agryàş sarveùu vedeùu  Mn_3.184[174M]a
agryo madhyo jaghanya÷ ca  Mn_12.30c
aghamarùaõasåktaü và  YS99v_32c
aghamarùavidhànataş  Ang_1.176d
agha÷aüsyàtmavikretç-  Nar_1.165c
aghaü sa kevalaü bhuïkte  Mn_3.118[108M]a
aïgacchedã viyojyaş syàt  K_968c
aïgacchede tad ardhaü tu  K_964c
aïgapratyaïgasaüpårõe  YS99v_44a
aïgapratyaïgasaüpårõo  Par_9.16c
aïgam abràhmaõasya tu  Yj_2.215b
aïgavid dharmapàñhakaş  Par_8.27b
aïgaviddharmapàñhakaş  Ang_2,5.1b
aïga÷uddhi÷ ca jàyate  Par_3.3b
aïgahãnàdi janmanaş  Yj_3.163d
aïgàni tattatkàleùu  Ang_1.103a
aïgàpakarùaõaü naiva  Ang_1.102a
aïgàvapãóanàyàü ca  Mn_8.287a
aïgirà idamabravãt  Ang_2,1.1d
aïgãkurma÷ca sàüpratam  Ang_1.578b
aïgulànàü ÷atadvayam  Nar_20.16b
aïgulãr granthibhedasya  Mn_9.277a
aïgulãùu da÷aiva tu  Par_5.16d
aïgulyaïguùñhayor vadhaş  Nar_19.39b
aïgulyàü yaş pavitràõi  YS182v_3.32a
aïgulyor eva và chedaü  Mn_8.370c
aïguùñhamàtrasthålas tu  Par_9.10a
aïguùñhamàtrasthålas tu  YS99v_41a
aïguùñhamàtraü sthålaş syàd  Ang_2,10.2a
aïguùñhamålasya tale  Mn_2.59a
aïguùñhàrdhaü tu gomayam  Par_11.30d
aïgeùu vyaktade÷eùu  YSS_2.55a
aïgair unmãlyate ÷anaiş  Par_8.19b
aïgairunmãlyate ÷anaiş  Ang_2,4.10b
acakùurviùayaü durgaü  Mn_4.77a
aca¤calaü sthiraü tuùñaü  Ang_1.386c
acintyasyàprameyasya  Mn_1.3c
aciràt taü duràtmànaü  Mn_8.174c
acirenaiva sãdati  Mn_7.134[135M]d
acåóàn nai÷ikã smçtà  Yj_3.23b
acodito hanti narastriyaü và  YSS_1.50c
acoràd dàpitaü dravyaü  K_821a
acaura÷ cauratàü pràpto  Nar_M1.36c
acaure dàpite moùaü  Nar_19.27a
acchalenaiva cànvicchet  Mn_8.187a
acchidram iti yad vàkyaü  Par_6.51c
acchidraü sadguõaü sàïgaü  Ang_1.904a
achinnàgràş ÷ukatviùaş  Par_11.34d
ajaóa÷ ced apogaõóo  Mn_8.148a
ajaóa÷ ced apogaõóo  Nar_1.72a
ajadantaü su÷obhanaü  YSS_2.66b
ajaptvàgnim ahåya ca  Par_12.44(43)b
ajameùàv anaóvàhaü  Mn_11.136[135M]c
aja÷rãrajacarmàkhyo  Ang_1.511c
ajaş ÷arãragrahaõàt  Yj_3.69c
ajàtadantà ye bàlà  Par_3.14a
ajàta÷ càsmi tatkàla  K_169c
ajàta÷ càsmi tatkàla  Nar_M2.5c
ajàteùv eva sasyeùu  K_666a
ajàtau jàtikaraõe  Yj_2.246c
ajànan yastu vibråyàj  Ang_2,6.13a
ajànànas tu lekhayet  Nar_1.149d
ajànànàü ca dàtşõàm  Ang_2,6.14a
ajàvikavadhas tathà  Mn_11.68[67M]b
ajàvikaü tu viùamaü  Mn_9.119c
ajàvikaü saika÷aphaü  Mn_9.119a
ajàvike tathàruddhe  Nar_6.16a
ajàvike tu saüruddhe  Mn_8.235a
ajàvike savatse tu  Nar_11.28c
ajàviko màhiùa÷ ca  YS182v_3.26a
ajà÷çïganibhaü ÷yàmaü  K_446a
ajà÷vayor mukhaü medhyaü  Yj_1.194a
ajinaü mekhalà daõóo  Par_12.3a
ajihmasyà÷añhasya ca  Mn_3.246[236M]b
ajihmaş krodhano 'riùu  Yj_1.334b
ajihmàm a÷añhàü tathà  Yj_1.123d
ajihmàm a÷athàü ÷uddhàü  Mn_4.11c
ajãgartaş sutaü hantum  Mn_10.105a
ajãrõavamane snànam  Ang_1.173a
ajãrõaş syàttadà doùaş  Ang_1.291a
ajãvan hartum arhati  Mn_11.18[17M]d
ajãvaüs tu yathoktena  Mn_10.81a
aj¤aü hi bàlam ity àhuş  Mn_2.153c
aj¤àtagràmatàtàdir  Ang_1.1050a
aj¤àtagràmasaübhavaş  Ang_1.1051d
aj¤àtadoùeõoóhà yà  Nar_12.96a
aj¤àtapitçko ya÷ ca  Nar_13.17a
aj¤àtabhukta÷uddhyarthaü  Mn_5.21c
aj¤àtaü ca sadà ÷uci  Yj_1.191d
aj¤àtaü caiva sånàstham  Mn_11.155[154M]c
aj¤àtaü vidyate tvayà  Nar_20.22d
aj¤àtàrthe ca vastuni  K_157b
aj¤àtàü÷ ca mçgadvijàn  Mn_5.17b
aj¤àtàü÷ ca mçgadvijàn  Yj_1.174d
aj¤àtena kçtaü yadà  YS182v_5.10b
aj¤àtvà dharma÷àstràõi  Par_8.6a
aj¤àtvà dharma÷àstràõi  YS182v_4.29a
aj¤àtvà pårvavçttàntaü  Ang_1.354c
aj¤ànanà÷itaü caiva  K_596c
aj¤ànabhuktaü tåttàryaü  Mn_11.160[159M]c
aj¤ànàc ca kçtaü sarvaü  YS182v_5.12a
aj¤ànàc caikabhaktena tv  Par_6.25c
aj¤ànàt kçcchram uddiùñaü  YS182v_2.2c
aj¤ànàt kçùikartàro  Par_8.3c
aj¤ànàt kùetrikasya tu  Mn_8.243d
aj¤ànàt tu dvija÷reùñha  YS78v_78a
aj¤ànàt tu suràü pãtvà  Yj_3.255a
aj¤ànàt prà÷ya viõmåtraü  Mn_11.150[149M]a
aj¤ànàt prà÷ya viõmåtraü  Par_12.2a
aj¤ànàt spç÷ate yadi  Par_12.55(54)d
aj¤ànàd avicakùaõaş  YS99v_65b
aj¤ànàd àpadàpi và  Par_11.5b
aj¤ànàdupadeùñavyaş  Ang_2,7.3c
aj¤ànàd aindavadvayam  YS99v_28d
aj¤ànàd aindavadvayam  YS99v_29d
aj¤ànàd aindavadvayam  YS99v_34d
aj¤ànàd aindavadvayam  YSS_1.14d
aj¤ànàd aindavaü smçtaü  YSS_1.33d
aj¤ànàd dvi÷ato damaş  Mn_8.264d
aj¤ànàd dve ÷ate pårõe  Mn_8.121c
aj¤ànàd bàlabhàvàc ca  Mn_8.118c
aj¤ànàd bràhmaõo bhuktvà  YS99v_26a
aj¤ànàd bhu¤jate dvijaş  Par_11.10b
aj¤ànàd bhu¤jate vipràş  Par_11.16a
aj¤ànàd yadi và j¤ànàt  Mn_11.232[231M]a
aj¤ànàd vàruõãü pãtvà  Mn_11.146[145M]a
aj¤àninàü j¤àninàü ca  Ang_1.14c
aj¤ànena tu yo gacchet  Par_10.11a
aj¤ànoktau daõóayitvà  K_741c
aj¤ebhyo granthinaş ÷reùñhà  Mn_12.103a
aj¤o bhavati vai bàlaş  Mn_2.153a
aj¤au dàtçpratãcchakau  Mn_4.194d
ajyeùñhavçttir yas tu syàt  Mn_9.110c
añan dhàvan khalan bhraman  Ang_1.463d
aõãyàüsam aõor api  Mn_12.122b
aõóàjàş pakùiõaş sarpà  Mn_1.44a
aõvyo màtrà vinà÷inyo  Mn_1.27a
ata årdhvaü tu chandàüsi  Mn_4.98a
ata årdhvaü tu yatsnàtaş  Ang_2,9.13a
ata årdhvaü tu ye vipràş  Par_8.15a
ata årdhvaü tu ye vipràş  Ang_2,4.8a
ata årdhvaü tu snàtànàü  Ang_2,9.4a
ata årdhvaü trayo 'py ete  Mn_2.39a
ata årdhvaü triràtraü syàd  Par_12.53(52)c
ata årdhvaü patanty ete  Yj_1.38a
ata årdhvaü pravakùyàmi  Mn_8.214c
ata årdhvaü pravakùyàmi  Mn_8.218c
ata årdhvaü pravakùyàmi  Mn_8.266c
ata årdhvaü pravakùyàmi  Mn_8.278c
ata årdhvaü pravakùyàmi  Mn_11.98[97M]c
ata årdhvaü pravakùyàmi  Nar_20.15a
ata årdhvaü pravakùyàmi  Ang_2,2.1a
ata årdhvaü pravakùyàmi  Ang_2,12.1a
ata årdhvaü prasåtiş syàd  Par_3.16c
ata årdhvaü rajasvalà  Par_7.5b
ata årdhvaü rajasvalà  YS182v_3.21d
ata årdhvaü rahasyànàü  Mn_11.247[246M]c
ata årdhvaü sakulyaş syàd  Mn_9.187c
atathyaü tathyabhàvena  K_295c
atathyaü ÷ràvitaü ràjà  K_778a
atapàs tv anadhãyànaş  Mn_4.190a
ata÷ ca sutadàràõàü  K_641a
atastaddvividhaü smçtam  Ang_1.680d
atas tu viparãtasya  Mn_7.34a
atasmin tattvamàropya  Ang_1.123a
ataş kriyà tadà proktà  K_211c
ataş paraü gçhasthasya  Par_2.1a
ataş paraü pravakùyàmi  Mn_9.56c
ataş paraü pravakùyàmi  Mn_10.131c
ataş paraü pravakùyàmi  Par_6.1a
ataş paraü pravakùyàmi  Nar_20.25a
ataş paraü pravakùyàmi  Nar_20.32a
ataş paraü pravakùyàmi  Nar_20.41a
ataş paraü pravakùyàmi  YS182v_5.1a
ataş parãkùyam ubhayam  Nar_M1.62a
ataş putreõa jàtena  Nar_1.06a
ataş pratyakùamàrgeõa  Nar_M1.35c
ataş ÷uddhiü pravakùyàmi  Par_3.1a
ataş ÷çõudhvaü màüsasya  Yj_1.178c
ataş ùañtriü÷atkasaükhyà  Ang_1.505c
ataş svalpãyasi dravye  Mn_11.8[07M]a
atikçcchraü caran dvijaş  Mn_11.213[212M]d
atikçcchraü ca rudhire  Par_11.54a
atikçcchraü nipàtane  Mn_11.208[207M]b
atikçcchraş sa ucyate  Par_11.55b
atikçcchre trayoda÷a  Par_9.25d
atikçcchro nipàtane  Yj_3.292b
atikopaü vivarjayet  Par_9.61d
atikramaü vratasyàhur  Mn_11.120[119M]c
atikrame 'payàte ca  K_119a
atikrànte da÷àhe ca  Mn_5.76[75M]a
atikrànte saptaràtre  K_194c
atikràman de÷akàlau  Mn_8.156c
atikràmet pramattaü yà  Mn_9.78a
atikrauryaü kalàvapi  Ang_1.98b
atikùudraikakàleùu  Ang_1.213a
atikùudhàturo rogã  Ang_1.259c
aticàturyato 'tãva  Ang_1.582a
atituùñà mahàtuùñàş  Ang_1.1088c
atitçptyaikakàrakaş  Ang_1.615d
atithitvena varõànàü  Yj_1.107a
atithibhyo 'gra evaitàn  Mn_3.114[104M]c
atithir bràhmaõaş smçtaş  Mn_3.102[92M]b
atithir yasya bhagnà÷as  Par_1.46c
atithir yasya bhagnà÷o  Par_1.45a
atithis tv indraloke÷o  Mn_4.182c
atithiü cànanuj¤àpya  Mn_4.122a
atithiü tatra saüpràptaü  Par_1.43a
atithiü taü vijànãyàn  Par_1.41c
atithiü pårvam à÷ayet  Mn_3.94[84M]b
atithiü yan na bhojayet  Mn_3.106[96M]b
atithiü ÷rotriyaü tçptam  Yj_1.113a
atithau taddinabhràntyà  Ang_1.948a
atidàhe caret pàdaü  Par_9.29a
atidàhe 'tivàhe ca  Par_9.28a
atiduşkhaikajãvitam  Ang_1.1056b
atipra÷asyaü covàca  Ang_1.590c
atiprasaktiü caiteùàü  Mn_4.16c
atibàlye tato bhåyo  Ang_1.1056c
atimànàd atikrodhàt  Par_4.1a
atimàninamagràhyaü  Ang_1.746c
ativàdàüs titikùeta  Mn_6.47a
ativçùñihatànàü ca  Par_9.43c
ati÷uddhamati÷reùñhaü  Ang_1.243c
atisàhasam àkramya  Nar_14.11c
atiharùaü gatàş sadyas  Ang_1.564c
atãtànàü ca sarveùàü  Mn_7.178[179M]c
atãtàyàm aprajasi  Yj_2.144c
atãtàrthasmçtiş kasya  Yj_3.150c
atãte kàrya÷eùaj¤aş  Mn_7.179[180M]c
atãte kùapaõaü smçtam  Mn_5.71[70M]b
atãto yadi pakùaş sa  Ang_1.712c
atãtyàpràpya tatkàlaü  Ang_1.643c
atuùñikaram eva ca  Mn_4.217[218M]d
atçptà eva no te syur  Ang_1.1093a
ataijasàni pàtràõi  Mn_6.53a
ato na roditavyaü hi  Yj_3.11c
ato nànyena hãyate  K_306d
ato 'nyagamane strãõàm  Nar_12.102c
ato 'nyatamam àsthàya  Mn_11.86[85M]a
ato 'nyatamayà vçttyà  Mn_4.13a
ato 'nyathà kle÷abhàk syàn  Nar_11.19a
ato 'nyathà tu praharan  Mn_8.300c
ato 'nyathà pravçttis tu  Mn_5.31c
ato 'nyathà bhaved doùas  Par_6.56a
ato 'nyathà bhàvanãyàş  K_383c
ato 'nyathà mahàkùàntyà  Nar_M2.10c
ato 'nyathà vartamànaş  Nar_12.88a
ato 'nyathà vartamàno  Mn_8.397c
ato 'nyathàü÷abhàjo hi  Nar_13.23c
ato 'nyeùu vivàdeùu  K_405c
ato 'nyeùu sabhàmadhye  K_435c
ato 'nyair yat kçtaü kàryam  K_068a
ato 'patyaü dvayor iùñaü  Nar_12.59c
ato 'pravçtte rajasi  Nar_12.27a
ato bàlatarasyàpi  YS182v_3.2a
ato bàlatarasyàpi  YS78v_16a
ato bàlatarasyàsya  YSS_1.21a
ato yateta tatpràptyai  Yj_1.352c
ato yad anyad vibråyur  Mn_8.78c
ato yad anyad vibråyur  K_393c
ato yad àtmano 'pathyaü  Yj_3.65c
ato 'rthàn na pramàdyanti  Mn_2.213c
ato 'rvàkpaõyadoùas tu  K_695a
atyakramaü càtya÷àstraü  Ang_1.98c
atyantacapalaü ÷ràntam  Ang_1.756a
atyantatçptimuktyaika-  Ang_1.477c
atyantapitçtçptyaika-  Ang_1.603a
atyantaü ÷rãr niùevate  K_003d
atyantàva÷yako na syàd  Ang_1.636a
atyantaikapavitrà hi  Ang_1.910a
atyanyàyamatidroham  Ang_1.98a
atyarthaü vedayaü÷ caiva  YSS_2.57a
atyalpam atibhåri ca  K_173b
atyalpam atibhåri ca  K_188b
atyucchritaü tathàtmànaü  Mn_7.170[171M]c
atyutkràntipravçttasya  Ang_1.295a
atyuùõaü sarvam annaü syàd  Mn_3.236[226M]a
atra kecitpunaş procuş  Ang_1.983c
atra gàthà vàyugãtàş  Mn_9.42a
atra pitaro 'mutra ca  Ang_1.855a
atra viùõurmataü svasya  Ang_1.997a
atra saüskàra÷abdataş  Ang_1.141d
atrànuktairmahàkàla-  Ang_1.844a
atràham amukaş sàkùã  Yj_2.87c
atrer viùõo÷ ca saüvartàd  Par_1.13c
atraiva pa÷avo hiüsyà  Mn_5.41c
atraiva pitçyaj¤a÷ca  Ang_1.615a
atroktàş kila karmaõi  Ang_1.818b
atha kàryavipattis tu  K_609a
atha cet pratibhår nàsti  K_117a
atha cet sa dvibhàryaş syàn  K_908a
atha ced ançtaü bråyuş  Nar_11.7a
atha cen matra[ntra]vidyukto  YS182v_3.39a
atha tatkartçto 'khilam  Ang_1.430d
atha trayàõàü vakùyàmi  Ang_2,1.2a
atha daivavisaüvàdàt  K_456a
atha pa¤catvam àpanno  K_285a
atha putrasya pautreõa  Mn_9.137c
atha pracchannapàpànàü  Nar_19.57c
atha pràg eva dattà syàt  K_649a
atha bhavaty eva pàpam  YSS_2.74c
atha målam anàhàryaü  Mn_8.202a
