Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
aparÃhïe samabhyarcya  Yj_1.226a
apaÓcÃttÃpina÷ ka«ÂÃn  Yj_3.221c
apaÓyatÃ kÃryavaÓÃd  Yj_2.3a
apasavyaæ tata÷ k­tvÃ  Yj_1.232c
apahatÃ iti tilÃn  Yj_1.234a
apÃmÃrgo 'tha pippala÷  Yj_1.302b
api du«k­takarmaïa÷  Yj_1.215b
api bhrÃtÃ suto 'rghyo vÃ  Yj_1.358a
api vÃgbhÆt­ïodakai÷  Yj_1.107d
aputrÃ yo«itaÓ cai«Ãæ  Yj_2.142a
aputrÃæ gurvanuj¤Ãto  Yj_1.68a
aputreïa parak«etre  Yj_2.127a
aprajastrÅdhanaæ bhartur  Yj_2.145a
apraïodyo 'tithi÷ sÃyam  Yj_1.107c
apradu«ÂÃæ striyaæ hatvÃ  Yj_3.269a
apramattaÓ cared bhaik«aæ  Yj_3.59a
aprayacchan samÃpnoti  Yj_1.64a
aprÃptavyavahÃraæ ca  Yj_2.243c
aphÃlak­«tenÃgnÅæÓ ca  Yj_3.46a
abandhyaæ yaÓ ca badhnÃti  Yj_2.243a
abbhak«o mÃsam ÃsÅta  Yj_3.285c
abruvan hi nara÷ sÃk«yam  Yj_2.76a
abliÇgÃni japec caiva  Yj_3.30c
abhak«yeïa dvijaæ dÆ«yo  Yj_2.296a
abhÃve j¤Ãtayas te«Ãæ  Yj_1.85c
abhÃve j¤Ãt­cihnÃnÃæ  Yj_2.153c
abhigantÃsmi bhaginÅæ  Yj_2.205a
abhighÃte tathÃ chede  Yj_2.223a
abhiyuktas tulÃÓrita÷  Yj_2.100b
abhiyuktaæ ca nÃnyena  Yj_2.9c
abhiyuktena dharmata÷  Yj_3.43d
abhiyogam anistÅrya  Yj_2.9a
abhiyogÃd dhanaæ vahet  Yj_2.11d
abhiyoge 'tha sÃk«ye vÃ  Yj_2.15c
abhiramyatÃm iti vaded  Yj_1.252c
abhilekhyÃtmano vaæÓyÃn  Yj_1.319c
abhiÓasto m­«Ã k­cchraæ  Yj_3.286a
abhyased vedasaæhitÃm  Yj_3.260d
abhrÃt­ko haret sarvaæ  Yj_2.134c
amÃvÃsyÃ«ÂakÃ v­ddhi÷  Yj_1.217a
am­tatvÃya kalpate  Yj_3.203d
am­tÅbhavati dvija÷  Yj_3.61d
amedhyapÃr«ïini«ÂhyÆta-  Yj_2.213c
amedhyaÓavaÓÆdrÃntya-  Yj_1.148c
amedhyÃktasya m­ttoyai÷  Yj_1.191a
amba«Âha÷ ÓÆdryÃæ ni«Ãdo  Yj_1.91c
ayanaæ devalokaæ ca  Yj_3.193c
ayam evÃtik­cchra÷ syÃt  Yj_3.319c
ayaæ tu paramo dharmo  Yj_1.8c
ayaæ me vajra ity evaæ  Yj_1.136a
ayÃcitÃÓÅ mitabhuk  Yj_3.204c
ayÃcitÃh­taæ grÃhyam  Yj_1.215a
ayÃjyÃnÃæ ca yÃjanam  Yj_3.237b
ayuktaæ Óapathaæ kurvann  Yj_2.235c
ayogyo yogyakarmak­t  Yj_2.235d
ayonau gacchato yo«Ãæ  Yj_2.293a
arak«yamÃïÃ÷ kurvanti  Yj_1.337a
araïye niyato japtvÃ  Yj_3.249a
araïye nirjale deÓe  Yj_3.212c
arÃjadaivikaæ na«Âaæ  Yj_2.197a
arir mitram udÃsÅno  Yj_1.345a
arogÃm aparikli«ÂÃæ  Yj_1.208c
arogiïÅæ bhrÃt­matÅm  Yj_1.53a
arogitvaæ yaÓo vÅta-  Yj_1.266c
arka÷ palÃÓa÷ khadira  Yj_1.302a
arghaprak«epaïÃd viæÓaæ  Yj_2.261a
arghasya hrÃsaæ v­ddhiæ vÃ  Yj_2.249c
argho 'nugrahak­t kÃrya÷  Yj_2.253c
arghyapÃtre niveÓitÃ÷  Yj_1.248b
arghyÃk«epÃtikramak­d  Yj_2.232a
arghyÃrthaæ pit­pÃtre«u  Yj_1.253c
arthaÓÃstrÃt tu balavad  Yj_2.21c
arthasya saæcayaæ kuryÃt  Yj_3.47c
arthÃnÃæ chandata÷ s­«Âir  Yj_3.203a
ardhatrayodaÓapaïa÷  Yj_2.165c
ardharÃtre 'timÃrute  Yj_1.149d
ardho 'dharme«u dviguïa÷  Yj_2.206a
arbudaiÓ ca dvisaptati÷  Yj_3.89d
arvÃk caturdaÓÃd ahno  Yj_2.113a
arvÃksapiï¬Åkaraïaæ  Yj_1.255a
arvÃk saævatsarÃt svÃmÅ  Yj_2.173c
alabdham Åhed dharmeïa  Yj_1.317a
alaæk­tÃæ haran kanyÃm  Yj_2.287a
avakÅrïÅ kuï¬agolau  Yj_1.222c
avakÅrïÅ bhaved gatvÃ  Yj_3.280a
avak­«ÂÃn nihatya tu  Yj_3.262b
avaÂaÓ caivam etÃni  Yj_3.98c
avaruddhÃsu dÃsÅsu  Yj_2.290a
avij¤ÃtahatasyÃÓu  Yj_2.280a
aviplutabrahmacaryo  Yj_1.52a
aviplutamati÷ samyak  Yj_3.161c
avibhakte na tu sm­tam  Yj_2.52d
avibhaktai÷ kuÂumbÃrthe  Yj_2.45a
avÅcim andhatÃmisraæ  Yj_3.224a
avÅrÃstrÅsvarïakÃra-  Yj_1.163a
avek«yÃ garbhavÃsÃÓ ca  Yj_3.63a
avyaktam ÃtmÃ k«etraj¤a÷  Yj_3.178a
aÓaktas tu vadann evaæ  Yj_2.209a
aÓakto 'nyena kÃrayet  Yj_2.265b
aÓanÃnaÓanÃtmanÃm  Yj_3.123d
aÓÅtibhÃgo v­ddhi÷ syÃn  Yj_2.37a
aÓvamedhaphalaæ tasya  Yj_3.333c
aÓvaratnamanu«yastrÅ-  Yj_3.230a
aÓvasthÃnÃd gajasthÃnÃd  Yj_1.279a
aÓvÃn ÃyuÓ ca vidhivad  Yj_1.267c
a«ÂakÃyÃm athÃpi vÃ  Yj_1.143b
a«Âame mÃsy ato garbho  Yj_3.82c
a«ÂamyÃæ rÃhusÆtake  Yj_1.146b
a«ÂÃbhiÓ ca guïair yutÃ÷  Yj_3.185b
a«ÂÃviæÓatir eva vÃ  Yj_1.303b
a«Âau trapuïi sÅse ca  Yj_2.178c
a«Âau bhu¤jÅta vÃgyata÷  Yj_3.55b
asacchÃstrÃdhigamanam  Yj_3.242a
asatkÃryarato 'dhÅra  Yj_3.138a
asatsantas tu vij¤eyÃ÷  Yj_1.95c
asapiï¬Ãæ yavÅyasÅm  Yj_1.52d
asamÃnÃr«agotrajÃn  Yj_1.53b
asaæbaddhak­taÓ caiva  Yj_2.32c
asaæs­«Ây api vÃdadyÃt  Yj_2.139c
asaæsk­tÃs tu saæskÃryÃ  Yj_2.124a
asÃk«ikahate cihnair  Yj_2.212a
asÃv aham iti bruvan  Yj_1.26b
asiddho 'pi hi manyate  Yj_3.152d
asipatravanaæ caiva  Yj_3.224c
askannam avyathaæ caiva  Yj_1.316a
asthimatÃæ sahasraæ tu  Yj_3.269c
asnehÃ api godhÆma-  Yj_1.169c
asya ÓÃstrasya dhÃraïÃt  Yj_3.332d
asvargyaæ lokavidvi«Âaæ  Yj_1.156c
ahany ekÃdaÓe nÃma  Yj_1.12a
aham e«Ãm iti sthiti÷  Yj_3.153b
ahas tv adattakanyÃsu  Yj_3.24a
ahaækÃraÓ ca buddhiÓ ca  Yj_3.177c
ahaækÃra÷ sm­tir medhÃ  Yj_3.174a
ahaækÃreïa manasÃ  Yj_3.164a
aha÷ Óuklaæ tathottaram  Yj_3.193b
aha÷Óe«aæ sahÃsÅta  Yj_1.113c
ahiæsÃ satyam asteyaæ  Yj_1.122a
ahiæsÃ steyamÃdhurye  Yj_3.312c
ahno mÃsasya «aïïÃæ vÃ  Yj_3.47a
Ãkare«v adhikÃritÃ  Yj_3.242b
ÃkÃÓapavanajyotir-  Yj_3.172c
ÃkÃÓam ekaæ hi yathÃ  Yj_3.144a
ÃkÃÓÃl lÃghavaæ sauk«myaæ  Yj_3.76a
Ãk­«ïena imaæ devÃ  Yj_1.300a
ÃgatÃs tair vinÃ n­pa÷  Yj_2.264d
Ãgamas tu k­to yena  Yj_2.28a
Ãgamena vinÃk­tÃ  Yj_2.29d
Ãgamenopabhogena  Yj_2.171a
Ãgame 'pi balaæ naiva  Yj_2.27c
Ãgamo 'bhyadhiko bhogÃd  Yj_2.27a
ÃgarbhasaæbhavÃd gacchet  Yj_1.69a
ÃgÃmibhadran­pati-  Yj_1.318c
ÃcamyÃgnyÃdi salilaæ  Yj_3.13a
Ãcaret sad­ÓÅæ v­ttim  Yj_1.123c
ÃcÃnta÷ punar ÃcÃmed  Yj_1.196c
ÃcÃryatanayÃæ tathÃ  Yj_3.232d
ÃcÃryatvaæ ÓrotriyaÓ ca  Yj_1.276a
ÃcÃryapatnÅæ svasutÃæ  Yj_3.233a
ÃcÃryapit­upÃdhyÃyÃn  Yj_3.15a
ÃcÃrya÷ sa udÃh­ta÷  Yj_1.34d
ÃcÃryopÃsanaæ veda-  Yj_3.156a
Ãcite«u païÃn daÓa  Yj_2.238d
ÃjÅvan svecchayÃ daï¬yo  Yj_2.67a
Ãj¤ÃsaæpÃdinÅæ dak«Ãæ  Yj_1.76a
ÃtulaÓrotriye«u ca  Yj_3.24d
Ãt­ptes tu pavitrÃïi  Yj_1.240c
Ãtmaj¤a÷ ÓaucavÃn dÃntas  Yj_3.137a
Ãtmaj¤Ãnasya na k«ama÷  Yj_3.141d
Ãtmatulyaæ suvarïaæ vÃ  Yj_3.258c
Ãtmanas tu jagat sarvaæ  Yj_3.117c
Ãtmana÷ Óreya icchatÃ  Yj_1.201d
Ãtmano j¤Ãnahetava÷  Yj_3.190d
Ãtmano 'rthe kriyÃrambho  Yj_3.239a
Ãtmav­ttyartham eva ca  Yj_1.216d
ÃtmÃ g­hïÃty aja÷ sarvaæ  Yj_3.78c
ÃtmÃ dÅpa ivÃcala÷  Yj_3.109b
ÃtmÃnaæ ca mahÅpati÷  Yj_1.319d
ÃtmÃnaæ manyate dvija÷  Yj_3.309b
ÃtmÃna÷ prabhavanti hi  Yj_3.67d
ÃtmÃ sarvaga ÅÓvara÷  Yj_3.176d
Ãdatte yugapat prabhu÷  Yj_3.72d
Ãdantajanmana÷ sadyÃ  Yj_3.23a
ÃdÃtuÓ ca viÓuddhyartham  Yj_3.250c
ÃdÃnaæ pÃ¤cabhautikam  Yj_3.175d
ÃdÃyÃr«as tu godvayam  Yj_1.59b
Ãdityasya sadÃ pÆjÃæ  Yj_1.294a
Ãdideva udÃh­ta÷  Yj_3.126b
ÃdimadhyÃvasÃne«u  Yj_1.30a
Ãdyam ekÃdaÓe 'hani  Yj_1.256d
ÃdyÃÓ catasras tu varjayet  Yj_1.79d
Ãdyau tu vitathe dÃpyÃv  Yj_2.53c
Ãdhayo vyÃdhaya÷ kleÓÃ  Yj_3.63c
ÃdhÃnaæ vikrayaæ vÃpi  Yj_2.247c
Ãdhivedanikaæ samam  Yj_2.148b
ÃdhivedanikÃdyaæ ca  Yj_2.143c
ÃdhisÅmopanik«epa-  Yj_2.25a
Ãdhis tu bhujyate tÃvad  Yj_2.90c
Ãdhi÷ praïaÓyed dviguïe  Yj_2.58a
Ãdhi÷ steno 'nyathÃ bhavet  Yj_2.62b
Ãdhe÷ svÅkaraïÃt siddhÅ  Yj_2.60a
Ãdhau pratigrahe krÅte  Yj_2.23c
ÃdhyÃdÅnÃæ vihartÃraæ  Yj_2.26a
ÃnÅya viprasarvasvaæ  Yj_3.246a
ÃnÅyÃnyo javÅ nara÷  Yj_2.109b
Ãnulomye tu madhyama÷  Yj_2.286b
Ãpattau jÅvanÃni tu  Yj_3.42d
Ãpadgata÷ saæprag­hïan  Yj_3.41a
Ãpadyapi hi ka«ÂÃyÃæ  Yj_3.29c
Ãpas tad ghnantu sarvadÃ  Yj_1.283d
ÃpoÓanenopari«ÂÃd  Yj_1.106a
ÃpoÓÃnakriyÃpÆrvaæ  Yj_1.31c
Ãpnoti ÓrÃddhada÷ sadÃ  Yj_1.263d
ÃmÃÓayo 'tha h­dayaæ  Yj_3.95a
Ãm­tyo÷ Óriyam ÃkÃÇk«en  Yj_1.153c
ÃyavyayaviÓodhitÃt  Yj_2.122d
ÃyasyÃ yo«itÃ svapet  Yj_3.259b
Ãyu«kÃmas tathaivÃyu÷  Yj_3.330c
Ãyu÷ prajÃæ dhanaæ vidyÃæ  Yj_1.270a
Ãraïyakam athÃvikam  Yj_1.170d
Ãraïyakam adhÅtya ca  Yj_1.145d
ÃrambhÅ vi«ayÅ ca ya÷  Yj_3.138b
ÃrÃmÃyatanagrÃma-  Yj_2.154a
Ãrogyabalasaæpanno  Yj_1.308Ac
ÃrtyÃ gatyÃ tathÃgatyÃ  Yj_3.170c
ÃrdravÃsÃs tu hemante  Yj_3.52c
ÃvÃhanÃgnaukaraïa-  Yj_1.251c
ÃvÃhayed anuj¤Ãto  Yj_1.229c
ÃvÃhya tadanuj¤Ãto  Yj_1.233c
Ãvedayati ced rÃj¤e  Yj_2.5c
ÃÓÅrbhir abhinandita÷  Yj_1.332d
ÃÓuddhe÷ saæpratÅk«yo hi  Yj_1.77c
ÃÓmaÓÃnÃd anuvrajya  Yj_3.1c
Ã«o¬aÓÃd ÃdvÃviæÓÃc  Yj_1.37a
Ãsanaæ saæÓrayaæ tathÃ  Yj_1.347b
Ãsane«ÆpaveÓayet  Yj_1.226d
ÃsÅmantam anuvrajet  Yj_1.113b
Ãsuro draviïÃdÃnÃd  Yj_1.61a
Ãstika÷ ÓraddadhÃnaÓ ca  Yj_1.268c
Ãhared vidhivad dÃrÃn  Yj_1.89c
ÃhitÃgnyÃv­tÃrthavat  Yj_3.2d
ÃhutyÃpyÃyate sÆrya÷  Yj_3.71a
ÃhÆtaÓ cÃpy adhÅyÅta  Yj_1.27a
icchatÃæ tatk«aïÃc chuddhi÷  Yj_3.14c
icchayÃ caiva badhyate  Yj_3.155d
icchayÃ vibhajet sutÃn  Yj_2.114b
icchÃ dhÃraïajÅvite  Yj_3.174d
icchÃhaækÃra eva ca  Yj_3.73d
ijyÃcÃradamÃhiæsÃ-  Yj_1.8a
ijyÃdhyayanadÃnÃni  Yj_1.118a
itarasya sutÃ api  Yj_2.53d
itarÃd daÓakaæ Óatam  Yj_2.199d
itareïa nidhau labdhe  Yj_2.35a
itaro j¤Ãtibhir v­ta÷  Yj_3.1d
itaro vartayec chira÷  Yj_2.96b
iti pÃtrÃbhimantraïam  Yj_1.238b
iti saæcintya n­pati÷  Yj_1.360a
iti saæÓrutya gaccheyur  Yj_3.12a
itihÃsÃæs tathÃ vidyÃ÷  Yj_1.45c
itihÃsai÷ purÃtanai÷  Yj_3.7d
ity uktvÃ caratÃæ dharmaæ  Yj_1.60a
ity uktvoktvÃ priyÃ vÃca÷  Yj_1.247a
ity etad asthiraæ var«ma  Yj_3.107c
idam Æcur mahÃtmÃnaæ  Yj_3.328c
indriyÃïi mana÷ prÃïo  Yj_3.73a
indriyÃntarasaæcÃra  Yj_3.174c
indhanÃrthaæ drumacheda÷  Yj_3.240a
ime lokÃ e«a cÃtmÃ  Yj_3.145c
i«Âaæ syÃt kratubhis tena  Yj_1.359c
i«Âiæ vaiÓvÃnarÅæ dvija÷  Yj_1.126b
i«Âair vaiÓvÃnarÅ sm­tÃ  Yj_3.250d
iha karmopabhogÃya  Yj_3.169c
iha loke yaÓa÷ prÃpya  Yj_3.329c
iha vÃmutra vaike«Ãæ  Yj_3.133c
ihaiva sÃ ÓunÅ g­dhrÅ  Yj_3.256c
ÅÓrava÷ sarvabhÆtastha÷  Yj_3.178c
ÅÓvara÷ sa kathaæ bhÃvair  Yj_3.129c
Åheta na yatas tata÷  Yj_1.129b
ukte 'pi sÃk«ibhi÷ sÃk«ye  Yj_2.80a
ucchi«Âasaænidhau piï¬Ãn  Yj_1.242c
ucchrÃyÃ÷ patanÃni ca  Yj_1.308b
utkar«e ca vaco 'n­tam  Yj_3.229b
utkocajÅvino dravya-  Yj_1.339a
utk«epakagranthibhedau  Yj_2.274a
uttamaæ hy anyathÃdhamam  Yj_2.287b
uttamÃyÃæ vadhas tathÃ  Yj_2.288d
uttamo vÃdhamo vÃpi  Yj_2.277c
uttaraæ gÅtakÃni ca  Yj_3.113d
uttÃnaæ kiæcid unnÃmya  Yj_3.198c
utpanne svÃmino bhogas  Yj_2.157c
utsargaæ vidhivad bahi÷  Yj_1.143d
uts­«Âo g­hyate yas tu  Yj_2.132a
udakaæ patitÃs tathÃ  Yj_3.5d
udakyÃÓucibhi÷ snÃyÃt  Yj_3.30a
udakyÃsp­«Âasaæghu«Âaæ  Yj_1.168a
udag ekaikam eva vÃ  Yj_1.228b
udadhir daivatÃni ca  Yj_3.10b
udaraæ ca gudau ko«Âhyau  Yj_3.95c
udumbara÷ ÓamÅ dÆrvÃ  Yj_1.302c
udgÆrïe prathamo daï¬a÷  Yj_2.215c
udgÆrïe hastapÃde tu  Yj_2.216a
udbudhyasveti ca ­co  Yj_1.300c
upajihvÃsphijau bÃhÆ  Yj_3.97c
upajÅvyadrumÃïÃæ ca  Yj_2.227c
upajÅvya dhanaæ mu¤caæs  Yj_2.301c
upati«ÂhatÃm ak«ayya-  Yj_1.252a
upati«Âhet tato 'mbikÃm  Yj_1.290b
upanÅya guru÷ Ói«yaæ  Yj_1.15a
upanÅya dadad vedam  Yj_1.34c
upapÃtakajÃtÃnÃm  Yj_3.305c
upapÃtakajais tathÃ  Yj_3.225b
upapÃtakayukte tu  Yj_2.210c
upapÃtakaÓuddhi÷ syÃd  Yj_3.265a
upavÃsena caivÃyaæ  Yj_3.318c
upavi«Âa udaÇmukha÷  Yj_1.18b
upasthÃnaæ tata÷ kuryÃt  Yj_3.282a
upasthitasya moktavya  Yj_2.62a
upÃkarmaïi cotsarge  Yj_1.144c
upÃyÃ÷ sÃma dÃnaæ ca  Yj_1.346a
upÃsate dvijÃ÷ satyaæ  Yj_3.192c
upÃsya paÓcimÃæ saædhyÃæ  Yj_1.114a
upeyÃd ÅÓvaraæ caiva  Yj_1.100a
ubhayÃnumata÷ sÃk«Å  Yj_2.72a
ubhayÃbhyarthitenaitan  Yj_2.88a
ubhayor apy asÃdhyaæ cet  Yj_2.196c
ubhayor apy asau rikthÅ  Yj_2.127c
ubhayo÷ pratibhÆr grÃhya÷  Yj_2.10c
urage«v Ãyaso daï¬a÷  Yj_3.273a
ura÷ saptadaÓÃsthÅni  Yj_3.90c
u«antas tvety ­cÃ pitÌn  Yj_1.233b
u«Âre gu¤jÃ haye 'æÓukam  Yj_3.273d
Ænadvivar«a ubhayo÷  Yj_3.18c
Ænadvivar«aæ nikhanen  Yj_3.1a
Ænaæ vÃbhyadhikaæ vÃpi  Yj_2.295a
ÆrusthottÃnacaraïa÷  Yj_3.198a
ÆrdhvapÃtragrahÃÓmanÃm  Yj_1.182b
Ærdhvam eka÷ sthitas te«Ãæ  Yj_3.167a
Ærdhvam eva vyavasthitam  Yj_3.168b
