Brhadyamasmrti
Based on the edition by V.G. Apte: Sm­tÅnÃæ Samuccaya÷, Pune 1905 (2nd ed. 1929), pp. 99-107.
(ùnandÃÓramasaæsk­tagranthÃvali÷ / Anandasrama Sanskrit Series, 48) 

This is another version of the Yamasm­ti, termed B­hadyamasm­ti in the editions (but not in mss.),
containing 182 verses in 5 adhyÃyas.




Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



PADA INDEX


STRUCTURE OF REFERENCES:
YS182v_n.nn = Yamasm­ti, 182-verse version_adhyÃya.verse



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





agre mÃhi«akaæ d­«ÂvÃ  YS182v_3.16a
iti prÃha svayaæ yama÷  YS182v_4.34d
iti ÓÃtÃtapo 'bravÅt  YS182v_5.17b
ity Ãha bhagavÃn yama÷  YS182v_3.49d
ity Ãha bhagavÃn yama÷  YS182v_4.28d
ity Ãha bhagavÃn yama÷  YS182v_4.32d
ity Ãha bhagavÃn yama÷  YS182v_4.55b
ity Ãha bhagavÃn yama÷  YS182v_4.58d
idÃnÅæ bhÃganirïayam  YS182v_5.20c
indudvayena Óudhyanti  YS182v_1.5c
iha janmani ÓÆdratvaæ  YS182v_3.14c
iha loke paratra ca  YS182v_2.7d
uktaÓ caiva viÓe«ata÷  YS182v_5.4d
ucchi«ÂabhÃjanaæ yena  YS182v_3.45a
ucchi«Âaæ taæ dvijaæ yas tu  YS182v_3.49a
ucchi«Âocchi«Âasaæsp­«Âa÷  YS182v_3.44a
ucchi«Âocchi«Âasaæsp­«Âa÷  YS182v_3.47a
ucchi«Âocchi«Âasaæsp­«Âo  YS182v_3.46a
u([turu])pÃsanaparo hi sa÷  YS182v_4.52d
utk­«ÂenÃpi gohantÃ  YS182v_4.9c
uttara÷ syÃc caturvidha÷  YS182v_5.25b
udakyÃ d­«ÂipÃtena  YS182v_3.51a
udakyÃ÷ sparÓane caiva  YS182v_3.54a
udite grahanak«atre  YS182v_1.2c
uddiÓya pit­pÃkaæ ca  YS182v_5.8c
upapÃtakinÃæ caiva  YS182v_4.24c
upavÃsam athÃpi vÃ  YS182v_4.25d
upÃdhyÃyasya yo«ita÷  YS182v_3.5b
upÃsyÃm e[sÅtai]va yatnata÷  YS182v_4.50b
upo«ya dvijasaæskÃraæ  YS182v_3.50c
upo«ya rajanÅm ekÃæ  YS182v_3.44c
upo«ya rajanÅm ekÃæ  YS182v_3.48a
ubhayÃvasitÃ÷ pÃpÃ  YS182v_1.5a
ÆnaikÃdaÓavar«asya  YS182v_3.1a
­«i÷ ÓÃtÃtapo 'bravÅt  YS182v_5.20d
ekabhaktaæ tathÃ naktam  YS182v_4.25c
ekarÃtropavÃsaÓ ca  YS182v_1.13c
ekaikaæ vardhayed grÃsaæ  YS182v_2.6a
etat te kathitaæ sarvaæ  YS182v_4.11a
etad dinacatu«keïa  YS182v_4.26a
etÃ gatvÃ striyo mohÃt  YS182v_3.5c
ete brÃhmaïakutsÃ÷ syus  YS182v_5.3c
ete varjyÃ÷ prayatnena  YS182v_3.38a
ete ÓÆdrÃs tu bhojyÃnnÃ  YS182v_3.10c
ete ÓrÃddhe ca dÃne ca  YS182v_3.37a
ete«Ãm udakaæ pÅtvÃ  YS182v_3.63c
ete«Ãæ sparÓanÃt pÃpaæ  YS182v_3.53a
ete«u dvÃdaÓÃbdaæ ca  YS182v_4.23c
edhyena liptaæ tu bhavet kadÃcit  YS182v_3.61b
evam ukto hi bhagavÃn  YS182v_4.19c
evam eva yamo 'bravÅt  YS182v_3.38b
e«a e[vame]va tu nÃrÅïÃæ  YS182v_4.17c
e«a cÃndrÃyaïo vidhi÷  YS182v_2.6d
aurasena samÃ j¤eyÃ  YS182v_5.20a
kathayasva yathÃ tatham  YS182v_4.19b
kathaæ Óuddhir bhavet tÃsÃæ  YS182v_4.35c
kanyÃdÃnaæ ca tat kÃryaæ  YS182v_5.11a
kanyÃ pradÃnasamaye  YS182v_5.10c
kanyÃ sÃ v­«alÅ sm­tÃ  YS182v_3.18d
kanyÃæ yo na prayacchati  YS182v_3.20b
kapilÃyÃ vadhe tathÃ  YS182v_4.8b
kapilÃ vÃ tathetarÃ  YS182v_4.7d
kartÃ yadi vipadyate  YS182v_2.7b
kartÃra÷ sÃæparÃyaïÃ÷  YS182v_5.16d
ka«Âena vartamÃno 'pi  YS182v_4.15a
kÃko vÃ sp­Óate yadi  YS182v_3.48d
kÃpÃlikÃnnabhoktÌïÃæ  YS182v_2.2a
kÃmÃd akÃmato vÃ 'pi  YS182v_3.65c
kÃyikaæ pÃtakaæ sm­tam  YS182v_4.49b
kÃryaæ tu Ãbdikaæ caiva  YS182v_4.32a
kÃryaæ pait­kam eva tat  YS182v_5.8d
kÃrye caivam upasthite  YS182v_3.56d
kÃrye caiva viÓe«eïa  YS182v_5.5a
kÃlenaiva Óucir bhavet  YS182v_4.15b
kukarmasthÃs tu ye viprÃ  YS182v_4.55c
kukkuÂÃï¬akamÃtraæ tu  YS182v_2.5a
kunakhÅ ÓyÃvadantaka÷  YS182v_3.34b
kumbhÅpÃke«u pacyante  YS182v_4.61c
kulamitrÃrdhasÅriïa÷  YS182v_3.10b
kuÓÃÓvatthapalÃÓayo÷  YS182v_3.63b
kÆpe vÃ cÃvaÂe 'pi vÃ  YS182v_4.3b
k­cchraæ vai dvÃdaÓÃbdikam  YS182v_4.25b
k­cchraæ sÃætapanaæ sm­tam  YS182v_1.13d
k­cchraæ sÃætapanÃdikam  YS182v_1.10d
k­cchrÃrdhaæ saæprakurvÅta  YS182v_1.7c
k­cchreïa Óudhyate ÓÆdrÅ  YS182v_3.68c
k­taghnÃ du«ÂacÃriïa÷  YS182v_4.6b
k­tÃ vipreïa caiva hi  YS182v_4.45b
k­tvÃ gandhÃn samarca[rpa]yet  YS182v_3.32b
k­tvÃ 'ghamar«aïaæ pak«aæ  YS182v_1.15c
k­mibhir brahmasaæyuktaæ  YS182v_1.7a
ko vidhi÷ sa vinirdi«Âa÷  YS182v_4.19a
k«aïitÃ vÃ prayatnata÷  YS182v_5.8b
k«attriïyÃæ viÓa eva vÃ  YS182v_4.47b
k«attriyo brÃhmaïÅsakta÷  YS182v_4.47a
k«attriyo vaiÓya eva ca  YS182v_3.47b
k«ayaæ yÃti na saæÓaya÷  YS182v_4.20b
khÃtaæ vÃpÅ tathÃ kÆpa-  YS182v_4.1a
khÃte ca patitÃ yÃ gau÷  YS182v_4.3a
gatvÃ cÃndrÃyaïaæ kuryÃt  YS182v_2.1c
gatvÃ tu praviÓed agniæ  YS182v_3.7c
garbhe jÃte parityÃgo  YS182v_4.36c
gavÃdiprÃïihiæsanam  YS182v_5.6b
gavÃæ ca [vi]ghÃtam uttamam  YS182v_4.11b
gavÃæ madhye vased rÃtrau  YS182v_4.15c
gÃm Ãlabhya viÓudhyati  YS182v_3.9d
gÃyatryÃ cÃyutatrayam  YS182v_4.38b
gÃyatryÃ vyÃh­tibhiÓ ca  YS182v_3.59a
gÃyatryÃ Óodhanaæ param  YS182v_3.46d
gÃvo dÆrapracÃreïa  YS182v_4.60a
gok«attriyaæ tathÃ vaiÓyaæ  YS182v_2.4a
goghno 'ham iti vÃcayet  YS182v_4.14d
gobrÃhmaïahataæ dagdhaæ  YS182v_1.6a
gomÃæsabhak«aïe k­te  YS182v_2.3b
gomÆtrayÃvakÃhÃra÷  YS182v_1.8c
gomÆtraæ gomayaæ k«Åraæ  YS182v_1.13a
govadhe caiva yat pÃpaæ  YS182v_4.2a
govartapatitÃ gÃva÷  YS182v_4.10c
go«Âhe nivasanaæ kÃryaæ  YS182v_4.14c
grÃsaæ ca parikalpayet  YS182v_2.5b
gh­taæ yonyÃæ k«iped ghoraæ  YS182v_4.37c
gh­tÃhutyÃ ÓatÃ«Âakaæ  YS182v_3.58d
caturïÃm api varïanÃæ  YS182v_3.64c
caturïÃm api varïÃnÃæ  YS182v_1.1c
carec cÃndrÃyaïadvayam  YS182v_4.44b
carec cÃndrÃyaïavratam  YS182v_3.11d
carec cÃndrÃyaïaæ vratam  YS182v_2.4d
caret sÃætapanaæ vipra÷  YS182v_1.11a
cÃï¬ÃlaghaÂabhÃï¬asthaæ  YS182v_1.9a
cÃï¬ÃlabhÃï¬asaæsp­«Âaæ  YS182v_1.8a
cÃï¬ÃlamÆrtikÃ ye ca  YS182v_1.14a
cÃï¬Ãlam ­tumatstriya÷  YS182v_3.8b
cÃï¬ÃlÃnnaæ bhak«ayitvÃ  YS182v_1.12a
cÃï¬ÃlikÃsu nÃrÅ«u  YS182v_1.15a
cÃndrÃyaïam athÃpi vÃ  YS182v_1.12d
cÃndrÃyaïena Óudhyanti  YS182v_1.4c
cchedayed aÇguladvayam  YS182v_4.17b
chatam a«Âottareïa hi  YS182v_4.38d
jambÆkena v­keïa vÃ  YS182v_1.2b
jalÃgnibandhanabhra«ÂÃ÷  YS182v_1.3a
jÃtake naiva m­takaæ  YS182v_4.20a
jÃtake vartamÃne 'pi  YS182v_4.18c
jÃtake sÆ([m­])take vÃ 'pi  YS182v_5.12c
jÃtam antyajasaæj¤akam  YS182v_5.2b
jÃtarÆpyaæ suvarïaæ tu  YS182v_3.9a
j¤ÃtvÃ caiva vratadvayam  YS182v_2.2d
j¤ÃtvÃ viÓe«eïa tataÓ  YS182v_2.4c
j¤Ã[snÃ]nena lepopahatasya Óuddhi÷  YS182v_3.61d
jye«ÂhabhrÃtÃ tathaiva ca  YS182v_3.22b
jye«Âhena vÃ kani«Âhena  YS182v_5.21a
jye«Âhena hi k­taæ sarvaæ  YS182v_5.14c
tak«acarmopajÅvina÷  YS182v_3.52d
tata÷ karma samÃcaret  YS182v_3.59b
tat k«aïe 'sau vidhÅyate  YS182v_3.25d
tatk«anÃt k«ipate yas tu  YS182v_1.9c
tat pÃpaæ na praïaÓyati  YS182v_3.60b
tat pÃpaæ par«adaæ vrajet  YS182v_4.29d
tatsamo nÃtra saæÓaya÷  YS182v_4.23b
tat sarvaæ saphalaæ bhavet  YS182v_5.12d
tathÃ k«attriyavaiÓyau vÃ  YS182v_4.42c
tathÃ carmopajÅvinÅm  YS182v_2.1d
tathÃ ca v­«alÅpati÷  YS182v_3.26b
tathÃ caiva tu mohita÷  YS182v_3.53b
tathÃ devalakaÓ caiva  YS182v_3.37c
tathÃ pÃtakinÃæ caiva  YS182v_4.24a
tathÃ strÅïÃæ ca dÃpayet  YS182v_4.32b
tathÃ strÅïÃæ vigarhitam  YS182v_4.35b
tathaiva mantravidyukta÷  YS182v_3.41a
tadardhaæ tu cared vaiÓya÷  YS182v_1.11c
tadbhak«aïe japen nityaæ  YS182v_3.12c
tadvat salilam eva ca  YS182v_1.12b
tanayÃgÃminÃæ tathÃ  YS182v_2.2b
taptak­cchradvayaæ caret  YS182v_1.6d
taptak­cchradvayena ca  YS182v_1.4d
taptak­cchraæ cared vipro  YS182v_2.3c
taptak­cchraæ samÃcaret  YS182v_1.14d
taptak­cchraæ samÃcaret  YS182v_3.4d
tasmÃc ca pÃpinÃ grÃhyaæ  YS182v_4.7a
tasmÃc chÃstrÃnusÃreïa  YS182v_4.30a
tasmÃt pÃpÃd viÓuddhyarthaæ  YS182v_4.49c
tasmÃt sarvaprayatnena  YS182v_3.40a
tasmÃd brÃhmaïa([ïya])m uttamam  YS182v_5.3d
tasya kÃlasya kÃ kriyÃ  YS182v_3.57b
tasyÃs tu yo bhaved bhartÃ  YS182v_3.24c
tasyÃæ caiva prasÆtasya  YS182v_3.15c
taæ tu vidyÃd ajÃvikam  YS182v_3.24d
tÃn do«Ãn k«amate yas tu  YS182v_3.17c
tÃratam yena dÃtavyam  YS182v_4.34c
tÃratam yena dÃtavyaæ  YS182v_4.41a
tÃratam yena vÃ dvijai÷  YS182v_5.6d
tÃvaccÅrïavratasyÃpi  YS182v_3.60a
tÃvato grasate pretya  YS182v_3.29c
t­ïÃgreïÃpi saæsp­«ÂvÃ  YS182v_3.26c
tena snÃtvÃ ca pÅtvÃ ca  YS182v_3.9c
tebhyo dattam anantaæ hi  YS182v_4.55a
tebhyo dattaæ ni«phalaæ syÃn  YS182v_4.56c
te«Ãæ caiva viÓe«ata÷  YS182v_4.35d
te«Ãæ dattvÃ ca bhuktvÃ ca  YS182v_1.14c
te«Ãæ Óuddhyartham evÃtra  YS182v_4.33c
te sarve 'pi vigarhitÃ÷  YS182v_2.8d
tair apy anu«Âhito dharma  YS182v_5.4c
tyÃjyÃ sÃ bandhubhiÓ caiva  YS182v_4.39c
tyÃjyaiti parikÅrtitÃ  YS182v_3.24b
trayas te narakaæ yÃnti  YS182v_3.22c
triguïaæ k«attriyasyaiva  YS182v_4.14a
tripa¤cÃbdaæ vidhÅyate  YS182v_4.24d
tripÃdak­cchro vij¤eya÷  YS182v_4.26c
tribhir varnair atandrita÷  YS182v_5.5b
tribhir var«air vyapohati  YS182v_3.12d
trirÃtraæ tatra kÃrayet  YS182v_3.50b
trirÃtrÃc cuddhir i«yate  YS182v_3.65d
trividhaæ pÃpaÓuddhyarthaæ  YS182v_4.51a
dakyayÃ patitena vÃ  YS182v_3.69b
dattvÃ dhenuæ tathÃ v­«am  YS182v_1.5d
dattvÃ dhenuæ tathÃ v­«am  YS182v_4.5d
dadhi sarpi÷ kuÓodakam  YS182v_1.13b
daÓarudrÅæ japet paÓcÃd  YS182v_3.46c
daÓavar«Ã bhavet kanyÃ  YS182v_3.21c
dÃtavyaæ pÃpamuktyarthaæ  YS182v_4.27c
dÃyÃdÃ nÃtra saæÓaya÷  YS182v_5.19b
dÃyÃdebhyo yathÃ kramÃt  YS182v_5.22d
dÃsanÃpitagopÃla-  YS182v_3.10a
dÃsavargasya kÃ kriyÃ  YS182v_3.55b
divÃ gÃ vai(?) hy anuvrajet  YS182v_4.15d
divÃ caivÃrkasaæsp­«Âaæ  YS182v_3.70a
divÃ ''nÅtena toyena  YS182v_3.69c
divÃ ''h­taæ ca yaj jalaæ  YS182v_3.9b
divyaæ deyaæ yathÃ vidhi  YS182v_5.26d
dÅptÃn grÃsÃn ayomayÃn  YS182v_3.29d
durbhago hi tathÃ «aï¬ha÷  YS182v_3.35a
durm­tyumaraïaæ prÃptÃ  YS182v_4.33a
du«ÂastrÅdarÓanenaiva  YS182v_4.37a
dÆrÃc chrÃntaæ bhayagrastaæ  YS182v_3.25a
d­«ÂvÃ kanyÃæ rajasvalÃm  YS182v_3.22d
d­«ÂvÃ[di«ÂyÃ] niv­ttapÃpaugha÷  YS182v_4.42a
d­«ÂvÃ sadya÷ Óucir bhavet  YS182v_1.2d
devatÃrÃdhanaæ tathÃ  YS182v_4.22b
daivikaæ pait­kaæ ca yat  YS182v_5.12b
daivikaæ pait­kaæ tathÃ  YS182v_5.7d
daive pitrye ca karmaïi  YS182v_3.43d
draæ«ÂrÃbhir bhak«itÃ ye ca  YS182v_4.31a
dvijaÓ cÃndrÃyaïaæ caret  YS182v_3.31d
dvijo maithunakÃraka÷  YS182v_1.15b
dvitryabdaæ hi viÓi«yate  YS182v_4.33d
dvau mÃsau pa¤cagavyena  YS182v_3.6c
dvau mÃsau bhak«ya bhojyaæ ca  YS182v_3.6a
dvau mÃsau yÃvakena tu  YS182v_3.6b
dharmaÓÃstrÃnusÃreïa  YS182v_4.27a
na kuryÃd vaidikÅæ Órutim  YS182v_4.16d
na ca govrajanaæ sm­tam  YS182v_4.16b
na ca go«Âhe vased rÃtrau  YS182v_4.16c
na ca datto 'pyahÅno 'ti-  YS182v_5.17c
naÂÃæ [ÂÅæ] ÓailÆ«ikÃæ caiva  YS182v_2.1a
na tu haste kadÃcana  YS182v_3.30b
na bhavaty eva cÃnyathÃ  YS182v_4.48d
narakaæ pratigacchati  YS182v_3.53d
narake«u ca pacyante  YS182v_4.6c
navame 'ti ca Óudhyahni  YS182v_2.5d
navavar«Ã ca rohiïÅ  YS182v_3.21b
navaite putravatpÃlyÃ÷  YS182v_5.19c
navaite pratyavasitÃ÷  YS182v_1.4a
naÓyatÅti na saædeha  YS182v_4.58c
na strÅïÃæ vapanaæ kuryÃn  YS182v_4.16a
nÃtra kÃryÃvicÃraïÃ  YS182v_4.56d
nÃtra kÃryÃ vicÃraïÃ  YS182v_5.9b
nÃnyathÃ mama bhÃ«itam  YS182v_4.36d
nÃnyathÃ yamabhÃ«itam  YS182v_4.39d
nÃnyathÃ yamabhÃ«itam  YS182v_4.53b
nÃnyaæ pratyabravÅd yama÷  YS182v_3.56b
nÃnyÃ Óuddhir vidhÅyate  YS182v_3.7d
nÃparÃdho na pÃtakam  YS182v_3.2b
nÃrÅ vÃ 'pi kumÃro vÃ  YS182v_4.5a
nÃvibhaktÃ÷ kadÃcana  YS182v_5.16b
nityaæ pratigrahe lubdho  YS182v_3.36a
nirÃÓÃ÷ pitaras tasya  YS182v_3.38c
nirÃÓÃ÷ pitaro gatÃ÷  YS182v_3.16d
nirÃÓÃ÷ pitaro gatÃ÷  YS182v_3.30d
nirmatsara÷ sadÃcÃra÷  YS182v_3.42a
ni«k­tir na vidhÅyate  YS182v_3.15d
ni÷ÓvÃsopagatasya ca  YS182v_3.15b
naiÓaæ pÃ([naÓyetpÃ])paæ hi yÃæ dhyÃtvÃ  YS182v_4.52c
paÇktipÃvana eva sa÷  YS182v_3.41d
pa¤cagavyena Óuddhi÷ syÃd  YS182v_3.49c
pa¤cagavyena Óudhyati  YS182v_3.44d
pa¤cagavyena Óudhyati  YS182v_3.48b
pa¤cagavyena Óudhyati  YS182v_3.50d
pa¤cagavyena Óudhyati  YS182v_3.63d
pa¤catvaæ ca gato bhavet  YS182v_5.9d
pa¤cavar«Ãt parasya ca  YS182v_3.1b
patitasya ca viprasya  YS182v_4.40a
patitÃnÃæ ca viprÃïÃæ  YS182v_4.35a
patitÃyÃ bhavÃn yathÃ  YS182v_4.47d
patnÅ yasya rajasvalÃ  YS182v_5.7b
padmodumbarabilvÃnÃæ  YS182v_3.63a
parapuæsagatÃ hi yÃ  YS182v_4.37d
paralokapradÃ hy amÅ  YS182v_5.19d
pavitraæ sarvadÃ jalam  YS182v_3.70d
paÓcÃt sarvaæ yathÃ vidhi  YS182v_5.11d
paÓyaty asaæsk­tÃ raja÷  YS182v_3.18b
pÃkhaï¬Å vedanindaka÷  YS182v_3.35b
pÃtrabhÆto dvijottama÷  YS182v_3.42d
pÃtrÅbhÆtÃÓ ca vij¤eyÃ  YS182v_4.54c
pÃdak­cchraÓ ca jÃyate  YS182v_4.26b
pÃdak­cchraæ tathottarÃ  YS182v_3.66d
pÃdam ekaæ tathottarÃ  YS182v_3.67d
pÃdahÅnaæ caret pÆrvÃ  YS182v_3.67c
pÃdaæ ÓÆdrasya dÃpayet  YS182v_1.11d
pÃpakÓayakara÷ sm­ta÷  YS182v_4.26d
pÃpÃcÃraparo bhavet  YS182v_4.41d
pÃpÃc caiva niv­ttasya  YS182v_4.40c
pÃpÅ prakhyÃpayet pÃpaæ  YS182v_4.5c
pÃmaratrÃÂa [sa]ÓaÇktitÃ  YS182v_4.12b
pÃÓaæ chittvÃ tatas tasya  YS182v_1.6c
pÃ«Ãïe ÓastraghÃtite  YS182v_4.1b
pitaras tÃvad aÓnanti  YS182v_3.27c
pitaro yÃnty atarpitÃ÷  YS182v_3.28b
pitaro yÃnty adhogatim  YS182v_4.37b
pitÃ pibati Óoïitam  YS182v_3.20d
pitÃ vÃ 'nyo 'pi bÃndhava÷  YS182v_3.1d
pitur gehe tu yÃ kanyÃ  YS182v_3.18a
pitu÷ pÃtrÃdikaæ karma  YS182v_5.11c
pit­bhis tarpitai÷ paÓcÃd  YS182v_3.28c
pit­bhyo bhrÃt­putrebhyo  YS182v_5.22c
pit­vyabhrÃt­bhÃryÃæ ca  YS182v_3.4a
pitÌïÃæ nopati«Âheta  YS182v_3.32c
piÓunÃ vi«ayÃtmakÃ÷  YS182v_4.56b
piÓuno matsarÅ tathÃ  YS182v_3.34d
pÅtvÃ bhÆmigataæ jalam  YS182v_1.8b
putramatyÃ sadaiva hi  YS182v_5.22b
punarbhÆr bhaïyate hi sÃ  YS182v_4.45d
punarbhÆr vik­tÃ yena  YS182v_4.45a
puna÷ ÓvÃno bhavi«yati  YS182v_3.14d
puæsopagatasevinÅ  YS182v_4.39b
pÆjÃnte homayet paÓcÃd  YS182v_3.58c
pÆtas tad ahared vÃpi  YS182v_2.7c
pÆyante tu vrate cÅrïe  YS182v_2.9c
pÆrvapak«e 'dharÅbhÆte  YS182v_5.26a
pÆrvavratam anirdi«Âaæ  YS182v_4.20c
pÆrvaæ nyÃsavidhiÓ caiva  YS182v_5.25a
pÆrvÃ tu balavattarÃ  YS182v_5.23d
p­thak piï¬aæ p­thak ÓrÃddhaæ  YS182v_5.15c
pracchannapÃpino ye syu÷  YS182v_4.6a
pratigrahÃc ca vipro vai  YS182v_3.53c
pratyavaskandanaæ tathÃ  YS182v_5.24d
pramÃdÃc ca hatÃ yena  YS182v_4.7c
pramÃdocchi«Âasaæsp­«Âa÷  YS182v_3.47c
