Laghuyamasmrti (AAL)
Based on the edition by Vinayaka Ganesa Apte: Sm­tÅnÃæ Samuccaya÷, Pune 1905 (2nd ed. 1929), pp. 112-116.
(ùnandÃÓramasaæsk­tagranthÃvali÷ / Anandasrama Sanskrit Series, 48)

This is another version of the Yamasm­ti, termed Laghuyamasm­ti in the editions (but not in mss.),
containing 99 verses.



Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.




PADA INDEX

STRUCTURE OF REFERENCES:
YS99v_nn = Yamasm­ti, 99-verse version_verse number


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





ak­tvÃ vapanaæ te«Ãæ  YS99v_56c
k­cchram ekaæ cared dvija÷  YS99v_27d
k­cchraæ sÃætapanaæ caret  YS99v_37d
k­cchrÃbdam Ãcarej j¤ÃnÃd  YS99v_28c
k­cchrÃbdam Ãcarej j¤ÃnÃd  YS99v_29c
k­cchrÃbdam Ãcarej j¤ÃnÃd  YS99v_34c
k­cchrÃrdhaæ saæprakurvÅta  YS99v_62c
k­cchreïa Óuddhim Ãpnoti  YS99v_14c
k­mibhir vraïasaæbhÆtair  YS99v_62a
k­«ïÃyÃ go÷ Óak­t tathÃ  YS99v_71b
kecic caivÃvakÅrïina÷  YS99v_39d
kecid brahmahaïo vratam  YS99v_39b
keÓÃnÃæ rak«aïÃrthaæ ca  YS99v_57a
keÓÃæÓ ca parirak«ayet  YS99v_58b
kaivartamedabhillÃÓ ca  YS99v_33c
kriyayÃ bhe«ajena tu  YS99v_52b
krodhÃd aj¤Ãnato vÃpi  YS99v_2c
gaÇgÃtoye«u ti«Âhati  YS99v_91b
gaÇgÃ toye«u yasyÃsthi  YS99v_90a
gatvaitÃ÷ praviÓed agniæ  YS99v_35c
garbhasaæsravaïe mÃse  YS99v_76c
garbhasrÃve viÓudhyati  YS99v_77b
garbhe reta÷ samanvite  YS99v_44b
garbho 'pi saæpated yadi  YS99v_42b
gavÃæ nipÃtane caiva  YS99v_42a
gÃyatryÃ÷ Óodhanaæ param  YS99v_9d
gurutalpavrataæ kecit  YS99v_39a
g­hïantv etÃ¤ jalÃ¤jalÅn  YS99v_92d
goghnasya kecid icchanti  YS99v_39c
godaï¬a÷ parikÅrtita÷  YS99v_41d
gobrÃhmaïag­haæ dagdhÃ  YS99v_27a
gomÆtrayÃvakÃhÃro  YS99v_26c
goÓ­ÇgamÃÂram uddh­tya  YS99v_93c
grahoparÃge saækrÃntau  YS99v_83a
grÃsaæ vÃ yadi g­hïÅyÃt  YS99v_47a
caï¬ÃlapukkasÃnÃæ ca  YS99v_28a
caï¬ÃlaÓvapacai÷ sp­«Âe  YS99v_64a
caï¬Ãlaæ patitaæ sp­Óet  YS99v_2b
caï¬ÃlÃnnaæ kadÃcana  YS99v_26b
caï¬Ãlai÷ Óvapacai÷ sp­«Âo  YS99v_10a
caturthe pa¤came caiva  YS99v_88a
caturthe 'hani rÃtri«u  YS99v_86b
catvÃro 'py aviÓe«ata÷  YS99v_31b
cÃndrÃyaïÃbhyÃæ Óudhyeta  YS99v_24c
cÃndrÃyaïena Óudhyanti  YS99v_23c
cchedayed aÇguladvayam  YS99v_54b
jalamadhye jalaæ k«ipet  YS99v_93d
jalÃdyudbandhanabhra«ÂÃ÷  YS99v_22a
jale dadyÃj jalÃ¤jalÅn  YS99v_98b
jÃtena Óudhyate jÃtaæ  YS99v_76a
jÅvato dviÓataæ dama÷  YS99v_20d
juhuyÃt sarpi«ÃhutÅ÷  YS99v_6d
ta¬Ãgaæ pÆrtam ucyate  YS99v_69b
tata÷ Óuddhir vidhÅyate  YS99v_63d
tat pÃpaæ ÓatadhÃ bhÆtvÃ  YS99v_60c
tat samaæ sÆtakaæ yÃti  YS99v_85c
tathÃ piï¬odake 'pi ca  YS99v_85d
tathÃ varïottamÃm api  YS99v_36b
tadÃ tasya tu tat pÃpaæ  YS99v_65c
tannÃrÅgÃminÃæ tathÃ  YS99v_29b
taptak­cchradvayena vÃ  YS99v_23d
taptak­cchraparik«ipto  YS99v_30c
taptak­cchraæ tu pÃ«Ãïe  YS99v_49c
tam eva parisarpati  YS99v_60d
tasmÃd apsu jalaæ deyaæ  YS99v_95c
tasya vak«yÃmi ni«k­tim  YS99v_2d
tasya Óaucaæ vinirdiÓet  YS99v_4d
tasyÃ÷ piï¬odakaæ kriyÃ÷  YS99v_78d
tÃn dharmavighnakartÌæÓ ca  YS99v_59c
tÃmrÃyÃÓ ca payo grÃhyaæ  YS99v_71c
tÃmre vÃ m­nmaye Óubhe  YS99v_74d
tÃvadvar«asahasrÃïi  YS99v_91c
t­tÅye vÃ caturthake  YS99v_87b
tenaivocchi«Âasaæsp­«Âa÷  YS99v_15c
tailabhai«ajyapÃne ca  YS99v_51a
toyaæ vÃpi pibed yadi  YS99v_47b
tyajanto 'patitÃn bandhÆn  YS99v_19a
tripÃde tu ÓikhÃvarjaæ  YS99v_53c
trirÃtraæ tu prakurvÅta  YS99v_10c
trirÃtreïa viÓuddhi÷ syÃd  YS99v_11c
trirÃtreïaiva Óudhyati  YS99v_8d
trÅïy ahÃni vinirdiÓet  YS99v_76d
dak«iïÃ dik tathaiva ca  YS99v_94d
daï¬Ãd ÆrdhvaprahÃreïa  YS99v_40a
daï¬enÃbhihatas tathÃ  YS99v_46b
daï¬yÃ uttamasÃhasam  YS99v_19b
daï¬yÃ dvÃdaÓakaæ nÃrÅ  YS99v_18c
daï¬yÃs tat putramitrÃïi  YS99v_21a
dattvÃ dhenuæ tathÃ v­«am  YS99v_24d
dadad gobrÃhmaïe«u tu  YS99v_50b
dadyÃt te«Ãæ ca dak«iïÃm  YS99v_61d
dadyÃd ekena pÃïinÃ  YS99v_99b
da«Âa÷ snÃtvÃ Óuci÷ sadyo  YS99v_25c
daæpatÅ Óayanaæ gatau  YS99v_17b
dÃtÃ ca narakaæ vrajet  YS99v_58d
divÃ saædhyÃsu rÃtri«u  YS99v_25d
divÃ sÆryÃæÓubhis taptaæ  YS99v_96a
dÅyamÃne vipatti÷ syÃt  YS99v_50c
devatÃnÃæ pitÌïÃæ ca  YS99v_98a
devatÃyatanÃni ca  YS99v_70b
devadroïyas tathaiva ca  YS99v_69d
daurÃtmyÃd aprakurvatÅ  YS99v_18b
dviguïaæ go vrataæ tasya  YS99v_40c
dviguïaæ cen na dattaæ ca  YS99v_58a
dviguïaæ vratam ÃdiÓet  YS99v_57b
dviguïe tu vrate cÅrïe  YS99v_57c
dviguïaiva tu dak«iïÃ  YS99v_57d
dvitÅye nÃsti do«as tu  YS99v_75c
dvitÅye samupasthite  YS99v_75b
dvi pÃde ÓmaÓrukevalam  YS99v_53b
dve pitu÷ piï¬adÃnaæ syÃt  YS99v_79a
dvau pÃdau gÃtrasaæbhave  YS99v_43b
na gacchantÅm anuvrajet  YS99v_55d
na grÃhyÃ÷ sapta m­ttikÃ÷  YS99v_67d
na ca go«Âhe nivÃsaæ ca  YS99v_55c
na ca vÅrÃsanaæ tathÃ  YS99v_55b
na cet tÃn pÅ¬ayed rÃjÃ  YS99v_60a
naÂo buru¬a eva ca  YS99v_33b
na tasya punar Ãv­ttir  YS99v_90c
na tu mÃtÃ kadÃcana  YS99v_19d
na do«o rodha bandhayo÷  YS99v_52d
na vaset tatra rÃtrau tu  YS99v_64c
navaite pratyavasitÃ÷  YS99v_23a
na striyÃ vapanaæ kÃryaæ  YS99v_55a
nÃnyÃ Óuddhir vidhÅyate  YS99v_35d
nÃbhimÃtre jale sthitvÃ  YS99v_92a
nigiranyadi meheta  YS99v_6a
nityaæ naimittikaæ kÃmyaæ  YS99v_82a
nimittÅ naiva lipyate  YS99v_45d
nirÃhÃrÃ Óucis ti«Âhet  YS99v_12c
nirvapet trÅn nara÷ piï¬Ãn  YS99v_83c
niÓi snÃnaæ vidhÅyate  YS99v_64b
ni÷Óalyakaraïe caiva  YS99v_51c
pa¤cagavyena Óudhyati  YS99v_3d
pa¤cagavyena Óudhyati  YS99v_5d
pa¤carÃtraæ kuÓodakam  YS99v_38d
patitÃny uddhared yas tu  YS99v_70c
paradÃre«u sarve«u  YS99v_37c
parvotsavamahÃlaye  YS99v_83b
pavitraæ sarvadÃ jalam  YS99v_96d
pavitraæ sarvadÃ jalam  YS99v_97d
paÓcÃd apa upasp­Óet  YS99v_5b
pÃïigrahaïamantrÃbhyÃæ  YS99v_84c
pÃdam utpannamÃtre tu  YS99v_43a
pÃde caivÃsya romÃïi  YS99v_53a
pÃdonaæ k­cchram Ãca«Âe  YS99v_43c
pÃpaæ na k«Åyate hantur  YS99v_58c
pÃrvaïaæ ceti vij¤eyaæ  YS99v_82c
pÃlÃÓe madhyame parïe  YS99v_74a
pÃÓÃæÓ chittvÃ tathÃ tasya  YS99v_27c
pÃ«Ãïe vÃ gavÃæ rujÃ  YS99v_45b
piï¬am ekaæ tu nirvapet  YS99v_81d
piï¬e gotre ca sÆtake  YS99v_84b
piï¬e gotre ca sÆtake  YS99v_86d
piï¬e piï¬e dvinÃmatÃ  YS99v_79b
pitÃmahy api svenaiva  YS99v_80c
pitÃ hi patita÷ kÃmaæ  YS99v_19c
pitÌïÃæ sthÃnam ÃkÃÓaæ  YS99v_94c
pitÌïÃæ hitam icchatÃ  YS99v_95d
pibet pu«karaparïe vÃ  YS99v_74c
pÅtvÃpa÷ pratig­hya ca  YS99v_34b
pÅtvÃ sak­t sutaptaæ ca  YS99v_38c
pÆrayitvÃ jalena ca  YS99v_93b
pÆrte mok«aæ samaÓnute  YS99v_68d
pÆrvavyÃdhiprana«ÂÃnÃæ  YS99v_47c
pÆrvaæ k­tvÃ dvija÷ Óaucaæ  YS99v_5a
praïavena tu saæpibet  YS99v_73d
praïavena samÃlo¬ya  YS99v_73c
pratyekaæ païikaæ damam  YS99v_21b
prathamenaiva Óudhyati  YS99v_75d
prathame 'hni dvitÅye vÃ  YS99v_87a
pravrajyÃnÃÓakacyutÃ÷  YS99v_22b
prÃjÃpatyaæ tu lo«Âake  YS99v_49b
prÃjÃpatyaæ samÃcaret  YS99v_15d
prÃbravÅd ­«ibhi÷ p­«Âo  YS99v_1c
prÃyaÓcittaæ kathaæ tatra  YS99v_48c
prÃyaÓcittaæ ca k­tvÃ vai  YS99v_63a
prÃyaÓcittaæ tata÷ kuryur  YS99v_21c
prÃyaÓcittaæ na vidyate  YS99v_47d
prÃyaÓcittaæ na vidyate  YS99v_50d
prÃyaÓcittaæ na vidyate  YS99v_51d
prÃyaÓcittaæ vadanti ye  YS99v_59b
prÃyaÓcittaæ vinirdiÓet  YS99v_40d
prÃyaÓcittaæ vinirdiÓet  YS99v_56d
prÃyaÓcitte tataÓ cÅrïe  YS99v_61a
plavate Óubhakarmaïa÷  YS99v_90b
bandhane rodhane caiva  YS99v_45a
bandhubhir hitabuddhibhi÷  YS99v_87d
bÃhumÃtrapramÃïaka÷  YS99v_41b
brahmakÆrcena copari  YS99v_13d
brahmalokÃt katha¤cana  YS99v_90d
brÃhmaïena prayatnata÷  YS99v_68b
brÃhmaïo vÃ bahuÓruta÷  YS99v_56b
bhak«ayitvÃ tu tad grÃsam  YS99v_8a
bhartu÷ ÓarÅraæ ÓuÓrÆ«Ãæ  YS99v_18a
bhÃï¬asthaæ dharaïÅsthaæ vÃ  YS99v_97c
bhÃï¬e tÃmramaye tathÃ  YS99v_74b
bhuktvÃ gatvÃ ca yo«itam  YS99v_28b
bhuktvÃ cai«Ãæ striyo gatvÃ  YS99v_34a
bhuktvÃ vÃ mehane k­te  YS99v_6b
bhuktvocchi«Âa÷ «a¬ Ãcaret  YS99v_10d
bhu¤jÃnasya tu viprasya  YS99v_4a
bhÆmau nidhÃya tad grÃsaæ  YS99v_7c
bhe«ajÃnÃæ ca bhak«aïe  YS99v_51b
bhojayitvÃ dvijottamÃn  YS99v_63b
mak«ikÃbhiÓ ca pÃtitai÷  YS99v_62b
madyagomÃæsabhaksaïe  YS99v_30b
mahÃpÃtakakartÃraÓ  YS99v_31a
mahÃpÃtakanÃÓanam  YS99v_72b
mÃtaraæ gurupatnÅæ ca  YS99v_35a
mÃtÃpitros tu satk­tim  YS99v_81b
mÃtÃ bhuktvÃ sa daivatam  YS99v_80b
mÃt­gotragatÃsv api  YS99v_37b
mÃnu«aiÓ ca ratiæ vinÃ  YS99v_25b
mÃsam abhyasya pÆru«a÷  YS99v_32b
mÃsÃrdhena viÓudhyati  YS99v_26d
mucyate pretalokÃt sa  YS99v_89c
muï¬amuï¬Ãpanaæ sm­tam  YS99v_54d
munÅnÃm agraïÅr yama÷  YS99v_1d
mÆrchita÷ patito vÃpi  YS99v_46a
mÆle sarvaæ samÃcaret  YS99v_53d
mÆ«ikotkaravartmasu  YS99v_67b
m­taæ codbandhanÃdinÃ  YS99v_27b
m­tena m­takaæ tathÃ  YS99v_76b
m­to 'medhyena leptavyo  YS99v_20c
mau¤jÅ homena Óudhyati  YS99v_30d
yathÃ pÆrvaæ tathÃ puna÷  YS99v_42d
yathÃ ÓÃstrapracoditam  YS99v_21d
yathÃsaækhyaæ samÃcaret  YS99v_3b
yadÃ bhojanakÃle syÃd  YS99v_7a
yas tu gÃæ vinipÃtayet  YS99v_40b
yasya cots­jyate v­«a÷  YS99v_89b
yÃvadasthi manu«yÃïÃæ  YS99v_91a
yena yena tu varïena  YS99v_85a
yo bhu¤jÃno 'Óucir vÃpi  YS99v_2a
rajakaÓ carmakÃraÓ ca  YS99v_33a
rajasy uparate sÃdhvÅ  YS99v_77c
rajasvalÃ tu saæsp­«ÂÃ  YS99v_12a
rajasvale yadÃ nÃryÃv  YS99v_13a
rajjvÃdibhir upakramai÷  YS99v_20b
rahasyakaraïe 'py evaæ  YS99v_32a
rÃjÃ daï¬ena pÅ¬ayet  YS99v_59d
rÃjÃ vÃ rÃja putro vÃ  YS99v_56a
rÃj¤Ãæ pravrajitÃæ dhÃtrÅæ  YS99v_36a
rÃtribhir mÃsatulyÃbhir  YS99v_77a
rÃtrau nak«atramÃrutai÷  YS99v_96b
vatsÃnÃæ kaïÂhabandhena  YS99v_52a
varïÃnÃm anupÆrvaÓa÷  YS99v_1b
varïÃnÃm anupÆrvaÓa÷  YS99v_88d
var«aæ tyÃjyÃ dhanaæ vinÃ  YS99v_18d
var«e var«e tu kurvÅta  YS99v_81a
vÃpÅ kÆpata¬ÃgÃni  YS99v_70a
vÃristho dak«iïÃmukha÷  YS99v_94b
viïmÆtre tu k­te dvija÷  YS99v_10b
vittÃpek«aæ bhaved i«Âaæ  YS99v_69a
vivÃhÃt saptame pade  YS99v_78b
vivÃhe caiva saæv­tte  YS99v_86a
vi«aprapatanaprÃya-  YS99v_22c
viæÓatiæ gÃv­«aæ caiva  YS99v_61c
v­ddhiÓrÃddham athÃparam  YS99v_82b
veÓyÃbhigamane pÃpaæ  YS99v_38a
vyapohanti dvijÃtaya÷  YS99v_38b
ÓaktyÃ dadyÃc ca dak«iïÃm  YS99v_62d
ÓatadhÃ parivartate  YS99v_65d
ÓayanÃd utthitÃ nÃrÅ  YS99v_17c
ÓastraghÃtahatÃÓ ca ye  YS99v_22d
Óastre cÃpy atik­cchrakam  YS99v_49d
Óastrair vÃ nihatÃ yadi  YS99v_48b
ÓÃstre ÓÃstre nigadyate  YS99v_48d
ÓuklÃyÃ mÆtraæ g­hïÅyÃt  YS99v_71a
Óuci÷ syÃd aÓuci÷ pumÃn  YS99v_17d
Óudhyata÷ pa¤cagavyena  YS99v_13c
Óudhyed antarjale sthita÷  YS99v_32d
ÓÆdrÃ dÃnopavÃsata÷  YS99v_14d
Óaucaæ mÆtrapurÅ«avat  YS99v_16d
ÓmaÓÃne ÓaucaÓe«e ca  YS99v_67c
ÓyÃmÃc chabalakÃc cyuta÷  YS99v_24b
ÓrÃddhaæ pa¤cavidhaæ budhai÷  YS99v_82d
ÓrÃddhe havanakÃle ca  YS99v_99a
Órutism­tyuditaæ dharmaæ  YS99v_1a
ÓvamÃtaÇgÃdivÃyasai÷  YS99v_12b
ÓvaÓ­gÃlaplavaÇgÃdyair  YS99v_25a
ÓvetÃyÃ dadhi cocyate  YS99v_71d
«a¬rÃtraæ vÃ trirÃtraæ vÃ  YS99v_3a
«aïïÃæ deyÃs traya÷ piï¬Ã  YS99v_79c
sa gotrÃm abhigamya ca  YS99v_36d
sadya÷ snÃnena Óudhyati  YS99v_64d
sa pÆrtaphalam aÓnute  YS99v_70d
sapta pa¤ca daÓÃpi vÃ  YS99v_46d
saptame navame tathÃ  YS99v_88b
saptaite antyajÃ÷ sm­tÃ÷  YS99v_33d
sarvatÅrthe nadÅ toye  YS99v_72c
sarvalokabahi«k­tÃ÷  YS99v_23b
sarvÃn keÓÃn samuddh­tya  YS99v_54a
saædhyayor apy ubhÃbhyÃæ ca  YS99v_96c
saæpadyate cen maraïaæ  YS99v_45c
saæsp­Óed antyajo yadi  YS99v_11b
saæsp­«Âe raÓmibhis te«Ãm  YS99v_66c
sÃyaæ saægopanÃrthaæ ca  YS99v_52c
sÃrdraÓ ca sa palÃÓaÓ ca  YS99v_41c
suvarïam Ã«akaæ dadyÃt  YS99v_63c
sÆtake tu samutpanne  YS99v_75a
sthale dadyÃj jalÃ¤jalÅn  YS99v_98d
sthitvÃ vÃ mahati kratau  YS99v_31d
snÃtvÃ tri«avaïaæ vipra÷  YS99v_3c
snÃtvÃ Óuddhim avÃpnuyÃt  YS99v_7d
snÃnaæ maithunina÷ sm­tam  YS99v_16b
snÃnaæ yena vidhÅyate  YS99v_15b
snÃnena strÅ rajasvalÃ  YS99v_77d
svagotrÃd bhraÓyate tata÷  YS99v_84d
svagotrÃd bhraÓyate nÃrÅ  YS99v_78a
svabhÃvayuktam avyÃptam  YS99v_97a
svargaloke mahÅyate  YS99v_89d
svargaloke mahÅyate  YS99v_91d
svas­duhitarau snu«Ãm  YS99v_35b
svasthas trÅïi sahasrÃïi  YS99v_9c
svÃmigotreïa kartavyÃs  YS99v_78c
svena bhartrÃ saha ÓrÃddhaæ  YS99v_80a
svenaiva prapitÃmahÅ  YS99v_80d
hatvÃ garbham acetanam  YS99v_43d
hastau k­tvÃ susaæyuktau  YS99v_93a
h­dayenÃnucintayet  YS99v_92b

