Yamasmrti 
Based on the edition by Haridatta Sastri (ed.): The Smriti Sandarbha (6 Vols.),
Calcutta 1952-1957, pp. 2083-90 (repr. Delhi: 1988)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



NOTE:
This is the shortest version of the Yamasmçti, containing 78 verses.



PADA INDEX



STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse number



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





agre màhiùikaü dçùñvà  YS78v_35a
årdhvaü snànam adhaþ ÷aucaü  YS78v_45c
ekaikaü varddhayec chukle  YS78v_10a
etat te kathitaü sarvaü  YS78v_68a
etad bhàsvatir abravãt  YS78v_33d
etàn niyojayed yas tu  YS78v_34a
ete varjyàþ prayatnena  YS78v_33c
ete ÷ådreùu bhojyànnà  YS78v_20c
ete ÷ràddhe ca dàne ca  YS78v_a
eteùàm udakaü pãtvà  YS78v_47c
evam eva tu nàrãõàü  YS78v_74c
eùa càndràyaõo vidhiþ  YS78v_10d
eùàü gatvà tu yoùàü vai  YS78v_55a
kartà yadi vipadyate  YS78v_12b
kàmàd akàmato vàpi  YS78v_57c
kàùñhe vanaspatau rodha-  YS78v_67c
kukkuñàõóapramàõan tu  YS78v_9a
kunakhã ÷yàvadantakaþ  YS78v_29b
kumàrã tu rajasvalà  YS78v_25d
kulamitràrdhasãriõaþ  YS78v_20b
ku÷à÷vatthapalà÷akàþ  YS78v_47b
kçcchrapàdaü caret pårvà  YS78v_60c
kçcchràrddhaü saüprakurvãta  YS78v_6c
kçcchreõa vastraghàte 'pi  YS78v_71a
kçcchreõa ÷udhyate pårvà  YS78v_58c
kçmibhir vraõasaübhåtair  YS78v_6a
kçmibhuktabraõe mau¤jã-  YS78v_7c
kçùõapakùe ca hràsayet  YS78v_10b
kaivartamedabhillà÷ ca  YS78v_54c
kråragarbha÷ ca maithune  YS78v_77b
kùatriyà ÷ådrajà tathà  YS78v_59b
gàtre mukhe ca pravi÷ec ca samyak  YS78v_44c
gçhitva¤ ca cikãrùati  YS78v_48d
goghna÷ ceti vi÷uddhyati  YS78v_71b
gobràhmaõahanaü dagdhà  YS78v_5a
gomàüsabhakùaõe kçte  YS78v_11b
gràsa¤ca parikalpayet  YS78v_9b
caturõàm api varõànàü  YS78v_1c
caturthe sa÷ikhaü vapet  YS78v_72d
catvàri khalu karmàõi  YS78v_76a
carec càndràyaõaü vratam  YS78v_8d
carec càndràyaõaü vratam  YS78v_21d
carec càndràyaõàni ca  YS78v_49b
càõóàlarajakastriyaþ  YS78v_18b
càõóàlair arajasvalà  YS78v_62b
càndràyaõena ÷uddhyanti  YS78v_3c
chedayed aïgulidvayam  YS78v_74b
jalàgnyudvandhanabhraùñàþ  YS78v_2a
jàtakarmàdibhiþ proktaiþ  YS78v_49c
jàtaråpaü suvarõa¤ ca  YS78v_19a
j¤àtvà dharmaü samàcaret  YS78v_51d
j¤àtvà bhuïkte vi÷eùeõa  YS78v_8c
jyeùñho bhràtà tathaiva ca  YS78v_23b
tataþ ÷uddhyeta àturaþ  YS78v_53d
tato devalaka÷ caiva  YS78v_33a
tat pàpas tu praõa÷yati  YS78v_11d
tat pàpaü na praõa÷yati  YS78v_43d
tadarddhan tu tathottarà  YS78v_60d
tad bhaikùabhug japen nityaü  YS78v_26c
tan màtreõaiva ÷uddhyati  YS78v_45d
taptakçcchra¤ cared vipras  YS78v_11c
taptakçcchradvayena và  YS78v_3d
taptakçcchraü samàcaret  YS78v_5d
taptakçcchraü samàcaret  YS78v_55b
tasyà¤ caiva prasåtasya  YS78v_28c
tàn doùàn kùamate yas tu  YS78v_36c
tàvac cãrõavratasyàpi  YS78v_43c
tàvato grasate piõóàn  YS78v_40c
tàvat tiùñhet niràhàrà  YS78v_61c
tålikà upadhànàni  YS78v_50a
tçtãye tu ÷ikhà dhàryà  YS78v_72c
tena snàtvà ca pãtvà ca  YS78v_19c
tenaivocchiùñasaüspçùñaþ  YS78v_42c
te 'pi sarve vigarhitàþ  YS78v_13d
trayas te narakaü yànti  YS78v_23c
tribhir varùair vyapohati  YS78v_26d
dattvà dhenuü tathà vçùam  YS78v_4d
da÷akçtvo hy anàturaþ  YS78v_53b
dàruõà ghàtane kçcchraü  YS78v_69a
dàsanàpitagopàla-  YS78v_20a
divànãtaü ca yaj jalam  YS78v_19b
divànãtena toyena  YS78v_63c
divàrka ra÷misaüspçùñaü  YS78v_64a
durbhago hi tathà ùaõóaþ  YS78v_30a
dçùñvà kanyàü rajasvalàm  YS78v_23d
de÷aü kàlaü tathàtmànaü  YS78v_51a
dravyaü dravyaprayojanam  YS78v_51b
dvitãye ÷ma÷ru vàpayet  YS78v_72b
dharma÷àstraü pravartate  YS78v_1d
na kuryàd vaidikãü ÷rutim  YS78v_73d
na ca ràtrau vased goùñhe  YS78v_73c
na ca sà gàm anuvrajet  YS78v_73b
naño vuruóa eva ca  YS78v_54b
nadãkàntàramantike  YS78v_71d
na ÷ådrã vçùalã bhavet  YS78v_27d
na sa tatra vi÷uddhyati  YS78v_9d
na strãõàü vapanaü kuryàt  YS78v_73a
nàparàdho na pàtakam  YS78v_16b
nàvàyasa tçõàni ca  YS78v_52b
nàsya såtakità bhavet  YS78v_75d
nityaü pratigrahe lubdho  YS78v_31a
nidrà ÷riyo nivarttante  YS78v_77c
nirà÷àþ pitaras tasya  YS78v_34c
nirà÷àþ pitaro gatàþ  YS78v_35d
niùkçtir naiva vidyate  YS78v_28d
niþ÷vàsopahatasya ca  YS78v_28b
pakveùñakacitàni ca  YS78v_52d
pa¤cagavyena ÷uddhyati  YS78v_41d
pa¤cavarùàt parasya ca  YS78v_15b
padmoóumbaravilvà÷ ca  YS78v_47a
pavitraü sarvadà jalam  YS78v_64d
pàtakena tu liptena  YS78v_75c
pàdakçcchran tu pàdape  YS78v_69d
pàdahãnaü caret pårvà  YS78v_59c
pàdàrddhan tu tathottarà  YS78v_59d
pà÷aü tasyaiva chittvà tu  YS78v_5c
pàùaõóã vedanindakaþ  YS78v_30b
pàùàõair dviguõaü bhavet  YS78v_69b
pàùàõaiþ ÷astraghàtanaiþ  YS78v_66b
pitaro yatra tarpitàþ  YS78v_39b
pità pibati ÷oõitam  YS78v_22d
pità vànyo 'pi bàndhavaþ  YS78v_15d
pitçbhis tarpitaiþ pa÷càd  YS78v_39c
pibed àcamane dvijaþ  YS78v_65b
pi÷uno matsaras tathà  YS78v_29d
punaþ saüskàram arhati  YS78v_49d
puùpaü raktàmbaràõi ca  YS78v_50b
påtas tad ahar evàpi  YS78v_12c
påyante 'nuvrate cãrõe  YS78v_14c
påya÷oõita sambhave  YS78v_7b
prabrajyàna÷anacyutàþ  YS78v_2b
pramàdasthànam uttamam  YS78v_68b
praya÷cittaü tathà pràptaü  YS78v_21c
pravrajyàgnir niràpadi  YS78v_48b
pràjàpatyaü samàcaret  YS78v_42d
pràjàpatyena kçcchreõa  YS78v_62c
pràõàyàma÷atena ca  YS78v_62d
pràpte dvàda÷ame varùe  YS78v_22a
pràya÷cittaü kathaü tàsàü  YS78v_56c
pràya÷cittaü kathaü bhavet  YS78v_18d
pràya÷cittaü kathaü bhavet  YS78v_46d
pràya÷cittaü cared bhràtà  YS78v_15c
pràya÷cittaü na vidyate  YS78v_16d
pràya÷cittaü samàcaret  YS78v_68d
pràya÷cittàbhidhàyakam  YS78v_1b
pràya÷cittàrddham arhanti  YS78v_17c
pràya÷cittena ÷uddhyati  YS78v_13b
pràya÷citte hy upakrànte  YS78v_12a
prokùayitvà ÷ucir bhavet  YS78v_50d
bàlo vàpy ånaùoóa÷aþ  YS78v_17b
brahmavàdiùu garhitaþ  YS78v_37d
bràhmaõasya maladvàre  YS78v_7a
bràhmaõã ÷ådrajà tathà  YS78v_58b
bràhmaõo madamohitaþ  YS78v_24b
bhçtako vedavikrayã  YS78v_33b
makùikà÷vopaghàtitaþ  YS78v_6b
madhye tu vçùalãpatim  YS78v_35b
mayà proktam idaü ÷àstraü  YS78v_78c
mahàrghaü yah prayacchati  YS78v_37b
mahiùãty ucyate bhàryà  YS78v_36a
màtà caiva pità caiva  YS78v_23a
màrutàrkeõa ÷uddhyanti  YS78v_52c
màsi màsi rajas tasyàþ  YS78v_22c
mçtakena tu jàtena  YS78v_75a
mçtam udvandhanena ca  YS78v_5b
mçtpiõóe gokulena ca  YS78v_66d
yat karoty ekaràtreõa  YS78v_26a
yatra yatra mçtà gàvaþ  YS78v_68c
yad aïgam upahanyate  YS78v_45b
yad veùñitaü kàkabalàkacillair  YS78v_44a
yamasya vacanaü yathà  YS78v_65d
ya÷ càtmanaü nivedayet  YS78v_20d
yaùñighàte dvayaü caret  YS78v_b
yaùñyà tu ghàtane caiva  YS78v_66c
yas tàü vivàhayet kanyàü  YS78v_24a
yaþ kanyàü na prayacchati  YS78v_22b
yaþ kùatriyas tathà vai÷yaþ  YS78v_8a
yaþ pratyavasito vipraþ  YS78v_48a
yàcako viùayàtmakaþ  YS78v_31b
yà caiva vyabhicàriõã  YS78v_36b
yànti devàmaharùibhiþ  YS78v_34d
yàvato grasate gràsàn  YS78v_40a
yàvad uùõaü bhavaty annaü  YS78v_38a
yàvad ekaþ pçthak dravyaþ  YS78v_13a
yàvad bhu¤janti vàgyatàþ  YS78v_38b
yàvad viprà na påjyante  YS78v_43a
yàvan noktà havirguõàþ  YS78v_38d
ye 'gràmya ÷araõacyutàþ  YS78v_4b
ye bhu¤janty abudhà naràþ  YS78v_21b
yo varttayati gomadhye  YS78v_71c
rajaka÷ carmakàra÷ ca  YS78v_54a
rathy àkardamatoyàni  YS78v_52a
ràjadaõóo na tasyàsti  YS78v_16c
ràtrau nakùatrara÷mibhiþ  YS78v_64b
reto måtrapurãùàõàü  YS78v_46c
rogã hãnàtiriktàïgaþ  YS78v_29c
rodhane bandhane caiva  YS78v_67a
romàõi prathame pàde  YS78v_72a
vaktavyaü ÷obhanaü haviþ  YS78v_39d
vandhyà tu vçùalã j¤eyà  YS78v_25a
varjanãyàþ prayatnataþ  YS78v_b
varõànàü hitakàmyayà  YS78v_78b
varõe varõe vidhãyate  YS78v_56d
vipraþ spçùño ni÷àyà¤ ca  YS78v_63a
viùaprapatanapràya-  YS78v_2c
vçùalã tu mçtaprajàþ  YS78v_25b
vçùalãphenapãtasya  YS78v_28a
vçùalã sà tu vij¤eyà  YS78v_27c
vçùalãsevanàd dvijaþ  YS78v_26b
vai÷yajà ÷ådrajà tathà  YS78v_60b
÷aktyà dadyàt tu dakùiõàm  YS78v_6d
÷arãre brahmaõaþ pità  YS78v_40d
÷astraghàtacyutà÷ca ye  YS78v_2d
÷astraghàte trikçcchràõi  YS78v_a
÷iraso vapanaü smçtam  YS78v_74d
÷unà ÷ådreõa và dvijaþ  YS78v_41b
÷ådra÷càpyanulomajaþ  YS78v_8b
÷ådrà pàdena ÷udhyati  YS78v_58d
÷ådrã tu vçùalã j¤eyà  YS78v_25c
÷oùayitvà pratàpena  YS78v_50c
÷yàvadanto 'tha vaidya÷ ca  YS78v_31c
÷vàjajambåkaràsabhaiþ  YS78v_61b
÷vitrakuùñhã tathà caiva  YS78v_29a
ùaóràtreõaiva ÷uddhyati  YS78v_47d
sagotrà¤ ca sabharttçkàm  YS78v_57b
saïkañe rajjuvastrayoþ  YS78v_67d
sandhyàkàle vivarjayet  YS78v_76b
sandhyobhayo÷ ca sandhyàyàþ  YS78v_64c
saptaite càntyajàþ smçtàþ  YS78v_54d
samàrghan tu samuddhçtya  YS78v_37a
sambhojanahiraõyakaiþ  YS78v_43b
sarvalokavahiùkçtàþ  YS78v_3b
sarvàn ke÷àn samuddhçtya  YS78v_74a
sarve te çkthabhàginaþ  YS78v_14d
sarve te pratyavasitàþ  YS78v_3a
sarve te ÷ucayaþ smçtàþ  YS78v_19d
sa vipro vçùalãpatiþ  YS78v_24d
sa vai màhiùikaþ smçtaþ  YS78v_36d
sa vai vàrdhuùiko nàma  YS78v_37c
saüspçùñàs tu tadà kai÷cit  YS78v_18c
sàvadhàno 'vadhàraya  YS78v_78d
surànyamadyapànena  YS78v_11a
suràü pibati suvyaktaü  YS78v_65c
striyo rogiõa eva ca  YS78v_17d
strãõàü rajasvalànàn tu  YS78v_56a
sthàpite puùkale tathà  YS78v_67b
snàtvà kàlena ÷uddhyati  YS78v_57d
snàtvà kàlena ÷udhyati  YS78v_61d
snàtvà snàtvà spç÷et tan tu  YS78v_53c
snànamàtraü vidhãyate  YS78v_42b
snànena lepopahatasya ÷uddhiþ  YS78v_44d
snàpayec càgnisannidhau  YS78v_63d
spçùñà rajasvalà caiva  YS78v_61a
spçùñàspçùñi yadà bhavet  YS78v_56b
spçùñvà rajasvalà kai÷cit  YS78v_62a
spçùñvà rajasvalànyonyaü  YS78v_58a
spçùñvà rajasvalànyonyaü  YS78v_59a
spçùñvà rajasvalànyonyaü  YS78v_60a
spçùñvà rajasvalàü yàntu  YS78v_57a
svavçùaü yà parityajyàny  YS78v_27a
svàta vàpyos tathà kåpe  YS78v_66a
svàdhyàya¤ ca caturthakam  YS78v_76d
svàdhyàye maraõaü dhruvam  YS78v_77d
havirguõà na vaktavyàþ  YS78v_39a
havyakavyeùu mantravit  YS78v_40b
havye kavye ca karmaõi  YS78v_34b
haitukaþ ÷ådrayàjã ca  YS78v_30c
homena sa vi÷uddhyati  YS78v_7d

