Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
atiprasaæga÷ syÃd evaæ  HSvs_[4.5]328c
atiprasaægÃd aikyÃc ca  HSvs_[7.1]508c
atÅtÃjÃtayor vÃpi  HSvs_[11.1]648a
atÅndriyÃrthadra«ÂÃ tan  HSvs_[10.1]590c
atÅndriyÃrthadra«ÂÃ tu  HSvs_[10.1]619a
atÅndriyÃrthasaævÃdo  HSvs_[10.2]641a
atÅndriye«u bhÃve«u  HSvs_[2.1]135a
atucchatvÃt kathaæ nanu ?  HSvs_[4.2]253d
ato 'tra vada kiæ yuktÃ  HSvs_[1.1]15c
ato na tat p­thivyÃdi-  HSvs_[3.2]218c
ato 'nyac cÃpy ato 'nyata÷  HSvs_[2.1]133d
ato 'nyatve dhruvo 'nvaya÷  HSvs_[6.3]446d
ato 'nyad du«karaæ nyÃyÃd  HSvs_[9.1]569c
ato 'pi jÃtimÃtraæ tad  HSvs_[7.1]517c
ato 'pi Óuklaæ yad v­ttaæ  HSvs_[10.1]589a
ato 'sya÷ sa kathaæ bhavet  HSvs_[3.2]229b
ato hetvantarÃpek«aæ  HSvs_[2.2]190c
atyantÃsati sarvasmin  HSvs_[4.3]278a
atra coktaæ na cÃpy e«Ãæ  HSvs_[4.4]312a
atrÃpi na pramÃïaæ vaÓ  HSvs_[1.2]70c
atrÃpi puru«asyÃnye  HSvs_[3.2]232a
atrÃpi prÃj¤a ity anya  HSvs_[10.2]627a
atrÃpi bruvate kecit  HSvs_[2.1]131a
atrÃpi bruvate kecid  HSvs_[10.1]591a
atrÃpi bruvate v­ddhÃ÷  HSvs_[10.2]629a
atrÃpi varïayanty anye  HSvs_[9.1]556a
atrÃpi varïayantyeke  HSvs_[1.4]88a
atrÃpy abhidadhaty anye  HSvs_[4.1]241a
atrÃpy abhidadhaty anye  HSvs_[6.6]470a
atrÃpy abhidadhaty anye  HSvs_[7.1]480a
atrÃpy abhidadhaty anye  HSvs_[10.1]580a
atrÃpy evaæ vadanty anye  HSvs_[8.1]546a
atha bhinnasvabhÃvÃni  HSvs_[1.2]53a
athÃnityaæ tataÓ cedaæ  HSvs_[1.4]89c
athÃnyatrÃpi sÃmarthyaæ  HSvs_[4.4]313a
athÃnyena balÃd rÆpaæ  HSvs_[4.4]317c
athÃbhinnÃ na saækrÃntis  HSvs_[4.5]327a
ad­«Âam avagantavyaæ  HSvs_[1.4]106c
ad­«Âaæ karmasaæj¤itam  HSvs_[1.4]91d
ad­«Âaæ karma saæskÃrÃ÷  HSvs_[1.4]107a
ad­«ÂÃkÃÓakÃlÃdi-  HSvs_[1.2]63a
ad­«Âe nopajÃyate  HSvs_[10.2]636b
ado 'pi yuktiÓÆnyaæ yan  HSvs_[1.5]111c
advaitadeÓanÃ ÓÃstre  HSvs_[8.1]550c
adhikÃry api cÃsyeha  HSvs_[10.2]642a
adhyak«eïaiva saægate÷  HSvs_[1.2]66d
anantadharmakaæ vastu  HSvs_[11.1]665a
anantaracirÃtÅtaæ  HSvs_[4.6]341c
anantaraæ ca tadbhÃvas  HSvs_[4.3]284a
anabhivyaktir apy asyÃ  HSvs_[1.2]35a
anabhyupagamÃc ceha  HSvs_[11.1]658a
anayos tattvadarÓibhi÷  HSvs_[1.2]76d
analÃdigati÷ katham  HSvs_[4.6]335d
anavasthÃdikalpanam  HSvs_[7.1]517d
anÃdikarmayuktatvÃt  HSvs_[2.1]163a
anÃdibhavyabhÃvasya  HSvs_[9.1]558a
anÃdimattvÃt karmÃdi-  HSvs_[9.1]554c
anityam api cotpÃda-  HSvs_[6.6]468c
anityaæ jÅvitaæ ceha  HSvs_[1.1]13c
anityaæ yauvanaæ cÃpi  HSvs_[1.1]12c
anitya÷ priyasaæyoga  HSvs_[1.1]12a
anityÃ÷ sampadas tÅvra-  HSvs_[1.1]13a
ani«Âaæ samprasajyate  HSvs_[8.1]552d
ani«ÂÃ saæprasajyate  HSvs_[5.2]407d
ani«ÂÃ saæprasajyate  HSvs_[6.6]474d
anubhÆtÃrthavi«ayaæ  HSvs_[4.1]242a
anubhÆtÃrthasaæsm­ti÷  HSvs_[1.2]41d
anu«ÂupchandasÃæ k­tam  HSvs_[11.4]699b
anu«ÂhÃnaæ karoty asau  HSvs_[9.1]567b
anekagrahaïÃtmakam  HSvs_[6.4]457b
anekaæ copajÃyate  HSvs_[4.4]305b
anekÃntata evÃta÷  HSvs_[7.1]500a
antareïa nivartate  HSvs_[10.1]616d
antareïopajÃyate  HSvs_[1.2]75b
antareïopajÃyate  HSvs_[2.2]183d
antareïopapadyate  HSvs_[7.1]503d
antarvedyÃæ tu yad dattam  HSvs_[10.1]587c
ante k«ayek«aïaæ cÃdya-  HSvs_[6.4]451a
ante k«ayek«aïÃd Ãdau  HSvs_[6.4]453a
ante 'pi darÓanaæ nÃsya  HSvs_[4.2]265a
annapradÃnam ity etat  HSvs_[10.1]588c
anyac chabdasya gocara÷  HSvs_[11.1]666b
anyatas tatsamudbhavÃt  HSvs_[6.2]438d
anyatas tulyakÃlÃder  HSvs_[11.1]655c
anyatrÃto virodhas tad-  HSvs_[7.1]513c
anyatrÃpi samÃnatvÃt  HSvs_[4.6]359c
anyatreti na saægatam  HSvs_[6.2]440b
anyatve 'nyasya sÃmarthyam  HSvs_[6.2]440a
anyathÃ kalpanaæ cÃsya  HSvs_[4.6]357c
anyathÃgamyasaæsthiti÷  HSvs_[2.1]148d
anyathÃ tattvato 'dvaite  HSvs_[8.1]552a
anyathÃ tatra nÃÓvÃsaÓ  HSvs_[10.1]596c
anyathÃtatsvabhÃvatÃ  HSvs_[5.1]379d
anyathÃ tadabhÃvata÷  HSvs_[1.2]63d
anyathÃ tad asad bhavet  HSvs_[5.1]392b
anyathÃ tan na yuktimat  HSvs_[10.2]630b
anyathÃ tritayÃbhÃva  HSvs_[7.1]489c
anyathÃ dÃhaÓabdena  HSvs_[11.1]667c
anyathÃ dÃhasambandhÃd  HSvs_[11.1]667a
anyathÃ na vyavasthiti÷  HSvs_[5.1]396d
anyathÃniyatatvena  HSvs_[2.2]176a
anyathÃ neti suvyaktam  HSvs_[6.6]472c
anyathÃpy uktisaæbhavÃt  HSvs_[4.4]312d
anyathÃ yogyatÃ te«Ãæ  HSvs_[5.1]381a
anyathÃ vastutattvasya  HSvs_[2.1]118a
anyathaitad virudhyate  HSvs_[11.1]670b
anyad evendriyagrÃhyam  HSvs_[11.1]666a
anyado«opavarïanam  HSvs_[11.1]660b
anyado«o yad anyasya  HSvs_[11.1]661a
anyabhedakabhÃve tu  HSvs_[1.2]55c
anyasattvasthitÃv api  HSvs_[6.2]441b
anyastvÃheha siddhe 'pi  HSvs_[2.1]130a
anyahetur ahetur vÃ  HSvs_[2.1]152c
anya÷ svayaæ bravÅmÅti  HSvs_[10.1]613c
anyÃd­ÓapadÃrthebhya÷  HSvs_[4.6]354a
anyÃbhÃvaniyogÃc ca  HSvs_[11.1]646c
anye kriyÃta eveti  HSvs_[11.2]673c
anye tu janyam ÃÓritya  HSvs_[6.1]432a
anye tu bruvate hy etat  HSvs_[3.2]214a
anye tu vÃsanÃrÆpaæ  HSvs_[1.4]96c
anye tv advaitam icchanti  HSvs_[8.1]543a
anye tv abhidadhaty atra  HSvs_[1.4]97a
anye tv abhidadhaty atra  HSvs_[3.1]197a
anye tv abhidadhaty atra  HSvs_[11.1]644a
anye tv abhidadhaty evam  HSvs_[6.5]464a
anye tv abhidadhaty evaæ  HSvs_[11.1]652a
anye tv Ãhur anÃdy eva  HSvs_[7.1]477a
anye punar idaæ ÓrÃddhÃ  HSvs_[2.1]134a
anye punar vadanty evaæ  HSvs_[9.1]553a
anye vyÃkhyÃnayanty evaæ  HSvs_[8.1]550a
anye ÓÃstrak­taÓramÃ÷  HSvs_[1.4]93d
anye«Ãm api buddhyaivaæ  HSvs_[2.1]161a
anyonyam iti yad bhedaæ  HSvs_[7.1]509a
anyonyavyÃptijÃ ceyam  HSvs_[3.2]235c
anyonyavyÃptito bhedÃ-  HSvs_[7.1]507c
anyonyavyÃptisaæbhava÷  HSvs_[7.1]509d
anyonyÃtmakatÃpatte÷  HSvs_[2.2]176c
anyopÃdÃnabhÃve ca  HSvs_[1.2]74c
anvayavyatirekavat  HSvs_[7.1]530b
anvayÃdimayaæ vastu  HSvs_[7.1]506c
anvayi j¤Ãnam e«Âavyaæ  HSvs_[6.4]457c
anvayo vyatirekaÓ ca  HSvs_[7.1]507a
aparÅk«Ãpi no yuktÃ  HSvs_[2.1]119a
apareïÃpi yuktimat  HSvs_[4.2]267d
api kartÃvigÃnata÷  HSvs_[10.1]621b
api hanta prakÃÓayet  HSvs_[5.1]396b
apek«ÃyÃæ niyuÇkte yat  HSvs_[6.1]422c
apaity utpattyanantaram  HSvs_[6.4]459b
apohasyÃpi vÃcyatvam  HSvs_[11.1]669a
apoho yan na saæskÃro  HSvs_[11.1]670c
apauru«eyatÃpy asya  HSvs_[10.1]620a
apauru«eyam i«Âaæ vo  HSvs_[10.1]615c
apauru«eyo 'sau yasmÃd  HSvs_[10.1]584c
apratyak«atvato naivo-  HSvs_[10.1]582c
apramÃïam atheha kim  HSvs_[10.2]638b
aprav­ttyaiva sarvatra  HSvs_[2.1]146a
aphale pÆrvado«a÷ syÃt  HSvs_[3.1]200c
abuddhijanakavyÃv­t-  HSvs_[4.4]318a
abhayor api d­«Âo 'ntas tv  HSvs_[1.2]76c
abhÃvabhavanaæ tu yat  HSvs_[4.2]273b
abhÃva÷ katham etasya  HSvs_[10.1]592c
abhÃvÃpattilak«aïa÷  HSvs_[7.1]513d
abhÃve 'nyatam asyÃpi  HSvs_[7.1]491c
abhÃvo bhavatÅty api  HSvs_[4.2]270d
abhÃvo hetvabhÃvata÷  HSvs_[11.3]694b
abhinnadeÓatÃdÅnÃm  HSvs_[4.3]294a
abhinnadeÓas tasyeti  HSvs_[7.1]526c
abhinnÃ vÃ bhaved yadi  HSvs_[4.5]326b
abhinno dravyato 'bhede-  HSvs_[7.1]522c
abhiprÃyata ity ukto  HSvs_[6.6]476c
abhiprÃyas tatas te«Ãæ  HSvs_[3.1]209a
abhÆtvÃ nÃÓabhÃvata÷  HSvs_[4.2]271b
abhede 'nyatarasthÃna-  HSvs_[7.1]520c
abhyÃsa÷ karmaïÃæ satyam  HSvs_[10.1]622a
abhyÃsÃtiÓayÃd uktaæ  HSvs_[1.1]21c
abhrÃntajÃtivÃde tu  HSvs_[11.1]651a
amÆrtÃ÷ sarvabhÃvaj¤Ãs  HSvs_[11.3]697a
ayam ity apy anuttaram  HSvs_[1.4]94b
ayam eva na yujyate  HSvs_[6.1]429d
ayam evaæ na vety anya-  HSvs_[10.2]628a
arthakriyÃ nanu nyÃyÃt  HSvs_[6.4]463c
arthakriyÃ yato 'sau vÃ  HSvs_[6.2]438a
arthakriyÃsamarthatvaæ  HSvs_[6.2]437a
arthakriyÃsamarthatvÃt  HSvs_[4.1]239c
arthagrahaïarÆpaæ yat  HSvs_[5.1]386a
arthÃpattyÃpi gamyate  HSvs_[10.1]596b
arthÃbhÃve na vidyate  HSvs_[5.1]375d
arthÃbhÃve na vidyate  HSvs_[5.1]385d
arthÃsaænidhibhÃvena  HSvs_[11.1]646a
avagantuæ na Óakyate  HSvs_[8.1]547d
-avasÃyapravartaka÷  HSvs_[4.6]349d
avigÃnena tadgate÷  HSvs_[7.1]487b
avicÃryaiva tad yuktyÃ  HSvs_[3.2]214c
avidyÃ na sata÷ p­thak  HSvs_[8.1]546b
aviÓe«eïa sarvatra  HSvs_[1.2]51c
aviÓe«eïa sarve«Ãm  HSvs_[1.2]41c
avisaævÃdi d­Óyate  HSvs_[10.2]634d
aÓubhÃd apy anu«ÂhÃnÃt  HSvs_[2.1]138a
aÓe«ado«ajananÅ  HSvs_[1.1]9a
asatastatsamutpÃdo  HSvs_[1.2]46c
asata÷ sattvayoge tu  HSvs_[4.3]276a
asato bhÃvakart­tvaæ  HSvs_[4.3]299c
asattvÃt kevalasyeha  HSvs_[7.1]516c
asattvÃd vastubhedena  HSvs_[11.1]669c
asaty api ca yÃ bÃhye  HSvs_[5.2]409a
asatyÃm api saækrÃntau  HSvs_[4.5]328a
asat sthÆlatvam aïvÃdau  HSvs_[1.2]45a
asadutpattir apy asya  HSvs_[4.3]298a
asadutpattir apy eva  HSvs_[4.3]301a
asadutpadyate taddhi  HSvs_[4.3]277a
asaæbhava÷ kathaæ nv asya  HSvs_[4.5]325c
asÃk«ÃddarÓinas tatra  HSvs_[10.1]625c
asÃdhyÃrambhiïas tena  HSvs_[11.2]685a
asiddhatvÃd ananvayÃt  HSvs_[4.3]294b
asiddhes tatra nÅtyÃ tad  HSvs_[6.1]435c
asti cec chÆnyatÃ katham  HSvs_[6.6]471b
asti ÓabdÃrthayor yogas  HSvs_[11.1]652c
astu cet ko vivÃdo no  HSvs_[2.1]129c
asty Ãtmeti vyavasthitam  HSvs_[1.2]67d
asty eva darÓanaæ spa«Âam  HSvs_[1.3]79c
asty eva sÃ sadÃ kantu  HSvs_[1.4]99a
astv etat kintu taddhetu-  HSvs_[5.2]410a
asthÃnapak«apÃtaÓ ca  HSvs_[6.1]422a
asya ca bhrÃntatÃyÃæ yat  HSvs_[4.6]351c
asyÃÓ ca bhrÃntatÃyÃæ na  HSvs_[7.1]487c
ahaækÃra÷ prakalpyate  HSvs_[1.3]85b
ahaæpratyayapak«e 'pi  HSvs_[1.3]82a
ahaæpratyayavedanÃt  HSvs_[1.3]79d
ahite 'py Ãtmana÷ prÃyo  HSvs_[2.1]163c
ahiæsÃdi ca taddhetur  HSvs_[2.1]156c
ahiæsÃdiprasÃdhana÷  HSvs_[2.1]154d
ahetutve sadÃ bhÃvo  HSvs_[2.1]155c
aho bhÅmo mahodadhi÷  HSvs_[9.1]563d
ÃgatÃnÃæ tathek«yate  HSvs_[1.2]41b
ÃgamakhyÃt pramÃïata÷  HSvs_[2.1]120b
Ãgamaj¤o 'pi yas tasyÃæ  HSvs_[11.2]686c
Ãgamatvaæ na yujyate  HSvs_[2.1]140d
ÃgamÃkhyÃt tadanye tu  HSvs_[2.1]114a
ÃgamÃt tu na bhidyate  HSvs_[2.1]137d
ÃgamÃd api tatsiddhir  HSvs_[10.1]594a
ÃgamÃd eva gamyate  HSvs_[2.1]139d
Ãgamaikatvatas tac ca  HSvs_[2.1]117a
ÃcÃryaharibhadreïa  HSvs_[11.4]699c
ÃtmatvenÃviÓi«Âasya  HSvs_[1.4]91a
Ãtmana÷ sukhadu÷khayo÷  HSvs_[3.1]196b
ÃtmanÃtmagrahe tasya  HSvs_[1.3]86a
ÃtmanÃtmagraho 'py asya  HSvs_[1.3]84a
Ãtmano bandhanatvÃc ca  HSvs_[3.2]233c
Ãtmano yujyate katham ?  HSvs_[3.2]219d
Ãtmano vyatiriktaæ tat  HSvs_[1.4]95c
Ãtmano 'saægataæ tayÃ  HSvs_[3.2]234d
ÃtmamÃtrasthitÃyÃ na  HSvs_[1.4]99c
ÃtmÃ na badhyate nÃpi  HSvs_[3.2]227a
ÃtmÃ nÃmÅ p­thak karma  HSvs_[10.2]640a
ÃtmÃbhÃve na kÃ pramÃ  HSvs_[1.2]68d
ÃtmÅyagrahamok«aÓ ca  HSvs_[1.1]6c
ÃtmÅyagrahamok«eïa  HSvs_[1.1]9c
Ãdimat tat prasajyate  HSvs_[6.3]447d
Ãdisarge 'pi na hetu÷  HSvs_[3.1]201a
Ãdau k«ayasvabhÃvatve  HSvs_[6.4]452a
Ãmantrya svayam eva tu  HSvs_[4.7]366d
-Ãyaæ kasmÃn na gandhak­t  HSvs_[4.4]320b
Ãr«aæ ca dharmaÓÃstraæ ca  HSvs_[3.1]210a
Ãr«o 'rtho 'pi virudhyate  HSvs_[4.7]360b
Ãv­tir na yad anyena  HSvs_[1.2]35c
ÃÓaÇkÃ sarvagÃ yasmÃt  HSvs_[2.1]118c
ÃÓaÇke nyÃyavÃdina÷  HSvs_[2.1]119d
ÃÓaæsÃdo«avarjitam  HSvs_[1.1]21b
ÃÓaæsÃ varjito 'nyo 'pi  HSvs_[1.1]22c
Ãha cÃlokavad vede  HSvs_[10.1]585a
Ãha tatrÃpi no yuktÃ  HSvs_[1.1]17a
ÃhitÃ karmavÃsanÃ  HSvs_[4.1]246b
ÃhosvicchÆnyam eva hi  HSvs_[6.6]470d
ÃhvÃnÃpratipattyÃdi  HSvs_[11.1]672c
ita ekanavate kalpe  HSvs_[4.7]361a
itaratrÃpy ada÷ samam  HSvs_[4.2]255d
itaratraikam evetthaæ  HSvs_[4.6]340c
iti cet kiæ na sarvadÃ  HSvs_[3.2]216b
iti caitan na sÃæpratam  HSvs_[10.2]637d
iti tattvavyavasthite÷  HSvs_[4.2]261d
iti tadbhÃvasaæsthiti÷  HSvs_[10.2]643d
iti tadbhedasaæsthiti÷  HSvs_[1.4]100d
iti tantre cirantanai÷  HSvs_[3.2]231b
iti tuccham idaæ vaca÷  HSvs_[4.3]290b
iti dhyÃndhyavij­mbhitam  HSvs_[10.1]597d
iti nyÃya÷ satÃæ mata÷  HSvs_[2.1]156d
iti nyÃyÃnusÃriïa÷  HSvs_[10.1]580d
iti pÃpasya hetava÷  HSvs_[1.1]4d
iti pratyuktam i«yatÃm  HSvs_[4.6]342d
iti bandhÃdi saægatam  HSvs_[3.2]235d
iti muktir na yujyate  HSvs_[5.2]411d
iti yuktyÃ kathaæ samam ?  HSvs_[4.2]256d
iti vaktÅha kaÓcana  HSvs_[10.1]613b
iti samyag vicÃryatÃm  HSvs_[4.3]301d
iti samyag vicintyatÃm  HSvs_[6.6]471d
iti samyag vicintyatÃm  HSvs_[11.1]660d
iti samyag vyavasthitam  HSvs_[9.1]579b
iti sarvamayuktimat  HSvs_[3.2]231d
ittham Ãlocanaæ cedam  HSvs_[7.1]530a
ittham Ãha subhÃ«itam  HSvs_[10.2]627b
itthaæ tattvavilomaæ yat  HSvs_[1.5]110c
itthaæ trayam api sthitam  HSvs_[7.1]490b
itthaæ na ghaÂate ceyam  HSvs_[3.2]231c
itthaæ na tadupÃdÃnaæ  HSvs_[1.2]74a
itthaæ prakalpane nyÃyÃd  HSvs_[11.1]657c
itthaæ prayojanÃbhÃvÃt  HSvs_[3.1]197c
itthaæ samavasÅyate  HSvs_[7.1]532b
itthaæ sarvaj¤avÃdina÷  HSvs_[10.1]591b
ity anyad api cÃr«akam  HSvs_[4.7]367b
ity apÆrvam idaæ tama÷  HSvs_[4.2]262d
ity Ãdi yad udÅritam  HSvs_[9.1]574b
ity evam anvayÃpatti÷  HSvs_[4.6]357a
idam ÅÓvarace«Âitam  HSvs_[6.6]472d
idaæ pÆrvoktam Ãr«akam  HSvs_[4.7]365d
idÃnÅm apy atÅndriye  HSvs_[10.2]634b
idÃnÅæ tu samÃsena  HSvs_[1.1]29a
indrapratÃraïÃyedaæ  HSvs_[1.5]111a
indriyagrÃhyato 'nyo 'pi  HSvs_[11.1]668a
indriyeïa paricchinne  HSvs_[4.7]370a
iyaæ ca lokasiddhaiva  HSvs_[7.1]532c
iyaæ na÷ kli«Âateti cet  HSvs_[5.2]409d
iyaæ saælak«yate sÃpi  HSvs_[7.1]540c
iyaæ syÃt timirÃbhÃve  HSvs_[5.2]410c
i«ÂaÓ ca khalu paï¬itai÷  HSvs_[6.3]445d
i«Âaæ tad abhidhÅyate  HSvs_[10.1]587d
i«Âo 'yam artha÷ Óakyeta  HSvs_[10.2]627c
i«yate ca parair mohÃt  HSvs_[7.1]491a
i«yate paï¬itair janai÷  HSvs_[10.2]639d
iher«yÃÓokavatsala÷  HSvs_[1.1]12b
ihopanyastaÓÃstrÃïÃæ  HSvs_[11.4]698c
-ÅndriyÃrtho 'vasÅyate  HSvs_[10.1]599d
ÅÓvaraprerito gacchet  HSvs_[3.1]196c
ÅÓvara÷ paramÃtmaiva  HSvs_[3.1]204a
ÅÓvara÷ prerakatvena  HSvs_[3.1]194a
Å«ÂÃpÆrtÃdibhedo 'smÃt  HSvs_[10.1]586a
uktavannyÃyayogata÷  HSvs_[4.6]353b
uktaæ bhagavatÃ nanu  HSvs_[4.7]363b
uktaæ yac cÃtra sÃdhanam  HSvs_[7.1]482b
uktaæ vihÃya mÃnaæ cec  HSvs_[6.6]473a
uktÃ bhagavatÃ bhik«Æn  HSvs_[4.7]366c
uktÃ lokaprasiddhena  HSvs_[2.1]142c
ukto na yujyate so 'pi  HSvs_[7.1]496c
ucyate evam evaitat  HSvs_[1.1]20a
ucyate tadabhÃvÃc ced  HSvs_[4.4]320c
ucyate tan na yuktimat  HSvs_[6.1]415d
ucyate vyavahÃrÃrtham  HSvs_[4.4]319c
ucyate sÃæpratam ada÷  HSvs_[5.1]395a
utk­«ÂÃdyÃsvatÅtÃsu  HSvs_[9.1]558c
utk­«ÂÃ yÃ sthitis tasya  HSvs_[9.1]555c
uttara÷ phalam ucyate  HSvs_[4.3]288d
utpattyanantaraæ nÃÓÃd  HSvs_[6.2]437c
utpÃdayati kauÓalam  HSvs_[10.1]622b
utpÃdavyayabuddhiÓ ca  HSvs_[6.6]469a
utpÃdo 'bhÆtabhavanaæ  HSvs_[7.1]481a
utpÃdo 'bhÆtabhavanaæ  HSvs_[7.1]488a
utpÃdyasya tad dhruvam  HSvs_[4.2]253b
utsargaprati«edhata÷  HSvs_[2.1]158d
udagraphalabhÃvata÷  HSvs_[11.2]680b
upakÃrÅ virodhÅ ca  HSvs_[6.1]419a
upaghÃtÃdibhÃvaÓ ca  HSvs_[3.2]236c
upadeÓa÷ Óubho nityaæ  HSvs_[1.1]7a
upapattyÃ na yujyate  HSvs_[11.1]669b
upamÃnyagrahe tatra  HSvs_[10.1]595c
upalabdhilak«aïaprÃp-  HSvs_[5.1]377a
upalabdhilak«aïaprÃp-  HSvs_[5.1]378a
upalabdhilak«aïaprÃp-  HSvs_[5.1]382c
upalabhyeta sarvathÃ  HSvs_[1.2]65b
upalambhyeta sattvÃdi-  HSvs_[1.2]32c
upÃdÃnÃdibhÃvena  HSvs_[4.4]315a
