Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
akçùñapacyà pçthivã  BrP_4.59a
akaitavã ca yà vçttiþ  BrP_171.36a
akrudhyann aprasãdaü÷ ca  BrP_238.32c
akrudhyann aprahçùyaü÷ ca  BrP_238.5c
akrårakrårakeõàpi  BrP_192.19c
akrårayaj¤à iti te  BrP_17.27a
akråra yamunàjale  BrP_192.63b
akråravasudevau ca  BrP_193.27c
akråra÷ càndhakaiþ sàrdham  BrP_17.30a
akråras tu tadà viprà  BrP_17.4a
akråraü kukuràndhakàþ  BrP_17.32d
akråraü vàkyam abravãt  BrP_190.9d
akråraþ krårahçdayaþ  BrP_192.30a
akråraþ pradadau dhãmàn  BrP_17.34c
akråraþ suùuve tasmàc  BrP_14.8c
akråràgamavçttàntam  BrP_193.17a
akråràt kà÷ikanyàyàü  BrP_14.43c
akråreõa samaü gantum  BrP_192.12c
akråreõograsenàyàü  BrP_14.11a
akråreõograsenàyàü  BrP_16.55c
akråro gokulaü pràptaþ  BrP_191.18c
akråro 'tha mahàbhàgo  BrP_16.52a
akråro nànvapadyata  BrP_17.13d
akråro 'ntaram anviùyan  BrP_17.2c
akråro 'pi viniùkramya  BrP_191.1a
akråro 'pi sake÷avaþ  BrP_192.11b
akråro mathuràü purãm  BrP_192.69b
akråro 'smãti caraõau  BrP_192.1c
akrodhana÷ ca na dveùñà  BrP_158.15a
akle÷ena mahàmatiþ  BrP_17.38d
akùaj¤as tatra nàrada  BrP_171.14b
akùatàs tu yavauùadhyaþ  BrP_219.49a
akùatair abhinandya ca  BrP_45.42d
akùatair daivatàrakùàü  BrP_219.48c
akùatriyà÷ ca ràjàno  BrP_231.5a
akùaya÷ càprameya÷ ca  BrP_30.77c
akùaya÷ càbhavac chrãmàn  BrP_161.67a
akùayaü vaü÷am ikùvàkoþ  BrP_8.58c
akùayaü sarvam eva tat  BrP_220.31b
akùayaþ ÷à÷vato 'nantaþ  BrP_179.68a
akùayàn yànti narakàüs  BrP_87.61c
akùayàü pitaras teùàü  BrP_62.13a
akùayo 'sau vaño 'bhavat  BrP_161.67b
akùayyaü nas tv iti pitén  BrP_219.79c
akùarakùarayor uktaü  BrP_243.43a
akùarakùarayor etad  BrP_244.42a
akùarakùarayor eùa  BrP_243.1a
akùaratvaü nigacchati  BrP_244.40c
akùaraü kùaram àtmànam  BrP_242.52a
akùaraü kùaram eva ca  BrP_243.45b
akùaraü ca kùaraü caiva  BrP_236.32a
akùaraü ca kùaraü caiva  BrP_244.10c
akùaraü dhruvam evoktaü  BrP_240.98c
akùaràkùarayor vyaktiü  BrP_241.2a
akùavan muni÷àrdåla  BrP_123.27a
akùirogàn kukùirogàn  BrP_94.17c
akùãõàmarùam atyalpa-  BrP_207.43c
akùetraü kùetram àtmànam  BrP_242.51a
akùauhiõãbhiþ sainyasya  BrP_195.3c
akùauhiõyà tu sainyasya  BrP_14.53c
akùauhiõyo hi bahulà  BrP_181.12a
akùõàü sahasraü suraràñ sa bibhrad  BrP_36.9a
akhaõóacandràbhimukhaþ  BrP_40.74a
akhaõóam api và màsaü  BrP_239.46a
akhaõóàbhir mahàdhvare  BrP_168.27b
akhaõóitahradaü tathà  BrP_25.83b
akhanan pçthivãü sarvàü  BrP_78.22c
akhileneha bho dvijàþ  BrP_240.86d
agaõyapuõyavirahàd  BrP_122.18c
agatiþ pàpakarmaõàm  BrP_179.40b
agatãnàü ÷arãriõàm  BrP_154.19d
agandhavad amårtimat  BrP_233.25b
agamaü balasådana  BrP_129.93b
agamyagamyasaüj¤àni  BrP_240.104c
agamyagàmã ya÷ ca syàt  BrP_22.13c
agamyastrãratir vàpi  BrP_212.38c
agamyaü lomaharùaõam  BrP_215.3b
agamyàgamane ratàþ  BrP_215.121b
agamyàgàmã duùñàtmà  BrP_215.75a
agastyadatta÷àpasya  BrP_124.89c
agastyapãtasyàmbhodheþ  BrP_78.71a
agastyamàrkaõóasapippalàdyàþ  BrP_174.3c
agastyam çùi÷àrdålaü  BrP_124.108a
agastyam çùisattamam  BrP_84.6b
agastyam çùisattamam  BrP_107.49f
agastyasya prasàdàc ca  BrP_124.117a
agastyasyà÷ramaü gaccha  BrP_124.51a
agastyaü tapatàü ÷reùñhaü  BrP_158.10c
agastyaü muni÷àrdålaü  BrP_124.74a
agastyaþ punar apy àha  BrP_158.23c
agastyaþ pràha tàn sarvàn  BrP_158.16a
agastyàc ca dite÷ caiva  BrP_124.82a
agastyenoditàn devàn  BrP_158.29a
agastyo 'gàt sasaübhramaþ  BrP_124.76b
agastyo 'tri÷ ca ka÷yapaþ  BrP_96.21b
agastyo vàkyam abravãt  BrP_130.16b
agàdham etad ajaràmaraü ca  BrP_245.39a
agàdhaü makaràlayam  BrP_44.46d
agàdhena tadà reje  BrP_36.91c
agàyata varàpsaràþ  BrP_178.50d
agàradàhã mitraghnaþ  BrP_22.22a
agàvahaü mahàtmànaü  BrP_14.46a
agoptàra÷ ca goptàro  BrP_231.73c
agnaye tan nyavedayat  BrP_127.29d
agnayo vai na dãpyante  BrP_39.57c
agnikàryaü tata÷ cakre  BrP_107.7c
agnikàrye ca dãpe ca  BrP_29.37c
agnikuõóaü ca tatraiva  BrP_100.2a
agnijihvo darbharomà  BrP_213.33c
agnijãvà yato matàþ  BrP_98.6d
agnijvàlo mahàghoraþ  BrP_214.17a
agnijvàlo mahàghoraþ  BrP_214*.17a
agnitãrtham iti khyàtaü  BrP_98.1a
agnitãrthaü ca tat proktaü  BrP_126.38a
agnitãrthaü tad àkhyàtam  BrP_168.28a
agnitãrthe ÷ucir naraþ  BrP_125.53b
agnityàgiùu yat pàpam  BrP_228.34a
agnidaõóaü ca dàruõam  BrP_217.81d
agnidàyiùu yad vane  BrP_228.34b
agninàgnisamo bhåyaþ  BrP_2.44c
agninà dhriyate loko  BrP_126.5a
agninà yojayàm àsa  BrP_123.77c
agninà veùñyamànàü÷ ca  BrP_125.14a
agninirçtivàyvã÷a-  BrP_28.35a
agniputraþ kumàras tu  BrP_3.40a
agnipratiùñhitaü liïgaü  BrP_98.22a
agniprabhaü ca puünàgaü  BrP_25.22c
agnipraviùñaü ràjànaü  BrP_138.28a
agniprave÷aü yaþ kuryàn  BrP_216.52a
agnibhåto 'gnivarcasàm  BrP_179.45d
agnimàtram upàdàya  BrP_116.12a
agnim àhavanãyaü ca  BrP_179.29c
agnir apy àha tàn devà¤  BrP_98.10a
agnir apy àha tàn devàn  BrP_110.203c
agnir àdyà÷ ca bhàsvantaü  BrP_32.93a
agnir àpaþ ÷ubhà vàõã  BrP_80.60a
agnir àpaþ sarvam iti  BrP_158.36c
agnir àpo raviþ pçthvã  BrP_125.37a
agnir àsyaü kùitiþ pàdau  BrP_56.16a
agnir indro 'tha varuõas  BrP_160.9a
agnir iùñvà mahàyaj¤air  BrP_174.19c
agnir jyeùñha iti pràhur  BrP_126.11c
agnir vàyu÷ ca sårya÷ ca  BrP_219.101a
agnir hotà purà tv àsãd  BrP_128.3a
agni÷u÷råùaka÷ caiva  BrP_29.9c
agni÷u÷råùaõaparaü  BrP_163.6a
agni÷ ca çtvijo devà  BrP_127.60c
agni÷ cakàra tatrànnaü  BrP_72.12c
agni÷ ca råpavàn devas  BrP_107.39c
agni÷ ca varuõaþ kaþ syàj  BrP_158.23a
agni÷ ca vàóavo vipra  BrP_56.21c
agni÷ caiva sa havyavàñ  BrP_128.66d
agniùñud atiràtra÷ ca  BrP_2.18c
agniùñomaphalaü tasya  BrP_125.53c
agniùñomas tathà deho  BrP_40.82c
agnisomàtmakaü jagat  BrP_179.55b
agnis tadovàca savistaraü tàü  BrP_110.59c
agnis tuùño 'bhavat tataþ  BrP_128.63b
agnis tv apsu ÷arãreùu  BrP_144.15a
agnihotraku÷eùv eva  BrP_13.104c
agnihotram upàsãno  BrP_223.39c
agnihotraratàþ kecit  BrP_28.6c
agnihotraratàþ kecit  BrP_46.10a
agnihotrasya ÷àlàyà  BrP_87.47a
agnihotraü ca vedà÷ ca  BrP_33.29a
agnihotre sadà sthitàn  BrP_47.32b
agniü ca bhartàram athà÷ramaü ca  BrP_110.57c
agniü jalagataü dçùñvà  BrP_98.8c
agniü pradakùiõãkçtya  BrP_110.72a
agniü pràpsye kiü nu kàryaü bhaven me  BrP_110.61b
agniü procur divaukasaþ  BrP_128.8d
agniþ prãtyà suvarõàü tàü  BrP_128.28a
agniþ suvarõasya gurur  BrP_181.7a
agnãùomãyam aindràgnaü  BrP_133.3c
agnãü÷ ca bràhmaõàn påjya  BrP_124.39a
agnãü÷ ca bràhmaõàü÷ càtha  BrP_236.43c
agne kiücic ca kãrtyate  BrP_128.59b
agner aïgiraso jàto  BrP_144.5a
agner apatyam ubhayaü tathaiva  BrP_128.29b
agner apàü vada jyaiùñhyaü  BrP_126.13a
agner ahaü tava putrasya bhàryà  BrP_144.17b
agner àpas tathà yonir  BrP_126.33a
agner duhitaraü mune  BrP_128.64d
agner dehe ca ÷àübhavam  BrP_128.24b
agner bhràtaram uttamam  BrP_98.3b
agner bhràtà sa havyavàñ  BrP_98.2b
agne÷ ca påjakà ye ca  BrP_126.32c
agne÷ ca påjakà ye ca  BrP_126.33c
agne÷ caiva tathà priyà  BrP_128.69b
agnes tadvacanàd indraþ  BrP_93.14a
agneþ putro hiraõyas tu  BrP_148.13a
agneþ prabhàvàt paruùam  BrP_144.6a
agneþ priyakaraü sadà  BrP_129.101d
agneþ prãtikaraü nityaü  BrP_128.27c
agneþ sånoþ putrikàyàs tathàgneþ  BrP_128.35b
agnau kariùya iti taiþ  BrP_219.62c
agnau toye 'ntarikùe ca  BrP_29.48a
agnau nikùepayàm àsa  BrP_80.63c
agnau pratiùñhità sà tu  BrP_30.35c
agnau pràstàhutiþ samyag  BrP_31.4a
agnau vipannà ye vãràþ  BrP_214.118a
agnau vipannà ye vãràþ  BrP_214*.118a
agnau ÷uddhigatàü sãtàü  BrP_154.4a
agnau ÷uddhigatàü sãtàü  BrP_154.25c
agnau hoùyaþ pa÷u÷ càyaü  BrP_104.75c
agnyantaram upàdeyaü  BrP_148.9c
agnyantaraü naiva te 'tra  BrP_148.11a
agnyavasthe tu salile  BrP_233.18c
agnyupàsanamàtraü ca  BrP_107.8c
agrataþ siühavyàghràdyair  BrP_215.41c
agranyastaviùàõàgraþ  BrP_189.53c
agram uddhçtya saütyajet  BrP_221.133d
agràmyasukhabhogà÷ ca  BrP_224.12c
agràsinaü somabhujaü  BrP_213.18c
aghoraghoraråpàya  BrP_40.24a
aghoreõa ca bho vipràþ  BrP_57.7c
aghaughavinivàraõam  BrP_145.1d
aïkam àroóhum arhasi  BrP_154.4d
aïkam àroóhum arhasi  BrP_154.7b
aïkàråóhau tataþ kçtvà  BrP_154.19a
aïku÷air mudgarair daõóaiþ  BrP_215.81c
aïke tam àropya jahàsa somaþ  BrP_110.105d
aïgadaü kà¤canaü divyaü  BrP_12.7a
aïgadaþ kanakàïgadaþ  BrP_154.23d
aïgado jàmbavàüs tathà  BrP_154.22b
aïgado hanumàüs tathà  BrP_154.5b
aïgaputro mahàn àsãd  BrP_13.37a
aïgasthair na tilaiþ kuryàd  BrP_60.58a
aïgaspar÷o vidhãyate  BrP_221.151b
aïgaü sumanasaü svàtiü  BrP_2.20a
aïgaþ prathamato jaj¤e  BrP_13.30c
aïgàt sunãthàpatyaü vai  BrP_2.20c
aïgànàü kulavardhanam  BrP_13.48d
aïgàni tava deve÷a  BrP_49.11a
aïgàn vaïgàn kaliïgàü÷ ca  BrP_231.70a
aïgàrako 'pi ÷ukrasya  BrP_23.8a
aïgàravarùabhãtaü ca  BrP_55.12c
aïgàravàlukàmi÷raü  BrP_214.99a
aïgàravàlukàmi÷raü  BrP_214*.99a
aïgàrasetus tatputro  BrP_13.149a
aïgàrasetor dàyàdo  BrP_13.150c
aïgàrebhyaþ samudbhåto  BrP_144.11a
aïgàropacayaü nàma  BrP_215.117c
aïgà vaïgàþ sasuhmakàþ  BrP_13.36b
aïgiraþpramukhà÷ caiva  BrP_39.10a
aïgirà÷ ca bhçgu÷ caiva  BrP_95.2a
aïgiràþ ka÷yapo 'tri÷ ca  BrP_65.34a
aïgiràþ paruùaü vàdãd  BrP_144.7c
aïgiràþ pulahaþ kratuþ  BrP_5.8b
aïgiràþ pulahaþ kratuþ  BrP_34.18b
aïgiràþ pràha bhàrgavam  BrP_95.5b
aïgirobhyas tadàdityàs  BrP_155.3a
aïgirobhyo nyavedayan  BrP_155.4b
aïgulànàü ÷atàni ca  BrP_20.93d
aïgulãùu pçthak pçthak  BrP_61.9b
aïgulyagre tathà daivaü  BrP_221.97a
aïgulyardhàrdhamàtraü tu  BrP_110.146a
aïguùñhakçtyaiva rasàtalàd adho  BrP_110.102c
aïguùñhakçtyaiva rasàtalàdi  BrP_143.12c
aïguùñhamàtràþ puruùà  BrP_40.90a
aïguùñhàd brahmaõo jaj¤e  BrP_2.52a
aïguùñhe hastayor nyaset  BrP_60.36b
aïguùñhottarato rekhà  BrP_221.95a
acakùurviùayaü pràptaü  BrP_217.13c
acandràrkagrahà bhåmir  BrP_13.140a
acara÷ ca cara÷ caiva  BrP_241.22a
acaraü caram àtmanaþ  BrP_242.50d
acaràü÷ ca caràü÷ caiva  BrP_2.47a
acalaü caiva purataþ  BrP_2.11c
acalàs tv àvilà viprà  BrP_239.15a
acalo nirmalo vyàpã  BrP_179.70a
acintayat tu kaunteyaþ  BrP_212.25a
acintayad atho ÷ãghraü  BrP_192.43c
acintà vigatajvaràþ  BrP_238.25d
acintyaprabhàvo bahuvi÷vamårtiþ  BrP_75.14d
acintyam ajam avyayam  BrP_234.63d
acintyaråpaü vividhaü mahac ca  BrP_130.29b
acchede jagatàü nà÷a÷  BrP_113.14a
acyutaü puruùottamam  BrP_1.25d
acyutaü puruùottamam  BrP_180.10d
ajakas tasya càtmajaþ  BrP_10.21d
ajakasya tu dàyàdo  BrP_10.22a
ajakasya tu dàyàdo  BrP_13.88c
ajako nàma vãryavàn  BrP_13.88b
ajanmany ajare 'nà÷iny  BrP_211.12a
ajam akùayam avyayam  BrP_1.27d
ajam akùayam avyayam  BrP_180.12d
ajamãóhasuto jàtaþ  BrP_13.100a
ajamãóhasya ke÷inyàü  BrP_13.82c
ajamãóhasya patnyas tu  BrP_13.81c
ajamãóhàt tu nãlyàü vai  BrP_13.93a
ajamãóho dvimãóha÷ ca  BrP_13.81a
ajayad baladevo 'tha  BrP_201.19a
ajaràmaraõaü pràptam  BrP_176.34a
aja÷yàmaþ sa pàr÷vàbhyàü  BrP_13.135a
aja÷yàmau tu tatpàr÷vau  BrP_13.135c
ajas tu ràghavo jaj¤e  BrP_8.86c
ajas tvam ajaro devaþ  BrP_36.39c
ajas tvaü vibhur avyayaþ  BrP_55.34d
ajaü puràõam ajaraü sanàtanaü  BrP_236.69a
ajàtaputràya sutàn  BrP_16.8a
ajàta÷atruþ ÷atråõàü  BrP_14.34a
ajànatà kçtam idaü  BrP_211.8a
ajànatà yaj¤avidyàü  BrP_228.84a
ajànan kà÷yapas tasmàn  BrP_6.5c
ajàmukhasaraü caiva  BrP_25.63a
ajàrajonugamanaü  BrP_212.37a
ajàvikaü prauùñhapadyàü  BrP_220.40c
ajà÷ càpi nirotsyanti  BrP_231.30c
ajà÷vaü mukhato medhyaü  BrP_221.129c
ajitasyàprameyasya  BrP_58.12c
ajitàkhaõóa ÷rãkçùõa  BrP_178.131c
ajãgartam iti khyàtam  BrP_104.45a
ajãgarto 'pi covàca  BrP_104.47a
ajãjanat puùkariõyàü  BrP_2.16a
ajena sacaràcaram  BrP_180.4b
ajeyam ajaraü nityam  BrP_243.10c
ajeya÷ càpy adhçùya÷ ca  BrP_39.40c
ajeyaü trida÷àrcitam  BrP_57.24b
ajeyaþ kùatriyair loke  BrP_10.32a
ajeyaþ puruùavyàghra  BrP_203.22c
ajeyo 'bhåt sudàruõaþ  BrP_129.12b
ajaikapàd ahirbudhnyas  BrP_3.47c
ajaikà yà samàkhyàtà  BrP_134.6a
ajaióakaü kharoùñraü ca  BrP_231.76c
ajo 'prameyaþ ÷iva÷abdavàcyas  BrP_75.13c
ajo vçddhaþ suro bhadro  BrP_105.25c
ajo hi krãóayà bhåpa  BrP_245.2a
aj¤ayà saüpravçttavàn  BrP_244.29b
aj¤àtam asyàsti hçdi sthitasya  BrP_191.32d
aj¤àtàü trida÷air api  BrP_95.26b
aj¤àtvà granthatattvàni  BrP_243.17a
aj¤àtvaikaguõaü karma  BrP_129.59a
aj¤ànatamasà channo  BrP_234.21a
aj¤ànatimiràndhànàü  BrP_246.12a
aj¤ànadàridryarujas tathaiva  BrP_117.13b
aj¤ànanàmnà tamasàvçto 'haü  BrP_117.7c
aj¤ànaprabhavaü mahat  BrP_234.24b
aj¤ànasàgare ghore  BrP_245.50a
aj¤ànaü j¤ànasadbhàva  BrP_203.18a
aj¤ànaü tàmaso bhàvaþ  BrP_234.25a
aj¤ànàt pàpakàriõã  BrP_131.14d
aj¤ànàd và pramàdàd và  BrP_220.200c
aj¤àninàü pravartante  BrP_234.25c
aj¤àne j¤ànapårve tu  BrP_221.135a
a¤citàni samantataþ  BrP_43.63b
a¤janà càdrikà caiva  BrP_84.6a
a¤janà càdrikà tathà  BrP_84.9b
a¤janà nàma tatràsãd  BrP_84.3a
a¤janàyàü tathà vàyor  BrP_84.12a
a¤jano nàma nàrada  BrP_84.2b
a¤jiko naraka÷ caiva  BrP_3.88c
añantaþ sàgaràþ sarve  BrP_78.19a
añanti vasudhàü vipràþ  BrP_222.33c
añann araõye ÷arvaryàü  BrP_123.34a
añann àste sa gautamaþ  BrP_107.11d
añamànà ita÷ ceto  BrP_93.8c
añavyàþ saravà÷ ca ye  BrP_27.56b
añitvà vividhàn de÷àn  BrP_169.7c
añña÷ålà janapadàþ  BrP_231.11a
aõimàdiguõair yutam  BrP_176.34b
aõimà laghimà pràptir  BrP_241.15a
aõãyàüsam aõãyasàm  BrP_1.25b
aõãyàüsam aõãyasàm  BrP_180.10b
aõupràyàõi dhànyàni  BrP_230.53a
aõóam apsu pralãyate  BrP_233.30d
aõóànàü tu sahasràõàü  BrP_23.27c
ata årdhvaü cyute dharme  BrP_231.44a
ata årdhvaü pravakùyàmi  BrP_10.68c
ata eva hi somasya  BrP_105.16c
ata evànyapuruùa-  BrP_152.8c
atattvaü tattvam àtmànam  BrP_242.51c
atapovidya eva ca  BrP_107.37b
atalaü vitalaü caiva  BrP_21.2c
atalaü vitalaü tathà  BrP_54.20d
atasãpuùpasaükà÷aü  BrP_50.51c
atasãpuùpasaükà÷aü  BrP_178.123a
atas tvàm aham à÷ritaþ  BrP_59.69d
atas tvàü ÷araõaü gatàþ  BrP_219.34d
atas tvàü sarvabhàvena  BrP_59.65c
ataþ kartuü na ÷aknomi  BrP_45.73a
ataþ paraü pravakùyàmi  BrP_57.1a
ataþ paraü pravakùyàmi  BrP_61.4a
ataþparaü pravakùyàmi  BrP_221.109c
ataþparaü muni÷reùñhàþ  BrP_220.22c
ataþ paraü sura÷reùñha  BrP_29.3a
ataþ prabhçti ni÷citam  BrP_110.77b
ataþ saüpràpyate svargo  BrP_19.4a
atikopàd dvijo vai÷yam  BrP_170.42c
atikramakçtaü pitaþ  BrP_194.5d
atikramam imaü ÷rutvà  BrP_152.21e
atikramya bhayodvignà  BrP_89.30c
atikrànte vivàhe tu  BrP_87.32a
atikràmanti bho dvijàþ  BrP_53.10d
atica¤calaceùñita  BrP_184.36b
ati candraü ca såryaü ca  BrP_213.156c
atitàpibhir atyarthaü  BrP_234.11c
atitãvraü natàsmi tat  BrP_32.14d
atithipragraharatas  BrP_225.27a
atithibhyas tu yo dadyàd  BrP_163.16c
atithir yasya bhagnà÷o  BrP_222.36a
atithi÷ càpavàdã ca  BrP_163.20a
atithis tu ku÷àj jaj¤e  BrP_8.88a
atithis tvaü namo 'stu te  BrP_80.83d
atithiþ svargasaükramaþ  BrP_163.20d
atithes tv abhavat putro  BrP_8.88c
atinàmà sahiùõu÷ ca  BrP_5.30a
atipåjitalàbhàüs tu  BrP_222.52a
atipåjitalàbhais tu  BrP_222.52c
atibhaktiü tu saücintya  BrP_59.13a
atimuktai÷ ca kiü÷ukaiþ  BrP_41.43b
atimuktaiþ sakubjakaiþ  BrP_28.13b
atimuktaiþ sakubjakaiþ  BrP_42.24b
atimuktaiþ sakubjakaiþ  BrP_43.52d
atimuktaiþ sakubjakaiþ  BrP_44.68b
atiriktakañåni ca  BrP_220.183d
atiriktà tatas tv aham  BrP_172.12d
ativardhati càdharme  BrP_213.108a
ati÷ãghram amanyata  BrP_187.10b
ati÷rameõa mahatà  BrP_215.24a
atiùñhan mandaradroõyàü  BrP_178.69c
atisaümànitas tena  BrP_129.25c
atãtasarvàvaraõo 'khilàtmà  BrP_234.71c
atãtaü ÷atam àdàya  BrP_67.53a
atãtà vartamànà÷ ca  BrP_5.6c
atãtà vartamànà÷ ca  BrP_5.41c
atãtya janmàni bahåni tàta  BrP_229.37a
atãtya sakalàüs tataþ  BrP_18.42d
atãtyaiko 'vatiùñhate  BrP_242.29d
atãtyottaram ambhodhiü  BrP_18.44a
atãndriyam anã÷varam  BrP_243.10d
atãva triùu lokeùu  BrP_10.3c
atãva duþkham àpannà  BrP_39.41c
atãva mamatàkulaþ  BrP_234.38d
atãva vanitàpriyam  BrP_189.16b
atãva sumanoharam  BrP_178.62b
atãva sumanohare  BrP_20.33b
atãva hi manoharàþ  BrP_18.52d
atãvàdya bhaviùyati  BrP_192.26d
atãvàrtaü harir dçùñvà  BrP_188.11c
atãvàsãt sudàruõam  BrP_206.22b
atãvopadrutà janàþ  BrP_230.38b
atçpte tu viparyayaþ  BrP_163.19d
ato guhyataràrthaü tad  BrP_237.41a
ato jiùõo sarvam etat tyajasva  BrP_129.36d
ato de÷àn pravakùyàmi  BrP_27.62c
ato de÷eùu saüsthitaþ  BrP_161.58b
ato 'dhikaü te 'bhiratà mahàrhe  BrP_240.109c
ato bhavadbhiþ satatam  BrP_30.21a
ato vakùyàmi kiücana  BrP_123.56b
ato vadanti munayo  BrP_106.54a
ato 'vadan surasaüghàþ kçtàrthàþ  BrP_114.9c
ato 'va÷iùñam annàdyaü  BrP_219.65a
atyadbhutàni karmàõi  BrP_18.3a
atyantakrodhasakto 'pi  BrP_216.89a
atyantavimukhe daive  BrP_139.4a
atyantopahataü ca yat  BrP_221.54b
atyamlakañutãkùõoùõa-  BrP_234.11a
atyamlaü càtilavaõam  BrP_220.183c
atyamlaü picchilaü såkùmaü  BrP_220.178c
atyarthadårajàtàü÷ ca  BrP_185.12c
atyartham anutapteyaü  BrP_92.46c
atyartha÷ãtalàmbhobhiþ  BrP_36.89a
atyugratapasaü dçùñvà  BrP_10.26a
atyugraü dãptatapasaü  BrP_178.20c
atyugràü pratimottamàm  BrP_176.9d
atyunnataü nagaü dhãro  BrP_118.4c
atra kiücic ca ye dadyur  BrP_129.121c
atra janmasahasràõàü  BrP_19.24a
atra tu snànamàtreõa  BrP_123.210c
